Kanji,Reading,Script,Translation
苦,くる。しい・しむ・しめる　にが。い・る　ク,苦情受け付け係,Grievance Acceptance Officer
苦,くる。しい・しむ・しめる　にが。い・る　ク,苦心,pain
痛,いた。い・む・める　ツウ,歯が痛む,toothache
痛,いた。い・む・める　ツウ,胸を痛める,chest pain
痛,いた。い・む・める　ツウ,頭痛,headache
痛,いた。い・む・める　ツウ,苦痛を感じる,feel pain
痛,いた。い・む・める　ツウ,痛感する,feel pain
困,こま。る　コン,体が弱くて困る,feel weak and in need of help
困,こま。る　コン,お金に困る,have trouble with money
困,こま。る　コン,困難をのり越える,Overcome difficulties
困,こま。る　コン,貧困家庭,poor family
困,こま。る　コン,困惑,perplexed
喜,よろこ。ぶ　キ,試合に勝って喜ぶ,Rejoice in winning a game
喜,よろこ。ぶ　キ,喜びを感じる,Feel joy
喜,よろこ。ぶ　キ,喜劇,Comedy
喜,よろこ。ぶ　キ,喜ばしい出来事,Rejoice at a joyful event
喜,よろこ。ぶ　キ,歓喜して,Rejoice
悲,かな。しい・しむ　ヒ,悲しい知らせ,Sad news
悲,かな。しい・しむ　ヒ,父の死を悲しむ,Saddened by the death of his father
悲,かな。しい・しむ　ヒ,悲劇,Tragedy
悲,かな。しい・しむ　ヒ,悲鳴をあげる,Screaming
悲,かな。しい・しむ　ヒ,悲惨な結末,Tragic ending
悩,なや。む・ます　ノウ,病気に悩む,Distressed by illness
悩,なや。む・ます　ノウ,悩みがある,I have a problem
悩,なや。む・ます　ノウ,問題の解決に苦悩する,Struggling to solve a problem
悩,なや。む・ます　ノウ,悩ましい女性,Woman in distress
悩,なや。む・ます　ノウ,煩悩が生じる,Troubles arise
辛,から。い　つら。い　シン,辛いカレー,Spicy curry
辛,から。い　つら。い　シン,香辛料を入れる,Add spices
辛,から。い　つら。い　シン,辛口,spicy
辛,から。い　つら。い　シン,辛抱する,be patient
辛,から。い　つら。い　シン,つらい修行,painful practice
甘,あま。い・える・やかす　カン,甘いお菓子,sweet snacks
甘,あま。い・える・やかす　カン,親に甘える,spoil your parents
甘,あま。い・える・やかす　カン,子供を甘やかす,Spoil a child
甘,あま。い・える・やかす　カン,甘口,sweet taste
甘,あま。い・える・やかす　カン,甘味料,Sweeteners
触,ふ。れる　さわ。る　ショク,作品に触らないでください,Do not touch the work
触,ふ。れる　さわ。る　ショク,髪がほおに触れる,Hair touches cheek
触,ふ。れる　さわ。る　ショク,感触がいい,Good to the touch
触,ふ。れる　さわ。る　ショク,接触する,Touch
触,ふ。れる　さわ。る　ショク,抵触する,Conflict
触,ふ。れる　さわ。る　ショク,触発する,touch
触,ふ。れる　さわ。る　ショク,触媒,Catalyst
柔,やわ。らか・らかい　ジュウ　ニュウ,柔らかな布団,Soft bedding
柔,やわ。らか・らかい　ジュウ　ニュウ,体が柔らかい,Soft body
柔,やわ。らか・らかい　ジュウ　ニュウ,柔道,Softness
柔,やわ。らか・らかい　ジュウ　ニュウ,柔和な性格の人,Softness of character
柔,やわ。らか・らかい　ジュウ　ニュウ,柔軟な考え方,Flexible thinking
硬,かた。い　コウ,硬い石,Hard stone
硬,かた。い　コウ,硬い土,Hard soil
硬,かた。い　コウ,顔の表情が硬い,Hard facial expression
硬,かた。い　コウ,100円硬貨,100 yen coin
硬,かた。い　コウ,強硬な意見,Strong opinions
硬,かた。い　コウ,硬直した価値観,Rigid values
荒,あら。い　あ。れる・らす　コウ,息が荒い,Breathing hard
荒,あら。い　あ。れる・らす　コウ,海が荒れる,Rough seas
荒,あら。い　あ。れる・らす　コウ,荒れ地,Wasteland
荒,あら。い　あ。れる・らす　コウ,荒天,Stormy weather
荒,あら。い　あ。れる・らす　コウ,戦争で荒廃した国土,War-torn lands
鈍,にぶ。い・る　ドン,体の動きが鈍い,Sluggish body
鈍,にぶ。い・る　ドン,頭の働きが鈍る,Sluggishness of the mind
鈍,にぶ。い・る　ドン,鈍感な人,Sluggishness of the mind
鈍,にぶ。い・る　ドン,鈍器 ,Bluntness 
鈍,にぶ。い・る　ドン,鈍行,local train
鈍,にぶ。い・る　ドン,鈍化する,slowing down
美,うつく。しい　ビ,美しい景色,Beautiful scenery
美,うつく。しい　ビ,美しい話,Beautiful story
美,うつく。しい　ビ,美人,Beautiful woman
美,うつく。しい　ビ,美男美女,Beautiful man and woman
美,うつく。しい　ビ,美容院,Beauty Salon
美,うつく。しい　ビ,美術品,Works of Art
汚,けが。す・れる・らわしい　よご。す・れる　きたな。い　オ,汚れた服,Dirty clothes
汚,けが。す・れる・らわしい　よご。す・れる　きたな。い　オ,シャツを汚す,Stained shirt
汚,けが。す・れる・らわしい　よご。す・れる　きたな。い　オ,汚い手,Dirty hands
汚,けが。す・れる・らわしい　よご。す・れる　きたな。い　オ,心が汚れる,Dirty mind
汚,けが。す・れる・らわしい　よご。す・れる　きたな。い　オ,汚水,Dirty water
汚,けが。す・れる・らわしい　よご。す・れる　きたな。い　オ,汚染される,Be contaminated
希,キ,入学を希望する,Wish to enroll
希,キ,平和を希求する,Desire for peace
希,キ,ダイヤモンドは希少価値がある,Diamonds are rare
希,キ,希薄溶液,Dilute solution
希,キ,熱意が希薄だ,Enthusiasm is scarce.
希,キ,希望者,Hopeful
望,のぞ。む　ボウ　モウ,大きな望みを持つ,Have great hopes
望,のぞ。む　ボウ　モウ,失望する,Disappointed
望,のぞ。む　ボウ　モウ,切望する,Longing
望,のぞ。む　ボウ　モウ,望遠鏡,Telescopes
望,のぞ。む　ボウ　モウ,大望をいだく,Have Great Hopes
夢,ゆめ　ム,スターを夢見る,Dreaming of a star
夢,ゆめ　ム,初夢,first dream
夢,ゆめ　ム,夢物語,Dreaming stories
夢,ゆめ　ム,テレビゲームに夢中になる,Becoming obsessed with video games
夢,ゆめ　ム,悪夢,Nightmare
恋,こ。う　こい　こい。しい　レン,恋する,fall in love
恋,こ。う　こい　こい。しい　レン,恋人,"lover, sweetheart"
恋,こ。う　こい　こい。しい　レン,母が恋しい,i miss my mother
恋,こ。う　こい　こい。しい　レン,家を恋しがる,miss home
恋,こ。う　こい　こい。しい　レン,失恋する,"broken heart, unrequited love"
恋,こ。う　こい　こい。しい　レン,初恋,first love
恋,こ。う　こい　こい。しい　レン,恋文,love letter
愛,アイ,子供を愛する,love your child
愛,アイ,母の愛,mother's love
愛,アイ,愛情,"love, affection"
愛,アイ,恋愛する,love
愛,アイ,恋愛小説,love story
愛,アイ,愛読書,favourite book
愛,アイ,愛用する,favourite to use
愛,アイ,愛用のカメラ,favourite camera
憎,にく。む・い・らしい・しみ　ゾウ,世の中の不正を憎む,hate the injustice in the world
憎,にく。む・い・らしい・しみ　ゾウ,憎しみを持つ,Hate to hate
憎,にく。む・い・らしい・しみ　ゾウ,憎らしい雨,Hate the rain
憎,にく。む・い・らしい・しみ　ゾウ,犯人を憎悪する,Hate the culprit
憎,にく。む・い・らしい・しみ　ゾウ,生憎,have a hatred of life
想,ソウ　ソ,感想を述べる,express one's opinion
想,ソウ　ソ,予想する,predict
想,ソウ　ソ,思想,Thought
想,ソウ　ソ,空想する,fantasize
想,ソウ　ソ,愛想がいい,be affectionate
想,ソウ　ソ,理想 ,Ideal 
想,ソウ　ソ,連想する,Associate
想,ソウ　ソ,想像する,Imagine
想,ソウ　ソ,可哀想,Pity
想,ソウ　ソ,発想する,Imagine
想,ソウ　ソ,構想する,conceive
想,ソウ　ソ,回想する,reminisce
想,ソウ　ソ,幻想 ,fantasize 
想,ソウ　ソ,想定する,envision
想,ソウ　ソ,予想外,unexpected
象,ゾウ,仏像,Buddha image
象,ゾウ,石像,stone image
象,ゾウ,映像,image
象,ゾウ,座像,seated figure
象,ゾウ,写真を現像する,develop photo
象,ゾウ,想像する,imagine
象,ゾウ,画像,image
象,ゾウ,実像,real image
欲,ほっ。する　ほ。しい　ヨク,子供はおもちゃを欲しがる,Child wants a toy
欲,ほっ。する　ほ。しい　ヨク,欲望,Desire
欲,ほっ。する　ほ。しい　ヨク,食欲がある,A person has an appetite
欲,ほっ。する　ほ。しい　ヨク,病人は水を欲している,Sick people want water
欲,ほっ。する　ほ。しい　ヨク,欲張り,Greed
欲,ほっ。する　ほ。しい　ヨク,意欲 ,Willingness 
求,もと。める　キュウ,平和を求める,Wants peace
求,もと。める　キュウ,求人する,to seek employment
求,もと。める　キュウ,求職する,Seeking a job
求,もと。める　キュウ,要求する,demand
求,もと。める　キュウ,追求する,Pursue
求,もと。める　キュウ,欲求する,Desire
求,もと。める　キュウ,探求する,Explore
求,もと。める　キュウ,請求する,Request
求,もと。める　キュウ,請求書 ,bill 
祈,いの。る　キ,無事を祈る,Pray for safety
祈,いの。る　キ,お祈りをする,Pray
祈,いの。る　キ,合格を祈願する,Pray for success
祈,いの。る　キ,祈念する,Pray
祈,いの。る　キ,祈り,Pray
祈,いの。る　キ,祈祷する,Pray
願,ねが。う　ガン,子の幸せを願う,Pray for the happiness of my child
願,ねが。う　ガン,願いがかなう,Pray that your wish will come true
願,ねが。う　ガン,強い願望を持つ,Have a strong wish
願,ねが。う　ガン,入学願書,Application for admission
願,ねが。う　ガン,お願いします ,I ask for your kindness 
願,ねが。う　ガン,請願する,Petition
願,ねが。う　ガン,志願する,apply for admission
願,ねが。う　ガン,悲願する,Petition
願,ねが。う　ガン,出願する,Apply
信,シン,神を信じる,Trust in God
信,シン,人を信用する,Trust in People
信,シン,自信を持つ,Have Confidence
信,シン,信頼する,Trust
信,シン,信号,Signal
信,シン,迷信する,Superstitious
信,シン,通信する,Communicate
信,シン,確信する,Convince
疑,うたが。う　ギ,人を疑う,Suspect someone
疑,うたが。う　ギ,疑わしい話,Suspicious talk
疑,うたが。う　ギ,疑問を持つ,Have doubts
疑,うたが。う　ギ,事件の容疑者,Suspect in a case
疑,うたが。う　ギ,疑問符,questionable story
香,かお。り　か　かお。る　コウ,ばらの花が香る,smells of roses
香,かお。り　か　かお。る　コウ,お茶の香りがする,Smells like tea
香,かお。り　か　かお。る　コウ,香水,Perfume
香,かお。り　か　かお。る　コウ,お線香,Incense
香,かお。り　か　かお。る　コウ,香辛料,spices
香,かお。り　か　かお。る　コウ,香ばしい,fragrant
優,やさ。しい　すぐ。れる　ユウ,優しい性質,Gentle nature
優,やさ。しい　すぐ。れる　ユウ,優れた作品,Superior work
優,やさ。しい　すぐ。れる　ユウ,優越感,Superiority
優,やさ。しい　すぐ。れる　ユウ,優秀な学生,Excellent student
優,やさ。しい　すぐ。れる　ユウ,優勝する,Winner
優,やさ。しい　すぐ。れる　ユウ,優先席,Preferred Seat
優,やさ。しい　すぐ。れる　ユウ,俳優,Actor
優,やさ。しい　すぐ。れる　ユウ,優美な舞踊,Graceful Dancer
良,よ。い　リョウ,頭が良い,Smart
良,よ。い　リョウ,気分が良くない,Not feeling good
良,よ。い　リョウ,良書,Good book
良,よ。い　リョウ,良心が咎める,My conscience is bothering me
良,よ。い　リョウ,結果は良好,Result is good
良,よ。い　リョウ,仲良し,good friends
良,よ。い　リョウ,良識,Good sense
良,よ。い　リョウ,良し悪し,Good or bad
悪,わる。い　アク　オ,天気が悪い,Weather is bad
悪,わる。い　アク　オ,悪口を言う,speak ill of
悪,わる。い　アク　オ,悪人,bad person
悪,わる。い　アク　オ,悪寒がする,have a chill
悪,わる。い　アク　オ,憎悪を感じる,feel hatred
悪,わる。い　アク　オ,悪魔,Demon
悪,わる。い　アク　オ,悪い,Bad
悪,わる。い　アク　オ,悪戯,Naughty
悪,わる。い　アク　オ,意地悪,mean
悪,わる。い　アク　オ,悪化,Worse
悪,わる。い　アク　オ,悪夢,nightmare
幸,さいわ。い　さち　しあわ。せ　ユウ,幸いにけがはなかった,Fortunately there was no injury
幸,さいわ。い　さち　しあわ。せ　ユウ,海の幸,Seafood from the sea
幸,さいわ。い　さち　しあわ。せ　ユウ,幸せな家庭,Happy home
幸,さいわ。い　さち　しあわ。せ　ユウ,幸運,Good luck
幸,さいわ。い　さち　しあわ。せ　ユウ,不幸,Unhappy
幸,さいわ。い　さち　しあわ。せ　ユウ,幸福 ,Happiness 
幸,さいわ。い　さち　しあわ。せ　ユウ,幸い,Happiness
福,フク,幸福な人生,Happy Life
福,フク,結婚を祝福する,Blessing Marriage
福,フク,社員のための福利厚生説,Welfare Theory for Employees
福,フク,福祉 ,Welfare 
福,フク,裕福,Wealth
福,フク,社会福祉,Social Welfare
福,フク,至福 ,Bliss 
和,やわ。らぐ・らげる　なご。む・やか　ワ　オ,風が和らぐ,Peaceful winds
和,やわ。らぐ・らげる　なご。む・やか　ワ　オ,和やかな雰囲気,Harmonious Atmosphere
和,やわ。らぐ・らげる　なご。む・やか　ワ　オ,心が和む,Peace of mind
和,やわ。らぐ・らげる　なご。む・やか　ワ　オ,平和,Peace
和,やわ。らぐ・らげる　なご。む・やか　ワ　オ,和服,Japanese clothes
和,やわ。らぐ・らげる　なご。む・やか　ワ　オ,和尚,Harmonious
和,やわ。らぐ・らげる　なご。む・やか　ワ　オ,調和する,Harmonize
和,やわ。らぐ・らげる　なご。む・やか　ワ　オ,声を和らげる,Harmonize your voice
和,やわ。らぐ・らげる　なご。む・やか　ワ　オ,温和な気候,Mild climate
和,やわ。らぐ・らげる　なご。む・やか　ワ　オ,中和曲線,Neutralizing curve
和,やわ。らぐ・らげる　なご。む・やか　ワ　オ,和解する,Reconciling
和,やわ。らぐ・らげる　なご。む・やか　ワ　オ,和牛,Wagyu
和,やわ。らぐ・らげる　なご。む・やか　ワ　オ,和室,Japanese room
別,わか。れる　ベツ,父と別れる,Separate from Father
別,わか。れる　ベツ,別れ,Farewell
別,わか。れる　ベツ,特別,Special
別,わか。れる　ベツ,区別,Distinction
別,わか。れる　ベツ,送別会,Farewell party
別,わか。れる　ベツ,別々,Separation
別,わか。れる　ベツ,差別,distinction
別,わか。れる　ベツ,別荘,villa
別,わか。れる　ベツ,別に,separately
別,わか。れる　ベツ,格別,special
別,わか。れる　ベツ,個別,separate
別,わか。れる　ベツ,別居,separate residence
別,わか。れる　ベツ,別人,separate
別,わか。れる　ベツ,識別,identification
別,わか。れる　ベツ,別問題,separate issue
別,わか。れる　ベツ,選別する,separate
別,わか。れる　ベツ,大別する,classify roughly
別,わか。れる　ベツ,戸別訪問,go door-to-door
別,わか。れる　ベツ,決別する,break up
別,わか。れる　ベツ,別館,annex
別,わか。れる　ベツ,分別する,sort by category
決,き。める　き。まる　ケツ,予定が決まる,make plans
決,き。める　き。まる　ケツ,決心する,make up your mind
決,き。める　き。まる　ケツ,決勝戦,final
決,き。める　き。まる　ケツ,決定する,decide
決,き。める　き。まる　ケツ,決して負けない,Never lose
決,き。める　き。まる　ケツ,解決する,Resolve
決,き。める　き。まる　ケツ,判決する,"judicial decision, judgement"
決,き。める　き。まる　ケツ,決断する,"decision, determination"
決,き。める　き。まる　ケツ,多数決,majority decision
決,き。める　き。まる　ケツ,決まり,decide
決,き。める　き。まる　ケツ,可決する,pass
決,き。める　き。まる　ケツ,決意する,decide
決,き。める　き。まる　ケツ,対決する,face to face
決,き。める　き。まる　ケツ,議決する,vote
決,き。める　き。まる　ケツ,決算する,settle
決,き。める　き。まる　ケツ,否決する,"voting down, rejection"
決,き。める　き。まる　ケツ,採決する,vote
私,わたくし　シ,私事,private affairs
私,わたくし　シ,私立大学,private universities
私,わたくし　シ,私鉄,private railway
私,わたくし　シ,私用,private use
私,わたくし　シ,私物,"private property, personal belongings"
私,わたくし　シ,私有財産,private property
私,わたくし　シ,講師の別,by Instructor
個,コ,一個,one piece
個,コ,数個,several pieces
個,コ,個人の自由,individual freedom
個,コ,個々の問題,individual matter
個,コ,個性がある,individuality
他,ほか　タ,他人,another person
他,ほか　タ,他方,"the other party, other direction"
他,ほか　タ,他界する,"the next world, pass away"
他,ほか　タ,他さんの石,other's stone
他,ほか　タ,彼の死は他殺だ,his death was a homicide
他,ほか　タ,他の本,other book
各,おのおの　カク,各々が責任を持つ,each of us is responsible
各,おのおの　カク,各自,each one of us
各,おのおの　カク,各種,each other
各,おのおの　カク,世界各国,countries all over the world
各,おのおの　カク,各地の天気予報,local weather forecast
君,きみ　クン,君のペンを貸してくれ,lend me your pen
君,きみ　クン,田中君,Mr. Tanaka
君,きみ　クン,諸君,ladies and gentlemen
君,きみ　クン,君主国,monarchy
君,きみ　クン,名君,wise ruler
