Concept,Meaning,Info,Remarks,S.Remarks,R.Remarks,Structure,Sentences,T1,S2,T2,S3,T3,S4,T4,S5,T5
に,indirect object・recipient marker,particle,indicates the in direct object or the recipient ,,,Nperson・thing + ni,父は僕に時計をくれた。,My father gave me a watch.,私は友達に電話をかけた。,I made a telephone call to my friend.,私は日本にいる友達にワインを送った。,I sent a bottle of wine to my friend in Japan.,君にこのペンダントをあげるよ。,I give you this pendant.,今日は動物園に息子を連れて行く。,Today I take my son to the zoo.
に,time marker,particle,indicates a point in time,,,Ntime + ni,昨夜12時に寝ました。,I went to bed at midnight last night.,私達は７時に会うことになっている。,We are to meet at 7:00.,私はいつもは５時に帰宅する。,I usually go home at 5:00.,この店は９時に閉じられます。,This store closes at 9:00.,飛行機は午前１０時に成田から飛び立ちました。,The plane took off from Narita at 10 am.
に,agent marker,particle,"indicates the source, agent or enabler ",,,Nperson・org + ni + .. + Vpass・Vtemorau・Vteitadaku,いろんな人に助けてもらったのに。,I had help from all kinds of people.,専門家に作ってもらったのです。,We had an expert make it for us.,先生に教えていただきました。,I was taught by the teacher.,喫煙をやめるように医者に言われた。,Doctor told me to quit smoking.,先生に注意されました。,The teacher warned me.
の,possession,particle,express possession,,,N + no + N,これは私のコンピュータです。,This is my computer.,私の仕事は医者です。,My job is a doctor.,彼の出身地は大阪です。,He’s hometown is Osaka.,彼女の趣味は水泳です。,Her hobby is swimming.,しかし私の研究プログラムは正常です。,But my research program is fine.
の,"affiliation, description",particle,affiliates or describes nouns,,,N + no + N,あの人は日本語の先生です。,That person is a Japanese teacher.,日本のデパートはおもしろいと思う。,I think the department stores in Japan are interesting.,北海道の冬は寒いでしょうね。,"Hokkaido’s winter must be cold, isn't it?",秋田の海岸は綺麗ですね。,The coast of Akita is beautiful,この紫の花は何と言いますか。,What do you call this purple flower?
の,informal question,particle,use as a question with rising intonation,,,Clause + no,明日青森に行かないの？,Aren't you going to Aomori tomorrow?,交通信号から侵入できるの？,Can you get in through a traffic light?,どんなときに利用できるの？,Under what circumstances can I use this service?,なぜ宿題がそんなに大事なの？,Why is homework so important?,プライバシーの侵害じゃないの？,Isn't that an invasion of privacy?
で,place marker,particle,indicates where the action takes place,,,Nplace + de,喫茶店でコーヒーを飲みました。,I drank coffee at the coffee shop.,デパートで働いています。,I am working at a department store.,いつも図書館で勉強する。,I study at the library always.,駅で友達に会いました。,I met my friend at the station.,公園でお弁当を食べます。,I eat obento at the park.
で,place marker,particle,indicates where an event occurs,,,Nplace + de + Nevent + ga + aru,体育館でスポツー大会がります。,There is a sports competition at the gymnasium.,明日このホールで説明会があります。,There will be a briefing at this hall tomorrow.,今晩家でパーテイーがあります。,There’s a party at home tonight.,昨日この部屋で講演があった。,There was a lecture in this room yesterday.,研究室で晒されたと思いますか。,Do you think you were exposed in the lab?
で,method or means marker,particle,"indicates the method, means or instrument used",,,Ntools・device・vehicles・machine + de,バスで学校へ行きます。,I go to school by bus.,ぺんで書いてください。,Please write with a pen.,日本語で手紙を買います。,Write a letter in nihongo.,ナイフで肉を切ります。,Cut the meat with a knife.,日本人は箸でご飯を食べる。,Japanese people eat rice with chopsticks.
で,material marker,particle,indicates the ingredients or materials used,,,Nmaterial + de,肉と野菜で料理を作りました。,I made it with meat and vegetables.,紙で人形を作ります。,I’ll make a doll with papers.,このバターと卵で美味しいケーキを焼きます。,I’ll bake this cake with butter and egg.,豆腐は大豆で作ります。,We make tofu from soybeans.,これは、高品質のステンレス鋼で作られています。,It is made of high quality stainless steel.
で,"scope, range",particle,indicates a scope within which a,comparative or other statement is made,,Nplace・group + de,東京は日本で一番大きい都市です。,Tokyo is the largest city in Japan.,世界中で一番美しいところはどこですか。,Where is the most beautiful place in the world?,東京で一番のお気に入りスポットは何ですか。,What is your favorite spot in Tokyo?,これがこの市で一番大きいホテルだ。,This is the biggest hotel in the city.,一生で一番恥ずかしいことです。,This is the most embarrassing thing I have ever done in my life.
で,amount marker,particle,indicates the amount for something or required cost,,,Ncost + de,この本を十ドルで買った。,I bought this book for ten dollars.,さまざまな種類のコーヒーが100円で飲める。,Various types of coffee are available for 100 yen.,コーヒーは250円でおかわり自由である。,Coffee is 250 yen and refills are free.,しかし、彼らはまた乗車100円で安いです。,But they are also cheap at 100 yen a ride.,入場料は500円で全席自由となります。,Admission is 500 yen and all seats are unreserved.
で,quantity marker,particle,indicates the quantity of something,,,Namount + de,全部で千五百円でした。,"The total cost was 1,500 yen.",賞金300万円は半分ずつで分けられた。,The prize money of 3 million yen was divided in half.,小計や総計で使用できるデータ関数の一覧です。,List of data functions available for subtotals and grand totals.,全額で返金することを保証します。,We guarantee a full refund.,販売数は限定300個でシリアルナンバー入り。,The number of pieces sold will be limited to 300 and will be numbered.
で,duration marker,particle,indicates the duration or time limit,,,Ntime + de,この仕事は20分でできますか。,Can this job be done in 20 minutes?,このコンサートは10時で終わります。,This concert ends at 10:00.,後５分で試験が終わります。,The examination will end in 5 minutes.,作文は３０分で書き終わりました。,The writing composition ended in 30 minutes.,もう二週間で夏休みになります。,It will be summer vacation in two weeks.
で,cause or reason marker,particle,indicates the cause or reason for something,,,Ncause・reason + de,病気で学校を休みました。,I missed school because I was sick.,事故で電車が止まっています。,The train stops because of the accident.,毎日雨でテニスの練習ができません。,I cannot practice tennis because it rains everyday.,強い風でドアが開きました。,"Due to strong wind, the door open.",来週仕事こうべに意味ます。,"Due to work, I will be in Kobe next week."
が,introductory statement connector,conjunction,connects an introductory statement,,,Clause + ga,その点ですがもっと詳しく説明して下さい。,"As for that point, please explain more in detail.",パーテイーをしますが来ませんか。,"We’ll be having a party, wouldn’t you like to come?",算数は苦手なのですが頑張りました。,I am not good at math but I did my best.,現行ディレクトリが存在しますが読み取り専用です。,The current directory exists but is read-only.,この観点は必要ですがこれでは不十分です。,This perspective is necessary but not sufficient.
が,but,conjunction,use for a contrastive statements,,,Clause + ga + Clause,私はビールを飲むが、酒は飲まない。,I drink beer but don’t drink sake.,旅行したいが、お金がない。,I want to travel but I don’t have money.,私は小さいですが、体丈夫です。,I am not very big but I’m solid.,今日は晴れていますが、寒いです。,It is fine today but it is cold.,シャツを洗いましたが、綺麗になりませんでした。,I washed my shirts but they are still dirty.
の,indefinte pronoun,pronoun,as a dependent indefinte pronoun,,,Verb・Adj + no + particle,私は大きいのを買いました。,I bought a big one.,私は去年買ったのを使った。,I used the one I bought last year.,赤いのはいくらですか。,How much is the red one?,小さいのが欲しいです。,I want a small one.,高いのはなんですか。,What is that expensive one?
と,and,particle,connects nouns,,,N + to + N,本とカバンとノートとペンを買いました。,"I bought a book, a bag, a notebook and a pen.",あなたは幸福と健康とで輝いているのね。,You shine with happiness and health.,中国語と韓国語を勉強しています。,I am studying Chinese and Korean.,漫画と小説を読みます。,I read comics and novels.,日本食と韓国料理が好きです。,I like Japanese and Korean food.
と,with・to,particle,doing something together ,,,N + to,その事に関しては同僚と相談しなければなりません。,I will have to discuss that with my colleagues.,友達と会います。,Meet with friends.,インストラクターと打ち合わせてください。,Please confer with your instructor.,家族と一緒に毎年訪れたい場所です。,This is a place I want to visit every year with my family.,それが沖縄そばと一緒においしく食べれます。,You can eat it deliciously with Okinawa soba noodles.
と,indirect quotation,particle,quote and give some information about the executed action,,,to + Verb (iu・omou・tanomu・yosou・tsutomeru・etc),彼の医師もそれが奇跡であったと言いました。,His doctors also said it was a miracle.,これは高すぎると思います。,I think this is too expensive.,クラスメートに写真を撮らせてと頼みました。,I asked my classmates to let me take their picture.,他人には近づきすぎるなと注意した。,I warned him not to get too close to strangers.,私の場合になると予想した。,I had expected would be the case.
か,or,particle,choose between multiple options or possibilties,,,V・I-Adj・Na-Adj・N + ka,お茶かコーヒーが飲みたい。,I would like a cup of tea or coffee.,やるかやらないか早く決めてください。,Decide quickly whether to do it or not.,夏休みに海か山へ行きます。,I will go to the beach or mountains during summer vacation.,徒歩か運転かタクシーか自転車かいずれにせよ決断を下します。,"Whether you walk, drive, take a cab, or bike, you make the decision.",暖かいか寒いか乾いているか湿っているかということに絶対的な条件はありません。,"There are no absolute requirements for warm or cold, dry or wet."
か,question marker,particle,indicates a question ,,,Clause + ka,軽食機内サービスありますか。,Is there a snack service on board?,でももったいないと思いませんか。,But don't you think it's a waste?,いつまで預けるつもりですか。,How long do you plan to keep them?,誰に電話してるんですか。,Who are you calling?,なぜオンラインチケットの予約を勧めるのですか。,Why do you recommend booking tickets online?
よ,ender,particle,express assertion or conviction,tell someone something that,the other person may not know about,Clause + yo,薬よりずっと飲みやすいですよ。,It is much easier to take than medicine.,今がラストチャンスですよ。,Now is your last chance.,答えは相変わらずですよ。,The answer is still the same.,休憩室からの眺めも気持ち良いですよ。,"The view from a resting room is very good, too.",模様や鮮やかな色彩が見どころですよ。,The patterns and bright colors are a highlight.
ね,unspoken agreement: right?・isn’t it?,particle,seek or request a confirmation or agreement,from the listener about the shared knowledge,unspoken confirmation or agreement,Clause + ne,時々ちょっとした指導が必要だね。,Sometimes you need a little guidance.,でもこの試練は終わったね。,At least this whole ordeal is over now.,今日もよい天気らしいですね。,it seems it's another beautiful day.,興味深いものでしたね。,I think it was interesting.,見分けるのが時々難しいですね。,It's hard to tell them apart sometimes.
も,also・too・even,particle,express same condition or even more extreme,,,N + (particle) + mo,この子はもう難しい漢字もかける。,This child can already write difficult kanji characters.,こんなに高い山の上にも店がある。,There is a store on top of such a high mountain.,魚も肉も好きです。,I like both fish and meat.,圧力計の製作順序も述べた。,The order in which the pressure gauges were fabricated was also described.,つけ麺もラーメンもうまい。,Tsukemen and ramen are both good.
や,and,particle,connects nouns,,,N + ya + N,ビタミンやミネラルは生の果物や野菜に豊富です。,Vitamins and minerals are abundant in raw fruits and vegetables.,容量や転送速度はテクノロジーやメーカーによって異なります。,Capacity and transfer rates vary by technology and manufacturer.,ガンや心臓疾患や肥満のリスクを低減します。,"Reduces the risk of cancer, heart disease and obesity.",商品やその値段評価やレビューを見ることができます。,You can view products and their price ratings and reviews.,ゲームやスポーツから旅行や宿泊まで可能性は無限です。,"From games and sports to travel and lodging, the possibilities are endless."
も~ない,not even・not at all,particle-inflection,emphatic particle which means not even,,,N + mo + .. + Vnai,１日も休まないで学校に通うた。,He never missed a day of school.,一円も残っていない。,Not a penny left.,この写真は誰にも見せないでくださいよ。,Please don't show this picture to anyone.,こんな簡単なことも出来ないのか。,You can't even do this simple thing.,本当に何も知らないのか。,You really don't know anything about it.
から,from,particle,marks a starting point,,,N + kara,来週国から父が来ます。,"Next week, my father is come from my home country.",バスは駅の前から出ます。,The bus leaves from in front of the station.,今晩８時からテレビを見ます。,I will watch television from eight o’clock tonight.,銀行は朝９時からです。,The bank starts from nine o’clock in the morning. ,この花は私の友達からです。,This flower is from my friend
まで,until・up to,particle,"marks an end point or a spatial, temporal or",quantitative limit,,N + made,この飛行機はロンドンまで行きます。,This plane is going to London.,駅まで自転車で行きます。,I will go by bicycle to the train station.,五時まで会社で働きます。,I work at the company until five.,9月まで日本にいます。,I will be in Japan until September.,飛行機が出るまでロビーで友達と話ていた。,I was talking to a friend in the lobby until the plane left.
まで,even,particle,emphasize unexpected extent or scope of something,,,N + made,広告主や政府までもが非常に関心を寄せています。,Advertisers and even governments are very interested.,さらに風や雨の影響まで加わってくる。,"Furthermore, wind and rain will even add to the effect.",顔付きまではっきり覚えていた。,I even remembered his face clearly.,メディアファイルまで簡単に復元できます。,Even media files can be easily recovered.,保存されたビデオや写真まで復元することができます.,You can even recover saved videos and photos.
までに,by・before・not later than・until・up to,double-particle,indicates a deadline or specific time limit,,,N + made ni,日の出までに進展報告を期待してる。,I expect a progress report by sunrise.,到着の午後4時までにキャンセル。,Can be canceled by 4 p.m. on the day of arrival.,月曜日までにこの仕事を終えて下さい。,Please finish this job by Monday.,レポートは会議までに間に合いますか。,Will the report be ready by the meeting?,試験は11月までに終わるはずだった。,The exams were to be finished by November.
だけ,only・just・merely,particle,express a limit imposed upon something,express only in a limited range,,Vplain・I-Adj・Na-Adj+na・N + dake,お茶だけ飲みました。,I only drank green tea.,朝はコーヒーを一杯飲むだけです。,"In the morning, I just drink a cup of coffee only.",新鮮な魚だけ食べた。,I ate only fresh fish.,魚を食べただけだ。,I just ate the fish only.,指導者に言われた通りにしただけです。,I only did just as the coach told me.
しか,only nothing but,particle,expresses that there is,no more than the marked element,,N + (particle) + shika + Vnai ,この本はこの図書館しかありません。,This book is only available in this library.,そこは車でしか行けない。,You can only go there by car.,私は漢字を少ししか知りません。,I know only a few kanji.,私は4時間しか寝なかった。,I only slept four hours.,人は経験からしか学ばない。,One can only learn from experience.
まだ,not yet・still,adverb,express non completion for the time being,,,mada + Verb・Noun・Adjective,たくさん買い物をしましたが、まだお金があります。,"I did a lot of shopping, but I still have money to spend.",彼はまだ寝ている。,He's still sleeping.,私の同僚たちはまだ勤務中だ。,My colleagues are still on duty.,彼はまだ来ていない。,He has not yet arrived.,お酒はまだありますか。,Do you still have alcohol?
もう,already・anymore,adverb,express completion as of that time,,,mou + Verb・Noun・Adjective,もう5時を過ぎました。,It is already past five o'clock.,宿題をもう終えましたか。,Have you finished your homework yet?,夕ご飯をもう食べたか。,Have you had dinner yet?,私はもうお酒を飲みません。,I no longer drink alcohol.,もう雪が降りました。もう寒いです。,It has already snowed. It is already cold.
でも,even,particle,express by extreme example,that something is obvious,,N + demo,そんなことは子供でも知っている。,Even children know that.,彼は夜遅くでも働く。,He works even late at night.,海外でも大人気の日本犬柴犬。,The shiba inu is a popular Japanese dog breed even overseas.,小さなミスでも見落としては行けない。,Even a small mistake cannot be overlooked.,猫は暗いところでも目が見える。,Cats can see even in the dark.
でも,some・something,particle,"used to offer something, mildly suggest, proposals",express intent or request for something,,N + demo,お茶でもいれましょうか。,Shall I make some tea?,映画でも見に行こうか。,Let's go see a movie.,仕事の息抜きにコーヒーでも飲みましょうか。,Let's have a cup of coffee to take a break from work.,散歩でもしようかなと思っています。,I'm thinking of taking a walk.,ビデオでも見るかい？,You want to watch a video or something?
でも,but・however,connective,connects contrastive sentences,,,Clause + demo + Clause,デパートにいきました。でも、しまっていました。,I went to the department store. But it was closed.,パン屋に行きました。でも、何も買いませんでした。,I went to the bakery. But I didn't buy anything.,今朝学校に行きました。でも、休みでした。,I went to school this morning. But it was closed.,今日公園に行きたい。でも、雨が降っている。,I want to go to the park today. But it's raining.,野球は楽しい。でも、サッカーの方がいい。,Baseball is fun. But soccer is better.
でも,anyone・anytime・anywhere,particle,"express the idea of any place, time, way, person, etc.",when connected with an interrogative,,Interrogative + demo,最初にくる人は誰でもいちばんよい席を取る。,Whoever comes first gets the best seat.,何でも作ることができます。,Anything can be made.,地震はいつでも起こる可能性がある。,Earthquakes can happen at any time.,どこでもつながる運用方法を追及しています。,We are pursuing operational methods that connect everywhere.,仕事はいくらでもあるんです。,There is plenty of work to be done.
しかし,but・however,connective,connects contrastive sentences,,,Clause + shikashi + Clause,しかし問題があるかもしれない。,But there could be a problem.,しかしまずは心を広げるのです。,"But first, you must expand your mind.",しかし同社は事業活動を進める。,"However, the company will proceed with its business activities.",日本は大好きです。しかし、日本の夏がとても暑いです。,"I love Japan. However, summer in Japan is very hot.",韓国料理はおいしいです。しかし、日本料理の方が好きです。,"Korean food is delicious. However, I prefer Japanese food."
くらい,"approximately, about, around",suffix-particle,"approximate level, period, volume","number, quantity, extent or degree",,V・I-Adj・Na-Adj・N + kurai・gurai,私は昨日10時間くらい寝ました。,I slept about 10 hours yesterday.,どのぐらい練習したんですか。,How long did you practice?,彼女が私と同じくらい背が高いんだ。,She's as tall as I am.,この学校には学生が２５００人くらいいます。,"There are about 2,500 students in this school.",台風で風が強く立って歩けないぐらいだ。,The typhoon was so windy that I could hardly stand and walk.
くらい,similar amount,suffix-particle,express similarity of extent or scale,by citing similar example,,V・I-Adj・Na-Adj・N + kurai・gurai,卵ぐらいの大きさのパン作った。,I made a loaf of bread about the size of an egg.,それらはこれぐらいの大きさまで成長します。,They grow to about this size.,それは１５ドルぐらいの値段でしょう。,That would be about 15 dollars.,麺にまぶすくらいの感じの絶妙な量です。,"It is the perfect amount, just enough to smother the noodles.",どのくらいの影響が出るのか。,How much impact will this have?
ごろ,around・about・when,suffix,approximate point of time,,,V・I-Adj・Na-Adj・N + goro,夕食は何時ごろになさいますか。,What time would you like to have dinner?,去年の今ごろは大雪でしょたね。,About this time last year it snowed heavily.,僕は九時半ごろ迎えに来ればいいですね。,I should be picked up around 9:30.,今日は夜９時ごろ帰ります。,I will return home around 9:00 p.m. today.,今日六時ごろお茶を飲みに来ませんか。,Why don't you come for a cup of tea around 6:00 today?
ずつ,apiece・each・at a time,suffix-particle,indicates equal distribution of quantity,,,N + zutsu,毎月３冊ずつ本を買っています。,I buy three books each month.,私たちは一歩ずつ進みましょう。,Let us go one step at a time.,彼女は少しずつ回復している。,She is recovering little-by-little.,私は毎日単語を五つずつ覚えています。,I learn five words each day.,日本での生活は少しずつ慣れてきた。,I am gradually getting used to life in Japan.
ながら,while,conjunction,indicates two action at the same time,,,Vnoun-stem + nagara,夫は新聞を読みながら朝ごはんを食べる。,My husband eats breakfast while reading the newspaper.,彼女は音楽を聴きながらいつも勉強する。,She always studies while listening to music.,芸術に関する知識を与えながら教育するプログラム。,A program that educates while imparting knowledge about the arts.,彼女は食べながら話を続けた。,She continued talking while eating.,私たちは英語を学びながら楽しい時間を過ごした。,We had a great time while learning English.
とき,when・at the time of・during,conjuction,refers to time of action or a point or a period in time,,,Vru・Vta・N+no + toki,私は毎朝学校へ行くときにその店の前を通る。,I pass by that store when I go to school every morning.,日本へ行くときカメラを買いました。,I bought a camera when I went to Japan.,日本へ行ったとき成田でカメラを買います。,"When I visit Japan, I buy a camera at Narita.",私はそこへ行ったとき店は閉められていた。,When I went there the store was closed.,ピーク時間以外のときに自動バックアップを実行。,Perform automatic backups during off-peak hours.
から,because・due to・since・so,conjuction,state a cause or a reason,,,Clause-plain + kara,スープが熱いから気をつけて持っていきなさい。,"The soup is hot, so take it with care.",後で使いますからそのままでけっこうです。,"It will be used later, so you can leave it as it is.",納豆は臭いから嫌いです。,I don't like natto because of its smell.,面白いから買ってみただけ。,I just bought it because it's interesting.,ちょっと疲れたから休みましょう。,"I'm a little tired, so let's take a break."
ので,because・due to・since・so,conjuction,state a cause or a reason,,,Vplain・I-Adj・Na-Adj+na・N+na + node,ちょっと約束があるので私は先に帰ります。,"I have a few appointments, so I'll go home first.",ちょっと忙しいのであとでもいいですか。,"I'm a little busy, so can we do this later?",間違いが多すぎるのでやり直してください。,"Because there are too many mistakes, please redo it.",わたしはコーヒーが好きなのでよく飲みます。,"I like coffee, so I drink it often.",台風が近づいているので明日は休みです。,We are closed tomorrow because of an approaching typhoon.
こそ,precisely,particle,emphatic particle which means precisely,differentiate a point,,N + koso,今度こそ優勝したい。,I want to win this time.,この資料こそ長い間探していたものだ。,This material is what I have been looking for for a long time.,今度こそ完璧な監視が必要だ。,This time we need complete surveillance.,勇気こそを持っていたのです。,Courage is what we had.,こうした稀少な原料こそが彼のクリエイションの源。,These rare raw materials are the source of his creations.
からこそ,precisely because,conjuction-particle,combination of conjunction and particle,which means precisely because,,Vplain + kara koso,親だからころ自の子を厳しく叱るのだ。,They scold their own children because they are parents.,人生は儚いからこそ美しいのです。,Life is beautiful precisely because it is fleeting.,痛みをかんじるからこそ気付きます。,We realize this because we feel pain.,過酷な条件だからこそ高度な技術が光る。,It is precisely because of the harsh conditions that the advanced technology shines through.,その状況だからこそ事を起こせたのよ。,It's that situation that made things happen.
さえ,even,conjunctive-particle,cite an extreme case which naturally there are some other factors,expresses a surprise or dismay,,N + (particle) + sae,彼は中学生でさえ読める漢字が全く読めない。,He cannot read any kanji that even junior high school students can read.,山の上には夏でさえ雪が残っている。,"There is still snow on the mountains, even in summer.",彼女は会話を続ける事さえできなかった。,She could not even continue the conversation.,小さな変化でさえ本当に重要です。,Even small changes really matter.,子供でさえその質問に答えられる。,Even children can answer that question.
さえ~ば,if only,conjunctive-particle-condtional,indicates a minimum condition necessary,for something to happen,,N + sae + Vcond-ba,とにかく雨さえ止めば出かけられるだろう。,"Anyway, as long as it stops raining, we can go out.",お前は信頼さえすればいい。,All you have to do is trust.,雨さえ降らなければ花火ができる。,"As long as it doesn't rain, we can have fireworks.",これさえ分かれば話についてこれますよ。,"If you know this, you can keep up with the conversation.",呼びさえすれば彼の仲間がすぐやってきます。,All you have to do is call and his people will come right over.
など,etc.・something like that・the likes of・and such,particle,suggest something or raise alternatives,cite an example and indicate that there are there items in a list,,N + nado,地域企業への支援活動なども行われる。,Support activities for local businesses and such will also be conducted.,住居問題などが生まれるのです。,"It creates housing problems, etc.",ケーキの飾りなどに用いる。,"Used to decorate cakes, etc.",猫など飼ってみたらどうでしょう。,Why don't you get a cat or something?,こちらの赤などもお似合いかと存じます。,I think something like this red also suits you very well.
もっと,more・even more・further,adverb,"describes the greater number, amount",or degree of the word that follows,,motto + N・Verb・Adjective,もっと運動をしてください。,Do more exercise.,もっと勇気出してください。,Please be more courageous.,もっと興味深い例をふたつお見せします。,Let me show you two more interesting examples.,２番目のグループはもっと面白いですよ。,The second group is more interesting.,これからもっと複雑な会話ができる。,We can have more complex conversations in the future.
ちょっと,a little・a bit・just・easier・lesser・slightly,adverb,"describes the lesser number, amount", or degree of the word that follows,,chotto + N・Verb・Adjective,今さら習うのもちょっと恥ずかしい。,It's a little embarrassing to learn now.,ちょっとふてくされたお顔の猫がキュートです。,The cat with a slightly sulky face is cute.,詳しく説明するのはちょっと難しいですね。,It is a little difficult to explain in detail.,ちょっと違ってますよね。,It's a little different.,確かにちょっと挙動は変わるけど。,It's true that the behavior changes a bit.
ほとんど,mostly・almost・most of,adverb,express something that is almost all,or hardly any in a negative sentence,,hotondo + N・Verb・Adjective,技術的な可能性はほとんど無限です。,The technical possibilities are almost endless.,今年は屋台がほとんどないね。,There are hardly any food stalls this year.,宿題はほとんど終わっているよ。,I'm almost done with my homework.,日本人はほとんどの食事で白米を食べる。,Japanese people eat white rice at most meals.,ほとんど誤差は出なかった。,There was almost no margin of error.
たいてい,usually・mostly・generally・ordinarily,adverb,express something that usually or generally happens,,,taitei + N・Verb・Adjective,雨はたいてい秋と春に降る。,Rain usually falls in the fall and spring.,私はたいていこのスーパーで買い物をします。,I usually shop at this supermarket.,私はたいてい朝食に果物を食べる。,I usually eat fruit for breakfast.,日曜の午後はたいてい買い物に出かけます。,Sunday afternoons are usually spent shopping.,たいていの人はそれを認めないでしょう。,Most people will not admit it.
ときどき,sometimes・occasionally,adverb,express something that occasionally or sometime do happens,,,tokidoki + N・Verb・Adjective,彼はときどき車で仕事に行く。,He sometimes drives to work.,私たちはときどきその湖で泳ぎます。,We sometimes swim in that lake.,私はときどきその中に少しの塩を入れる。,I sometimes put a little salt in it.,ときどき旅にも出たくなる。,Sometimes I want to travel.,彼女はときどき酒をすこし飲む。,She sometimes drinks a little.
いつも,always・all the time,adverb,express something that always happens ,,,it sumo + N・Verb・Adjective,その答えはいつも同じでした。,The answer was always the same.,彼女は音楽を聴きながらいつも勉強する。,She always studies while listening to music.,科学者はいつもこのことを議論しています。,Scientists debate this all the time.,最近いつも雨が降っている。,最近いつも雨が降っている。,専門家はそれをいつもする。,Experts do it all the time.
よく,often・well,adverb,express something that happens often or regularly,"nicely, properly, sufficiently, satisfactorily or well done",,yoku + N・Verb・Adjective,チョコレートやケーキによく合います。,Goes well with chocolate and cakes.,道路網はよく発達している。,The road network is well developed.,よく現世で買い物を楽しんでいる。,He often enjoys shopping in this life.,最近よくテレビを見ています。,I watch TV frequently these days.,花は香水によく使われます。,Flowers are often used in perfumes.
また,again・once more,adverb,express something that happens again,,,mata + N・Verb・Adjective,昨夜また地震があった。,There was another earthquake last night.,お茶を飲み終わるとまた仕事に戻った。,"After I finished my tea, I went back to work.",また元気になってね。,Get well again.,また近所で火事があった。,There was another fire in the neighborhood.,また痛むようでしたらこの薬を飲んでください。,"If it hurts again, take this medicine."
あまり~ない,not very・not much,adverb,express something that is not sufficient or satisfactory,,,amari + Nnai・Vnai・I-Adj+kunai・Na-Adj+nai,情報をあまり信用できませんでした。,I did not trust the information very much.,最近はあまり言われなくなった。,Not much is being said about it these days.,道路網はあまり発達していない。,The road network is not very well developed.,あまり高い評価は受けていない。,Not very highly rated.,この小説はあまり面白くない。,This novel is not very interesting.
