Grammar,Meaning,Structure,Sentence,Translation,S1,T1,S2,T2
にわたる,"extending for/over/through, for, over",⚭ Noun + ni wataru + Noun,,,,,,
にわたっての,"extending for/over/through, for, over",⚭ Noun + ni watatte no + Noun,,,,,,
にの上で,"as far as ~is concerned, as far as ~goes, from the viewpoint of, according to, in terms of",⚭ Noun + no ue de (wa),,,,,,
の代わりに,"for, in place of, instead of",⚭ Noun + no kawarini,,,,,,
の代わりの,"for, in place of, instead of",⚭ Noun + no kawarino + Noun,,,,,,
の結果,"as a result of, after, upon",⚭ Noun + no kekka,,,,,,
の際に,"at the time of, when",⚭ Noun + no sai (ni),,,,,,
のせいで,"because of, due to",⚭ Noun + no sei de,,,,,,
のたびに,"every time, each time",⚭ Noun + no tabi ni,インストールのたびに構成チェックを実行する。,Perform a configuration check on every installation.,プロジェクトのたびに映像を作ります。,We make a video for every project.,リクエストのたびにカウンタをリセットします。,Reset the counter for each request.
のため,"for the purpose of, in order to, because of, for the benefit, on behalf",⚭ Noun + no tame,長雨のためこのところ工事はかなり遅れ気味だ。,"Due to the long rains, construction has been delayed considerably recently.",大雪のため電車が遅れています。,Trains are delayed due to heavy snow.,強い風のため飛行機の出発が遅れています。,"Due to strong winds, flight departures have been delayed."
のために,"for the purpose of, in order to, because of, for the benefit, on behalf",⚭ Noun + no tame ni,お年寄りのために使い方の説明をもっと大きい字で書いてください。,Please write the instructions for use in larger letters for the elderly.,西洋美術を勉強するためにイタリア語を習っています。,I am learning Italian in order to study Western art.,明日の試験のために習った単語や漢字を復習しておきます。,I'll review the vocabulary and kanji I learned for tomorrow's exam.
のための,"for the purpose of, in order to, because of, for the benefit, on behalf",⚭ Noun + no tame no + Noun,本屋の店頭には中高年の男性のための料理雑誌が目立つ。,Cooking magazines for middle-aged and older men are prominent in bookstores.,これは日本語を勉強する人のための本です。,This is a book for those studying Japanese.,このボタンは注文するときに店員さんを呼ぶためのものです。,This button is for calling the waiter when ordering.
の他に,"besides, other than",⚭ Noun + no hoka  ni,整合性と認証の他にプライバシーを要求します。,It requires privacy as well as integrity and authentication.,英語の他に彼はフランス語も話せる。,Besides English he also speaks French.,アジサイの他にも1年中花が絶えず紅葉でも知られる。,"In addition to hydrangeas, flowers are always known for their autumn leaves all year round."
の下で,"in, with, under",⚭ Noun + no moto de,,,,,,
をおいて,"except, but, other than",⚭ Noun + wo oite,,,,,,
を介し,"by way of, through",⚭ Noun + wo kaishi,,,,,,
を介して,"by way of, through",⚭ Noun + wo kaishite,,,,,,
を介した,"by way of, through",⚭ Noun + wo kaishita + Noun,,,,,,
を介する,"by way of, through",⚭ Noun + wo kaisuru + Noun,,,,,,
を介しての,"by way of, through",⚭ Noun + wo kaishite no + Noun,,,,,,
を中心に,"around, with ~as the center",⚭ Noun + wo chuushin ni,,,,,,
を通じ,"through, throughout",⚭ Noun + wo tsuuji,,,,,,
を通じて,"through, throughout",⚭ Noun + wo tsuujite,,,,,,
を通じての,"through, throughout",⚭ Noun + wo tsuujite no + Noun,,,,,,
を通し,"through, throughout, by means of, via",⚭ Noun + wo tooshi,,,,,,
を通して,"through, throughout, by means of, via",⚭ Noun + wo tooshite,,,,,,
を通した,"through, throughout, by means of, via",⚭ Noun + wo tooshita + Noun,,,,,,
を通しての,"through, throughout, by means of, via",⚭ Noun + wo tooshite no + Noun,,,,,,
を除いて,"excluding, except (for), but",⚭ Noun + wo nozoite,,,,,,
を除き,"excluding, except (for), but",⚭ Noun + wo nozoki,,,,,,
を除く,"excluding, except (for), but",⚭ Noun + wo nozoku + Noun,,,,,,
を除いた,"excluding, except (for), but",⚭ Noun + wo nozoita＋ Noun,,,,,,
をはじめ,"including, and other, starting with",⚭ Noun + wo hajime,,,,,,
をはじめとして,"including, and other, starting with",⚭ Noun + wo hajime toshite,,,,,,
をはじめとする,"including, and other, starting with",⚭ Noun + wo hajimetosuru + Noun,,,,,,
をはじめとした,"including, and other, starting with",⚭ Noun + wo hajimetoshita + Noun,,,,,,
を経て,"by way of , via , through",⚭ Noun + wo hete,,,,,,
を目指し,"aiming at, heading for, toward, for",⚭ Noun + wo mezashi,,,,,,
を目指して,"aiming at, heading for, toward, for",⚭ Noun + wo mezashi(te),,,,,,
を目指した,"aiming at, heading for, toward, for",⚭ Noun + wo mezashita + Noun,,,,,,
を目指しての,"aiming at, heading for, toward, for",⚭ Noun + wo mezashite no + Noun,,,,,,
をもって,"with, by means of, using, as of",⚭ Noun + wo motte,,,,,,
を基に,based on,⚭ Noun + wo motoni,,,,,,
を基にして,based on,⚭ Noun + wo motoni shite,,,,,,
を基にした,based on,⚭ Noun + wo motonishita + Noun,,,,,,
を基にしての,based on,⚭ Noun + wo motonishite no + Noun,,,,,,
ばかり,only,⚭ Noun + bakari,,,,,,
だけ,only,⚭ Noun + dake,,,,,,
ばかりでなく,not only,⚭ Noun + bakari de naku,,,,,,
だけでなく,not only,⚭ Noun + dake de naku,,,,,,
でも,"even, even if, even though",⚭ Noun + demo,,,,,,
でもいい,it is alright if,⚭ Noun + de mo ii,,,,,,
ほど,as much as,⚭ Noun + hodo,,,,,,
上,from the standpoint of,⚭ Noun + jou,,,,,,
臭い,smell of,⚭ Noun + kusai,,,,,,
みたい,"look like, appear to be, (noun)-like",⚭ Noun + mitai,,,,,,
らしい,"look like, appear to be",⚭ Noun + rashii,,,,,,
なしで,"must, have to (obligation)",⚭ Noun + nashi (de),,,,,,
なんて,such (things) as,⚭ Noun + nante,,,,,,
に関する,"as far as, related to, concerning, about",⚭ Noun + ni kansuru,,,,,,
に関して,"as far as, related to, concerning, about",⚭ Noun + ni kanshite,,,,,,
に対する,"towards, against, regarding, in contrast with",⚭ Noun + ni taisuru,,,,,,
に対して,"towards, against, regarding, in contrast with",⚭ Noun + ni taishite,,,,,,
について,"concerning, regarding, about",⚭ Noun + ni tsuite,,,,,,
に気がつく,"notice, take notice of",⚭ Noun + ni ki ga tsuku,,,,,,
に気をつける,"pay attention to, be careful of, watch (out for)",⚭ Noun + ni ki wo tsukeru,,,,,,
における,"in, at, on (a specific area)",⚭ Noun + ni okeru,,,,,,
にする,decide on,⚭ Noun + ni suru,,,,,,
にとって,"(as) for, from the standpoint of",⚭ Noun + ni totte,,,,,,
によって,"through, by the way of, by means of, depending on",⚭ Noun + ni yotte,,,,,,
の代わりに,"instead of, in place of",⚭ Noun + no kawari (ni),,,,,,
のこと,about (little things of),⚭ Noun + no koto,,,,,,
の前に,before,⚭ Noun + no mae ni,保守アクティビティの前に既存のイベントを保存する。,Save existing events before maintenance activities.,旅行の前に切符を買っておきます。,I'll buy a ticket before my trip.,ご飯の前に手を洗いましょう。,Wash your hands before you eat.
の前に,in front of,⚭ Noun + no mae ni,そのデパートの前に書店がある。,There is a bookstore in front of that department store.,俺の家の前に車が止まっている。,There's a car parked in front of my house.,僕の目の前に彼が突然現れた。,He just appeared out of nowhere in front of me.
の中に,"among, (with) in",⚭ Noun + no naka ni,,,,,,
のうち,"among, (with) in",⚭ Noun + no uchi,,,,,,
のために,"for, in behalf of, for the sake of, because of",⚭ Noun + no tame ni,,,,,,
の通り,"in the same way as, in the way, as",⚭ Noun + no toori ni,,,,,,
の上に,"in addition to, on top of",⚭ Noun + no ue (ni),,,,,,
のように,like,⚭ Noun + no you ni,,,,,,
を基にして,based on,⚭ Noun + wo moto ni shite,,,,,,
を通して,"through, with (by means of, by way of)",⚭ Noun + wo tooshite,,,,,,
しか,(nothing / anything) except,⚭ Noun + shika,,,,,,
的,"-like, -ish, having the qualities of, -ical, ically",⚭ Noun + teki,,,,,,
と違って,"unike, differing from",⚭ Noun + to chigatte,,,,,,
という,"called, so-called",⚭ Noun + to iu,,,,,,
というよう,"such (things) as, like",⚭ Noun + to iu you (na),,,,,,
として,"as, in the capacity of",⚭ Noun + to shite,,,,,,
と共に,"(along) with, in the company of",⚭ Noun + to tomo ni,,,,,,
だろう,probably,⚭ Noun + darou,,,,,,
かもしれない,might,⚭ Noun + kamoshirenai,,,,,,
かしら,I wonder,⚭ Noun + kashiwa,,,,,,
かな,I wonder,⚭ Noun + kana,,,,,,
なら,if,⚭ Noun + nara,,,,,,
にちがいない,must,⚭ Noun + chigainai,,,,,,
らしい,It seems,⚭ Noun + rashii,,,,,,
だと,if,⚭ Noun + da to,,,,,,
だったことがある,there are times when,⚭ Noun + datta koto ga aru,,,,,,
だったら,"if, when",⚭ Noun + datta ra,,,,,,
だって,even if,⚭ Noun + datta tte,,,,,,
だから,"so, since, because",⚭ Noun + da/datta kara,体も丈夫だからまた来年挑戦してください。,"Your body is strong, so please try again next year.",簡単な手術だから心配することはありません。,"It's a simple surgery, so there is nothing to worry about.",必修だから取らざるをえない。,I have to take it because it's required.
間,"between, in between (in approx. space)",⚭ Noun + no/datta aida,大阪までの間のどこかで駅弁買って食べよう。,I'll buy an ekiben somewhere on the way to Osaka and eat it.,地下鉄の梅田と難波の間で事故があったようです。,There's been an accident on the subway between Umeda and Namba.,,
間に,"between, in between (in specific space)",⚭ Noun + no/datta aida ni,ステレオと本棚の間にテレビを置いた。,I put the TV between the stereo and the bookshelf.,古本を買ったらページの間に一万円札が挟まっていた。,"I bought an old book and found a 10,000 yen bill stuck between the pages.",,
間,"while, during, throughout, all throughout (in entire time)",⚭ Noun + no/datta aida,わたしは夏の間ずっと北海道にいました。,I was in Hokkaido all summer.,彼は会議の間ずっと居眠りをしていた。,He'd dozed off throughout the meeting.,彼女が戻ってくるまでの間喫茶店で本を読むことにした。,I decided to read a book in a coffee shop until she came back.
間に,"while, during, between (in specific time)",⚭ Noun + no/datta aida ni,夏休みの間に引っ越ししたいです。,I would like to move during the summer vacation.,４時から５時までの間に一度電話をください。,Call me once between 4:00 and 5:00.,夏休みの間に彼女が出来ました。,I got a girlfriend during my summer vacation.
はず,"should be, It is expected that",⚭ Noun + no/datta hazu,日本に住んでいるので日本が上手なはずだ。,"I live in Japan, so I must be good at Japan.",今日は祝日だから銀行は休みのはずだ。,"Today is a holiday, so banks should be closed.",列車は６時到着のはずだった。,The train was supposed to arrive at 6:00.
時,"at the time of, when, during",⚭ Noun + no/datta toki,ピーク時間以外のときに自動バックアップを実行。,Perform automatic backups during off-peak hours.,子どもの運動会のときビデオをとってもかまいませんか。,May I take a video of my child's field day?,地震のときはすぐに火を消しなさい。,"In the event of an earthquake, put out the fire immediately."
つもり,"mean, believe",⚭ Noun + no/datta tsumori,あれで歌手のつもりだ。,He thinks he's a singer.,何のつもりでそんなことを言うのだ。,What do you mean by that?,不法侵入のつもりはありません。,We don't mean to trespass.
ようだ,"it appears that, looks, seems",⚭ Noun + no/datta youda,説明から電話リレーのようだ。,Looks like a phone relay from the description.,君が一番乗りのようだ。,Looks like you're first in line.,あのいえは空き家のようだ。,That house looks vacant.
んだ,"it is that, the fact is that, the explanation is that",⚭ Noun + na/datta nda,今晩彼と食事をする予定だったんだ。,I was supposed to have dinner with him tonight.,去年のプレゼントだったんだ。,It was a gift from last year.,猫アレルギーなんです。,I am allergic to cats.
ので,"since, because",⚭ Noun + na/datta node,正直だったので彼を雇った。,I hired him because he was honest.,明日は試験なので今日は早く寝ます。,I'm going to bed early today because I have an exam tomorrow.,危険なのでその機械に触ってはいけません。,Do not touch that machine as it is dangerous.
のに,"although, despite, even though",⚭ Noun + na/datta noni,彼女は病気なのに仕事をしています。,"Even though she is sick, she is working.",今日は祝日なのに働かなければなりません。,"Even though today is holiday, I have to work.",彼女がきれいなのに彼氏がいません。,"Although she is very beautiful, she doesn't have a boyfriend."
のうちに,"while, during, within",⚭ Noun + no uchi ni,独身のうちにたくさん遊んでおきたい。,I want to enjoy life as much as I can while I am still single.,今のうちに書いておこう。,I'll write it down while I'm at it.,,
によって,"because of, by means of, by (someone/something), based on, according to, depending on each case",⚭ Noun + ni yotte,大雪によって電車は３時間以上も遅れました。,"Due to the heavy snow, the train was more than 3 hours late.",料金は荷物の重さや大きさによって変わります。,Fees vary depending on the weight and size of the luggage.,文化は国によって異なります。,Culture varies from country to country.
による,"because of, by means of, by (someone/something), based on, according to, depending on each case",⚭ Noun + ni yoru,その事故は彼の車の運転における不注意によるものであった。,The accident was due to his careless driving of the car.,大雨による影響で電車が遅延した。,Heavy rains caused train delays.,地震による津波の心配はありません。,There is no concern about tsunamis caused by earthquakes.
によると,"according to, judging from",⚭ Noun + ni yoru to,セキュリティによると誤警報でした。,"According to security, it was a false alarm.",今朝の新聞によるとフィリピンで大きな地震があったそうです。,"According to this morning's newspaper, there was a major earthquake in the Philippines.",天気予報によると明後日には関東地方に大型の台風が上陸するそうです。,"According to the weather forecast, a large typhoon will hit the Kanto region the day after tomorrow."
によるば,"according to, judging from",⚭ Noun + ni yoru ba,,,,,,
抜きで,"without, excluding",⚭ Noun + nuki de,朝食抜きで働くのは苦痛であった。,Working without breakfast was painful.,今後の飲み会は彼抜きでやりましょう。,Let's do future drinking sessions without him.,,
は抜きにして,"excluding, stopping, quitting, without",⚭ Noun + wa nuki ni shite,冗談は抜きにして君は僕のタイプだよ。,"Without kidding, you're my type.",堅い話は抜きにして気楽にやりましょう。,Let's take it easy and skip the formalities.,冗談は抜きにしてそろそろ本題に入りましょうか。,"Joking aside, it is time to get down to business."
あげく,"after much, ended up, in the end, after all",⚭ Noun + no ageku,毎日の残業のあげく彼女は倒れて入院することになりました。,After working overtime every day she collapsed and had to be hospitalized.,何回もの手術ものあげく結局病気は治りませんでした。,"After many surgeries, the disease could not be cured.",,
あての,"comprised of, dispensable to, having with",⚭ Noun + ate no + Noun,,,,,,
あと,after,⚭ Noun + no ato,彼らは地震のあとその町から逃げ出した。,They fled that town after the earthquake.,タグのあとの変更だけをマージする。,Merge only the changes after the tag.,テイクオーバーの強制実行のあとデータを回復します。,Recover data after forced takeover
あとに,"after, afterwards",⚭ Noun + no ato ni,そして処刑のあとにテープを公表する。,"And after the execution, they will release the tapes.",パラメータ値のあとにある空白は無視されます。,Whitespace after a parameter value is ignored.,映画の後に食事をします。,Dinner will be served after the movie.
あとで,"after, afterwards",⚭ Noun + no ato de,ディナーのあとで私は海岸を散歩する。,After dinner I take a walk on the beach.,雨のあとで庭は水びたしだった。,The garden was flooded after the rain.,卒業の儀式のあとでお祝いにしましょ。,Let's celebrate after the graduation ceremony.
