W1,T1,W2,T2,W3,T3,W4,T4,W5,T5,W6,T6
頭,head,舌,tongue,額,forehead,三つ編み,braid hair,筋肉,muscles,血,blood
耳,ears,歯,teeth,頬骨,cheekbones,白髪,white hair,胸,chest,血管,vessels
首,neck,顎,chin,瞳,pupil,禿頭,bald head,腹,abdomen,骨,bone
髪,hair,唇,lips,喉,throat,前髪,bangs,腿,thigh,動脈,artery
眉毛,eyebrow,指,fingers,後頭部,back of the head,肩,shoulder,臓器,organs,静脈,vein
目,eye,足指,toes,口ひげ,mustache,手,hand,消化器系,digestive system,健康,health
鼻,nose,まつ毛,eyelash,あごひげ,beard,腕,arm,呼吸器系,respiratory system,病気,illness
口,mouth,まぶた,eyelid,ひげ,mustache、beard,肘,elbow,神経系,nervous sytem,胃,stomach
頬,cheek,歯茎,gums,髪の毛,hairstyle,膝,knee,骨格,skeletal system,脳,brain
顔,face,鼻腔,nostrils,髪型,haircut,足,foot,皮膚,skin,肺,lungs
心臓,heart,腎臓,kidneys,腸,intestines,肝臓,liver,脚,leg,足首,ankle
服,clothes,ブラウス,blouse,スカート,skirt,ズボン,trousers,ジーズ,jeans,靴,shoes
シャツ,shirt,靴下,socks,メガネ,glasses,ネクタイ,necktie,帽子,hat,腕時計,wrist watch
パンツ,pants,セーター,sweater,コート,coat,上着,jacket,下着,underwear,スニーカー,sneaker
居間,living room,電気にスイッチ,light switch,机,desk,座布団,floor cushion,家賃,monthly payment,節約する,"economising, saving"
バルコニー,balcony,コンセント,electric socket,浴室,bathroom,炊飯器,rice cooker,敷金,security deposit,不用品,"clutters, disused article"
手すり,railing,家,"home, house",お手洗い,"toilet, lavatory",包丁,knife,礼金,fee paid for rental rights,ゴミ,garbage
天井,ceiling,アパート,apartment,蛇口,water tap,庭,"garden, yard",管理費,caretaker fee,生ごみ,kitchen garbage
鍵,keys,屋根,roof,洗面台,"sink, washroom",家庭,"home, household",大家,landlord,資源ごみ,recyclable garbage
絵画,paintings,屋根裏,"attic, loof",シャワー,shower,冷房,"cooling, air-conditioning",賃貸,"rent, lease",粗大ごみ,large-size garbage
ランプ,lamp,地下,"basement, cellar",お風呂,bathtub,暖房,indoor heating,住宅,residence,燃えるごみ,burnable garbage
椅子,chair,車庫,garage,浴槽,bathtub,洗濯機,washing machine,自宅,one's residence,可燃ごみ,burnable garbage
壁,wall,玄関,entrance,便器,toilet,掃除機,vacuum cleaner,近所,neighborhood,燃えないゴミ,non-burnable garbage
テレビ,television,台所,kitchen,エレベーター,elevator,布団,"futon, japanese bedding",食卓,dining table,水が漏れる,water leaks
テーブル,table,電子レンジ,microwave oven,ドア,door,ドライヤー,dryer,間取り,"layout (house, etc)",ほうき,broom
絨毯,carpet,レンジフード,cooker hood,鉢植え,plotted plant,乾燥機,drying machine,外観,exterior,ちりとり,dustpan
エアコン,aircon,戸棚,cabinet,入浴する,to bathe,蛇口を捻る,turn on a tap,設計,design,ぞうきん,rag
テーブル,table,冷蔵庫,refrigerator,掃除する,to clean,水が凍る,water freezes,図案,"design, sketch",バケツ,bucket
ソファ,sofa,オーブン,oven,ガスレンジ,gas range,冷凍して,"freeze, refrigerate",改装する,"renovation, remodeling",ほこり,dust
床,floor,やかん,kettle,流し,sink,保存する,"preserve, store",据え付ける,"to install, equip, set up",床を拭く,wipe the floor
カーテン,curtain,トースター,toaster,ヒーター,heater,温める,"to warm, to heat",構える,"to set up, build, assume",ほうきで掃く,sweep with a broom
窓,window,ストーブ,stove,窓ガラス,window glass,ビールを冷やす,chill the beer,扉,"door, gate, opening",家具を磨く,polish the furniture
枕,pillow,勉強部屋,study room,雨戸,shutter,氷になる,turn into ice,ペットボトル,pet bottle,部屋を片付ける,tidy up the room
ベッド,bed,電気スタンド,table lamp,網戸,screen,冷える,"cold, chilled",レジ袋,plastic bag,ジュースを零す,spill the juice
寝室,bedroom,引き出し,drawer,家電,house appliance,凍結する,freezing,家電製品,electronic appliances,掃除機をかける,to vacuum
部屋,room,本棚,book shelf,家具,furnitures,暖房をつける,turn the heater on,省エネ,energy-saving,洗濯物,laundry
畳む,to fold,溜まる,"piles up, gathers",湿っている,not dry,濡れている,wet,溜める,"to pile up, to gather",濡らす,"to wet, to moisten"
乾く,to get dry,乾かす,"to dry, to desiccate",干す,"to dry, to air, to put out to dry",汚す,to make dirty,汚れる,to get dirty,服を吊るす,hang the clothes
実家,one’s parents home,物置,storage room,壁紙,wallpaper,光熱費,utilities fee,移転先,new address,水道,"water supply, water service"
通学,commute to school,通勤,commute to work,運送会社,transport company,家主,"house owner, landlord",扇風機,electric fan,洗剤,detergent
化粧する,makeup,部屋が片付く,room is tidied up,掃く,to sweep,働く,to work,化粧,"makeup, cosmetics",目を覚ます,to awaken
お風呂に入る,to take a bath,食器を洗う,wash the dishes,下宿する,boarding,帰宅する,going home,髪をとかす,to comb one’s har,日課,routine
暮らし,living,出かける,to go out,料理,cooking,電気,lights,洗濯物,laundry,生活,life
レジ袋,plastic bag,シャワー,shower,ごみ,trash,分別する,sorting,犬の世話をする,to take care of a dog,のんびりする,to relax
目が覚める,to wake up,起床する,to get up,寝坊する,to oversleep,留守番電話,answering machine,留守番,house-sitting,片付ける,to clean up
沸かす,to boil,浴びる,to take shower,夕刊,evening paper,電気を消す,to turn off the lights,電気をつける,to turn on the lights,歯磨き,brushing teeth
寝る,to sleep,昼寝する,to take a nap,通う,to attend,休息する,to rest,休む,to rest,鍵をかける,to lock
餌をやる,to feed,洗い物,washing the dishes,片付く,to tidy up,留守,being away,毎日の生活,everyday life,一人暮らし,living alone
買い物,shopping,くず,"junk, trash",香水,perfume,就寝する,to go to bed,掃除,cleaning,休養する,to rest
風呂,bath,石けん,soap,ポット,pot,目覚まし時計,alarm clock,眠る,to sleep,剃る,to shave
生ごみ,raw garbage,掃除機,vacuum cleaner,田舎暮らし,country living,帰る,to go home,寝坊する,"oversleep, sleep late",起きる,to get up
後片付け,tidying up,着替える,to change clothes,炊事する,cooking,留守番する,staying at home,暮らす,to live,パジャマ,pajama
洗濯,laundry,余暇,leisure time,鍵,lock,ひげを剃る,to shave one’s face,お湯,hot water,充電する,recharge a battery
食べ物,food,魚,fish,牛丼,beef bowl rice,カレー,curry,クッキー,cookie,ワイン,wine
果物,fruits,卵,egg,親子丼,chicken and egg bowl rice,牛丼,rice bowl topped with beef,ドーナツ,donut,アルコール,alcohol
りんご,apple,ハム,ham,かつ丼,pork cutlet bowl rice,寿司,sushi,ガム,gum,ドリンク,drink
みかん,orange,ソーセージ,sausage,ざるそば,wheat noodles,おにぎり,rice ball,あめ,candy,味見する,to taste
レモン,lemon,チーズ,cheese,月見そば,noodles with egg on top,さしみ,"sashimi, raw fish",おつまみ,"tidbits, snacks",味わう,"to savour, relish"
バナナ,banana,とうふ,tofu,きつねうどん,noodles with deep fried tofu,天ぷら,tempura,飲み物,drinks,かじる,bite
メロン,melon,ご飯,cooked rice,天ぷら,deep fried fish and vegetables,すきやき,sukiyaki,ホット,hot,食う,to eat
いちご,strawberry,ライス,rice,寿司,sushi,スパゲティ,spaghetti,アイス,iced,食欲,apetite
ぶどう,grape,みそ汁,miso soup,刺身,slices of raw fish,ピザ,pizza,コーヒー,coffee,昼食,lunch
すいか,watermelon,うどん,"udon, wheat noodles",とんかつ,pork cutlets,サンドイッチ,sandwich,アイスコーヒー,iced coffee,朝食,breakfast
野菜,vegetables,そば,"soba, buckwheat noodles",焼肉,roasted meat,ハンバーグ,hamburger,紅茶,black tea,夕食,dinner
にんじん,carrot,ラーメン,ramen,焼き鳥,grilled chicken,ハンバーガー,hamburger,アイスティー,iced tea,食卓,dining table
じゃがいも,potato,コーヒー,coffee,焼き魚,grilled fish,ステーキ,steak,牛乳,milk,ステーキ,steak
たまねぎ,onion,紅茶,black tea,餃子,gyoza,ポテト,potato,ミルク,milk,うどん,udon noodles
きゅうり,cucumber,オレンジジュース,orange juice,たこ焼き,octopus dumplings,お菓子,"snacks, sweets",コーラ,cola,汁,soup
トマト,tomato,ビール,beer,カレーライス,curry rice,甘いもの,sweet foods,ジュース,juice,おかず,dishes
肉,meat,ワイン,wine,おにぎり,rice balls,アイスクリーム,ice cream,水,water,さじ,spoon
豚肉,pork,レモンサワー,lemon sour,パン,bread,ケーキ,cake,お湯,hot water,カロリ,calorie
鶏肉,chicken,日本酒,rice wine,サラダ,salad,チーズケーキ,cheesecake,ビール,beer,生,raw
牛肉,beef,ウーロン茶,oolong tea,スープ,soup,チョコレート,chocolate,酒,alcohol,カップ１杯,a cup of
菓子,"confectionary, snacks",ウイスキー,whiskey,食料,"food, provisions",缶詰,canned foods,酢,vinegar,半カップ,a half cup of
洋菓子,western-style sweets,米,uncooked rice,食料品,"foodstuff, groceries",缶切り,can opener,酸っぱい,sour,粉をふるう,sift the flour
和菓子,japanese sweets,小麦,wheat,食品,food products,クリム,cream,甘酸っぱい,sweet and sour,バターを塗る,spread the butter
フルーツ,fruits,豆,beans,健康食品,health products,脂,fat,調味料,seasoning,きゅうり,cucumber
ジュース,juice,作物,"crop, produce, farm products",インスタント食品,instant products,こしょう,pepper,スパイス,spices,一味唐辛子,cayenne pepper powder
鶏肉,chicken,大蒜,garlic,塩,salt,のり,seaweed,イースト,yeast,計量カップ,measuring cup
豚肉,pork,調味料,condiments,ソース,sauce,味噌,miso,卵,egg,計量スプーン,measuring spoon
牛肉,beef,醤油,soy sauce,ケチャップ,ketchup,材料,ingredients,卵白,egg white,小匙,tea spoon
海老,shrimp,酢,vinegar,辛子,mustard,粉,flour,卵黄,egg yolk,中匙,meddle size the spoon
かに,crab,胡椒,pepper,マヨネーズ,mayonnaise,薄力粉,rice flour,生卵,raw egg,大匙,table spoon
野菜,vegetable,黒胡椒,black pepper,サラダ油,salad oil,強力粉,bread flour,ゆで卵,boiled egg,かつお節,bonito flakes
キャベジ,cabbage,赤唐辛子,red pepper,バター,butter,中力粉,all purpose flour,月桂樹の葉,laurel leaves,煮干し,dried sardines
人参,carrot,砂糖,sugar,溶かしバター,melted butter,コンスターチ,constarch,だし,dashi,秤,weighing scale
きゅうり,cucumber,小麦,wheat,無塩バター,unsalted butter,片栗粉,potato starch,ケチャップ,ketchup,米酢,rice vinegar
ジャガイモ,potato,料理酒,cooking sake,有塩バター,salted butter,醤油,soy sauce,マヨネーズ,mayonnaise,菜種油,canola oil
玉ねぎ,onion,ジンジャー,ginger,マーガリン,margarine,ごま油,sesame oil,コーン油,corn oil,サラダ油,vegetable oil
たまご,egg,ウサギ肉,rabbit meat,白身肉,white meat,脂身,fat,胸肉,breast,下拵えした鶏,dressed chicken
片栗粉,potato starch,タン,tongue,赤身肉,red meat,チョップ,chop,もも肉,thigh,雉,pheasant
小麦粉,wheat flour,内蔵,offal,ハム,ham,かたまり肉,joint,手羽肉,wing,猟鳥,game
ラム肉,lamb,保存処理,cured,薄切り,slice,ヒレ肉,fillet,七面鳥,turkey,剥き海老,peeled shrimp
豚肉,pork,薫製,smoked,薄切り,rasher,心臓,heart,鶏 ,chicken,ヒメジ,red mullet
牛肉,beef,有機性,organic,サーロイン,sirloin,ランプステーキ,rump steak,鴨,duck,虹鱒,rainbow trout
子牛肉,veal,低脂肪肉,lean meat,あばら肉,rib,腎臓,kidney,鵞鳥,goose,メカジキ,swordfish
鹿肉,venison,調理済み肉,cooked meat,挽肉,ground meat,皮,skin,鶉,quail,オヒョウの切り,halibut fillets
アンコウ,monkfish,帆立貝,scallop,牡蠣,oyster,エンドウ豆,peas,カリフラワー,cauliflower,生姜,ginger
鯖,"saba, mackerel ",蟹,crab,モンゴウイカ,cuttlefish,インゲン豆,green beans,赤唐辛子,chili pepper,大蒜,garlic
鱒,trout,伊勢エビ,crayfish,蛸,octopus,ライ豆,runner beans,ピーマン,sweet pepper,丁字,clove
メカジキ,swordfish,ロブスター,lobster,ザル貝,cockle,空豆,fava bean,ナタウリ,squash,マッシュルーム,mushrooms
鰯,sardine,車エビ,jumbo shrimp,刺身,sashimi,もやし,bean sprouts,カブ,turnip,ニラネギ,leek
鮭 ,salmon,ムール貝,mussel,寿司,sushi,トウモロコシ,corn,タロ芋,taro root,西洋ワサビ,horseradish
鯛,sea bream,マテ貝,razorshell clam,切り身,fillet,筍,bamboo,プチトマト,cherry tomato,パースニップ,parsnip
鮪,tuna,浅蜊,clam,厚切り,loin,オクラ,okra,薩摩芋,sweet potato,南瓜,pumpkin
スズキ,sea bass,烏賊,squid,鱗,scale,セロリ,celery,なす,eggplant,胡瓜,cucumber
バターを溶かす,melt the butter,お湯を沸かす,boil water,煮る,"to simmer, to stew",裏返す,turn over,むく,to peel,ごうちそうする,to treat
卵を泡立てる,wisk the eggs,お湯が沸く,boiling water,ゆでる,boil,味をつける,"add flavour, to season",塩からい,salty,乾杯する,to toast
よく混ぜる,mix well,お湯を冷ます,cool the water,炒める,stir fry,塩を加える,add salt,すっぱい,sour,外食する,to eat out
軽く混ぜる,mix lightly,お湯が冷める,the water gets cold,蒸す,steam,故障を振る,sprinkle pepper,出来上がる,be completed,自炊する,to cook for oneself
ざっくり混ぜる,mix roughly,ご飯を炊く,cook rice,煎る,to roast,味見をする,taste,出来上がり,finished,腐る,to go bad
ゆっくり混ぜる,mix slowly,油を熱っする,heat the oil,漬ける,"to dip, soak",味を見る,taste,ラップを被せる,cover with plastic wrap,ホイル,foil
手で混ぜる,mix by hands,油で揚げる,deep-fry in oil,混ぜる,mix,味が濃い,strong flavour,ラップをかける,cover with plastic wrap,まず,first
野菜を洗う,wash the veggies,白だし,seasoning (white soup stock),移す,to transfer,味が薄い,weak flavour,ラップで包む,wrap in plastic wrap,次に,next
タマネギをむ,peen an onion,叩き,finely chopped,焦げる,to be burn,辛い,spicy,適当,appropriate,すこずつ,little by little
材料を刻む,chop the ingredients,水を切る,drain the water,焦がす,"to burn, to scorch",漬ける,"to soak (in), to steep, to dip",分量,"amount, quantity",それから,after that
大きめに切る,cut in large pieces,水を入れて,add water,ひっくり返す,turn over,ぶち込む,"to throw, to toss, to cast",鶏肉,chicken,そして,and then
揉む,"to rub, crumple, massage",鱗を取った,descaled,皮を剥いた,skinned,塩ふり,salted,冷凍,frozen,おろした,filleted
練る,"to knead, to thicken into a paste",骨を取った,deboned,腸を取った,cleaned,薫製,smoked,新鮮,fresh,筒切り,steak
様子,"situation, state, sign, indication",上げる,to raise,下痢する,have a diarrhea,眠い,sleepy,薬を飲む,take medicine,患者,patient
事態,"situation, (present) state of affairs",下げる,to lower,すぎすぎする,have a throbbing pain,気分がいい,feel good,薬をつける,apply medicine,患者さん,patient
状態,"situation, condition, appearance",よく眠る,sleep well,吐き気がする,feel nausea,気分が悪い,feel bad,医者に行く,go to a doctor,看護師,nurse
状況,state of affairs (around),ゆっくり休む,rest well,鼻水が出る,have a runny nose,調子がいい,in good form,入院する,be hospitalized,入院する,hospitalization
調子,"tune, tone, manner, state of health",昼寝する,"to take a nap, siesta",腫れる,swell,調子が悪い,in bad shape,横になる,to lie down,退院する,discharge
具合,"condition, state, health (state)",食事する,to have a meal,ひりひりする,stinging pain,具合がいい,feel good,口を開ける,open one’s mouth,薬を飲む,drinking the medicine
用語,"terminology, wording",おやつ,snack,震える,to tremble,具合が悪い,feel bad,熱を計る,measure the temperature,〜日分,days
全国,"nationwide, countrywide",バランス,balance,骨を折る,break a bone,顔色がいい,good complexion,息を吸う,to inhale,食前,before meals
新た,"new, fresh, novel",栄養,nutrition,めまいがする,fell dizzy,顔色が悪い,bad complexion,息を吐く,to exhale,食べる前に,before eating
発生,"outbreak, occurrence",転ぶ,"fall down, fall over",新型,new strain,病気が治る,be cured of a disease,息を止める,hold one’s breath,食後,after a meal
運動する,exercise,めまいがする,feel dizzy,重症,serious illness,病気を治す,cure a disease,過去最多,most on record,食べた後に,after eating
体操する,physical exercises,頭痛がする,have a headache,医療,medical care,風邪が治る,get over a cold,感染,"infection, contagion",内科,internal medicine
首,neck,胃がいたい,have a stomachache,けがする,be injured,風邪を治す,cure a cold,予防,"prevention, precaution",外科,surgery (department)
背中,back of the body,腰が痛い,have a back pain,血が出る,blood comes out,けがが治る,recover from an injury,現場,scene,内服薬,medicine taken internally
腰,lower back,息が苦しい,feel suffocated,骨を折る,broken bone,けがを治す,cure an injury,名前,name,痛い,"painful, sore, hurts"
尻,buttocks,苦しむ,be in pain,やけどする,get burned,いい,"ok, good",生年月日,date of birth,動かす,"to move, mobilize (something)"
胸,chest,鼻がつまる,be stuffed up,マスクをする,wear a mask,悪い,bad,年齢,"age, years",動く,(something) moves
腕,arm,鼻をかむ,blow one’s nose,目薬,eyedrops,治る,"be cured, be healed",〜歳,years old,切る,to cut
ひじ,elbow,吐き気がする,feel sick,氷で冷やす,cool by ice,治す,"to cure, to heal",住所,address,凝る,to have stiffness
ひざ,knee,吐く,vomit,元気がある,"healthy, lively",うがいする,gurgle,電話番号,phone number,吸う,"to inhale, to smoke"
つま先,toes,気持ち胃が悪い,feel sick,元気がない,"unhealthy, unlively",手を傷,cut/wound on hand,診察券,patients registration ticket,出す,"to take, prescribe, submit"
かかと,heel,目がかゆい,have an itchy eye,せきが出る,coughing,やけどをする,get burned,お検証,verification,詰まる,to clog
曲げる,bend,目をこする,rub one’s eye,くしゃみが出る,sneeze,大したこと,a big deal,診てもらう,"checkup, see a doctor",計る,to measure
回す,"to turn, rotate",目をかく,rub one’s eye,熱がある,fever,ましになる,still bad but better,医者,doctor,休む,"to rest, to be absent"
伸ばす,to stretch,きりきりする,have a sharp pain,寒気がする,"chill, shiver",お見舞に行く,visit a sick,お医者さん,doctor,付ける,"to attach, apply"
体がだるい,feel sluggish,意識が遠ざかる,slowly loose consciousness,歯を矯正する,have braces,便秘になる,get constipated,喘息,asthma,痛みが和らぐ,the pain eases
寒気がする,have a chill,せきが出る,coughing,湿疹ができる,have eczema,安静にする,rest,目眩がする,"feel dizzy, feel faint",下痢をする,have diarrhea
疲労,"fatigue, weariness",意識不明になる,become unconscious,皮膚をかく,scratch one’s skin,痛みが弱まる,pain decreases,妊娠する,get pregnant,とげが刺さる,get a sliver
目が霞む,my eye’s gets blurry,足首を捻挫する,twist one’s ankle,体が弱る,become weak,入院する,be hospitalized,出産する,give birth,けがする,be injured
貧血になる,have an anemia,小指が腫れる,my little finger swells,痛みが強まる,pain increases,退院する,released from hospital,花粉症,hay fever,熱がある,have a fever
虫に刺される,get a bite,足がむかむ,legs bloat,嫌味を和らげる,eases the pain,付き添う,"to attend on, accompany",熱中症,heatstroke,息が苦しい,feel suffocated
行動的,active,恥ずかしい,shy,まともな,"proper, upright",親切,kind,気立がいい,good-natured,物好きな,curious
積極的,aggressive,たわいない,silly,大柄な,big-built,無邪気,naive,いさぎよい,"manly, gallant, pure",孤独な,lonesome
意欲的,ambitious,賢い,smart,小柄な,"small-built, petit",腕白,naughty,情け深い,sympathetic,臆病な,timid
勇敢,brave,強い,strong,活発な,active,丁寧,polite,用心深い,cautious,なれなれしい,overly friendly
慎重,careful,センスがいい,artistic,有望な,promising,静か,quiet,りりしい,"gallant, brave",いやらしい,"indecent, dirty"
独創的,creative,落ち着いた,calm,純粋な,"innocent, pure",自己チュー,selfish,若々しい,look young,卑しい,greedy
勤勉,diligent,カリスマ性,charisma,無邪気な,"simpleminded, innocent",まじめ,serious,勇ましい,"brave, valiant",しぶとい,"unyielding, tenacious"
のんき,easygoing,活気のある,energetic,創造的な,creative,社交的,social,逞しい,"strong, sturdy",荒っぽい,"rough, coarse"
感情的,emotional,心大きい,generous,温和な,"mild, gentle",おろか,stupid,思いやりがある,thoughtful,金遣いが荒い,extravagant
熱心,enthusiastic,血あり涙あり,sympathetic,気さくな,"friendly, sociable",不安になる,anxious,思いやる,be kind to,おせっかいな,nosy
外向的,extroverted,思いやりのある,thoughtful,おおらかな,"broad-minded, composed",怒りっぽい,bad-tempered,気品がある,dignified,そそっかしい,careless
フレンドリー,friendly,物分かりのいい,understanding,素朴な,"simple, artless",つまらない,boring,色気がある,sexy,でしゃばりな,intrusive
勤勉,hard-working,気分屋,moody,デリケートな,delicate,かっこいい,cool,しとやか,"gentle, modest",きざな,showy
誠実,honest,ロマンチック,romantic,気まぐれな,"fickle, whim",面白い,funny,チャーミング,charming,ルーズな,sloppy
優柔不断,indecisive,尻が重い,lazy,近寄りがたい,hard to approach,面白い,humorous,忠実な,"diligent, hardworking",群れいな,rude
利口,intelligent,愛想がいい,"cheerful, amiable",無口な,"quite, untalkative",優しい,nice,生真面目な,"earnest, sincere",美形,beautiful (form)
内向的,introverted,センスがいい,have a good sense,陰気な,gloomy,忍耐強い,patient,勤勉な,"diligent, hardworking",面食い,physical attraction
頼もしい,reliable,誠実な,"sincere, honest",イケ面,good looking,情けない,shameful,望ましい,desirable,好ましい,"desirable, appropriate"
申し分がない,"no shortcomings, perfect",空しい,"empty, void, vain",痛ましい,"pitiful, sad, heartbreaking",見苦しい,"disgraceful, deplorable",拗ねる,"sulking, pouting",癇に障る,to irritate
快い,"pleasant, agreeable",切ない,painful,きまりが悪い,"embarrassed, shameful",心苦しい,"being sorry, feeling sorry",気兼ねする,"constraint, hesitant",心細い,"helpless, unpromising"
清々しい,refreshing,物足りない,"unsatisfied, unsatisfactory",あさましい,"mean, despicable",焦る,"flustered, panic",むかつく,"feel irritated, feel nauseous",ばかばかしい,ridiculous
爽快な,"refreshing, invigorating",わずらわしい,"troublesome, annoying",おっかない,"frightening, scary",呆れる,"amazed, shocked, astonished",素直な,"honest, frank",ふさわしい,"appropriate, worthy"
待ち遠しい,anxiously awaited,うっとうしい,"gloomy, depressing",怖い,scary,気に障る,hurt someone’s feelings,うざい,"annoying, gloomy",心強い,"reassuring, feel secure"
自然,nature,星,star,地球,earth,滝,waterfall,火口,"burner, crater",陸,land
山,mountain,宇宙,universe,南極,south pole,金属,metal,噴火する,to erupt,大陸,continent
川,river,湖,lake,北極,north pole,銀,silver,溶岩,lava,北極,north pole
海,sea,池,pond,熱帯,tropics,光,light,野,"plain, field",南極,south pole
波,wave,島,island,熱帯雨林,topical rain forest,日光,sunlight,野原,field,森林,forest
海岸,coast,森,forest,火山,volcano,虹,rainbow,平野,open field,砂漠,desert
空,sky,林,woods,土,soil,重力,gravity,宇宙,universe,湾,"bay, gulf"
雲,cloud,石,stone,砂漠,desert,引力,gravity,地球,earth,山脈,mountain range
太陽,sun,砂,sand,岸,"shore, bank",日光浴,sunbathing,太陽,sun,堀川,canal
月,moon,丘,hill,谷,valley,日差し,sunlight,波,wave,半島,peninsula
高速道路,highway,料金所,toll booth,路面標識,road markings,出入路,on-ramp,一方通行,one-way,分岐帯,divider
信号,traffic light,中央分離帯,median,ガード下通路,underpass,路肩,hard shoulder,高架道路,overpass,交通,traffic
出口ランプ,exit ramp,追い越し車線,outside lane,中央車線,middle lane,走行車線,inside lane,横断歩道,pedestrian crossing,交通渋滞,traffic jam
