Kanji,NR,KR,Meaning,W1,R1,M1
編,HEN,a,"compilation, knit, plait, braid, twist, editing",編成,へんせい,"composition, formation, organization"
編,HEN,a,"compilation, knit, plait, braid, twist, editing",編纂,へんさん,"compilation, editing"
編,HEN,a,"compilation, knit, plait, braid, twist, editing",短編,たんぺん,short
編,HEN,a,"compilation, knit, plait, braid, twist, editing",編み出す,あみだす,"to work out, think out, devise"
編,HEN,a,"compilation, knit, plait, braid, twist, editing",再編,さいへん,"reorganization, reshuffle"
編,HEN,a,"compilation, knit, plait, braid, twist, editing",全編,ぜんぺん,complete episode
編,HEN,a,"compilation, knit, plait, braid, twist, editing",編入,へんにゅう,"admission, incorporation, enlistment, enrollment"
編,HEN,a,"compilation, knit, plait, braid, twist, editing",編著,へんちょ,compilation
編,HEN,a,"compilation, knit, plait, braid, twist, editing",編者,へんしゃ,"editor, compiler​"
編,HEN,a,"compilation, knit, plait, braid, twist, editing",続編,ぞくへん,"continuation, sequel"
編,HEN,a,"compilation, knit, plait, braid, twist, editing",前篇,ぜんぺん,"first part, first volume, prequel"
編,HEN,a,"compilation, knit, plait, braid, twist, editing",後編,こうへん,"latter part, sequel"
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",文化,ぶんか,"culture, civilization"
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",化学,かがく,chemistry
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",強化,きょうか,"strengthening, intensifying"
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",消化,しょうか,digestion
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",進化,しんか,evolution
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",化石,かせき,fossil
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",変化,へんか,"change, variation, transformation"
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",化粧,けしょう,"makeup, cosmetics"
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",悪化,あっか,deterioration
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",酸化,さんか,oxidation
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",誤魔化す,ごまかす,"to deceive, cheat, falsify"
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",化ける,ばける,"to take the form, transform"
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",お化け,おばけ,"ghost, apparition, goblin"
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",生化学,せいかがく,biochemistry
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",老化,ろうか,aging
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",合理化,ごうりか,rationalization
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",一酸化炭素,いっさんかたんそ,carbon monoxide
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",化合物,かごうぶつ,compound
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",同化,どうか,"assimilation, absorption​, adaptation"
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",二酸化炭素,にさんかたんそ,carbon dioxide
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",化学物質,かがくぶっしつ,chemical substances
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",風化,ふうか,"weathering, fading of memories"
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",炭水化物,たんすいかぶつ,carbohydrate
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",化粧水,けしょうすい,skin lotion
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",国有化,こくゆうか,nationalization
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",有機化学,ゆうきかがく,organic chemistry​
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",具体化,ぐたいか,"embodiment, materialization, actualization"
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",文化的,ぶんかてき,cultural
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",自由化,じゆうか,liberalization
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",化学肥料,かがくひりょう,chemical fertilizer
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",国際化,こくさいか,internationalization
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",文化人,ぶんかじん,cultured person
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",激化,げきか,"intensification, aggravation"
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",文化財,ぶんかざい,cultural assets
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",化け物,ばけもの,"goblin, apparition, monster"
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",進化論,しんかろん,evolutionary theory
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",化する,かする,"to change into, turn into, transform"
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",化す,かす,"to change into, turn into, transform"
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",道化,どうけ,antics
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",退化,たいか,"degeneration, retrogression, regression"
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",工業化,こうぎょうか,industrialization
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",化石燃料,かせきねんりょう,fossil fuel
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",近代化,きんだいか,modernization
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",化粧品,けしょうひん,cosmetics
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",文化祭,ぶんかさい,school festival
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",文字化け,もじばけ,corruption of text
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",活性化,かっせいか,"stimulation, revitalization, rejuvenation"
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",化学式,かがくしき,chemical formula​
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",化学者,かがくしゃ,chemist
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",光化学,こうかがく,photochemistry
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",化合,かごう,chemical combination
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",化繊,かせん,synthetic fiber
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",都市化,としか,urbanization
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",消化不良,しょうかふりょう,indigestion
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",多角化,たかくか,diversification
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",一体化,いったいか,"unification, integration"
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",商業化,しょうぎょうか,commercialization
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",食文化,しょくぶんか,food culture
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",電化製品,でんかせいひん,electrical appliances
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",時化,しけ,stormy weather at sea
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",化粧台,けしょうだい,"dressing table, dresser"
化,"KA, KE",ba,"change, take the form of, influence, enchant, delude, -ization",暗号化,あんごうか,"encryption, encipherment"
露,"RO, ROU",tsuyu,"dew, tears, expose",暴露,ばくろ,"disclosure, exposure, revelation"
露,"RO, ROU",tsuyu,"dew, tears, expose",露骨,ろこつ,"open, unconcealed, undisguised, broad, lewd"
露,"RO, ROU",tsuyu,"dew, tears, expose",結露,けつろ,"condensation, formation of dew"
露,"RO, ROU",tsuyu,"dew, tears, expose",披露,ひろう,"announcement, presentation, demonstration"
露,"RO, ROU",tsuyu,"dew, tears, expose",露,つゆ,dew
露,"RO, ROU",tsuyu,"dew, tears, expose",露見,ろけん,"discovery, detection, exposure, disclosure"
露,"RO, ROU",tsuyu,"dew, tears, expose",披露宴,ひろうえん,"reception, banquet, celebration, party"
露,"RO, ROU",tsuyu,"dew, tears, expose",露天風呂,ろてんぶろ,open-air bath
露,"RO, ROU",tsuyu,"dew, tears, expose",雨露,うろ,rain and dew
露,"RO, ROU",tsuyu,"dew, tears, expose",露知らず,つゆしらず,not knowing at all
露,"RO, ROU",tsuyu,"dew, tears, expose",玉露,ぎょくろ,"high-quality green tea, jewel-like dewdrop"
露,"RO, ROU",tsuyu,"dew, tears, expose",露天商,ろてんしょう,street vendor
露,"RO, ROU",tsuyu,"dew, tears, expose",露店,ろてん,"street stall, stand, booth"
露,"RO, ROU",tsuyu,"dew, tears, expose",吐露,とろ,"expressing one's mind, speaking out"
露,"RO, ROU",tsuyu,"dew, tears, expose",露天,ろてん,open air
露,"RO, ROU",tsuyu,"dew, tears, expose",露呈,ろてい,"exposure, disclosure"
露,"RO, ROU",tsuyu,"dew, tears, expose",露光,ろこう,photographic exposure​
露,"RO, ROU",tsuyu,"dew, tears, expose",露出,ろしゅつ,"exposure, laying bare, baring, photographic exposure​"
露,"RO, ROU",tsuyu,"dew, tears, expose",発露,はつろ,"appearance, expression, manifestation"
露,"RO, ROU",tsuyu,"dew, tears, expose",露出計,ろしゅつけい,"light meter, exposure meter"
露,"RO, ROU",tsuyu,"dew, tears, expose",夜露,よつゆ,"evening dew, night dew"
露,"RO, ROU",tsuyu,"dew, tears, expose",凍露,とうろ,rozen dew
露,"RO, ROU",tsuyu,"dew, tears, expose",零露,れいろ,dripping dew
勇,YUU,isa,"courage, be in high spirits, bravery, heroism",勇気,ゆうき,"courage, bravery, valour, valor, nerve"
勇,YUU,isa,"courage, be in high spirits, bravery, heroism",勇ましい,いさましい,"brave, valiant, gallant, courageous"
勇,YUU,isa,"courage, be in high spirits, bravery, heroism",勇敢,ゆうかん,"brave, heroic, gallant"
勇,YUU,isa,"courage, be in high spirits, bravery, heroism",勇者,ゆうしゃ,"hero, the brave"
勇,YUU,isa,"courage, be in high spirits, bravery, heroism",勇士,ゆうし,brave warrior
勇,YUU,isa,"courage, be in high spirits, bravery, heroism",勇敢さ,ゆうかんさ,"bravery, heroism, gallantry"
勇,YUU,isa,"courage, be in high spirits, bravery, heroism",勇気づける,ゆうきづける,"to encourage, to cheer"
勇,YUU,isa,"courage, be in high spirits, bravery, heroism",義勇,ぎゆう,"heroism, loyalty and courage"
勇,YUU,isa,"courage, be in high spirits, bravery, heroism",勇退,ゆうたい,"bowing out, retiring voluntarily"
勇,YUU,isa,"courage, be in high spirits, bravery, heroism",勇断,ゆうだん,resolute decision
勇,YUU,isa,"courage, be in high spirits, bravery, heroism",勇猛,ゆうもう,"daring, brave, bold, valiant"
勇,YUU,isa,"courage, be in high spirits, bravery, heroism",勇む,いさむ,"to be in high spirits, be encouraged"
敢,KAN,.,"daring, brave, bold, sad, tragic, pitiful",敢えて,あえて,"purposely, daringly, deliberately, intentionally"
敢,KAN,.,"daring, brave, bold, sad, tragic, pitiful",取り敢えず,とりあえず,"first of all, at once, right away​, for the time being"
敢,KAN,.,"daring, brave, bold, sad, tragic, pitiful",果敢,かかん,"resolute, determined, bold"
敢,KAN,.,"daring, brave, bold, sad, tragic, pitiful",敢行,かんこう,"decisive action, going through with, daring to do"
敢,KAN,.,"daring, brave, bold, sad, tragic, pitiful",敢然,かんぜん,"boldly, bravely, resolutely, determinedly"
敢,KAN,.,"daring, brave, bold, sad, tragic, pitiful",敢闘,かんとう,fighting bravely
敢,KAN,.,"daring, brave, bold, sad, tragic, pitiful",敢死,かんし,preparing for death
敢,KAN,.,"daring, brave, bold, sad, tragic, pitiful",敢為,かんい,daring
