Words,Reading,Meaning
medicine; ...,,
N5,,
TOP 2500,,
眼鏡,,
めがね,,
spectacles; ...,,
N5,,
TOP 5000,,
はい,,
yes; ...,,
N5,,
TOP 2500,,
土曜日,,
どようび,,
Saturday,,
N5,,
TOP 5000,,
意味,,
いみ,,
meaning,,
N5,,
TOP 400,,
それでは,,
well then ...; ...,,
N5,,
TOP 2500,,
暇,,
ひま,,
spare time; ...,,
N5,,
TOP 5000,,
両親,,
りょうしん,,
parents,,
N5,,
TOP 5000,,
水曜日,,
すいようび,,
Wednesday,,
N5,,
TOP 10000,,
階段,,
かいだん,,
stairs,,
N5,,
TOP 5000,,
音楽,,
おんがく,,
music,,
N5,,
TOP 1000,,
名前,,
なまえ,,
name; ...,,
N5,,
TOP 300,,
十日,,
とおか,,
the tenth day of the month; ...,,
N5,,
TOP 10000,,
外,,
そと,,
outside; ...,,
N5,,
TOP 2500,,
太い,,
ふとい,,
fat; ...,,
N5,,
TOP 5000,,
背広,,
せびろ,,
business suit,,
N5,,
三日,,
みっか,,
the third day of the month; ...,,
N5,,
TOP 5000,,
七日,,
なのか,,
the seventh day of the month; ...,,
N5,,
TOP 400,,
時間,,
じかん,,
time; ...,,
N5,,
TOP 100,,
もう,,
now; ...,,
N5,,
TOP 300,,
四,,
し,,
four,,
N5,,
TOP 100,,
違う,,
ちがう,,
to differ (from); ...,,
N5,,
TOP 200,,
ぬるい,,
lukewarm; ...,,
N5,,
持つ,,
もつ,,
to hold; ...,,
N5,,
TOP 100,,
目,,
め,,
eye; ...,,
N5,,
TOP 200,,
ポケット,,
pocket,,
N5,,
TOP 5000,,
東,,
ひがし,,
east,,
N5,,
TOP 2500,,
昨日,,
きのう,,
yesterday,,
N5,,
TOP 1000,,
千,,
せん,,
"1,000",,
N5,,
TOP 10000,,
今年,,
ことし,,
this year,,
N5,,
TOP 400,,
今朝,,
けさ,,
this morning,,
N5,,
TOP 5000,,
今日,,
きょう,,
today; ...,,
N5,,
TOP 400,,
近く,,
ちかく,,
near; ...,,
N5,,
TOP 1000,,
近い,,
ちかい,,
near; ...,,
N5,,
TOP 1000,,
おいしい,,
delicious,,
N5,,
TOP 300,,
大使館,,
たいしかん,,
embassy,,
N5,,
鼻,,
はな,,
nose,,
N5,,
TOP 5000,,
丸い,,
まるい,,
round; ...,,
N5,,
TOP 5000,,
あまり,,
remainder; ...,,
N5,,
TOP 300,,
フォーク,,
fork; ...,,
N5,,
TOP 10000,,
大好き,,
だいすき,,
loveable,,
N5,,
TOP 1000,,
字引,,
じびき,,
dictionary,,
N5,,
門,,
もん,,
gate; ...,,
N5,,
TOP 5000,,
夕飯,,
ゆうはん,,
evening meal,,
N5,,
TOP 10000,,
張る,,
はる,,
to stick; ...,,
N5,,
TOP 2500,,
それから,,
and then,,
N5,,
TOP 2500,,
それ,,
that; ...,,
N5,,
TOP 100,,
大学,,
だいがく,,
"post-secondary education institution, incl. university, college, etc.; ...",,
N5,,
TOP 1000,,
明後日,,
あさって,,
day after tomorrow,,
N5,,
TOP 10000,,
明日,,
あした,,
tomorrow; ...,,
N5,,
TOP 1000,,
テスト,,
test,,
N5,,
TOP 2500,,
その,,
that; ...,,
N5,,
TOP 100,,
ラジカセ,,
radio-cassette player,,
N5,,
ちょっと,,
just a minute; ...,,
N5,,
TOP 200,,
ラジオカセット,,
radio-cassette,,
N5,,
万,,
まん,,
"10,000; ...",,
N5,,
TOP 5000,,
ラジオ,,
radio,,
N5,,
TOP 5000,,
細い,,
ほそい,,
thin; ...,,
N5,,
TOP 5000,,
お酒,,
おさけ,,
alcohol,,
N5,,
TOP 2500,,
毎月,,
まいつき,,
every month,,
N5,,
TOP 2500,,
毎年,,
まいとし,,
every year,,
N5,,
TOP 2500,,
質問,,
しつもん,,
question,,
N5,,
TOP 1000,,
教える,,
おしえる,,
to teach; ...,,
N5,,
TOP 500,,
遠い,,
とおい,,
far,,
N5,,
TOP 5000,,
練習,,
れんしゅう,,
practice,,
N5,,
TOP 1000,,
そちら,,
that way; ...,,
N5,,
TOP 2500,,
そして,,
and,,
N5,,
TOP 100,,
一緒,,
いっしょ,,
together; ...,,
N5,,
TOP 5000,,
どうして,,
why?,,
N5,,
TOP 2500,,
ちょうど,,
exactly; ...,,
N5,,
TOP 2500,,
時々,,
ときどき,,
sometimes,,
N5,,
TOP 2500,,
そこ,,
there; ...,,
N5,,
TOP 500,,
出かける,,
でかける,,
to go out; ...,,
N5,,
TOP 2500,,
ストーブ,,
(room) heater,,
N5,,
TOP 10000,,
トイレ,,
toilet,,
N5,,
TOP 2500,,
強い,,
つよい,,
strong; ...,,
N5,,
TOP 300,,
口,,
くち,,
mouth; ...,,
N5,,
TOP 1000,,
一日,,
ついたち,,
first day of the month; ...,,
N5,,
TOP 2500,,
多分,,
たぶん,,
perhaps; ...,,
N5,,
TOP 2500,,
厚い,,
あつい,,
thick; ...,,
N5,,
TOP 5000,,
痛い,,
いたい,,
painful; ...,,
N5,,
TOP 2500,,
少し,,
すこし,,
small quantity; ...,,
N5,,
TOP 200,,
開ける,,
あける,,
to open; ...,,
N5,,
TOP 2500,,
少ない,,
すくない,,
few,,
N5,,
TOP 300,,
皆さん,,
みなさん,,
all,,
N5,,
TOP 400,,
しかし,,
however,,
N5,,
TOP 200,,
多い,,
おおい,,
many; ...,,
N5,,
TOP 100,,
住む,,
すむ,,
to live,,
N5,,
TOP 1000,,
絵,,
え,,
picture,,
N5,,
TOP 2500,,
行く,,
いく,,
to go; ...,,
N5,,
TOP 100,,
困る,,
こまる,,
to be troubled,,
N5,,
TOP 2500,,
先生,せんせい,teacher
みんな,みんな,all
