Kanji,NR,KR,Meaning,W1,R1,M1,W2,R2,M2,W3,R3,M3
現,GEN,arawa,"present, appear",現状,げんじょう,present condition,現れる,あらわれる,"to appear, come in sight",現地,げんち,actual place
最,SAI,motto,"most, utmost",最近,さいきん,"recently, lately",最も,もっとも,"most, extremely",最善,さいぜん,"the very best, utmost"
化,"KA, KE",ba,"change, take form",化ける,ばける,"to transform, disguise",化粧,けしょう,"make-up, cosmetics",化学物質,かがくぶっしつ,chemical substances
民,MIN,tami,"people, subjects",市民,しみん,citizen,難民,なんみん,refugee,移民,いみん,"immigration, emigration"
相,"SOU, SHOU",ai,"inter, mutual, minister",相手,あいて,"companion, partner, other party",相互,そうご,mutual,相談,そうだん,"consultation, discussion"
法,HOU,nori,"method, law, rule",法律,ほうりつ,law,方法,ほうほう,"method, process",法則,ほうそく,"law, rule"
全,ZEN,"matta, sube","whole, entire, all",全部,ぜんぶ,"all, entire",全て,すべて,"everything, all",全く,まったく,"really, truly, completely"
情,JOU,nasa,emotion,情報,じょうほう,"information, news",感情,かんじょう,"emotion, feelings",情け,なさけ,"pity, sympathy, compassion"
向,KOU,mu,"facing, beyond",向く,むく,"to turn toward, to face",向かう,むかう,"to face, to go towards",向ける,むける,"to turn towards, to point​"
平,"HEI, BYOU","tai, hira","flat, even, peace",平等,びょうどう,equality,平均,へいきん,"average, mean",平ら,たいら,"flat. level, even, calm"
成,SEI,na,become,成る,なる,to become,成功,せいこう,success,賛成,さんせい,"approval, agreement"
経,"KEI, KYOU","he, ta","pass, elapse",経験,けいけん,experience,経る,へる,"to pass, to elapse",経つ,たつ,"to pass, to elapse"
信,SHIN,.,"trust, faith",信じる,しんじる,to believe,信頼,しんらい,"reliance, trust, faith",信号,しんごう,"signal,  traffic signal"
面,MEN,"omote, omo, tsura","surface, mask",面白い,おもしろい,interesting,面接,めんせつ,interview,表面,ひょうめん,"surface, face"
連,REN,"tsu, tsura",take along,連れる,つれる,"to take some with, bring along",連想,れんそう,association (ideas),関連,かんれん,"relation, connection"
原,GEN,hara,"original, meadow",原理,げんり,principle,原因,げんいん,"cause, origin, source",原っぱ,はらっぱ,"open field, empty lot"
顔,GAN,kao,"face, expression",笑顔,えがお,"smiling face, smile​",顔つき,かおつき,"looks, features, face",顔面,がんめん,face (of person)
機,KI,hata,machine,機械,きかい,"machine, mechanism",機会,きかい,"chance, opportunity",機能,きのう,"function, facility, feature"
次,"JI, SHI","tsugi, tsu",next,次ぐ,つぐ,"to rank next to, come after",目次,もくじ,"table of contents, contents",次第,しだい,depending on​
数,SU,"kazu, kazo","number, count",数える,かぞえる,"to count, enumerate",回数券,かいすうけん,"coupon tickets, discount ticket",周波数,しゅうはすう,frequency
美,BI,utsuku,beautiful,美術館,びじゅつかん,art museum,美しい,うつくしい,beautiful,美人,びじん, beautiful woman
回,KAI,mama,"times, revolve, turn",回る,まわる,"to turn, revolve​, go around",回復,かいふく,"restoration, rehabilitation",回り道,まわりみち,"detour, diversion"
表,HYOU,"arawa, omote","surface, express",表す,あらわす,"to represent, signify, reveal, show",表情,ひょうじょう,facial expression,表現,ひょうげん,expression
声,SEI,koe,voice,声明,せいめい,"declaration, statement",小声,こごえ,"low voice, whisper​",音声,おんせい,"voice, speech"
報,HOU,muku,"report, news",天気予報,てんきよほう,weather forecast,報じる,ほうじる,"to inform, report​",報いる,むくいる,"to reward, recompense"
要,YOU,i,"need, main point",要る,いる,to need,必要,ひつよう,necessary,重要,じゅうよう,important
変,HEN,ka,"unusual, change",変わる,かわる,"to change, be transformed",変化,へんか,"change, variation",変える,かえる,"to chnage, alter"
神,"SHIN, JIN",kami,god,神社,じんじゃ,Shinto shrine,神,かみ,god,神経,しんけい,"nerves, sensitivity"
記,KI,shiru,"scribe, note",記す,しるす,"to write down, note down, mention",日記,にっき,"diary, journal",記録,きろく,"to record, record, documents"
和,WA,"yawa, nago","harmony, peace",平和,へいわ,"peace, harmony",和らげる,やわらげる,"to soften, moderate",和む,なごむ,"to be softened, calm down"
引,IN,hi,pull,引く,ひく,"to pull, draw, attract",引用,いんよう,"quotation, citation, reference​",取引,とりひき,"transactions, dealings, business​"
治,"JI, CHI","osa, nao","govern, cure",政治,せいじ,"politics, government​",治す,なおす,"to cure, heal​",治める,おさめる,"to govern, manage"
決,KETSU,ki,decide,決める,きめる,to decide,決断,けつだん,"decision, determination",解決,かいけつ,"settlement, solution, resolution"
太,"TAI, TA",futo,"big, thick, fat",太い,ふとい,"fat, thick",太る,ふとる,to gain weight,太陽,たいよう,sun
込,.,komu,"crowded, included",込む,こむ,"to be crowded, go into",申し込む,もしうこむ,to apply for,割り込む,わりこむ,"to cut into a line, edge oneself"
受,KU,u,"accept, receive",受ける,うける,"to receive, get",受付,うけつけ,"reception, information desk",受験,じゅけん,taking an examination
解,"KAI, GE",to,unravel,理解,りかい,understanding,解く,とく,"to untie, unravel, solve",解散,かいさん,"breaking up, dispersal"
市,SHI,ichi,"market, city",都市,とし,"town, city",市場,いちば,market,市街,しがい,"urban areas, the streets"
期,KI,.,"period, term, time",期待,きたい,expectation,期間,きかん,"period, term, interval",延期,えんき,postponement
様,YOU,sama,"way, manner",模様,もよう,"pattern, figure, design, state",仕様,しよう,"way, method, means",皆様,みなさま,everyone
活,KATSU,.,"life, activity",生活,せいかつ,"life, living",活用,かつよう,"practical use, application",活動,かつどう,activity
頭,"TOU, ZU","atama, kastıra",head,頭痛,ずつう,headache,頭金,あたまきん,"down payment, deposit",先頭,せんとう,"head, front, lead, forefront"
組,SO,"kumi, ku","association, unite",組む,くむ,"to cross, put together, assemble",番組,ばんぐみ,programme,組織,そしき,organization
指,SHI,"yubi, sa","finger, point to, indicate",指輪,ゆびわ,ring,指定,してい,"designation, specification, assignment",指す,さす,"to point, specify, indicate"
説,SETSU,to,"opinion, theory, explain",説明,せつめい,explanation,説得,せっとく,persuasion,説く,とく,"to explain, advocate"
能,NOU,.,"ability, talent, skill",知能,ちのう,intelligence,本能,ほんのう,instinct,能力,のうりょく,ability
葉,YOU,ha,"leaf, foliage ",言葉,ことば,"word, language",紅葉,こうよう,autumn colours,落ち葉,おちば,fallen leaves
流,RYUU,naga,"current, a sink, flow",流れる,ながれる,"to stream, flow",流通,りゅうつう,"circulation, distribution",一流,いちりゅう,"first-class, top grade"
然,"ZEN, NEN",.,"as, like, sort of",偶然,ぐうぜん,"coincidence, chance",自然,しぜん,"nature, natural",突然,とつぜん,"abrupt, sudden, unexpected"
初,SHO,"haji, hatsu, so","first time, beginning",最初,さいしょ,"beginning, outset, first",初雪,はつゆき,first snowfall,初めて,はじめて,for the first time​
在,ZAI,a,exist,現在,げんざい,"the present, now",在庫,ざいこ,"stock, inventory",滞在,たいざい,stay
調,CHOU,"shira, totono","tune, tone, investigate",調査,ちょうさ,investigation,調べる,しらべる,"to examine, look up, investigate",順調,じゅんちょう,favourable
笑,SHOU,"wara, e",laugh,笑う,わらう,to laugh,笑顔,えがお,"smiling face, smile",微笑,びしょう,smile
議,GI,.,deliberation,会議,かいぎ,"meeting, conference, session",議論,ぎろん,"argument, discussion, dispute",不思議,ふしぎ,"wonderful, strange, incredible"
直,"CHOKU, JIKI","nao, tada","fix, straightaway, honest",正直,しょうじき,"honest, frank, straightforward",直す,なおす,"to fix, correct, repair",直接,ちょくせつ,"direct, immediate, personal"
夫,FU,otto,"husband, man",丈夫,じょうぶ,"healthy, robust, strong",工夫,くふう,"devising, figuring out",夫婦,ふうふ,married couple
選,SEN,era,"elect, select, choose",選ぶ,えらぶ,"to choose, select",選挙,せんきょ,election,選択,せんたく,"choice, selection, option"
権,KEN,.,"authority, power, rights",権利,けんり,"right, privilege",権威,けんい,"authority, power, influence​",著作権,ちょさくけん,copyright
利,RI,ki,"profit, advantage, benefit",利益,りえき,"profit, gains, benefits",便利,べんり,convenient,利口,りこう,"clever, intelligent, wise, bright"
制,SEI,.,"system, law, rule",規制,きせい,"regulation, control, restriction",制服,せいふく,uniform,制度,せいど,"system, institution, organization"
続,ZOKU,tsuzu,"continue, series, sequel",相続,そうぞく,"succession, inheritance",続ける,つづける,"to continue, keep up, keep on",接続,けいぞく,"connection, attachment, union, joint, link"
石,SEKI,ishi,stone,石鹸,せっけん,soap,石油,せきゆ,"oil, petroleum",石垣,いしがき,stone wall
進,SHIN,susu,"advance, proceed, progress",進歩,しんぽ,"progress, advance, improvement",進む,すすむ,"to advance, go forward",進行,しんこう,moving forward
伝,DEN,tsuta,"transmit, report, tradition",伝統,でんとう,"tradition, convention",宣伝,せんでん,"publicity, advertisement",伝える,つたえる,"to convey, report, transmit"
加,KA,kuwa,"add, increase, join",参加,さんか,"participation, joining, entry",加える,くわえる,"to add, sum up, increase, append",加減,かげん,"degree, extent, amount, balance, state"
助,JO,tasu,"help, rescue, assist",助手,じょしゅ,"assistant, helper",助ける,たすける,"to save, rescue, help",助言,じょげん,"advice, counsel, suggestion, tip"
点,TEN,tsu,"spot, point, mark",頂点,ちょうてん,"top, summit, vertex",欠点,けってん,"fault, defect, flaw, weak point",点ける,つける,"to turn on, switch on, light up"
産,SAN,u,"products, bear, give birth, yield",産業,さんぎょう,"industry, livelihood",生産,せいさん,"production, manufacture​",財産,ざいさん,"property, fortune, assets"
務,MU,tsuto,"task, duties, work",公務員,こうむいん,"government worker, public servant",務まる,つとまる,"to be fit for a role, to be qualified for",事務局,じむきょく,"secretariat, executive office​"
件,KEN,.,"affair, case, matter, item",条件,じょうけん,"condition, term, requirement",事件,じけん,"event, affair, incident, case",用件,ようけん,"business, thing to be done"
命,"MEI, MYOU",inch,"fate, command, life",生命,せいめい,"life, existence​",命令,めいれい,"order, command, decree, directive",運命,うんめい,"fate, destiny, lot"
番,BAN,.,"turn, number",番号,ばんごう,"number, series of digits",番組,ばんぐみ,program,順番,じゅんばん,"turn in line, order of things"
落,RAKU,o,"fall, drop, come down",落ちる,おちる,"to fall down, drop, fall",落第,らくだい,"failure in an examination, failing to advance",墜落,ついらく,"fall, crash (e.g. aircraft)"
付,FU,tsu,"adhere, attach, refer to, append",受付,うけつけ,"reception desk, information desk",付ける,つける,"to attach, join, add, append, affix",寄付,きふ,"contribution, donation"
得,TOKU,"e, u","gain, get, find, earn",説得,せっとく,persuasion,得る,える,"to get, earn, acquire",独特,どくとく,"peculiarity, uniqueness, characteristic"
好,KOU,"kono, su","fond, pleasing, like",好き,すき,"liking, being fond of",好む,このむ,"to like, to prefer",格好,かっこう,"shape, form, figure, posture, appearance"
違,I,chiga,"difference, differ",違う,ちがう,"to differ from, vary",違反,いはん,"violation, offense",相違,そうい,"difference, discrepancy, variation"
殺,SATSU,koro,kill,殺す,ころす,"to kill, slay, murder",暗殺,あんさつ,assassination,殺人,さつじん,"murder, homicide"
置,CHI,o,"put, set, place",位置,いち,"place, position, location",置く,おく,"to put, place, leave",装置,そうち,"equipment, device, installation"
返,HEN,kae,"return, answer, fade",返す,かえす,"to return, restore, put back​",返事,へんじ,"reply, answer, response",返済,へんさい,"repayment, reimbursement, refund"
論,RON,",","argument, discourse",論文,ろんぶん,"thesis, essay",理論,りろん,theory,議論,ぎろん,"argument, discussion, dispute"
際,SAI,kiwa,"occasion, side, edge",国際,こくさい,international,際立つ,きわだつ,"to be prominent, be conspicuous",実際,じっさい,"reality, truth, fact, actual"
歳,"SAI, SEI",.,"year-end, age, occasion",歳入,さいにゅう,"annual revenue, annual income",歳出,さいしゅつ,annual expenditure,歳暮,せいぼ,"year-end gift, year end"
反,HAN,so,anti,反対,はんたい,opposition,反応,はんのう,"reaction, response",反る,そる,"to warp, curve, arch, bend"
形,"KEI, GYOU","katachi, kata","shape, form, style",人形,にんぎょう,"doll, puppet, figure",形態,けいたい,"form, shape, figure",地形,ちけい,"terrain, geographical features"
光,KOU,hikari,"ray, light",観光,かんこう,"sightseeing, tourism",光線,こうせん,"beam, light ray",光る,ひかる,"to shine, glitter, be bright"
首,SHU,kubi,neck,首都,しゅと,"capital city, metropolis",手首,てくび,wrist,首,くび,neck
勝,SHOU,"ka, masa","victory, win",優勝,ゆうしょう,"overall victory, championship",勝つ,かつ,"to win, gain victory",勝る,まさる,"to excel, surpass, exceed, have an edge"
必,HITSU,kanara,"certain, inevitable",必要,ひつよう,"necessary, needed",必需品,ひつじゅひん,"necessities, necessary article",必ず,かならず,"always, without exception"
係,KEI,kaka,"person in charge, connection",係る,かかる,"to be the work of, to be the result",関係,かんけい,"relation, relationship, connection",係員,かかりいん,"person in charge, official"
由,"YU, YUU",yoshi,reason,自由,じゆう,freedom,理由,りゆう,reason,経由,けいゆ,"going through, going via"
愛,AI,.,"love, affection",恋愛,れんあい,"love, love-making, passion",愛する,あいする,to love​,愛情,あいじょう,"love, affection"
都,"TO, TSU",miyako,"metropolis, capital",都市,とし,"town, city, municipal",首都,しゅと,"capital city, metropolis",都合,つごう,"circumstances, condition, arrange"
放,HOU,hana,"set free, release",放す,はなす,"to release, let go, set free",放送,ほうそう,broadcasting,解放,かいほう,"release, unleashing"
確,KAKU,tashi,"assurance, confirm, tight",確率,かくりつ,"probability, likelihood",確か,たしか,"sure, certain, positive",正確,せいかく,"accurate, correct, precise, exact"
過,KA,"su, ayama","exceed, go beyond, error",過去,かこ,the past,過ぎる,すぎる,"to pass through, pass by, elapse",過失,かしつ,"accident, error, blunder"
約,YAKU,.,"promise, approximately",契約,けいやく,"contract, compact, agreement",節約,せつやく,"economising, saving",婚約,こんやく,"engagement, betrothal"
馬,BA,uma,horse,馬,うま,horse,競馬,けいば,horse racing,馬車,ばしゃ,"coach, carriage, wagon"
状,JOU,.,"status quo, conditions, appearance",現状,げんじょう,"present condition, existing state",状況,じょうきょう,"state of affairs, situation, conditions",状態,じょうたい,"state, condition, situation, appearance"
想,SOU,.,"concept, think, idea, thought",理想,りそう,ideals,予想,よそう,"expectation, anticipation",想像,そうぞう,"imagination, supposition, guess"
官,KAN,.,"bureaucrat, the government, organ",官庁,かんちょう,government office,官僚,かんりょう,bureaucrat; government official,器官,きかん,body organ
交,KOU,"ka, ma, maji","mingle, mixing",交わす,かわす,"to exchange, intersect",交える,まじえる,"to mix, combine, include, intersect",交換,こうかん,"exchange, interchange, switching"
米,BEI,kome,"rice, usa",米,こめ,rice,米国,べいこく,united states of america,米価,べいか,rice price
配,HAI,kuba,distribute,支配,しはい,"rule, domination, control",配達,はいたつ,delivery,配る,くばる,"to distribute, hand out, deliver"
若,JAKU,waka,young,若い,わかい,young,若者,わかもの,young man,若干,じゃっかん,"some, few, a number of"
資,SHI,.,"assets, resources",資源,しげん,resources,資本,しほん,"funds, capital",資料,しりょう,"materials, data"
常,JOU,"tsune, toko","usual, ordinary, normal",常識,じょうしき,"common sense, good sense",異常,いじょう,"strangeness, abnormality, disorder",非常,ひじょう,"emergency, extreme"
果,KA,ha,"fruit, reward, carry out",結果,けっか,"result, consequence, outcome",果たす,はたす,"to accomplish, achieve, carry out",効果,こうか,"effect, effectiveness, efficacy"
呼,KO,yo,"call, call out to, invite",呼ぶ,よぶ,"to call out, call, invoke",呼吸,こきゅう,"breathing, respiration",呼称,こしょう,"name, designation, denomination"
共,KYOU,.,"together, both",公共,こうきょう,"public, communal",共鳴,きょうめい,"resonance, sympathy",共同,きょうどう,"cooperation, collaboration, association"
残,ZAN,noko,"remain, leftover",残す,のこす,to leave,残酷,ざんこく,"cruel, brutal, ruthless",残業,ざんぎょう,overtime work
判,"HAN, BAN",.,"judgement, stamp, seal",判決,はんけつ,"judicial decision, judgement",判断,はんだん,"judgement, decision",評判,ひょうばん,"reputation, estimation, popularity"
役,"YAKU, EKI",.,"duty, war, office, service",役割,やくわり,"part, role, duties​",役所,やくしょ,"government office, public office",役目,やくめ,"duty, role, function"
他,TA,hoka,other,他人,たにん,"another person, other people",その他,そのほか,"the rest, the others​",他方,たほう,the other way
術,JUTSU,.,"art, technique, skill",芸術,げいじゅつ,"art, the arts",技術,ぎじゅつ,"technology, engineering",戦術,せんじゅつ,tactics
支,SHI,sasa,"branch, support, sustain",支配,しはい,"rule, domination, control",支給,しきゅう,"provision, supply, payment",支える,ささえる,"to support, prop, sustain"
両,RYOU,.,both,両親,りょうしん,parents,両替,りょうがえ,"change, money exchange",両立,りょうりつ,"compatibility, coexistence"
乗,JOU,no,"ride, load, power, join",乗る,のる,to get on a vehicle,乗客,じょうきゃく,passenger,乗せる,のせる,"place on, give a ride, load, carry"
済,SAI,su,"settle, finish, end, completed",経済,けいざい,"economy, economics",済む,すむ,"to finish, end, be completed",救済,きゅうさい,"relief, aid, help, rescue"
供,KYOU,"sona, domo","submit, offer, present",子供,こども,child,供給,きょうきゅう,"supply, provision",提供,ていきょう,"offer, tender, providing, supply"
格,KAKU,.,"status, rank, capacity",資格,しかく,"qualifications, requirements, capabilities",人格,じんかく,"personality, character, individuality",性格,せいかく,"character, personality"
打,DA,u,"strike, hit, knock",打つ,うつ,"to hit, strike, knock",打撃,だげき,"blow, shock, strike, damage",打開,だかい,break in the deadlock
御,"GYO, GO",on,honorable,昼御飯 ,あさごはん,breakfast,御菓子,おかし,confections,御土産,おみやげ,local specialty
断,DAN,kotowa,"refuse, warn, decision",診断,しんだん,"diagnosis, medical examination",断る,ことわる,"to refuse, reject, dismiss",決断,けつだん,"decision, determination"
式,SHIKI,.,"style, ceremony, rite",株式,かぶしき,"share, stock",正式,せいしき,"due form, official, formality",公式,こうしき,"official, formal"
師,SHI,.,"expert, teacher, master",医師,いし,"doctor, physician​",教師,きょうし,teacher,講師,こうし,"speaker, lecturer​"
告,KOKU,tsu,"revelation, tell, inform, announce",広告,こうこく,advertisement,報告,ほうこく,"report, information",告げる,つげる,"to tell, inform announce"
深,SHIN,fuka,"deep, intensify",深い,ふかい,"deep, profound",深夜,しんや,late at night,深刻,しんこく,"serious, severe, grave, acute"
存,"SON, ZON",.,"exist, suppose",存在,そんざい,"existence, being, presence​",保存,ほぞん,"preservation, conservation, storage",存じる,ぞんじる,"to think, feel, consider, know"
争,SOU,araso,"contend, dispute, argue",争う,あらそう,"to compete, contest, contend",戦争,せんそう,war,競争,きょうそう,"competition, contest, rivalry"
覚,KAKU,"obo, sa","memorize, remember, awake",覚える,おぼえる,"to memorize, remember",覚める,さめる,"to wake, wake up",感覚,かんかく,"sense, sensation, feeling, intuition"
側,SOKU,"kawa, gawa","side, lean, oppose",側面,そくめん,"side, flank, profile, lateral",両側,りょうがわ,both sides,裏側,うらがわ,"the reverse, other side, lining"
飛,HI,to,"fly, skip",飛行機,ひこうき,airplane,飛ぶ,とぶ,"to fly, soar​, jump",飛躍,ひやく,"leap, jump"
参,SAN,mai,"go, come, visit",参る,まいる,"to go, come, call",参加,さんか,"participation, joining, entry​",参考,さんこう,"reference, consultation"
突,TOTSU,tsu,"stab, protrude, prick, poke",衝突,しょうとつ,"collision, crash, impact, running into",突く,つく,"to prick, stab, poke, thrust",突然,とつぜん,"abrupt, sudden, unexpected​"
容,YOU,.,"contain, form, looks",容易,ようい,"easy, simple, plain​",内容,ないよう,"contents, content, substance",容器,ようき,"container, vessel"
育,IKU,"soda, haguku","bring up, grow up, raise",育てる,そだてる,"to raise, rear, bring up",体育,たいいく,physical education,教育,きょういく,"education, schooling"
構,KOU,kama,"posture, build, pretend",結構,けっこう,"splendid, nice, wonderful, sufficient",構う,かまう,"to mind, care about, be concerned about",構える,かまえる,"to set up, build , establish, run"
認,NIN,mito,"acknowledge, recognize",認める,みとめる,"to recognize, approve, admit",確認,かくにん,"confirmation, verification, validation",承認,しょうにん,"recognition, acknowledgement"
位,I,kurai,"rank, grade, throne",単位,たんい,"unit, denomination",位置,いち,"place, position, location",地位,ちい,"social position, status, standing"
達,TATSU,.,"reach, arrive, attain",達する,たっする,"to reach, get to, arrive at",配達,はいたつ,delivery,発達,はったつ,"development, growth"
守,"SHU, SU",mamo,"guard, protect, defend",留守,るす,"absence, being away from home",保守,ほしゅ,"maintenance, conservation",守る,まもる,"to protect, guard,  defend"
満,MAN,mi,"full, enough, satisfy",満足,まんぞく,"satisfaction, contentment",満ちる,みちる,"to fill, become full, be filled with",満たす,みたす,"to satisfy, meet, fulfill"
消,SHOU,"ke, ki","extinguish, turn off, neutralize",消す,けす,"to erase, delete, turn off, extinguish",消える,きえる,"to disappear, vanish, go away",消費,しょうひ,"consumption, expenditure, spending"
任,NIN,maka,"responsibility, duty, entrust",任せる,まかせる,to entrust,責任,せきにん,"duty, responsibility",就任,しゅうにん,"assumption, taking up"
居,KYO,i,"reside, to be, exist, live",芝居,しばい,"play, drama",居る,いる,"to be, exist",居住,きょじゅう,"residence, abode, dwelling​"
予,YO,.,"beforehand, previous",予約,よやく,"reservation, appointment",予定,よてい,"plans, arrangement",予想,よそう,"expectation, anticipation"
路,RO,"ji, michi","path, route, road",道路,どうろ,"road, highway​",通路,つうろ,"passage, pathway, roadway",進路,しんろ,"route, course, path"
座,ZA,suwa,"seat, sit",座席,ざせき,seat,座る,すわる,to sit,座布団,ざぶとん, flat floor cushion
客,"KYAKU, KAKU",.,"guest, visitor, customer, client",観客,かんきゃく,"audience, spectator",観光客,かんこうきゃく,tourist,旅客,りょかく,"passenger, traveller"
船,SEN,fune,"ship, boat",漁船,ぎょせん,fishing boat,船舶,せんぱく,"vessel, ship",造船,ぞうせん,shipbuilding
追,TSUI,o,"chase, drive away, follow",追う,おう,"to chase, run after, pursue",追加,ついか,"addition, supplement, appending",追跡,ついせき,"chase, pursuit, tracking, following"
背,HAI,"se, sei, somu","stature, height, back",背広,せびろ,business suit​,背景,はいけい,background; scenery,背く,そむく,"to run counter to, go against"
観,KAN,.,"outlook, look, appearance",観光,かんこう,"sightseeing, tourism",観念,かんねん,"idea, notion, concept",観測,かんそく,"observation, survey, measurement"
誰,SUI,dare,"who, someone, somebody",誰か,だれか,"someone, somebody",誰にも,だれにも,"to anyone, everyone",誰でも,だれでも,"anyone, anybody"
息,SOKU,iki,"breath, respiration, son",息子,むすこ,son,窒息,ちっそく,"suffocation, choking, asphyxia",休息,きゅうそく,"rest, relief, relaxation"
失,SHITSU,ushina,"lose, error, fault",失業,しつぎょう,unemployment,失う,うしなう,"to lose, miss",失敗,しっぱい,"failure, mistake, blunder"
老,ROU,"o, fu","old man, old age, grow old",老人,ろうじん,"old person, senior citizen",老い,おい,"old age, old person",老ける,ふける,"to age, grow old"
良,RYOU,yo,"good, pleasing, skilled",良い,よい,"good, excellent, fine",良心,りょうしん,conscience,良質,りょうしつ,"good quality, fine quality"
示,"JI, SHI",shime,"show, indicate, point out",示す,しめす,"to show, demonstrate, tell",指示,しじ,"indication, designation",暗示,あんじ,"hint, suggestion"
号,GOU,.,"number, item",信号,しんごう,"signal, traffic light",番号,ばんごう,"number, series of digits",記号,きごう,"symbol, code, sign, notation"
職,SHOKU,.,"post, employment, work",職業,しょくぎょう,"occupation, profession, job",就職,しゅうしょく,"finding employment, getting a job",転職,てんしょく,"change of occupation, career change"
王,OU,.,"king, rule",王様,おうさま,king,女王,じょおう,queen,王室,おうしつ,royal family
識,SHIKI,.,"discriminate, know",知識,ちしき,"knowledge, information",意識,いしき,consciousness,常識,じょうしき,common sense
警,KEI,.,admonish,警察,けいさつ,police,警告,けいこく,"warning, advice",警戒,けいかい,"vigilance, caution, alertness"
優,YUU,"sugu, yasa","tenderness, excel, surpass",優しい,やさしい,"tender, kind, gentle",優れる,すぐれる,"to surpass, outstrip, excel",優秀,ゆうしゅう,"superior, excellent, brilliant"
投,TOU,na,"throw, discard, abandon",投げる,なげる,"to throw, hurl, cast, give up",投資,とうし,investment,投票,とうひょう,"voting, ballot, poll"
局,KYOKU,.,"bureau, board, office",郵便局,ゆうびんきょく,post office,薬局,やっきょく,"pharmacy, drugstore",結局,けっきょく,"after all, in the end"
難,NAN,"muzuka, kata","difficult, impossible",難しい,むずかしい,"difficult, hard",困難,こんなん,"difficulty, hardship, trouble",避難,ひなん,"taking refuge, finding shelter"
種,SHU,tane,"species, kind, class, variety",種類,しゅるい,"variety, kind, type, category",各種,かくしゅ,"every kind, all sorts",予防接種,よぼうせっしゅ,"vaccination, inoculation, immunization"
念,NEN,.,"wish, sense, idea, thought",残念,ざんねん,"regrettable, unfortunate",観念,かんねん,"idea, notion, concept",記念,きねん,"commemoration, celebration"
寄,KI,yo,"draw near, bring, stop in, gather",寄る,よる,"to approach, draw near, gather",寄せる,よせる,"to come near, bring near, deliver",寄付,きふ,"contribution, donation"
商,SHOU,akina,"make a deal, trade",商人,しょうにん,"merchant, trader",商品,しょうひん,"commodity, goods",商業,しょうぎょう,"commerce, trade, business"
害,GAI,.,"harm, injury, damage",公害,こうがい,"pollution, public nuisance",災害,さいがい,"calamity, disaster, misfortune",損害,そんがい,"damage, injury, loss"
頼,RAI,"tano, tao","trust, request",頼む,たのむ,"to request, beg, ask",頼る,たよる,"to rely on, depend on, count on",信頼,しんらい,"reliance, trust, faith, confidence"
横,OU,yoko,"horizontal, sideways, width",横,よこ,"horizontal, lying down, side to side",横断,おうだん,"crossing, cutting through, intersecting",横転,おうてん,"toppling sideways, turning sideways"
増,ZOU,"ma, fu","increase, add",増える,ふえる,"to increase, multiply",増す,ます,"to increase, grow",増加,ぞうか,"increase, rise, growth, addition"
差,SA,sa,"distinction, difference, variation",差別,さべつ,"distinction, differentiation, discrimination",差す,さす,"to shine​, be visible",差異,さい,"difference, disparity, gap"
苦,KU,"kuru, nida","suffer, bitter",苦い,にがい,bitter,苦しむ,くるむ,"to suffer, groan, be worried",苦労,くろう,"trouble, hardship, difficulty"
収,SHUU,osa,"income, obtain, reap, supply",収入,しゅうにゅう,"income, receipts, revenue​",収める,おさめる,"to pay, dedicate, offer, supply",吸収,きゅうしゅう,"absorption, suction, attraction"
