Health.Sentences,Health.Translation,Sight.Sentences,Sight.Translation,Travel.Sentences,Travel.Translation,Dining.Sentences,Dining.Translation,Shopping.Sentences,Shopping.Translation
やけどをしました。,I’ve burned myself.,山小屋が予約出来ますか。,Can I reserve a cabin?,赤ワインをお願いします。,"Can I have a glass of red wine, please?",アレルギーなので、卵抜きで作ってもらえますか。,"I'm allergic to eggs, can you make it",あずかって下さいませんか。あとで取りに来ます。,Could you keep this for me? I’ll come back for it later.
肌をすりむきました。, I’ve grazed myself.,何時に清水寺が開きますか。,At what time does Kiyomizu-dera Temple open?,いいえ、結構です。,"No, thank you.",お飲み物はいつお待ちしましょうか。,When would you like your drinks?,ビニール袋ありますか。,Do you have plastic bags?
ころびました。,I fell down.,何時に伏見稲荷が閉まりますか。,At what time does Fushimi Inari close?,コーヒーをいただけますか。,"Can I have a cup of coffee, please?",先にお願いします。,"Before the meal, please",プレゼントですから 、包んで下さい 。,"It's a gift, so please wrap it up."
足首をくじきました。,I sprained my ankle.,何曜日に東京博物館が開いていますか。,On what days of the week is the Tokyo Museum open?,砂糖とミルク入りますか。,Can I have sugar and milk?,一緒にお願いします。,"With the meal, please",袋は大丈夫です。,I don’t need a bag.
足首を挫きました。,I sprained my ankle.,何曜日に大阪水族館が閉まっていますか。,On what days of the week is the Osaka Aquarium closed?,はい、両方お願いします。,"Yes, both please.",食後にお願いします。,"After the meal, please",レシートをもらえますか。,Can I get a receipt?
症状は何ですか。,What are your symptoms?,入場料はいくらですか。,How much is the admission fee?,お暑いのでお気をつけください。,"Please be careful, it's very hot.",以上です。,That's all,すみませんが、ありません。,"I’m sorry, we don’t have that."
この症状はどのぐらい続いていますか。,How long have these symptoms been present?,子供の割引切符ありますか。,Is there a discount ticket for children?,パスポーととチケットを見せてください。,Please show me your passport and ticket.,とりあえずこれで大丈夫です。,That would be all for now,すみませんが、売切れです。,"I’m sorry, we’re sold out."
この症状は初めてですか。,Is this the first time you have had this symptom?,グル ープの割引切符ありますか。,Is there a discount ticket for groups?,はい、これです。,"Yes, here you go.",すみません。注文したものがまだ来ないんですが。,Excuse me. My order hasn't come yet,支払い所でお支払いください。,You can pay at the cash desk.
熱は何度ですか。,What is your temperature?,撮影してもいいですか。,Can I take a picture here?,観光ですか。,Are you sightseeing?,すみません。これ注文したものと違います。,Excuse me. This is not what I ordered,クレジットカードは使えません。,We don’t accept credit cards.
脱いで下さい。,Please take off your clothes.,写真を撮ってもいいですか。,May I take a picture?,はい、観光です。,"Yes, sightseeing.",これ注文していないです。,I didn't order this,旅行用小切手は使えません。,We don’t accept traveler’s check.
上着を取って下さい。,Please take your jacket.,英語のカタログありますか。,Do you have a catalog in English?,どのぐらい滞在しますか。,How long will you be staying?,取り皿もらえますか。,Can I have some small plates?,外貨は使えません。,We don’t accept foreign currency.
あそこで脱いでください。,Please take off your clothes there.,英語のパ ン フ レ ットありますか。,Do you have a brochure in English?,２ヶ月です。,Two months.,お水もらえますか。,Can I have a glass of water?,ハムを100グラムお願いします。,"I would like 100 grams of ham, please."
左腕をまくって下さい。,Roll up your left arm.,英語のプログラムありますか。,Is there an English program?,どこに宿泊の予定ですか。,Where do you plan to stay?,おしぼりもらえますか。,Can I have a wet towel?,薄く切って下さい。,"Could you slice it for me, please?"
右腕をまくって下さい。,Please roll your right arm.,今月のプログラムありますか。,Do you have a program for this month?,富士旅館です。,Fuji Ryokan.,お手洗いはどこですか。,Where is the restroom?,さいの目に切って下さい。,"Could you chop it for me, please?"
ここに横になって下さい。,Please lie down here.,今晩のプログラムはどうですか。,How is the program this evening?,切符はどこで買えますか。,Where can I buy a ticket?,タバコはどこで吸えますか。,Where can I smoke?,おろしてください。,"Could you grate it for me, please?"
ここが痛いですか。,Does it hurt here?,コンサートに行きたいんですが。,I would like to go to the concert.,どこで予約出来ますか。,Where can I make a reservation?,こちらのお皿、お下げしてもよろしいですか。,May I take your plates?,注文出来ますか。,Can I place an order?
深呼吸してください。,Take a deep breath.,どのような映画ですか。,What kind of film is it?,飛行機の切符はどこで買えますか。,Where can I buy a plane ticket?,はい、お願いします。,"Yes, please",あした八時に取りに来ます。,I will come back tomorrow at 8:00 to pick it up.
口を開けて下さい,Please open your mouth.,今回はオリジナル版での上映となる。,"This time, the film will be shown in its original version.",片道お願いします。,One way please.,まだ食べています。,I'm still eating,食べ物ですか。,Can you eat this?
糖尿病です。,I’m a diabetic.,日本語字幕付きで上映されます。,The film will be shown with Japanese subtitles.,往復お願いします。,"Round trip, please.",お会計お願いします。,Can I have the bill please,飲み物ですか。,Can you drink this?
心臓病です。,I have a heart condition.,一昨日は吹替版で見ました。,The day before yesterday I saw it in a dubbed version.,一等車お願いします。,First class car please.,カード使えますか。,Do you accept credit cards?,何かこれに似合うのがほしいんですが。,I need something to go with this.
喘息病です。,I have asthma.,繰り返し上演しますか。,Is it a continuous showing?,二等車お願いします。,Second class car please.,お会計、別々にできますか。,Can we pay separately?,これに似合う靴がありますか。,Do you have shoes that go with this?
 魚介類に対してアレルギ ーです。,I’m allergic to seafood.,何かいいコンサートホールはありますか。,Are there any good concert halls?,エコノミークラスお願いします。,"Economy class, please.",領収書もらえますか。,Can I get a receipt?,アメリカの七サイズなんですが。,It's a seven-size American.
三何ヶ月の妊娠です。,I am three months pregnant.,この辺にいいナイトクラブはありますか。,Are there any good nightclubs around here?,ビジネスクラスお願いします。,"Business class, please.",,,試着出来ますか。,Can I try it on?
食事制限をしています。,I am on a dietary restrictions.,正装は必要ですか。,Do I need to wear formal attire?,座席を予約したいんですが。,I'd like to reserve a seat.,,,試着室はどこですか。,Where is the fitting room?
薬を使っています。,I’m on medication.,ショーは何時からですか。,What time is the show?,寝台車を予約したいんですが。,I'd like to book a sleeper car.,,,このサイズは合いません ,This size does not fit
心臓麻痺をおこしたことがあります。,I have had a heart attack once before.,チケットは予約出来ますか。,Could you reserve tickets?,通路側の席お願いします。,"Aisle seat, please.",,,似合いません。,It doesn't suit me.
腕の手術を受けました。,I had surgery on my arm.,一階席で予約出来ますか。,Can I make a seat reservation in the orchestra?,船室を予約したいんですが。,I'd like to reserve a cabin.,,,かかとが高過ぎます。,The heel is too high.
最近まで病気でした。,I’ve been ill recently.,二階席で予約出来ますか。,Can I make a seat reservation in the balcony?,定期券もありますか。,Do you also offer commuter passes?,,,かかとが低過ぎます。,The heel is too low.
潰瘍があります。,I’ve got an ulcer.,ボックス席で予約出来ますか。,Can I make a seat reservation in the box seats?,ちょっと、すみません。,Excuse me.,,,これは本当の皮ですか。,Is this genuine leather?
生理中です。,I’ve got my period.,前方で予約出来ますか。,Can I make a reservation at the table up front?,道に迷ってしまったんですが。,I've lost my way.,,,3歳の子供のために靴がほしいんですが。,I need shoes for my 3 year old.
何かに対してアレルギー がありますか。,Are you allergic to anything?,中ごろで予約出来ますか。,Can I make a reservation the middle?,この辺にコンビニがありますか。,Is there a convenience store around here?,,,洗濯温度は何度ですか。,What is the washing temperature?
薬を使っていますか。,Are you using medication?,後方で予約出来ますか。,Can I make a reservation at the back?,この道は嵐山へ行くのか。,Is this road going to Arashiyama?,,,洗ったら 、縮みますか。,Will it shrink after washing?
食事制限をしていますか。,Do you have a restricted diet?,四時の上演の切符を二枚予約出来ますか。,Can I reserve two tickets for the 4:00 p.m. performance?,銀座へどう行くか教えて下さいませんか。,Can you please tell me how to get to Ginza?,,,濡れたまま干して下さい。,Please dry it wet.
妊娠中ですか。,Are you pregnant?,今晩の切符はまだありますか。,Are there still tickets available for this evening?,秋葉原への一番近道はどれですか。,Which is the shortest way to Akihabara?,,,手で洗って下さい。,Please wash by hand.
破傷風の予防接種をしましたか。,Have you had a tetanus injection?,一 枚いくらですか。,How much is a ticket?,青森まで何キロぐらいですか。,How many kilometers is it to Aomori?,,,洗濯機で洗えます。,Machine washable.
深刻なものではありません。,It is nothing serious.,切符はいつもらえますか。,When can I get my ticket?,この地図で教えてもらえませんか。,Can you tell me on this map?,,,ドライクリーニング にして下さい。,Please dry clean.
足が骨折しています。 ,Your leg is broken. ,予約しました。,I’ve got a reservation.,道が違います。,You’re going the wrong way.,,,アイロンをかけないで下さい。,Do not iron.
左腕に痣があります。,You have got some bruised on you left arm.,どの上演に予約したいんですか。,Which performance do you want to reserve for?,終点まで戻って下さい。,I've lost my way.,,,この靴を修理出来ますか。,Can you repair these shoes?
右足をくじいています。,You have got a sprained right leg. ,どんな座席がほしいんですか。,What kind of seating would you like?,最後の交差点にお戻りください。,Please return to the last stop,,,新しい靴底を作ってください。,Could you put new soles on these?
 炎症を起こしています。,You’ve got an inflammation.,すみませんが、売切れです。,"Sorry, everything is sold out.",おぢあばですか。山手線で新橋まで行って。,Please go back to the last intersection,,,新しいかかとを作ってください。,Could you put new heels on these?
虫垂炎を起こしています。,You’ve got an appendicitis.,立ち見席だけ残っています。,Standing room only remains.,銀座への行き方を教えてください。,Can you please tell me how to get to Ginza?,,,いつできますか。,When will they be ready?
気管支炎を起こしています。,You’ve got bronchitis.,二階席だけ残っています。,We’ve only got balcony seats left.,,,,,靴クリームお願いします。,Shoe cream please.
性病です。,You’ve got a venereal disease.,一階席だけ残っています。,We’ve only got orchestra seats left.,,,,,靴ひもお願いします。,Shoelaces please.
流行性感冒です。,You’ve got the flu.,前の座席が残っています。,We’ve only got seats left at the front.,,,,,デジカメの写真を印刷したいのですが 、どこで出来ますか。,Where can I print photos from my digital camera?
心臓麻痺でした。,You’ve had a heart attack.,後の座席が残っています。,We’ve only got seats left at the back.,,,,,写 真をフェースブックにアップロード してくれませんか。,Can you upload the photos to Facebook?
バクテリアに感染しています。,You’ve got a bacterial infection,何枚ですか。,How many seats would you like?,,,,,バッテリーを取り換えなければなりませんか。,Should I replace the batteries?
ビールスに感染しています。,You’ve got a virus infection,切符を見せて下さい。,Please show your ticket.,,,,,このカメラを見てくれませんか。使えなくなってしまいました。," Could you have a look at my camera, please? It’s not working."
肺炎です。,You’ve got pneumonia.,こちらの席です。,This is your seat.,,,,,フラッシュが点灯しません。,The flash isn’t working.
潰瘍があります。,You’ve got an ulcer.,,,,,,,これを引き伸ばして下さい。,I’d like to have this photo enlarged.
筋をひきちがえました。,You’ve pulled a muscle.,,,,,,,現像はいくらですか。,How much is the development cost?
腟の感染症です。,You’ve got a vaginal infection.,,,,,,,プリントはいくらですか。,How much are the prints?
食中毒です。,You’ve got food poisoning.,,,,,,,引き伸ばしはいくらですか。,How much is the enlargement cost?
日射病です。,You’ve got sunstroke.,,,,,,,予約しなければなりませんか。,Do I have to make an appointment?
熱中症です。,You’ve got heatstroke.,,,,,,,どのぐらい待ちますか。,How long will I have to wait?
熱射病です。,You’ve got heatstroke.,,,,,,,髪を洗って下さい。 ,I’d like a shampoo.
毛皮に対してアレルギーがあります。,You are allergic to fur.,,,,,,,髪を切って下さい。 ,I’d like a haircut.
妊娠です。,You’re pregnant.,,,,,,,あぶらの多い髪用のシャンプーお願いします。,I’d like a shampoo for oily hair.
あなたの血液と小便と糞便を検査したいんです。,"I would like to test your blood, urine and feces.",,,,,,,乾燥した髪用のシャンプーお願いします。,I’d like a shampoo for dry hair.
傷口を縫い合わせなければなりません。,The wound must be stitched.,,,,,,,染めた髪用のシャンプーお願いします。,I’d like a shampoo for colored hair.
専門医に紹介します。,I'll refer you to a specialist.,,,,,,,ふけ防止用のシャンプーお願いします。,Anti-dandruff shampoo please.
病院に紹介します。,I'll refer you to a hospital.,,,,,,,この色と同じにして下さい。,Please make it the same as this color.
X線写真を撮らなければな りません。,You’ll need to have some X-rays taken.,,,,,,,もっと黒くして下さい。,Please make it more black.
ちょっと待合室で待っていて 下さい。,Please wait in the waiting room.,,,,,,,もっと明るくして下さい。,Please make it brighter.
手術が必要です。,Surgery is required.,,,,,,,ヘアスプレーをかけてください。,Please apply hairspray.
伝染性ですか。,Is it contagious?,,,,,,,ジェルはかけないで下さい。,Do not apply gel.
どのぐらい長く病院にいなければなりま せんか。,How long do I have to stay in the hospital?,,,,,,,ローションをかけてください。,Please apply lotion.
食事制限をしなければなりませんか。,Do I have to restrict my diet?,,,,,,,前髪を短く切って下さい。,Please cut bangs short.
旅行してもいいですか。,Am I allowed to travel?,,,,,,,後は短過ぎないように。,Not too short at the back
いつ伺わなければなりませんか。,When do I have to come back?,,,,,,,ここは長過ぎないように。,Don't go too long here.
また明日伺います。,I will visit again tomorrow.,,,,,,,少しだけ切って下さい。,Please cut a little.
六日後にここにきて下さい。,Come here in six days.,,,,,,,他の髪型にしたいんです。,I need to get a different hairstyle.
この薬はどう飲みますか。,How do you take this medicine?,,,,,,,髪を少しすいてください。,Please thin my hair a little bit.
一回どのくらいずつですか。,How many each time?,,,,,,,この写真のような髪型にしたいんですが。,I would like my hair to look like this picture.
一日何回ずつですか。,How many times a day?,,,,,,,ドライヤーを高くして下さい。,Could you turn the drier up a bit?
処方箋を出して下さいませんか。,Can you please give me a prescription?,,,,,,,ドライヤーを低くして下さい。,Could you turn the drier down a bit?
抗生物質を書きます。,I’m prescribing antibiotics.,,,,,,,マニキュアをして下さい。,I’d like a manicure.
飲み薬を書きます。,I’m prescribing oral medications.,,,,,,,マッサージをして下さい。,I’d like a massage.
トランキライザーを書きます。,I’m prescribing tranquilizer.,,,,,,,どんな髪型がいいんですか。,What kind of hairstyle do you prefer?
鎮痛剤の処方を書きます。,I’m prescribing painkillers.,,,,,,,どんな色がいいんですか。,What color do you want?
休まなければなりません。,You must rest.,,,,,,,温度はよろしいですか。,Is the temperature all right for you?
外へ出かけてはいけません。,Do not go outside.,,,,,,,雑誌をお読みになりますか。,Would you like something to read?
寝ていなければなりません。,Stay in bed.,,,,,,,何かお飲みになりますか。,Would you like a drink?
食事前に飲みます。,Drink before meals.,,,,,,,これでよろしいですか。,Is this what you had in mind?
食後に２カプセル飲みなさい。,Take two capsules after meals.,,,,,,,前髪を切りそろえて下さい。,Could you trim my bangs?
全部飲んで下さい。,Drink it all.,,,,,,,ひげを切りそろえて下さい。,Could you trim my bangs?
これらの錠剤を飲めば腹痛は治るでしょう。,These tablets will cure the abdominal pain.,,,,,,,ひげを剃って下さい。,"I’d like a shave, please."
外用のみに使用し、内服しないで下さい。,It is for external use only and should not be taken internally.,,,,,,,ひげ剃り用カミソリで剃って下さい。,"I’d like a wet shave, please."
完全に治療を終わらせる。,Completely finish treatment.,,,,,,,あちらでお会計をお願いします。,Please pay over there.
包帯を72時間おきに変えて下さい。,Change bandages every 72 hours.,,,,,,,こちらのカゴをお使いください。,Please use this basket.
この薬は自動車の運転に影響をきたします。,This drug affects the ability to drive a car.,,,,,,,空箱をレジにお持ちください。,Please bring the empty box to the cashier.
患部に軟膏の薄膜を塗ります。,Apply a thin film of ointment to the affected area.,,,,,,,実物はスタッフにお尋ねください。,Please ask our staff for the actual product.
この注射は通常医師によって行われます。,This injection is usually performed by a physician.,,,,,,,列に並んでお待ちください。,Please wait in line.
せき止めのドロップはありますか。,Is there a cough drop available?,,,,,,,こちらの列にお移りいただけますか。,Could you please move over to this line?
錠剤のおかげで痛みがなくなった。,The pills have made the pain go away.,,,,,,,列の最後尾にお並びください,Please line up at the end of the queue.
すごく歯が痛いんです。, I have terrible toothache.,,,,,,,お次にお待ちのお客様、こちらのレジへどうぞ。,"Next customer, please"
鎮痛剤の処方を書いて下さい。,Please write a prescription for painkillers.,,,,,,,このフロアの商品は、こちらでご精算くださいませ。,Please settle your bill for items on this floor.
鎮痛剤をください。,Please give me a painkiller.,,,,,,,合計はこちらになります。,Here is the total.
歯がおれました。,My tooth broke.,,,,,,,"税込みで1,080円になります。","The price will be 1,080 yen including tax."
歯冠がこわれました。,The crown of the tooth was broken off.,,,,,,,こちらは税抜きの表示です。,This listing does not include tax.
歯につめたのがとれました。,My tooth’s filling’s come out.,,,,,,,合計3点でよろしいですか。,"That’s a total of three items, ok?"
局所麻酔をかけてください。,I’d like a local anaesthetic.,,,,,,,以上でよろしいですか。,Is this everything?
局所麻酔をかけないでください。,Do not apply local anesthesia.,,,,,,,"5点で1,000円です。","That’s 1,000 yen for five items."
応急治療をしてください。,Provide first-aid treatment.,,,,,,,レジ袋は1枚5円ですが、ご利用になりますか。,Plastic bags cost 5 yen each. Would you like one?
この歯は抜かないでください。,Do not extract this tooth.,,,,,,,サービス料10％が含まれております。,A ten percent service charge is included.
入れ歯がこわれましたが、修理できますか。,My dentures are broken. Can you repair them?,,,,,,,お会計はご一緒ですか。別々ですか。,Would you like to pay together or separately?
どの歯が痛いんですか。,Which tooth hurts?,,,,,,,お会計は現金ですか。カードですか。,Would you like to pay by cash or credit card?
はれています。,You’ve got an abscess.,,,,,,,お支払い方法は現金のみとなっております。,We accept cash only.
歯茎の治療が必要です。,I’ll have to do a root canal.,,,,,,,円でお支払いになりますか。米ドルですか。,Would you like to pay in Japanese yen or U.S. dollars?
この歯をつめなければなりません。,I’ll have to fill this tooth.,,,,,,,米ドルはお使いいただけません。日本円とクレジットカードのみ使えます。,We don’t accept U.S. dollars. We only accept Japanese yen or credit cards.
この歯を抜かなければなりません。,I’ll have to pull this tooth.,,,,,,,日本円、ドル、カードの併用払いができます。,"You can use a combination of Japanese yen, U.S. dollars and credit cards to pay."
この歯をけずらなければなりません。,This tooth has to be scraped off.,,,,,,,お釣りは日本円になります。,The change is in Japanese yen.
穴を開けなければなりません。,I’ll have to drill.,,,,,,,電子マネーは扱っておりません。,We don’t accept electronic money.
口を大きく開けて下さい。,Open your mouth wide.,,,,,,,"10,000円お預かりします。","Ten thousand yen, thank you."
口を閉めて下さい。,Please close your mouth.,,,,,,,"4,550円のお返しになります。","Your change is 4,550 yen."
口をゆすいで下さい。,Rinse please.,,,,,,,お釣りです。,Here is your change.
まだ痛いですか。,Does it still hurt?,,,,,,,ちょうど頂きます。,That’s exactly right.
,,,,,,,,100円多いです。,That’s 100 yen too much.
,,,,,,,,あと100円足りません。,"Another 100 yen, please."
,,,,,,,,細かいお金はございますか。,Do you have anything smaller?
,,,,,,,,小銭をお取りしましょうか。,Would you like me to use your small change?
,,,,,,,,お釣りが小銭ばかりですみません。,"Sorry, I can only give you small change."
,,,,,,,,すみません、今お釣りが切れています。,"Sorry, we don’t have any change right now."
,,,,,,,,ご一括払いでよろしいですか。,Is a one-time payment ok?
,,,,,,,,分割払いになさいますか。,Would you like to pay in installments?
,,,,,,,,こちらにカードを通してください。,Please swipe your card here.
,,,,,,,,こちらにカードを入れてください。,Please enter your card here.
,,,,,,,,暗証番号を入力してください。,Please enter your PIN.
,,,,,,,,こちらにサインをお願いします。,Please sign here.
,,,,,,,,こちらのカードは、期限切れで使用できません。,We cannot accept this card because it’s expired.
,,,,,,,,こちらのカードは、限度額オーバーで使用できません。,We cannot accept this card because it has maxed out.
,,,,,,,,他のカードはお持ちですか。,Do you have another credit card?
,,,,,,,,ポイントカードはお持ちですか。,Do you have our point card?
,,,,,,,,ポイントカードをお作りしましょうか。,Would you like to make a point card?
,,,,,,,,この用紙に必要事項をご記入いただけますか。,Could you fill out this form?
,,,,,,,,有効期限はありません。,It doesn’t expire.
,,,,,,,,年会費は無料です。,There is no annual fee.
,,,,,,,,カードのご提示で5%引きになります。,You get a 5 percent discount by showing your card.
,,,,,,,,レシートはご入り用ですか。,Do you need a receipt?
,,,,,,,,領収書はご入り用ですか。,Do you need a receipt?
,,,,,,,,お宛名はいかがなさいますか。,Who should it be addressed to?
,,,,,,,,カードとレシートのお返しです。,Here are your card and receipt.
,,,,,,,,お客様控えです。,Here is your customer copy.
