Kanji,Reading,Script,Translation,S1,T1,S2,T2,S3,T3,S4,T4,S5,T5,S6,T6,S7,T7
起,お。きる・こる・こす　キ,7時に起きる,wake up at 7:00,戦争が起こる,war breaks out,起床する,getting up,全員起立,all rise,起工式,groundbreaking,,,,,,
寝,ね。る・かす　シン,ベッドに寝る,go to bed,昼寝をする,take a nap,子どもを寝かす,putting children to bed,寝室,bedroom,寝台車,sleeper,,,,,,
泣,な。く　キュウ,赤ん坊が泣く,baby crying,泣き声,crying,悔し泣き,baby cries in frustration,妹は泣き虫だ,my sister is a crybaby,母の死に号泣する,cry over my mother's death,,,,,,
笑,わら。う　え。む　ショウ,笑い話,funny story,笑い声,laughing,笑顔がかわいい,vute smile,顔に笑みが浮かぶ,has a smile on his face,微笑を浮かべる,smile on your face,,,,,,
追,お。う　ツイ,ころぼうを追う,follow the roller coaster,料理を追加する,add a dish,猫がねずみを追いかける,cat chasing a mouse,追放する,expel,追いつく,catch up,追い越す,overtake,,,,
越,こ。す・える　エツ,山を越える,overtake a mountain,年越しそば,new year's eve soba,前の車を追い越す,overtake the car in front,優越感を待つ,wait for superiority,引っ越してくる,move over,引っ越していく,move in,世俗を超越する,transcend the world,,
登,のぼ。る　トウ　ト,富士山に登る,climb Mt. Fuji,山登り,mountain climbing,映画の登場人物,movie characters,登山道,mountain trail,登校する,going to school,,,,,,
飛,と。ぶ・ばす　ヒ,空を飛ぶ,flying in the sky,紙飛行機を飛ばす,flying paper planes,大空を飛行する,flying in the sky,おりの中から飛び出す,jump out of a cage,水中に飛び込む,dive into the water,,,,,,
去,さ。る　キョ　コ,この町を去る,leave this town,危険が去る,the danger passes,去年,last year,過去の出来事,past events,逃げ去る,to take flight,,,,,,
逃,に。げる・がす　のが。す・れる　トウ,犯人を逃がす,let the culprit escape,難を逃れる,escape from danger,車で逃走する,escaping in a car,逃亡を図る,attempt to escape,見逃す,miss,,,,,,
回,まわ。る・す　カイ,目が回る,be dizzy,こまを回す,turn a corner,回り道,take a detour,回答する,answer,回数券,coupon,次回,next time,,,,
刺,さ。す・さる　シ,刀で刺す,stab with a sword,ナイフが刺さる,knife stab,刺身,sashimi,名刺,business card,刺激が強い,stimulating,,,,,,
突,つ。く　トツ,針で突く,poke with a needle,つえを突いて歩く,walk on tiptoe,車に衝突する,crashing into a car,突然の出来事,sudden event,封鎖を突破する,break through a blockade,,,,,,
取,と。る　シュ,グラスを取る,take a glass,書類を受け取る,receive documents,ビザを取得する,get a visa,取材する,doing an interview,有利な取引,a lucrative deal,,,,,,
伸,の。びる・ばす　シン,草が伸びる,let the grass grow,学力を伸ばす,extend your academic career,背伸びをする,grow taller,伸縮する,stretch and contract,伸び率,growth rate,欠伸,lack of growth,,,,
急,いそ。ぐ　キュウ,病気に急ぐ,hasten one's illness,急いで学校へ行く,hurry to school,急な用事,urgent business,急病,sudden illness,急行,"express, hurrying, rushing",特急,limited express,,,,
座,すわ。る　ザ,椅子に座る,sit on a chair,座布団に座る,sit on a cushion,座席,seat,正座する,sit upright,座談会,round-table discussion,,,,,,
転,ころ。がる・げる・がす・ぶ　テン,小石が坂を転がる,pebbles roll down the hill,岩を転がす,roll over a rock,雪道で滑って転ぶ,slip and fall on a snowy road,角度で画像を回転する,rotate image by angle,本社に転勤になった,transferred to the head office,適正に運転する,drive properly,海外からの転校生,transfer student from abroad,危険度に基づいて移転する,relocate based on the level of risk
倒,たお。れる・す　トウ,木が倒れる,a tree falls,敵を倒す,defeat the enemy,転倒する,fall down,会社が倒産する,company goes bankrupt,倒立する,handstand,,,,,,
舞,ま。う　まい　ブ,舞台に出る,appear on stage,病院に見舞いに行く,visit someone in the hospital,振る舞う,to conduct oneself,仕舞う,go to the end of a performance,歌舞伎,kabuki,,,,,,
踊,おど。る・り　ヨウ,道路で踊ります,dancing on the road,盆踊り,bon festival dance,踊りをする場所,a place for dancing,日本舞踊,traditional Japanese dance,踊り子,dancer,,,,,,
感,かん,痛みを感じる,feel the pain,感心な子供,admired child,映画に感動する,moved by the movie,感謝する,appreciate,感情を表現する,express emotions,,,,,,
情,なさ。け　ジョウ,人の情けを知る,knowing the compassion of others,感情を表す,express emotions,情報を集まる,gather information,同情する,sympathize,真剣な表情,expressing seriousness,,,,,,
快,こころよ。い　カイ,そよ風が快い,breezy and pleasant,愉快な友達,delightful friends,快晴,clear skies,快適な温度,comfortable temperature,エンジンは快調だ,engine runs great,,,,,,
苦,くる。しい・しむ・しめる　にが。い・る　ク,生活が苦しい,life is hard,苦い薬,bitter medicine,苦手,"weak, pain in the ass",苦労する,hardship,苦情受け付け係,grievance representative,苦心,pain,,,,
痛,いた。い・む・める　ツウ,歯が痛む,toothache,胸を痛める,chest pain,頭痛,headache,苦痛を感じる,feel the pain,痛感する,feeling keenly,,,,,,
困,こま。る　コン,体が弱くて困る,feel weak and in need of help,お金に困る,have trouble with money,困難をのり越える,overcome difficulties,貧困家庭,poor family,困惑,perplexed,,,,,,
喜,よろこ。ぶ　キ,試合に勝って喜ぶ,rejoice in winning a game,喜びを感じる,feel the joy,喜劇,comedy,喜ばしい出来事,rejoice at a joyful event,歓喜して,rejoice,,,,,,
悲,かな。しい・しむ　ヒ,悲しい知らせ,sad news,父の死を悲しむ,saddened by the death of his father,悲劇,tragedy,悲鳴をあげる,screaming,悲惨な結末,tragic ending,,,,,,
悩,なや。む・ます　ノウ,病気に悩む,distressed by illness,悩みがある,have a problem,問題の解決に苦悩する,struggling to solve a problem,悩ましい女性,woman in distress,煩悩が生じる,disturbing emotions arise,,,,,,
辛,から。い　つら。い　シン,辛いカレー,spicy curry,香辛料を入れる,add spices,辛口,spicy,辛抱する,be patient,辛い修行,painful practice,激辛,extremely spicy,,,,
甘,あま。い・える・やかす　カン,甘いお菓子,sweet snacks,親に甘える,be spoiled by parents,子供を甘やかす,spoil a child,甘口,sweet taste,甘味料,sweeteners,,,,,,
触,ふ。れる　さわ。る　ショク,作品に触らないでください,do not touch the work,髪がほおに触れる,her hair touches her cheek,感触がいい,pleasant to the touch,接触する,touch,抵触する,"infringement, conflict",触発する,contact detonation,触媒,catalyst,,
柔,やわ。らか・らかい　ジュウ　ニュウ,柔らかな布団,soft bedding,体が柔らかい,soft body,柔道,softness,柔和な性格の人,softness of character,柔軟な考え方,flexible thinking,,,,,,
硬,かた。い　コウ,硬い石,hard stone,硬い土,hard soil,顔の表情が硬い,stiff facial expression,百円硬貨,hundred yen coin,強硬な意見,strong opinions,硬直した価値観,rigid values,,,,
荒,あら。い　あ。れる・らす　コウ,息が荒い,breathing hard,海が荒れる,rough seas,荒れ地,wasteland,荒天,stormy weather,戦争で荒廃した国土,war-torn lands,,,,,,
鈍,にぶ。い・る　ドン,体の動きが鈍い,sluggish body,頭の働きが鈍る,sluggishness of the mind,鈍感な人,insensitive person,鈍器 ,blunt weapon,鈍行,local train,鈍化する,"becoming dull, slowing down",,,,
美,うつく。しい　ビ,美しい景色,beautiful scenery,美しい話,beautiful story,美人,beautiful woman,美男美女,beautiful man and woman,美容院,beauty salon,美術品,work of art,,,,
汚,けが。す・れる・らわしい　よご。す・れる　きたな。い　オ,汚れた服,dirty clothes,シャツを汚す,stained shirt,汚い手,dirty hands,心が汚れる,dirty mind,汚水,dirty water,汚染される,be contaminated,,,,
希,キ,入学を希望する,wish to enroll,平和を希求する,desire for peace,希少価値がある,rare and valuable,希薄溶液,dilute solution,熱意が希薄だ,enthusiasm is scarce,希望者,applicant,,,,
望,のぞ。む　ボウ　モウ,大きな望みを持つ,have high hopes,失望する,disappointed,切望する,longing,望遠鏡,telescope,大望をいだく,have ambitions,,,,,,
夢,ゆめ　ム,スターを夢見る,dreaming of a star,初夢,first dream,夢物語,"dreaming stories, fantastic story",ゲームに夢中になる,get hooked on the game,悪夢,nightmare,,,,,,
恋,こ。う　こい　こい。しい　レン,恋する,fall in love,恋人,"lover, sweetheart",母が恋しい,i miss my mother,家を恋しがる,miss home,失恋する,"broken heart, unrequited love",初恋,first love,恋文,love letter,,
愛,アイ,子供を愛する,love your child,母の愛,mother's love,愛情,"love, affection",恋愛する,love,恋愛小説,love story,愛読書,favourite book,愛用する,favourite to use,愛用のカメラ,favourite camera
憎,にく。む・い・らしい・しみ　ゾウ,世の中の不正を憎む,hate the injustice in the world,憎しみを持つ,have a hatred of,憎らしい雨,hateful rain,犯人を憎悪する,hate the culprit,生憎,unfortunately,,,,,,
想,ソウ　ソ,感想を述べる,express one's opinion,好天気が予想されている,good weather is expected,新旧思想の衝突,clash of old and new ideas,空想する,fantasize,愛想がいい,be affectionate,理想的な設定,ideal settings,通俗的な連想,popular associations,想像に比べると,compared to one's imagination
象,ゾウ,仏像,buddha image,石像,stone image,映像,image,座像,seated figure,写真を現像する,develop photo,想像する,imagine,画像,image,実像,real image
欲,ほっ。する　ほ。しい　ヨク,子供はおもちゃを欲しがる,child wants a toy,欲望,desire,食欲がある,a person has an appetite,病人は水を欲している,sick people want water,欲張り,geed,意欲 ,willingness ,,,,
求,もと。める　キュウ,平和を求める,wants peace,新しい社員を求人した,recruited new employees,雇用の機会を求職している,seeking employment opportunities,改革を要求している,demanding reform,真理を追求した,pursued the truth,知識を欲求している,desire for knowledge,過去を探求しなかった,did not explore the past,損害賠償を請求した,claimed damages
祈,いの。る　キ,無事を祈る,pray for safety,お祈りをする,pray,合格を祈願する,pray for success,復興を心より祈念する,sincerely pray for recovery,祈りと悔い改め,prayer and repentance,個人的に祈祷する,pray privately,,,,
願,ねが。う　ガン,子の幸せを願う,pray for the happiness of my child,願いがかなう,pray that your wish will come true,強い願望を持つ,have a strong wish,入学願書,application for admission,お願いします ,ask for your kindness ,請願する,petition,志願する,apply for admission,出願する,apply
信,シン,神を信じる,trust in God,人を信用する,trust in people,自信を持つ,have confidence,信頼する,trust,信号,signal,迷信する,superstitious,通信する,communicate,確信する,convince
疑,うたが。う　ギ,人を疑う,suspect someone,疑わしい話,suspicious talk,疑問を持つ,have doubts,事件の容疑者,suspect in a case,疑問符,questionable story,,,,,,
香,かお。り　か　かお。る　コウ,ばらの花が香る,smells of roses,お茶の香りがする,smells like tea,赤いバラの香水,red rose perfume,お線香の香り,scent of incense,香辛料が入っています,contains spices,香ばしい匂いがします,fragrant smell,,,,
優,やさ。しい　すぐ。れる　ユウ,優しい性質,gentle nature,優れた作品,superior work,優越感,superiority,優秀な学生,excellent student,優勝する,winner,優先席,preferred seat,俳優,actor,優美な舞踊,graceful dancer
良,よ。い　リョウ,頭が良い,smart,気分が良くない,not feeling good,良書,good book,良心が咎める,my conscience is bothering me,結果は良好,result is good,仲良し,good friends,良識,good sense,良し悪し,good or bad
悪,わる。い　アク　オ,天気が悪い,weather is bad,悪口を言う,speak ill of,悪人,bad person,悪寒がする,have a chill,憎悪を感じる,feel hatred,悪魔,demon,悪い,bad,悪戯,naughty
幸,さいわ。い　さち　しあわ。せ　ユウ,幸いにけがはなかった,fortunately there was no injury,海の幸,seafood,幸せな家庭,happy home,幸運,good luck,不幸,unhappy,幸福 ,happiness ,幸い,happiness,,
福,フク,幸福な人生,happy Life,結婚を祝福する,blessing on the marriage,社員のための福利厚生説,employee benefits theory,福祉 ,welfare ,裕福,wealth,社会福祉,social welfare,至福 ,bliss ,,
和,やわ。らぐ・らげる　なご。む・やか　ワ　オ,風が和らぐ,peaceful winds,和やかな雰囲気,harmonious atmosphere,心が和む,peace of mind,平和,"peace, harmony",和服,japanese clothes,調和する,"harmony, accord",声を和らげる,soften one's voice,温和な気候,mild climate
別,わか。れる　ベツ,父と別れる,separate from father,別れ,"farewell, parting",特別,special,区別,distinction,送別会,farewell party,別々,separate,差別,"distinction, differentiation",別荘,"villa, vacation home"
決,き。める　き。まる　ケツ,予定が決まる,make plans,決心する,make up your mind,決勝戦,final,決定する,decide,決して負けない,never lose,解決する,resolve,判決する,"judicial decision, judgement",決断する,"decision, determination"
私,わたくし　シ,私事,private affairs,私立大学,private universities,私鉄,private railway,私用,private use,私物,"private property, personal belongings",私有財産,private property,講師の別,by Instructor,,
個,コ,一個,one piece,数個,several pieces,個人の自由,individual freedom,個々の問題,individual matter,個性がある,individuality,,,,,,
他,ほか　タ,他人,another person,他方,"the other party, other direction",他界する,"the next world, pass away",他さんの石,other's stone,彼の死は他殺だ,his death was a homicide,他の本,other book,,,,
各,おのおの　カク,各々が責任を持つ,each of us is responsible,各自,each one of us,各種,each other,世界各国,countries all over the world,各地の天気予報,local weather forecast,,,,,,
君,きみ　クン,君のペンを貸してくれ,lend me your pen,田中君,mr. tanaka,諸君,ladies and gentlemen,君主国,monarchy,名君,wise ruler,,,,,,
彼,かれ　かの　ヒ,彼の本,his books,彼ら,they,彼女,"she, girlfriend",お彼岸にお墓参りに行く,going to visit the grave on the far shore,,,,,,,,
殿,との　どの　テン　デン,殿様,nobleman,鈴木一郎殿,mr. ichiro suzuki,宮殿,palace,神殿,temple,皇太子殿下,the crown prince,御殿のような家,a house like a palace,,,,
婦,フ,婦人,woman,夫婦,husband and wife,主婦,housewife,家政婦を雇う,hire a housekeeper,看護婦,female nurse​,老夫婦,elderly couple,妊婦,pregnant woman,婦人科病院,a gynecological clinic
性,セイ　ショウ,女性,"woman, female",男性,"man, male",性別,gender,理性,reasoning power,性格,"character, personality",性能がいい,good performance or ability,性質,"nature, property, disposition",知性,intelligence
格,カク　コウ　キャク　ゴウ,性格,"character, personality",人格,"personality, character, individuality",資格,"qualifications, requirements",価格,"price, value, cost",合格,passing an exam,格別,"particular, special",体格,"physique, constitution",失格,"disqualification, elimination, incapacity"
関,せき　カン,日本に関する本,books about Japan,関東,kantou region,玄関,entrance,関係,relation,税関,customs,関税,tariff,関心を持つ,have an interest or concern,関連,"relation, connection, relevance"
係,かか。る　かかり　ケイ,生死に係る問題,a matter of life and death,会計係,treasurer,係員,person in charge,親子の関係,parent-child relationship,連係プレー,"teamwork, team play",係官,official in charge,係長,"subsection head, assistant manager",係争,"dispute, contention"
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
身,み　シン,身の回り,around you,身近な,familiar,身代わり,substitute,中身,inside,身体,body,身長,height,自分自身,myself,,
頭,あたま　かしら　トウ　ズ,頭がいい,head,頭文字,initials,先頭,head,一頭,one head,頭痛,headache,頭上注意,overhead attention,,,,
額,ひたい　ガク,額の汗,sweat on forehead,絵を額に入れる,framing a picture,金額,amount of money,差額,balance,残額,remaining amount,多額,a larger amount,総額,total amount,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
始,はじ。める・まる　シ,練習を始める,start practicing,新学期が始まる,a new semester begins,試合を開始する,games begin,年末年始,new year's eve and new year's day,原始,beginning of the year,始終,beginning and ending,始発,beginning of the year,終始,end of the year
終,お。わる・える　シュウ,夏休みが終わる,end of summer vacation,一生を終える,end of a lifetime,会議が終了する,end of meeting,終電,last train,終点,last stop,最終,last,終日,end of day,終結する,ends
続,つづ。く・ける　ゾク,雨が降り続く,rain continues to fall,散歩を毎日続ける,continue to take a walk every day,遺産を相続する,inherit a legacy,続々と集まる,gathering one after another,調査を継続する,continue the research,接続する,connect,連続する,consecutively,手続き,procedure
絶,た。える・やす・つ　ゼツ,笑顔を絶やさない,keep smiling,消息を絶つ,cease to exist,絶対に間違いない,absolutely certain,絶滅寸前の動物,animals on the verge of extinction,絶滅する,extinct,絶えず,constantly,絶望する,despair,拒絶する,reject
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
刊,かん,朝刊,morning edition,本が刊行させる,a book is published,夕刊,evening paper,日刊紙,daily newspaper,週刊誌,weekly magazine,創刊号,first issue,,,,
著,あらわ。す　いちじる。しい　チョ,本を著す,book is written,著しい進歩,significant Progress,著書,book,著者,authors,古典文学の名著,famous works of classic literature,著名な作品,famous works,著作権を有する,copyrighted,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
勉,べん,日本語の勉強をする,study japanese language,勉学に励む,study hard,勤勉な青年,diligent young man,猛勉強をする,studying hard,勉強不足,not studying hard enough,,,,,,
努,つと。める　ド,早寝早起きに努める,strive to go to bed early and get up early,努力を重ねる,make repeated efforts,努力家,hard worker,支配の強化に努めている,working to strengthen our control,真面目で努力家,earnest and hardworking,,,,,,
教,おし。える　おそ。わる　キョウ,英語を教える,teach english,先生に教わる,be taught by one's teacher,実務基礎教育の在り方,the state of basic business education,大学の教授,university Professor,女性教員の割合,percentage of female faculty,声楽教師として身を立てている,establishing himself as a voice teacher,教訓を振り返りましょう,let's look back at the lessons learned,電子教材作成,e-learning materials creation
師,シ,医師を訪れるとき,when visiting a doctor,建築技師,building engineer,中学校の恩師,junior high school teacher,和作法講師,instructor of japanese manners,熱心な漁師,enthusiastic fisherman,看護師として働いた,worked as a nurse,薬剤師にお尋ねください,please ask your pharmacist,理容師の職を見つけ,found a job as a barber
導,みちび。く　ドウ,成功に導く,lead to success,新しい方法を導入する,introduce new methods,生徒指導,student guidance,安全な場所に誘導する,guide them to a safe place.,正しい方向に導く,guide you in the right direction.,強い主導権を獲得できる,strong initiative can be obtained,技術を先導する実験施設,test facilities that lead the way in technology,デザイン視点から導き出す,deriving from a design perspective
訓,クン,技術と訓練,technology and training,教訓を学ぶ,learn the lesson,気象訓示を受ける,receive weather instructions,各種検定試験の特訓,special training for various examinations,訓練生として勤務した,served as a trainee,訓告処分を与える,issue a reprimand,これは正に訓戒である,it is indeed a reminder,,
