Phrases,Translation
日光鬼怒川スパホテル三日月さんに宿泊いたします,we will stay at Nikko Kinugawa Spa Hotel Mikazuki
では早速館内を散策してみましょう,let's take a walk around the building at once
ではテラスに出てみます,i’ll go out on the terrace
こちらは水盤テラスです,this is the water table terrace
では早速座布団をしいて,"now, let's put the cushions on"
足湯を利用したいと思います,i’d like to use the footbath
早速足湯に浸かってみます,i'm going to take a soak in the footbath right away.
疲れが癒されました,my fatigue was relieved
エレベーターを使って７階まで上がります,take the elevator up to the seventh floor
お部屋に到着しました,we've arrived at our room
では早速開けてみたいと思います,"now, I'd like to open it right away"
窓からの眺めはこんな感じです,here's the view from the window
鬼怒川駅方面が見える感じですね,you can see the direction of Kinugawa Station
はいもうちょっと探検していきます,"yes, I'll explore some more"
お布団が入っております,it contains some futons
朝ごはんが到着しました,breakfast has arrived
しばらくゆったりまったり過ごします,i relaxed and took it easy for a while
釜飯が出来上がりました,kettle rice (Kama-meshi) is ready!
盛り付けました,i served it up (dished up).
ほっこりしちゃう,i’m gonna get all warm and fuzzy
夜のプールは昼間とは違った雰囲気でとても素敵でした,the pool at night was very nice and different from the daytime
ライトアップされているの,it's all lit up
では早速入ってみましょう,so let's get in there
早速オープンしていきたいと思います,I would like to open it immediately
ここで撮影してなかったのですみませんご了承下さいません,"i’m sorry I didn't take pictures here, please understand"
このね端っこのところまで行ってみました,i went to the end of the line
そしてお部屋に戻る前に大浴場を視察しに行きたいと思います,"and before I go back to my room, I'd like to go and inspect the large bathroom"
おつまみ的なものを買ってきました,i bought some snack food.
こういうの見ちゃうよね、買っちゃうんですよね,you see these things. you buy these things
感想は？ いい体をしてました,what did you think? he had a good body
好みについて好き嫌いがはっきりしてます,i have very clear preferences about what I like and don't like.
性格はとても重要だと思ってます,i believe that character is very important
私にいい影響を与えてくれる人が好きです,i like people who have a positive influence on me
自分が持っている魅力だけで,just the charm that you have
島を探検してください,explore the island
遠い所に設置したみたいですね,looks like they set it up far away from here
今日のおすすめ商品でした,this was today's recommended product
修学旅行はみなさんご存知ですか？,have you ever heard of school trips?
日光で何したかは全然覚えてないです,i don't remember what I did in Nikko at all
是非教えていただければと思います,i’d love to know what you think
歴史の勉強してみたいな旅行でした,it was a trip that made me want to study history.
行く場所はいろいろなんですけど,there are many places I go
多分ほとんどの修学旅行は旅館だと思います,probably most school trips are to inns.
結果的に沖縄になったっていう感じですね,"as a result, we ended up in Okinawa"
最近ハマってることについてちょっと話したいなと思うんですけど,i'd like to talk a little bit about what I've been into lately
海を調査しなきゃいけないのね,we'll have to survey the ocean
やっぱり海って怖いじゃないですか,"after all, the ocean is scary, isn't it?"
私は結構その深海魚っていうのがすごい好きなんですよ,i really like this deep-sea fish
めっちゃビビってますね,you're really freaked out
海って危ないよね,the ocean is dangerous
怖い生き物とかがこっち来るのよ,scary creatures and stuff come this way
ライトつける,turn on the light
海のね、好きな方は是非やってみてくださいね,you should try it if you like the ocean!
写真見たら、めっちゃくちゃイケメンなんですよ,i saw a picture of him and he's so handsome!
止まらずに進みたいと思います,i’d like to keep going without stopping
ヒルが結構いるみたいなので,it seems like there are quite a few leeches
ピッタリですよね？,"it's perfect, isn't it?"
そして、私はしばしば冬の間にそれを作ります,and I often make it during the winter months
簡単でヘルシーで美味しい鍋,"easy, healthy and delicious hot pot"
改めて言われると恥ずかしい,i'm embarrassed to say it again
そっちゃおうかな,maybe I think I should take it off
素直に思えたので,it seemed honest to me
案内係できる,i can lead the way
沈んじゃうよ,it’s going to sink
からめていきましょう,let's mix it up
任務を果たす,carry out one's duty
役割を果たす　,fulfill a role　
責任を果たす,fulfill one's responsibilities
約束を果たす,fulfill a promise
雪辱を果たす,carry out one's revenge
復讐を果たす,take revenge
願望を果たす,accomplish one's desire
使命を果たす,carry out one's mission
目的を果たす　,fulfill one's purpose
安定を保つ,maintain stability
調和を保つ,maintain harmony
秩序を保つ,maintain order
威厳を保つ,maintain one's dignity
平静を保つ　,maintain composure
理性を保つ,maintain control of one's reason
命を保つ,preserve life
潤いを保つ,retain moisture
温度を一定に保つ,maintains a constant temperature
間隔を保つ,keep space
距離を保つ,maintain a distance
記録を保つ,keep a record
体面を保つ,maintain appearances
健康を保つ,maintain health
