Words,Reading,Meaning,S1,T1
きつい,きつい,"tough, hard",当時は労働運動の取り締りがきつかった。,The labor movement was tightly policed at the time.
怪しい,あやしい,"suspicious, dubious, questionable, fishy",二階で怪しい物音がした。,There was a suspicious noise upstairs.
煩い,うるさい,"noisy, loud",うるさそうに子供を追い払った。,He noisily shooed the child away.
不味い,まずい,bad (taste),今行動に出てはまずい。,It is not a good idea to take action now.
温かい,あたたかい,warm,温かいシャワーでプロシージャが終了します。,The procedure ends with a warm shower.
汚い,きたない,dirty,その子は汚い食べ方をするのでよく叱られる。,The child is often scolded for his dirty eating habits.
素早い,すばやい,"quick, swift",このアプライアンスは素早いシステム導入を可能にし。,This appliance allows for quick system deployment.
望ましい,のぞましい,desirable,週に二度のレッスンを受けることが望ましい。,It is advisable to take lessons twice a week.
危ない,あぶない,dangerous,この川で泳ぐのは危ないよ。,It's not safe to swim in this river.
悔しい,くやしい,"annoying, frustrating, disappointing",それを実行する勇気がないのがわれながら悔しい。,It is frustrating to me that I don't have the courage to do so.
柔らかい,やわらかい,"soft, tender",家具は柔らかい色が好きだ。,I like soft colors for furniture.
等しい,ひとしい,"equal, identical",この２本の線は長さが等しい。,These two lines are equal in length.
大人しい,おとなしい,obedient,この猫は随分おとなしいね。,This cat is really well-behaved.
暖かい,あたたかい,"warm, mild",今年の冬は例年に比べて暖かい。,This winter is warmer than usual.
堅い,かたい,"hard, solid",彼女は堅いいすに座った。,She sat in a hard chair.
めでたい,めでたい,"auspicious, happy",めでたい結末でなによりだ。,It's a happy ending.
軟らかい,やわらかい,"soft, tender",軟らかい組織に適しています。,Suitable for soft tissue.
浅い,あさい,shallow,浅いところを渡ろう。,Let's cross the shallow end.
凄まじい,すさまじい,"terrible, awful, tremendous, terrific",それはすさまじい事故だった。,It was a tremendous accident.
黄色い,きいろい,yellow,黄色い声を上げて応援する。,Raise your yellow voice and cheer.
情けない,なさけない,"pathetic, miserable, shameful, pitiful",家は情けないほど荒れ果てている。,The house is in a pitiful state of disrepair.
手堅い,てがたい,"steady, solid",実業家として手堅く地歩を築いた。,"As a businessman, he built a solid foundation."
疑わしい,うたがわしい,"doubtful, questionable, uncertain",この方法が役立つかどうかは疑わしい。,It is doubtful that this approach will help.
幅広い,はばひろい,"extensive, wide, broad",彼は幅広い経験を積んでいる人だ。,He is someone with a wide range of experience.
輝かしい,かがやかしい,"brilliant, glorious, glittering, bright, splendid",彼女には輝かしい将来がある。,She has a bright future ahead of her.
生々しい,なまなましい,"lively, green, fresh, raw, vivid, graphic",その交通事故は彼の記憶に生々しい。,That car accident is fresh in his memory.
危うい,あやうい,"dangerous, risky, hazardous, perilous",橋の安全性が危うい状況になった。,The safety of the bridge was in jeopardy.
乏しい,とぼしい,"scarce, limited, destitute, lacking",この国は天然資源に乏しい。,The country lacks natural resources.
しつこい,しつこい,"insistent, tenacious, persistent, too rich, fatty, heavy",ここにしつこい痛みがあります。,There is a persistent pain here.
羨ましい,うらやましい,"envious, jealous",私はあなたの美しいのがうらやましい。,I envy your beauty.
空しい,むなしい,"empty, void, vacant, fruitless, futile, ineffective",それは空しい希望でした。,It was an empty hope.
でかい,でかい,"huge, big, gargantuan",あのでかい建物は何ですか,What is that big building?
涼しい,すずしい,"cool, refreshing, clear",それは涼しい所に保存しなさい。,Keep it in a cool place.
力強い,ちからづよい,"powerful, strong, vigorous, reassuring",力強い歌詞の美しいバラードよ。,It's a beautiful ballad with powerful lyrics.
淡い,あわい,"light, faint, pale, fleeting",全体を淡い色彩で描かれている。,The entire work is painted in light colors.
幅広い,はばひろい,"extensive, wide, broad",彼は幅広い経験を積んでいる人だ。,He is someone with a wide range of experience.
荒い,あらい,"rough, rude, wild",彼は荒い息遣いをしている。,He is breathing rough.
賢い,かしこい,"wise, clever, smart",彼女はなかなか賢い少女です。,She is quite a clever girl.
易しい,やさしい,"easy, plain, simple",それは何と易しい問題なのでしょう。,What an easy problem that is.
詰らない,つまらない,"dull, uninteresting, boring, insignificant",仕事は退屈でつまらないです。,Work is tedious and boring.
涼しい,すずしい,"cool, refreshing",もっと涼しい日に行くべきだったね。,Should have gone on a cooler day.
苦い,にがい,bitter,恋の味は苦いと言われている。,It is said that love tastes bitter.
眠い,ねむい,"sleepy, drowsy",なんでこんなに眠いんだろう。,Why am I so sleepy?
堪らない,たまらない,"intolerable, unbearable, irresistible",娘たちはおかしくてたまらなかった。,It was so funny that the girls couldn't help giggling.
臭い,くさい,"stinking, smelly",何かこの辺り臭いんだけど。,Something stinks around here.
とんでも無い,とんでもない,"unthinkable, unexpected, absurd, absolutely not, far from",彼は天才なんてとんでもない。,He is far from a genius.
粗い,あらい,"coarse, rough",きめの粗い材質がその子の柔らかい肌を傷つけた。,The coarse material damaged the child's soft skin.
違いない,ちがいない,"sure, no mistaking it, for certain",彼の話は本当に違いない。,His story must be true.
上手い,うまい,skillful,彼女はテニスがとてもうまい。,She is a very good tennis player.
薄暗い,うすぐらい,"dim, gloomy",薄暗い明かりで本を読んではいけない。,Do not read a book in dim light.
酸っぱい,すっぱい,"sour, acid",あのブドウは酸っぱいよ。,Those grapes are sour.
騒がしい,さわがしい,"noisy, boisterous, turbulent",こんな騒がしい部屋では話が続けられない。,I can't continue talking in such a noisy room.
喧しい,やかましい,"noisy, loud, much talked, strict, faultfinding, fussy",食事中はやかましい音を立ててはいけません。,Do not make noisy noises while eating.
醜い,みにくい,"ugly, unattractive",彼女は醜いドレスを着ていました。,She wore an ugly dress.
思いがけない,おもいがけない,"unexpected, by chance, casual",注意深かったのに彼は思いがけない間違いをした。,"For all his caution, he made an unexpected mistake."
鈍い,にぶい,"dull, blunt, thickheaded",鈍い瞬間は決してないでしょう。,There will never be a dull moment.
厚かましい,あつかましい,"impudent, shameless, brazen",私たちはこれからの厚かましい要求に屈してはならない。,We must not give in to the thickening demands of the future.
恋しい,こいしい,"yearned for, longed for, missed",君がすごく恋しいんだ。,I miss you so much.
済まない,すまない,"inexcusable, unjustifiable, sorry",あんなことをして本当にすまない。,I'm so sorry for what I did.
図々しい,ずうずうしい,"impudent, shameless",あいつは図々しい奴だ。,That guy is a brazen bastard.
蒸し暑い,むしあつい,"humid, sultry",春にしては少し蒸し暑い日だった。,The day was a little hot and humid for spring.
険しい,けわしい,"precipitous, rugged, inaccessible, steep, severe",私たちは険しい坂を登った。,We climbed a steep hill.
下らない,くだらない,"stupid, trivial, worthless",これまでで一番下らない質問だ。,This is the most lame question ever.
痒い,かゆい,"itchy, itching",体中がかゆいんです。,I itch all over my body.
勿体ない,もったいない,"wasteful, unworthy of, impious, too good",この土地を遊ばせておくのはもったいない。,It would be a waste to let this land sit idle.
塩辛い,しおからい,salty,この水は少し塩辛い。,This water is a little salty.
眩しい,まぶしい,"dazzling, radiant",まぶしい光に目がくらんだ。,I was blinded by the dazzling light.
面倒くさい,めんどくさい,"bothersome, tiresome",そこまで歩いて行くのはめんどうくさい。,It is a hassle to walk there.
諄い,くどい,"repetitious, long-winded, heavy",彼の話はいつもくどい。,He always talks tediously.
清い,きよい,"clear, pure, noble",彼らの愛情は清いものだ。,Their love is pure.
勇ましい,いさましい,"brave, valiant, gallant, vigorous",やってる事はとても勇ましい。,What you are doing is very brave.
憎らしい,にくらしい,"odious, hateful, detestable",彼女の才能は憎らしいほどだ。,Her talent is loathsome.
頼もしい,たのもしい,"reliable, trustworthy, hopeful",彼は頼もしい男だ。,He's a dependable guy.
心地良い,ここちよい,"comfortable, pleasant",そのマッサージは心地良かった。,That massage was pleasant.
好ましい,このましい,"nice, likeable, desirable",彼は好ましい相棒ではない。,He is not a desirable partner.
快い,こころよい,"pleasant, agreeable, comfortable, refreshing",その提案に快いお返事を期待しております。,We look forward to a pleasant reply to that proposal.
逞しい,たくましい,"strong, sturdy, resolute, bold, robust",彼はたくましい若者に成長していた。,He had grown into a robust young man.
やばい,やばい,"awful, terrible, terrific, amazing, crazy, dangerous",ぼくはやばい橋は渡りたくない。,I don't want to cross a dangerous bridge.
惜しい,おしい,"regrettable, disappointing, precious, valuable",これはまだ捨てるには惜しい。,This is still too good to throw away.
限り無い,かぎりない,"eternal, unlimited, endless",限り無い感性と意気込みが感じられて。,I felt boundless sensitivity and enthusiasm.
細長い,ほそながい,long and narrow,これははるか遠くに行く細長い建物です。,"This is a long, narrow building that goes much farther."
慌ただしい,あわただしい,"busy, hectic, hurried, rapid, quick",私たちは慌しい食事を済ませすぐに出発した。,We ate a hasty meal and left immediately.
緩い,ゆるい,"loose, lenient, lax, gentle",この靴は少し緩い。,These shoes are a little loose.
可愛らしい,かわいらしい,"lovely, sweet",可愛らしい名前だこと。,What a pretty name.
尊い,とうとい,"precious, valuable, priceless",愛ほど尊いものはない。,There is nothing more precious than love.
切ない,せつない,"painful, heartrending, oppressive",切ない曲をよく聴きます。,I often listen to sad songs.
青白い,あおじろい,pale,青白い顔をしている。,He looks pale.
夥しい,おびただしい,"large number, innumerable",事故現場にはおびただしい血が流れていた。,There was a lot of blood at the accident site.
分厚い,ぶあつい,"bulky, massive, thick, heavy",彼は分厚い眼鏡をかけています。,He wears thick glasses.
しんどい,しんどい,"tiresome, draining",この資料を全部読むのはしんどい。,It is hard to read all of this material.
甚だしい,はなはだしい,"extreme, excessive, terrible, intense",頭脳流出は国にとって甚だしい損失である。,The brain drain is a tremendous loss for the country.
息苦しい,いきぐるしい,"choking, suffocating, stifling",部屋は暑く息苦しかった。,The room was hot and suffocating.
狡い,ずるい,"sly, cunning, sneaky, crafty",あいつはずるい事をする。,That guy does sneaky stuff.
心細い,こころぼそい,"helpless, forlorn, hopeless",君がいないと心細い。,I feel faint without you.
奥深い,おくふかい,"profound, deep",奥深いコラボレーションでした。,It was a profound collaboration.
ややこしい,ややこしい,"puzzling, tangled, complicated, complex",やっとややこしい迷路の外に出られた。,I finally got out of the complicated maze.
頼り無い,たよりない,"unreliable, undependable, vague",彼女はぼんやりして頼りない者だ。,She is a dim and unreliable one.
儚い,はかない,"fleeting, transient, short-lived, momentary",人の人生は、はかないものだ。,People's lives are fleeting.
素っ気ない,そっけない,"cold, short, curt, blunt",彼は彼女のそっけない態度にいらいらした。,He was annoyed by her lack of attention.
根強い,ねづよい,"firmly rooted, deep-seated",その模様の布地には今でも根強い需要がある。,There is still a strong demand for fabrics with that pattern.
うざい,うざい,"annoying, noisy​",ほんとウザいな。,That's really annoying.
脆い,もろい,"brittle, fragile, weak, frail, tender-hearted",精密機械はある意味でもろい。,Precision machines are fragile in a sense.
嫌らしい,いやらしい,"unpleasant, disagreeable, nasty",なんていやらしい男でしょう。,What a disgusting man.
気まずい,きまずい,"unpleasant, awkward, uneasy",彼が現れると気まずい沈黙が広がった。,"When he appeared, an awkward silence prevailed."
程遠い,ほどとおい,"far away, far off​",君の答えは完璧には程遠い。,Your answer is far from perfect.
容易い,たやすい,"easy, simple, light",いつも正直でいることはたやすくない。,It is not always easy to be honest.
四角い,しかくい,"square, rectangular",エンティティは四角いボックスで表します。,Entities are represented by square boxes.
渋い,しぶい,"astringent, bitter, harsh",その柿はみな渋い。,All its persimmons are astringent
愛しい,いとしい,"lovely, dear, beloved",彼女は私にとっていとしい人だ。,She is a dear person to me.
腹立たしい,はらだたしい,"irritating, aggravating, upsetting",政治家の汚職ほど腹立たしいものはない。,There is nothing more infuriating than corruption among politicians.
弱々しい,よわよわしい,"frail, slender, feminine",彼女は弱々しい声で話した。,She spoke in a weak voice.
鬱陶しい,うっとうしい,"gloomy, depressing, irritating, troublesome, heavy",いつもうっとうしい感じがするのです。,It always seems annoying.
潔い,いさぎよい,"gracious, graceful, upright, pure, unspoiled",桜花は散り方が潔い。,Cherry blossoms are graceful in the way they fall.
目覚ましい,めざましい,"remarkable, striking, brilliant",日本は戦後目覚ましい産業の進歩をとげた。,Japan has made remarkable industrial progress since the end of World War II.
荒々しい,あらあらしい,"rough, wild, rude, harsh",彼女の振る舞いは荒々しい。,Her behavior is rough.
誇らしい,ほこらしい,"proud, haughty, arrogant",息子の成功を知って彼は誇らしい気持ちでいっぱいだった。,He was filled with pride when he learned of his son's success.
みっともない,みっともない,"shameful, disgraceful, unsightly",そんなことをしてみっともないと思いませんか。,Don't you think it is disgraceful to do so?
甲高い,かんだかい,high-pitched,甲高い声で話す。,Speaks in a high-pitched voice.
煩わしい,わずらわしい,"troublesome, annoying, complicated",煩わしい手続きが必要だ。,It's a complicated process.
卑しい,いやしい,"lowly, shabby, vulgar, crude",立ち居振る舞いが卑しい。,The behavior is despicable.
だらし無い,だらしない,"sloppy, untidy, undisciplined, careless, feeble",彼はだらしない生活をしてきた。,He has lived a sloppy life.
怠い,だるい,"sluggish, languid, listless, heavy",体がだるい。,I feel sluggish.
手早い,てばやい,"nimble, quick, agile",仕事が手早い。,Quick to work.
ぎこちない,ぎこちない,"awkward, clumsy, stiff",彼の動きはぎこちなかった。,His movements were awkward. 
訝しい,いぶかしい,"doubtful, dubious, suspicious",いぶかしげなまなざし。,A suspicious ook.
重苦しい,おもくるしい,"heavy, gloomy, oppressive",重苦しい雰囲気。,Oppressive atmosphere.
重たい,おもたい,"heavy, weighty, serious, gloomy, depressing, massive",私はその重たい袋を背負って運んだ。,I carried that heavy bag on my back.
憎い,にくい,"hateful, detestable",なかなか憎いことを言うね。,That's quite a hateful thing to say.
若々しい,わかわかしい,"youthful, young",彼女は若々しい。,She has a youthful appearance 
覚束無い,おぼつかない,"uncertain, doubtful, unreliable, unsteady",成功の覚束無い作戦。,A strategy that has not been successful.
呆気ない,あっけない,"disappointing, unsatisfying, abrupt, over too soon",呆気ない幕切れ。,A dismal end to the story.
名高い,なだかい,"famous, noted, notorious, well-known",ナイアガラの滝は世界有数の観光地として名高い。,Niagara Falls is renowned as one of the world's top tourist destinations.
もどかしい,もどかしい,"impatient, irritated ",見ていてもどかしい位だった。,It was frustrating to watch.
清々しい,すがすがしい,"refreshing, clean and fresh",今日は清々しいお天気ですね。,The weather is refreshing today.
変わらない,かわらない,"constant, invariant",いくら金を積んでも彼の気持ちは変わらないでしょう。,No amount of money will change his mind.
余儀ない,よぎない,"unavoidable, inevitable",余儀ない事情で。,Due to unavoidable circumstances.
粘り強い,ねばりづよい,"tenacious, persevering, persistent, stubborn",彼は粘り強い精神の持ち主だ。,He is a tenacious spirit.
役に立たない,やくにたたない,"of no avail, useless",役に立たない政府高官を避なさい。,Avoid useless government officials.
芳しい,かんばしい,"sweet, fragrant, aromatic, favorable, good",梅の花の芳しいにおい。,Aromatic smell of plum blossoms.
小高い,こだかい,slightly elevated,小高い山脈に挟まれた谷地。,The valley is nestled between small mountain ranges.
目まぐるしい,めまぐるしい,"hectic, bewildering, bustling, dizzy",天気の変化がめまぐるしい。,The weather is changing rapidly.
物足りない,ものたりない,"unsatisfied, unsatisfactory, insufficient",余興がなくてはもの足りないだろう。,It would not be enough without entertainment.
数え切れない,かぞえきれない,"countless, incalculable",空には数え切れないほど星が出ている。,There are countless stars in the sky.
荒っぽい,あらっぽい,"rough, rude, wild, violent",かなり荒っぽい運転ではあるが、誰も文句を言わなかった。,"Although the driving was quite rough, no one complained."
興味深い,きょうみぶかい,"very interesting, of great interest",星を見ることは興味深いことだ。,Seeing the stars is an interesting thing.
涙ぐましい,なみだぐましい,"touching, moving, painful",涙ぐましい場面。,A touching scene.
数少ない,"かずすくない

",few in number,数少ない僕が食べたいラーメンの一つ。,One of the few ramen that I want to eat.
あり得ない,ありえない,"impossible, improbable, unlikely, unthinkable",とてもあり得ない災害である。,It is a very unlikely disaster.
計り知れない,はかりしれない,"unfathomable, immeasurable",損失の程度は計り知れない。,The extent of the loss is immeasurable.
肌寒い,はださむい,"chilly, unpleasantly cold",青森の春は肌寒い日々が続いた。,Spring in Aomori was chilly.
果てしない,はてしない,"endless, boundless, everlasting",この話は果てしない宇宙の中の旅です。,This story is a journey in an endless universe.
生ぬるい,なまぬるい,"lukewarm, halfhearted",生ぬるい環境で仲良くするのではなく。,Not to get along in a lukewarm environment.
辛抱強い,しんぼうづよい,"patient, persevering",奥さんの辛抱強い看病のおかげで正気を取り戻すことができた。,"Thanks to his wife's patient nursing, he was able to regain his sanity."
悩ましい,なやましい,"seductive, enchanting, troubling, uneasy",彼女は悩ましい目つきで僕を見た。,She looked at me with a troubled look.
気安い,きやすい,"relaxed, familiar, easy to access, friendly",彼女は一緒に仕事する気安い関係じゃなかったです。,She was not an easy relationship to work with.
縁遠い,えんどおい,"unconnected, weakly related, far beyond",あなたや私のような普通の人には縁遠い話に思えます。,It seems out of touch for ordinary people like you and me.
用心深い,ようじんぶかい,"wary, watchful, cautious",大変用心深い作戦行動を続けた。,He continued his very cautious maneuvers.
香ばしい,こうばしい,"fragrant, aromatic, sweet-smelling",レモンバームで香ばしいお茶を欲しいです。,I want a fragrant tea with lemon balm.
虚しい,むなしい,"empty, void, vacant, vain, futile",知識のない者の虚しい願望に従ってはならない。,Do not follow the vain desires of those who have no knowledge.
モテない,モテない,"unwelcome, nerdish, unpopular",モテない男性っていうのはモテる男性と気を遣うポイントが違うと思います。,I think that unattractive men are different from popular men in the points they pay attention to.
つまんない,つまんない,"dull, boring",でもやっぱり全然つまんないんです。,But it's still not boring at all.
暇がない,ひまがない,"busy, no free time",考えている暇がないはそのとおりですね。,You are right about not having time to think about it.
注意深い,ちゅういぶかい,"careful, attentive, cautious",注意深い運転は事故を防ぐ。,Careful driving prevents accidents.
