Sentences,Translation
すぐに旅の支度をしなさい。,Get ready for the trip at once.
彼は旅行の支度をしている。,He is making preparations for a trip.
話題変えよう。,Let's change the topic.
新しい話題が出た。,A new topic came up in conversation.
この話題はよそう。,Let's get off the subject.
傘を置き忘れた。,I left an umbrella behind.
この傘誰のですか？,Whose umbrella is this?
今日の午後この町を見学した。,We saw the sights of the city this afternoon.
その実施見学は非常にためになった。,I found the field trip very educational.
彼は無事に到着した。,He arrived safely.
天気が回復した。,The weather has improved.
彼は回復しますか。,Will he get well?
彼は少しずつ回復した。,He recovered little by little.
景気はまもなく回復する。,Business will recover soon.
翻訳してるとこ。,I am translating.
この翻訳はどう？,How's this translation?
翻訳の質が良くなった。,The quality of translation has improved.
その翻訳は原典に忠実だ。,The translation is true to the original.
彼は動作が鈍い。,He is slow in action.
彼は感覚が鈍い。,He has dull senses.
彼は時々変です。,Sometimes he can be a strange guy.
曇り時々雨でした。,"It was cloudy, with occasional rain."
時々散歩にでかける。,I sometimes go out for a walk.
私は時々夕食を作る。,I sometimes cook dinner.
その時計はスイスで製造されている。,The watch is manufactured in Switzerland.
その工場は来年から製造をはじめる。,The factory will begin to produce next year.
その会社は電気製品を製造している。,The company manufactures electrical goods.
工場では複雑な化学化合物を製造している。,The plants manufacture complex chemical compounds.
彼らは１時間３マイルの割合で歩いた。,They walked at the rate of three miles an hour.
私の家は郊外にある。,My house is in the suburbs.
彼女の家は郊外にある。,Her home is in the suburbs.
彼の家は市の郊外にある。,His house is on the skirts of the city.
今日は食欲がある。,I have a good appetite.
彼は食欲旺盛だ。,He has a good appetite.
最近食欲が無い。,I have a poor appetite these days.
食欲なんてありません。,I don't feel like eating.
食欲が異常にあります。,I have an extraordinary appetite.
手袋が要りますか？,Do you need gloves?
手袋はよい贈り物だ。,A pair of gloves is a nice gift.
素敵な手袋をしていますね。,Those are nice gloves you have on.
この水は少し塩辛い。,This water is a little salty.
この梅干し、塩辛いね。,This umeboshi tastes really salty.
完全に負かした。,I beat him completely in the debate.
完全に忘れてたよ。,I completely forgot it.
完全には治りません。,It cannot be completely cured.
これは完全に普通だ。,This is perfectly normal.
完全に失敗だったよ。,It was a complete failure.
何時に搭乗開始ですか。,What time does boarding begin?
試験は何時開始ですか？,What time does the exam start?
試合開始は午後２時です。,The play begins at 2 p.m.
彼女は１時間前に退院しました。,She left the hospital an hour ago.
その子は怪我をした。,The kid got hurt.
怪我をしないように。,Please be careful not to get hurt.
怪我だけはするなよ。,Just don't get hurt.
彼は昨日試合でけがをした。,He got hurt in the game yesterday.
彼は交通事故で怪我をした。,He was injured in a traffic accident.
転倒して彼は大ケガをした。,The tumble hurt him badly.
幸い乗客に怪我はありませんでした。,"Fortunately, no passengers were injured."
怪我した選手はどうしてる？,How's the player that got hurt?
学生に限り入場可。,Admission to students only.
宇宙には限りはない。,There is no limit to the universe.
私が死なない限り。,Over my dead body.
私に関する限り、それでよろしい。,That's all right as far as I am concerned.
圧縮したファイルを添付で送ってください。,Send it to me as a compressed file.
その気体は圧縮されてボンベに詰め込まれた。,The gas was compressed into a gas cylinder.
これは何の項目に入るか。,What heading does this come under?
この本は何の項目に入りますか。,What heading does this book come under?
この地方は貴重な鉱物を産出します。,This region produces precious minerals.
水と森と鉱物は重要な自然の資源です。,"Water, forests, and minerals are important natural resources."
その国は鉱物資源に富んでいる。,That country is rich in minerals.
この州には鉱物資源が豊富です。,The province is rich in mineral resources.
その地域は鉱物資源が比較的豊かだ。,The region is relatively rich in mineral resources.
金は鉄よりも貴重だ。,Gold is more precious than iron.
時間ほど貴重な物はない。,Nothing is so precious as time.
友情ほど貴重なものはない。,Nothing is so valuable as friendship.
あれは貴重な経験だった。,That was a valuable experience.
それは２通りに解釈できる。,That reads two different ways.
私はこれを抗議と解釈した。,I interpreted this as a protest.
これをどう解釈しますか。,What do you make of this?
この文章をどう解釈しますか。,How do you interpret these sentences?
私は彼女の沈黙は拒絶と解釈した。,I interpreted her silence as a refusal.
私は彼の沈黙を同意だと解釈した。,interpreted his silence as consent.
この規制はいくとおりにも解釈できる。,This rule reads several ways.
あなたは痩せて見えます。,You're looking thin.
少しやせました。,I've lost a little weight.
急にやせだしました。,I've suddenly lost weight.
円高克服は大問題です。,How to overcome the high value of the yen is a big problem.
彼はその苦境を克服した。,He got over the end.
