Words,Words.1,Words.2,Words.3,Words.4
はし,おぼえる,ほんや,さつ,しょうゆ
とる,こうぎする,ウェブ,ハンサムな,がいこくじん
せん,さしみ,スミス,もちろん,てつだう
めをさます,さいしょ,いう,そう,ホテル
ターキー,げんき,ひるねする,どろぼう,とけい
ニューオリンズ,にちようび,たのしい,りょう,クラシック
ひがしやま,ごりょうしん,えいがかん,きをつける,らいがっき
やさい,はるやすみ,セール,けいたいでんわ,つきあたり
まにあう,スパゲティ,そら,なにか,すうがく
おくりもの,いちねんじゅう,レストラン,すくない,みず
まさこ,あかるい,ふるい,むりやり,このは
きく,いぬごや,おだいば,こと,ピアノ
おおぜい,ハワイ,かなざわ,あう,パートナー
おねがいする,どこにも,デパート,ちから,キャンパス
めい,コンピューターショップ,じゅんばん,たたみ,かびん
ブラウス,やる,おかねをおろす,かた,かたづける
めんせつする,ですから,がつ,しけん,てつやする
むかし,ゆき,ほう,なぜ,じょうだん
てくび,しょうたいじょう,ボタン,はらう,ください
エネルギー,バークレー,あおき,つくえ,つく
ドイツご,かど,スーツケース,メキシコじん,パスタ
セント,コロンブス,イベント,げんじものがたり,こたえ
おこす,しょうかいする,かんがえかた,ところで,がいこくご
あがる,きょうだい,スープ,おきゃくさん,モーツアルト
ぜんぜん,すきやき,こする,なつやすみ,おととい
とり,ジョギングする,ぷん,デトロイト,ねつ
みかん,ふるかわ,アメリカじん,トラック,しんごう
えんそうする,おくさん,けいさつ,おととし,ふくしゅうする
こと,おべんとう,いち,らいねん,ハムレット
ソックス,クラブ,とうちゃくする,しち,げんごがく
ぎんこう,ゆずる,さい,もし,いえだ
ステーキ,だいすきな,じしょ,かがく,じ
パンフレット,じょゆう,すく,テーブル,オークランド
しゅうりや,てがみ,ふじさん,じゅんびする,あしくび
やくそくする,ホール,かさをさす,ばつ,なくなる
ちかく,ショッピングセンター,ちちのひ,そうりつする,こ
あらう,とうふ,プラン,くさ,じゅういちがつ
ばんごはん,つかう,マネージャー,ヒーター,あまり
よぶ,ことわる,あと,しょくじする,シャワーをあびる
だめな,おみやげ,せんせんしゅう,ドア,はなす
きょねん,ペロっと,かしだす,いもうと,おいしゃさん
ちち,ペラペラ,リムジン,おこさん,てんちょう
れいぞうこ,かく,ひっこす,コンピューター,まち
でる,えらぶ,ねぶそく,おば,つき
できる,こんげつ,しゅくだい,こんや,えき
ようし,チーズ,マッキントッシュ,ちゅうげん,かぎをかける
ラブレター,プリンター,とまる,くち,ふあんな
もり,かね,となり,はんたいする,クラッカー
あお,うかる,ゆびわ,きょう,バスケットボール
もんくをいう,スポーツ,まえだ,おくれる,ぶんぽう
つなげる,きょうし,この,スピーカー,ショートパンツ
ぼうし,けっか,て,ホームズ,いたい
たてもの,おや,さそう,かぜぐすり,ようふく
わたす,たまる,ベランダ,も,コンサート
かんせいする,のうぎょうけいえいしゃ,はつめいか,いちにちめ,やわらかい
そんなに,すてきな,はずかしい,とりにく,きまつしけん
つえ,とても,ジョーンズ,おもち,はは
てんらんかい,ジャーナリスト,キム,いし,みぎ
しつもんする,みどり,はずす,ディズニーランド,せいじ
しゅふ,けんどう,じゃあ,きもの,ストレス
じゅうどう,ビル,はなみ,めざましどけい,いつか
どういう,ふむ,つくりかた,スパイ,にほん
にく,こんがっき,あか,ビデオ,カナダ
まいねん,なんにん,マイク,ごご,つめたい
かんじ,マイアミ,すきな,けっこんする,いじわるな
ねぼうする,スポーツせんしゅ,むらやま,むっつめ,オーバー
ちいさい,こし,みっつめ,どこ,しながわ
かゆい,サングラス,でんき,とんかつ,なつめ
これ,しごとする,や,そぼ,ぜいきん
だれか,かいてんする,いけん,ほんとうに,ここのかめ
まいつき,せんもん,だいぶつ,ルイス,わたし
ギター,たいおんけい,のりまき,ひやす,えいかいわ
ちず,はでな,つく,それで,スケッチする
ミラー,おこめ,ゆうがた,よむ,よく
ざっし,ジーンズ,けんがくする,しる,いちばん
べんごし,ちゅうごく,あきち,どなたも,じゃがいも
あたる,さっき,ねむる,けす,たいへんな
そこ,パジャマ,なん,りょこうする,ブラウン
へたな,げつようび,そちら,いじょう,きめる
ブーツ,ごがつ,あんしんする,いっしょに,コーヒー
いれる,みずうみ,くださる,ぬぐ,サンディエゴ
かきかた,ひどい,くうこう,かんごし,にんき
おしえる,のる,そつぎょうする,それ,ハンドアウト
かいけいし,うんてんする,とうぜん,うなぎ,やま
なにも,コピーする,じゅく,もち,おみせ
すいえいする,カタカナ,プレゼントする,へんじする,ライトきょうだい
りっぱな,しかる,かつ,じしょをひく,へいてんする
ひっこしする,しんかんせん,ひろしま,がくせい,さんにん
おどる,できる,セーター,へび,つれてくる
ごはんをたく,ことば,やすい,ズボン,まっすぐな
からだ,けっこんしき,メンフィス,ゆうびんきょく,おばあさん
ここ,おとな,しずかな,よく,すっぱい
ひとつめ,ハイヒール,どなた,れきし,ひく
ウェイター,おんがくかい,すわる,モニター,みる
ばしょ,かわもと,インストールする,しゅうしょくする,ビートルズ
まるい,もんげん,め,ううん,ヨーロッパ
おかね,べんとう,きもち,あさ,おしゃべりする
ちこくする,むずかしい,らいげつ,なら,いま
ひゃく,ごかいする,アメリカ,はなし,ピクニック
ヌエン,はなび,てつだい,うえき,とおい
だいがくせい,かげつ,たからもの,せんしゅう,きせつ
たなか,シェフ,おせわになる,かぎ,どんな
ごぜん,しゃちょう,たんてい,ホストファミリー,かえる
ばか,か,あたらしい,きっさてん,もらう
みせる,かぜをひく,いれる,プロジェクト,あそこ
いいわけ,クラブ,こたえる,きんじょ,たんい
デンバー,ワトソン,なおる,いる,みっつ
ようかん,デジタルカメラ,もっていく,いみ,さけ
むす,ほんだ,まいにち,エイミー,セクハラ
かおいろ,たんけんか,カーテン,どなたか,うっかりする
くがつ,ピーシー,かようび,とまる,さいご
ちゅう,あたま,しぶや,とうきょう,わかる
こわい,やっつめ,から,はじめ,りゅうがくせい
せき,おなか,きっと,ならいごと,こうすい
ごしゅじん,かみ,えいぶんがく,おしお,かぜ
する,パーティー,にゅうしゃする,ごろ,しめきり
あきやま,てぶくろ,こうばん,たんご,タイプ
さけ,けんぶつする,など,おおどおり,まだ
にっけい,おきゃくさま,ひ,スーパー,やっつ
えさ,おわる,かす,じかん,ラップトップ
おてあらい,はかた,シアトル,プリン,チーズケーキ
こうつうじこ,スピーチコンテスト,おにいさん,ながい,ちゅうかりょうり
ことし,バレンタインデー,おさけ,ぶつりがく,かりだす
なんがつ,オフィス,にほんしゅ,しかくい,かりる
ふうとう,はな,でんしゃ,かえる,ミネアポリス
こやま,キャンプする,しろい,じゅうがつ,おばさん
ヤング,ロシアご,せんべつ,しょうせつ,く
すずしい,そうしき,じゅうしょ,ウィスキー,しょうじ
にぎやかな,いつつめ,おいごさん,メモする,かに
てんきよほう,せんせんげつ,ブルース,せまい,げんきな
ひと,りれきしょ,れい,はく,ごせんもん
ワイシャツ,パン,かわ,ボールペン,つくる
おうぼする,ロサンゼルス,しめる,おこる,おちゃ
スイッチ,じゅう,てんいん,はい,ちがう
ほん,なんようび,ボール,おえる,かんたんな
レジ,ちゃわんむし,アイロン,ヒューストン,よん
さくぶん,じぶん,おどろく,ゆうべ,こんばん
サンアントニオ,きた,せんげつ,ロス,アームストロング
げんこう,けいかくする,がくぶせい,ハイキング,ねん
はこ,むらかみ,ちえ,めがね,なく
