Words,Meaning
送る言葉を選ぶのは難しいです,It's hard to choose the right words to send
贈る言葉に感謝の気持ちを込める,Put gratitude in the words you give
遅れると損をするから,Because we will lose out if we are late
行うべきことを忘れると,When we forget what needs to be done
彼は怒りを抑えることができなかった,He could not contain his anger
ドアに押すと書いてあるのに,It says push on the door.
彼は本を図書館に返すのを忘れていた,He forgot to return the book to the library
彼は毎日シャツを替える,He changes his shirt every day
彼はドルを円に換える必要があった,He needed to convert dollars into yen
彼は髪型を変えることにした,He decided to change his hairstyle
夜空には星が輝く,Stars shine in the night sky
彼は試験に合格するために頑張る,He works hard to pass his exams
彼は音楽を聴くのが好きだ,He likes to listen to music
彼は彼女が泣いているのに気付く,He notices she is crying
彼は旅行先を決めるのに苦労した,He had a hard time deciding where to travel
彼はにんじんを嫌う,He hates carrots
彼は紙をハサミで切る,He cuts the paper with scissors
彼は赤いセーターを着る,He wears a red sweater
彼は病気で草臥れる,He is sick and bedridden
彼はチラシを配る仕事をしている,He's in the business of handing out flyers
彼はパズルを組むのが得意だ,He's good at putting puzzles together
彼はコーヒーが冷めるのを待っていた,He waited for the coffee to cool down
彼は夢から覚めるとほっとした,He was relieved when he awoke from his dream
彼は隣の部屋で騒ぐ人たちにイライラした,He got annoyed with people making noise in the next room
彼は熱い鍋に手を触ると痛くて叫んだ,He yelled in pain as he touched the hot pot
彼は夕日が沈むのを見て感動した,He was thrilled to see the sun set
彼は親の言うことに従う,He follows what his parents say
彼はレジでお金を支払う,He pays the money at the cashier
彼はタオルを絞ると水が滴った,He squeezed the towel and water dripped
彼は本を棚に仕舞う,He puts the book away on the shelf
彼は地図で道を示す,He shows the way with a map
彼はドアを叩くと中から声がした,He knocked on the door and heard voices inside
彼は服を畳むのが苦手だ,He is bad at folding clothes
彼の家の近くに新しいビルが建つ,A new building is built near his house
彼は彼女と別れてから一年が経つ,It has been a year since he broke up with her
彼は自分の家を建てる夢を持っている,He dreams of building his own house.
彼は旅行を楽しむ,He enjoys traveling
彼は友達に手伝って頼む,He asks his friend to help him
彼はストレスが溜まると頭痛がする,He gets headaches when he's stressed
彼はお金を貯めるために節約する,He saves to save money
他人にも頼ることが大切だと思う,I think it's important to rely on others as well
彼は花束を彼女に届ける,He delivers a bouquet of flowers to her
彼は飛行機で海外に飛ぶ,He flies overseas by plane
彼はホテルに泊まる,He stays at a hotel
彼は信号が赤に止まると車を止めた,He pulled over when the light stopped red
彼は車を駐車場に停める,He parks the car in the parking lot
彼は喫煙を止めることにした,He decided to quit smoking
彼は山でキノコを採る,He picks mushrooms in the mountain
彼はカメラで写真を撮る,He takes pictures with a camera
彼は上司に怒鳴ると解雇された,He was fired when he yelled at his boss
彼は壊れた時計を直す,He fixes the broken clock
彼は雨に濡れると風邪をひいた,He caught cold when he got wet in the rain
彼は幸せを願う,He wishes for happiness
彼は夜になると眠る,He sleeps at night
彼はベッドに寝る,He lies down on the bed
彼はご飯を少し残す,He leaves a little rice
彼は最後まで残る,He stays until the end
彼は荷物を車に載せる,He loads the luggage on the car
彼は手を伸ばすと本を取った,He reached out and took the book
彼は背が伸びるのを期待していた,He expected to grow taller
彼はひげが生えるのを嫌っていた,He hated that his beard would grow
彼は汗をハンカチで拭く,He wipes his sweat with a handkerchief
彼は傘をさして雨を防ぐ,He prevents the rain by holding an umbrella
彼は食べ過ぎて太る,He gains weight by eating too much
彼は足を踏むと痛みに顔をしかめた,He stepped on his foot and frowned in pain
彼は雪が降るのを見て喜んだ,He was happy to see the snow fall
彼は手を振ると彼女に別れを告げた,He waved goodbye to her
彼はハンマーで釘を打付ける,He hits the nail with a hammer
彼は塩分を減らすことにした,He decided to reduce his salt intake
彼は体重が減るのに気づいた,He noticed that his weight decreased
彼は犬が吠えるのを聞いて驚いた,He was surprised to hear the dog bark
彼は靴ひもを結ぶ,He ties his shoelaces
彼は自分の名前を申す,He says his name
彼は火事で家が燃えるのを見て悲しんだ,He was saddened to see his house burn in the fire
彼は鞄を持つ,He holds a bag
彼は本を元の場所に戻す,He puts back the book to its original place
彼は家に戻る,He returns home
彼はゴミを燃やす,He burns the trash
彼はパンを焼く,He bakes bread
彼は英語を日本語に訳す,He translates English into Japanese
彼は紙を破る,He tears the paper
彼はお酒に酔う,He gets drunk on alcohol
彼は服を汚すと母に叱られた,His mother scolded him for soiling his clothes
彼は地震で家が揺るのを感じた,He felt the house shake in the earthquake
彼は電話が切れたのでかけ直す,He hangs up and I call him back
彼は本を図書館に貸し出す,He checks books out to the library
彼は友達と語り合うのが好きだ,He likes to talk with his friends
彼は彼女の言葉を聞き取るのに苦労した,He had a hard time hearing her words
彼はテレビのチャンネルを切り替える,He switches tv channels
彼はレゴでロボットを組み立てる,He assembles a robot with lego
彼は間違えないように問題を繰り返す,He repeats the problem without making mistakes
彼は駅で彼女と待ち合わせる,He meets her at the station
彼は街を見て回るのが楽しいと思った,He thought it was fun to look around the city
彼は彼女と向かい合うと緊張した,He tensed as he faced her
彼はコンテストに申し込む,He applies for the contest
彼はいつも携帯電話を持ち歩く,He always carries his cell phone
彼は残ったピザを持ち帰る,He takes home the leftover pizza
彼は助けを呼びかけると誰かが来た,"He called for help, and someone came"
彼は雨が降り出す前に家に着いた,He got home before it started raining
彼は財布からお金を取り出す,He takes money out of his wallet
