Content,Description
5 翻訳の質は翻訳者によって左右される。,5 The quality of the translation depends on the translator.
<b>~によっては (ni youth wa) - depending on</b>,there are cases that depends on・may differ
1 時間によっては、彼女はその会議に出席できないかもしれません。,"1 Depending on the time, she may not be able to attend that meeting."
2 状況によっては、計画を変更する必要がある。,"2 Depending on the situation, plans may need to be changed."
3 人によっては、この映画は退屈だと感じるかもしれない。,3 Some people may find the film boring.
4 天気によっては、ピクニックを延期しなければならない。,"4 Depending on the weather, the picnic may have to be postponed."
5 方法によっては、もっと効率的に作業ができる。,"5 Depending on the method, we can work more efficiently."
"<b>~による (ni yoru) - by, due to</b>",means・method・cause・reason・agent
1 この変化は新しい政策によるものです。,1 This change is due to the new policy.
2 彼女の病気はストレスによるものだと言われている。,2 Her illness is said to be due to stress.
3 その事故は運転手の不注意によるものだった。,3 The accident was caused by the driver's carelessness.
4 このプロジェクトはチーム全体の努力による成果だ。,4 The project was the result of the efforts of the entire team.
5 彼の意見は経験によるもので、とても価値がある。,5 His opinion is very valuable because it is based on his experience.
<b>~によると (ni yoruto) - according to</b>,source of information
1 天気予報によると、明日は雨が降るそうです。,"1 According to the weather forecast, it will rain tomorrow."
2 最新の調査によると、若者の読書量が減少している。,"2 According to the latest survey, young people are reading less."
3 彼の話によると、その会社はすぐに新製品を発表するらしい。,"3 According to him, the company will soon launch a new product."
4 目撃者によると、犯人は青いジャケットを着ていた。,"4 According to witnesses, the perpetrator was wearing a blue jacket."
5 教授によると、試験は難しくないそうです。,"5 According to the professor, the test is not difficult."
<b>~によれば (ni yoreba) - according to</b>,source of information
1 彼によれば、そのレストランはとても良いらしい。,"1 According to him, the restaurant is very good."
2 専門家によれば、市場はまもなく回復するだろう。,"2 According to experts, the market will recover soon."
3 伝説によれば、この湖には古代の宝が沈んでいる。,"3 According to legend, there is an ancient treasure sunk in this lake."
4 最新の報告によれば、経済成長が続いている。,"4 According to the latest reports, the economy continues to grow."
5 彼女によれば、その映画は見る価値があるとのことです。,"5 According to her, the film is worth seeing."
"<b>~にとって (~ni totte) - for, to, from the standpoint of</b>",view point・standpoint・perspective
1 彼にとって、そのニュースは驚きだった。,"1 For him, that news was surprising."
子供にとって、親は最も大切な存在です。,"2 To a child, parents are the most important beings."
この仕事は私にとって、大きな挑戦です。,3 This job is a big challenge for me.
彼女にとって、健康が一番の財産だ。,"4 To her, health is the greatest asset."
学生にとって、試験の日は重要な日だ。,"5 For students, the day of the exam is an important day."
"<b>~として (~toshite) - as, in the capacity of, in the role of</b>",qualification・role・capacity・position・function・profession
1 彼は医者として尊敬されている。,1 He is respected as a doctor.
2 私は彼を友人として信頼している。,2 I trust him as a friend.
3 彼女は歌手としてデビューした。,3 She debuted as a singer.
4 この部屋は会議室として使われています。,4 This room is used as a meeting room.
5 彼はリーダーとしてチームを引っ張っている。,5 He is leading the team as a leader.
"<b>~に応じて (~ni oujite) - depending on, according to</b>",changes in response to different conditions・adjustment based on a certain criteria
1 状況に応じて計画を変更する必要がある。,1 It is necessary to change the plan depending on the situation.
2 予算に応じて旅行のプランを立てる。,2 Make travel plans according to the budget.
3 需要に応じて生産量を増やす。,3 Increase production as demand requires.
4 学生のレベルに応じて授業を進める。,4 Proceed with the lessons according to the students’ levels.
5 天候に応じて服装を選ぶ。,5 Choose clothes according to the weather.
"<b>~に応えて (~ni kotaete) - in response to, to meet</b>",actions are taken to fulfill a request・meet expectation・address demands
1 顧客の要望に応えて新商品を開発した。,1 Developed new products in response to customer requests.
2 ファンの期待に応えて、彼は素晴らしい演技を見せた。,2 He gave a great performance to meet the fans’ expectations.
3 社員の声に応えて、福利厚生を改善した。,3 Improved welfare benefits in response to employees’ voices.
4 世界的な需要に応えて、生産設備を拡大した。,4 Expanded production facilities to meet global demand.
5 アンケートの結果に応えて、サービスを改善する。,5 Improve services in response to survey results.
"<b>~に沿って (~ni sotte) - along, in accordance with</b>",follows a certain path・route・direction・rule・plan・guidelines・instruction
1 川に沿って散歩する。,1 Take a walk along the river.
2 計画に沿って進める。,2 Proceed in accordance with the plan.
3 ルールに沿って行動する。,3 Act along the rules.
4 道に沿って家が建っている。,4 Houses are built along the road.
5 ガイドラインに沿って作業を行う。,5 Carry out work in accordance with the guidelines.
"<b>~に代わって (~ni kawatte) - on behalf of, instead of</b>",substitute・replacement
1 彼女に代わって、私がプレゼンテーションを行います。,1 I will do the presentation on her behalf.
2 病気の同僚に代わって、そのタスクを引き受けた。,2 Took over the task instead of a sick colleague.
3 社長に代わって、副社長が挨拶をした。,3 The vice president greeted on behalf of the president.
4 先生に代わって、助手が授業を行った。,4 The assistant conducted the class instead of the teacher.
5 彼に代わって、チームメートが試合に出場した。,5 A teammate played in the match in his place.
<b>~に比べて (~ni kurabete) - compared to</b>,compare two things and highlight differences
1 今年は去年に比べて雨が多い。,1 There is more rain this year compared to last year.
2 この車は他のモデルに比べて燃費が良い。,2 This car has better fuel efficiency compared to other models.
3 彼の作品は彼女のものに比べてシンプルだ。,3 His work is simple compared to hers.
4 今日は昨日に比べて暖かい。,4 Today is warmer compared to yesterday.
5 この地域は他地域に比べて物価が高い。,5 The cost of living in this area is high compared to other regions.
<b>~に加えて (~ni kuwaete) - in addition to</b>,additional・supplementary
1 英語に加えて、彼女はフランス語も話せる。,"1 In addition to English, she can also speak French."
2 仕事に加えて、彼はボランティア活動もしている。,"2 In addition to his job, he also does volunteer work."
3 このレストランは美味しい料理に加えて、素晴らしい景色も楽しめる。,"3 In addition to delicious food, this restaurant also offers a wonderful view."
4 基本給に加えて、ボーナスが支給される。,4 A bonus is provided in addition to the basic salary.
5 雨に加えて、強風も予報されている。,"5 In addition to rain, strong winds are also forecasted."
"<b>~に反して (~ni hanshite) - contrary to, against, in violation to</b>",opposite・contrary to what is expected・established norms
1 予想に反して、彼は試験に合格した。,"1 Contrary to expectations, he passed the exam."
2 規則に反して、彼は禁止区域に入った。,2 He entered the prohibited area against the rules.
3 両親の意向に反して、彼女は芸術家になった。,"3 Contrary to her parents’ wishes, she became an artist."
4 天気予報に反して、晴れた日が続いている。,"4 Contrary to the weather forecast, it has been sunny."
5 一般的な見解に反して、その理論は正しかった。,"5 Contrary to popular belief, the theory was correct."
"<b>~において (~ni oite) - in, on, at, during</b>","indicate the time, place, location or situation where something happens"
1 会議は東京において開かれる。,1 The conference will be held in Tokyo.
2 現代社会において、情報の速さは重要である。,"2 In modern society, the speed of information is important."
3 彼はその分野において専門家だ。,3 He is an expert in that field.
4 この法律は日本において適用される。,4 This law is applied in Japan.
5 研究は大学において行われた。,5 The research was conducted at the university.
"<b>~にあたって (~ni atatte) - at the time of, when, upon</b>",taking an action in anticipation of an event
1 新しいプロジェクトにあたって、彼はチームを組織した。,"1 Upon starting a new project, he organized a team."
2 出発にあたって、必要な書類を確認してください。,"2 Before departure, please check all the necessary documents."
3 試験にあたっては、静かにしてください。,3 Please be quiet during the examination.
4 会社を設立にあたって、多くの準備が必要だった。,4 A lot of preparation was needed in establishing the company.
5 彼女はスピーチにあたって緊張していた。,5 She was nervous about giving the speech.
"<b>~に基づいて (~ni motozuite) - based on, on the basis of</b>",something is done according to a basis or standard
1 この小説は実話に基づいて書かれている。,1 This novel is written based on a true story.
2 判断は事実に基づいて行われるべきだ。,2 Decisions should be made based on facts.
3 彼のアドバイスは経験に基づいている。,3 His advice is based on experience.
4 税金は収入に基づいて計算される。,4 Taxes are calculated based on income.
5 その報告は調査結果に基づいて作成された。,5 The report was created based on the survey results.
"<b>~に即して (~ni sokushite) - in accordance with, inline with, according to</b>",express conformity with something or immediacy
1 彼は規則に即して行動した。,1 He acted in accordance with the rules.
2 この計画は現状に即して考えられた。,2 This plan was considered in accordance with the current situation.
3 裁判は法律に即して行われる。,3 The trial is conducted in accordance with the law.
4 教育は時代の要求に即して変化する。,4 Education changes in accordance with the demands of the times.
5 彼女の服装は場面に即して選ばれる。,5 Her attire is chosen in accordance with the occasion.
"<b>~に従って (~ni shitagatte) - according to, following</b>",compliance or accordance with something
1 年齢に従って健康状態が変わる。,1 Health conditions change according to age.
2 規則に従って手続きを進めてください。,2 Please proceed with the procedures according to the rules.
3 季節に従ってファッションが変わる。,3 Fashion changes according to the season.
4 指示に従って避難してください。,4 Please evacuate according to the instructions.
5 需要に従って生産量を調整する。,5 Production volume is adjusted according to demand.
"<b>~につれて (~ni tsurete) - as, along with</b>",show change that occurs in conjunction with another change・parallel progression
1 子供が成長するにつれて学費が増える。,"1 As the child grows, the cost of education increases."
2 時間が経つにつれて記憶が薄れる。,"2 As time passes, memories fade."
3 技術が進歩するにつれて生活が便利になる。,"3 As technology advances, life becomes more convenient."
4 練習を重ねるにつれて上達する。,"4 As one practices, they improve."
5 会話が進むにつれて彼女はリラックスした。,"5 As the conversation progressed, she relaxed."
"<b>~に伴って (~ni tomonatte) - with, along with, accompanying</b>",something happens simultaneously with another action or situation・accompaniment
1 経済成長に伴って環境問題が増加する。,1 Environmental issues increase along with economic growth.
2 人口増加に伴って住宅需要が高まる。,2 Housing demand increases along with population growth.
3 昇進に伴って責任が重くなる。,3 Responsibilities increase along with promotion.
4 技術革新に伴って新しい職種が生まれる。,4 New job types emerge along with technological innovation.
5 年齢に伴って健康に気をつける必要がある。,5 One needs to be more attentive to health with age.
"<b>~を伴う (~o tomonau) - involves, accompanies, accompanied by</b>",something that comes with or involves another thing
1 この仕事はリスクを伴う。,1 This job involves risks.
2 成功は努力を伴うものだ。,2 Success involves effort.
3 操作は注意を伴う必要がある。,3 The operation requires caution.
4 彼の決定は大きな変化を伴う。,4 His decision brings significant changes.
5 その治療は副作用を伴う可能性がある。,5 The treatment may have side effects.
<b>~に伴う (~ni tomonau) - accompanying</b>,something happens as a consequence of another thing
1 経済成長に伴う社会の変化には、多くの挑戦が含まれています。,1 The social changes accompanying economic growth include many challenges.
2 新技術の導入に伴うコストの増加を、どのようにしてカバーすべきか考えなければなりません。,2 We must consider how to cover the increased costs associated with the introduction of new technology.
3 人口の増加に伴う住宅問題は、都市計画において重要な課題の一つです。,3 Housing issues associated with population growth are one of the important challenges in urban planning.
4 彼女の昇進に伴う責任の増大は、彼女にとって新たな試練となるでしょう。,4 The increased responsibilities accompanying her promotion will be a new challenge for her.
5 地球温暖化に伴う気候変動は、世界中の生態系に影響を与えています。,5 Climate change associated with global warming is affecting ecosystems around the world.
"<b>~とともに (~to tomoni) - together with, as well as</b>",express doing something together or simultaneously
1 彼は家族とともに引っ越した。,1 He moved along with his family.
2 春とともに花が咲く。,2 Flowers bloom along with spring.
3 彼女は笑顔とともに部屋に入った。,3 She entered the room with a smile.
4 新年とともに新しい希望が生まれる。,4 New hopes arise with the new year.
5 彼は成功とともに多くの友人を得た。,5 He gained many friends along with success.
<b>~あっての (~atte no) - exists because of</b>,something exists because of the presence of something else・plays a key or vital role or part
1 あなたあっての私なんです。,1 You are the reason I am who I am.
2 子供あっての我が家である。,2 Our home is complete because of our children.
3 平和あっての発展だ。,3 Development is possible because of peace.
4 お客様あっての商売です。,4 Business exists because of customers.
5 信頼あっての関係です。,5 The relationship is built on trust.
"<b>~とあって (~to atte) - because, since, as</b>","given a certain situation or condition, it is natural to expect a certain result"
1 試験前日とあって、学生たちは皆緊張している。,"1 As it’s the day before the exam, all students are nervous."
2 記念日とあって、レストランは予約でいっぱいだ。,"2 Since it’s an anniversary, the restaurant is fully booked."
3 大セールとあって、店内は大混雑だった。,"3 With the big sale, the store was very crowded."
4 有名な歌手が来るとあって、チケットはすぐに売り切れた。,"4 Since a famous singer is coming, the tickets sold out quickly."
5 新商品発売日とあって、行列ができている。,"5 As it’s the release day of a new product, there’s a line."
"<b>~とあれば (~to areba) - if it is the case that, in case</b>",hypothetical situation that would lead to a certain action or result.
1 彼が来るとあれば、私も行きます。,"1 If he is going, I will go too."
2 ぜひにとあれば仕方がない。,"2 If you must, you must."
3 この条件とあれば、断る理由がない。,"3 If these are the conditions, there’s no reason to refuse."
4 そんなに重要なら、急ぎます。,"4 If it’s that important, I’ll hurry."
5 誰もが参加するとあれば、私も参加しよう。,"5 If everyone is participating, I will too."
"<b>~にあって (~ni atte) - in, at, under</b>","being in a certain state, condition or time・emphasizes the circumstances surrounding an event or situation"
1 緊急事態にあっても、彼女は冷静だった。,"1 Even in an emergency, she remained calm."
2 戦時にあっては、多くのものが制限される。,"2 In wartime, many things are restricted."
3 経済危機にあって、その国は困難に直面している。,"3 In an economic crisis, the country is facing difficulties."
4 変革の時代にあって、新しい技術が求められる。,"4 In an era of change, new technologies are required."
5 平和な時代にあって、我々は幸福を享受できる。,"5 In a time of peace, we can enjoy happiness."
<b>~から~にかけて (~kara ~ni kakete) - from~to</b>,"indicates a range, either in terms of time or space from one point to another"
1 今晩から明日にかけて、雨が降るでしょう。,1 It will rain from this evening to tomorrow.
2. 夏から秋にかけて、気候が変わる。,2 The climate changes from summer to autumn.
3 北海道から九州にかけて、桜の開花が報告されている。,3 Cherry blossoms are being reported from Hokkaido to Kyushu.
4 会議は午前中から午後にかけて続いた。,4 The meeting continued from the morning through the afternoon.
5 彼は若い頃から老年期にかけて、多くの作品を残した。,5 He left many works from his youth through his old age.
"<b>~にわたって (~ni watatte) - throughout, over, across</b>",an extent or duration over a certain period or area
1 3日間にわたって祭りが開催される。,1 The festival will be held over three days.
2 このプロジェクトは数年にわたって続いた。,2 This project continued for several years.
3 展示会は広い会場にわたって行われた。,3 The exhibition was held across a large venue.
4 彼の影響は世界中にわたって及んだ。,4 His influence extended worldwide.
5 調査は全国にわたって実施された。,5 The survey was conducted nationwide.
"<b>~に至る (~ni itaru) - to lead up to, to come to</b>",a process that leads to a certain outcome
1 話し合いに至るまでの経緯を教えてください。,1 Please tell me the background leading up to the discussion.
2 病気が治るに至るまで、彼女は一生懸命に治療を続けた。,2 She continued her treatment diligently until she recovered.
3 この問題は解決に至ることはなかった。,3 This issue never came to a resolution.
4 交渉は最終的に合意に至る。,4 The negotiations will ultimately lead to an agreement.
5 研究は重要な発見に至る。,5 The research leads to an important discovery.
~に至って (~ni itatte):,indicate a point that has been reached often emphasizing the extremity or significance of the situation
	事態は最悪の状況に至ってしまった。 (The situation has reached the worst possible state.),
	交渉は決裂に至ってしまった。 (The negotiations have reached a breakdown.),
	彼女の病状は手術が必要に至っている。 (Her condition has reached the point where surgery is necessary.),
	この問題は国際的な注意に至っている。 (This issue has reached international attention.),
	経済の低迷は失業率の上昇に至っている。 (The economic downturn has led to an increase in unemployment rates.),
"	9	~に至っては (~ni itatte wa): This expression is used to present the most extreme example within a specific category, often with a negative connotation.",
"	彼は勉強もできるが、スポーツに至っては県代表クラスだ。 (He is good at studying, but when it comes to sports, he is at the level of a prefectural representative.)",
"	このレストランはサービスも良いが、料理に至っては絶品だ。 (This restaurant has good service, but as for the food, it’s exceptional.)",
"	彼女は普段は冷静だが、あの話題に至っては怒りを隠せない。 (She is usually calm, but she can’t hide her anger when it comes to that topic.)",
"	会社は利益を上げているが、経営の透明性に至っては問題がある。 (The company is making a profit, but there are issues with management transparency.)",
	彼はいつも遅刻するが、今日に至っては会議に現れなかった。,
~と相まって: This means “together with ~” or “in combination with ~”. It is used to show that two or more factors have a synergistic effect or influence on something. For example:,
雨 と相まって 、交通事故が多発した。,
"Due to the rain, there were many traffic accidents.",
風邪 と相まって 、熱が出た。,
"I got a fever, combined with a cold.",
美しい声 と相まって 、彼女の歌は人々を感動させた。,
"Her song moved people, together with her beautiful voice.",
"~をもって: This has several meanings, such as “with ~”, “by ~”, “as ~”, or “at ~”. It is used to indicate the means, method, standard, or time of something. For example:",
このメール をもって 、私はあなたとの契約を解除します。,
I hereby terminate the contract with you by this email.,
彼は自分の知識 をもって 、問題を解決した。,
He solved the problem with his own knowledge.,
今日 をもって 、私はこの会社を辞めます。,
I will quit this company as of today.,
~をもってすれば: This means “if one has ~” or “with ~”. It is used to show the condition or requirement for something to be possible or accomplished. For example:,
勇気 をもってすれば 、何でもできる。,
"If one has courage, one can do anything.",
この本 をもってすれば 、日本語の勉強が楽になる。,
"With this book, studying Japanese will become easier.",
証拠 をもってすれば 、彼の無実を証明できる。,
"If we have evidence, we can prove his innocence.",
~をもってにして: This means “to make ~ into ~” or “to regard ~ as ~”. It is used to show the result or intention of changing or transforming something. For example:,
	彼は失敗 をもってにして 、成功への階段にした。10,
He made his failure into a stepping stone to success.,
	私はあなた をもってにして 、幸せな人生を送りたい。11,
I want to make you into my happy life partner.,
	彼らはこの場所 をもってにして 、新しい町を作った。12,
They made this place into a new town.,
"~を込めて: This means “with ~” or “putting ~ into ~”. It is used to show the feeling, emotion, or intention that is expressed or conveyed by something. For example:",
	愛情 を込めて 、手紙を書いた。13,
I wrote a letter with love.,
	力 を込めて 、ボールを投げた。14,
I threw the ball with all my strength.,
	祈り を込めて 、花を供えた。15,
I offered flowers with a prayer.,
"~ときたら: This means “when it comes to ~” or “that ~”. It is used to show the speaker’s dissatisfaction, criticism, or surprise about something or someone. For example:",
	彼 ときたら 、約束を守らないから困る。16,
"That guy, he doesn’t keep his promises, so it’s troublesome.",
	この店 ときたら 、値段は高いし、味も悪いし、最悪だ。17,
"This shop, the prices are high and the taste is bad, it’s the worst.",
	この問題 ときたら 、難しすぎて解けない。18,
"This problem, it’s too difficult to solve.",
"~はもちろん: This means “not only ~” or “of course ~”. It is used to show that something is obvious or natural, and then add something else that is also true or related. For example:",
	彼は日本語 はもちろん 、英語や中国語も話せる。19,
"He can speak not only Japanese, but also English and Chinese.",
	このゲーム はもちろん 、楽しいし、勉強にもなる。20,
"This game is not only fun, but also educational.",
	彼女 はもちろん 、美人だし、頭もいい。21,
"She is of course beautiful, and also smart.",
"~はもとより: This means “not only ~” or “let alone ~”. It is similar to ~はもちろん, but more formal and emphatic. It is used to show that something is obvious or natural, and then add something else that is also true or related. For example:",
	彼は日本人 はもとより 、外国人からも尊敬されている。22,
"He is respected not only by Japanese people, but also by foreigners.",
	この本 はもとより 、彼の書いたすべての本が好きだ。23,
"I like not only this book, but also all the books he wrote.",
	この店 はもとより 、この町のすべての店が閉まっている。24,
"Not only this shop, but also all the shops in this town are closed.",
"~はおろか: This means “let alone ~” or “not to mention ~”. It is used to show that something is unthinkable or impossible, and then add something else that is more likely or possible. For example:",
	彼は漢字 はおろか 、ひらがなも書けない。25,
"He cannot write not only kanji, but also hiragana.",
	彼女は歌 はおろか 、話すこともできない。26,
"She cannot not only sing, but also speak.",
	この国 はおろか 、世界中でこの病気が流行っている。27,
"Not only this country, but also the whole world is suffering from this disease.",
~というより: This means “rather than ~” or “more than ~”. It is used to show that something is more appropriate or accurate than something else. For example:,
	彼は友達 というより 、兄のような存在だ。28,
He is more like a brother than a friend.,
	これはケーキ というより 、パンだ。29,
This is more like bread than cake.,
	彼女は怒っている というより 、悲しんでいる。30,
She is more sad than angry.,
"~たりとも~ない: This means “not even ~” or “not a single ~”. It is used to show that something is absolutely not true or possible, even to the smallest degree. For example:",
一分 たりとも 無駄にできない。,
I cannot waste even a minute.,
一円 たりとも 払いたくない。,
I don’t want to pay even a yen.,
一言 たりとも 言わないでください。,
Please don’t say a single word.,
~を通じて (~wo tsuujite): through; via; by means of,
彼はインターネットを通じて彼女に出会った。 (Kare wa intaanetto wo tsuujite kanojo ni deatta.) He met her through the internet.,
この本を通じて日本の文化について学びました。 (Kono hon wo tsuujite nihon no bunka ni tsuite manabimashita.) I learned about Japanese culture through this book.,
私は音楽を通じて自分の感情を表現します。 (Watashi wa ongaku wo tsuujite jibun no kanjou wo hyougen shimasu.) I express my feelings through music.,
彼らは手紙を通じて連絡を取り合っている。 (Karera wa tegami wo tsuujite renraku wo toriatte iru.) They keep in touch through letters.,
このプロジェクトを通じて多くのことを学びました。 (Kono purojekuto wo tsuujite ooku no koto wo manabimashita.) I learned a lot through this project.,
~を通して (~wo tooshite): through; throughout; during,
窓を通して外の景色が見える。 (Mado wo tooshite soto no keshiki ga mieru.) I can see the outside scenery through the window.,
彼は一年を通して毎日走っている。 (Kare wa ichinen wo tooshite mainichi hashitte iru.) He runs every day throughout the year.,
私は友人を通して彼に紹介された。 (Watashi wa yuujin wo tooshite kare ni shoukai sareta.) I was introduced to him through a friend.,
彼女は電話を通して彼の声を聞いた。 (Kanojo wa denwa wo tooshite kare no koe wo kiita.) She heard his voice through the phone.,
彼はメガネを通して本を読んでいる。 (Kare wa megane wo tooshite hon wo yonde iru.) He is reading a book through his glasses.,
~のもとで (~no moto de): under; in; with,
私は彼の指導のもとで勉強しています。 (Watashi wa kare no shidou no moto de benkyou shite imasu.) I am studying under his guidance.,
彼らは平和のもとで暮らしたいと思っている。 (Karera wa heiwa no moto de kurashitai to omotte iru.) They want to live in peace.,
この橋は有名な建築家の設計のもとで建てられた。 (Kono hashi wa yuumei na kenchikuka no sekkei no moto de tatetareta.) This bridge was built with the design of a famous architect.,
私は彼女の助けのもとでこの仕事を終えることができた。 (Watashi wa kanojo no tasuke no moto de kono shigoto wo oeru koto ga dekita.) I was able to finish this work with her help.,
彼は厳しい規則のもとで育った。 (Kare wa kibishii kisoku no moto de sodatta.) He grew up under strict rules.,
~のもとに (~no moto ni): under; at; to,
彼は木のもとに座っている。 (Kare wa ki no moto ni suwatte iru.) He is sitting under the tree.,
私は彼のもとに手紙を送った。 (Watashi wa kare no moto ni tegami wo okutta.) I sent a letter to him.,
彼女は神のもとに祈った。 (Kanojo wa kami no moto ni inotta.) She prayed to God.,
彼は先生のもとに行って質問した。 (Kare wa sensei no moto ni itte shitsumon shita.) He went to the teacher and asked a question.,
私は彼のもとに戻りたい。 (Watashi wa kare no moto ni modoritai.) I want to go back to him.,
~にもまして (~ni mo mashite): more than; above all,
彼は勉強にもましてスポーツが好きだ。 (Kare wa benkyou ni mo mashite supootsu ga suki da.) He likes sports more than studying.,
私はお金にもまして幸せが欲しい。 (Watashi wa okane ni mo mashite shiawase ga hoshii.) I want happiness more than money.,
彼女は誰にもまして歌が上手だ。 (Kanojo wa dare ni mo mashite uta ga jouzu da.) She sings better than anyone else.,
彼は自分にもまして家族を大切にしている。 (Kare wa jibun ni mo mashite kazoku wo taisetsu ni shite iru.) He values his family more than himself.,
私は彼にもましてあなたを愛している。 (Watashi wa kare ni mo mashite anata wo aishite iru.) I love you more than him.,
~にかかわる (~ni kakawaru): to concern; to affect; to involve,
これはあなたの将来にかかわる問題です。 (Kore wa anata no shourai ni kakawaru mondai desu.) This is a problem that concerns your future.,
彼は政治にかかわる仕事をしている。 (Kare wa seiji ni kakawaru shigoto wo shite iru.) He is doing a job that involves politics.,
私は彼のことにかかわりたくない。 (Watashi wa kare no koto ni kakawaritakunai.) I don’t want to get involved with him.,
この事件にかかわる人物を探しています。 (Kono jiken ni kakawaru jinbutsu wo sagashite imasu.) I am looking for the person who is involved in this case.,
あなたの意見はこの話にかかわりません。 (Anata no iken wa kono hanashi ni kakawarimasen.) Your opinion does not affect this story.,
~にかけては (~ni kakete wa): when it comes to; as for; regarding,
彼は料理にかけてはプロ並みだ。 (Kare wa ryouri ni kakete wa puro nami da.) He is a professional when it comes to cooking.,
私は英語にかけては自信がありません。 (Watashi wa eigo ni kakete wa jishin ga arimasen.) I am not confident when it comes to English.,
彼女はファッションにかけては誰にも負けない。 (Kanojo wa fasshon ni kakete wa dare ni mo makenai.) She is unbeatable when it comes to fashion.,
"彼は勉強にかけては一生懸命だが、成績はあまりよくない。 (Kare wa benkyou ni kakete wa isshoukenmei da ga, seiseki wa amari yoku nai.) He is very hardworking when it comes to studying, but his grades are not very good.",
私は音楽にかけては何でも知っている。 (Watashi wa ongaku ni kakete wa nandemo shitte iru.) I know everything when it comes to music.,
~にして (~ni shite): for; considering; by; as,
彼は医者にして作家だ。 (Kare wa isha ni shite sakka da.) He is a doctor and a writer.,
これは私にして最高の作品だ。 (Kore wa watashi ni shite saikou no sakuhin da.) This is the best work for me.,
彼は若者にしてはとても落ち着いている。 (Kare wa wakamono ni shite wa totemo ochitsuite iru.) He is very calm for a young person.,
この問題はあなたにしては簡単すぎる。 (Kono mondai wa anata ni shite wa kantan sugiru.) This problem is too easy for you.,
彼女は女優にして歌手でもある。 (Kanojo wa joyuu ni shite kashu de mo aru.) She is an actress and also a singer.,
~はともかく (~wa tomokaku): leaving aside; apart from; setting aside ~,
"彼の性格はともかく、彼は優秀な学生だ。 (Kare no seikaku wa tomokaku, kare wa yuushuu na gakusei da.) Leaving aside his personality, he is an excellent student.",
"値段はともかく、この車はとても快適だ。 (Nedan wa tomokaku, kono kuruma wa totemo kaiteki da.) Apart from the price, this car is very comfortable.",
"天気はともかく、今日は楽しい一日になりそうだ。 (Tenki wa tomokaku, kyou wa tanoshii ichinichi ni narisou da.) Setting aside the weather, today seems to be a fun day.",
"彼女の歌声はともかく、彼女のダンスは素晴らしい。 (Kanojo no utagoe wa tomokaku, kanojo no dansu wa subarashii.) Leaving aside her singing voice, her dance is amazing.",
"見た目はともかく、彼の料理はおいしい。 (Mitame wa tomokaku, kare no ryouri wa oishii.) Apart from the appearance, his cooking is delicious.",
"<b>~はともかくとして (~wa tomokaku toshite) - putting aside, regardless of, whether or not</b>",
1 彼の意見はともかくとして、私たちは自分たちの判断をしなければならない。,"1 Putting aside his opinion, we have to make our own judgment."
2 この本は売れるかどうかはともかくとして、私は書きたいことを書いた。,"2 Regardless of whether this book sells or not, I wrote what I wanted to write."
3 彼が来るか来ないかはともかくとして、私はパーティーを楽しむつもりだ。,"3 Whether he comes or not, I intend to enjoy the party."
4 その映画が面白いかどうかはともかくとして、彼女は有名な女優だから見に行く。,"4 Whether that movie is interesting or not, she will go to see it because she is a famous actress."
