Expression,Scripts
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/H8povq08Hqo"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",tokui-video
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/RerNwK2hij4"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",takizawa-secret-base
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/11eoVmeaXXk"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",haruna-kawaguchi
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/YU3Ckc7oj2w"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",kohara-konomi
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/ZVyE7fVW4qg"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",senchan
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/DwOCCXLVjCw"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",ibaraki-tv
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/Gzh79vA_Ql0"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",haruka-fukuhara
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/wpqVmVVVc-k"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",announcer-yuru-ch
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/fNpzTFJrr3I"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",i-chapter-film
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/81bM3JrCUGs"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",i-chapter-film
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/CWOqIkn-5AE"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",ibaraki-ken
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/KGnYkYkCNJA"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",naotoniku
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/_hcNeoCdT0k"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",morry-travel
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/Cyai-62oueg"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",morry-travel
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/KVC2NCfqDjM"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",asahi-shinbun-digital
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/zofgz9KZEB8"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",asahi-shinbun-digital
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/XScdd4S39iA"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",asahi-shinbun-digital
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/1oLWQeQWhp4"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",haruka-fukuhara
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/BBvo02Ec1lM"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",nogizaka-haishin-chuu
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/ywErjLjmbfI"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",nogizaka-haishin-chuu
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/yBr2TG3hMkQ"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",haruna-kawaguchi
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/EelHvdWOZ54"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",nogizaka-haishin-chuu
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/Tkuq9CpoPsM"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",morinaga
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/rm4Cmaky0dM"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",morinaga
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/4hmY_F1hi3s"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",nogizaka-haishin-chuu
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/hUQGtdnhEZQ"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",nonyaru-ch
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/xL3RkaikCGU"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",announcer-yuru-ch
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/SVz1Ei20GBg"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",announcer-yuru-ch
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/O7413QEmcCQ"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",koshiro-aya
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/2aey_7aqhTs"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",takashi-no-heya
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/OtDSJEa0CLo"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",takashi-no-heya
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/-RCj6f9mrso"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",takashi-no-heya
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/rPbjkreH0U0"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",takashi-no-heya
