W1,T1,W2,T2,W3,T3,W4,T4,W5,T5,W6,T6
命名,Naming,カレッジ,college,仮設,Temporary,利上げ,interest rate hike,査察,Inspection,セール,Sale
アカウント,Account,突き進む,push forward,位置づけ,Location,増収,increase revenue,ショック,Shock,エネルギー,Energy
県内,Within,セクター,sector,粘土,Clay,東亜,East Asia,アルコール,Alcohol,イスラム教,Islam
スライド,Slide,回し,turn,受診,Medical checkup,後期,later,東欧,Eastern Europe,顔つき,Face
前回,Previous,極度,Extreme,権益,rights and benefits,英,British,どういう,What do you mean?,手持ち,Hand Holding
贈与,Giving,リハビリ,Rehab,違法,illegal,ノック,Knock,日刊,Daily,両論,both sides of the argument
始動,Start,ディスク,Disk,後押し,pushing back,フライ,Fly,クッション,Cushion,参画,participation
帰路,Return,プロフェッショナル,Professional,ゆえに,therefore,思いっきり,boldly,造形,molding,見分ける,distinguish
インテリ,Intelli,長時間,Long time,共催,co-sponsorship,特性,Characteristics,割高,relatively high,起訴,prosecution
海面,Sea surface,順位,Rank,勝訴,winning a lawsuit,入り込む,penetration,高温,High temperature,古来,ancient
移植,transplant,白紙,blank,モデム,modem,放火,Arson,値上げ,price increase,本社,Headquarters
噺,story,要綱,outline,出荷,shipping,ボート,Boat,絶大,immense,中南米,Latin America
半減,half reduction,創始,creation,書き直す,Rewrite,メモ,Memo,なお,more,戸惑う,confused
創価学会,Soka Gakkai,下地,groundwork,他国,other countries,紛失,Loss,テーマ,Theme,信念,Beliefs
増員,more members,スケジュール,schedule,種々,various,花屋,Florist,物足りない,Not enough,首長,Sheikh
投球,pitching,くぐる,go through,連,Ren,怪獣,Monster,材,Material,あえて,Dare
香港,Hong Kong,歯止め,curb,西欧,Western Europe,中学生,Junior high school student,ストレス,stress,ストア,store
チャレンジ,Challenge,祖父母,Grandparents,庁舎,government office,イン,In,ただす,Justify,倉,warehouse
証券,Securities,改訂,revision,ブルー,Blue,男らしい,Manly,公債,public debt,サンフランシスコ,San Francisco
同年,same year,近づける,approach,玄米,Brown rice,聞かす,listen to,生後,after birth,活,life
配信,Delivery,生成,generate,併用,combined,精,spirit,とりわけ,among others,コンセプト,Concept
名目,Nominal,併設,annex,原告,Plaintiff,プラザ,Plaza,受信,reception,バレエ,ballet
スパイク,Spike,余儀ない,unavoidable,ホイール,Wheel,強豪,strong,改装,remodeling,刑罰,Punishment
代物,substitute,懸案,Pending,東側,East side,割り切る,divide,例会,regular meeting,累計,Cumulative total
出題,title,顧客,customer,ピンチ,Pinch,昨年,last year,留める,keep,うなずく,Nod
邦人,Japanese,取消,cancelled,反動,Rebound,そして,and,五感,five senses,除去,Removal
折り紙,Origami,学院,academy,漢方,Chinese,新型,new,ポルシェ,Porsche,常任,Standing
ドライバー,Driver,沿う,follow,ツール,Tool,現時点,at this time,ラテン語,Latin,キープ,Keep
解雇,Dismissal,暴く,expose,対外,Foreign,長期間,long term,つまり,in other words,文庫,Bunko
不快,Discomfort,総じて,in general,ご苦労,trouble,子ども,Children,遠ざかる,far away,処遇,treatment
ドラフト,Draft,乗用車,Passenger car,校正,Calibration,クーラー,Cooler,そいつ,that guy,信徒,congregation
その他,Other,ローン,loan,直,Direct,蟹,Crabs,制御,control,逸品,gem
正論,Good arguments,もしくは,or,マガジン,Magazine,差し支える,Support,ブレーキ,brake,神宮,Jingu
パラメータ,Parameters,堤,Dike,異性,isomerism,勃発,Outbreaks,ホラー,Horror,年長,Elderly
義務付ける,Mandate,ヘビー,Heavy,りんご,apple,しばしば,often,積雪,Snow,被験者,Subjects
サーカス,Circus,数々,Numerous,ネーム,names,潮流,tidal current,マニアック,Maniac,おっぱい,Boobs
つる,Vine,シベリア,Siberia,人情,humanity,若年,youth,私学,Private school,カメラマン,cameraman
マイ,My,金利,Interest rate,耐性,resistance,内需,domestic demand,有する,Own,志願,Volunteers
意味合い,Implications,奨学,Scholarship,推計,Estimation,サウンド,Sound,ベランダ,Balcony,買い手,Buyer
資する,contribute,エンジニア,Engineer,下部,lower part,卓,table,異変,Anomalies,病人,Sick
発信,send out,大阪,Osaka,内戦,Civil War,主流,Mainstream,人魚,Mermaids,後遺症,After-effects
決め手,decisive factor,一言,One word,エース,Ace,水中,Underwater,居酒屋,Tavern,マック,Mac
これ,this,完璧,perfect,ワイルド,Wild,スピーチ,Speech,統括,Supervision,水族館,aquarium
見渡す,look around,手記,Memoir,シャッター,Shutter,ピン,Pin,セッティング,Setting,担い手,bearer
並み,level,両者,Both,謝罪,Apology,数値,Numbers,逸脱,deviation,肩書き,Title
ケンブリッジ,Cambridge,兵,soldiers,自信,Confidence,生誕,Birth,当局,Authorities,定款,Articles of Incorporation
アレルギー,allergy,記,Records,室長,Room Manager,セッション,Session,時価,Market value,決着,settlement
推察,guess,同性,Same sex,買収,Takeover,呟く,Mutter,洋楽,Western music,大物,big thing
寝室,Bedroom,エンディング,ending,緒,beginning,現われる,Appear,面倒くさい,troublesome,悲しみ,sadness
悪徳,vice,見聞,seeing and hearing,矢先,arrowhead,監禁,Confinement,段取り,arrangements,硬直,rigidity
院長,director,レバー,lever,お願い,please,ハードディスク,Hard disk,アップル,Apple,綱領,principles
表明,representation,図解,illustration,常務,Executive Director,域,region,壁紙,wallpaper,かも,Maybe
給油,oil supply,書式,Formatting,戦死,death in battle,ストーリー,Story,優越,superiority,星空,starry sky
自律,Autonomy,使い捨て,Disposable,終焉,demise,症例,case,待ち受ける,Waiting,感受性,sensitivity
何事,what to do,仮に,Temporary,援護,support,豪快,dynamic,ラリー,Rally,よっぽど,very much
生育,growth,何ら,any,自営業,self-employment,巻き込む,Involving,垣間見る,Glimpse,特約,special agreement
県知事,prefectural governor,判例,precedent,着手,starting work,満腹,full stomach,待ち時間,Waiting,北上,northward
ファイト,Fight,反する,contrary to,仮処分,provisional disposition,給付,Benefits,醸造,Brewing,摘発,expose
申,申,新,New,半角,half angle,中央アジア,Central Asia,推論,Inference,いやいや,"no, no, no"
チーズ,Cheese,協同,cooperation,恐竜,dinosaur,腰痛,back pain,フォーマット,Formatting,別物,different
ショー,Show,戦犯,war criminal,左足,left foot,主力,main force,障壁,Barriers,興行,entertainment
最前線,Front Line,購読,Subscription,担任,homeroom teacher,恐慌,Depression,益,benefit,速報,breaking news
平面,Plane,モーター,Motor,なかなか,middle,省庁,Ministry,ミリ,Milli,キッチン,Kitchen
幅広い,Wide,備蓄,stockpile,照射,Illumination,指標,Indicators,ノミネート,Nominate,路上,On the Road
鉄骨,Steel frame,定型,regular type,ホワイト,white,伊達,Date,発覚,revelation,塩素,Chlorine
継ぐ,Succession,腎臓,Kidney,元素,element,改築,Reconstruction,足場,Scaffolding,共有,Share
マネージャー,Manager,辞任,resignation,喜ばしい,pleasing,答弁,answer,招集,convene,下請,Subcontracting
部会,Division,ディーラー,Dealer,店頭,Store floor,貴い,precious,開ける,open,思いやり,Compassion
取得,Acquisition,欠かす,lack,フロア,Floor,かつ,Live,書面,document,布告,Propaganda
仮称,temporary name,常々,always,交易,Trade,上限,upper limit,消失,disappearance,マフィア,Mafia
金髪,Blond hair,ちなみに,Incidentally,戦場,Battlefield,サイト,site,世俗,worldly,金色,Gold
特異,Speciality,装う,pretend,柴,Shiba,オプション,options,無人,uninhabited,合法,Lawful
殺る,kill,会食,dinner,上映,Screening,要注意,Caution,唄う,sing,心強い,reassuring
連覇,consecutive victories,スーツ,suit,オフィス,Office,アイデンティティ,Identity,ワンピース,one piece,盛り上がる,get excited
珍,rare,スキー,skiing,スケート,Skating,愕然,shock,自我,ego,踏み入れる,step into
大作,great work,バスケットボール,Basketball,拷問,Torture,擦る,rub,リリース,release,カセット,cassette
山脈,mountain range,ステージ,Stage,荒木,Araki,斬新,novel,定額,fixed price,近年,Recent years
宛,address,仲介,Mediation,回る,Spinning,山中,in the mountains,素顔,true face,トレーナー,Trainer
顧みる,look back,眼,Eye,コマーシャル,Commercial,西側,west side,許諾,permission,歩行,Walking
シート,sheet,館長,Curator,むら,Mura,プリンター,Printer,挙式,Ceremony,痛める,Hurt
部落,tribe,ジャズ,Jazz,大国,Powers,構築,construction,クロス,Cross,縁起,good luck
地上,Ground,カリフォルニア,California,書き込み,Writing,真夜中,Midnight,商法,commercial law,国庫,National treasury
中国,China,満月,Full moon,再販,Resale,精製,Refining,光学,optics,右足,Right foot
負,negative,現像,Development,規程,Regulations,義母,Mother-in-law,懲戒,disciplinary,町内,Town
景観,Landscape,実演,Demonstration,レギュラー,Regular,チャンス,Chance,長調,long form,モード,mode
参入,Entry,マクドナルド,McDonald's,満席,Full Seats,噴出,eruption,宙,space,答申,report
アトラクション,Attraction,受託,Entrusted,ボクシング,Boxing,題材,subject,北側,North,リソース,Resources
出くわす,come across,さっと,Quickly,登記,registration,オファー,Offer,パンダ,panda,路線,Route
商談,business meeting,山村,Yamamura,出向く,Departing,ライター,Writer,幾度,many times,ライオン,Lion
ヒット,Hit,空腹,Hunger,反転,Inversion,さながら,just like,台無し,spoiled,フットボール,Footballs
水上,on the water,落選,rejection,タイヤ,Tire,スコア,Score,求職,job seeking,未明,unknown
こら,cholera,大雪,Heavy snow,虚構,fiction,呼び名,nickname,七月,July,生み出す,produce
根気,perseverance,概略,Outline,素子,element,車種,Car type,咲かせる,make it bloom,唐突,sudden
産む,produce,監獄,prison,クリスマス,Christmas,取り扱う,Handle,周波数,Frequency,フォント,font
取り消し,cancel,名乗る,Name,暗示,suggestion,ラケット,Racket,復帰,Return,カイロ,Cairo
振替,transfer,過度,Excessive,デスク,desk,下落,fall,乗り,ride,録画,recording
不自然,unnatural,万が一,in case of emergency,出来高,volume,漏らす,divulge,女児,Girl,動的,dynamic
効能,efficacy,将校,officer,考案,idea,中傷,slander,後半,Second half,アクション,Action
神道,Shinto,数量,Quantity,錠,lock,配属,Assign,電磁波,Electromagnetic wave,言うまでもない,Needless to say
苛立つ,Irritation,保健所,Health Center,接着,gluing,積み上げる,pile up,見え,visibility,永続,Permanent
余剰,Surplus,緊密,Close,便秘,constipation,同時に,Simultaneously,抜け出す,Getting out,建設省,Ministry of Construction
軍部,Military,所存,Presence,共生,Symbiosis,組み立て,Assemble,根性,perseverance,曲目,tune
出馬,Running for office,ベスト,Best,高揚,uplift,アクセサリー,Accessories,非公式,Unofficial,アクセス,Access
オンライン,online,自白,Confession,争点,Dispute,療法,Therapy,ワクチン,Vaccine,冊子,Booklet
いいえ,"No, sir.",高官,high official,肥満,Obesity,潜水,Diving,総額,Total,環境庁,Environment Agency
次官,Vice Minister,木星,Jupiter,左側,Left side,農,farming,中期,Mid-term,母体,Mother
求む,Seeking,糧,food,暗闇,Darkness,回想,Recollection,初恋,First love,半日,half day
実務,Business,編著,edited by,惚れる,fall in love,劉,Liu,検挙,Prosecutions,惜しむ,regret
すぐ,immediately,称する,Praise,犯行,crime,利潤,Lijun,長年,Many years,小麦粉,Wheat flour
ポップス,Pops.,館内,Museum,先取り,preoccupation,同国,The Same Country,感性,Sensitivity,朝日,Morning sun
厚生省,Ministry of Health and Welfare,因子,Factor,前年度,previous year,ミステリー,Mystery,国土,Land,点灯,lighting
寅,Tiger,パスタ,Pasta,達人,Guru,定例,Regular,賄う,pay,的中,target
先駆,Pioneer,ヒトラー,Hitler,経済企画庁,Economic Planning Agency,マスター,Master,携わる,engage in,ソニー,Sony
アプローチ,approach,個展,Solo Exhibition,転倒,fall,爽快,Exhilaration,換金,cash,拠出,Contribution
通りすがり,Passing by,順次,Sequential,日報,Daily Report,テロリスト,Terrorist,褒美,reward,チェーン,chain
皆無,none,おにぎり,Rice ball,キリスト教徒,Christians,仕込む,Build,画一,standardization,術,Technology
坂道,Slope,人参,Ginseng,蜜,nectar,裁定,Ruling,大嫌い,hate,バグ,Bugs
石綿,asbestos,持ち歩く,Carry,作詞,Lyrics,財団,Foundation,愚か,foolish,全面,All
暗黙,Implicit,内外,inside and outside,サングラス,sunglasses,風味,Flavor,後日,later,終戦,End of war
社外,Outside the company,品目,item,増,more,入,enter,チェックイン,Check-in,アイス,Ice
激減,drastic decrease,親会社,parent company,火葬,cremation,消極,negative,電圧,Voltage,マット,Matte
労働省,Ministry of Labor,手直し,alterations,ジャケット,jacket,補足,Supplement,更生,Reorganization,定着,Fixation
償う,compensate,上半身,upper half of body,ツイン,twin,イスラム,Islam,献金,Donation,槍,Spear
控え,refrain,抵触,conflict,長生き,Long life,ピラミッド,Pyramid,見積もる,Estimate,海水,Seawater
ファッション,fashion,ブラインド,blinds,とりあえず,For now,大笑い,Big laugh,則る,Follow,インストラクター,Instructor
つばき,Camellia,ニーズ,Needs,トレンド,Trend,ヒント,Tips,報う,reward,コメディ,Comedy
仏像,Buddha image,リンク,Links,催す,Attract,自閉症,Autism,民家,home,断ち切る,Cut it off
病室,sickroom,車両,Vehicles,引き寄せる,Attract,反す,return,面談,Interview,忍者,Ninja
売場,sales floor,電化,electrification,所長,director,今時,Nowadays,チェック,Check,はじく,Popping
語源,Etymology,軽視,Neglect,潔い,graceful,入所,admission,双方,both parties,夜空,Night Sky
浮気,affair,窃盗,Theft,係員,attendant,医薬,medicine,在籍,enrollment,南東,Southeast
前方,forward,韓国,Korea,ビタミン,vitamin,加,addition,樽,barrel,合宿,training camp
こまめ,diligent,定数,constant,奥行き,Depth,ここら,here,発光,Luminescence,市内,city
淡々,indifferent,これら,these,巡礼,pilgrimage,現物,things,プラットフォーム,platform,トライ,Try
友だち,friend,虜,prisoners,一人暮らし,Living alone,心境,mental state,親子,parent and child,分岐,fork
投機,speculation,人脈,connections,兆候,Signs,転移,transition,再編,Reorganization,必勝,victory
沖縄,Okinawa,川柳,willow,ショパン,Chopin,健在,alive and well,マレーシア,Malaysia,例年,Regular year
遅らせる,delay,労災,Workers' compensation,ヴァイオリン,violin,インテル,Intel,名曲,Masterpiece,小川,Ogawa
谷川,Valley River,演じる,play,起用,Appointment,回帰,regression,派兵,Deployment,散会,meeting
サンプル,Sample,明細,details,不安定,Instability,最悪,Worst,西海岸,West Coast,思い当たる,come to mind
つかえる,seize,見回す,look around,想い出,Remembrance,計測,measurement,ビーチ,Beach,ボルト,Bolt
苦悩,Suffering,機種,model,巨額,huge amount of money,外,outside,しかしながら,However,スパイ,Spy
レーダー,Radar,明快,clarity,詰め込む,cramming,口語,spoken language,ホームラン,Home Run,薪,Firewood
ランニング,Running,紫外線,UV light,キーボード,Keyboard,修学旅行,School trip,適格,Eligible,召集,summon
ブラシ,Brush,宮廷,Court,パソコン,computer,ランキング,Ranking,情景,Scene,インク,ink
コマンド,Command,航空機,Aircraft,生死,life and death,位置付ける,Positioning,アポ,Apo,気合,spirit
ケニア,Kenya,手助け,Helping hand,まま,as is,想定,Assumption,守,defense,手渡す,hand over
青空,Blue sky,農政,Agricultural Policy,少額,small amount,ティッシュ,Tissue,一挙,one hit,射殺,shoot to kill
機,Plane,生計,Livelihood,アウト,Out,必至,inevitable,称える,praise,施す,give
思い通り,As you wish,エゴ,Ego,エレクトロニクス,Electronics,跡地,site,イブ,Eve,ディスカウント,discount
まだまだ,Not yet,リハーサル,Rehearsal,偵察,Reconnaissance,弾ける,burst,快い,pleasant,分断,divide
明治,Meiji,商用,Commercial,ワイヤー,Wire,肖像,Portrait,私見,my opinion,文字通り,Literally
ラスト,The last,配線,Wiring,地検,District Attorney,エンジニアリング,engineering,あずかる,have the privilege of,一体化,Unify
給,supply,走り,Running,嬢,daughter,ちょこっと,A little,判明,Find out,愉しい,Fun
勘弁,I'm sorry,無茶,reckless,連ねる,join,手動,Manual,病棟,ward,文部,Literature
入居,Moving in,年下,Younger,対価,price,トロイ,Troy,代議士,delegate,挙句,after all
異質,heterogeneity,有用,useful,座長,chairman,団子,Dumpling,労組,labor union,中庭,courtyard
真意,true meaning,物色,picking up things,きのこ,mushroom,リフォーム,Remodeling,一貫,consistent,波及,ripple
貯まる,accumulate,如く,the same as,多忙,busy,南側,South side,出番,attendance,野中,in the field
関心事,concern,後部,rear,利権,interest,更新,Update,身内,relatives,言い渡す,say
残虐,cruelty,ノーベル,Nobel,ロケット,rocket,共用,Common use,見かける,see,売り手,Seller
糞,Feces,最多,Most,在外,abroad,滑らか,Smooth,大手,major,標的,Target
コーラ,Cora,埋葬,Burial,簡潔,Simplicity,建国,Kenkoku,付録,appendix,市立,Municipal
犯す,Violate,メディア,Media,ドル,dollar,開業,Opening,ジュネーブ,Geneva,税法,tax law
アンコール,Encore,タブー,Taboo,フレーズ,Phrase,初版,First edition,リフト,Lift,めど,goal
中華,Chinese,差異,Differences,プロフィール,Profile,ジル,Jill,辛口,Dry,要塞,fortress
ドラム,Drum,カー,Car,送り込む,send to,ありがと,Thanks,オーダー,Order,スーパーマーケット,supermarkets
思案,ponder,生前,Before death,不問,Unanswered,酒造,sake brewing,落とす,Drop,賛美,praise
仕切る,take charge,重み,weight,もう少し,A little more,儀,ceremony,体内,inside the body,鶴,Crane
進め方,how to proceed,言明,statement,宿舎,accommodation,クラブ,Club,開店,Open,試料,sample
造成,molding,表れる,manifestation,弾む,bounce,神父,Priest,陛下,His Majesty,ろくに,Roku
赤外線,infrared,男女,gender,打ち込む,Hammer in,農林,Agriculture and Forestry,甥,Nephew,初頭,First head
歌詞,lyrics,特価,Special price,ウイルス,Virus,潜在,potential,失格,Disqualification,白色,White
オーナー,Owner,等級,Grade,骨格,Skeleton,それどころか,on the contrary,通告,Notice,音声,Voice
神経質,Nervousness,海苔,seaweed,おおい,heavy,かなた,beyond,カロリー,calories,社民党,Social Democratic Party
海賊,pirate,同胞,compatriot,折衝,negotiation,助成,Subsidies,ボックス,Box,減量,Weight loss
税制,Taxation,ダイエット,Diet,子会社,Subsidiary,禁,ban,準決勝,Semifinal,マーケット,Market
伝道,Evangelism,局面,Local,希薄,dilute,解析,analysis,直接的,Direct,マンハッタン,Manhattan
極秘,Top Secret,和食,Japanese food,醸成,foster,減,Reduction,操る,Manipulation,熱気,Hot Air
染まる,dyed in the wool,倒壊,Collapse,呼び出し,call,教職員,faculty and staff,退去,Retreat,高性能,High Performance
特筆,special,オイル,Oil,調教,Training,不平等,Inequality,コーラス,Chorus,部位,Part
スピード,speed,こだわる,particular about,クイズ,quiz,争う,Dispute,口座,Account,黒人,Black
訳注,translation,部数,Parts,解体,Deconstruction,違憲,unconstitutional,難点,Difficulties,パーセント,Percent
持ち込む,bring in,海老,Shrimp,市町村,City,スト,strike,収縮,contraction,動き回る,Move around
オリンピック,Olympics,カーン,Kern,現況,Current Situation,耐久,Endurance,ロック,Rock,陳情,Petition
優良,excellent,歩き回る,Walk around,タッチ,Touch,酔っ払う,get drunk,都度,occasion,リスト,List
解消,Cancellation,疑わしい,suspicious,自社,In-house,遥か,far,悟る,understanding,高山,Alpine
簿記,bookkeeping,ちゃう,be,ユナイテッド,United,民営,privatization,論点,point of view,言い分,Argument
上層,upper class,食用,Edible,ニューヨーク,New York,交える,intersect,円形,circular,メカニズム,Mechanism
種族,Race,新作,New work,練る,knead,視力,Sight,清算,liquidation,日ごろ,Daily
上記,Above,総理,Prime Minister,年頃,around the year,受け付ける,accept,共済,mutual aid,アダプタ,Adapter
格安,Cheap,クリーム,Cream,裏付ける,endorse,交代,alternation,従属,Dependent,使える,Can be used
添削,correction,店長,manager,プレッシャー,pressure,先行き,go ahead,ブーム,Boom,ニュアンス,Nuance
解明,clarification,接待,business entertainment,松原,Matsubara,スープ,soup,嫌がらせ,Harassment,小型,Small Size
駆る,drive,本題,main topic,フィート,feet,軽快,light,とき,When,ドン,Don
感知,perceive,書簡,letter,ミシン,Perforation,一味,one flavor,顕在,manifestation,検閲,Censorship
ランチ,lunch,アプリケーション,Application,一段,one step,有事,emergency,司祭,Priest,近づく,Approaching
融通,flexibility,コンテスト,Contests,事象,event,偏る,bias,年内,Within the year,広範囲,Extensive
納豆,natto (fermented soybeans),乳幼児,Infants,水槽,Water tank,オンリー,only,早期,Early,不適切,Inappropriate
国民党,KMT,座,Za,リーディング,leading,癌,cancer,焼肉,Yakiniku,往々,often
探し出す,Find out,賞賛,Praise,立ち去る,leaving,占有,Occupy,グラウンド,Ground,告げる,tell
クライマックス,Climax,新橋,Shinbashi,割愛,giving up,却下,Reject,ふむ,Hmm.,タール,tar
トンネル,Tunnel,調達,Procurement,毒性,Toxicity,麦,Wheat,画質,Image quality,貸付,Loan
即時,Immediate,舞踏,Butoh,広報,Publicity,図式,Diagram,下院,House of Representatives,横たわる,Lie Down
力士,Wrestler,郵政,Postal Service,種目,Species,機動,mobility,マニュアル,Manual,新曲,new song
フランス語,French,濃縮,Concentration,天文学,Astronomy,長寿,Longevity,種子,Seeds,退治,extermination
定量,Quantitative,疎い,Sparse,支え,Support,即興,Improvisation,ぐるみ,package,在宅,home
求人,Jobs,スペシャル,Special,損ねる,Loss,プレス,Press,低温,Low temperature,世界一,the best in the world
地道,steady,九州,Kyushu,ベース,Base,倍増,doubling,飼料,Feed,出向,going out
サーブ,Saab,県立,Prefectural,国内,Domestic,伝導,Conduction,偽善,Hypocrisy,指先,Fingertips
石橋,Stone Bridge,告知,Notice,強まる,Strengthen,エッセイ,Essay,ぼちぼち,by and by,興,promotion
電動,electric,暴力団,Gangster,スポンサー,Sponsor,パキスタン,Pakistan,生殖,reproduction,人名,person's name
英単語,English word,ユーモア,Humor,唄,song,突如,Suddenly,副業,Sideline,奮闘,struggle
リッチ,Rich,シャトル,Shuttle,序盤,early stage,ジム,Jim,銃撃,Gunfire,シドニー,Sydney
おい,Hey,愛用,favorite,上流,upstream,回線,line,牙,Fang,抑える,hold back
決済,Payment,精通,knowledge,インチキ,bogus,モル,Mal,見返り,Quid pro quo,だるい,sluggish
金メダル,Gold medal,居場所,Location,不気味,Eerie,点字,Braille,選抜,Selection,云々,say
日本円,Japanese Yen,取組,tackle,徴兵,conscription,軽量,Lightweight,懸賞,prize,派閥,faction
案の定,as expected,荒らす,destroy,デッキ,deck,境内,Precinct,末端,end,紀行,travelogue
ちょうど,Just,非常識,insanity,手腕,Hand,円盤,Disk,米価,rice price,現存,existing
厚み,Thickness,見張る,watch,断面,cross section,卸,Wholesale,完売,selling out,新規,new
祖,ancestor,馴染む,fit in,ファミリー,Family,夜景,Night view,楽曲,music,こうした,Such
傷害,Injury,学園,school,体,body,チップ,Chip,元,original,国営,state-run
巻末,end of book,多量,large amount,知らす,Know,返却,Return,儀礼,ritual,時給,hourly rate
渋い,astringent,急性,Acute,ノブ,knobs,浴びせる,shower,伴,accompaniment,買取,Purchase
重宝,treasure,画面,Screen,休日,holiday,宇宙船,Spaceship,ベーコン,Bacon,空軍,Air Force
所見,findings,室内,indoor,重んじる,respect,率先,initiative,周知,publicity,新卒,new graduates
疎通,communication,細か,fine,島根,Shimane,センチ,centimeter,短時間,short time,幹事,secretary
竿,rod,不可能,Impossible,荒廃,devastation,激怒,Furious,大雑把,general,スーパー,super
歴代,history,百貨店,Department Store,大量,Mass,証書,certificate,例文,Example sentence,遂げる,accomplish
レッスン,Lesson,銀河,Galaxy,華麗,Splendor,野望,Ambition,試食,Tasting,人為,humanity
日本一,Japan's best,日焼け,Sunburn,小山,Small mountain,マネジメント,Management,退席,Leaving the room,左上,top left
勘案,consideration,北朝鮮,North Korea,転売,Resale,探求,Quest,形状,shape,執着,persistence
貧弱,poor,建材,Building materials,王道,Royal road,取り締まる,Crack down,病理,Pathology,復元,restore
キャリア,Career,ケーキ,Cake,当地,this area,落ち,Fall,ジョン,John,忠告,advice
自動的,Automatic,郵政省,Ministry of Posts and Telecommunications,打ち切る,Discontinue,モロッコ,Morocco,逃避,Escape,メイン,Main
実況,actual situation,淵,abyss,事例,Example,埋まる,buried,叫び,Scream,主審,Chief referee
引き続き,Continue,延べ,extension,菊,Chrysanthemum,大雨,heavy rain,急上昇,Rapid ascent,本番,main event
ジャーナリズム,Journalism,隠蔽,Concealment,器官,Instrument,通算,total,察知,Perception,仏壇,Buddha's altar
理学,Science,バリエーション,Variation,財務,Finance,尽きる,run out,小銭,Small change,有識者,expert
本年,This year,ちょう,length,年来,for years,クリップ,clip,素早い,quick,ファイル,File
社名,Company name,流用,diversion,これ,this,副作用,Side effects,根付く,take root,分業,division of labor
二酸化炭素,carbon dioxide,カテゴリー,Category,総体,Total,前衛,Vanguard,暗号,Cryptography,何気ない,casual
在住,residence,駅前,Station,インタビュー,Interview,ユーザー,User,遅延,Delay,マンション,Apartment
定食,set meal,狩猟,Hunting,通話,Call,アイテム,Item,ゆかり,light,民事,Civil
イコール,equal,決めつける,Determine,獣医,Vet,聖霊,Holy Spirit,スター,Star,作り,Making
入り込む,enter,ヒーロー,Hero,サーバ,Server,昇格,Promotion,田んぼ,rice paddy,イデオロギー,Ideology
極限,extremes,受講,Taking a course,草原,Grassland,拒む,Refuse,飲食,Eating and drinking,しまう,put away
著作,Copyright,ある,have,命題,Proposition,ひいては,By extension,定住,Settlement,父母,Parents
ポンプ,pump,他社,Other companies,次期,next,山々,mountains,ソ連,Soviet Union,ミニ,Mini
総勢,total,劇的,Dramatic,理,theory,史料,archives,当社,Our Company,インターネット,Internet
探査,exploration,シリアス,Serious,くり,logic,コーナー,Corner,結び付ける,Binding,読み物,reading
スパイス,Spice,申し入れ,Offer,音質,Sound quality,キャンペーン,Campaign,とりあえず,for now,会期,session
ポテト,Potato,傲慢,Arrogance,抱きしめる,embrace,要件,Requirements,たくましい,strong,日頃,Daily
いいかげん,Not good,ラッシュ,Rush,従軍,Engagement,ワイン,Wine,洞,cave,リズム,Rhythm
ジャングル,Jungle,躍進,Breakthrough,税収,Tax revenue,子犬,Puppies,とことん,all the way,投稿,Posts
心構え,preparedness,サスペンス,Suspense,シュート,Shoot,駐留,Garrisoning,イラク,Iraq,杯,Cup
