Concept,Information
Tactile encoding,Encoding information perceive through sense of touch.
Kinesthetic encoding,Joint and muscle sensor. Receptors in the joints detect their movement. Position of limbs are being monitor to correct balance. Muscles sensors detects the stretching and contracting of muscles as well as the forces that are acting on it. Somatic sensory cortex. 
Other Sensory encoding,Smelling scents. Tasting flavors. Olfactory receptors detects scent. Olfactory bulb gathers scent signals and passes them to the brain. Taste buds detect the taste.
Semantic encoding,Encoding sensory input that has a particular meaning or context. Facts and details.
Complex encoding,Combinations of encoding techniques.
Processing,.
Shallow processing,"Encoding information on basic level. Auditory or visual level. Based on the sound, structure or appearance of a word + low level encapsulation."
Deep processing,Encodes semantically based on the actual meaning of the word or combination of encoding techniques + high level encapsulation.
Memorization techniques,.
Mnemonics,"Memory aids. Use vivid imagery and organizational devices. Acronym, rhymes, musical, acrostics, imagery."
Chunking,Organizing items into familiar manageable units.
Trip method,Shopping list. Checklist.
Association,"Associate, link, connect or attribute an info from other information."
Space repetition,"Review learned information in a specified time frame.  Ex. After an hour then after a day then after a week then after a month then after 3 months."
Mind maps,Creative and effective note taking. Offers an overview of topic and complex information in a visual form.
Learning techniques,.
Remembering,"Recall facts and basic concept. Define, duplicate, list, memorize, repeat, state."
Understanding,"Explain ideas or concept. Classify, describe, discuss, explain, identify, locate, recognize, report, select, translate."
Applying,"Use information in new situation. Execute, implement, solve, use, demonstrate, interpret, operate, schedule, sketch."
Analyzing,"Draw connections among ideas. Differentiate, organize, relate, compare, contrast, distinguish, examine, experiment, question."
Evaluating,"Justify a stand or decision. Appraise, argue, defend, judge, select, support, value, critique, weigh."
Creating,"Produce new or original work. Design, assemble, construct, conjecture, develop, formulate."
Speaking,.
Having a voice,Holding a conversation depends on both the organs of speech and mental processing.
Lips,Change shape to alter sounds.
Tongue,Changes shape and position to modify word sounds.
Vocal chords,Sheets of fibrous tissue that open and close to alter sound and pitch.
Broca’s area,Controls speech production.
Auditory area,Analyzes speech sounds and tone of voice.
Visual area,Analyzes nerve impulses from the eyes.
Wernicke’s area,Interprets from both visual and audio areas.
Motor area,Sends signals to muscles that produce speech
Language learning,.
Input,Reading. Listening.
Output,Speaking. Writing.
Reading,Silent reading (read through the eyes without speaking). Read aloud (read through the eyes while speaking).
Listening,Listening to audio files. Listening to video files (able to see what is being depicted in the video).
Speaking,Speaking while at the materials being read. Speaking your thoughts.
Writing,Writing and copying the reference material. Writing characters and sentences from your thoughts.
Stacking up inputs,With reading and listening the information are being encoded into the brain in multiple ways which can create memory traces. In order to create more neuron connections you can apply memorization and learning techniques and thus strengthen this traces or memories.
Outputting,Speaking and writing are skills or abilities which needs to be practice in order to create procedural memories. It does also add another layer of encoding information to our brain which improve kinesthetics or reflexes.
Making mistakes,Making a mistake is considered to be a personal life event which a memory can be formed out it.
Learning Japanese language,.
Learn the scripts,Hiragana. Katakana. Kanji.
Hiragana,Phonetic script for Japanese sounds.
Katakana ,Phonetic script for foreign loan sounds.
Kanji,Kanji was based on Chinese characters which represents a word and a meaning.
Basic words,Words used in daily life.
Basic word order,Subject-Object-Verb Order.
Basic expressions,"Greetings, etc."
Basic grammar pattern,Structured grammatical patterns.
Types of words,"Nouns, Pronouns, Adjectives, Adverbs, Onomatope, Verbs, Particles, etc."
Types of sentences,"Adjectival, Nominal, Verbal, Existential, Topic-comment sentence."
Sentence structure,Sentence composition.
Stack up input,Reading. Listening.
Start outputting,Speaking. Writing.
Communication Strategy,.
Calling an attention,Different ways to attract someone’s attention.
Response,How to respond if some is calling your attention.
Start a conversation,How to initiate a conversation.
Ending a conversation,How to end a conversation.
Topic introduction,How to introduce a topic.
Topic change,Ways to change the topic of a conversation
Opening remarks,How to make opening remarks.
Sequence,How to establishing a sequence.
Examples,How to cite examples
Summarize,How to summarise and conclude a statement.
End a presentation,How to end a presentation
Level of encapsulation,.
Low level encapsulation,Utilize memorization techniques and low level learning techniques such as remembering and understanding.
High level encapsulation,"Utilize learning techniques such as applying, analyzing, evaluating and creating."
Terms,.
Studying,is an act of learning. 
Learning,is the process of acquiring knowledge or skill.  
Acquiring,is an act of obtaining something by sustained effort or natural selection.  
Memorizing,is an act of learning something so that you will remember it exactly.
Learning Japanese Strategy,.
Learn the scripts,Hiragana. Katakana. Kanji. ❖(Scripts)
Hiragana,Target: Recognition - In 1 week. Reading - 2 weeks. ❖(Scripts: Hiragana)
Katakana ,Target: Recognition - In 1 week. Reading - 2 weeks. ❖(Scripts: Katakana)
Kanji Basic,Target: Basic ⇢ Intermediate - 1000 Kanjis ❖(Scripts: Kanji: L5 ⇢ L2)
Kanji Advance,Target: Intermediate ⇢ Advance - 2+++ Kanjis ❖(Scripts: Kanji: L1)
Structure,"Learn sentence structure and composition. Progressive learning. ❖(Scripts),  ❖(Elements)"
Particles,"Learn the concept of particles. ❖(Elements: Particles),  ❖(Grammar: Particles)"
Verb,"Verb concepts. Target: 2000 Verbs. ❖(Elements: Verbs), ❖(Verbs)"
I-Adjective,Target: 500 I-Adjectives. ❖(Elements: I-Adjectives)
Na-Adjective,Target: 500 Na-Adjectives. ❖(Elements: Na-Adjectives)
Adverbs,Target: 500 Adverbs. ❖(Elements: I-Adverbs)
Onomatope,Target: 100 Onomatope. ❖(Elements: Onomatope)
Noun,Target: 5++++ Nouns. ❖(Elements: Nouns)
Stack up input,Reading. Listening. Progressive learning. ❖(Reading)
Start outputting,Speaking. Writing. Progressive learning. ❖(Speaking)
