W1,R1,T1,W2,R2,T2,W3,R3,T3,W4,R4,T4
日ごろ,ひごろ,"routinely, daily",ミルク,ミルク,"milk, baby milk",岩,いわ,"rock, crag",帽子,ぼうし,"cap, hat"
ペース,ペース,pace,そっち,そっち,"there, thou",岸,きし,"shore, bank",零,れい,"zero, naught"
当分,とうぶん,"for some time, for the present",茶,ちゃ,tea (plain form),成長,せいちょう,growth,食堂,しょくどう,"dining hall, restaurant"
引き取る,ひきとる,"take over, take custody",サービス,サービス,"service, on the house",校庭,こうてい,"schoolyard, campus",歯,は,"tooth, cog"
法学部,ほうがくぶ,law department,商品,しょうひん,"goods, commodities",貧しい,まずしい,"poor, needy",散歩,さんぽ,"walk, stroll"
ゆったり,ゆったり,comfortable,値段,ねだん,price,照らす,てらす,"illuminate, shine on",丈夫,じょうぶ,"healthy, stout"
作り上げる,つくりあげる,"make up, build up",価格,かかく,"price, cost",手入れ,ていれ,"care, repairs",傘,かさ,"umbrella, parasol"
度々,たびたび,often,売れる,うれる,"sell, be in demand",実,み,"fruit, nut",着く,つく,"arrive, make contact, settle"
プライド,プライド,pride,スキー,スキー,"ski, skiing",膨らむ,ふくらむ,"expand, swell",両親,りょうしん,parents
一口,ひとくち,"mouthful, bite",四季,しき,the four seasons,名所,めいしょ,"noted place, sights",デパート,デパート,"department store, department"
文学者,ぶんがくしゃ,"literary person, literati",クーラー,クーラー,"air conditioning, cooler",散る,ちる,"scatter, fall",靴,くつ,"shoes, boots"
弱気,よわき,"timid, weak-spirited",ウール,ウール,wool,散らかる,ちらかる,"lie scattered about, be in disorder",脱ぐ,ぬぐ,"remove clothes, take off"
ぱっと,ぱっと,"suddenly, quickly",暖める,あたためる,"warm, warm up, heat up",散らかす,ちらかす,"scatter, disarrange",靴下,くつした,"socks, stockings"
ひょっとしたら,ひょっとしたら,perhaps,暖まる,あたたまる,get warm,植物,しょくぶつ,"plant, vegetation",磨く,みがく,"polish, grind"
見つめる,みつめる,stare,達する,たっする,"attain, reach",植木,うえき,"garden plant, shrub",池,いけ,pond
真夜中,まよなか,"midnight, middle of the night",温度,おんど,temperature,全般,ぜんぱん,"whole, general",大人,おとな,adult
洋式,ようしき,Western style,気温,きおん,temperature,田植え,たうえ,rice planting,門,もん,"gate, entrance"
取り返す,とりかえす,"take back, regain",事情,じじょう,"circumstances, conditions",継続,けいぞく,"continuation, succession",字引,じびき,dictionary
似せる,にせる,"imitate, forge",コンピューター,コンピューター,computer,平ら,たいら,"flat, level",いつも,いつも,"always, usually"
値切る,ねぎる,"bargain, haggle",台,だい,"stand, platform",目印,めじるし,"landmark, sign",元気,げんき,"vigor, spirits"
割り,わり,rate,少しも,すこしも,at all,根,ね,"root, source",クラス,クラス,"class, lesson"
町外れ,まちはずれ,outskirts of a town,ハンドバッグ,ハンドバッグ,handbag,板,いた,"board, plank",かかる,かかる,"catch, get"
洋間,ようま,Western-style room,ライター,ライター,lighter,看板,かんばん,"signboard, sign",まずい,まずい,"bad, no good"
短期大学,たんきだいがく,junior college,考え,かんがえ,"thought, view, idea",疑問,ぎもん,"question, doubt",まずい,まずい,"problematic, troublesome"
月初め,つきはじめ,at the beginning of the month,解決,かいけつ,"solution, settlement",言葉遣い,ことばづかい,"wording, language",どうも,どうも,"for some reason, somehow"
にやにや,にやにや,grin to oneself,つまり,つまり,"in short, basically",適切,てきせつ,"appropriate, adequate",さす,さす,pour
真四角,ましかく,square,可能,かのう,"possible, potential",ついで,ついで,on the way,結構,けっこう,quite
物覚え,ものおぼえ,memory,あっち,あっち,"other side, there",呼び出す,よびだす,"call, page",一緒,いっしょ,together
その内,そのうち,"before long, sooner or later",便所,べんじょ,"lavatory, bathroom",吸収,きゅうしゅう,"absorption, merger",私,わたくし,"I, myself"
つぶやく,つぶやく,"mutter, murmur",名字,みょうじ,"surname, family name",息,いき,breath,結構,けっこう,"all right, no thank you"
低,てい,low,氏名,しめい,name,呼吸,こきゅう,"breathing, respiration",背広,せびろ,business suit
何しろ,なにしろ,"anyhow, as you know",都市,とし,"cities, urban community",平等,びょうどう,"equality, impartiality",辛い,からい,"strict, severe"
にらむ,にらむ,"glare, stare",見送り,みおくり,seeing someone off,高級,こうきゅう,"high rank, high class",花瓶,かびん,flower vase
のんき,のんき,"carefree, easy-going",コース,コース,"course, route",級,きゅう,"grade, class",炒める,いためる,stir-fry
はねる,はねる,"run over, hit",メモ,メモ,"memorandum, memo pad",上級,じょうきゅう,"higher grade, advanced class",嗅ぐ,かぐ,"smell, sniff"
ばら色,ばらいろ,rose color,取れる,とれる,"come off, be removed",初級,しょきゅう,"beginner class, elementary level",便箋,びんせん,"letter paper, stationery"
ふもと,ふもと,foot of the mountain,郵便,ゆうびん,"mail service, postal matter",食う,くう,"eat, live on",甥,おい,nephew
ほほ,ほほ,cheek,そのまま,そのまま,"like that, unchanged",腹,はら,belly,雀,すずめ,sparrow
ほほえむ,ほほえむ,smile,バッグ,バッグ,bag,引っ込む,ひっこむ,"draw back, pull in",石鹸,せっけん,soap
町中,まちなか,"the downtown area, the central area of a town",ソファー,ソファー,"sofa, sofa bed",番,ばん,"one's turn, watch",爽やか,さわやか,"refreshing, clear"
まれ,まれ,rarely,生産,せいさん,production,血液,けつえき,blood,騙す,だます,"deceive, cheat"
めくる,めくる,turn over,グループ,グループ,group,溶ける,とける,"be dissolved, be melted",餅,もち,rice cake
もうかる,もうかる,"make a profit, be profitable",見学,けんがく,"observation tour, study tour, field trip",溶かす,とかす,"dissolve, melt",飴,あめ,"candy, sweets"
もうじき,もうじき,soon,通学,つうがく,"attending school, going to school",証明,しょうめい,"proof, evidence",顎,あご,"jaw, chin"
何と,なんと,"what, how",可,か,"permitted, OK",容易,ようい,"easy, simple",頬,ほお,cheek
この度,このたび,on this occasion,場所,ばしょ,"place, space",容器,ようき,"receptacle, container",鞄,かばん,"bag, handbag, briefcase"
果たして,はたして,"as was expected, really",育つ,そだつ,"be brought up, grow",好む,このむ,"like, be fond of",鋏,はさみ,"scissors, pincers, tongs"
早朝,そうちょう,early morning,ピアノ,ピアノ,piano,痛み,いたみ,"pain, ache",錆びる,さびる,"rust, get rusty"
自国,じこく,one's own country,部分,ぶぶん,"part, section",外科,げか,surgery,釘,くぎ,"nail, spike"
生き方,いきかた,"way of life, lifestyle",これら,これら,these,骨折,こっせつ,"fracture, broken bone",醤油,しょうゆ,soy sauce
お前,おまえ,"you, darling",人間,にんげん,"human being, people",分析,ぶんせき,analysis,お詫び,おわび,apologize
頼み,たのみ,"request, favor",数える,かぞえる,"count, calculate",保健,ほけん,"health, health care",詫びる,わびる,apologize
主,おも,"main, chief",回す,まわす,"turn, rotate",健康,けんこう,health,初詣で,はつもうで,first shrine visit of the new year
使い,つかい,errand,担当,たんとう,person in charge,害,がい,"harm, damage",頂戴,ちょうだい,"getting, receiving"
共産主義,きょうさんしゅぎ,Communism,本当,ほんとう,"truth, reality",適度,てきど,"moderate, proper",蜂,はち,bee
民主,みんしゅ,democracy,方法,ほうほう,"method, procedure",診察,しんさつ,medical examination,蛋白質,たんぱくしつ,protein
初日,しょにち,"first day, opening day",経つ,たつ,"pass, elapse",内科,ないか,internal medicine,糊,のり,"glue, starch"
次回,じかい,next time,製造,せいぞう,"production, manufacture",診る,みる,examine,箸,はし,chopsticks
本社,ほんしゃ,head office,作業,さぎょう,"work, operation",医療,いりょう,"medical service, healthcare",割り箸,わりばし,disposable chopsticks
つい,つい,"inadvertently, accidentally",協力,きょうりょく,"cooperation, collaboration",気の毒,きのどく,"pitiable, regrettable",眉,まゆ,eyebrow
明日,みょうにち,tomorrow,消しゴム,けしごむ,eraser,消毒,しょうどく,"disinfection, sterilization",眉毛,まゆげ,eyebrows
明朝,みょうちょう,tomorrow morning,期待,きたい,"expectation, anticipation",毒,どく,"poison, harm",明瞭,めいりょう,"clear, plain"
仕上げ,しあげ,"completion, finishing",期間,きかん,"term, period",症状,しょうじょう,symptom,痩せる,やせる,"lose weight, become thin"
まとめ,まとめ,summary,時期,じき,"time, season",中年,ちゅうねん,middle age,焚く,たく,start a fire
反論,はんろん,"objection, counterargument",限る,かぎる,be limited to,清書,せいしょ,clean copy,柿,かき,"persimmon, persimmon tree"
少数,しょうすう,"small number, minority",急に,きゅうに,"suddenly, unexpectedly",イメージ,イメージ,image,椅子,いす,chair
行,ぎょう,"line, row",切れる,きれる,"run out, expire, can cut",清潔,せいけつ,"cleanliness, neatness",車椅子,くるまいす,wheelchair
送別会,そうべつかい,farewell party,チーズ,チーズ,cheese,不潔,ふけつ,"dirty, filthy",臆病,おくびょう,"cowardice, timidity"
ファッション,ファッション,fashion,売り切れ,うりきれ,"sellout, sold out",監督,かんとく,"supervisor, film director",股,また,"crotch, groin"
外来語,がいらいご,"loanword, foreign word",家賃,やちん,rent,撮影,さつえい,"photographing, shoot",大晦日,おおみそか,new year's eve
経済的,けいざいてき,"economical, economic",定期券,ていきけん,commuter's pass,プリント,プリント,print,曖昧,あいまい,"ambiguous, vague"
自主的,じしゅてき,"autonomous, voluntary",九,く,nine,描く,えがく,"depict, describe",遥か,はるか,"far, distant"
合理的,ごうりてき,"rational, logical",変化,へんか,change,図,ず,"figure, map",逢う,あう,meet
形式的,けいしきてき,formal,強化,きょうか,strengthening,画家,がか,"artist, painter",苛め,いじめ,bullying
実用的,じつようてき,practical,減る,へる,"decrease, diminish",地面,じめん,"surface, ground",苛める,いじめる,"ill-treat, abuse"
本格的,ほんかくてき,"full-scale, authentic",減らす,へらす,"decrease, reduce",曲線,きょくせん,"curve, curved line",茄子,なす,eggplant
全面的,ぜんめんてき,"all-out, overall",レインコート,レインコート,raincoat,苦心,くしん,"pains, efforts",海苔,のり,laver
論理的,ろんりてき,logical,代える,かえる,"substitute, use in place of",直線,ちょくせん,straight line,苺,いちご,strawberry
目的地,もくてきち,"destination, goal",全国,ぜんこく,the whole country,活躍,かつやく,"activity, action",溜め息,ためいき,sigh
文化的,ぶんかてき,cultural,方,かた,person　（polite form),編む,あむ,knit,溜まる,たまる,"accumulate, store up"
男性的,だんせいてき,"masculine, manly",トラック,トラック,"truck, lorry",編集,へんしゅう,"editing, compilation",溜める,ためる,"store, collect"
並み,なみ,"ordinary, average",速達,そくたつ,"special delivery, express mail",火災,かさい,"fire, conflagration",汲む,くむ,"collect, scoop up"
平面,へいめん,"level surface, plain",開始,かいし,beginning,解放,かいほう,"release, setting free",御無沙汰,ごぶさた,be out of touch
平行,へいこう,"parallel, side by side",制度,せいど,"system, organization",開放,かいほう,opening,溺れる,おぼれる,"drown, be drowned"
病室,びょうしつ,"patient room, ward",株,かぶ,"stocks, shares",本来,ほんらい,"originally, essentially",憧れ,あこがれ,"yearning, longing"
病人,びょうにん,"sick person, patient",始めに,はじめに,"in the beginning, early in",放る,ほうる,"fling, hurl",憧れる,あこがれる,"yearn after, adore"
イスラム教,イスラムきょう,"Islam, Muslim religion",ほぼ,ほぼ,"almost, nearly",重視,じゅうし,"importance, value",卑怯,ひきょう,"cowardice, meanness"
都立,とりつ,"metropolitan, Tokyo metropolitan",現在,げんざい,"the present, present time",無視,むし,"ignoring, disregarding",撫でる,なでる,"stroke, pat"
科学者,かがくしゃ,scientist,実施,じっし,"enforcement, implementation",衣服,いふく,"clothes, dress",掻く,かく,scratch
思い,おもい,"thoughts, feelings",事実,じじつ,"fact, truth",衣食住,いしょくじゅう,clothing and food and housing,掻き回す,かきまわす,"stir up, agitate"
死者,ししゃ,"dead person, the deceased",通過,つうか,"passing, passage",地味,じみ,"plain, sober",屑,くず,"waste, scraps"
病死,びょうし,death from sickness,過去,かこ,the past,仮定,かてい,"assumption, supposition",紙屑,かみくず,wastepaper
人手,ひとで,"hand, manpower",発車,はっしゃ,"start, leave",振り仮名,ふりがな,reading aid in kana characters,塞がる,ふさがる,close up
知らず知らず,しらずしらず,"unawares, without knowing it",下り,くだり,"downhill, going down",演説,えんぜつ,"speech, address",塞ぐ,ふさぐ,"close, shut"
目薬,めぐすり,eye drops,表,ひょう,"table, list",力強い,ちからづよい,"powerful, vigorous",嬉しい,うれしい,"happy, glad"
立ち入り禁止,たちいりきんし,no trespassing,ポスト,ポスト,"post box, letter box",役,やく,"role, part",姪,めい,niece
酒屋,さかや,liquor store,作品,さくひん,"work of art, piece",劇,げき,"drama, play",味噌汁,みそしる,miso soup
禁酒,きんしゅ,abstention from alcohol,売店,ばいてん,"booth, store",主役,しゅやく,"leading part, starring role",味噌,みそ,"miso, soybean paste"
つぐ,つぐ,"pour, pour into",工事,こうじ,construction,劇場,げきじょう,theater,噛む,かむ,"bite, chew"
保証人,ほしょうにん,guarantor,歌手,かしゅ,singer,演劇,えんげき,"drama, play",噛み付く,かみつく,bite at
低温,ていおん,low temperature,全然,ぜんぜん,"wholly, at all",国立,こくりつ,national,吊るす,つるす,hang
カタログ,カタログ,catalogue,こんなに,こんなに,"this, so, such",始まり,はじまり,beginning,吠える,ほえる,"bark, bay"
もっとも,もっとも,quite right,写る,うつる,"be taken, be seen through",別れ,わかれ,"separation, parting",叩く,たたく,"tap, hit"
まとまる,まとまる,be collected,真っ白,まっしろ,pure-white,悲劇,ひげき,"tragedy, tragic drama",唾,つば,"saliva, spittle"
認可,にんか,"approval, authorization",真っ暗,まっくら,pitch-dark,集団,しゅうだん,"group, mass",喉,のど,the throat
率直,そっちょく,"frank, openhearted",真っ黒,まっくろ,"deep-black, jet-black",団体,だんたい,"group, corporation",喧嘩,けんか,"fight, quarrel, argument"
時機,じき,"opportunity, chance",真っ青,まっさお,"deep-blue, pale (skin)",団地,だんち,"housing estate, housing complex",咳,せき,cough
持ち込む,もちこむ,"bring in, carry on",青,あお,"blue, green, green light",固まる,かたまる,"harden, solidify",囁く,ささやく,whisper
制御,せいぎょ,"control, command",白,しろ,white,我々,われわれ,we,剃る,そる,shave
不公平,ふこうへい,"unfair, unjust",重要,じゅうよう,"important, essential",かじる,かじる,"nibble, bite",凄い,すごい,"wonderful, great, incredible"
人出,ひとで,"turnout, crowd",種類,しゅるい,"kind, species",博士,はかせ,"expert, doctor",物凄い,ものすごい,tremendous
打ち上げる,うちあげる,shoot up,真っ直ぐ,まっすぐ,"dead straight, honestly",急速,きゅうそく,"rapid, swift",歌舞伎,かぶき,kabuki
国際的,こくさいてき,international,売り切れる,うりきれる,"be sold out, go out of stock",近代,きんだい,modern times,稽古,けいこ,"practice, learning"
国際化,こくさいか,internationalization,三角,さんかく,triangle,展開,てんかい,"unfolding, development",雛祭り,ひなまつり,Doll Festival
飛び上がる,とびあがる,"fly up, jump up",四角,しかく,"square, quadrilateral",発展,はってん,"expansion, prosperity",馬鹿,ばか,"fool, nonsense"
つばめ,つばめ,swallow,四角い,しかくい,"square, four-sided",催し,もよおし,"event, function",鳩,はと,"pigeon, dove"
はえ,はえ,fly,曲げる,まげる,"bend, curve",催促,さいそく,"demand, urging",漕ぐ,こぐ,row
よける,よける,"avoid, evade",交差点,こうさてん,"crossing, intersection",古典,こてん,classics,袖,そで,sleeve
ぴょんと,ぴょんと,jump,四つ角,よつかど,"street corner, intersection",漢和,かんわ,Chinese and Japanese,長袖,ながそで,clothes with long sleeves
航空機,こうくうき,"aircraft, airplane",計算,けいさん,calculation,典型,てんけい,"type, model",半袖,はんそで,short-sleeved shirt
航空券,こうくうけん,airline ticket,年度,ねんど,"year, school year",特殊,とくしゅ,"special, unique",羨ましい,うらやましい,"envious, envy"
乗り出す,のりだす,"lean forward, embark on",間違い,まちがい,"mistake, error",微妙,びみょう,"subtle, delicate",亀,かめ,"turtle, tortoise"
船長,せんちょう,captain,思い出,おもいで,"recollections, memory",免税,めんぜい,tax exemption,蝶蝶,ちょうちょう,butterfly
水力,すいりょく,"waterpower, hydraulic power",泊める,とめる,"lodge, give shelter",許可,きょか,"permission, approval",乞食,こじき,beggar
島,とう,island,トランプ,トランプ,"(a pack of) cards, (playing) cards",有効,ゆうこう,"effective, valid",元旦,がんたん,New Year's Day
不完全,ふかんぜん,"imperfection, incompleteness",販売,はんばい,"sale, selling",どうか,どうか,please,一旦,いったん,"once, for a while"
未成年,みせいねん,"minor, underage",土地,とち,land,免許,めんきょ,"license, permit",奇麗,きれい,beautiful
せい,せい,"cause, fault",届く,とどく,"reach, be received",訓,くん,Japanese reading of kanji,褒める,ほめる,"praise, commend"
立ち直る,たちなおる,"recover, regain one's footing",ずっと,ずっと,"all day, from start to finish",形容詞,けいようし,adjective,瓶,びん,"bottle, flask"
原子力,げんしりょく,"atomic energy, nuclear power",サラリーマン,サラリーマン,"office worker, salaried worker, company employee",動詞,どうし,verb,花瓶,かびん,flower vase
初夏,しょか,early summer,あくび,あくび,yawn,名詞,めいし,noun,朗らか,ほがらか,"cheerful, bright"
返る,かえる,"be restored to, return to",読み,よみ,"reading, judgment, foresight",副詞,ふくし,adverb,故郷,こきょう,"hometown, birthplace"
野原,のはら,"field, plain",スープ,スープ,"soup, broth",代名詞,だいめいし,pronoun,廊下,ろうか,"hallway, corridor"
証券,しょうけん,"bill, bond",タイプライター,タイプライター,typewriter,従う,したがう,"follow, obey",磨く,みがく,"polish, grind"
資本主義,しほんしゅぎ,capitalism,どんどん,どんどん,knock,厳重,げんじゅう,"strict, secure",歯磨き,はみがき,"toothpaste, brushing one's teeth"
正座,せいざ,sitting upright with legs folded under one,万歳,ばんざい,Banzai! Hurrah! Long live...!,司会,しかい,"master of ceremonies, host",慰める,なぐさめる,"console, comfort"
同性,どうせい,of the same sex,長女,ちょうじょ,eldest daughter,先程,さきほど,"some time ago, a little while ago",真珠,しんじゅ,pearl
非常識,ひじょうしき,lack of common sense,おしゃべり,おしゃべり,"chatter, talkative",務める,つとめる,"perform a duty, play a role",貨幣,かへい,"money, currency"
非常口,ひじょうぐち,emergency exit,アイスクリーム,アイスクリーム,ice cream,向ける,むける,"turn toward, point at",靴,くつ,"shoes, boots"
ネットワーク,ネットワーク,network,合格,ごうかく,"passing an examination, eligibility",講演,こうえん,lecture,靴下,くつした,"socks, stockings"
不安定,ふあんてい,instability,ピンク,ピンク,pink,休講,きゅうこう,cancellation of lecture,窮屈,きゅうくつ,"tight, cramped"
体調,たいちょう,health condition,中学,ちゅうがく,junior high school,テーマ,テーマ,"the theme, the subject",巻く,まく,"roll up, wind, wrap"
行楽,こうらく,"excursion, outing",小学生,しょうがくせい,"schoolchildren, schoolboy",講師,こうし,"speaker, lecturer",演奏,えんそう,musical performance
本年,ほんねん,this year,発表,はっぴょう,announcement,診断,しんだん,diagnosis,伴う,ともなう,"accompany, go with"
前回,ぜんかい,last time,企業,きぎょう,"corporation, business",技師,ぎし,"engineer, technician",誓う,ちかう,"vow, swear"
地価,ちか,price of land,明らか,あきらか,"clear, obvious",化学,かがく,chemistry,諦める,あきらめる,"abandon, give up"
長続き,ながつづき,lasting for a long time,代表,だいひょう,representative,レベル,レベル,level,塔,とう,"tower, pagoda"
相変わらず,あいかわらず,"as usual, as before",能力,のうりょく,"ability, capacity",必死,ひっし,desperation,揚げる,あげる,deep-fry
前半,ぜんはん,first half,要求,ようきゅう,"requirement, demand",体育,たいいく,"physical training, physical education",挟む,はさむ,trap
思い切って,おもいきって,"boldly, decisively",実行,じっこう,"practice, execution",レポート,レポート,"report, paper",挨拶,あいさつ,"greet, greeting"
部長,ぶちょう,"section chief, department head",残す,のこす,"leave, reserve, leave undone",払い込む,はらいこむ,"pay in, pay up",拭く,ふく,"wipe, dry"
日ソ,にっそ,Japanese-Soviet,言語,げんご,"language, speech",全て,すべて,"all, entirely",軽蔑,けいべつ,"contempt, disdain"
月日,がっぴ,date,同様,どうよう,similar,言付ける,ことづける,leave a message,華やか,はなやか,"gorgeous, colorful"
必死に,ひっしに,desperately,当時,とうじ,"at that time, at the present time",伝統,でんとう,"tradition, convention",菊,きく,chrysanthemum
不確か,ふたしか,"unreliable, uncertain",海外,かいがい,"overseas, abroad",伝わる,つたわる,"be transmitted, be handed down",芋,いも,"potato, yam"
録音テープ,ろくおんテープ,tape,マンション,マンション,"apartment, apartment block, condominium",手伝い,てつだい,"help, assistant",車掌,しゃしょう,train conductor
山登り,やまのぼり,mountain climbing,長男,ちょうなん,eldest son,真っ先,まっさき,"first thing, forefront",蛍光灯,けいこうとう,fluorescent lamp
不自然,ふしぜん,"unnatural, artificial",受け取る,うけとる,"receive, understand",周囲,しゅうい,"circumference, surroundings",蛇,へび,"snake, serpent"
政治家,せいじか,politician,見送る,みおくる,see (someone) off,雑音,ざつおん,"noise, interference",蚊,か,mosquito
無関心,むかんしん,"apathy, indifference",銀,ぎん,silver,響く,ひびく,"reverberate, vibrate",賑やか,にぎやか,"lively, exciting"
府立,ふりつ,prefectural,ボール,ボール,ball,混じる,まじる,"be blended, get mixed",賑わう,にぎわう,"bustle, enliven"
市長,しちょう,mayor,スイッチ,スイッチ,switch,日課,にっか,daily routine,賭ける,かける,"bet, stake"
種目,しゅもく,"item, event",テニス,テニス,tennis,放す,はなす,"release, free",年賀状,ねんがじょう,New Year's card
ラグビー,ラグビー,rugby,真面目,まじめ,"serious, sober, earnest",利口,りこう,"clever, bright",年賀,ねんが,New Year's card
反則,はんそく,"foul, rule violation",申し込む,もうしこむ,"apply, make a proposal",禁止,きんし,"prohibition, forbiddance",汽車,きしゃ,train
入選,にゅうせん,"acceptance, selection",バイオリン,バイオリン,violin,警告,けいこく,"warning, admonition",潰す,つぶす,"crush, smash"
関節,かんせつ,joint,配達,はいたつ,delivery,駐車,ちゅうしゃ,parking,潰れる,つぶれる,crush
足首,あしくび,ankle,アルバム,アルバム,album,騒ぎ,さわぎ,"clamor, commotion",漬け物,つけもの,"pickle, pickled vegetable"
ぶら下げる,ぶらさげる,"hang, suspend",ダンス,ダンス,"dance, dancing",騒がしい,さわがしい,noisy,漬ける,つける,"pickle, marinade"
自信,じしん,self-confidence,スチュワーデス,スチュワーデス,flight attendant,騒音,そうおん,noise,生涯,しょうがい,"for life, lifetime"
顔色,かおいろ,"complexion, countenance",ブラウス,ブラウス,blouse,騒々しい,そうぞうしい,"noisy, rowdy",娯楽,ごらく,"amusement, pastime"
ずるがしこい,ずるがしこい,"sly, cunning",早口,はやくち,fast talking,飼う,かう,"raise, keep",婆さん,ばあさん,"grandmother, old lady"
領事館,りょうじかん,consulate,降ろす,おろす,"unload, set down",名刺,めいし,"business card, calling card",お嬢さん,おじょうさん,"young lady, your daughter"
領収書,りょうしゅうしょ,"receipt, voucher",にこにこ,にこにこ,smile,急激,きゅうげき,"sudden, abrupt",お嬢さん,おじょうさん,"young lady, someone's daughter"
仕組み,しくみ,"construction, arrangement",アイロン,アイロン,iron,刺激,しげき,"stimulus, stimulation",傘,かさ,"umbrella, parasol"
録画,ろくが,videotaping,どきどき,どきどき,"feel excited, feel nervous",感激,かんげき,"deep emotion, moving",田舎,いなか,"country, countryside"
リクエスト,リクエスト,request,金,きん,"gold, sum of money, Friday",日中,にっちゅう,Sino-Japanese,校舎,こうしゃ,school building
国道,こくどう,national highway,結果,けっか,"result, outcome",天候,てんこう,"weather, climate",叱る,しかる,"scold, tell off, reprimand"
北西,ほくせい,northwest,課,か,"section, division, lesson",人通り,ひとどおり,traffic,噂,うわさ,"gossip, rumor"
南西,なんせい,southwest,表現,ひょうげん,expression,パターン,パターン,pattern,海峡,かいきょう,"straits, channel"
何となく,なんとなく,"in some way, somehow",立場,たちば,"standpoint, position",観客,かんきゃく,"audience, spectator",嵐,あらし,storm
担任,たんにん,supervisor,自習,じしゅう,"self-study, self-teaching",現代,げんだい,"present age, modern times",崖,がけ,cliff
辞任,じにん,resignation,信じる,しんじる,"believe, trust, have faith in",驚かす,おどろかす,"surprise, amaze",峠,とうげ,"mountain pass, ridge"
お世辞,おせじ,"compliment, flattery",信号,しんごう,"signal, traffic light",至る,いたる,"come to, reach",下痢,げり,diarrhea
委員会,いいんかい,committee,赤,あか,"red, crimson",至急,しきゅう,"urgent, pressing",癖,くせ,"habit, mannerism"
大手,おおて,major companies,市民,しみん,"citizens, townsmen",末,すえ,(after) the end,遠慮,えんりょ,"reserve, hesitation, forethought"
国鉄,こくてつ,Japan National Railways,決定,けってい,"decision, settlement",一致,いっち,"accord, agreement",考慮,こうりょ,"consideration, deliberation"
おばさん,おばさん,middle-aged woman,報告,ほうこく,report,到着,とうちゃく,arrival,嘘,うそ,lie
ＪＲ,じぇいあーる,"JR, Japan Railways",議員,ぎいん,legislator,地点,ちてん,"spot, point",嘘つき,うそつき,liar
日数,にっすう,number of days,コピー,コピー,"copy, photocopy",面倒,めんどう,"troublesome, difficult",囲碁,いご,"game of ""go"""
事務員,じむいん,"clerk, clerical staff",配る,くばる,"hand out, distribute, allot",並木,なみき,"row of trees, roadside trees",巣,す,"nest, den"
当たり前,あたりまえ,"of course, obvious",対立,たいりつ,"opposition, antagonism",斜め,ななめ,"diagonal, slant",枕,まくら,pillow
多数,たすう,"large number, multitude",対する,たいする,"face, be in response to",たっぷり,たっぷり,"fully, amply",栓抜き,せんぬき,"bottle opener, corkscrew"
国々,くにぐに,"nations, countries",別々,べつべつ,separately,傾く,かたむく,"decline, go down",遭う,あう,"meet with, encounter"
時給,じきゅう,hourly wage,一般,いっぱん,"general, common",坂,さか,"slope, incline",欄,らん,"column, field"
