Kanji,Asso,Reading,Meaning,W1,R1,M1,W2,R2,M2,W3,R3,M3,W4,R4,M4
直,ix,"CHOKU, JIKI, nao-su, su-gu","fix, repair, straightaway, honest",直す ,なおす,"fix, repair, correct",直接,ちょくせつ,"direct, immediate",正直,しょうじき,"honest, frank",直通,ちょくつう,direct line
治,ure,"JI, CHI, nao-su, osa-mera","cure, heal, govern, calm down",治す,なおす,"cure, heal",治療,ちりょう,medical treatment,治める,おさめる,"govern, manage",治癒,ちゆ,"healing, cure, recovery"
念,ish,NEN,"wish, sense, idea, thought",観念,かんねん,"idea, notion, concept, sense ",記念,きねん,"commemoration, celebration",信念,しんねん,"belief, faith, conviction",概念,がいねん,"general idea, concept"
考,consider,"KOU, kanga-eru","consider, think, thought",思考,しこう,"thought, consideration, thinking",考える,かんがえる,"consider, think, ponder",参考,さんこう,"reference, consultation",考察,こうさつ,"consideration, inquiry"
意,dea,I,"idea, mind, heart, thought, taste, desire, liking, care",意味,いみ,"meaning, significance",注意,ちゅうい,"notice, caution",意志, いし,"will, volition, intention",意図,いと,"intention, aim, design"
想,oncept,"SOU, SO, omo-u","concept, think idea, thought",理想,りそう,"ideal, ideals",予想,よそう,"expectation, anticipation",想像,そうぞう,imagination,構想,こうそう,"plan, plot, idea"
思,hink,"SHI, omo-u",think,思想,しそう,"thought, idea, ideology",思う,おもう,"think, consider",思惑,おもわく,"expectation, prediction",意思疎通,いしそつう,mutual understanding
変,hange,"HEN, ka-waru, ka-eru","change, unsual, strange",変化,へんか,"change, variation, alteration",変わる,かわる,"to change, alter, transform",変更,へんこう,"change, modification, alteration",変動,へんどう,"change, fluctuation"
替,epalce,"TAI, ka-waru, ka-eru","replace, exchange, substitute",着替え,着替え,changing clothes,替わる,かわる,"to replace​, substitute, exchange",為替,かわせ,"money order, draft, exchange",両替,りょうがえ,"change, money exchange"
代,ubstitute,"DAI, TAI, ka-waru, ka-eru","substitute. change, replace",代表,だいひょう,representative,代わり,かわり,substitute、 replacement,現代,げんだい,"present age, modern times",代金,だいきん,"price, cost, charge"
換,xchange,"KAN, ka-waru, ka-eru","exchange, change, interchange",乗り換え,のりかえ,"transfer (trains, buses, etc.)",換える,換える,"exchange, replace",交換,こうかん,"exchange, switch",転換,てんかん,"conversion, diversion"
相,usual,"SOU, SHOU, ai","mutual, inter-, minister",相続,そうぞく,succession,相手,あいて,"partner, other party",首相,しゅしょう,prime minister,様相,ようそう,"aspect, phase, condition"
互,eceprocal,"GO, taga-i, ","reciprocal, mutual, together",相互,そうご,"mutual, reciprocal",お互い,おたがい,each other,交互,こうご,alternating,互換,ごかん,interchange
札,ag,"SATSU, buta","tag, paper money",改札,かいさつ,ticket gate,名札,なふだ,"name plate, label",荷札,にふだ,"label, tag",改札口,かいさつぐち,ticket gate
券,icket,KEN,ticket,定期券,ていきけん,commuter pass,回数券,かいすうけん,coupon tickets,旅券,りょけん,passport,商品券,しょうひんけん,gift certificate
票,lip,HYOU,"slip, ballot, label, ticket, sign",投票,とうひょう,"voting, ballot, poll",伝票,でんぴょう,"sales slip, voucher",開票,かいひょう,counting ballots,住民票,じゅうみんひょう,certificate of residence
符,ally,FU,"tally, token, sign, mark, charm",切符,きっぷ,ticket,終止符,しゅうしふ,"full stop, period, end",符号,ふごう,"sign, mark, symbol, code",疑問符,ぎもんふ,question mark​
討,ttack,"TOU, u-tsu","attack, study",検討,けんとう,"examination, investigation",討つ,うつ,"to attack, destroy",討論,とうろん,"debate, discussion",掃討,そうとう,cleaning up
訓,rill,"KUN, KIN, oshi-eru, yo-mu","instruct, read",訓練,くんれん,"training, drill",教訓,きょうくん,"lesson, teachings",特訓,とっくん,special training,訓戒,くんかい,"warning, admonition"
訂,orrection,"TEI, tada-su","revise, correct",訂正,ていせい,"correction, revision",訂す,ただす,"to correct (a typo, etc.)​",改訂,かいてい,"revision, alteration",改訂版,かいていばん,revised edition
記,ecord,"KI, shiru-su","record, scribe, account, narrative",記録,きろく,"record, minutes",記す,しるす,"to write down, to note",記憶,きおく,"memory, recollection",書記,しょき,"clerk, secretary"
許,remit,"KYO, yuru-su","permit, approve",免許,めんきょ,"license, permit",許す,ゆるす,"to permit, allow, approve",許可,きょか,"permission, approval",許諾,きょだく,consent
漁,ishing,"GYO, RYOU",fishing,漁業,ぎょぎょう,"fishery, fishing industry",漁法,ぎょほう,fishing method,漁場,ぎょうじょ,fishing grounds,漁船,ぎょせん,fishing boat
魚,ishes,"GYO, RYOU, sakana, uo","fishes, seafoods, sea animals",魚介類,ぎょかいるい,"marine products, seafood",魚屋,さかなや,"fish market, fish dealer",熱帯魚,ねったいぎょ,tropical fish,魚屋,さかなや,fish market
犬 ,og,"KEN, inu",dog,愛犬,あいけん,pet dog,子犬,こいぬ,puppy,猟犬,りょうけん,hunting dog,柴犬,しばいぬ,shiba inu 
大,ig,"DAI, TAI, oo-kii","big, large",莫大,ばくだい,"vast, huge",大通り,おおどおり,main street,大使,たいし,ambassador,大勢,おおぜい,crowd of people
士,entleman,"SHI, samurai","gentleman, scholar, samurai",兵士,へいし,soldier,同士,どうし,"fellow, companion",博士,はかせ,expert. phd,会計士,かいけいし,accountant
土,oil,"DO, TO, tsuchi","soil, earth, ground",土地,とち,"plot of land, lot, soil",風土,ふうど,natural features,土産,みやげ,"local specialty, souvenir",粘土,ねんど,clay
仕,ervice,"SHI, JI, tsuka-eru","service, attend, doing",仕事,しごと,work,仕様,しよう,"way, method, means",奉仕,ほうし,"service, ministry",仕送り,しおくり,"allowance, remittance"
日,ay,"NICHI, JITSU, hi, bi, ka","day, sun, japan",日給,にっきゅう,daily wage,本日,ほんじつ,today,日の出,ひので,sunrise,日付,ひづけ,"date, dating"
白,hite,"HAKU, BYAKU, shiro",white,白い,しろい,white,面白い,おもしろい,interesting,真っ白,まっしろ,pure white​,明白,めいはく,"obvious, clear"
百,undred,"HYAKU, BYAKU, momo",hundred,百貨店,ひゃっかてん,department store,何百,なんびゃく,hundreds,八百屋,やおや,greengrocer,数百,すうひゃく,several hundreds​
疑,oubt,"GI, utaga-u","doubt, distrust, question",疑問,ぎもん,"doubt, question",疑う,うたがう,"to doubt, distrust",疑惑,ぎわく,"doubt, misgivings",疑念,ぎねん,"doubt, suspicion"
擬,mitate,"GI, maga-i, modo-ki","imitate, mimic",模擬,もぎ,imitation,擬態,ぎたい,mimicry,模擬店,もぎてん,refreshment booth,偽装,ぎそう,"camouflage, disguise"
凝,tiffen,"GYOU, ko-ru, kora-su","congeal, freeze, stiff",凝固,ぎょうこ,coagulation,凝る,こる,"grow stiff, absorbed in",凝った,こった,"elaborate, exquisite",凝縮,ぎょうしゅく,condensation
