Verb,Reading,Meaning,Sentence
注目する,ちゅうもくする,"to observe, take notice of",
注文する,ちゅうもんする,"to order (food, goods)",
中止する,ちゅうしする,"to stop, discontinue, call off",
ダウンロードする,ダウンロードする,to download (for Internet),
妥協する,だきょうする,to compromise,
ダンスする,dansu,to dance,
電話する,denwa,to make a telephone call,
独立する,dokuritsu,to become independent,
同意する,dōi,"to agree, approve",
導入する,dōnyū,"to bring in, introduce",
ドラッグする,doraggu,to drag with a (computer) mouse,
努力する,doryoku,"to make an effort, work hard",
営業する,eigyō,"to do business, be open",
影響する,eikyō,"to influence, affect",
延長する,enchō,"to extend, lengthen",
演技する,engi,"to act, perform",
援助する,enjo,"to assist, help, support, aid",
延期する,enki,"to postpone, put off",
遠慮する,enryo,"to refrain, hold back",
ファックスする,fakkusu,to fax,
フォローする,forō,to follow on line,
復活する,fukkatsu,"to revive, restore",
復習する,fukushū,"to review, go over",
復讐する,fukushū,to revenge,
普及する,fukyū,"to spread, diffuse",
赴任する,funin,to leave for one’s new post,
不足する,fusoku,"to be short of, be lacking",
負担する,futan,to bear the weight of,
我慢する,gaman,"to be patient, endure",
減少する,genshō,to decrease,
限定する,gentei,"to limit, restrict",
議論する,giron,"to argue, discuss,debate",
誤解する,gokai,to misunderstand,
合格する,gōkaku,to pass an examination,
合計する,gōkei,"to add up, total",
ハグする,hagu,to hug,
廃止する,haishi,"to abolish, do away with, repeal",
配達する,haitatsu,to deliver,
破壊する,hakai,"to destroy, break, ruin",
発行する,hakkō,"to publish, issue, bring out",
反映する,han’ei,to reflect,
繁栄する,han’ei,"to prosper, flourish",
判断する,handan,"to judge, conclude",
反省する,hansei,"to reflect on oneself,reconsider",
反対する,hantai,"to be against, be opposed",
発売する,hatsubai,"to begin selling, put on the market",
発明する,hatsumei,to invent,
発展する,hatten,"to develop, expand",
平均する,heikin,"to average, balance",
変化する,henka,"to change, alter, be transformed",
編集する,henshū,"to edit, compile",
批判する,hihan,to criticize,
否定する,hitei,"to deny, negate",
翻訳する,hon’yaku,to translate,
報告する,hōkoku,"to report, inform",
訪問する,hōmon,"to visit, call on, pay a visit",
保証する,hoshō,"to guarantee, warrant",
補償する,hoshō,"to compensate, make up for",
評価する,hyōka,"to appraise, value",
移動する,idou,"to move, transfer, migrate",
違反する,ihan,to violate,
維持する,iji,"to maintain, support, keep",
移行する,ikou,"to switch over to, migrate, transit",
引退する,intai,"to retire, give up one’s position",
依頼する,irai,"to request, ask",
一致する,itchi,"to agree with, be in unison",
意図する,ito,"to intend to do, make a goal",
ジャンプする,janpu,to jump,
実験する,jikken,to experiment,
実行する,jikkō,"to carry out, execute",
自慢する,jiman,"to be proud, boast of, take pride in",
自立する,jiritsu,to become independent,
辞職する,jishoku,to resign,
実現する,jitsugen,"to be realized, come true",
ジョギングする,jogingu,to jog,
上映する,jōei,to show a film,
譲歩する,jōho,"to concede, give way to",
上昇する,jōshō,"to go up, rise, ascend",
準備する,junbi,to prepare,
回復する,kaifuku,"to restore, recuperate",
開発する,kaihatsu,"to develop, exploit",
開放する,kaihō,to open a place to the public,
解放する,kaihō,"to release, set a prisoner free",
改革する,kaikaku,"to reform, improve",
解決する,kaiketsu,"to settle, resolve",
開催する,kaisai,to hold (an event),
改正する,kaisei,"to revise, amend, improve",
解釈する,kaishaku,"to interpret, explain",
開拓する,kaitaku,"to reclaim, exploit, develop",
下降する,kakō,"to come down, descend, drop",
加工する,kakō,"to process, manufacture",
拡大する,kakudai,"to magnify, enlarge, expand",
確認する,kakunin,"to confirm, ascertain, verify, validate",
関係する,kankei,"to be related, have a relationship",
管理する,kanri,"to manage, control, administer",
観察する,kansatsu,"to observe, watch closely",
完成する,kansei,"to finish, complete",
感心する,kanshin,"to admire, be impressed",
観賞する,kanshō,to appreciate,
仮定する,katei,"to assume, suppose",
活動する,katsudō,to be active,
活躍する,katsuyaku,"be active in, take an active part",
カットする,katto,to cut,
経営する,keiei,"to manage, conduct, run (a business)",
経過する,keika,"to pass, elapse, expire",
計画する,keikaku,to plan,
経験する,keiken,"to experience, undergo",
計算する,keisan,"to count, calculate, sum up",
契約する,keiyaku,"to contract, make a contract with",
結婚する,kekkon,to marry,
見物する,kenbutsu,to go sightseeing,
けんかする,kenka,"to quarrel, fight",
研究する,kenkyū,"to study, research",
研修する,kenshū,"to study, train, intern",
検討する,kentō,"to examine, investigate, think over",
欠席する,kesseki,to be absent,
決心する,kesshin,"to make up one’s mind, decide",
決定する,kettei,"to decide, determine",
キープする,キープする,to keep,
キックする,キックする,to kick,
緊張する,kinchō,"to be tense, nervous",
記念する,kinen,to commemorate,
記録する,kiroku,"to record, write down",
キスする,kisu,to kiss,
期待する,kitai,"to expect, hope",
攻撃する,kōgeki,"to attack, charge, criticize",
工事する,kōji,to construct,
後悔する,kōkai,"to regret, repent, be sorry",
交換する,kōkan,to exchange,
混乱する,konran,"to be confused, be in disorder",
コントロールする,コントロールする,to control,
コピーする,コピーする,to make a copy,
考慮する,kōryo,"to consider, think over",
交流する,kōryū,"to exchange (ideas, culture)",
故障する,koshō,to break down,
交渉する,kōshō,to negotiate,
交代する,kōtai,"to take turns, take a person’s place",
クリックする,クリックする,to click with a mouse,
キャンセルする,キャンセルする,to cancel,
拒否する,kyohi,"to refuse, reject, deny",
教育する,kyōiku,to educate,
許可する,kyoka,to permit,
供給する,kyōkyū,"to supply, furnish, provide",
強制する,kyōsei,"to compel, force a person to do",
競争する,kyōsō,to compete,
救助する,kyūjo,"to rescue, help",
休憩する,kyūkei,"to rest, take a break",
吸収する,kyūshū,to absorb,
メールする,mēru,to send an email,
迷惑する,meiwaku,to be troubled/annoyed,
面接する,mensetsu,to interview,
ミックスする,mikkusu,to mix,
ミスする,misu,"to make a mistake, to miss",
黙認する,mokunin,to permit or approve tacitly,
矛盾する,mujun,"to be contradictory, to conflict",
無視する,mushi,"to ignore, disregard",
納得する,nattoku,"to consent, to agree, to convinced, to understand, to comprehend",
認識する,ninshiki,to recognize realize understand,
入学する,nyūgaku,to enter a school,
入院する,nyūin,to be hospitalized,
応援する,ōen,"to aid, support, encourage, cheer",
往復する,ōfuku,to go and return,
応用する,ōyō,"to apply, put into practice",彼女は授業で学んだことをその実験に応用した。
パスする,pasu,to pass (mainly used in sports),ボールをパスして。
落第する,rakudai,"to fail an exam, be rejected",
落選する,rakusen,to be defeated in an election,
連絡する,renraku,"to contact, get in touch",
練習する,renshū,"to practice, exercise",
リードする,riido,to lead,
理解する,rikai,"to understand, comprehend",わたしはあなたの言うことが理解できる。
離婚する,rikon,to divorce,
利用する,riyō,to make use of,
ロックする,rokku,to lock,
録音する,rokuon,to record (sound),
浪費する,rōhi,"to waste (money or time), throw away",
旅行する,ryokō,to travel,
料理する,ryōri,to cook,
留学する,ryūgaku,to study abroad,
裁判する,saiban,to hold a trial,
採用する,saiyō,"to employ, adopt (measures)",
参加する,sanka,"to join, take part in",
散歩する,sanpo,to take a walk,
賛成する,sansei,"to agree, approve",
生活する,seikatsu,"to make a living, support oneself",
成功する,seikō,to succeed,
生産する,seisan,"to produce, manufacture",
専攻する,senkō,"to specialize, major in",
選挙する,senkyo,to elect,委員長に選挙される。
戦争する,sensō,to make war,戦争することはまだ起こる。
選択する,sentaku,"to choose, select",この中から自由に選択しなさい。
洗濯する,sentaku,to wash (clothes),最初着る前に洗濯してください。
説明する,setsumei,to explain,
節約する,setsuyaku,"to economize, skimp, save",
セットする,setto,to set,
説得する,settoku,to persuade,
世話する,sewa,"to take care of, look after (someone)",
指導する,shidō,to lead guide,
刺激する,shigeki,"to stimulate, irritate, excite",
支配する,shihai,"to control, dominate",
指示する,shiji,"to instruct, to indicate, to denote",
指名する,shimei,"to nominate, designate",
心配する,shinpai,"to be anxious, feel uneasy",
進歩する,shinpo,"to make progress, advance",
侵略する,shinryaku,to invade,
申請する,shinsei,to make out an application,
信用する,shinyō,"to trust, believe, place confidence in",
失敗する,shippai,to fail,
支出する,shishutsu,to spend (expenditures),
指摘する,shiteki,to point out,
質問する,shitsumon,to ask a question,
使用する,shiyō,"to use, employ, to apply",
食事する,shokuji,to take a meal,
消費する,shōhi,"to consume, expend",
紹介する,shōkai,"to introduce, present",
証明する,shōmei,"to prove, testify, certify",
昇進する,shōshin,to be promoted,
招待する,shōtai,to invite,
所有する,shoyū,"to own, possess",
所属する,shozoku,to belong to,
主張する,shuchō,"to insist on, assert, emphasize, claim",
集中する,shūchū,"to concentrate, centralize",
縮小する,shukushō,"to reduce, cut, curtail",
出版する,shuppan,"to publish, issue",
出発する,shuppatsu,"to leave for, depart",
修理する,shūri,"to repair, mend, fix, to service",
就職する,shūshoku,to find employment,
出演する,shutsuen,"to appear (film, play, tv, etc), to perform",
出席する,shusseki,to attend,
出張する,shutchō,to go on a business trip,
相談する,sōdan,"to consult, discuss",
掃除する,sōji,to clean,
存在する,sonzai,to exist,
操作する,sōsa,"to operate, handle, manage",
組織する,soshiki,"to organize, form",
卒業する,sotsugyō,to graduate from,
想像する,sōzō,"to imagine, guess",
推薦する,suisen,to recommend,
スタートする,スタートする,to start,
逮捕する,taiho,"to arrest, apprehend",
退院する,taiin,to be released from a hospital,
対立する,tairitsu,to be opposed,
探検する,tanken,to explore,
担当する,tantō,to take charge of,
達成する,tassei,"to achieve, attain, accomplish",
タッチする,tacchi,to touch,
提案する,teian,"to propose, suggest",
提出する,teishutsu,"to submit, present",
徹夜する,tetsuya,to work all night,
到着する,tōchaku,to arrive,
投票する,tōhyō,"to vote, cast a ballot",
統一する,tōitsu,"to unify, unite",
取り引きする,torihiki,to have dealings with,
当選する,tōsen,to be elected,
投資する,tōshi,to invest,
通知する,tsūchi,"to inform, give notice",
追加する,tsuika,"to supplement, add",
通過する,tsūka,"to pass, go through without stopping",
運営する,un’ei,"to manage, run, administer",
運転する,unten,"to drive, to manage (money)",
和解する,wakai,to be reconciled with,
約束する,yakusoku,to promise,
予防する,yobō,"to prevent, protect",
要求する,yōkyū,"to demand, claim",
養成する,yōsei,"to train, develop (a person)",技術者を養成する。
予習する,yoshū,to study beforehand,予習せずに学校へ行く。
予想する,yosō,"to predict, anticipate",あなたはどんな結果を予想していますか。
予約する,yoyaku,"to reserve, book",早い時間に発つ飛行機を予約してある。
誘拐する,yūkai,to kidnap,その子は帰宅の途中で誘拐されたのかもしれない。
輸入する,yunyū,to import,大半の私のレコードはドイツから輸入されたものだった。
優勝する,yūshō,to win a contest or championship,彼女が優勝すると予想を彼はした。
輸出する,yushutsu,to export,私たちはたくさんの自動車をその国に輸出している。
郵送する,yūsō,to send by mail,私はその本を郵送します。
誘惑する,yūwaku,"to tempt, lure, entice",甘い声で男性を誘惑する。
絶望する,zetsubō,"to have no hope, be in despair",絶望するのはまだ早い。
増加する,zōka,"to increase, grow, augment",この町の人口は増加している。
言う,いう,"to say, utter, declare, to name, call",彼女は言いたいことを言った。
行く,いく,"to go, move, head towards, proceed",私は明朝大阪へ行きます。
見る,みる,"to see, look, watch, view, observe",子供たちは蝶々をよく見た。
来る,くる,"to come, approach, arrive, come back",夏が例年より早く来た。
思う,おもう,"to think, consider, believe",まっすぐ家に帰ろうと思った。
持つ,もつ,"to hold, take, carry, possess, have, own",このすばらしい収集物はだれが持っているの。
取る,とる,"to take, pick up, harvest, earn, choose, have",紙を取ってくださいますか。
受ける,うける,"to receive, get, catch, struck by, sustain damage, incur loss",彼は帽子でその球を受けた。
考える,かんがえる,"to think about, think over, ponder, reflect, consider",この問題はもっとよく考える必要がある。
過ぎる,すぎる,"to pass through, go beyond, pass, elapse, to exceed",この荷物は20キロを過ぎている。
始める,はじめる,"to start, begin, initiate, originate, start up, establish",彼は商売を始めた。
与える,あたえる,"to give someone, grant, bestow, present, award, provide",彼女の言葉が私に希望を与えてくれた。
となる,となる,"to become, amount to",スポーツは安全が考慮されないと危険なものとなる。
起こる,おこる,"to occur, happen",悲劇は突然起こった。
付ける,つける,"to attach, join, add, append, affix, stick, wear, put on, allot",株は新高値を付けた。
送る,おくる,"to send, dispatch, transmit, take or escort, send off",写真送ってよ。
続ける,つずける,"to continue, keep up, keep on",走り続けると明かりが見えてきた。
感じる,かんじる,"to feel, sense, experience",将来に不安を感じるんだ。
探す,さがす,"to search, look for, seek",彼らは市内でアパートを探す必要がある。
合う,あう,"to come together, merge, unite, meet, fit, match, suit, agree with, be correct, profitable",君の時計は合ってる？
信じる,しんじる,"to believe, place trust in, confide in, have faith in",彼は聡明だと信じる。
求める,もとめる,"to want, wish for, request, demand, seek, search for, pursue, hunt, purchase, buy",何を求めていますか。
落ちる,おちる,"to fall down, drop, fall, sink, fall onto",彼はしばしば恋に落ちる。
見つける,みつける,"to discover, find, come across, detect, spot, locate",充電器を見つけられない。
選ぶ,えらぶ,"to choose, select",日にちを選んで。
向かう,むかう,"to face, go towards, head towards",船は西へ向かっている。
払う,はらう,"to pay, brush off, wipe away, clear away, drive away, sell off",彼は食事代は自分が払うと言った。
付く,つく,"to be attached, be connected with, adhere, stick, cling",天井にランプが付いている。
遅れる,おくれる,"to be late, be delayed, fall behind, be overdue, be outdated",急いでいる時に限ってバスが遅れる。
進む,すすむ,"to advance, go forward, precede, go ahead, make progress",予定より進んでいる。
驚く,おどろく,"to be surprised, be astonished",彼の博識には驚く。
起こす,おこす,"to raise, raise up, set up, pick up, wake up, cause, bring about, lead to, start, begin",皮反応を潜在的に起こすように知られています。
失う,うしなう,"to lose, miss, concede",私は精神的に何か大切なものを失っていた。
守る,まもる,"to protect, guard, defend, keep, abide, obey, observe, follow",彼女は秘密をよく守る。
勝つ,かつ,"to win, gain victory",10対６で勝った。
決める,きめる,"to decide, choose, determine, resolve, clinch",もう何をするか決めましたか。
生きる,いきる,"to live, exist, make a living, be in effect, be in use, function",植物と共に生きる菌たちの競演。
上がる,あがる,"to rise, go up, come up, ascend, be raised, come in, improve, increase, be finished",物価はやがて上がるだろう。
変わる,かわる,"to change, be transformed, altered, vary, different, uncommon, unusual",原材料はレシピやメーカーによって変わる。
示す,しめす,"to show, demonstrate, tell, point out, indicate, represent, signify, display",このデータが高い血液凝固能を示す。
怒る,おこる,"to get angry, get mad, tell someone off, scold",かんかんに怒っている。
残る,のこる,"to remain, be left",水はかなり多く残っている。
過ごす,すごす,"to pass (time), spend, overdo, drink, take care of, support, do too much",軽井沢で１か月を過ごした。
調べる,しらべる,"to examine, look up, investigate, check up, sense, study, inquire, search",故障はないかと機械を調べた。
学ぶ,まなぶ,"to study (in depth), learn, take lessons in",彼は経験から学ぶことを知らない。
聞こえる,きこえる,"to be heard, be audible",うるさくてテレビの音が聞こえない。
楽しむ,たのしむ,to enjoy,楽しめるうちに楽しむがいい。
扱う,あつかう,"to deal with, treat, handle, take care of, entertain, operate, deal in",壊れ物は丁寧に扱ってくれ。
とする,とする,"to try to, be about to, decide to, take as, treat as, regard as, use for",彼が言おうとすることは私にはわからない。
変える,かえる,"to change, alter, transform, convert, turn, vary, reform, revise, amend",家を事務所に変えるつもりだ。
盗む,ぬすむ,to steal,少年は彼女のハンドバッグを盗んで逃げた。
続く,つずく,"to continue, last on, go on, be unbroken, occur again and again, lead to, connect to",地価の高騰が続いた。
運ぶ,はこぶ,"to carry, transport, move, convey",次の駅へ乗客を運ぶ。
当たる,あたる,"to be hit, strike, touch, be in contact, be affixed, be applicable, apply to",石が窓ガラスに当たった。
眠る,ねむる,"to sleep (not necessarily lying down), lie , idle, be dormant",一晩よく眠れた。
表す,あらわす,"to represent, signify, stand for, reveal, show, display, express, make widely known",自分を一言で表すと？
受け取る,うけとる,"to receive, get, accept, take, interpret, understand",照会状をほとんど毎日のように受け取っている。
鳴る,なる,"to sound, ring, resound, echo, roar, rumble",雷が遠くで鳴っていた。
現れる,あらわれる,"to appear, come in sight, come out, materialise, be expressed, apparent",彼は結局現われなかった。
負ける,まける,"to lose, be defeated, succumb, give in, surrender, yield",僕は負けるのが嫌い。
暮らす,くらす,"to live, get along, spend (time)",生まれた時からずっとここで暮らしている。
許す,ゆるす,"to permit, allow, approve, consent to, forgive, pardon, excuse",そこまで言うなら留学を許してやろう。
戦う,たたかう,"to make war, wage war, got to war with, fight with, do battle, compete, struggle",待遇改善を目指して戦う。
慣れる,なれる,"to get used to, grow accustomed, become familiar with, become skilled in",慣れるのに少々かかります。
ようになる,ようになる,"to reach the point that, come to be that, turn into",彼は１週間もすれば起きて歩けるようになるでしょう。
行う,おこなう,"to perform, do, conduct oneself, carry out",そこでは米の二期作が行われている。
助ける,たすける,"to save, rescue, help, assist, support, provide aid, contribute, facilitate",どこに行ったら助けてもらえますか。
ようにする,ようにする,"to make sure to, to try to",母親たちは子どもに道路で遊ばせないようにするべきだ。
喜ぶ,よろこぶ,"to be delighted, be glad, be pleased, congratulate, gratefully accept",道理で君が喜ぶわけだ。
泣く,なく,"to cry, weep, sob, howl",その女の子はただ泣くだけだった。
終える,おえる,to finish,あなたは仕事を終えましたか。
訪れる,おとずれる,"to visit, call, arrive, come, appear",どこを訪れる予定ですか。
耐える,たえる,"to bear, stand, endure, put up with, withstand, support, resist, be fit for",彼は冬の早朝練習に耐えた。
落とす,おとす,"to drop, lose, let fall, shed, cast, pour in, clean off",あなたは自分のハンカチを落としました。
増える,ふえる,"to increase, multiply",海外へ行く学生の数が増えている。
動く,うごく,"to move, stir, shift, shake, operate, make a move, take an action",私の車はなかなか動かない。
備える,そなえる,"to furnish with, equip with, provide, prepare for,  possess",彼女は部屋に美しい家具を備えた。
逃げる,にげる,"to escape, run away",その小さな犬は逃げようとしました。
戻る,もどる,"to turn back, return, recover, rebound",彼が戻るまで待とう。
従う,したがう,"to obey, abide by, follow, serve",彼らは私の意見に従った。
奪う,うばう,"to snatch away, dispossess, steal",お前はすべてを奪っていった。
近づく,ちかずく,"to approach, to draw near, to get closer",試験が近づいている。
達する,たっする,"to reach, get to, arrive at",私は君と同じ結論に達した。
間に合う,まにあう,"to be intimate for, serve, be good enough",私は飛行機にちょうど間に合った。
知る,しる,"to know, to be aware of, to cognise, to notice, to comprehend",ゲームのルール知ってる？
買う,かう,"to buy, purchase, value",私はそれをデパートで買った。
聞く,きく,"to hear, listen, ask, enquire, query, learn of, hear about",私はラジオを聞いています。
出る,でる,"to leave, exit, go out, come out, get out",ベッドから出たくない。
会う,あう,"to meet, to encounter, to see",新聞記者が来ても彼は会わなかった。
作る,つくる,"to make, produce, manufacture, build, construct, prepare, create",あの店は家具を作って売っている。
置く,置く,"to put, place, leave behind, establish, set up, appoint, to bear in mind",ウェイトレスはジュースを私の前に置いた。
使う,つかう,"to use, to make use of, to put to use",巧妙な語り口を使って人々を魅了した。
書く,かく,"to write, compose, draw, paint",雑誌に小説を書く。
読む,よむ,to read,こうした点を頭に置いて記録を読んだ。
食べる,たべる,to eat,朝ごはんを食べましたか。
話す,はなす,"to talk, to speak, to converse, to chat, to tell, to explain, to narrate",どんなところかちょっと話してください。
上げる,あげる,"to raise, elevate, do up, launch, surface, deep-fry, increase, complete do",彼は帽子を上げて婦人にあいさつした。
住む,すむ,"to live, reside, inhabit, dwell, abide",私の住んでいる部屋から富士山が見えます。
歩く,あるく,to walk,この調子で歩けば30分で着くだろう。
働く,はたらく,"to work, labor, labour, function, operate, be effective, come into a play",私は彼女のボーイフレンドと一緒に働いている。
飲む,のむ,"to drink, gulp, swallow, take (medicine)",ビールはあまりたくさん飲みません。
終わる,おわる,"to finish, end, close",仕事が終わったらテレビを見よう。
死ぬ,しぬ,"to die, pass away, lose spirit, to lose vigor",私は死ぬのが怖い。
出す,だす,"to take out, get out, put out, reveal, show, submit, send, serve (food)",そろそろ夏服を出す季節だ。
入れる,いれる,"to put in, let in, take in, bring on, install (software), set, include, cast",スナップ写真を手紙に入れて送る。
教える,おしえる,"to teach, instruct, tell, inform, preach",彼にコンピュータの使い方を教えてもらった。
乗る,のる,"to get on, get in, board, take to embark",自転車に乗って図書館へ行った。
着る,きる,to wear,ねまきを着たまま外へ出てはいけません。
走る,はしる,"to run, travel, hurry to",通りを走って渡ってはいけない。
忘れる,わすれる,"to forget, leave carelessly",今日約束があるのを忘れていた。
見える,みえる,"to be seen, be insight, look, seem, appear",屋上から町がよく見える。
立つ,たつ,"to stand, rise, stand up, find oneself in a difficult position, depart",寺は山の中腹に立っている。
座る,すわる,"to sit, squat, assume a position, hold steady, hold still",子供はピアノに向かって座った。
待つ,まつ,to wait,遅くなるので待たずに会を始めていてくれ。
出かける,でかける,"to go out, to leave, to depart, to set out",
帰る,かえる,"to return, to come home, to go home, to go back",
寝る,ねる,"to lie down, to go to bed, to sleep",
始まる,はじまる,"to begin, to start, to commence, to happen",
見せる,みせる,"to show, to display",
笑う,わらう,"to laugh, to smile, to sneer to redicule",
入る,はいる,"to enrol, to go into, to break into, to join, to enrol, to contain, to hold, to accommodate, to have",
飛ぶ,とぶ,"to fly, to soar, to jump, to leap, to spring, to bund, to hop, to rush somewhere",
失う,うしなう,"to lose, to miss (chance), to concede",
呼ぶ,よぶ,"to call out, to call, to summon, to invoke, to invite, to designate",
売る,うる,to sell,
残る,のこる,"to remain, to left",
歌う,うたう,to sing,
通る,とおる,"to go by, to go past, to go along, to pass through, to take a route, to go via, to go by eat of",
頼む,たのむ,"to request, to beg, to ask, to call, to order, to reserve, to entrust to, to rely on",
降りる,おりる,"to descend, to go down, to alight, to get off, to disembark, to step down, to be issued, to be given",
渡る,わたる,"to cross over, to go across, to extend, to cove, to range, to span",
困る,こまる,"to be troubled, to have difficulty, to be at a loss, to be bothered, to be annoyed",
急ぐ,いそぐ,"to hurry, to rush, to hasten",
泳ぐ,およぐ,to swim,
着く,つく,"to arrive, to reach, to sit on, to sit at",
覚える,おぼえる,"to memorize, to learn, to bear in mind, to pick up, to acquire",
切る,きる,"to cut, to cu through, to perform, to sever, to turn off, to terminate, to set a limit",
止まる,とまる,"to stop moving, to come to a stop, to alight, to perch on",
借りる,かりる,"to borrow, to rent, to hire",
喜ぶ,よろこぶ,"to be delighted, to be glad, to be pleased, to congratulate, to gratefully accept",
泣く,なく,"to cry, to weep, to sob, to howl",
増える,ふえる,"to increase, to multiply",
動く,うごく,"to move, to stir, to shift, to shake, to operate, to make a move, to take an action,",
戻る,もどる,"to turn back, to return, to recover, to rebound",
従う,したがう,"to obey, to abide by, to follow, to serve",
生まれる,うまれる,to be born,
答える,こたえる,"to answer, to reply",
奪う,うばう,"to snatch away, to dispossess, to steal",
近づく,ちかづく,"to approach, to draw near, to get closer",
思い出す,おもいだす,"to recall, to remember, to recollect",
達する,たっする,"to reach, to get to, to arrive at",
切れる,きれる,"to break, to snap, to be cut, to split, to be injured, to wear out, to be worn out",
気を付ける,きをつける,"to be careful, to pay attention, to take care",
吹く,ふく,"to bow, to play a wind instrument, to whistle",
離れる,はなれる,"to be separated, to be apart, to be distant, to leave, to quit, to give up, to lose connection with",
手伝う,てつだう,"to help, to assist, to aid",
避ける,さける,"to avoid, , to ward off, to avert, to put aside",
遊ぶ,あそぶ,"to play, to enjoy oneself, to have a good time, to hang out",
伝える,つたえる,"to convey, to report, to transmit, to communicate, to tell, to impart, to propagate",
取れる,とれる,"to come off, to be remove, to disappear, to be caught, to be harvested, to be taken as, to be attained",
集める,あつめる,"to collect, to gater, to assemble",
優れる,すぐれる,"to surpass, to outstrip, to excel",
間違う,まちがう,"to make a mistake, to be incorrect, to be mistaken",
効く,きく,"to be effective to show effect, to do its work, to carry its function, to be possible to use",
下がる,さがる,"to come down, to go down, to fall, to drop, to sink, to get low, to hang, to dangle, to move back",
見つかる,みつかる,"to be found, to be discover",
燃える,もえる,"to burn, to get fired up",
持ってくる,もってくる,"to bring, to take something along, to fetch, to get",
残す,のこす,"to leave behind, to bequeath, to save, to reserve",
訪ねる,たずねる,"to visit, to call, to pay a visit",私は日曜の朝彼女を訪ねました。
比べる,くらべる,"to compare, to make a comparison, to compete, to vie",
疲れる,つかれる,"to get tired, to tire, to be worn out, to starve",
犯す,おかす,"to commit (crime), to perpetrate, to make (mistake), to break (rule), to violate",
倒れる,たおれる,"to fall (over, down), to collapse, to take a fall, to topple, to be destroyed, to crumble",
越える,こえる,"to cross over, to cross, to pass through, to pass over, to go beyond, to go past, to exceed, to surpass, to be more than",
向ける,むける,"to turn towards, to point",
抱く,いだく,"to embrace, to hold in arms, to hug, to harbour, to bear",
たがる,たがる,"to seem, to eager, to want to, to be anxious to",
消す,けす,"to erase, to delete, to cross out, to turn off power, to extinguish, to put out",
望む,のぞむ,"to desire, to wish for, to expect, to see, to command (a view of)",
洗う,あらう,"to wash, to cleanse to rinse, to inquire into",
尋ねる,たずねる,"to ask, to inquire, to search, to look for, to look into",
含む,ふくむ,"to contain, to comprise, to have, to hold, to include, to embrace",
支払う,しはらう,to pay,
述べる,のべる,"to state, to express, to mention",
行われる,おこなわれる,"to be done, to be practiced, to take place, to be held, to be in fashion, to be current, to come into use",
違う,ちがう,"to differ, to vary, to be in the unusual condition",
引く,ひく,"to pull, to tug, to lead, to draw (attention, card, line), catch a cold, to look up (dictionary)",
迎える,むかえる,"to go out to meet, to receive, to welcome, to greet, to salute, to accept, to call for, to summon, to invite, to approach",
覆う,おおう,"to cover, to hide, to conceal, to wrap, to disguise",
集まる,あつまる,"to gather, collect, assemble",大道芸人のまわりに人が集まった。
貸す,かす,"to lead, to loan, to rent out, to hire out",
愛する,あいする,to love,
苦しむ,くるしむ,"to suffer, to gran, to be worried",
騙す,だます,"to trick, to cheat, to deceive, to coax",
呼ばれる,よばれる,"to be called, to be referred, to be treated to something (meal), to be invited to",
曲がる,まがる,"to bend, to curve, to warp, to wind, to test, to turn, to be awry, to be askew, to be crooked",
勤める,つとめる,"to work for, to be employed, to serve in, to serve as, to act as, to play the role of",
好む,このむ,"to like, to prefer",
流れる,ながれる,"to stream, to flow, to be washed away, to be carried, to drift, to float, to wander, to stray, to sweep, to spread",
描く,えがく,"to draw, to paint, to sketch, to depict, to describe, to imagine",
隠す,かくす,"to hide, to conceal",
痛む,いたむ,"to hurt, to ache, to feel a pain,  to be injured",
壊れる,こわれる,"to be broken, to break, to fall through, to come to nothing",
塗る,ぬる,"to paint, to plaster, to varnish, to spread, to smear, to put up (wallpaper)",
尽くす,つくす,"to exhaust, to run out, to devote, to serve (a person), to do to exhaustion",
断る,ことわる,"to refuse, to reject, to dismiss, to turn down, to decline",
焼く,やく,"to roast, to broil, to grill, to bake, to toast, to barbecue, to heat, to heat uo, to tan",
叩く,たたく,"to strike, to clap, to knock, to beat tap, to pat, to abuse, to bash, to brag",
亡くなる,なくなる,to die,
沈む,しずむ,"to sink, to go under, to set, to descend, to go down",
欠ける,かける,"to be chipped, to be damage, to be broken, to be lacking, to be missing, to be insufficient, to be short, to be deficient, to go into eclipse",
建てる,たてる,"to build, to construct",
得る,える,"to earn, to get, to acquire, to procure, to gain, to secure, to attain, to obtain, to win, to comprehend, to be able to",
言われる,いわれる,"to be called, to be referred to as",
浮かぶ,うかぶ,"to float, to suspend, to rise to surface, yo come into mind, to have inspiration",
使える,つかえる,"to be usable, to be serviceable, to be useful",
つつある,つつある,"to be doing, to be in the process of doing",
願う,ねがう,"to desire, to wish, to hope, to beg, to request, to implore, to pray",
恐れる,おそれる,"to fear, to be afraid of",
合わせる,あわせる,"to match (rhythm, speed, etc), to join together, to unite, to combine, to add up, to face, to be opposite, to check, to compare with, to cause to meet",
出会う,であう,"to meet by chance, to come across, to run across, to encounter, to happen upon, to meet (rivers, highways, etc), to emerge and engage",
捨てる,すてる,"to throe away, to cast away, to dump, to discard, to abandon, to desert, to leave, to give up",
育てる,そだてる,"to raise, to rear, to bring up, to rain, to teach, to educate, to promote the growth of, to nurture to foster to develop",
立てる,たてる,"to astound up, to put u, to set up, to erect, to raise, to thrust into, to dig into",
基づく,もとづく,"to grounded on, to be based on, to be due to, to originate from",
