Concept,Sentences,Translation,Meaning,Structure
なかったら,行かなかったらお母さんは怒るでしょう,Your mother will be very angry if you don't go,if/when (i) don’t (conditional negative),⚭ Vneg-stem  + nakatta → Vnakattara
なかったら,お金がなかったら困ると思います,I think I'd be in trouble if I didn't have the money,if/when (i) don’t (conditional negative),⚭ aru → nakattara
なければ,聞かなければ分かりません,You won’t know if you don’t ask,if (i) don’t  (conditional negative),⚭ Vneg-stem  + nakereba → Vnakereba
なければ,お友達が来なければ電話をしてください,"If your friend doesn't show up, give us a call",if (i) don’t  (conditional negative),⚭ Vneg-stem  + nakereba → Vnakereba
なければ,お金がなければ困ります,"If you don't have money, you're in trouble",if (i) don’t  (conditional negative),⚭ aru → nakereba
なければなりません,帰らなければなりません,I have to go back,"must, have to (obligation)",⚭ Vnoun-stem + nakereba narimasen
なければいけません,毎日学校に行かなければいけません,I have to go to school every day,"must, have to (obligation)",⚭ Vnoun-stem + nakereba ikemasen
なければだめです,宿題をしなければだめだった,I had to do my homework,"must, have to (obligation)",⚭ Vnoun-stem + nakereba dame desu
なければなりません,お金がなければなりません,You have to have money,"must, have to (obligation)",⚭ aru → nakereba narimasen
なくて,お客さんが来なくてどうしますか,"If your guest does not come, What will you do?","without doing, not doing (te-form of nai)",⚭ Vneg-stem + nakute
なくて,手紙を書かなくて電話をしました,"I didn’t write a letter, I telephoned",not this but that (te-form of nai),⚭ Vneg-stem + nakute
なくて,お金がなくて買いませんでした,"I didn't have any money, (so) I didn’t buy","without doing, not doing (te-form of nai)",⚭ aru → nakute
なくても,会社に行かなくても仕事があります,"Even if I don’t go to the company, I still have to work",even if (i) don’t,⚭ Vneg-stem + nakute mo
なくても,車がなくても行かなかればなりません,"Even if you don’t have a car, you have to go",even if (i) don’t,⚭ aru → nakute mo
なくてもいい,わさびを食べなくてもいいです,It’s ok not to eat wasabi,it’s ok not to,⚭ Vneg-stem + nakute mo ii (desu)
なくてもいい,車がなくてもいいです,It’s ok not to have a car,it’s ok not to,⚭ aru → nakute mo ii (desu)
なくていけません,3時に薬を飲まなくてはいけません,I have to take medicine at 3:00,"must, have to (obligation)",⚭ Vneg-stem + nakute (wa) ikemasen
なくてなりません,毎日学校に行かなくてはなりません,I have to go to school every day,"must, have to (obligation)",⚭ Vneg-stem + nakute (wa) narimasen
なくてだめです,お父さんも来なくてはだめです,Your father has to come too,"must, have to (obligation)",⚭ Vneg-stem + nakute (wa) dame desu
なくていけません,電話がなくてはいけません,You have to have a phone,"must, have to (obligation)",⚭ aru + nakute (wa) ikemasen
ないといけません,宿題をしないといけません,I have to do my homework,"must, have to (obligation)",⚭ Vneg-stem + naito ikemasen
ないとだめです,毎日学校に行かないとだめです,You have to go to school every day,"must, have to (obligation)",⚭ Vneg-stem + naito dame desu
なきゃ,ご飯を食べなきゃ,I have to eat,"must, have to (obligation)",⚭ Vneg-stem + nakya
なくちゃ,勉強しなくちゃ,I have to study,"must, have to (obligation)",⚭ Vneg-stem + nakucha
ないと,学校に行かないと,I have to go to school,"must, have to (obligation)",⚭ Vneg-stem + naito
られる,財布は泥棒に盗まれました,My wallet was stolen by a thief,I get/got by someone (passive form),⚭ Vneg-stem + reru/rareru→ Vpass
られる,彼はみんなに知られています,He is known by everyone,I get/got by someone (passive form),⚭ Vneg-stem + reru/rareru→ Vpass
られる,先生に質問されました,I was asked a question by the teacher,I get/got by someone (passive form),⚭ Vneg-stem + reru/rareru→ Vpass
られる,パンが誰かに食べられた,The bread was eaten by somebody,I get/got by someone (passive form),⚭ Vneg-stem + reru/rareru→ Vpass
られる,見られた！,Someone saw me,I get/got by someone (passive form),⚭ Vneg-stem + reru/rareru→ Vpass
られる,この本は多くの人に読まれている,This book is being read by a large number of people,I get/got by someone (passive form),⚭ Vneg-stem + reru/rareru→ Vpass
られる,窓は田中さんに開けられた,The window was opened by Mr. Tanaka,I get/got by someone (passive form),⚭ Vneg-stem + reru/rareru→ Vpass
られる,田中さんに窓を開けられた,Mr. Tanaka opened the window,I get/got by someone (passive form),⚭ Vneg-stem + reru/rareru→ Vpass
られる,田中さんに家を建てられた,Mr. Tanaka built a house,I get/got by someone (passive form),⚭ Vneg-stem + reru/rareru→ Vpass
られる,外国人に質問を聞かれた,I was asked a question by a foreigner,I get/got by someone (passive form),⚭ Vneg-stem + reru/rareru→ Vpass
られる,彼女に料理がまずかったって言われた,She told me that the food was bad,I get/got by someone (passive form),⚭ Vneg-stem + reru/rareru→ Vpass
られる,お母さんに変だと言われます,I am told by my mother that I am strange,I get/got by someone (passive form),⚭ Vneg-stem + reru/rareru→ Vpass
られる,ネタバレされた,Someone spoiled (the story),I get/got by someone (passive form),⚭ suru → sareru
られる,彼女に浮気された,She cheated on me (and I’m upset),I get/got by someone (passive form),⚭ suru → sareru
られる,先生が学生に宿題をたくさんさせた,Teacher made students do lots of homework,Let made someone do (causative form),⚭ Vneg-stem + seru/saseru
させてあげる,私は田中さんに運転させてあげる,I let Mr. Tanaka to drive,I let someone do (causative form),⚭ Vneg-stem  + sete/sasete + ageru
させてくれる,田中さんは私に運転させてくれる,Mr. Tanaka let me drive,Someone let me do (causative form),⚭ Vneg-stem  + sete/sasete + kureru
させてもらう,私は田中さんに運転させてもらう,I have Mr. Tanaka to let me drive,I have/had someone to let me do (causative form),⚭ Vneg-stem  + sete/sasete + morau
させられる,朝ご飯は食べたくなかったのに、食べさせられた,"Despite not wanting to eat breakfast, I was made to eat it",I got made do it/someone made to do it (causative-passive form),⚭ Vneg-stem  + serareru/saserareru
ずに,明日忘れずに彼に会って下さい,Don't forget to see him tomorrow,without doing ,⚭ Vneg-stem  + zuni
ずにはいられない,彼女を愛さずにはいられないなあ,I can't help but love her,can’t help but do,⚭ Vneg-stem  + zuni wa irarenai
あがる,お湯入れて出来上がります,Add hot water and you're ready to go,"do upwards, be finished",⚭ Vnoun-stem + agaru
あげる,仕事を仕上げれば帰ってもいいです,You can go home if you finish your work,"do for someone, do upwards, finish doing (transitive)",⚭ Vnoun-stem + ageru
だす,小鳥はパッと飛び出しました,The little bird took off in a flash,"do suddenly, suddenly starts doing",⚭ Vnoun-stem + dasu
はじめる,もう遅いですから勉強し始めなくてはいけません,"Since it’s late, I have to start studying",begin doing,⚭ Vnoun-stem + hajimeru
かた,すき焼きの作り方を教えてください,Please teach me how to make sukiyaki,"way/method of doing, how to  (verb to noun)",⚭ Vnoun-stem + kata
こむ,生年月日をここに書き込んでください,Please write your date of birth here,"do in, into",⚭ Vnoun-stem + komu
ます,毎朝新聞を読みます,I read the newspaper every morning,normal polite present/future form,⚭ Vnoun-stem + masu → Vmasu
ました,昨夜テレビを見ましたか,Did you watch TV last night?,normal polite past form,⚭ Vnoun-stem  + mashita
ません,まだ食べません,I haven't eaten yet.,normal polite present/future negative form,⚭ Vnoun-stem  + masen
ませんでした,お友達は来ませんでした,Your friend didn't come.,normal polite past negative form,⚭ Vnoun-stem + masen deshita
ましょう,もう帰りましょう,Let's go home.,"normal polite inclusive command, let’s …",⚭ Vnoun-stem + mashou
ましょうか,一緒に行きましょうか,Shall I go with you?,"normal polite inclusive query, shall we …",⚭ Vnoun-stem + mashou ka
ながら,新聞を読みながら事務所に入りました,I went into the office to read the newspaper,while doing ,⚭ Vnoun-stem + nagara
なさい,お父さんに聞きなさいよ,You should ask your father.,abrupt command,⚭ Vnoun-stem + nasai
にいく,デパートへ靴を買いに行きました,I went to the department store to buy some shoes,go somewhere to do,⚭ Vnoun-stem + ni iku
にくる,お母さんと話に来ました,I came to talk to your mother,come somewhere to do,⚭ Vnoun-stem + ni kuru
にくい,あの本はちょっと読みにくいです,That book is a little hard to read,difficult to (creates a true adjective),⚭ Vnoun-stem + nikui
おわる,食べ終わってすぐ出かけました,I went out right after I finished eating,finish doing,⚭ Vnoun-stem + owaru
そう,あの人は倒れそうです,That man is about to fall down.,"appears to be about to, looks like",⚭ Vnoun-stem + sou (desu)
そう,子供は泣きそうな顔をしています,The child looks like she's about to cry.,"appears to be about to, looks like",⚭ Vnoun-stem + sou (desu)
すぎる,昨夜飲みすぎましたから今日具合が悪いです,"I drank too much last night, so I'm not feeling well today.",do too much,⚭ Vnoun-stem + sugiru
たがる,子供はアイスクリムを食べたがりました,The child wants to eat an ice-cream.,"want to, wish to",⚭ Vnoun-stem + tagaru
たい,もう遅いから帰りたいです,"It's late, I want to go home.",want to,⚭ Vnoun-stem + tai (desu)
たかった,エンターテイナーになりたかったです,I wanted to be an entertainer.,wanted to,⚭ Vnoun-stem + takatta
たくない,まだ帰りたくない人は手をあげてください,Raise your hand if you don't want to go home yet.,don’t want to,⚭ Vnoun-stem + takunai
たくなかった,彼は家族から離れたくなかった,He didn't want to leave his family.,didn’t wanted to,⚭ Vnoun-stem  + takunakatta 
つずける,1時間ぐらい歩続けました,He walked for about an hour.,continue doing,⚭ Vnoun-stem + tsuzukeru
やすい,フォークは使いやすいです,The fork is easy to use,easy to (creates a true adjective),⚭ Vnoun-stem + yasui
ほど,おじさんは捨てるほどお金を持っています,Uncle has money to throw away extensively,"to the extent, so much that",⚭ Vdict・Vru + hodo
かぎり,できるかぎり、努力します,I will try to the extent that it is possible,"to the extent that, in so far as, within the limits of",⚭ Vdict・Vru + kagiri
かわりに,行くかわりに電話をしました,I phoned instead of going,"instead of, in place of, in exchange for",⚭ Vdict・Vru + kawari (ni)
気がある,テニスをする気があれば、一緒にしましょうか,"If you’re a mind to play tennis, shall we play together","be of a mind to, to have a mind to",⚭ Vdict・Vru + ki ga aru
気がする,今日病気で、仕事をする気がしません,Today I am sick and don’t feel like working,"feel like doing, willing to do",⚭ Vdict・Vru + ki ga suru
気になる,少しあるきまわると勉強する気になるでしょう,"If you walk around a little, you may come to feel like studying",come to feel like doing,⚭ Vdict・Vru + ki ni naru
ことがある,時々を寿司を食べることがあります,I eat sushi from time to time,"(ever) do, occasionally do",⚭ Vdict・Vru + koto ga aru
ことができる,お兄さんはギータを引くことができる,Older brother can play the guitar,"be able to do, can do",⚭ Vdict・Vru + koto ga dekiru
ことになる,土曜日にも働くことになりました,"It turns out that I will be working on Saturday, also","have been decided, come about",⚭ Vdict・Vru + koto ni naru
ようになる,お母さんが病気で病院に行くようになりました,"Mother was sick, so I wound up going to the hospital","reach to a point, to get to a point",⚭ Vdict・Vru + you ni naru
ことにする,明日東京にい行くことにしました,I decided to go to Tokyo tomorrow,I have decided,⚭ Vdict・Vru + koto ni suru
ようにする,やはり社長さんと話すようにしました,He decided to speak with the company president after all,try to do,⚭ Vdict・Vru + you ni suru
まで,新しいのを買うまで、これを使って下さい,Please use this until I buy a  new one,until (I) do,⚭ Vdict・Vru + made
までに,お客さんが来るまでに、できあがると思います,I think it will be finished by the time the guests come,by the time (I) do,⚭ Vdict・Vru + made ni
まえに,帰る前におお店によって下さい,Please go by the store before coming home,before doing,⚭ Vdict・Vru + mae (ni)
もの,食べるものはありませんか,Don’t you have anything to eat,thing,⚭ Vdict・Vru + mono
な,忘れるな,Don't forget,don’t do (abrupt negative command),⚭ Vdict・Vru + na
ために,子供がわかるためにはっきりと説明して下さい,"In order for the children to understand, please explain clearly","in order to, so that, for the sake of, because of",⚭ Vdict・Vru + tame (ni)
と,東京によると友達にわあなくてはなりません,"If you stop by Tokyo, you must see my friend",if (I) do,⚭ Vdict・Vru + to
とちゅう,今会社へ行く途中です,I en route to the company now,"be en route, on the way",⚭ Vdict・Vru + tochuu (desu)
ところ,今ちょっと出かけるところです,We are about to go out now,be about to,⚭ Vdict・Vru + tokoro (desu)
としたら,車を買うとしたら、どんなものがいいかしら,"If we were to buy a car, what kind would be best",If (I) were to (emphatic conditional),⚭ Vdict・Vru + to shitara
とすれば,お友達が来るとすれば、五月でしょう,"If your friend does come, It will probably be in May",If (I) were to (emphatic conditional),⚭ Vdict・Vru + to sureba
とすると,もしハワイいに止まるとすると一晩だけでしょう,"If we do stop in Hawaii, I will probably be only one night",If (I) were to (emphatic conditional),⚭ Vdict・Vru + to suru to
としても,お母さんに聞くとしても、お父さんが賛成しないと思います,"Even if we ask Mother, I think Father will not approve",even if,⚭ Vdict・Vru + to shite mo
つもり,明日電車で行くつもりです,I intend  to go by train tomorrow,intend to,⚭ Vdict・Vru + tsumori (desu)
ように,明日出かけられるように準備しています,I am preparing to be able to depart tomorrow,in order to,⚭ Vdict・Vru + you ni
よてい,明日テニスをする予定です,I plan to play tennis tomorrow,plan to,⚭ Vdict・Vru + yotei (desu)
せよ,勉強せよ,Study!,abrupt command,⚭ suru → seyo
やれ,やれ,Do!,abrupt command,⚭ yaru → yare
こい,来い,Come!,abrupt command,⚭ kuru → koi
ば,急げば間に合います,"If we hurry, we can make it",if/when (i) do (conditional),⚭ Vcmd + ba → Vcond
ば,アイスクリームは少しだけ食べればいいです,"If you only eat a little ice cream, it’s okay",if/when (i) do (conditional),⚭ Vcmd + ba → Vcond
ばよかった,早く食べればよかったです,I should have eaten sooner,"should have done, wish to do",⚭ Vcmd + ba yokatta (desu)
すればよかった,勉強すればよかったです,I should have studied,"should have done, wish to do (kuru: kureba, suru: sureba)",⚭ suru → sureba yokatta (desu)
くればよかった,早く来ればよかったです,I should have come earlier,"should have done, wish to do (kuru: kureba, suru: sureba)",⚭ kuru → kureba yokatta (desu)
えます,日本語が読めますか,Can you read Japanese?,potential form ( group 1 verbs: yodan),⚭ Vcmd + ru → Vpot
えます,日本語が話せますか,Can you speak Japanese?,potential form ( group 1 verbs: yodan),⚭ Vcmd + ru → Vpot
える,日本語が読める？,Can you read Japanese?,potential form ( group 1 verbs: yodan),⚭ Vcmd + ru → Vpot
える,日本語が話せる？,Can you speak Japanese?,potential form ( group 1 verbs: yodan),⚭ Vcmd + ru → Vpot
られる,辛いものは食べられますか？,Can you eat spicy food?,potential form ( group 2 verbs: ichidan),⚭ Vcmd + rareru → Vpot
できる,静かに勉強できますか？,Can you study quietly?,potential form ( suru: dekiru),⚭ suru → dekiru
できる,お手洗いをちょっとお借りできますか,Can I use your restroom for a moment?,potential form ( suru: dekiru),⚭ suru → dekiru
できる,わたしはにほんごをはなすことができる,I can speak Japanese.,potential form ( suru: dekiru),⚭ suru → dekiru
くれる,明日は来れるかな？,Can you come tomorrow?,potential form ( kuru: kureru),⚭ kuru → kureru
おう,もう遅いから帰ろう,"It's late already, Let's go home",let’s ..  (informal inclusive command),⚭ Vvol
よう,食べよう,Let's eat.,let’s ..  (informal inclusive command),⚭ Vvol
こよう,ビーチに来よう,Let's come to the beach,let’s ..  (informal inclusive command),⚭ kuru → koyou
しよう,明日試験ですから勉強しようよ,"We have an exam tomorrow, Let's study",let’s ..  (informal inclusive command),⚭ suru → shiyou
おうか,1時半に始めようか,Shall we start at 1:30?,shall we ..  (informal inclusive query),⚭ Vvol + ka
ようか,明日また来ようか,Shall we come again tomorrow?,shall we ..  (informal inclusive query),⚭ Vvol + ka
おうとおもう,今日友達の家に行こうと思います,I think I will go my friend's house today,i think i will,⚭ Vvol + to omou
おうとおもう,明日また来ようと思っています,I am thinking I will come again tomorrow,i think i will,⚭ Vvol + to omou
おうとする,ドアを開けようとしたが鍵がかかっていました,"I tried to open the door, but it was locked","be about to, try to, attempt to",⚭ Vvol + to suru
おうとする,お風呂に入ろうとしたら電話がかかってきた,"When I was about to take a bath, the phone rang","be about to, try to, attempt to",⚭ Vvol + to suru
おうとする,会社からまさに出ようとした時雨が降ってきた,"When I was just about to leave the office, it started to rain","be about to, try to, attempt to",⚭ Vvol + to suru
おうとする,電車に乗ろうとしたときにドアが閉まって乗れなかった,"When I tried to get on the train, the door closed and I couldn't get on","be about to, try to, attempt to",⚭ Vvol + to suru
おうとしている,先生は授業を始めようとしています,The teacher is about to start class,"be about to, trying to, attempting to (progressive form)",⚭ Vvol + to shite iru
おうとしている,警察に電話しようとしています,He is about to call the police,"be about to, trying to, attempting to (progressive form)",⚭ Vvol + to shite iru
てあげる,地図を書いてあげましょうか,Shall I draw you a map,do for someone,⚭ Vte + ageru
てやる,友達に見せてやろうと思います,I think I will show it to my friends,do for someone,⚭ Vte + yaru
てある,手紙はもう書いてあります,The letter have already been written,has been done,⚭ Vte + aru
てある,電気はもう点けてありました,The lights have already been turned on,has been done,⚭ Vte + aru
てほしい,お母さんに買って欲しいです,I want my mom to buy it,I want someone to do,⚭ Vte + hoshii (desu)
てほしい,野菜を食べて欲しかったです,I wanted you to eat your vegetables,I want someone to do,⚭ Vte + hoshii (desu)
てほしい,見て欲しいものがあります,I want you to see something,I want someone to do,⚭ Vte + hoshii (desu)
てほしい,部屋が散らかっているから片付けてほしい,The room is cluttered so I want you to clean it up,I want someone to do,⚭ Vte + hoshii (desu)
ていく,先生と話して行きましょう,Let’s talk with the teacher and go,"do and then go, do before going",⚭ Vte + iku
持っていく,この本を持って行きます,I will take this book with me,"take and go, take away with you (something)",⚭ motte + iku
連れていく,映画にいくなのなら妹も連れていきなさい,"If you go to the movies, take your sister with you","take and go, take away with you (someone)",⚭ tsurete + iku
ている,父は今新聞を読んでいます,My father is reading the newspaper right now.,continuous action (progressive form),⚭ Vte + iru
ている,お店が開いています,The store is open.,continuous state (resultative form),⚭ Vte + iru
ている,あの店では新しい野菜を売っています,The store is selling new vegetables.,habitual (repetitive form),⚭ Vte + iru
ていただきます,明日先生に教えていただきます,The doctor will tell us tomorrow.,have someone do,⚭ Vte + itadakimasu
ていただきます,今晩電話をしていただけませんか,Could you please call me tonight?,have someone do,⚭ Vte + itadakimasu
てもらう,少年は大人の友達にビールを買ってもらいました,The boy asked his adult friend to buy him a beer.,have someone do,⚭ Vte + morau
てから,食べてから宿題をする予定です,He is going to eat and then do his homework.,after doing,⚭ Vte + kara
てください,これを見てくださいますか,Will you look at this?,please do (polite request),⚭ Vte + kudasai
てくる,食べてきました,I've eaten.,"do and come back, do/done before  coming",⚭ Vte + kuru
持ってくる,傘を持ってきませんでした,I didn't bring my umbrella.,bring,⚭ motte + kuru
行ってくる,すみません、ちょっと行ってきます,"Excuse me, I have to go.",be (right) back,⚭ itte + kuru
忘れてくる,教科書を忘れてきました,I forgot my textbook.,forgot to bring,⚭ wasurete + kuru
てみる,美味しいですから食べてみてください,It's delicious. You should try it.,"do and see, try doing",⚭ Vte + miru
てみる,怪しい音が聞こえたから部屋に入ってみました,"I heard some suspicious noises, so I went into the room.","do and see, try doing",⚭ Vte + miru
ても,友達が来ても出かけてはいけません,You shouldn't go out when your friends come.,even if (i) do,⚭ Vte + mo
ても,走っても間に合わないと思います,I don't think I can run in time.,even if (i) do,⚭ Vte + mo
てもいい,早く帰ってもいいですか,Can I go home early?,it’s ok to,⚭ Vte + mo ii (desu)
てもいい,少し食べてもいいです,I don't mind if you eat a little.,it’s ok to,⚭ Vte + mo ii (desu)
てもだいじょうぶ,急がなくても大丈夫だよ,There's no need to hurry.,even if..it’s ok,⚭ Vte + mo daijoubu (desu)
てもだいじょうぶ,試着ても大丈夫ですか,Can I try on a dress?,even if..it’s ok,⚭ Vte + mo daijoubu (desu)
てもかまいません,質問しても構いませんか,Can I ask you a question?,even if..there is no problem,⚭ Vte + mo kamaimasen
てもかまいません,窓を開けても構いませんか,Do you mind if I open the window?,even if..there is no problem,⚭ Vte + mo kamaimasen
てもかまいません,随時に退席ても構いません,You may leave the room at any time.,even if..there is no problem,⚭ Vte + mo kamaimasen
ておく,明日テストですから勉強しておきましょう,"You have a test tomorrow, so you'd better study.","do for a later purpose, do and set aside, leave as is",⚭ Vte + oku
ておく,窓を開けっ放しにあひておくな,Don't leave the window open.,"do for a later purpose, do and set aside, leave as is",⚭ Vte + oku
てしまう,考ええなくて言ってしまいました,I couldn't think of anything else to say.,"do completely, irrevocably, irretrievably",⚭ Vte + shimau
てはいけません,ここでタバコを吸ってはいけません,Don't smoke in here.,"its not ok to, should not do",⚭ Vte + wa ikemasen
てはだめです,図書館の中で大声で反してはだめです,Don't talk loudly in the library.,"its not ok to, should not do",⚭ Vte + wa dame desu
た,少し休んだ,I got some rest.,informal past ,⚭ Vta
た,私は日本料理を食べた,I ate Japanese food,informal past ,⚭ Vta
たあと,食べた後出かけました,"After we ate, went out","after doing, after having done",⚭ Vta + ato
たあと,終わった後電話をします,"After I'm done, I'll call you ","after doing, after having done",⚭ Vta + ato
たばかり,いま食べたばかりです,I just ate,have just done,⚭ Vta + bakari (desu)
たばかり,鈴木さんがついたばかりだと思います,I think Mr. Suzuki just arrived,have just done,⚭ Vta + bakari (desu)
たことがある,ロンドンに行ったことがありますか,Have you ever been to London?,"have (ever) done, had been",⚭ Vta + koto ga aru
たことがある,刺身を食べたことがありません,I've never eaten raw fish before,"have (ever) done, had been",⚭ Vta + koto ga aru
たら,お友達が今電話をしたらどうしますか,What would you do if your friend called you right now?,if (i) do/did ,⚭ Vta + ra
たら,お金がなくなったら困ります,I would be in trouble if my money ran out,if (i) do/did ,⚭ Vta + ra
たりする,学校が終わってから手紙を書いたり音楽を聞いたりします,"After school, I write letters and listen to music",non-sequential series of verbs,⚭ Vta + ri~tari suru
ために,先生が言ったために信じました,"Because the teacher said, I believed it",because (i) did because of,⚭ Vta + tame (ni)
ために,手紙を受けたために電話をしました,"Because I received your letter, I called you ",because (i) did because of,⚭ Vta + tame (ni)
ために,気分が悪いですがよく寝なかったためです,"I don't feel well, but that's because I didn't sleep well",because (i) did because of,⚭ Vta + tame (ni)
たところ,今食事が終わったところです,I've just finished dinner,"just did, have just done, the point of having done",⚭ Vta + tokoro (desu)
のが好きです,サッカーを見るのが好きです,I like to watch soccer・I like watching soccer,I like to,⚭ Vdict + no ga suki desu 
のが嫌いです,自転車に乗るのが嫌いです,I don’t like to ride a bicycle・I don’t like riding a bicycle,I don’t like to,⚭ Vdict + no ga kirai desu 
のが得意です,ピアノを弾くのが得意です,I am good at playing piano,I am good at (one’s forte),⚭ Vdict + no ga tokui desu 
のが上手です,ピアノを弾くのが上手です,I am good at playing piano,I am good at,⚭ Vdict + no ga jouzu
のが苦手です,絵を描くのが苦手です,I am not good at drawing a picture,I am not good at,⚭ Vdict + no ga nigate desu
のが下手です,絵を描くのが下手です,I am bad at drawing a picture,I am bad at,⚭ Vdict + no ga heta desu
つもり,パーティーに行くつもりです,I intend to go to the party,I intend to,⚭ Vdict + tsumori
まえに,寝る前に本を読みます,I read a book before going to sleep,Before doing,⚭ Vdict + mae ni 
ましょうか,荷物を持ちましょうか,Shall I carry your bag,"Shall I, Shall we",⚭ Vnoun + mashouka 
にいきます,新宿ウニ映画を見に行きます,I’ll go to Shinjuku to see a movie,Go to do,⚭ Vnoun + ni ikimasu 
すぎる,昨日ケーキを食べすぎました,I ate too much cake yesterday,Too much,⚭ Vnoun + sugiru 
たい,ラーメンが食べたいです,I want to eat ramen,I want to,⚭ Vnoun + tai 
てほしい,ラーメンが食べて欲しいです,I want you to eat ramen,I want you to,⚭ Vte + hoshii
てください,ゆっくり話してください,Please speak slowly,Please do,⚭ Vte + kudasai
てもらえませんか,ひらがなで書いてもらえませんか,Could I have you write it in hiragana,Could I have you,⚭ Vte + moraemasen ka
て.. て,渋谷に行ってご飯を食べる,I’ll go to Shibuya and eat some food,do and do,⚭ Vte + .. verb
てもいい,今日早く帰ってもいいですか,May I leave early today,May I,⚭ Vte + mo ii 
てもいいですか,充電器を借りってもいいですか,May I borrow a charger,Is it ok to,⚭ Vte + mo ii desu ka 
ている,今日本語を勉強している,I’m studying Japanese now,Continuous action,⚭ Vte + iru 
ている,埼玉に住んでいる,I’m living in Saitama,Continuous state,⚭ Vte + iru 
ていた,昨日の夜８時ごろお風呂に入っていた,I was taking a bath about 8pm last night,I was -ing,⚭ Vte + ita
ていた,10年前パリに住んでいた,I used to live in Paris ten years ago,I used to ,⚭ Vte + ita
ていません,まだ昼ごはんを食べていません,I haven’t eaten lunch yet,I haven’t yet,⚭ mada ~ Vte + imasen 
たことがあります,富士山位登ったことがあります,I have climbed Mount Fuji,"I have been to, have done",⚭ Vta + koto ga arimasu 
たおほうがいい,駅まではバス行ったほうがいいですよ,It’s better to go by bus to the station,Its better to,⚭ Vta + hou ga ii desu 
たりします,映画を見たり、買い物をしたりします,I do things like watching movies and going shopping,"I do things like -ing, -ing",⚭ Vtari + .. Vtari shimasu 
たら,お金があったら、世界中旅行します,"If I had the money, I would travel around the world",If I Verb,⚭ Vta + ra 
