W1,W2,W3,W4,W5,W6,W7,W8
漏る,断る,比べる,交じる,調べる,表す,引出す,包む
脱ぐ,去る,捕まる,尽きる,取り巻く,驚く,感じる,戻る
経つ,思える,絶える,点ける,扱う,現す,思う,破る
打つ,露呈する,落とす,為さる,騙す,求める,続ける,歩む
置く,描く,隔たる,裂ける,並ぶ,向かう,目立つ,退く
剥ぐ,保つ,感ずる,避ける,起す,具える,教わる,来る
捕る,気にする,塞ぐ,下げる,受け取る,戻る,含める,巡る
咲く,諦める,寄こす,起こる,砕ける,降りる,受ける,導く
揉む,燃える,任せる,触れる,遡る,繋ぐ,考える,渡る
因る,浮かぶ,飢える,掛ける,基づく,怒る,溺れる,潜る
得る,襲う,酔う,入れる,叶う,痩せる,売り出す,被る
有る,祈る,植える,泊まる,運ぶ,含む,勤める,畳む
住む,述べる,促す,凝らす,流す,始まる,崩れる,躓く
浮く,向ける,嘆く,苦しむ,貰う,喜ぶ,交わる,望む
見る,見逃す,馴らす,切れる,揃う,怯える,見付かる,軋む
炊く,含む,制する,投げる,選ぶ,売る,打付ける,詰る
継ぐ,集める,鳴らす,終わる,行う,飽きる,疲れる,限る
練る,届く,降ろす,止める,脅す,結ぶ,休める,惜しむ
出す,訴える,見える,恥じる,滞る,囀る,手伝う,焦る
拭く,合わせる,越える,染みる,葬る,凌ぐ,行く,萎む
炒る,勤める,届く,懲りる,返す,泣く,付き合う,囁く
呼ぶ,動く,報ずる,降りる,沸かす,退く,痺れる,尖る
縫う,避ける,増やす,負ける,転ぶ,入る,出切る,進む
履く,捕まる,弾く,悲しむ,塞がる,歌う,片付く,昇る
遭う,値する,演じる,馴れる,背く,謝る,長引く,腐る
似る,量る,剥がす,責める,謙る,借りる,支払う,曇る
彫る,引き起こす,連なる,垂れる,潰す,聳える,破れる,贈る
飛ぶ,迎える,動く,漬ける,奉る,起こす,咎める,弄る
為る,気を付ける,演ずる,励ます,治す,屈する,裏切る,移る
焚く,治る,論ずる,揺れる,助ける,渡る,定める,迫る
漕ぐ,壊れる,老いる,剥げる,広がる,鍛える,高める,登る
驚く,点く,埋まる,止まる,及ぶ,切る,見落とす,争う
絶つ,通じる,吠える,述べる,透かす,寝る,合う,補う
病む,苦しむ,慌てる,決まる,捕える,笑う,見下ろす,残る
弾く,犯す,ずらす,費やす,震える,尊ぶ,物語る,漂う
裂く,就く,縮まる,込める,払う,違える,怒鳴る,返る
煎る,望む,対する,変わる,給う,話す,間に合う,直る
焼く,申し上げる,信ずる,脅かす,響く,叶える,汚れる,守る
遣る,役立つ,据える,老ける,授ける,打つ,強める,戦う
勝つ,曲がる,耐える,受ける,浮ぶ,屈折する,凭れる,盗む
振る,輝く,適する,落ちる,写す,生きる,沈める,働く
編む,黙る,設ける,駆ける,偏る,残る,引返す,捻る
鳴る,満ちる,尽くす,当てる,預ける,読む,与える,語る
退く,抱える,除く,揉める,学ぶ,喜ぶ,出合う,罹る
煮る,尋ねる,漏らす,活ける,映す,見せる,引受る,含む
剥く,話しかける,担ぐ,解ける,笑う,答える,零れる,放る
説く,集まる,掲げる,与える,離す,選ぶ,集める,潜る
