P1,T1,P2,T2,P3,T3
これが そのうどん,This is the udon.,ほら 思いきって ひっくり返してみて,Take a chance and turn it over.,きっと モデルとか 女優とか,"I'm sure there are models, actresses..."
いかにも 味が 染み込んでそうな馬肉に,The horse meat seems to have soaked up all the flavor.,私にもできたわよ 美音ちゃん,"I did it, too, Mine.",他にもいろいろ やりまくっちゃってんだよ,I'm sure she's done a lot of other things too.
軽く ゆでたキャベツ,And lightly boiled cabbage.,完璧です 免許皆伝ですよ,Perfect. You're all licensed.,ホント ろくでもねえよな,"You're a real piece of work, you know that?"
基本的な吉田うどんの感じか,It's just basic Yoshida udon.,ありがとう 美音ちゃん ありがとう,"Thank you, Mine. Thank you.",ただ いるだけだろ,They're just there.
いただきます,Bon appétit.,大げさですよ,You're exaggerating.,前岡さんが よく この白菜漬けの話してて,Mr. Maeoka often talks about this pickled Chinese cabbage.
シンプルに うまい,It's simply delicious!,あっ 餃子だ！,Dumplings!,ろくでもないか,Not at all.
つゆは醤油ベースかと思いきや ,I thought the soup was soy sauce based. ,お姉ちゃん みそダレ作って,"Sis, make the miso sauce.",世間様には なんにも言い訳できないけどさ,I can't make any excuses to the world.
だしの利いた味噌ベースなんだ,It's a miso-based dish with a hint of dashi.,しょうがないわね,I can't help it.,それが たまたま こっちが男で 向こうが女で,It just so happens that this one is a man and that one is a woman.
肉の甘みと合うなぁ,It goes well with the sweetness of the meat.,せめてネギぐらい 自分で刻みなさい,At least chop the green onion yourself.,ふとした拍子に…,And suddenly...
うどん自体も柔らかいんだけど,"The udon itself is soft, but",がってん承知之助 フフッ,I'll do it myself.,間違ってるってことは わかってても,Even though I know it's wrong...
太い分 ちゃんと 奥のほうにコシもあって,"The udon itself is soft, but it's thick, so it has a firm texture in the back.",もう たまんない,I can't get enough.,飛び込んでしまう 気持ちっていうか,The feeling of jumping in.
歯応えもいい,It's also very chewy.,みそダレ？　初めて見た,Miso sauce?　I've never seen it before,それから１週間ほどたった頃だった,It was about a week later.
すりだねだ,It's made of ground rice.,意外な味わいね,It has an unexpected taste,お酒と白菜漬け ちょうだい,Can I have some sake and pickled Chinese cabbage?
この味 ずっと守り続けてくださいね,Please keep this flavor alive.,うん これはこれでおいしい,It's delicious in its own way.,西口のホテルにいるんだけどね,I'm at the hotel at the west entrance.
いや　それはムリムリ そんなつもりも ないし,"No, that's impossible. I have no intention of doing that.",ついでに 塩こしょうも試してみて,"Try the salt and pepper, too.",こんなカンヅメ 初めてよ,I've never been in this kind of trouble before.
誰も継いじゃくれないでしょう,I don't think anyone will take over.,これはこれでおいしい,"It's delicious, too.",世の中って面白いよね,It's funny how the world works
私の代で終わりじゃないの？,Isn't this going to end after my generation?,餃子のカリカリが全然消えない,The crunchiness of the gyoza won't disappear at all.,私の作品を 一番わかってくれてる人なの,He's the one who understands my work the most.
うどん屋さん 増えて お客さん 減ってるし,"There are more udon shops, but fewer customers.",うん そりゃそうよ 液体ゼロだも,"That's right, there's no liquid",初めてのプロデューサー,My first producer.
フッ… 私だって いつまで続けられるか,I don't know how long I can keep going.,うちでは いつも ラー油入り酢じょうゆ,"In our house, we always use vinegar sauce with chili oil.",作品でつながってると―,He said we're connected through our work.
ずっと食べられるわけじゃ ないんだ,It's not like we'll be able to eat them forever.,みそダレ 塩こしょうは 欠かせなくて,"Miso sauce, salt and pepper are a must.",そろそろ限界かなあ,I think I'm reaching my limit.
女将さんが辞めてしまったら 絶えてしまう,"If the proprietress quits, we'll die out.",あん 持ってかなくていいの？,Don't you have to bring the pastries?,どうだったのよ？,How was it?
このまま絶やしてしまうのが惜しい,It would be a shame to let it die out.,あっ また 今夜もお二人で？,Will it be the two of you again tonight?,うん… 右の後ろ足が折れちゃって,His right hind leg is broken.
それゆえに,That's why.,いやあ 駅で 偶然 出会っちゃって,"No, we just ran into each other at the station.",ひとまず無事か うん,He's okay for now?
うまい,It's delicious.,そんなこと言って どうぞ お好きな席,"Don't say that. Please, take your seat.",送ってくから乗りな,I'll give you a lift. Get in.
ごちそうさまでした,Thank you for the food.,今日のおすすめは餃子か 珍しいね,Today's recommendation is dumplings. That's unusual.,うまかったよ 白菜漬け,It was delicious. Pickled Chinese cabbage.
また 来ますね,I'll be back.,私も またあとで食べたい,I want to try them again later.,私もね おじさんと故郷 一緒なの,I'm from the same town as you.
次 来るときは なくなってたりして,"The next time I come back, it might be gone.",また そんなこと言って,You keep saying that.,泣いてても しょうがないから,There's no point in crying.
そんなこと言わないでくださいよ,Please don't say that.,まずは ビールを頂こうかな,I think I'll have a beer first.,先週 帰った時 海 行ったんだ,"When I was back last week, I went to the beach."
冗談よ　冗談,Just kidding. Just kidding.,フッ いつものビールもいいですが,"The usual beer is fine, but...",そうすっとさ 海岸にカニがいた,And there were crabs on the beach.
それじゃ ありがとうございました,Thank you very much.,はい こんなのは いかがですか？,How about something like this?,そんなもん もう いねえと思ってたらさ,"I thought it was gone, but..."
お気をつけて,Take care.,おお？　見たことないビールだな,Oh?　I've never seen this beer before.,生きてたんだ,But it was alive.
ごちそうさまでした,Thank you for the food.,まさに麦って感じで 香りも強いです,"It has a strong aroma, just like barley.",やったね,You did it.
 レシピもない　後継ぎもいない,"We have no recipe, and no one to take over.",どちらも今日の餃子に とっても合いますよ,Both go well with today's gyoza.,面白いよ 文句なしに,It's funny. I can't complain.
もう二度と 食べられないかもしれない,We may never be able to eat it again.,んー 困ったな どちらも捨てがたい,I'm at a loss. I can't decide between them.,吹っ切れたのかな？,I guess you're over it.
絶滅してしまうかもしれない 絶品メシ,An exquisite meal that may become extinct.,面倒だ １本ずつ頼んで 飲み比べよう,"It's too much trouble, let's order a bottle each and compare.",書き出したら止まらなくなった,I couldn't stop writing.
自宅までのルートを検索いたします, We will find a route to your home.,いいね では１本ずつ,"Great, one bottle at a time.",すぐ会社に見せるよ,I'll show it to the company right away.
今週も お疲れさまでした,Thank you again for your hard work this week.,はい ありがとうございます,"Okay, thank you.",終わりにしましょ,Let's end this.
君にはビジョンがないんだよ,You don't have a vision.,わはっ 熱っ,So hot!,ちょっと待てよ,Wait a minute.
俺の人生って 何だろう？,I wonder what my life is.,おや 餃子とは珍しいね,It's rare to find dumplings here.,でないと私 進めない,"Otherwise, I can't go on."
車中泊 始めたころって ,When I first started sleeping in the car. ,ウメさん めちゃくちゃ おいしい餃子ですよ,"The dumplings are really delicious, Ume.",作品で証明していくしかないんだよな,We'll just have to prove it with our work.
ただ 車の中で寝るだけでも 楽しいからね,Just sleeping in the car is fun.,いよいよ 何でも屋に くら替えかい？,Are you finally going to switch places?,終わりにしましょ,Let's end this.
19のときから この店しか やってないから,This is the only place I've worked since I was 19.,おや うちの嫁の仕業かい,It's my wife's work?,ちょっと待てよ,Wait a minute.
ちょいと面白いだろ,It's kind of fun.,ええ 餃子の焼き方 教えてほしいって,"Yes, she wants to know how to make dumplings.",でないと私 進めない,"Otherwise, I can't go on."
初めて知りました,I've never heard of this before.,ああ～ なるほど そりゃ 面倒かけたねえ,"Oh, I see. Well, thanks for the trouble.",持ってかないの？,You're not taking it?
自分で 好みの味にできてる,I can make it taste just the way I like it.,おかげで 珍しいおすすめができました,"Thanks to you, I have a rare recommendation.",受け取れないよ,I can't take it.
それに タレの皿もいらないから,"Besides, I don't need a plate of sauce.",そうかい？ そんならいいけど,Really? I hope so.,今度ドラマ 評判いいみたいじゃない,I hear the drama is getting good reviews
確かに合理的,That's very reasonable.,ウメさんも 餃子 食べる？,"Would you like some gyoza, Ume?",月ちゃん 懲りないのねえ,"You never learn, Tsuki."
お気遣い ありがとうございます,Thank you for your concern.,じゃあ 水餃子は？,How about dumplings?,そんなんじゃないわよ,It's not like that.
大満足に 決まってるじゃ,I'm sure you'll be very happy.,それなら 食べたいね,I'd like to try that.,マスター白菜漬け 大盛りね,"A big bowl of pickled Chinese cabbage, Master."
あん 残るといいけどね,I hope there's enough left.,ウフフッ スープ仕立てのほうがいいかしら？,Would you like it in soup?,白菜漬けは 漬ける前に,Before pickling Chinese cabbage.
宇都宮餃子会と共同開発した,Jointly developed with the Utsunomiya Gyoza Association,いやいや お湯でいいよ お湯がいい,"No, just hot water. I like hot water.",半日くらい陰干しすると,Dry it in the shade for about half a day.
すっきりとした喉越し きめ細かい泡,It has a clean throat and fine foam.,分かりました,I understand.,うまみや甘みが凝縮されます,It concentrates the flavor and sweetness.
テフロン加工されたフライパンを 熱します,Heat a nonstick frying pan.,決めた！ 水と焼き どっちも食べる,I've decided! I'll eat both water and grilled.,昆布やタカノツメを加えて漬けると,"If you add kombu or hawthorn to the pickles, it will make them taste better."
小麦粉水を作ります,Make the flour water.,フッ 食べられるといいけどね,I hope you can eat them.,一層うまくなります,It becomes even better!
泡が 少なくなってきたら,When the bubbles start to diminish.,はい どうぞ 熱いから気をつけて ,"Here you go. Be careful, it's hot.",おやすみなさい,Good night.
蓋を開けます,Open the lid.,しょうゆと お酢おくれよ あとラー油も,"Give me soy sauce, vinegar, and chili oil.",特技もないし,I don't have any special skills.
ゴマ油を流す時は,When pouring the sesame oil,あっ ごめんなさい タレね,"Oh, sorry, the sauce.",味付けには 何の不満もないけど,I have no complaints about the seasoning.
餃子に かからないように,Try not to get it on the dumplings.,いやいやいや バラで,"Oh no, I want them separately.",客が自分で采配できるってのも ,It's a little interesting that the customer can call the shots. 
この乾いたパチパチッという音が 鳴ったら,When you hear this dry crackling sound.,じゃ 結構 普通な 食べ方らしいんだけどね,So it's a pretty normal way to eat.,スープ代わりにも なるじゃないって,I thought it could be used as a soup.
もう一度 蓋を開けてみましょう,Open the lid again.,宇都宮… 餃子で有名な？,Utsunomiya... famous for its dumplings?,試してみたら なかなか おつな味でね,"I tried it, and it tasted pretty good."
お皿をかぶせて,Cover with a plate.,私も初めは驚いたけどさ,"I was surprised at first, too.",以来 水餃子 食べる時は ずーっと これ,"Since then, I've always eaten dumplings with this."
お姉ちゃん 最高,You're the best.,こうすりゃ タレも薄まらないし―," This way, the sauce won't dilute.",今でも録画消さずに取っといてありますもん,I'm still keeping the recording.
今日は、天ぷらの作り方をご紹介します,"Today, I will introduce how to make tempura.",では最後までお楽しみください,Please enjoy until the end.,などからの素敵な景色を眺めながら,While enjoying the beautiful view from the
とても簡単に作ることができます,You can make it very easy.,無事つきましたホテル三日月です,I've arrived safely at the Hotel Crescent.,のんびりまったりと過ごしておりました,I spent the day relaxing and taking it easy.
必要なのは小麦粉と卵,You need only flour and eggs.,では早速館内を散策してみましょう,Let's take a walk around the museum.,りっこ国立公園のお土産ですね,A souvenir from Rikko National Park.
ぜひお試しください,Please try.,インスタ映えスポットが所々に,Instagrammable spots are everywhere.,詰まってるうっそー サミットなんだこれ,"It's jammed. Oh, shit. It's the summit."
では、始めましょう！,Let's get started!,ではテラスに出てみます,I'll go out on the terrace.,中身はですねこんな感じでしたおいしそうだ,I'm sure you'll be pleased to know that I'm not the only one.
天つゆを作って食べます,Make tempura soup and eat.,はい外はねすごくラグジュアリーな感じ,"Yes, outside, it's very luxurious.",要氏はですねこちらに美味しい釜飯の炊き方,"The point is, here's how to cook a good pot of rice."
クッキーが欲しい,I want cookies.,そして自然豊かで本当にロケーションが最高,"And the location is really great, rich in nature.",作りたいと思います,I'd like to make one.
お野菜食べたらクッキーたべよう,"If you eat vegetables, let's eat cookies Ok?",こちらは水盤テラスで,This is the water table terrace.,明日良い香りがめっちゃ吸うわ火をつけます,"It's going to smell so good tomorrow, I'm going to light it."
ご飯食べたらクッキー食べよ,"If you eat rice, eat cookies.",温度は約40度,Temperature is about 40 degrees Celsius.,ちょっと付いたと言ったんいただきます,I said I got a little something for you.
さつまいもをスライスして水に浸します,Slice the sweet potatoes and soak them in water.,水盤テラスには手湯と足湯がありました,There were hand and footbaths on the water table terrace.,かわいい切り方とか,Like a pretty cut.
ほら、入れると白くなった,"You see, it turned white when I put it in.",では早速座布団をしいて,"Now, let's put the cushions on.",もう差しに言えば耐えています,"I've already endured it, to put it mildly."
水につけとくね,Soak it in water.,足湯を利用したい と思いまーす,I would like to use the footbath.,わさびをつけたいかと言うんですよ,He asks if I want to put wasabi on it.
そしてお茄子,and eggplant.,タオルもあるのでとても,"There are towels, so it's very",親指へオニオンソースがソックァンは,Onion sauce on the thumb.
おてて、使っていいよ,Use your hands.,便利でした,It was convenient.,彼に向いたことないんですよ,I've never been good enough for him.
次に大根おろしをつくります,Next we use Daikon radish.,早速足湯に浸かってみます,I'm going to take a soak in the footbath right away.,ほっこりしてる いただきまーす,I'm dusty. Let's eat.
なんていうの？,What do you say?,ロングスカートだとちょっと大変でしたね,It was a little difficult with the long skirt.,盛り付けました ,I served it up. 
おきになさらず,Don't mind me.,はい、すごくあったかかったです,"Yes, it was very warm.",ふわふわだねうわすごい夕日が尋常じゃ,I'm sure you'll be fine.
びっくりしました,I was so surprised.,じんわり とに温まることができました,It warmed me up nicely.,夜のプールは昼間とは違った雰囲気で,The pool at night has a different atmosphere than during the day.
これはエビですか？,Is this a shrimp? ,ここまでの旅の疲れが癒されました,It was a great relief from the exhausting journey so far.,素敵でしたライトアップされているの,"It was beautiful, all lit up."
できる？じゃ、全体お口に手を入れないよ,Are you sure? Don't put your hands in your mouth.,時間になりましたのでお部屋に入りたい,It's time to go to your room.,がすごくいい感じですよね,"is really nice, isn't it?"
約束できる？「はい」,"Can you promise? ""Yes"" Then",エレベーターを使って7階まで上がります,Take the elevator up to the seventh floor.,では早速入ってみましょう,So let's get in there.
じゃ、やってもらおう,Then let's do it.,はいお部屋に到着しました,"Yes, we've arrived at your room.",このね端っこのところまで行ってみました,I went to the end of the line.
こうやってか？,Are you doing this?,本日の部屋は759号室です,Today's room is room 759.,夜もところでございます,It is late at night
これ、むいていって？,Can you peel this off for me?,おしゃれな和テイストのお部屋ですね,It's a stylish Japanese style room.,しばらくゆったりまったり過ごします,I'll be relaxing for a while.
ぬがしてあげて？,Can you take it off?,結構のこのレトロなタイプの鍵私好きです,I like this retro type of key.,そしてお部屋に戻る前に大浴場,"And before going back to our room, we took a bath."
すごいね、なんでもやらしてみるもんやね,It's amazing. You can try anything.,では早速開けてみたいと思います,"Now, I'd like to open it right away.",視察しに行きたいと思います,I'd like to go and inspect it.
集中しております,I'm focused.,かなり開放感のある素敵なお部屋です,It's a nice room with quite an open feel.,なんだかすごいところに入れました,I've been in some amazing places.
パンツは脱がさないでね,Don't take off your pants,では ルームツアーをしていきたいと思います,"Now, I'd like to give you the room tour.",音があれば女に多くにあるんですねしかも,I'm sure you'll be able to find a lot of people who are interested in this.
いい感じ,Good feeling ,和洋室ですね おお、おお素敵,"It's a Japanese-Western room. Oh, how nice.",思いっきり三ッ葉間違えたという,I made a big mistake.
ちょっと待って みてて,Wait a minute. Watch this.,大きなベッドが2つもありますね,You have two large beds.,健康なまみたい一回一 の,I want to be healthy once and for all.
このように切ります,Cut it like this.,窓からの眺めはこんな感じです,Here's the view from the window.,では7階のお部屋に戻ります,"Now, back to your room on the seventh floor."
これが元の尻尾です,This is the original tail.,鬼怒川駅方面が見える感じですね,You can see the direction of Kinugawa Station.,ちょっとここでゆっくりしたいと思います,I think I'd like to relax here for a bit.
貝殻の水が原因で油が飛び散る,Oil splatters due to the water in the shell,テラスもありますねこう見るとね,"There's also a terrace, if you look at it this way.",ちょっと時間がたったら,After a little while.
ああ、アスパラガスを忘れてた！,"Oh, I forgot about asparagus!",鬼怒川温泉駅かなり近いですね,It's pretty close to Kinugawa Onsen Station.,大浴場に行ってこようか なと思っております,I'm thinking of going to the big bath.
アスパラガスをいれようか？,Shall we add asparagus?,ほんとにもうすぐそこです,We're really close.,ということで大浴場に向かいます,So I'm heading for the big bath.
とても日本的な香りがします,It has a very Japanese flavor.,なかなかでレトロな作りでかなりね,It's a pretty retro look.,あっという間に温泉から上がりました,We were out of the hot spring in no time.
何をしているの？,What are you doing?,趣があります,It has a certain charm.,ここで撮影してなかったのです,I wasn't shooting here.
カットした野菜の水を拭きます,Wipe the water from the cut vegetables.,冷蔵庫内にミネラルウォーターがあると,You can find mineral water in the refrigerator.,夜の音おつまみ的なものを買ってきました,I bought some sound snacks for the evening.
野菜とエビの準備ができました！,The vegetables and shrimp are ready!,いうことでちょっと早速,So I'll get right to it.,骨組みという感じてですねお米でできた,"It's like a skeleton, you know, made of rice."
サクサク揚げていこうと思います,I'm going to fried it crispy,はいもうちょっと探検していきます,"Yes, I'll explore some more.",控えめな表示にちょっと惹かれました,I was a little attracted to the discreet display.
なに今日？どうしちゃったの？,What happened today,これがねちょっと独特のたぬきでしょうか,"This is... a rather unique tanuki, isn't it?",意識して買ってみました,I bought it consciously.
