Words,Reading,Meaning,Sentence,Translation
阻害剤,そがいざい,inhibitor,抗生物質は一般的に酵素の阻害剤である。,Antibiotics are generally inhibitors of enzymes.
正常終了,せいじょうしゅうりょう,"normal termination, successful termination​",正常終了の場合、計算スクリプトが原本に戻されます。,"Upon successful completion, the calculation script is returned to the original."
標準出力,ひょうじゅんしゅつりょく,standard output file​,スクリプトは標準出力に書き込まれます。,The script is written to standard output.
抗生物質,こうせいぶっしつ,antibiotics,医者は少女に抗生物質を服用させた。,The doctor put the girl on antibiotics.
一般的,いっぱんてき,"popular, typical, general",この言葉は一般的には使われていない。,This term is not in common use.
耐性,たいせい,"resistance, tolerance",熱又は水分ストレス耐性向上活性を有する。,Heat or moisture stress tolerance enhancing activity
抵抗,ていこう,"resistance, opposition, reluctance",抵抗加熱ヒータの劣化検出装置および方法。,Deterioration detection device and method for resistance heaters.
抵抗器,ていこうき,resistor,同様に抵抗器ペアのマッチングも重要です。,"Similarly, matching of resistor pairs is also important."
電子部品,でんしぶひん,electronic parts (components),ワイヤボンディング方法及び電子部品実装体。,Wire bonding method and mounted electronic components
聴診器,ちょうしんき,stethoscope,聴診器が発明されたのがいつかご存知の人はいますか。,Does anyone know when the stethoscope was invented?
買収,ばいしゅう,"acquisition, buy-out",空港用地を買収する。,Acquire land for an airport site.
早期,そうき,early stage,治療の早期終了が再発につながる。,Early termination of treatment leads to recurrence.
時期尚早,じきしょうそう,premature,今その計画を実施するのは時期尚早である。,It is premature to implement that plan now.
早春,そうしゅん,early spring,水仙も非常に人気が早春の花です。,Daffodils are another very popular early spring flower.
早熟,そうじゅく,"precocity, early ripening, premature development",品種は早熟と急激な温度変化への抵抗によって特徴付けられます。,The variety is characterized by early ripening and resistance to rapid temperature changes.
品種,ひんしゅ,"type, sort, variety, breed",除草剤耐性品種でなぜ収量が増えるのか？,Why do herbicide tolerant varieties increase yields?
品種改良,ひんしゅかいりょう,selective breeding,この点で遺伝子組換えによる品種改良が有用となります。,This is where breeding through genetic modification can be useful.
特徴付ける,とくちょうづける,"to make characteristic, characterize",時系列的な解析により定量的に特徴付ける。,Quantitative characterization through time-series analysis.
時系列,じけいれつ,"chronological order, time series​",このコマンドは時系列グラフに対してのみ有効です。,This command is valid only for time series graphs.
時系列分析,じけいれつぶんせき,time series analysis,データの時系列分析による新たな付加価値の創造が可能になる。,Time-series analysis of data will enable the creation of new added value.
付加価値,ふかかち,"added value, value added",新しい付加価値エントリとグループの作成。,Creation of new value-added entries and groups.
定量的,ていりょうてき,quantitative,定量的分析が特に重要である。,Quantitative analysis is particularly important.
構成,こうせい,"composition, construction, formation, configuration",自分のウェブサイトの構成を変えた。,I changed the structure of my website.
構造,こうぞう,"structure, construction, makeup, framework",脳の構造は複雑だ。,The structure of the brain is complex.
機構,きこう,"mechanism, machinery, system",この時計の機構は簡単だ。,The mechanism of this watch is simple.
研究所,けんきゅうじょ,research establishment,実験が研究所で行われる。,Experiments will be conducted in the laboratory.
研究開発,けんきゅうかいはつ,research and development,本システムの研究開発における各機関の役割。,The role of each institution in the research and development of this system.
足湯,あしゆ,footbath,庭園を眺めながらの足湯は心もからだもポカポカに。,A footbath with a view of the garden will warm your body and soul.
湯治,とうじ,hot-spring cure,湯治に訪れるお客さんも多いので評判が高いのでしょう。,It must have a good reputation because many customers visit the spa for a hot-spring cure.
給湯,きゅうとう,hot-water supply,高効率給湯設備の設置等を促進するため。,"To promote installation of high-efficiency hot water supply equipment, etc."
脳波,のうは,brain waves,君の脳波パターンは標準に戻っている。,Your brainwave patterns are back to normal.
波長,はちょう,wavelength,ネットワーク管理装置および波長パス設定方法。,Network management device and wavelength path setting method.
周波数,しゅうはすう,frequency,周波数の平均値は振幅の増大にしたがって減じる。,The average value of the frequency decreases with increasing amplitude.
平均値,へいきんち,average value,この品目の格付けの平均値を表示する。,Display the average rating for this item.
振幅,しんぷく,amplitude,設定した周波数にて定振幅制御を行う。,Constant amplitude control at set frequency.
制御,せいぎょ,control,この機械は制御しやすい。,This machine is easy to control.
衝撃波,しょうげきは,shock wave​,強い衝撃波の密度分布が実験から得られたと報告した。,He reported that strong shock wave density profiles were obtained from experiments.
密度,みつど,density,またそれらの密度も指定できます。,Their density can also be specified.
電磁波,でんじは,electromagnetic wave​,電磁波を伝導又は吸収する特性を有する構造体。,A structure that has the property of conducting or absorbing electromagnetic waves.
伝導,でんどう,"conduction, transmission",植物を通して電流伝導が著しくこのプロセスを加速させます。,Current conduction through the plant significantly accelerates this process.
鉄橋,てっきょう,railway bridge,鉄橋まで川沿いに歩いて行った。,We walked along the river to the railroad bridge.
鉄鋼,てっこう,iron and steel,鉄鋼の特性の一つは硬いことだ。,One of the properties of steel is its hardness.
特性,とくせい,special characteristic,石鹸は汚れを落とす特性がある。,Soap has the property of removing dirt.
製鉄,せいてつ,iron manufacture,その製鉄工場を建てるのは非常に大変な事業だった。,Building that steel plant was a very difficult undertaking.
金槌,かなづち,hammer,彼女は彼を金槌で殴った。,She hit him with a hammer.
酸素,さんそ,oxygen,生物は酸素なしでは生きられない。,Organisms cannot live without oxygen.
水素,すいそ,hydrogen,水は酸素と水素に分解できる。,Water can be broken down into oxygen and hydrogen.
炭素,たんそ,carbon,石炭は大部分が炭素から成っている。,Coal is largely composed of carbon.
元素,げんそ,"element, chemical element​",鉄や酸素は元素である。,Iron and oxygen are elements.
要素,ようそ,"component, factor, item",努力は成功の基本要素である。,Effort is a fundamental element of success.
生態系,せいたいけい,ecosystem,これがより正確な生態系の図です。,This is a much more accurate depiction of an ecosystem.
太陽系,たいようけい,solar system,木星は太陽系最大の惑星である。,Jupiter is the largest planet in the solar system.
水系,すいけい,water system,主に水系の粒子除去、濾過滅菌用として用いられます。,Mainly used as water system particle remover and filtration sterilization.
系列,けいれつ,"series, sequence, system",折れ線グラフの積み上げ系列を表示します。,Displays a stacked series of line graphs.
積み上げ,つみあげ,"piling up, stacked",コントロールは積み上げレイアウトの一部です。,Controls are part of a stacked layout.
体組織,たいそしき,"body tissue, body composition",それが安全に体組織に深く浸透することができる。,It can safely penetrate deep into body tissues.
幹細胞,かんさいぼう,stem cell,骨髄幹細胞移植治療用医薬。,Bone marrow stem cell transplant therapeutic agents.
骨髄,こつずい,bone marrow,骨髄における赤血球の生産に違反。,Violates the production of red blood cells in the bone marrow.
医薬,いやく,medicine,脳機能改善のための医薬および方法。,Medicines and methods for improving brain function.
移植,いしょく,transplant,脳移植は本当に可能なのでしょうか？,Is brain transplantation really possible?
赤血球,せっけっきゅう,red blood cell,さらに赤血球沈降速度が測定される。,"In addition, the erythrocyte sedimentation rate is measured."
武家屋敷,ぶけやしき,samurai residence,城下町佐倉の面影を今に残す武家屋敷があります。,There are samurai residences that still retain the atmosphere of the castle town of Sakura.
