Kanji,Reading,Meaning
一般,いっぱん,"general, universal, ordinary, average, common"
一本,いっぽん,one long cylindrical thing
一方,いっぽう,"one (esp. of two), the other, one way, the other way, one direction"
一番,いちばん,"number one, first, first place"
一生,いっしょう,"whole life, a lifetime, all through life, one exi"
一体,いったい,"(what) the heck, (why) in the world, (who) on earth, one object"
一家,いっか,"a family, a household, a home, one's family, whole family"
一言,ひとこと,"single word, a few words, brief comment"
一目,ひとめ,"glance, look, glimpse, complete view, bird's-eye view"
一定,いってい,"fixed, settled, constant, definite, uniform, regularized"
一杯,いっぱい,"amount necessary to fill a container, fully, to capacity, a lot, much"
一口,ひとくち,"mouthful, morsel, bite, gulp, sip, draft, draught, one word, in short"
一切,いっさい,"all, everything, the whole, lock, stock, absolutely not"
一緒,いっしょ,"together, at the same time"
一段,いちだん,"more, much more, still more, all the more, step, level, rank"
一致,いっち,"coincidence, agreement, union, match"
一層,いっそう,"much more, still more, all the more, more than ever"
一等,いっとう,"first-class, first-rank"
一部,いちぶ,"one part, one portion, one section, some"
一流,いちりゅう,"first-class, top grade, foremost, top-notch, characteristic, peculiar, unique"
一見,いっけん,"look, glimpse, glance, apparently, seemingly, first meeting"
一日,ついたち,first day of the month
一回,いっかい ,"once, one time, one round"
一発,いっぱつ,"shot, charge, explosion, home run, try, attempt"
一面,いちめん,"one face, one surface, one aspect, one side, the whole surface"
一種,いっしゅ,"species, kind, variety"
一重,ひとえ,"one layer, single layer"
一歩,いっぽ,"step, level, stage, small degree, small amount"
一応,いちおう,"more or less, though not quite satisfactorily, pretty much, roughly"
一息,ひといき,"one breath, time of one breath, pause, break, rest, breathe"
一階,いっかい,"first floor, ground floor, one floor, one storey"
一瞬,いっしゅん,"instant, moment, for an instant"
一生懸命,いっしょうけんめい,"very hard, with utmost effort, with all one's might"
一人前,いちにんまえ,"one portion, one serving, one person, adult, grown-up"
一円,いちえん,"one yen, throughout (an area), whole district"
万一,まんいち,"emergency, unlikely event, by some chance, by some possibility"
統一,とういつ,"unity, consolidation, uniformity, unification, compatible"
単一,たんいつ,"single, simple, sole, individual, unitary"
第一,だいいち,"first, foremost, number one, most important"
一度,いちど,"once, one time, on one occasion"
一帯,いったい,"whole area, whole region, stretch (of land), tract, belt, zone"
一様,いちよう,"uniform, equal, even, the same, identical, common, ordinary, usual"
一周,いっしゅう,"one round, one circuit, one revolution, one lap, one turn"
一夜,いちや,"one night, all night, overnight, one evening"
一括,いっかつ,"lumping together, summing up, bundle, lump, batch"
一匹,いっぴき,one animal (small)
一台,いちだい,"one machine, one vehicle"
一曲,いっきょく,"tune (melody, piece of music)"
一泊,いっぱく,stopping one night
一式,いっしき,"complete set, all, everything"
一身,いっしん,"oneself, one's own interests, throughout the body"
一団,いちだん,"body, group, party, gang, troupe, troop"
一連,いちれん,"series, chain, sequence"
日本,にほん,Japan
今日,きょう,"today, this day"
日本語,にほんご,Japanese Language
一日,いちにち,one day
毎日,まいにち,every day
日常,にちじょう,"everyday, daily, ordinary, usual, routine, regul"
日々,にちにち,"every day, daily, day after day"
明日,あした,tomorrow
日中,にっちゅう,"daytime, during the day"
先日,せんじつ,"the other day, a few days ago"
日光,にっこう,"sunlight, sunshine, sunbeams"
休日,きゅうじつ,"holiday, day off"
火曜日,かようび,Tuesday
昨日,きのう,yesterday
日米,にちべい,Japan-America
日付,ひづけ,"date, dating"
来日,らいにち,"arrival in Japan, coming to Japan, visit to Japan"
日記,にっき,"diary, journal"
三日,みっか,"the third day of the month, three days"
対日,たいにち,"toward Japan, with Japan"
日程,にってい,"schedule, program, programme, agenda"
日本人,にほんじん,"Japanese person, Japanese people"
翌日,よくじつ,next day
日焼け,ひやけ,"sunburn, suntan, tan"
初日,しょにち,"first day, opening day"
日陰,ひかげ,"shade, shadow"
日時,にちじ,date and time
日ごろ,ひごろ,"normally, habitually"
生年月日,せいねんがっぴ,"birth date, date of birth, DOB"
月日,つきひ,"time, years, days"
日の出,ひので,sunrise
朝日,あさひ,morning sun
日差し,ひざし,"sunlight, rays of the Sun"
日帰り,ひがえり,day trip
当日,とうじつ,"appointed day, very day"
日向,ひなた,"sunny place, in the sun"
曜日,ようび,day of the week
平日,へいじつ,"weekday, ordinary day"
元日,がんじつ,New Year's Day
日本酒,にほんし,"sake, Japanese rice wine"
日の丸,ひのまる,outline of the Sun
期日,きじつ,"fixed date, settlement date"
連日,れんじつ,"day after day, every day"
本日,ほんじつ,today
祝日,しゅくじつ,"national holiday, public holiday"
半日,はんにち,half day
夕日,ゆうひ,"evening sun, setting sun"
一昨日,おととい,day before yesterday
日数,にっすう,a number of days
日当たり,ひあたり,"exposure to the sun, sunny place, per day"
命日,めいにち,anniversary of a person's death
記念日,きねんび,"memorial day, commemoration day, anniversary"
前日,ぜんじつ,"previous day, day before, eve, prior day, preceding day"
十日,とおか,"the tenth day of the month, ten day"
日課,にっか,"daily lesson, daily work, daily routine"
日食,にっしょく,solar eclipse
日韓,にっかん,Japan and (South) Korea
三日月,みかづき,"new moon, crescent moon"
日に日に,ひにひ,"day by day, by the day"
在りし日,ありしひ,"past days, bygone days, days of yore, the olden days"
日本海,にほんかい,Sea of Japan
日夜,にちや,"day and night, around the clock, always, constantly"
同日,どうじつ,the same day
日用品,にちようひ,daily necessities
日和,ひより,"weather, climatic conditions"
年月日,ねんがっぴ,date
終日,しゅうじつ,"all day, for a whole day"
末日,まつじつ,last day (of a month)
日刊,にっかん,"daily publication, daily issue"
日増しに,ひましに,day by day
日経,にっけい,Nikkei
日本一,にほんいち,"Japan's best, number one in Japan"
西日,にしび,"westering sun, setting sun"
三十日,みそか,last day of the month
親日,しんにち,pro-Japanese
後日,ごじつ,"in the future, another day, later"
日の目,ひのめ,sunlight
日出,にっしゅつ,sunrise
定休日,ていきゅうび,"regular holiday, fixed day off, regular closing day"
数日,すうじつ,few days
日誌,にっし,"journal, log"
訪日,ほうにち,visit to Japan
日暮れ,ひぐれ,"twilight, sunset, dusk, evening"
日取り,ひどり,"fixed date, appointed day"
西日本,にしにほん,western Japan
日本銀行,にっぽんぎんこう,Bank of Japan
駐日,ちゅうにち,resident in Japan
日本画,にほんが,Japanese paint
全日,ぜんじつ,all days
即日,そくじつ,the same day
日系,にっけい,of Japanese descent
天日,てんぴ,"the sun, sunlight, heat of the sun"
両日,りょうじつ,"both days, two days"
日産,にっさん,daily output
日光浴,にっこうよく,sunbathing
日照,にっしょう,sunlight
日給,にっきゅう,daily wages
二日,ふつか,second day of the month
白日,はくじつ,"bright sunshine, broad daylight"
日本式,にほんしき,Japanese style
日報,にっぽう,daily report
日没,にちぼつ,sunset
母の日,ははのひ,Mother's Day
五日,いつか,"the fifth day of the month, five days"
二十日,はつか,"twentieth day of the month, twenty days"
日照り,ひでり,"dry weather, drought"
あくる日,あくるひ,"next day, following day"
知日,ちにち,being knowledgeable about J
今日的,こんにちて,"modern, up-to-date"
抗日,こうにち,anti-Japanese
四日,よっか,"fourth day of the month, four days"
七日,なのか,"the seventh day of the month, seven days"
六日,むいか,"sixth day of the month, six days"
日本紙,にほんし,Japanese paper
土曜日,どようび,Saturday
日用,にちよう,daily use
日和見,ひよりみ,"opportunism, waiting and seeing"
真夏日,まなつび,a day above 30  degrees celsius
日本刀,にほんとう,Japanese sword
日雇い,ひやとい,"daily employment, hiring by the day, day labo"
誕生日,たんじょうび,birthday
日直,にっちょく,"day duty, day shift"
全日制,ぜんにちせい,the full-day (school system)
日傘,ひがさ,"sunshade, parasol"
九日,ここのか,"the ninth day of the month, nine days"
八日,ようか,"the eighth day of the month, eight days"
父の日,ちちのひ,Father's Day
日曜日,にちようび,Sunday
月曜日,げつようび,Monday
木曜日,もくようび,Thursday
金曜日,きんようび,Friday
一日中,いちにちじゅう,"all day long, all the day, throughout the day"
時日,じじつ,"date, time"
明後日,あさって,day after tomorrow
二日酔い,ふつかよい,hangover
土日,どにち,"weekend, Saturday and Sunday"
水曜日,すいよう,Wednesday
日進月歩,にっしんげっ,"steady progress, rapid advance"
日計,にっけい,"daily account, daily expenses"
夏日,なつび,hot summer day
日常生活,にちじょうせいかつ,"everyday life, daily life"
日本中,にほんじゅう,throughout Japan
月日,がっぴ,the date
日本社会,にほんしゃかい,Japanese society
日本料理,にほんりょうり,Japanese cooking
近日,きんじつ,"soon, in a few days"
日本全国,にほんぜんこく,"all over Japan, throughout Japan"
日本史,にほんし,"history of Japan, Japanese history"
日本初,にほんはつ,first (of its kind) in Japan
日本製,にほんせい,made in Japan
日常茶飯事,にちじょうさはんじ,everyday occurrence
日勤,にっきん,day shift
過日,かじつ,"recently, the other day"
日干し,ひぼし,sun-dried
落日,らくじつ,setting sun
日参,にっさん,daily visit
薄日,うすび,soft light
日の入り,ひのいり,sunset
日銀券,にちぎんけん,Japanese banknote
日本経済,にほんけいざい,Japanese economy
祭日,さいじつ,"national holiday, festival day"
日焼け止め,ひやけどめ,"sunscreen, suntan lotion, sunblock"
日射,にっしゃ,"solar radiation, insolation"
日銭,ひぜに,"daily income in cash, money paid by daily installments"
日本企業,にほんきぎょう,Japanese company
日本政府,にほんせいふ,Japanese government
日替わり,ひがわり,changing every day
幾日,いくにち,for how many days
大晦日,おおみそか,New Year's E
ある日,あるひ,one day
その日,そのひ,that day
反日,はんにち,anti-Japanese
日本車,にほんしゃ,Japanese car
日当,にっとう,"daily allowance, daily wages"
春日,しゅんじつ,"spring day, spring sunlight"
予定日,よていび,"scheduled date, expected date"
日常的,にちじょうてき,"mundane, routine, everyday, unremarkable, common"
休電日,きゅうでんび,no-electricity day
中間,ちゅうかん,"middle, midway, halfway, centre, center"
中心,ちゅうしん,"center, centre, middle, heart, core, focus, pivot, emphasis, balance"
集中,しゅうちゅう,"concentration, focusing, convergence, centralization, integration, gathering"
中央,ちゅうおう,"centre, center, middle, heart, metropolis, capital city"
空中,くうちゅう,"sky, air, mid-air"
水中,すいちゅう,underwater
途中,とちゅう,"on the way, en route, in the middle of, midway"
中継ぎ,なかつぎ,"joining, joint, intermediation, relaying, taking over"
年中,ねんじゅう,"whole year, all year round, throughout the year, always"
中止,ちゅうし,"suspension, stoppage, discontinuance, interruption"
背中,せなか,back (of body)
日中,にっちゅう,"daytime, during the day"
中道,ちゅうどう,"middle of the road, centrism, moderation, golden mean, the middle, half way"
中年,ちゅうねん,"middle-age, middle age, midlife, one's middle years"
中立,ちゅうりつ,neutrality
中古,ちゅうこ,"used, second-hand, old"
連中,れんちゅう,"company, lot, bunch, gang, pack, those guys, group"
中堅,ちゅうけん,"nucleus, backbone, mainstay, key figure"
真ん中,まんなか,"middle, centre, center, midpoint, heart"
中性,ちゅうせい,"neutrality (incl. chemical, electrical, etc.), indifference"
夜中,よなか,"middle of the night, dead of night"
夢中,むちゅう,"absorbed in, immersed in, crazy about, obsessed with, devoted to"
中身,なかみ,"contents, interior, substance, filling, (sword) blade"
中断,ちゅうだん,"interruption, suspension, break"
中途,ちゅうと,"in the middle, half-way"
中毒,ちゅうどく,"poisoning, addiction"
中流,ちゅうりゅう,"mid-stream, middle course, middle class"
中絶,ちゅうぜつ,"abortion, to be interrupted, to be discontinued, to be suspended"
命中,めいちゅう,"direct hit, hitting the mark"
中でも,なかでも,"among (other things), especially, particularly, inter alia, above all (else)"
熱中,ねっちゅう,"being enthusiastic about, being wild about, being absorbed in, being engrossed in"
中旬,ちゅうじゅん,"middle of a month, second third of a month"
的中,てきちゅう,"striking home, hitting the mark, coming true, proving to be righ"
中核,ちゅうかく,"kernel, core, nucleus, center, centre"
中傷,ちゅうしょう,"slander, libel, defamation, calumny, smear"
中枢,ちゅうすう,"centre, center, pivot, mainstay, nucleus, backbone, central figure, pillar"
中々,なかなか,"very, considerably, easily, readily, fairly, quite, half-way point"
町中,まちなか,downtown
地中,ちちゅう,"underground, subterranean"
真夜中,まよなか,"dead of night, midnight"
食中毒,しょくちゅうどく,food poisoning
中庭,なかにわ,"courtyard, quadrangle, middle court"
最中,さいちゅう,"in the middle of, height of, in course of, midst"
中部,ちゅうぶ,"center, centre, middle, heart, Chūbu region"
中和,ちゅうわ,"neutralization, neutralisation, counteraction"
手中,しゅちゅう,"in one's hands, in one's control"
車中,しゃちゅう,in a train or vehicle
海中,かいちゅう,in the sea
道中,どうちゅう,"journey, trip, travels, during the journey, on the way"
市中,しちゅう,in the city
中級,ちゅうきゅう,intermediate level
中指,なかゆび,"middle finger, long finger, second finger, tall finger"
中前,ちゅうぜん,"front of center field, front of centre field"
間中,あいだじゅう,during
暑中,しょちゅう,"height of summer, high summer, hottest part of the summer"
中小企業,ちゅうしょうきぎょう,"small to medium enterprises, smaller companies"
中性子,ちゅうせいし,neutron
中等,ちゅうとう,"second grade, medium quality, average, middle class, secondary grade"
中型,ちゅうがた,medium size
戦中,せんちゅう,during the war
中原,ちゅうげん,"middle of a field, middle of a country, field of contest"
中期,ちゅうき,"middle period, medium-term"
中腹,ちゅうふく,"halfway up (down) a mountain, mountainside"
中途半端,ちゅうとはんぱ,"halfway, half measures, unfinished, incomplete, by halves, half-baked"
野中,のなか,in the middle of a field
生中継,なまちゅうけい ,"live broadcast (radio, TV), live coverage"
胸中,きょうちゅう,"one's heart, one's mind, one's intentions"
中空,ちゅうくう,"hollow, mid-air, air, sky"
脳卒中,のうそっちゅう,"stroke, cerebral haemorrhage, cerebral hemorrhage"
中盤,ちゅうばん,"middle stage, middle phase, middle game, midfield"
渦中,かちゅう,"vortex, maelstrom, whirlpool, scandal, controversy, quarrel, turmoil"
中火,ちゅうび,"medium flame (cooking), medium heat, medium fire"
中軸,ちゅうじく,"axis, pivot, central figure, key man"
中略,ちゅうりゃく,"omission (of middle part of a text), ellipsis"
寒中,かんちゅう,"mid-winter, cold season"
午前中,ごぜんちゅう,"in the morning, during the morning"
掌中,しょうちゅう,"in the hand, (something) easily manipulated"
世界中,せかいじゅう,"around the world, throughout the world"
集中力,しゅうちゅうりょく,"concentration, ability to concentrate"
中肉,ちゅうにく,"medium build, meat of medium quality"
待ち,まち,"waiting, waiting time"
期待,きたい,"expectation, anticipation, hope"
招待,しょうたい,invitation
待つ,まつ,to wait
待遇,たいぐう,"treatment, reception, service"
接待,せったい,"entertainment (of guests; esp. in the corporate world), treating "
待機,たいき,"standing by, awaiting an opportunity, being on alert"
待望,たいぼう,"waiting expectantly, waiting eagerly, looking forward to"
待ち構える,まちかまえる,"to lie in wait, to be on the watch for"
待ち望む,まちのぞむ,"to wait eagerly for, to look forward to"
待ち受ける,まちうける,"to await, to expect"
待合,まちあい,"rendezvous, meeting, assignation"
待ち合わせ,まちあわせ,appointment
待ち遠しい,まちどおしい,"looking forward to, anxiously awaited"
待たせる,またせる,to keep (a person) waiting
待ち合わせる,まちあわせる,"to rendezvous, to meet at a prearranged place and time, to arrange to meet"
待たす,またす,to keep (a person) waiting
虐待,ぎゃくたい,"abuse, ill-treatment, maltreatment, mistreatment, cruelty"
心待ち,こころまち,"anticipation, expectation"
待ち伏せ,まちぶせ,"ambush, lying in wait for an ambush"
期待感,きたいかん,feeling of expectation
待ちわびる,まちわびる,"to be tired of waiting, to wait impatiently"
優待,ゆうたい,"preferential treatment, hospitality, warm reception, welcome"
歓待,かんたい,"warm welcome, friendly reception, hospitality, entertainment"
待ち合わせ場所,まちあわせばしょ,meeting place
待合室,まちあいしつ,waiting room
待ちかねる,まちかねる,to wait impatiently for
時間待ち,じかんまち,"lay-over, stop-over"
招待券,しょうたいけん,"complimentary ticket, invitation card, invitation ticket"
招待状,しょうたいじょう,written invitation
接待費,せったいひ,entertainment expenses
優待券,ゆうたいけん ,complimentary ticket
特別待遇,とくべつたいぐう ,special treatment
招待席,しょうたいせき,seats reserved for guests
招待客,しょうたいきゃく,invitee
待ち暮らす,まちくらす,to wait all day
供待ち,ともまち,attendant's waiting room
待ち設ける,まちもうける,"to expect, to look for, to look forward to, to anticipate, to wait for"
先生,せんせい,"teacher, master, doctor"
優先,ゆうせん,"preference, priority, precedence"
先行,せんこう,"preceding, going first, leading, going ahead, taking priority"
先週,せんしゅう,"last week, the week before"
先頭,せんとう,"head, lead, vanguard, first"
先端,せんたん,"pointed end, tip, point, cusp"
先に,さきに,"before, earlier than, first, ahead, beyond, away, previously, recently"
先月,せんげつ,last month
先日,せんじつ,"the other day, a few days ago"
先輩,せんぱい,"senior (at work or school), superior, elder"
口先,くちさき,"lip service, mere words, professions"
先祖,せんぞ,ancestor
真っ先,まっさき,"the head, the foremost, beginning, the very front"
目先,めさき,"before one's eyes, under one's nose"
先決,せんけつ,"deciding first, settling (a matter) first, first priority"
先だって,せんだって,"the other day, some time ago, recently"
先例,せんれい,precedent
先着,せんちゃく,arriving first
先発,せんぱつ,"starting in advance, starting first, going first, going ahead"
勤め先,つとめさき,place of work
最先端,さいせんたん,"cutting edge, leading edge, forefront, state of the art"
先手,せんて,"first move, forestalling, initiative"
先進,せんしん,"seniority, advance, leadership"
先行き,さきゆき,"the future, future prospects"
先々,さきざき,"distant future, inevitable future, places one goes to"
行き先,いきさき,"destination, whereabouts"
小手先,こてさき,"tip of one's hand, cheap trick, superficial wit"
先見,せんけん,"foresight, anticipation"
先ず,まず,"first (of all), to start with, about, almost, anyway"
先物,さきもの,futures
先入観,せんにゅうかん,"preconception, preconceived notion, prejudice"
先住,せんじゅう,"original inhabitant, aboriginal"
先方,せんぽう,"other party, other side, ahead, in front, destination"
先送り,さきおくり,postpone
先天的,せんてんてき,"inborn, innate, inherent, congenital, hereditary"
先制,せんせい,"head start, initiative, preemption"
先駆け,さきがけ,"pioneer, leader, taking the initiative, forerunner, harbinger"
先駆,せんく,"forerunner, pioneer, precursor"
矢先,やさき,arrowhead
先立つ,さきだつ," to lead, take the lead, precede, go before"
先人,せんじん,"predecessor, pioneer, ancestor"
手先,てさき,"fingers, fingertips, underling, pawn"
先代,せんだい,previous generation
先導,せんどう,"guidance, leadership, leading the way"
鼻先,はなさき,"tip of nose, before one's eyes"
店先,みせさき,"storefront, shopfront"
先取,せんしゅ,"earning the first (runs), preoccupation"
矛先,ほこさき,"point of spear, spearhead"
先ほど,さきほど,"some time ago, not long ago, just now"
先取り,さきどり,"receiving in advance, taking before others"
旅先,たびさき,"destination, goal (of travel)"
指先,ゆびさき,"fingertip, finger, toe tip, toe"
得意先,とくいさき,"regular customer, client, patron, clientele"
率先,そっせん,taking the initiative
先安,さきやす,lower future quotations
つま先,つまさき,"toes, tips of the toes, toe of a shoe, sock"
春先,はるさき ,beginning of spring
軒先,のきさき,"edge of the eaves, house frontage"
先天,せんてん,"inherent, innate"
先般,せんぱん,"some time ago, the other day"
先遣,せんけん,sending ahead
先細り,さきぼそり,"dwindling, declining, diminishing, tapering off"
優先的,ゆうせんてき,preferential
先陣,せんじん,"vanguard, advance guard"
先天性,せんてんせい,"hereditary, congenital"
先払い,さきばらい,"payment in advance, advance payment, prepayment"
先んじる,さきんじる,"to precede, forestall, anticipate"
先駆ける,さきがける,to be the first
先回り,さきまわり,"going on ahead, forestalling, anticipating"
取引先,とりひきさき,"customer, client, client company, business connection"
刃先,はさき,edge of blade
宛先,あてさき,"address, destination"
連絡先,れんらくさき,contact address
この先,このさき,"beyond this point, from now on, after this"
演説,えんぜつ,"speech, address"
演技,えんぎ,"acting, performance"
講演,こうえん,"lecture, address, speech"
演奏,えんそう,musical performance
演劇,えんげき,"drama, theatre, theater, play"
出演,しゅつえん,"performance, appearance"
演出,えんしゅつ,production
主演,しゅえん,"starring, playing the leading part"
演算,えんざん,"operation, calculation"
公演,こうえん,public performance
演ずる,えんずる,"to perform, to play"
演じる,えんじる,"to perform, to play"
演芸,えんげい,"entertainment, performance"
演目,えんもく,"program, programme"
共演,きょうえん,"appearing together, co-acting"
助演,じょえん,co-star
初演,しょえん,st performance
演舞,えんぶ,dance performance
好演,こうえん,good performance
再演,さいえん,another showing
講演会,こうえんかい,lecture meeting
演奏会,えんそうかい,"concert, recital"
演技力,えんぎりょく,acting ability
講演者,こうえんしゃ,"lecturer, speaker"
終演,しゅうえん,end of a performance
競演,きょうえん,recital contest
芸術,げいじゅつ,"fine arts, the arts"
文芸,ぶんげい,"literature, art and literature, liberal arts"
園芸,えんげい,"horticulture, gardening"
工芸,こうげい,"industrial arts, craft"
芸能,げいのう,"public entertainment, performing arts"
学芸,がくげい,"arts and sciences, liberal arts"
芸人,げいにん,"entertainer,  performer"
芸者,げいしゃ,"geisha, professional female entertainer"
芸術家,げいじゅつか,artist
陶芸,とうげい ,"ceramic art, ceramics"
芸名,げいめい,stage name
芸術院,げいじゅついん,"academy of arts, arts academy"
芸術祭,げいじゅつさい,art festival
御家芸,おいえげい,"one's specialty, one's forte"
芸術的,げいじゅつてき,artistic
学芸会,がくげいかい,school arts festival
曲芸,きょくげい,acrobatics
芸風,げいふう,style of acting
農芸,のうげい,agriculture and horticulture
芸術作品,げいじゅつさくひん,"work of art, artwork"
大道芸,だいどうげい,street performing
多芸,たげい,versatility
技術,ぎじゅつ,"technology, engineering, technique, skill"
美術,びじゅつ,"art, fine arts"
手術,しゅじゅつ,"surgery, operation, procedure"
美術館,びじゅつかん,"art gallery, art museum"
学術,がくじゅつ,"science, learning, scholarship, arts and sciences"
技術的,ぎじゅつてき,"technical, practical"
技術者,ぎじゅつしゃ,"engineer, technical expert, technician"
戦術,せんじゅつ,tactics
錬金術,れんきんじゅつ,"alchemy, way of making money, moneymaker"
美術展,びじゅつてん,art exhibition
科学技術,かがくぎじゅつ,"science and technology, scientific technique"
芸術院,げいじゅついん,"academy of arts, arts academy"
技術力,ぎじゅつりょく,"technical prowess, technical ability"
術語,じゅつご,"technical term, terminology, nomenclature"
美術工芸,びじゅつこうげい,"arts and crafts, artistic handicraft"
大手術,だいしゅじゅつ,"major surgery, major operation"
小手術,しょうしゅじゅつ,"minor surgery, minor operation"
日帰り手術,ひがえりしゅじゅつ,"day surgery, day procedure"
手術室,しゅじゅつしつ,"operating room, operating theatre"
学術用語,がくじゅつようご,technical term
古美術店,こびじゅつてん,"antique store, antique shop"
外科手術,げかしゅじゅつ,"surgery, surgical procedure"
研究,けんきゅう,"study, research, investigation"
研修,けんしゅう,"training, induction course"
研究室,けんきゅうしつ,laboratory
研ぐ,とぐ,"to sharpen, to hone, to whet, to grind"
研究所,けんきゅうしょ,"research establishment, research institute, laboratory"
研究者,けんきゅうしゃ,researcher
研究員,けんきゅういん,"researcher, lab worker"
研究家,けんきゅうか,researcher
経済研究所,けいざいけんきゅうしょ,economics research centre
研磨,けんま,"grinding, polishing, refining"
研究官,けんきゅうかん,research officer
最新研究,さいしんけんきゅう,the newest research
研究分野,けんきゅうぶんや,"research area, field of research"
研究開発,けんきゅうかいはつ,research and development
付き添い,つきそい,"attendance on, attendant, escort"
巻き添え,まきぞえ,"getting mixed up in, getting embroiled in, involvement"
添付,てんぷ,"attaching, appending, affixing"
添加,てんか,"addition, annexing"
力添え,ちからぞえ,"help, assistance, service"
添削,てんさく,"correction, looking over, touching up"
食品添加物,しょくひんてんかぶつ,food additive
添乗,てんじょう,"accompanying (on a trip), escorting (a tour group)"
添加物,てんかぶつ,additive
添う,そう,"to meet, to satisfy, to comply with, to accompany, to go with"
介添え,かいぞえ,"helper, assistant, second"
添える,そえる,"to garnish, to accompany, to add to as support, to prop up"
添書,てんしょ,"accompanying note or letter, postscript"
下付き添字,したつきそえじ,subscript
発汗,はっかん,"sweating, perspiration"
冷や汗,ひやあせ,cold sweat
手汗,てあせ,palm sweat
制汗性,せいかんせい,antiperspirant
汗する,あせする,"to perspire, to sweat"
制汗剤,せいかんざい,deodorant
湿気,しっけ,"moisture, humidity, dampness"
湿度,しつど,level of humidity
湿地,しっち,"damp ground, wetland, bog, marsh"
湿る,しめる,"to become damp, to become moist, to become wet"
湿っぽい,しめっぽい,"damp, humid, wet, gloomy"
湿疹,しっしん,"eczema, rash"
多湿,たしつ,high humidity
湿原,しつげん,"marshy grassland, wetlands"
除湿,じょしつ,dehumidification
高湿度,こうしつど,high humidity
湿電池,しつでんち,wet cell battery
乾湿計,かんしつけい,humidity meter
相対湿度,そうたいしつど,relative humidity
絶対湿度,ぜったいしつど,absolute humidity
加湿器,かしつき,humidifier
乾湿,かんしつ,degree of humidity
保湿液,ほしつえき,"moisturizer, moisturizing lotion"
冷湿布,れいしっぷ,cold compress
温湿布,おんしっぷ,hot compress
防湿チャック,ぼうしつチャック,ziplock
吸湿剤,きゅうしつざい,"desiccant, moisture absorbent"
耐湿性,たいしつせい,"moisture resistance, humidity resistance"
透湿防水性素材,とうしつぼうすいせいそざい,breathable-waterproof material
予防,よぼう,"prevention, precaution, protection against"
消防,しょうぼう,fire fighting
防衛,ぼうえい,"defense, defence, protection"
国防,こくぼう,"national defence, national defense"
防火,ぼうか,"fire prevention, fire fighting, fire proof"
防止,ぼうし,"prevention, check"
防水,ぼうすい,"waterproofing, making watertight"
防御,ぼうぎょ,"defense, defence, safeguard, protection"
防ぐ,ふせぐ,"to defend against, to protect against"
防災,ぼうさい,natural disaster damage prevention
堤防,ていぼう,"bank, weir, embankment, levee"
防音,ぼうおん,soundproofing
防戦,ぼうせん,defensive fight
予防接種,よぼうせっしゅ,"vaccination, inoculation, immunization"
防犯,ぼうはん,prevention of crime
防護,ぼうご,protection
防空,ぼうくう,"air defense, air defence"
防波堤,ぼうはてい,"breakwater, mole"
攻防,こうぼう,offense and defense
砂防,さぼう,erosion control
予防線,よぼうせん,"defensive perimeter, defence line"
消防士,しょうぼうし,"firefighter, fireman"
防寒,ぼうかん,protection against cold
無防備,むぼうび,defenseless
防弾,ぼうだん,"bulletproof, bombproof"
防疫,ぼうえき,communicable disease control
消防車,しょうぼうしゃ,"fire engine, fire truck"
消防署,しょうぼうしょ,fire station
飛散防止,ひさんぼうし,shatterproof
静電気防止,せいでんきぼうし,anti-static
