Question,A,B,C,D
毎朝、６時に＿＿仕事に行きます。,🅰 おいて,🅱 おきて,🅲 おこして,🅳 おして
あの＿＿人はだれですか,🅰 かみは長いの,🅱 かみは長い,🅲 かみの長いの,🅳 かみの長い
田中さんは【明るい】人です。,🅰 あかるい,🅱 あきるい,🅲 あくるい,🅳 あけるい
この紙は＿＿ですが、とても丈夫です。,🅰 うすい,🅱 あつい,🅲 こい,🅳 すずしい
私はあの人を＿＿。,🅰 しません,🅱 していません,🅲 しりません,🅳 しっていません
明日の【ごご】は雨でしょう。,🅰 牛後,🅱 午後,🅲 牛前,🅳 午前
赤ちゃんの泣き声が＿＿、寝られなかった。,🅰 げんきで,🅱 うるさくて,🅲 にぎやかで,🅳 いそがしくて
近くのスーパーは夜10時まで＿＿。,🅰 あいています,🅱 あけています,🅲 あきます,🅳 あけます
がそりんが高くても【くるま】にのります,🅰 しゃ,🅱 ちゃ,🅲 かるま,🅳 くるま
明日は雪が＿＿そうですよ。,🅰 おりる,🅱 ふる,🅲 おちる,🅳 とまる
すてきなシャツですね。ありがとうございます。兄に＿＿。,🅰 もらったんです,🅱 あげんたんです,🅲 くれたんです,🅳 やったんです
【先月】、花見をしました。,🅰 せんげつ,🅱 せんがつ,🅲 さんがつ,🅳 さんげつ
このへやは、たんぼうが入っていて＿＿です。,🅰 さむい,🅱 つめたい,🅲 あたたかい,🅳 すずしい
私は先月から子どもに英語を＿＿。,🅰 教えます,🅱 教えました,🅲 教えたんです,🅳 教えています
ーか月に【いっかい】友だちと会います。,🅰 一度,🅱 一回,🅲 ー会,🅳 ー目
ここから駅までどのぐらい時間が＿＿か。,🅰 かけます,🅱 かかります,🅲 あります,🅳 すぎます
田中さん、今日も＿＿ね。まだ病気かな。,🅰 こない,🅱 きない,🅲 くない,🅳 いかない
電車で【新聞】を読みます。,🅰 しんぶん,🅱 しんむん,🅲 しんもん,🅳 しんぼん
＿＿がないから、洗えないよ。,🅰 せんざい,🅱 せんたく,🅲 キリーニング,🅳 そうじ
田中さん、今度いっしょに映画に＿＿か。,🅰 行くでしょうか,🅱 行きません,🅲 行きでしょうか,🅳 行くません
五時に学校から【かえりました】。,🅰 借りました,🅱 入りました,🅲 通りました,🅳 帰りました
あ、この車、がそりんがほとんど＿＿いないよ。,🅰 かって,🅱 入って,🅲 入れて,🅳 なくなって
まどを＿＿。はい、おねがいします。,🅰 開けましょうか,🅱 開けてもいいですか,🅲 開けなさい,🅳 開けてくれませんか
あの子は私の【妹】です。,🅰 いもと,🅱 いもうと,🅲 おとと,🅳 おとうと
明日はテストがあるから、学校へ行くのが＿＿です。,🅰 いや,🅱 ひどい,🅲 むり,🅳 きらい
のどがかわいたね。何か＿＿よ。,🅰 飲んだ,🅱 飲もう,🅲 飲みなさい,🅳 飲んでない
【英語】の歌を歌いましょう。,🅰 えご,🅱 えが,🅲 えいご,🅳 えいが
このベッドは＿＿、一人で動かせない,🅰 あつくて,🅱 おもくて,🅲 おおくて,🅳 かたくて
一年前は、ひらがなも＿＿が、今は漢字もだいぶわかります。,🅰 読めませんでした,🅱 読みませんでした,🅲 読んでいませんでした,🅳 読まなかったです
大きいからはんぶん【きって】ください。,🅰 聞いて,🅱 来って,🅲 切って,🅳 着て
新しい仕事はどうですか。うーん、あんまり＿＿。,🅰 いそががないんです,🅱 いそがしいんです,🅲 ゆっくりなんです,🅳 おもしろくないんです
もしもし、もしもし、とく＿＿んですが..。,🅰 聞こえない,🅱 聞いてない,🅲 聞けない,🅳 聞かない
あの女の人は【有名】な歌手です。,🅰 ようめい,🅱 ゆうめい,🅲 ゆうみん,🅳 ようみん
荷物をたくさん持ってかさを＿＿のはたいへんだ。,🅰 あける,🅱 さす,🅲 つける,🅳 はく
田中さんも中村さんも来ていましたよ。私も皆に＿＿です。,🅰 会えなかった,🅱 会いたかった,🅲 会いたいでした,🅳 会いたくなった
兄は【きょねん】、大学に入りました。,🅰 前年,🅱 今年,🅲 来年,🅳 去年
熱が＿＿ましたか。,🅰 さがり,🅱 さげ,🅲 おり,🅳 おち
明日の夕方ごろから、雨が強く＿＿でしょう。,🅰 ふる,🅱 ふり,🅲 ふった,🅳 ふっている
あの林の【歩いて】行きませんか。,🅰 あぬいて,🅱 あるいて,🅲 あのいて,🅳 あろいて
私は３人＿＿のまん中です。,🅰 こども,🅱 ふうふ,🅲 きょうだい,🅳 かぞく
私は歌うが＿＿、カラオケに行きたくない。,🅰 へたから,🅱 へたながら,🅲 へただから,🅳 へたでから
ここに【名前】と電話番号を書いてください。,🅰 なまえ,🅱 なめえ,🅲 なめい,🅳 なまい
このビルは＿＿ですね。何階まであるのでしょうか。,🅰 たかい,🅱 ほそい,🅲 ふとい,🅳 ながい
かぜを＿＿、学校を休みました。,🅰 引きて,🅱 引くから,🅲 引いて,🅳 引きたから
ちょっと【ちず】を見せてください。,🅰 池国,🅱 池図,🅲 地国,🅳 地図
会社まで遠いので、毎日電車で＿＿たいへんです。,🅰 つとめる,🅱 はたらく,🅲 のる,🅳 かよう
朝＿＿すぐにシャワーをあびます。,🅰 起きるから,🅱 起きた,🅲 起きて,🅳 起きたから
来週、【国】へ帰ります。,🅰 こに,🅱 にく,🅲 くに,🅳 こく
＿＿家ですが、一度あそびに来てください。,🅰 ほそい,🅱 せまい,🅲 すくない,🅳ちょっと
宿題を＿＿学校へ来ました。,🅰 しないから,🅱 しないで,🅲 しないが,🅳 しないて
図書館で本を【かります】。,🅰 借ります,🅱 貸ります,🅲 質ります,🅳 便ります
このたなはとても＿＿使いやすいです。,🅰 だいじょうぶで,🅱 たいへんで,🅲 じょうぶで,🅳 よわくて
レストランで＿＿話しましょう。,🅰 食べなくて,🅱 食べないで,🅲 食べるから,🅳 食べながら
弟レストランで【働いて】います。,🅰 はらたいて,🅱 はたらいて,🅲 はだらいて,🅳 はらだいて
ここまで遠かったでしょう。＿＿いらっしゃいました。,🅰 こんなに,🅱 いつも,🅲 とても,🅳 よく
病気はなおりました。もう＿＿食べられます。,🅰 なんでも,🅱 なにも,🅲 ぜんぜん,🅳 あんまり
デパートの【屋上】に上がる。,🅰 やじょう,🅱 おくじょう,🅲 やち,🅳 あんじょう
ラジオを【ききます】。,🅰 聞きます,🅱 開きます,🅲 動きます,🅳 問きます
銀行は９時＿＿３時までです。,🅰 に,🅱 までに,🅲 から,🅳 で
朝＿＿雨が降っています。,🅰 で,🅱 までに,🅲 に,🅳 から
25日＿＿申し込み用紙を出してください。,🅰 で,🅱 に,🅲 までに,🅳 から
９時半＿＿空港に着かなければなりません。,🅰 で,🅱 までに,🅲 に,🅳 から
あと５分＿＿試験が終わります。,🅰 で,🅱 までに,🅲 に,🅳 から
作文は３０分＿＿書き終わりました。,🅰 から,🅱 に,🅲 までに,🅳 で
授業は９時＿＿始ります。,🅰 から,🅱 に,🅲 までに,🅳 で
教室＿＿お弁当を食べましょう。,🅰 は,🅱 に,🅲 で,🅳 が
デパート＿＿靴を買いました。,🅰 は,🅱 に,🅲 で,🅳 が
明日このホール＿＿説明会があります。,🅰 を,🅱 に,🅲 で,🅳 へ
机の上＿＿本があります。,🅰 を,🅱 に,🅲 で,🅳 へ
駅の前＿＿いろいろな店が並んでいます。,🅰 を,🅱 に,🅲 で,🅳 へ
上野動物園＿＿パンダがいます。,🅰 を,🅱 に,🅲 で,🅳 へ
動物園＿＿いろいろな行事がります。,🅰 を,🅱 に,🅲 で,🅳 へ
動物園＿＿いろいろな動物がります。,🅰 を,🅱 に,🅲 で,🅳 へ
あそこ＿＿あるものは何ですか。,🅰 を,🅱 に,🅲 で,🅳 へ
あそこ＿＿話している人は誰ですか。,🅰 を,🅱 に,🅲 で,🅳 へ
今日、あそこ＿＿何があるんですか。,🅰 を,🅱 に,🅲 で,🅳 へ
山の上＿＿月が出ています。,🅰 を,🅱 に,🅲 で,🅳 へ
山の上＿＿人は住んでいません。,🅰 を,🅱 に,🅲 で,🅳 へ
山の上＿＿写真を撮りました。,🅰 を,🅱 に,🅲 で,🅳 へ
私の村＿＿来月スポーツ大会があります。,🅰 を,🅱 に,🅲 で,🅳 へ
私の村＿＿有名な山があります。,🅰 を,🅱 に,🅲 で,🅳 へ
私の村＿＿今、妹の家族がいます。,🅰 を,🅱 に,🅲 で,🅳 へ
新幹線望み１７号は１２時１３分に東京＿＿出発します。,🅰 で,🅱 に,🅲 を,🅳 へ
新幹線望み１７号は静岡＿＿通過します。,🅰 で,🅱 に,🅲 を,🅳 へ
新幹線望み１７号は１４時３４分に東京＿＿着きます。,🅰 で,🅱 に,🅲 を,🅳 へ
トラックはもうすぐ船岡町＿＿入ります。,🅰 で,🅱 に,🅲 を,🅳 へ
トラックは今、船岡町の中＿＿走っています。,🅰 で,🅱 に,🅲 を,🅳 へ
トラックは船岡町＿＿荷物をおろします。,🅰 で,🅱 に,🅲 を,🅳 へ
デパートへ買い物＿＿行きます。,🅰 で,🅱 に,🅲 を,🅳 へ
ピザの延長＿＿どんな種類が必要ですか。,🅰 で,🅱 に,🅲 を,🅳 へ
事故＿＿電車が止まっています。,🅰 で,🅱 に,🅲 を,🅳 へ
毎日雨＿＿テニスの練習ができません。,🅰 で,🅱 に,🅲 を,🅳 へ
バス＿＿学校へ行きます。,🅰 で,🅱 に,🅲 を,🅳 へ
このバター」と卵＿＿おいしケーキを焼きます。,🅰 で,🅱 に,🅲 を,🅳 へ
石油＿＿いろいろなものができます。,🅰 で,🅱 に,🅲 を,🅳 へ
