P1,T1,P2,T2,P3,T3
昨日ある島に上陸した。,It landed on one of the islands yesterday.,あれって、役に立った？,Was that useful?,この辺には岩がありますか。,Are there any rocks around here?
夢見てるみたいな気分だよ。,I feel like I'm dreaming.,この本は我々に役にたつ。,This book is useful to us.,いつ満潮ですか。,When is the high tide?
飛行機で旅をしてみたいな。,I wish I could travel by plane.,この道具は実に役に立つ。,This tool is very useful.,いつ干潮ですか。,When is high tide and when is low tide?
これお茶みたいな味がする。,This tastes like tea.,心配して何の役に立つのか。,What's the use of worrying about it?,水温は何度ですか。,What is the temperature of the water?
多分遅れる。,Maybe we'll be late.,パソコンはとても役に立つ。,The computer is very useful.,とても深いですか。,Is it very deep?
多分そうだよ。,Maybe we are.,それは役に立つ情報ですよ。,It's useful information.,立てますか。,Can you stand up?
たぶんおそすぎる。,Maybe we're too late.,この機械はとても役に立つ。,This machine is very useful.,子供が安全に泳げますか。,Is it safe for children to swim?
たぶん本当だよ。,Maybe it's true.,彼の助言は非常に役に立った。,His advice was very helpful.,流れはきついですか。,Is the current too strong?
たぶん正しい。,Maybe you're right.,それが役に立つと思いますか？,Do you think it will help?,この川に急流がありますか。,Are there rapids in the river?
たぶん大丈夫。,Maybe you're right.,多分これが役に立つと思うよ。,Maybe this will help you.,この川に滝がありますか。,Is there a waterfall in the river?
言っただろ。,I told you.,水泳は大変役に立つ技術である。,Swimming is a very useful skill.,あの旗はどういう意味ですか。,What do those flags mean?
冗談言うな。,Don't joke about it.,私は何かお役に立ちましょうか。,Can I be of any help to you?,あのブイはどういう意味ですか。,What do those buoys mean?
なにも言うな。,Don't say anything.,このサイトには、役に立つ記事がたくさんある。,There are a lot of useful articles on this site.,ここでスキーのレッスンが受けられま すか。,Can I take ski lessons here?
言わないで。,Don't say anything.,別の角度から問題を見ると役に立つかもしれない。,It might be helpful to look at the problem from a different angle.,初心者でも参加できますか？,Is it possible for beginners to participate?
合言葉を言う。,I'll say the word.,この道具はちゃんと使えばとても役に立つ。,This tool is very useful when used properly.,初心者向けのコースがありますか。,Are there courses for beginners?
一言言いたい。,I just want to say something.,何でもお役に立てるようにいたします。,We will try to help you in any way we can.,トムは上級のスノーボーダーだ。,Tom is an advanced snowboarder.
上等じゃないか。,You're good.,これはいつか役に立つかもしれない。,This may come in handy someday.,グループは何人ぐらいですか。,How many people are in a group?
笑わせるじゃないか。,You're making me laugh.,痛みが増しています。,The pain is increasing.,何語で教えられますか。,What languages can you teach?
ずぶ濡れじゃないか。,You're soaking wet,飛行機は速度を増した。,The plane picked up speed.,リフトの一日券を下さい。,Can I have a day pass for the lift?
さあ飲もうじゃないか。,"Come on, let's have a drink",飛行機は速度を増した。,The plane has gained speed.,証明写真がいりますか。,Do you need a photo ID?
中休みしようじゃないか。,Let's take a break,これできっと食欲が増します。,This will surely increase your appetite.,どこで証明写真を撮ってもらえますか。,Where can I get my picture taken?
今日って暇？,Are you free today?,彼女は日に日に美しさを増す。,She grows more beautiful every day.,初心者のゲレンデはどこですか。,Where is the beginner's slope?
幸福って何？,What is happiness?,こういうの初めてだろ。,You've never done this before.,この辺でクロスカントリースキーができますか。,Can I do cross-country skiing around here?
猫って可愛い。,Cats are cute.,こういう次第だ。,It's up to you.,リフトは動いていますか。,Are the lifts running?
物理って得意？,Are you good at physics?,こういう風にやればいい。,You should do it this way.,ゲレンデは滑降可能ですか。,Can I ski down the slopes?
明日の夜とかどう？,How about tomorrow night?,こういう服、似合ってるよ。,You look good in these clothes.,観光案内所はどこですか。,Where is the tourist information center?
何かペットとか飼ってたりするの？,Do you have any pets or anything?,よくこういう症状が起きますか。,Do you often have these symptoms?,町の地図ありますか。,Do you have a map of the town?
１２時４５分とかどう？,How about 12:45?,僕はこういう音楽が好きではない。,I don't like this kind of music.,会津若松について教えて下さい。,Please tell me about Aizu Wakamatsu.
めちゃめちゃ楽しかったよ。,That was so much fun.,こういう場合には経験が物を言う。,"In such cases, experience comes into play.",主にどこが面白いですか。,What are the main places of interest?
めちゃめちゃ寒くなったね。,It's getting really cold.,こういうわけで私はここへ来ました。,That's why I'm here.,地図で指して下さい。,Could you point them out on the map?
彼だったらできるよ。,He could do it.,彼がこういう機会をのがすのは残念だ。,It's a pity he missed this opportunity.,何かおすすめは。,What do you recommend?
私だったら買うよ。,I'd buy one.,こういうものが欲しいと思ってました。,I've always wanted something like this.,温泉に興味がありますが。,"I'm interested in hot springs, though."
私だったら歩くよ。,I'd walk if I were you.,こういう危険があるのに登山は大流行です。,"In spite of these dangers, mountain climbing is all the rage.",市内観光ありますか。,Is there any sightseeing in the city?
僕だったら断るな。,I'd say no.,こうしたら君のプラスになる。,"If you do this, it will be a plus for you.",どのぐらい時間がかかりますか,How long will it take?
俺だったら黙ってるな。,I'd keep my mouth shut.,どうしてこうしなきゃいけないの？,Why do I have to do this?,出発点はどこですか。,Where is the starting point?
すぐに学校に馴染んだ。,I fit right in at school.,ここら辺の出身？,Are you from around here?,終点はどこですか。,Where is the last stop?
初めは新居に馴染めなかった。,I didn't adjust to my new house at first.,ここら辺を夜歩くのは危ないよ。,It's not safe to walk around here at night.,遊覧船がありますか。,Is there a sightseeing boat?
砂糖を少し足してください。,"Add a little sugar, please.",ここら辺にスーパーマーケットってある？,Is there a supermarket around here?,どこで船に乗れますか。,Where can I get on a boat?
6と4を足すと10になる。,Six and four add up to ten.,彼はテーブルをひっくり返した。,He turned the table upside down.,どこでバスに乗れますか。,Where can I take a bus?
牛乳を少し加えなさい。,Add some milk.,我々の道具は全部ひっくり返された。,All our tools have been turned over.,観光バスがありますか。,Is there a sightseeing bus?
スープに塩を加えよう。,Add some salt to the soup,焼きたてパンの香ばしい香りが好き。,I love the savory smell of freshly baked bread.,英語のガイドがいますか。,Are there any English-speaking guides?
必要な変更を加える。,Make any necessary changes,彼の胸は期待に弾んだ。,His heart fluttered with anticipation.,どこか楽しい小旅行はありますか。,Do you have any fun excursions?
軽率に答えろな。,Don't answer rashly.,私の心は喜びではずんだ。,My heart leapt with joy.,観光ツアーがありますか。,Are there any sightseeing tours?
質問に答えなさい。,Answer the question.,ゴムのボールは弾力性があるから弾む。,The rubber ball bounced because of its elasticity.,どこへ行きますか。,Where do you go?
英語で答えなさい。,Answer in English.,ボールははずんで塀を飛び越えた。,The ball bounced and jumped over the wall.,北海道へ行きたいんですが。,I want to go to Hokkaido.
さあ早く答えないか。,"Come on, answer quickly.",すごく寒いです。,It's so cold.,ツアーは何時間かかりますか。,How long does the tour take?
間違って答えた。,I answered wrong.,すごく蒸し暑い。,It's so hot and humid.,小坂にはどのくらい滞在しますか。,How long will I stay in Kosaka?
駅に着いたよ。,I'm at the station.,今日はすごく暑い。,It's very hot today.,ガイド付きツアーがありますか。,Do you offer guided tours?
やっと着いた。,Finally.,すごく感動しました。,I was very impressed.,どのぐらい自由時間がありますか。,How much free time do I have?
２時半に着いた。,I arrived at 2:30.,彼女はすごく色気がある。,She is very sexy.,ハイキングに行きたいんですが。,I want to go hiking.
事故は避けられない。,An accident is inevitable.,君はすごく根性があるね。,You're so gutsy.,ガイドをたのめますか。,Can I ask for a guide?
その質問を避けた。,You avoided the question.,黒くて、甘くて、しっとりした何か。,"Something black, sweet, and moist.",山小屋が予約出来ますか。,Can I book a mountain lodge?
卵を焼いてくれ。,Would you like to fry some eggs?,ぐっすり眠れましたか。,Did you have a good night's sleep?,何時にお店が開きますか。,What time do the stores open?
パンを焼きますか。,Would you like to bake some bread?,子猫はぐっすりと眠った。,The kitten slept soundly.,何時にお店が閉まりますか。,What time do the stores close?
陶器は火で焼かれた。,The pottery was burned in the fire.,ぐっすり眠れましたか。,Did you get a good night's sleep?,何曜日にお寺が開いていますか。,What days are the temples open?
冬の日は速く暮れる。,The winter sun sets fast.,授業中にウトウトしてしまったんだ。,I fell asleep in class.,何曜日にお寺が閉まっていますか。,What days are the temples closed?
予想通りの展開になりましたね。,That's what I expected.,目が覚めたばかりで、まだウトウトしてたんだ。,He had just woken up and was still out of it.,入場料はいくらですか。,How much is the entrance fee?
彼は頭が良いがやはり嫌いだ。,"He's smart, but I still hate him.",彼は食事をがつがつとった。,He gobbled up his meal.,グループの割引切符ありますか。,Is there a discount ticket for groups?
空はますます暗くなった。,The sky is getting darker.,彼は食事をがつがつ食べた。,He gobbled down his meal.,子供の割引切符ありますか。,Is there a discount ticket for children?
海はますます荒れてきた。,The sea is getting rougher.,時間がどんどん経った。,Time went on and on.,撮影してもいいですか。,Is it okay to take pictures?
ますます難しくなっている。,It's getting harder and harder.,風がどんどん強くなった。,The wind was getting stronger and stronger.,写真を撮ってもいいですか。,Is it okay to take pictures?
むしるここにいたい。,"Mushy, I want to stay here.",彼はどんどん走り続けた。,He kept running and running.,英語のパンフレットありますか。,Is there a brochure in English?
バスよりむしる歩きたい。,I'd rather walk than take the bus.,霧がどんどん濃くなっている。,The fog was getting thicker and thicker.,英語のパンフレットありますか。,Do you have a brochure in English?
むしるビールを注文したい。,I want to order a beer.,彼の事業はどんどん伸びている。,His business was getting longer and longer.,英語のカタログありますか。,Do you have a catalog in English?
とうとう雨が降り出した。,At last it began to rain.,彼はテーブルを拳骨でどんどんたたいた。,He pounded the table with his knuckles more and more.,英語のプログラムありますか。,Do you have a program in English?
とうとう彼は目的を達成した。,At last he has achieved his goal.,じろじろ人を見てはいけません。,Don't stare at people.,英語のメニューありますか。,Do you have a menu in English?
やっと金曜日だ。,It's Friday at last,じろじろと私を見ないでくれませんか？,Can you please stop staring at me?,今月のプログラムありますか。,Do you have a program for this month?
やっと順番が来た。,It's finally his turn.,人のことをじろじろながめるのは失礼だ。,It's rude to stare at people.,今晩のプログラムはどうですか。,What is the program for this evening?
ようやくすっかり終わった。,"Finally, he was all done.",彼らは彼女の水着を驚きの目でじろじろと見た。,They stared at her swimsuit in surprise.,嵐山に行きたいんですが。,I'd like to go to Arashiyama.
汽車にようやく間に合った。,"Finally, he was on time for the train.",じろじろ見るな。,Don't stare at me.,どんな映画がありますか。,What kind of movies do you have?
ようやく納得した。,I'm finally satisfied.,彼は私をじろじろ見た。,He stared at me.,どのような映画ですか。,What kind of movies?
一応聞きますが何をするつもりですか?,"Just out of curiosity, what are you going to do?",他人の顔をじろじろ見るんじゃない。,Don't stare at other people's faces.,オリジナル版。,Original version.
先方から一応返事はありました。,I got an answer from the other side.,そんなじろじろ見つめないでください。,Please don't stare at me like that.,字幕付きで。,With subtitles.
なるべく安いほうがいいです。,I'd like to do it as cheaply as possible.,胸がドキドキするよ。,My heart is pounding.,吹替で。,Dubbed.
なるべくいろんなものを見に行こう。,Let's go see as many things as possible.,めっちゃドキドキした。,I'm so excited.,繰り返し上演しますか。,Will it be repeated?
なるべくゆっくり話してもらえますか?,Can you talk as slowly as possible?,わくわくしてた？,Are you excited?,何かいいショーはありますか。,Do you have any good shows?
問題はこうです。,The problem is this.,彼女に会えると思うとわくわくする。,I'm excited to see her.,何かいいコンサトホールはありますか。,Are there any good concert halls?
いつもこうなの？,Is it always like this?,自分の新居にわくわくしている。,I'm excited about my new house.,何かいいオペラ はありますか。,Are there any good operas?
なぜこうなったのかしら。,Why is it always like this?,見ていてハラハラさせられた。,It was very exciting to watch.,この辺にいいディスコはありますか。,Are there any good discos in the area?
そう書くんじゃない。こう書け。,Don't write like that. Write it like this.,それは私にとってはらはらする一瞬だった。,It was a frustrating moment for me.,会員だけですか。,Are they for members only?
ついに金曜日だ。,It's Friday at last.,彼はイライラしていた。,He was frustrated.,この辺にいいナトクラブはありますか。,Are there any good nato clubs in the area?
ついに現れた。,He finally showed up.,君は僕をいらいらさせる。,You irritate me.,正装は必要ですか。,Do I need to wear formal clothes?
ついに降参した。,At last he surrendered.,彼はその音にいらいらしている。,He's annoyed by the sound of it.,ショーは何時からですか。,What time do the shows start?
ついに彼は屈服した。,At last he gave in.,彼の退屈な話にはいらいらする。,His boring stories irritate me.,チケットは予約出来ますか。,Can I reserve tickets?
夢がついに叶った。,At last his dream came true.,胸がムカムカします。,My chest feels queasy.,一階席では予約出来ますか。,Can I reserve tickets for the first floor?
ついに彼女はやっと来た。,At last she came at last,胃がむかむかする。,My stomach is queasy.,二階席では予約出来ますか。,Can I reserve second floor seats?
ついに夏がやってきた。,At last summer is here,その悪臭にむかむかした。,The stench of it makes me sick to my stomach.,ボックス席では予約出来ますか。,Can I reserve a box seat?
やっぱりお前が頼りだよ。,I knew I could count on you.,朝起きた時むかむかします。,I feel sick when I wake up in the morning.,前方では予約出来ますか。,Can I make a reservation at the front?
冬はやっぱり雪がないとね。,"In winter, we need snow.",彼は騒音にぎょっとした。,He was startled by the noise.,中ごろでは予約出来ますか。,Can I make a reservation in the middle of the room?
和菓子にはやっぱり日本茶が合う。,Japanese sweets go well with Japanese tea.,驚いてぎょっとする。,He is startled by the noise.,後方では予約出来ますか。,Can I make a reservation in the back?
やっぱり風呂上がりはビールに限るな。,Beer is the best drink after a bath.,彼はその爆発にぎょっとした。,He was startled by the explosion.,今晩の切符はまだありますか。,Do you still have tickets for tonight?
殆ど泳げない。,I can barely swim.,その光景を見てぎょっとした。,He was startled by the sight.,一枚いくらですか 。,How much does a ticket cost?
ほとんど全部分かった。,I figured out almost everything.,彼の行動は我々をぎょっとさせた。,His actions made us cringe.,切符はいつもらえますか。,When can I get a ticket?
確かに難問だね。,"You're right, it's a difficult question.",私はぞっとした。,I was horrified.,予約しました。,I've made a reservation.
確かに彼は利口な少年だ。,"He's a clever boy, that's for sure.",それは私をぞっとさせた。,It creeped me out.,私の名前は真愛です。,My name is Ma'ai.
確かに彼は信頼できます。,Surely he can be trusted.,あいつを見るとぞっとするよ。,It creeps me out to see him.,６時の上演の切符を二枚予約出来ますか。,Can I reserve two tickets for the 6:00 performance?
彼の英語はまあまあだ。,His English is okay.,あいつを見るとぞっとするよ。,It creeps me out to look at him.,どの上 演に予 約したいんですか。,Which performance do you want to reserve?
カレーはまあまあでした。,The curry was okay.,気づいてた？,Did you notice that?,どんな座席がほしいんですか。,What kind of seats do you want?
なかなか立派だ。,Quite impressive.,これに気づいてた？,Did you notice this?,すみませんが、売切れです,"Sorry, we're sold out."
なかなか良かったよ。,It was pretty good.,よく気付いたね！,How did you notice that?,立ち見席だけ残っています,We have standing room only.
車はなかなか動かない。,The car didn't start very well.,何か間違いに気づいた？,Did you notice any mistakes?,二階席だけ残っています。,Only second floor seats are available.
かなり寒い。,Quite cold.,それには気付かなかった。,I didn't notice that.,一階席だけ残っています。,Only first floor seats are left.
かなり遠いから。,It's pretty far away.,雷がゴロゴロいったよ。,I heard thunder rumbling.,前の座席が残っています。,Front seats are still available.
かなり痛いのですか?,Does it hurt a lot?,胃がごろごろ音をたてます。,My stomach rumbled.,後の座席が残っています。,Back seats are still available.
これはかなり怖いね。,That's pretty scary.,ざあざあ雨が降った。,It was raining hard.,何枚ですか。,How many tickets do you have?
ずいぶんと静かだな。,You're awfully quiet.,雨がぽつぽつと降ってきた。,The rain started to fall in patches.,７時までに切符を取りに来なければなりません 。,You have to come and get your ticket by 7:00.
ずいぶん若く見えるよ。,You look a lot younger.,犬が骨をがりがりかじっている。,The dog is gnawing on the bone.,切符を見せて下さい。,Please show me your ticket.
ずいぶんと珍しいですね。,That's very unusual.,この薩摩芋は生焼けでがりがりする。,This sweet potato is raw and baked.,こちらの席です。,This is your seat.
たまに外食しようよ。,Let's eat out sometime.,彼女はほっそりした姿をしている。,She is a slender figure.,卵はどのようになさいますか。,How do you want the eggs?
たまには気楽にしていいよ。,You can take it easy once in a while.,縞柄の服で彼女のほっそりした姿が目立つ。,Her striped clothes make her slender figure stand out.,内訳はどのようにしましょう？,What should I do with the breakdown?
たまには外出て運動しなよ。,You should go out and exercise once in a while.,彼女は彼女の妹に劣らずほっそりしている。,She is as slender as her sister.,お支払いはどのようにしますか。,How will you pay for it?
彼はまるで専門家であるかのように話す。,He speaks as if he is an expert.,こってり化粧した顔は異様である。,"Her face, heavily made-up, is bizarre.",余暇はどのように過ごしますか？,How do you spend your leisure time?
日本語をまるで日本人かのように話す。,He speaks Japanese as if he were Japanese.,こってりあいつの油を絞ってやった。,I squeezed the oil out of her face.,卵はどのように調理しましょうか。,How do you cook eggs?
何でも知っているかのように話す。,He talks as if he knows everything.,彼女はこってりした食べ物が好きだ。,She likes rich food.,誕生日はどのように祝いましたか。,How did you celebrate your birthday?
普通でいいですか?,Is that normal?,彼女はあっさりと答えた。,She answered easily.,新年をどのように過ごすのですか。,How do you spend the New Year?
普通九時に寝る。,I usually go to bed at nine.,彼はその問題をあっさり解いた。,He solved the problem easily.,休暇をどのように過ごしましたか。,How did you spend your vacation?
普通の食事よ。,It's a normal meal.,今日は何かあっさりした食べ物が食べたいな。,I want to eat something light today.,どのようにしてそれは起こったの。,How did it happen?
これは完全に普通だ。,This is perfectly normal.,パンがふんわり焼けた。,The bread was softly baked.,連絡はどのようにすれば取れますか。,How can I get in touch with you?
それって普通のこと？,Does that sound normal to you?,私は今は永久脱毛で肌がツルツルです。,I have smooth skin now with permanent hair removal.,冬休みはどのように過ごしましたか。,How did you spend your winter vacation?
普通らしいの女性です。,She's a normal woman.,今日は、じめじめして寒いですね。,It's damp and cold today.,近頃は、どのようにお過ごしですか。,How are you spending your time these days?
彼を誉めずにはいられない。,I can't help but admire him.,じめじめした寒い日は健康に悪い。,Damp and cold days are bad for your health.,駅へはどのように行けばよいですか。,How do I get to the station?
そう思わずにはいられない。,I can't help but think that.,彼らは夏のじめじめした気候に慣れている。,They are used to the damp weather of summer.,どのようにして生活していきますか。,How do you plan to live your life?
彼女を愛さずにはいられない。,I can't help but love her.,鼻がムズムズする。,My nose is all mushy.,どのようにしてここに来たのですか。,How did you come to be here?
将来の事を考えずにはいられない。,I can't help but think about the future.,彼は家に帰りたくてむずむずしていた。,He was itching to go home.,コーヒーはどのようにいたしますか。,How do you like your coffee?
意見を述べずにはいられない。,Can't help but have an opinion,雨がしょぼしょぼ降っている。,The rain is drizzling.,あの問題どのように処理しましたか。,How did you handle that problem?
あまり見えない。,I can't see much.,こっそり家に忍び込む。,Sneaking into the house.,これはどのように発音するんですか？,How do you pronounce this?
あまり人に頼るな。,Don't rely on others too much,彼はこっそりささやいた。,He whispered secretly.,君はどのようにして学校へ行きますか。,How do you go to school?
あまり食べすぎるな。,Don't eat too much.,私は彼にこっそり手紙をわたした。,I secretly gave him a letter.,ステーキはどのように焼きましょうか。,How should I cook the steak?
最近あまり会わない。,I haven't seen you much lately.,マリーはこっそり家を抜け出した。,Marie sneaked out of the house.,この問題をどのように扱いましょうか。,How do you want to handle this problem?
あまり無理するなよ。,Don't push yourself too hard,彼女はこっそり笑って感謝の気持ちを表した。,She smiled secretly and expressed her gratitude.,お宅の暖房はどのようにしていますか。,How do you heat your house?
あまり楽しくなかったな。,That wasn't much fun.,何人が賃上げ交渉に参加しましたか？,How many of you participated in the wage increase negotiations?,あなたの苗字はどのように綴るのですか?,How do you spell your last name?
あなたが戻って来てくれて嬉しいです。,I'm glad you're back.,何かについて反対する。,Disagree about something.,彼らはそれをどのようにするかを知らない。,They don't know how to do it.
あなたが夢を見させてくれるのね。,You're the one who makes me dream.,旅客は歩道橋を使って路線を渡ってください。,Passengers must use the footbridge to cross the line.,彼らはそれをどのようにするかを知らない。,They don't know how to do it.
腕を離してくれ。,Let go of my arm.,通行には歩道橋で線路を渡らなくてはならない。,Passengers have to cross the tracks on the footbridge to get through.,この機械がどのように動くか説明できますか。,Can you explain how this machine works?
話しを聞かせてくれ。,Let me talk to you.,乗る列車を間違えたらしい。,They were on the wrong train.,あなたは「幸福」をどのように定義しますか。,"How do you define ""happiness""?"
僕と踊ってくれませんか。,I want you to dance with me.,その案は通った。,The idea passed.,わたしはどのようにこの問題を解くかわかる。,I know how to solve this problem.
生きる意味を考えてくれる。,You make me think about the meaning of life.,彼、試験に通ったの？,Did he pass the test?,あなたは自由な時間をどのように過ごしますか。,How do you spend your free time?
説明してくれてありがとう。,Thank you for explaining.,船は橋の下を通った。,The ship went under the bridge.,窓からは午後の優しい木漏れ日が差し込んでいた。,The gentle afternoon sun was shining through the window.
