Kanji,Reading,Script,Meaning
泣,な。く　キュウ,赤ん坊が泣く,Baby crying
泣,な。く　キュウ,泣き声,Crying
泣,な。く　キュウ,悔し泣き,Crying in frustration
泣,な。く　キュウ,妹は泣き虫だ,My sister is a crybaby
泣,な。く　キュウ,母の死に号泣する,Crying over mother's death
笑,わら。う　え。む　ショウ,笑い話,Laughing
笑,わら。う　え。む　ショウ,笑い声,Laughing
笑,わら。う　え。む　ショウ,笑顔がかわいい,I have a cute smile on my face
笑,わら。う　え。む　ショウ,顔に笑みが浮かぶ,A smile appears on her face
笑,わら。う　え。む　ショウ,微笑を浮かべる,a smile on the face
追,お。う　ツイ,ころぼうを追う,follow the rolls
追,お。う　ツイ,料理を追加する,Add some food
追,お。う　ツイ,猫がねずみを追いかける,Cat chasing a mouse
追,お。う　ツイ,追放する,Banishing
追,お。う　ツイ,追いつく,Catching up
追,お。う　ツイ,追い越す,Overtake
越,こ。す・える　エツ,山を越える,Over the mountain
越,こ。す・える　エツ,年越しそば,New Year's Eve soba
越,こ。す・える　エツ,前の車を追い越す,Overtake the car in front
越,こ。す・える　エツ,優越感を待つ,Wait for superiority
越,こ。す・える　エツ,引っ越してくる,Moving in
越,こ。す・える　エツ,引っ越していく,Moving out
越,こ。す・える　エツ,世俗を超越する,Transcending the mundane
登,のぼ。る　トウ　ト,富士山に登る,Climbing Mt.
登,のぼ。る　トウ　ト,山登り,Mountain Climbing
登,のぼ。る　トウ　ト,映画の登場人物,Characters in a movie
登,のぼ。る　トウ　ト,登山道,Mountain Trail
登,のぼ。る　トウ　ト,登校する,Going to School
飛,と。ぶ・ばす　ヒ,空を飛ぶ,Flying in the sky
飛,と。ぶ・ばす　ヒ,紙飛行機を飛ばす,Flying a paper plane
飛,と。ぶ・ばす　ヒ,大空を飛行する,Flying in the sky
飛,と。ぶ・ばす　ヒ,おりの中から飛び出す,Jumping out of a cage
飛,と。ぶ・ばす　ヒ,水中に飛び込む,Jumping into the water
去,さ。る　キョ　コ,この町を去る,Leave this town
去,さ。る　キョ　コ,危険が去る,Danger leaving
去,さ。る　キョ　コ,去年,Last year
去,さ。る　キョ　コ,過去の出来事,Past events
去,さ。る　キョ　コ,逃げ去る,Running away
逃,に。げる・がす　のが。す・れる　トウ,犯人を逃がす,Letting the criminal go
逃,に。げる・がす　のが。す・れる　トウ,難を逃れる,Escape from danger
逃,に。げる・がす　のが。す・れる　トウ,車で逃走する,Escaping in a car
逃,に。げる・がす　のが。す・れる　トウ,逃亡を図る,Attempting to flee
逃,に。げる・がす　のが。す・れる　トウ,見逃す,to miss
回,まわ。る・す　カイ,目が回る,to be dizzy
回,まわ。る・す　カイ,こまを回す,spin a wheel
回,まわ。る・す　カイ,回り道,make a detour
回,まわ。る・す　カイ,回答する,answer a question
回,まわ。る・す　カイ,回数券,coupon
回,まわ。る・す　カイ,次回,next time
刺,さ。す・さる　シ,刀で刺す,stab with a knife
刺,さ。す・さる　シ,ナイフが刺さる,knife stab
刺,さ。す・さる　シ,刺身,stab
刺,さ。す・さる　シ,名刺,Business card
刺,さ。す・さる　シ,刺激が強い,Irritating
突,つ。く　トツ,針で突く,Poke with a needle
突,つ。く　トツ,つえを突いて歩く,Walking with a stick
突,つ。く　トツ,車に衝突する,Crashing into a car
突,つ。く　トツ,突然の出来事,Sudden event
突,つ。く　トツ,封鎖を突破する,Breaking through a blockade
取,と。る　シュ,グラスを取る,Take a glass
取,と。る　シュ,書類を受け取る,Receiving Documents
取,と。る　シュ,ビザを取得する,Getting a visa
取,と。る　シュ,取材する,Interviewing
取,と。る　シュ,有利な取引,Make a lucrative deal
伸,の。びる・ばす　シン,草が伸びる,Make the grass grow
伸,の。びる・ばす　シン,学力を伸ばす,Improve your academic performance
伸,の。びる・ばす　シン,背伸びをする,grow taller
伸,の。びる・ばす　シン,伸縮する,stretch
伸,の。びる・ばす　シン,伸び率,growth rate
伸,の。びる・ばす　シン,欠伸,lack of stretch
急,いそ。ぐ　キュウ,病気に急ぐ,Hurry to sickness
急,いそ。ぐ　キュウ,急いで学校へ行く,Hurrying to school
急,いそ。ぐ　キュウ,急な用事,Urgent business
急,いそ。ぐ　キュウ,急病,Sudden illness
急,いそ。ぐ　キュウ,急行,Express
急,いそ。ぐ　キュウ,特急,Express
座,すわ。る　ザ,椅子に座る,Sit on a chair
座,すわ。る　ザ,座布団に座る,Sitting on a cushion
座,すわ。る　ザ,座席,Sitting in a seat
座,すわ。る　ザ,正座する,Sitting upright
座,すわ。る　ザ,座談会,Sitting
転,ころ。がる・げる・がす・ぶ　テン,小石が坂を転がる,A pebble rolls down a hill
転,ころ。がる・げる・がす・ぶ　テン,たるを転がす,Rolling down a slope
転,ころ。がる・げる・がす・ぶ　テン,雪道で滑って転ぶ,Slipping and falling on a snowy road
転,ころ。がる・げる・がす・ぶ　テン,回転する,Spinning
転,ころ。がる・げる・がす・ぶ　テン,転勤する,Transferring to a new job
転,ころ。がる・げる・がす・ぶ　テン,運転する,Drive
転,ころ。がる・げる・がす・ぶ　テン,転校生,Transfer student
転,ころ。がる・げる・がす・ぶ　テン,自転車,Bicycle
転,ころ。がる・げる・がす・ぶ　テン,転々する,move from place to place
転,ころ。がる・げる・がす・ぶ　テン,移転する,Move
転,ころ。がる・げる・がす・ぶ　テン,転落する,Falling
転,ころ。がる・げる・がす・ぶ　テン,逆転する,Turn around
転,ころ。がる・げる・がす・ぶ　テン,転換する,Turn
倒,たお。れる・す　トウ,木が倒れる,Fall down a tree
倒,たお。れる・す　トウ,敵を倒す,Defeat the enemy
倒,たお。れる・す　トウ,転倒する,Fall down
倒,たお。れる・す　トウ,会社が倒産する,The company will go bankrupt
倒,たお。れる・す　トウ,倒立する,Topple over
舞,ま。う　まい　ブ,舞台に出る,Go on stage
舞,ま。う　まい　ブ,病院に見舞いに行く,Going to the hospital to visit a patient
舞,ま。う　まい　ブ,仕舞う,finish up
舞,ま。う　まい　ブ,仕舞う,Shut it down
舞,ま。う　まい　ブ,歌舞伎,Kabuki
踊,おど。る・り　ヨウ,ダンスを踊る,Dancing
踊,おど。る・り　ヨウ,盆踊り,Bon dance
踊,おど。る・り　ヨウ,階段の踊り場,Stairway Dance
踊,おど。る・り　ヨウ,日本舞踊,Japanese dance
踊,おど。る・り　ヨウ,踊り子,Dancer
感,かん,痛みを感じる,Feeling the pain
感,かん,感心な子供,An impressed child
感,かん,映画に感動する,Moved by a movie
感,かん,感謝する,Gratitude
感,かん,感情を表現する,Expressing emotions
情,なさ。け　ジョウ,人の情けを知る,Knowing the compassion of others
情,なさ。け　ジョウ,感情を表す,Expressing feelings
情,なさ。け　ジョウ,情報を集まる,Gathering Information
情,なさ。け　ジョウ,同情する,Feel sympathy
情,なさ。け　ジョウ,真剣な表情,Serious expression
快,こころよ。い　カイ,そよ風が快い,A gentle breeze is pleasant
快,こころよ。い　カイ,愉快な友達,Pleasant friends
快,こころよ。い　カイ,快晴,Fine weather
快,こころよ。い　カイ,快適な温度,Comfortable temperature
快,こころよ。い　カイ,エンジンは快調だ,Engine running well
苦,くる。しい・しむ・しめる　にが。い・る　ク,生活が苦しい,Life is hard
苦,くる。しい・しむ・しめる　にが。い・る　ク,苦い薬,Bitter medicine
苦,くる。しい・しむ・しめる　にが。い・る　ク,苦手,Bitter
苦,くる。しい・しむ・しめる　にが。い・る　ク,苦労する,Struggling
苦,くる。しい・しむ・しめる　にが。い・る　ク,苦情受け付け係,Complaint taker
苦,くる。しい・しむ・しめる　にが。い・る　ク,苦心,Struggling
痛,いた。い・む・める　ツウ,歯が痛む,Toothache
痛,いた。い・む・める　ツウ,胸を痛める,chest pain
痛,いた。い・む・める　ツウ,頭痛,headache
痛,いた。い・む・める　ツウ,苦痛を感じる,Feel pain
痛,いた。い・む・める　ツウ,痛感する,feel pain
困,こま。る　コン,体が弱くて困る,Feeling weak and in trouble
困,こま。る　コン,お金に困る,Having trouble with money
困,こま。る　コン,困難をのり越える,Overcome difficulties
困,こま。る　コン,貧困家庭,Poor family
困,こま。る　コン,困惑,Confused
喜,よろこ。ぶ　キ,試合に勝って喜ぶ,Happy to win a game
喜,よろこ。ぶ　キ,喜びを感じる,Feel joy
喜,よろこ。ぶ　キ,喜劇,comedy
喜,よろこ。ぶ　キ,喜ばしい出来事,A joyful event
喜,よろこ。ぶ　キ,歓喜して,Rejoice
悲,かな。しい・しむ　ヒ,悲しい知らせ,Sad news
悲,かな。しい・しむ　ヒ,父の死を悲しむ,Saddened by the death of his father
悲,かな。しい・しむ　ヒ,悲劇,Tragedy
悲,かな。しい・しむ　ヒ,悲鳴をあげる,Scream
悲,かな。しい・しむ　ヒ,悲惨な結末,Tragic end
悩,なや。む・ます　ノウ,病気に悩む,Distressed by illness
悩,なや。む・ます　ノウ,悩みがある,Have a problem
悩,なや。む・ます　ノウ,問題の解決に苦悩する,Struggling to solve a problem
悩,なや。む・ます　ノウ,悩ましい女性,A distressed woman
悩,なや。む・ます　ノウ,煩悩が生じる,Affliction arises
辛,から。い　つら。い　シン,辛いカレー,Spicy curry
辛,から。い　つら。い　シン,香辛料を入れる,to add spices
辛,から。い　つら。い　シン,辛口,to have a spicy taste
辛,から。い　つら。い　シン,辛抱する,to have patience
辛,から。い　つら。い　シン,つらい修行,painful training
甘,あま。い・える・やかす　カン,甘いお菓子,Sweet treats
甘,あま。い・える・やかす　カン,親に甘える,spoil the parents
甘,あま。い・える・やかす　カン,子供を甘やかす,spoil a child
甘,あま。い・える・やかす　カン,甘口,sweet talk
甘,あま。い・える・やかす　カン,甘味料,Sweeteners
触,ふ。れる　さわ。る　ショク,作品に触らないでください,Please don't touch my work
触,ふ。れる　さわ。る　ショク,髪がほおに触れる,Hair touching your cheek
触,ふ。れる　さわ。る　ショク,感触がいい,Good touch
触,ふ。れる　さわ。る　ショク,接触する,Make contact
触,ふ。れる　さわ。る　ショク,抵触する,Conflict
触,ふ。れる　さわ。る　ショク,触発する,Touching
触,ふ。れる　さわ。る　ショク,触媒,Catalyst
柔,やわ。らか・らかい　ジュウ　ニュウ,柔らかな布団,Soft bedding
柔,やわ。らか・らかい　ジュウ　ニュウ,体が柔らかい,Soft body
柔,やわ。らか・らかい　ジュウ　ニュウ,柔道,Judo
柔,やわ。らか・らかい　ジュウ　ニュウ,柔和な性格の人,Mild-mannered
柔,やわ。らか・らかい　ジュウ　ニュウ,柔軟な考え方,Flexible thinking
硬,かた。い　コウ,硬い石,Hard stone
硬,かた。い　コウ,硬い土,Hard soil
硬,かた。い　コウ,顔の表情が硬い,Hard facial expression
硬,かた。い　コウ,100円硬貨,100 yen coin
硬,かた。い　コウ,強硬な意見,Hard opinions
硬,かた。い　コウ,硬直した価値観,Rigid values
荒,あら。い　あ。れる・らす　コウ,息が荒い,Rough breathing
荒,あら。い　あ。れる・らす　コウ,海が荒れる,The sea is rough
荒,あら。い　あ。れる・らす　コウ,荒れ地,Wasteland
荒,あら。い　あ。れる・らす　コウ,荒天,Rough weather
荒,あら。い　あ。れる・らす　コウ,戦争で荒廃した国土,War-torn land
鈍,にぶ。い・る　ドン,体の動きが鈍い,Sluggish body movement
鈍,にぶ。い・る　ドン,頭の働きが鈍る,The head is slow to work
鈍,にぶ。い・る　ドン,鈍感な人,insensitive person
鈍,にぶ。い・る　ドン,鈍器 ,Blunt 
鈍,にぶ。い・る　ドン,鈍行,slow to move
鈍,にぶ。い・る　ドン,鈍化する,to slow down
美,うつく。しい　ビ,美しい景色,Beautiful scenery
美,うつく。しい　ビ,美しい話,Beautiful story
美,うつく。しい　ビ,美人,beautiful people
美,うつく。しい　ビ,美男美女,Beautiful men and women
美,うつく。しい　ビ,美容院,Beauty Parlor
美,うつく。しい　ビ,美術品,Artwork
汚,けが。す・れる・らわしい　よご。す・れる　きたな。い　オ,汚れた服,Dirty clothes
汚,けが。す・れる・らわしい　よご。す・れる　きたな。い　オ,シャツを汚す,Dirty shirt
汚,けが。す・れる・らわしい　よご。す・れる　きたな。い　オ,汚い手,Dirty hands
汚,けが。す・れる・らわしい　よご。す・れる　きたな。い　オ,心が汚れる,Dirty mind
汚,けが。す・れる・らわしい　よご。す・れる　きたな。い　オ,汚水,Dirty water
汚,けが。す・れる・らわしい　よご。す・れる　きたな。い　オ,汚染される,Be contaminated
希,キ,入学を希望する,Seeking Admission
希,キ,平和を希求する,Seeking peace
希,キ,ダイヤモンドは希少価値がある,Diamonds are rare and valuable.
希,キ,希薄溶液,Dilute solution
希,キ,熱意が希薄だ,Enthusiasm is rare.
希,キ,希望者,Hopeful
望,のぞ。む　ボウ　モウ,大きな望みを持つ,Have great hopes
望,のぞ。む　ボウ　モウ,失望する,Disappointed.
望,のぞ。む　ボウ　モウ,切望する,Longing
望,のぞ。む　ボウ　モウ,望遠鏡,Telescope
望,のぞ。む　ボウ　モウ,大望をいだく,Have great hopes
夢,ゆめ　ム,スターを夢見る,Dreaming of a Star
夢,ゆめ　ム,初夢,First dream
夢,ゆめ　ム,夢物語,Dreaming stories
夢,ゆめ　ム,テレビゲームに夢中になる,Becoming obsessed with video games
夢,ゆめ　ム,悪夢,Nightmare
恋,こ。う　こい　こい。しい　レン,恋する,Falling in love
恋,こ。う　こい　こい。しい　レン,恋人,Lover
恋,こ。う　こい　こい。しい　レン,母が恋しい,I miss my mother
恋,こ。う　こい　こい。しい　レン,家を恋しがる,I miss my home
恋,こ。う　こい　こい。しい　レン,失恋する,I miss my heart
恋,こ。う　こい　こい。しい　レン,初恋,First love
恋,こ。う　こい　こい。しい　レン,恋文,Love letters
愛,アイ,子供を愛する,Love for a child
愛,アイ,母の愛,Mother's love
愛,アイ,愛情,Affection
愛,アイ,恋愛する,Fall in love
愛,アイ,恋愛小説,Love novels
愛,アイ,愛読書,Love reading books
愛,アイ,愛用する,Love to use
愛,アイ,愛用のカメラ,Love cameras
憎,にく。む・い・らしい・しみ　ゾウ,世の中の不正を憎む,Hate the injustice in the world
憎,にく。む・い・らしい・しみ　ゾウ,憎しみを持つ,Have hatred
憎,にく。む・い・らしい・しみ　ゾウ,憎らしい雨,Hateful rain
憎,にく。む・い・らしい・しみ　ゾウ,犯人を憎悪する,Hate the criminal
憎,にく。む・い・らしい・しみ　ゾウ,生憎,Raw hatred
想,ソウ　ソ,感想を述べる,Give your opinion
想,ソウ　ソ,予想する,Predict
想,ソウ　ソ,思想,Thought
想,ソウ　ソ,空想する,fantasize
想,ソウ　ソ,愛想がいい,amiable
想,ソウ　ソ,理想 ,Ideal 
想,ソウ　ソ,連想する,Associating
想,ソウ　ソ,想像する,Imagine
想,ソウ　ソ,可哀想,Pity
想,ソウ　ソ,発想する,To imagine
想,ソウ　ソ,構想する,Conceive
想,ソウ　ソ,回想する,Recall
想,ソウ　ソ,幻想 ,Fantasy 
想,ソウ　ソ,想定する,Assumption
想,ソウ　ソ,予想外,Unexpected
象,ゾウ,仏像,Buddha statue
象,ゾウ,石像,stone statue
象,ゾウ,映像,Image
象,ゾウ,座像,Seated image
象,ゾウ,写真を現像する,Developing a photograph
象,ゾウ,想像する,Imagine
象,ゾウ,画像,image
象,ゾウ,実像,real image
欲,ほっ。する　ほ。しい　ヨク,子供はおもちゃを欲しがる,A child desires a toy
欲,ほっ。する　ほ。しい　ヨク,欲望,Desire
欲,ほっ。する　ほ。しい　ヨク,食欲がある,A person has an appetite
欲,ほっ。する　ほ。しい　ヨク,病人は水を欲している,A sick person wants water
欲,ほっ。する　ほ。しい　ヨク,欲張り,Greed
欲,ほっ。する　ほ。しい　ヨク,意欲 ,Willingness 
求,もと。める　キュウ,平和を求める,Desire for peace
求,もと。める　キュウ,求人する,seek a job
求,もと。める　キュウ,求職する,Seeking a job
求,もと。める　キュウ,要求する,Demand
求,もと。める　キュウ,追求する,Pursue
求,もと。める　キュウ,欲求する,Desire
求,もと。める　キュウ,探求する,Explore
求,もと。める　キュウ,請求する,Request
求,もと。める　キュウ,請求書 ,Invoice 
祈,いの。る　キ,無事を祈る,Pray for safety
祈,いの。る　キ,お祈りをする,Say a prayer
祈,いの。る　キ,合格を祈願する,Pray for success
祈,いの。る　キ,祈念する,pray for success
祈,いの。る　キ,祈り,Pray
祈,いの。る　キ,祈祷する,Pray
願,ねが。う　ガン,子の幸せを願う,Pray for the happiness of your child
願,ねが。う　ガン,願いがかなう,to have a wish come true
願,ねが。う　ガン,強い願望を持つ,have a strong desire
願,ねが。う　ガン,入学願書,Application for admission
願,ねが。う　ガン,お願いします ,I beg you 
願,ねが。う　ガン,請願する,To petition
願,ねが。う　ガン,志願する,Apply
願,ねが。う　ガン,悲願する,Make a plea
願,ねが。う　ガン,出願する,Apply
信,シン,神を信じる,Trust God
信,シン,人を信用する,Trust in People
信,シン,自信を持つ,Have Confidence
信,シン,信頼する,Trust
信,シン,信号,Signal
信,シン,迷信する,Superstitious
信,シン,通信する,To communicate
信,シン,確信する,Confidence
疑,うたが。う　ギ,人を疑う,Doubting People
疑,うたが。う　ギ,疑わしい話,Suspicious talk
疑,うたが。う　ギ,疑問を持つ,Have doubts
疑,うたが。う　ギ,事件の容疑者,Suspect in a case
疑,うたが。う　ギ,疑問符,Question mark
香,かお。り　か　かお。る　コウ,ばらの花が香る,Smell of roses
香,かお。り　か　かお。る　コウ,お茶の香りがする,Smells like tea
香,かお。り　か　かお。る　コウ,香水,Perfume
香,かお。り　か　かお。る　コウ,お線香,Incense
香,かお。り　か　かお。る　コウ,香辛料,Spices
香,かお。り　か　かお。る　コウ,香ばしい,Fragrant
優,やさ。しい　すぐ。れる　ユウ,優しい性質,Gentle nature
優,やさ。しい　すぐ。れる　ユウ,優れた作品,Excellent work
優,やさ。しい　すぐ。れる　ユウ,優越感,Superiority
優,やさ。しい　すぐ。れる　ユウ,優秀な学生,Excellent student
優,やさ。しい　すぐ。れる　ユウ,優勝する,Winners
優,やさ。しい　すぐ。れる　ユウ,優先席,Preferred seat
優,やさ。しい　すぐ。れる　ユウ,俳優,Actors
優,やさ。しい　すぐ。れる　ユウ,優美な舞踊,Graceful Dance
良,よ。い　リョウ,頭が良い,Good head
良,よ。い　リョウ,気分が良くない,Not feeling well
良,よ。い　リョウ,良書,Good book
良,よ。い　リョウ,良心が咎める,My conscience is troubled
良,よ。い　リョウ,結果は良好,Good results
良,よ。い　リョウ,仲良し,good friends
良,よ。い　リョウ,良識,good sense
良,よ。い　リョウ,良し悪し,Good or bad
悪,わる。い　アク　オ,天気が悪い,Weather is bad
悪,わる。い　アク　オ,悪口を言う,Saying bad things
悪,わる。い　アク　オ,悪人,Bad people
悪,わる。い　アク　オ,悪寒がする,I get chills
悪,わる。い　アク　オ,憎悪を感じる,Feel hatred
悪,わる。い　アク　オ,悪魔,Demon
悪,わる。い　アク　オ,悪い,Bad
悪,わる。い　アク　オ,悪戯,Mischief
悪,わる。い　アク　オ,意地悪,Mean
悪,わる。い　アク　オ,悪化,Evil
悪,わる。い　アク　オ,悪夢,Nightmares
幸,さいわ。い　さち　しあわ。せ　ユウ,幸いにけがはなかった,"Fortunately, no one was injured."
幸,さいわ。い　さち　しあわ。せ　ユウ,海の幸,Seafood
幸,さいわ。い　さち　しあわ。せ　ユウ,幸せな家庭,Happy family
幸,さいわ。い　さち　しあわ。せ　ユウ,幸運,Good luck
幸,さいわ。い　さち　しあわ。せ　ユウ,不幸,Unhappiness
幸,さいわ。い　さち　しあわ。せ　ユウ,幸福 ,Good Fortune 
幸,さいわ。い　さち　しあわ。せ　ユウ,幸い,Happiness
福,フク,幸福な人生,Happy Life
福,フク,結婚を祝福する,Blessing Marriage
福,フク,社員のための福利厚生説,Welfare theory for employees
福,フク,福祉 ,Welfare 
福,フク,裕福,Wealth
福,フク,社会福祉,Social Welfare
福,フク,至福 ,Bliss 
和,やわ。らぐ・らげる　なご。む・やか　ワ　オ,風が和らぐ,Ease of the wind
和,やわ。らぐ・らげる　なご。む・やか　ワ　オ,和やかな雰囲気,Harmonious atmosphere
和,やわ。らぐ・らげる　なご。む・やか　ワ　オ,心が和む,Peace of mind
和,やわ。らぐ・らげる　なご。む・やか　ワ　オ,平和,Peace
和,やわ。らぐ・らげる　なご。む・やか　ワ　オ,和服,Japanese clothes
和,やわ。らぐ・らげる　なご。む・やか　ワ　オ,和尚,Harmony
和,やわ。らぐ・らげる　なご。む・やか　ワ　オ,調和する,Harmonize
和,やわ。らぐ・らげる　なご。む・やか　ワ　オ,声を和らげる,Soothes the voice
和,やわ。らぐ・らげる　なご。む・やか　ワ　オ,温和な気候,Mild Climate
和,やわ。らぐ・らげる　なご。む・やか　ワ　オ,中和曲線,Neutralizing curve
和,やわ。らぐ・らげる　なご。む・やか　ワ　オ,和解する,Reconcile
和,やわ。らぐ・らげる　なご。む・やか　ワ　オ,和牛,Wagyu
和,やわ。らぐ・らげる　なご。む・やか　ワ　オ,和室,Japanese Room
別,わか。れる　ベツ,父と別れる,Separation from Father
別,わか。れる　ベツ,別れ,Farewell
別,わか。れる　ベツ,特別,Special
別,わか。れる　ベツ,区別,Separation
別,わか。れる　ベツ,送別会,Farewell party
別,わか。れる　ベツ,別々,separation
別,わか。れる　ベツ,差別,discrimination
別,わか。れる　ベツ,別荘,Separate Villa
別,わか。れる　ベツ,別に,Separate
別,わか。れる　ベツ,格別,Separate
別,わか。れる　ベツ,個別,Individual
別,わか。れる　ベツ,別居,Separate
別,わか。れる　ベツ,別人,Separate people
別,わか。れる　ベツ,識別,Identification
別,わか。れる　ベツ,別問題,different problems
別,わか。れる　ベツ,選別する,sort out
別,わか。れる　ベツ,大別する,sort by major
別,わか。れる　ベツ,戸別訪問,go door to door
別,わか。れる　ベツ,決別する,break up
別,わか。れる　ベツ,別館,separate building
別,わか。れる　ベツ,分別する,Separate
決,き。める　き。まる　ケツ,予定が決まる,make a plan
決,き。める　き。まる　ケツ,決心する,Make up your mind
決,き。める　き。まる　ケツ,決勝戦,Final
決,き。める　き。まる　ケツ,決定する,Decide
決,き。める　き。まる　ケツ,決して負けない,Never lose
決,き。める　き。まる　ケツ,解決する,Resolve
決,き。める　き。まる　ケツ,判決する,Decide
決,き。める　き。まる　ケツ,決断する,Decide
決,き。める　き。まる　ケツ,多数決,Majority rule
決,き。める　き。まる　ケツ,決まり,Decide
決,き。める　き。まる　ケツ,可決する,Pass
決,き。める　き。まる　ケツ,決意する,Decide
決,き。める　き。まる　ケツ,対決する,Vote
決,き。める　き。まる　ケツ,議決する,Vote
決,き。める　き。まる　ケツ,決算する,Settle
決,き。める　き。まる　ケツ,否決する,Vote No
決,き。める　き。まる　ケツ,採決する,Vote
私,わたくし　シ,私事,Private affairs
私,わたくし　シ,私立大学,Private University
私,わたくし　シ,私鉄,private railway
私,わたくし　シ,私用,"personal use, private business"
私,わたくし　シ,私物,Private property
私,わたくし　シ,私有財産,Private property
私,わたくし　シ,講師の別,By Lecturer
個,コ,一個,One piece
個,コ,数個,Several
個,コ,個人の自由,Personal freedom
個,コ,個々の問題,Individual issues
個,コ,個性がある,Individuality
他,ほか　タ,他人,Others
他,ほか　タ,他方,The Other
他,ほか　タ,他界する,Other world
他,ほか　タ,他さんの石,Other's stone
他,ほか　タ,彼の死は他殺だ,His death was another man's death.
他,ほか　タ,他の本,The Other Book
各,おのおの　カク,各々が責任を持つ,Each is responsible for
各,おのおの　カク,各自,Each one
各,おのおの　カク,各種,Various
各,おのおの　カク,世界各国,All over the world
各,おのおの　カク,各地の天気予報,Each Local Weather Forecast
