Phrases,Translation
俺だったら黙ってるな,I'd keep my mouth shut.
すぐに学校に馴染んだ,I fit right in at school.
初めは新居に馴染めなかった,I didn't adjust to my new house at first.
砂糖を少し足してください,"Add a little sugar, please."
6と4を足すと10になる,Six and four add up to ten.
牛乳を少し加えなさい,Add some milk.
スープに塩を加えよう,Add some salt to the soup
必要な変更を加える,Make any necessary changes
軽率に答えろな,Don't answer rashly.
質問に答えなさい,Answer the question.
英語で答えなさい,Answer in English.
さあ早く答えないか,"Come on, answer quickly."
間違って答えた,I answered wrong.
駅に着いたよ,I'm at the station.
やっと着いた,Finally.
２時半に着いた,I arrived at 2:30.
事故は避けられない,An accident is inevitable.
その質問を避けた,You avoided the question.
卵を焼いてくれ,Would you like to fry some eggs?
パンを焼きますか,Would you like to bake some bread?
陶器は火で焼かれた,The pottery was burned in the fire.
冬の日は速く暮れる,The winter sun sets fast.
予想通りの展開になりましたね,That's what I expected.
彼は頭が良いがやはり嫌いだ,"He's smart, but I still hate him."
空はますます暗くなった,The sky is getting darker.
海はますます荒れてきた,The sea is getting rougher.
ますます難しくなっている,It's getting harder and harder.
むしるここにいたい,"Mushy, I want to stay here."
バスよりむしる歩きたい,I'd rather walk than take the bus.
むしるビールを注文したい,I want to order a beer.
とうとう雨が降り出した,At last it began to rain.
とうとう彼は目的を達成した,At last he has achieved his goal.
やっと金曜日だ,It's Friday at last
やっと順番が来た,It's finally his turn.
ようやくすっかり終わった,"Finally, he was all done."
汽車にようやく間に合った,"Finally, he was on time for the train."
ようやく納得した,I'm finally satisfied.
一応聞きますが何をするつもりですか,"Just out of curiosity, what are you going to do?"
先方から一応返事はありました,I got an answer from the other side.
なるべく安いほうがいいです,I'd like to do it as cheaply as possible.
なるべくいろんなものを見に行こう,Let's go see as many things as possible.
なるべくゆっくり話してもらえますか,Can you talk as slowly as possible?
問題はこうです,The problem is this.
いつもこうなの？,Is it always like this?
なぜこうなったのかしら,Why is it always like this?
そう書くんじゃない。こう書け,Don't write like that. Write it like this.
ついに金曜日だ,It's Friday at last.
ついに現れた,He finally showed up.
ついに降参した,At last he surrendered.
ついに彼は屈服した,At last he gave in.
夢がついに叶った,At last his dream came true.
ついに彼女はやっと来た,At last she came at last
ついに夏がやってきた,At last summer is here
やっぱりお前が頼りだよ,I knew I could count on you.
冬はやっぱり雪がないとね,"In winter, we need snow."
和菓子にはやっぱり日本茶が合う,Japanese sweets go well with Japanese tea.
やっぱり風呂上がりはビールに限るな,Beer is the best drink after a bath.
殆ど泳げない,I can barely swim.
ほとんど全部分かった,I figured out almost everything.
確かに難問だね,"You're right, it's a difficult question."
確かに彼は利口な少年だ,"He's a clever boy, that's for sure."
確かに彼は信頼できます,Surely he can be trusted.
彼の英語はまあまあだ,His English is okay.
カレーはまあまあでした,The curry was okay.
なかなか立派だ,Quite impressive.
なかなか良かったよ,It was pretty good.
車はなかなか動かない,The car didn't start very well.
かなり寒い,Quite cold.
かなり遠いから,It's pretty far away.
かなり痛いのですか,Does it hurt a lot?
これはかなり怖いね,That's pretty scary.
ずいぶんと静かだな,You're awfully quiet.
ずいぶん若く見えるよ,You look a lot younger.
ずいぶんと珍しいですね,That's very unusual.
たまに外食しようよ,Let's eat out sometime.
たまには気楽にしていいよ,You can take it easy once in a while.
たまには外出て運動しなよ,You should go out and exercise once in a while.
彼はまるで専門家であるかのように話す,He speaks as if he is an expert.
日本語をまるで日本人かのように話す,He speaks Japanese as if he were Japanese.
何でも知っているかのように話す,He talks as if he knows everything.
普通でいいですか,Is that normal?
普通九時に寝る,I usually go to bed at nine.
普通の食事よ,It's a normal meal.
これは完全に普通だ,This is perfectly normal.
それって普通のこと？,Does that sound normal to you?
普通らしいの女性です,She's a normal woman.
彼を誉めずにはいられない,I can't help but admire him.
そう思わずにはいられない,I can't help but think that.
彼女を愛さずにはいられない,I can't help but love her.
将来の事を考えずにはいられない,I can't help but think about the future.
意見を述べずにはいられない,Can't help but have an opinion
あまり見えない,I can't see much.
あまり人に頼るな,Don't rely on others too much
あまり食べすぎるな,Don't eat too much.
最近あまり会わない,I haven't seen you much lately.
あまり無理するなよ,Don't push yourself too hard
あまり楽しくなかったな,That wasn't much fun.
あなたが戻って来てくれて嬉しいです,I'm glad you're back.
あなたが夢を見させてくれるのね,You're the one who makes me dream.
腕を離してくれ,Let go of my arm.
話しを聞かせてくれ,Let me talk to you.
僕と踊ってくれませんか,I want you to dance with me.
生きる意味を考えてくれる,You make me think about the meaning of life.
説明してくれてありがとう,Thank you for explaining.
踊ってもらえますか,Will you dance with me?
予約してもらえませんか,Will you make a reservation?
友達にたすけてもらいなさい,Ask your friends to help you
毎朝起こしてもらえますか,Can you wake me up every morning?
僕は妹に写真を取ってもらった,I asked my sister to take my picture.
目の前で料理してもらうのは素敵だ,It's nice to have someone cook in front of you.
子供の頃しょっちゅう勉強しると言われた,"When I was a child, I was often told I needed to study."
紅茶とコーヒーどちらでもどうぞと言われた,I was told I could have tea or coffee.
僕は医者に見てもらったほうがいいと言われた,He said I should see a doctor.
結婚してくれと言われたとき私は言葉に窮した,"When he asked me to marry him, I was at a loss for words."
彼は助けてくれと叫んだ,He screamed for help.
彼にそうしてくれと頼んだ,I begged him to do so.
彼は私に許してくれと言った,He asked me to forgive him.
彼はお金を貸してくれと頼んだ,He asked me to lend him some money
誰かが助けてくれ叫んでいる,Someone is screaming for help
彼は給料を上げてくれと要求した,He demanded a raise in his salary.
彼女は彼に家まで送ってくれと訴えた,She pleaded with him to give her a ride home.
凍るように冷たい,Freezing cold
焼けるように熱い,Searing hot
うだるように暑い,Sweltering hot
働き過ぎないように,Don't work too hard
汽車に間に合うように急げ,Hurry up so you can catch the train
またいつか風のように走るんだ,You'll be running like the wind again someday
必ず弱火で煮立たないように煮ること,Be sure to boil it over low heat so it doesn't boil over
ここは差し込むように痛みます,It hurts like a plunger here
袖を捲ってください,Please roll up your sleeves
今日は寒くてしょうがない,It's so cold today
心配したってしょうがないよ,I don't care if you're worried
冷たいものを飲みたくてしょうがない,I can't help but want something cold to drink
対策に関する討議が行われた,Discussions were held on countermeasures.
それは細菌感染に有効だ,It's effective against bacterial infections.
その新型車が市場に出ている,That new car is on the market.
何がそう言ったにせよそれはうそだよ,"Whatever told you that, it's a lie."
捕まらないようにしろよ,Try not to get caught.
彼は我々の求めに応じて歌って,He sang at our request.
電車は駅に向かっていた,The train was heading for the station.
彼の努力にも関わらず事故は起こった,"Despite his best efforts, the accident happened."
彼女は事実に基づいて議論を展開する,She bases her arguments on facts.
自分お主義に基づいて行動した,She acted on her own principles.
塩と重曹を水に加えてください,Add salt and baking soda to the water.
雨に加えて激しい風にもあった,We had heavy winds as well as rain.
警戒するに越したっことはない,It's always better to be safe than sorry.
何か別の方法があるに決まっている,There's got to be another way.
そんな計画は失敗するに決まっている,A plan like that is bound to fail.
お金持ちに関わらず彼女は幸せでない,"Regardless of how rich she is, she's not happy."
彼らとは関わるな,Don't get involved with them.
地球の資源は限られている,Earth's resources are limited.
学生に限り入場可,Only students are admitted.
急いでいる時に限ってバスが遅れる,The bus is always late when I'm in a hurry.
夏はビールに限るね,Beer is the best drink in summer.
ただしかっこいい男に限る,But only if you're good-looking.
誕生日に限らずプレゼントをもらうのは嬉しいものだ,"It's always nice to receive gifts, not just on your birthday."
服装や髪型はその人の内面の表れにほかならない,Clothing and hairstyle are nothing but an expression of a person's inner self.
予想に反して楽に勝てましたね,"Contrary to my expectations, you won easily."
海外旅行をするにあたりインターネットで気候を調べました,I researched the climate on the Internet for my trip abroad.
行かなければならない,I have to go.
将来に備えねばならない,We have to prepare for the future.
冬が近づきつつある,Winter is approaching
物価が上がりつつある,Prices are rising.
人口は増加しつつある,The population is growing.
自分としては満足している,I am satisfied with my life.
旅行方法としてはどれが一番良いですか,Which is the best way to travel?
