Sentences,Translate
父は娘の花嫁姿を眺めつつ、彼女が生まれた日のことを思い出していた。,The father was looking at his daughter's bridal gown and remembering the day she was born.
新たな証拠が出てきた以上、彼女が犯人だと断定せざるを得ない。,"Now that new evidence has come to light, he has no choice but to conclude that she is the murderer."
今年は仕事が忙しいので、夏休みの海外旅行はあきらめざるを得ない。,"I'm busy with work this year, so I'll have to give up my summer vacation trip abroad."
未経験者だけで冬山に登るなど、無謀といわざるを得ない。,"Climbing a winter mountain with only inexperienced climbers is reckless, I must say."
学校の規則なので、髪を切らざるを得ない。,I have to cut my hair because of school regulations.
夫がたばこをやめたのは、妊娠した妻のためにほかならない。,The husband quit smoking for nothing but his pregnant wife.
脳死は人間の死にほかならないと考える人が増えた。,More and more people believe that brain death is nothing more than the death of a human being.
新しい事業の成功は、社員全員の努力の賜物にほかならない。,The success of a new business is nothing but the result of the efforts of all employees.
親が子どもを叱しかるのは、子どもを愛しているからにほかならない。,"When parents scold their children, it is only because they love them."
彼女が合格したのは努力の結果にほかならない。,The fact that she passed the exam was nothing but the result of hard work.
歴史の知識にかけては、クラスで佐藤さんにかなう人はいない。,There is no one in the class who can match Ms. Sato's knowledge of history.
私は足の速さにかけてはだれにも負けない自信がある。,I am confident that I am as fast as anyone in the world.
野球の全国大会に出場できるのは1県に1校のみだ。,Only one school per prefecture is allowed to participate in the national baseball tournament.
父が無事であるよう、ただ祈るのみです。,I can only pray that my father will be safe.
最近はペーパーテストのみではなく、面接も行う大学が増えた。,"Recently, more and more universities are conducting interviews instead of just paper tests."
あの国は気候が穏やかであるのみならず、人々も親切なので住みやすい。,"The country is easy to live in, not only because of its mild climate, but also because of the kindness of its people."
彼は交通事故を起こし、自分の右足を失ったのみならず、相手にも大けがを負わせてしまった。,He had a traffic accident in which he not only lost his right leg but also seriously injured the other party.
木村教授は優れた研究者であるのみならず、立派な教育者でもある。,"Professor Kimura is not only an excellent researcher, but also a great educator."
この機械は性能が良いのみならず、操作も簡単だ。,This machine is not only good in performance but also easy to operate.
黒澤監督の映画は日本国内のみならず、海外でも高い評価を得ている。,Director Kurosawa's movies are highly acclaimed not only in Japan but also abroad.
男にせよ女にせよ、最低限の家事はできたほうがいいと思う。,"Whether you are a man or a woman, I think you should be able to do at least some housework."
行くにしても行かないにしても、明日中に返事をしてください。,"Whether you are going or not, please give me an answer by the end of tomorrow."
優勝は無理にしても、1回戦ぐらいは勝ちたい。,"Even if I can't win, I want to at least win the first round."
どれほど忙しかったにせよ、電話をかけるぐらいの時間はあったはずだ。,"No matter how busy he was, he should have had enough time to make a phone call."
たとえ記事の内容が事実であるにせよ、このようなプライバシーを書くのは問題だ。,"Even if the article is true, writing this kind of privacy is problematic."
性格的には問題があるにしても、彼の優秀さを認めないわけにはいかない。,"It is hard not to acknowledge his excellence, even if he has character issues."
