Words,Reading,Meaning,S1,T1
真っ赤,まっか,deep red,真っ赤な夕焼け。,A crimson sunset.
鮮やか,あざやか,"vivid, bright, skillful",健康な歯茎は鮮やかなピンク色をしています。,Healthy gums are bright pink.
新鮮,しんせん,fresh,新鮮な目で見てください。,Please try to look at it with a fresh eye.
不当,ふとう,"injustice, impropriety, unfair",不当な取り扱いをする。,Treat somebody unfairly.
急激,きゅうげき,"abrupt, sudden",急激な進歩。,Rapid progress.
私的,してき,"private, personal",これは私的な問題だ。,This is a private matter.
肝心,かんじん,"essential, important, crucial",,
特有,とくゆう,"characteristic of, peculiar to",,
グローバル,グローバル,global,,
単独,たんどく,"sole, single, solo",,
無数,むすう,innumerable,,
適正,てきせい,"reasonable, suitable",,
巧み,たくみ,"skillful, dexterous, clever",,
バラバラ,バラバラ,"scattered, disperse, loose",,
気の毒,きのどく,"pitiful, unfortunate",,
早め,はやめ,"early, little earlier than usual",,
広大,こうだい,"vast, extensive, immense",,
順調,じゅんちょう,"favourable, all right",,
最適,さいてき,most suitable,,
不法,ふほう,"unlawful, illegal",,
厳密,げんみつ,"strict, close, precise",,
大胆,だいたん,"bold, daring, audacious",,
異様,いよう,"bizarre, strange, odd",,
柔軟,じゅうなん,"flexible, soft, pliable",,
性的,せいてき,relating to gender,,
健全,けんぜん,"healthy, sound",,
俄か,にわか,"sudden, abrupt, unexpected",,
強引,ごういん,"overbearing, coercive, pushy",,
華やか,はなやか,"showy, brilliant, gorgeous",,
別々,べつべつ,separate,,
顕著,けんちょ,"remarkable, striking",,
的確,てきかく,"precise, accurate, appropriate",,
スムーズ,スムーズ,smooth,,
丈夫,じょうぶ,"healthy, robust, solid",,
密接,みっせつ,"close, intimate",,
迅速,じんそく,"quick, fast, swift",,
シンプル,シンプル,"simple, plain",,
忠実,ちゅうじつ,"faithful, devoted, loyal",,
大袈裟,おおげさ,"grandiose, exaggerated",,
緩やか,ゆるやか,"loose, slack, gentle, slow, lenient",,
無縁,むえん,"unrelated, unconnected, irrelevant",,
率直,そっちょく,"frank, candid, straightforward",,
賑やか,にぎやか,"bustling, busy, prosperous",,
漠然,ばくぜん,"vague, obscure, indistinct",,
明白,めいはく,"obvious, clear",,
爽やか,さわやか,"fresh, refreshing, invigorating, clear, fluent",,
温暖,おんだん,"warm, mild, temperate",,
愚か,おろか,"foolish, stupid, silly",,
人的,じんてき,"human, personal",,
真っ白,まっしろ,pure white,,
対等,たいとう,"equal footing, equal terms",,
前向き,まえむき,"facing forward, front-facing",,
露わ,あらわ,"exposed, bare",,
有害,ゆうがい,"harmful, hazardous",,
惨め,みじめ,"miserable, wretched",,
間近,まぢか,"proximity, nearness, soon, nearby",,
過激,かげき,"extreme, radical",,
器用,きよう,"skillful, dexterous, nimble",,
速やか,すみやか,"quick, speedy, prompt",,
気楽,きらく,"carefree, comfortable, easy-going",,
ビッグ,ビッグ,big,,
無難,ぶなん,"safe, secure, acceptable, passable",,
柔らか,やわらか,"soft, tender, supple, subdued",,
安易,あんい,"easy, simple, easygoing, lighthearted",,
陽気,ようき,"cheerful, merry",,
著名,ちょめい,"well-known, noted, celebrated",,
気軽,きがる,"carefree, buoyant, lighthearted",,
猛烈,もうれつ,"fierce, intense, severe",,
自在,じざい,doing at will​,,
然様,さよう,"indeed, like that",,
呆然,ぼうぜん,"dumbfounded, in a daze",,
簡易,かんい,"simplicity, convenience, easiness",,
真っ暗,まっくら,"pitch dark, bleak future",,
上品,じょうひん,"elegant, refined, polished, stylish, high-quality goods",,
鮮明,せんめい,"vivid, clear, distinct",,
同等,どうとう,"equality, equal, same rights",,
明瞭,めいりょう,"clear, plain, distinct, obvious",,
密,みつ,"dense, thick, crowded, intimate",,
厳格,げんかく,"strict, severe, stern, rigid",,
真っ黒,まっくろ,pitch black,,
端的,たんてき,"frank, direct, plain, straightforward",,
粗末,そまつ,"crude, rough, plain, humble, shabby​",,
執拗,しつよう,"persistent, tenacious",,
ぼろぼろ,ぼろぼろ,"worn-out, ragged, tattered",,
滑らか,なめらか,"smooth, glassy, velvety, fluent, fluid",,
平ら,たいら,"flat, level, even, smooth, calm, tranquil",,
未熟,みじゅく,"unripe, green",,
切,せつ,"eager, earnest",,
内的,ないてき,"inner, intrinsic, mental, inherited",,
モダン,モダン,modern,,
良好,りょうこう,"good, fine, excellent, favorable",,
一様,いちよう,"uniform, equal, even, common",,
平然,へいぜん,"calm, composed, cool, quiet​",,
細やか,ささやか,"small, little, tiny, insignificant",,
安価,あんか,"low-priced, cheap, inexpensive",,
尋常,じんじょう,"common, usual",,
頑固,がんこ,"stubborn, obstinate",,
厳重,げんじゅう,"strict, severe, stringent, rigorous",,
過度,かど,"excessive, immoderate",,
円滑,えんかつ,"smooth, undisturbed, uninterrupted",,
壮大,そうだい,"magnificent, grand, majestic",,
淡々,たんたん,"uninterested, unconcerned, indifferent",,
格別,かくべつ,"particular, special, exceptional, especial",,
外的,がいてき,"external, outside",,
広範,こうはん,"wide, extensive, comprehensive",,
ユニーク,ユニーク,unique,,
猥褻,わいせつ,,,
劇的,げきてき,,,
公然,こうぜん,,,
適度,てきど,,,
ドライ,どらい,,,
ハッピー,はっぴー,,,
単一,たんいつ,,,
巧妙,こうみょう,,,
手軽,てがる,,,
スロー,すろー,,,
深々,ふかぶか,,,
露骨,ろこつ,,,
抜群,ばつぐん,,,
定か,さだか,,,
控えめ,ひかえめ,,,
明快,めいかい,,,
多彩,たさい,,,
希薄,きはく,,,
旺盛,おうせい,,,
巨額,きょがく,,,
存分,ぞんぶん,,,
着実,ちゃくじつ,,,
細か,こまか,,,
多大,ただい,,,
良質,りょうしつ,,,
唐突,とうとつ,,,
クール,くーる,,,
質的,しつてき,,,
大まか,おおまか,,,
強硬,きょうこう,,,
無残,むざん,,,
裕福,ゆうふく,,,
大嫌い,だいきらい,,,
愕然,がくぜん,,,
謙虚,けんきょ,,,
濃厚,のうこう,,,
強固,きょうこ,,,
暢気,のんき,,,
悪質,あくしつ,,,
ロマンチック,ろまんちっく,,,
不可解,ふかかい,,,
パブリック,ぱぶりっく,,,
大きめ,おおきめ,,,
あからさま,あからさま,,,
まめ,まめ,,,
窮屈,きゅうくつ,,,
確固,かっこ,,,
朧,おぼろ,,,
多め,おおめ,,,
緊密,きんみつ,,,
無闇,むやみ,,,
早急,さっきゅう,,,
冷ややか,ひややか,,,
怪訝,けげん,,,
大雑把,おおざっぱ,,,
物的,ぶってき,,,
頑丈,がんじょう,,,
切実,せつじつ,,,
勇敢,ゆうかん,,,
格段,かくだん,,,
気掛かり,きがかり,,,
盛大,せいだい,,,
別個,べっこ,,,
長閑,のどか,,,
量的,りょうてき,,,
裏腹,うらはら,,,
整然,せいぜん,,,
下品,げひん,,,
可憐,かれん,,,
黙々,もくもく,,,
小まめ,こまめ,,,
茫然,ぼうぜん,,,
手頃,てごろ,,,
混沌,こんとん,,,
唖然,あぜん,,,
虚ろ,うつろ,,,
繁華,はんか,,,
丹念,たんねん,,,
高め,たかめ,,,
天晴,あっぱれ,,,
簡素,かんそ,,,
劣等,れっとう,,,
悠々,ゆうゆう,,,
大々,だいだい,,,
美妙,びみょう,,,
寛大,かんだい,,,
しなやか,しなやか,,,
にこやか,にこやか,,,
利口,りこう,,,
有数,ゆうすう,,,
安らか,やすらか,,,
クリーン,くりーん,,,
心的,しんてき,,,
零細,れいさい,,,
周到,しゅうとう,,,
自由,じゆう,,,
積極的,せっきょくてき,,,
共通,きょうつう,,,
緊急,きんきゅう,,,
複雑,ふくざつ,,,
