Words,Reading,Meaning,Type,S1,S2,T1,T2,T3,S3,W1,W2,W3
寄る,よる,to visit,,,,,,,,,,
因る,よる,"to be based on, to come from, to be due to, be caused by, to depend on",,,,,,,,,,
遣る,やる,"to do, to have sexual intercourse, to kill, to give inferiors animals etc.), to dispatch",,,,,,,,,,
割る,わる,"to divide, to cut, to break, to halve ",,,,,,,,,,
覆う,おおう,"to cover, to hide, to conceal, to wrap, to disguise ",,,,,,,,,,
匂う,におう,"to be fragrant, to smell, to stink ",,,,,,,,,,
誓う,ちかう,"to swear, to vow, to take an oath, to pledge ",,,,,,,,,,
使う,つかう,to use,,,,,,,,,,
違う,ちがう,to differ,,,,,,,,,,
願う,ねがう,"to desire, to wish, to request ",,,,,,,,,,
救う,すくう,"to rescue from, to help out of ",,,,,,,,,,
掬う,すくう,"to scoop, to ladle out",,,,,,,,,,
襲う,おそう,to attack,,,,,,,,,,
誘う,さそう,"to invite, to ask, to tempt, to lure, to induce",,,,,,,,,,
歌う,うたう,to sing,,,,,,,,,,
慕う,したう,"to yearn for, to miss, to adore, to love dearly ",,,,,,,,,,
雇う,やとう,"to employ, to hire",,,,,,,,,,
叶う,かなう,to come true (wish),,,,,,,,,,
担う,になう,"to carry on shoulder, to bear (burden), to shoulder (gun) ",,,,,,,,,,
奪う,うばう,to snatch away,,,,,,,,,,
構う,かまう,"to mind, to care about, to be concerned about ",,,,,,,,,,
給う,たまう,"to receive, to grant",,,,,,,,,,
思う,おもう,"to think, to feel",,,,,,,,,,
通う,かよう,to commute,,,,,,,,,,
洗う,あらう,to wash,,,,,,,,,,
嫌う,きらう,"to hate, to dislike, to loathe ",,,,,,,,,,
拐う,さらう,"to carry off, to run away with, to kidnap, to abduct",,,,,,,,,,
習う,ならう,to learn,trans.,子供のころスキーを習った,週に二度ピアノを習っている,I learned to ski as a kid.,I take piano lessons twice a week.,What did you learn in school today?,今日は学校で何を習ったの?,学習。練習。復習,,
倣う,ならう,"to imitate, to follow, to emulate",,,,,,,,,,
狙う,ねらう,to aim at,,,,,,,,,,
払う,はらう,to pay,,,,,,,,,,
貰う,もらう,to receive,,,,,,,,,,
笑う,わらう,"to laugh, to smile",,,,,,,,,,
狂う,くるう,"to go mad, to get out of order ",,,,,,,,,,
揃う,そろう,"to become complete, to be equal, to be all present, to gather",,,,,,,,,,
拾う,ひろう,"o pick up, to gather",,,,,,,,,,
祝う,いわう,"to congratulate, to celebrate ",,,,,,,,,,
扇ぐ,あおぐ,"to fan, to flap",,,,,,,,,,
仰ぐ,あおぐ,"to look up (to), to respect, to depend on, to ask for, to eek, to revere, to drink, to take ",,,,,,,,,,
描く,えがく,"to draw, to paint, to sketch, to depict, to describe ",,,,,,,,,,
磨く,みがく,"to brush teeth, to polish",,,,,,,,,,
嘆く,なげく,"to sigh, to lament, to grieve ",,,,,,,,,,
動く,うごく,to move,,,,,,,,,,
塞ぐ,ふさぐ,"to stop up, to close up, to block (up)",,,,,,,,,,
築く,きずく,"to build, to pile up, to amass ",,,,,,,,,,
濯ぐ,すすぐ,"to rinse, to wash out",,,,,,,,,,
弾く,はじく,"to flip, to snap",,,,,,,,,,
稼ぐ,かせぐ,"to earn income, to labor ",,,,,,,,,,
防ぐ,ふせぐ,"to defend (against), to protect, to prevent",,,,,,,,,,
急ぐ,いそぐ,to hurry,,,,,,,,,,
注ぐ,そそぐ,"to pour (into), to irrigate, to pay, to fill, to feed (e.g. a fire) ",,,,,,,,,,
除く,のぞく,"to remove, to exclude, to except ",,,,,,,,,,
覗く,のぞく,"to peep in, to look in, to peek in, to stick out",,,,,,,,,,
叩く,たたく,"to strike, to clap, to dust, to beat ",,,,,,,,,,
砕く,くだく,"to break, to smash",,,,,,,,,,
跨ぐ,またぐ,to straddle,,,,,,,,,,
突く,つつく,"to thrust, to strike, to attack to poke, to nudge, to pick at",,,,,,,,,,
懐く,なつく,to become emotionally attached ,,,,,,,,,,
続く,つづく,to be continued,,,,,,,,,,
担ぐ,かつぐ,"to shoulder, to carry on shoulder ",,,,,,,,,,
届く,とどく,to reach,,,,,,,,,,
解く,ほどく,to unfasten,,,,,,,,,,
繋ぐ,つなぐ,"to tie, to fasten, to connect, to transfer (phone call) ",,,,,,,,,,
招く,まねく,to invite,,,,,,,,,,
凌ぐ,しのぐ,"to outdo, to surpass, to endure, to keep out (rain), to tide over, to pull through, to defy",,,,,,,,,,
裁く,さばく,to judge,,,,,,,,,,
響く,ひびく,to resound,,,,,,,,,,
省く,はぶく,"to omit, to eliminate, to curtail, to economize ",,,,,,,,,,
背く,そむく,"to run counter to, to go against, to disobey, to infringe ",,,,,,,,,,
泳ぐ,およぐ,to swim,,,,,,,,,,
乾く,かわく,to get dry,,,,,,,,,,
渇く,かわく,to be thirsty,,,,,,,,,,
騒ぐ,さわぐ,"to make noise, to be excited ",,,,,,,,,,
開く,ひらく,to open an event,,,,,,,,,,
歩く,あるく,to walk,,,,,,,,,,
返す,かえす,to return something,,,,,,,,,,
帰す,かえす,to send back,,,,,,,,,,
倒す,たおす,"to throw down, to beat, to bring down, to blow down ",,,,,,,,,,
通す,とおす,"to let pass, to overlook, to continue ",,,,,,,,,,
直す,なおす,"to fix, to repair",,,,,,,,,,
治す,なおす,"to cure, to heal, to fix, to correct, to repair ",,,,,,,,,,
犯す,おかす,"to commit, to perpetrate, to violate, to rape ",,,,,,,,,,
侵す,おかす,"to invade, to raid, to trespass, to violate, to intrude on ",,,,,,,,,,
任す,まかす,"to entrust, to leave to a person ",,,,,,,,,,
汚す,けがす,"to disgrace, to dishonour ",,,,,,,,,,
探す,さがす,to look for,,,,,,,,,,
捜す,さがす,"to search, to seek, to look for ",,,,,,,,,,
流す,ながす,"to drain, to float, to shed (blood, tears), to cruise (e.g. taxi)",,,,,,,,,,
逃す,のがす,"to let loose, to set free, to let escape ",,,,,,,,,,
隠す,かくす,"to hide, to conceal",,,,,,,,,,
訳す,やくす,to translate,,,,,,,,,,
略す,りゃくす,to abbreviate,,,,,,,,,,
起す,おこす,to wake,,,,,,,,,,
残す,のこす,"to leave (behind, over), to bequeath, to save, to reserve ",,,,,,,,,,
汚す,よごす,"to disgrace, to dishonour, to pollute, to contaminate, to soil, to make dirty",,,,,,,,,,
崩す,くずす,"to destroy, to pull down, to make change (money)",,,,,,,,,,
外す,はずす,"to unfasten, to remove",,,,,,,,,,
浸す,ひたす,"to soak, to dip, to drench",,,,,,,,,,
渡す,わたす,to hand over,,,,,,,,,,
乱す,みだす,"to throw out of order, to disarrange, to disturb",,,,,,,,,,
写す,うつす,to copy or photograph,,,,,,,,,,
移す,うつす,"to remove, to transfer, to infect",,,,,,,,,,
映す,うつす,"to project, to reflect, to cast (shadow)",,,,,,,,,,
落す,おとす,to drop,,,,,,,,,,
脅す,おどす,"to threaten, to menace",,,,,,,,,,
戻す,もどす,"to restore, to put back, to return",,,,,,,,,,
貶す,けなす,to speak ill of,,,,,,,,,,
話す,はなす,to speak,,,,,,,,,,
離す,はなす,"to part, divide, separate",,,,,,,,,,
放す,はなす,"to separate, to set free",,,,,,,,,,
潰す,つぶす,"to smash, to waste",,,,,,,,,,
零す,こぼす,to spill,,,,,,,,,,
騙す,だます,"to trick, to cheat, to deceive",,,,,,,,,,
示す,しめす,"to denote, to show, to point out, to indicate",,,,,,,,,,
試す,ためす,"to attempt, to test",,,,,,,,,,
記す,しるす,"to note, to write down",,,,,,,,,,
吊す,つるす,to hang,,,,,,,,,,
許す,ゆるす,"to permit, to allow, to approve, to forgive",,,,,,,,,,
下す,おろす,"to lower, to let go down",,,,,,,,,,
卸す,おろす,"to sell wholesale, grated (vegetables)",,,,,,,,,,
殺す,ころす,to kill,,,,,,,,,,
壊す,こわす,to break,,,,,,,,,,
回す,まわす,"to turn, to revolve",,,,,,,,,,
育つ,そだつ,"to raise (child), to be brought up, to grow (up)",,,,,,,,,,
保つ,たもつ,"to keep, to preserve, to hold, to retain, to maintain, to support, to sustain, to last, to endure",,,,,,,,,,
浮ぶ,うかぶ,"to float, to rise to surface, to come to mind",,,,,,,,,,
叫ぶ,さけぶ,"to shout, to cry",,,,,,,,,,
運ぶ,はこぶ,to transport,,,,,,,,,,
結ぶ,むすぶ,"to tie, to bind, to link",,,,,,,,,,
遊ぶ,あそぶ,"to play, to make a visit",,,,,,,,,,
学ぶ,まなぶ,"to study (in depth), to learn, to take lessons in",,,,,,,,,,
及ぶ,およぶ,"to reach, to come up to, to amount to, to befall, to happen to, to extend, to match, to equal",,,,,,,,,,
選ぶ,えらぶ,to choose,,,,,,,,,,
並ぶ,ならぶ,"to line up, to stand in a line",,,,,,,,,,
転ぶ,ころぶ,"to fall down, to fall over",,,,,,,,,,
掴む,つかむ,"to seize, to catch, to grasp",,,,,,,,,,
歪む,いがむ,"to warp, to swerve, to deflect, to be crooked, to be distorted, to be bent, to incline, to slant",,,,,,,,,,
拝む,おがむ,"to worship, to beg, to make a supplication",,,,,,,,,,
含む,ふくむ,"to hold in the mouth, to bear in mind",,,,,,,,,,
恵む,めぐむ,"to bless, to show mercy to",,,,,,,,,,
励む,はげむ,"to be zealous, to brace oneself, to endeavour, to strive, to make an effort ",,,,,,,,,,
囲む,かこむ,"to surround, to encircle",,,,,,,,,,
凹む,へこむ,"to be dented, to be indented, to yield to, to give, to sink, to collapse,, to cave in, to be snubbed",,,,,,,,,,
嵩む,かさむ,"to pile up, to increase",,,,,,,,,,
憎む,にくむ,"to hate, to detest",,,,,,,,,,
挟む,はさむ,"to interpose, to hold between, to insert",,,,,,,,,,
刻む,きざむ,"to mince, to carve, to engrave",,,,,,,,,,
惜しむ,おしむ,"to be frugal, to value, to regret",,,,,,,,,,
軋む,きしむ,"to jar, to creak, to grate",,,,,,,,,,
滲む,にじむ,"to run, to blur, to spread, to blot, to ooze",,,,,,,,,,
霞む,かすむ,"to grow hazy, to be misty",,,,,,,,,,
進む,すすむ,to make progress,,,,,,,,,,
盗む,ぬすむ,to steal,,,,,,,,,,
休む,やすむ,to rest,,,,,,,,,,
沈む,しずむ,"to sink, to feel depressed",,,,,,,,,,
涼む,すずむ,"to cool oneself, to cool off, to enjoy evening cool",,,,,,,,,,
弾む,はずむ,"to spring, to bound, to bounce, to be stimulated, to be encourage, to get lively, to treat oneself to",,,,,,,,,,
望む,のぞむ,"to desire, to wish for, to see, to command (a view of)",,,,,,,,,,
臨む,のぞむ,"to look out on, to face, to deal with, to attend (function)",,,,,,,,,,
痛む,いたむ,"to hurt, to feel a pain, to be injured",,,,,,,,,,
畳む,たたむ,to fold (clothes),,,,,,,,,,
妬む,ねたむ,"to be jealous, to be envious",,,,,,,,,,
縮む,ちぢむ,"to shrink, to be contracted",,,,,,,,,,
包む,つつむ,to wrap,,,,,,,,,,
挑む,いどむ,"to challenge, to contend for, to make love to",,,,,,,,,,
好む,このむ,"to like, to prefer",,,,,,,,,,
頼む,たのむ,to ask (a favour),,,,,,,,,,
阻む,はばむ,"to keep someone from doing, to stop, to prevent, to check, to hinder, to obstruct, to oppose, to thwart ",,,,,,,,,,
萎む,しぼむ,"to wither, to fade (away), to shrivel, to wilt",,,,,,,,,,
摘む,つまむ,"to pinch, to hold, to pick up",,,,,,,,,,
悩む,なやむ,"to be worried, to be troubled",,,,,,,,,,
歩む,あゆむ,"to walk, to go on foot",,,,,,,,,,
恨む,うらむ,"to curse, to feel bitter",,,,,,,,,,
絡む,からむ,"to entangle, to entwine",,,,,,,,,,
睨む,にらむ,"to glare at, to scowl at, to keep an eye on",,,,,,,,,,
弛む,たるむ,"to slacken, to loosen, to relax",,,,,,,,,,
緩む,ゆるむ,"to become loose, to slacken ",,,,,,,,,,
入る,はいる,"to enter, to contain",,,,,,,,,,
放る,ほうる,to let go,,,,,,,,,,
帰る,かえる,to go back,,,,,,,,,,
反る,かえる,"to warp, to be warped, to curve",,,,,,,,,,
返る,かえる,"to return, to come back, to go back",,,,,,,,,,
凍る,こおる,"to freeze, to be frozen over, to congeal",,,,,,,,,,
通る,とおる,to go through,,,,,,,,,,
直る,なおる,"to be fixed, to be repaired",,,,,,,,,,
治る,なおる,"to be cured, to heal",,,,,,,,,,
怒る,いかる,"to get angry, to be angry",,,,,,,,,,
罹る,かかる,to suffer from,,,,,,,,,,
盛る,さかる,"to prosper, to flourish, to copulate (animals)",,,,,,,,,,
叱る,しかる,to scold,,,,,,,,,,
計る,はかる,"to measure, to weigh, to survey",,,,,,,,,,
量る,はかる,"to measure, to weigh, to survey",,,,,,,,,,
測る,はかる,"to measure, to weigh, to survey",,,,,,,,,,
諮る,はかる,"to consult with, to confer",,,,,,,,,,
図る,はかる,"to plot, to attempt, to plan, to take in, to deceive, to devise, to design",,,,,,,,,,
光る,ひかる,"to shine, to glitter",,,,,,,,,,
上る,あがる,to rise,,,,,,,,,,
尖る,とがる,"to taper to a point, to become sharp, to be sour, to look displeased (vi)",,,,,,,,,,
限る,かぎる,"to restrict, to limit, to confine",,,,,,,,,,
契る,ちぎる,"to pledge, to promise, to swear ",,,,,,,,,,
握る,にぎる,"to grasp, to hold a (thing) in one’s hand, grip",,,,,,,,,,
送る,おくる,to send,,,,,,,,,,
贈る,おくる,"to send, to give to, to award to, to confer on",,,,,,,,,,
作る,つくる,to make,,,,,,,,,,
造る,つくる,"to make, to create, to manufacture, to draw up, to write, to compose, to build, to coin, to cultivate, to org ",,,,,,,,,,
潜る,くぐる,"to drive, to pass through, to evade, to hide, to dive (into or under water), to go underground",,,,,,,,,,
探る,さぐる,"to search, to look for, to sound out ",,,,,,,,,,
殴る,なぐる,"to strike, to hit",,,,,,,,,,
巡る,めぐる,to go around,,,,,,,,,,
潜る,もぐる,"to drive, to pass through, to evade, to hide, to dive (into or under water), to go underground",,,,,,,,,,
茂る,しげる,"to grow thick, to luxuriate, to be luxurious",,,,,,,,,,
怒る,おこる,"to get angry, to be angry ",,,,,,,,,,
残る,のこる,to remain,,,,,,,,,,
誇る,ほこる,"to boast of, to be proud of",,,,,,,,,,
傲る,おごる,to be proud,,,,,,,,,,
凝る,こごる,"to congeal, to freeze",,,,,,,,,,
濁る,にごる,"to become muddy, to get impure ",,,,,,,,,,
腐る,くさる,"to rot, to go bad",,,,,,,,,,
勝る,まさる,"to excel, to surpass, to outrival ",,,,,,,,,,
飾る,かざる,to decorate,,,,,,,,,,
走る,はしる,to run,,,,,,,,,,
毟る,むしる,"to pluck, to pick, to tear ",,,,,,,,,,
弄る,いじる,"to touch, to tamper with",,,,,,,,,,
噛る,かじる,"to chew, to bite (at), to gnaw, to nibble, to munch, to crunch",,,,,,,,,,
詰る,なじる,"to rebuke, to scold, to tell off",,,,,,,,,,
捩る,ねじる,to twist,,,,,,,,,,
擦る,かする,"to touch lightly, to take a percentage (from)",,,,,,,,,,
