W1,T1,W2,T2,W3,T3,W4,T4,W5,T5,W6,T6
剤,agent,得意,gain,上手い,good,ふたり,two,登場,appearance,芸術,art
伸ばす,extend,送る,send,経る,go through,見える,see,中央,central,セッション,session
検討,examination,融資,loan,とか,and,インテリア,interior,プロフィール,profile,いくつか,how many
合意,agreement,我慢,endurance,返事,reply,いける,how many,組合,union,保持,retention
本格,genuine,ところが,where,上回る,above,入,join,冒頭,beginning,目標,numeric
既存,existing,ほんとう,really,集める,gather,さまざま,various,タクシー,cab,視点,point of view
再現,rebirth,以前,before,共和,republic,かしら,head,展示,exhibition,出荷,shipping
県,prefecture,下手,fall,ちゃんと,chan,建てる,build,すばらしい,great.,美術,art
血液,blood,レス,les,農家,farmer,ね,ne,書く,write,社員,employee
動機,motive,玄関,entrance,研,research,不正,injustice,減らす,decrease,アプローチ,approach
卒業,graduation,ガイド,guide,脇,side,生き方,live,巻き込む,involve,下さる,go down
引っ張る,pull,きっと,surely,モバイル,mobile,ちゃん,chan,主人,master,こだわる,be particular about
並べる,line up,権,rights,引用,quote,とどまる,staying,殺害,murder,ケン,ken
故,old,撮る,take,策,plan,いう,say,向かう,facing,バラ,rose
見通し,outlook,明るい,bright,週間,weekly,たった,only,動画,video,と共に,with
ちる,chill,増す,increase,暖かい,warm,楽しむ,enjoy,外国,foreign,まったく,at all
ショック,shock,協議,agreement,昼,daytime,対,against,世,world,マル,maru
次々,next,構う,concept,所,place,楽天,rakuten,可能,possible,極端,extreme
宗教,religion,許す,allow,供給,supply,枠組み,framework,昨年,last year,られる,can
王,king,ホテル,hotel,言葉,language,決意,decision,分ける,divide,戦,war
あそこ,there,長崎,nagasaki,単に,simply,隠れる,hide,サッカー,soccer,野,field
調査,survey,腕,arm,平等,average,犬,dog,京都,kyoto,シン,sin
かかる,be affected,鬼,demon,上がる,go up,ヒント,tip,における,in,恥ずかしい,embarrassed
歩く,walk,プレ,pre,いっぱい,a lot,考慮,consideration,議事,agenda,地位,location
都市,city,論文,thesis,バック,back,城,castle,承認,approve,究極,ultimate
幻想,illusion,おまえ,you,速い,fast,覗く,look into,信じる,believe,質疑,question
のに,in,壁,wall,上手,good,統制,control,ちなみに,by the way,訂正,correction
サイン,sign,こいつ,this guy,習慣,custom,カード,card,分,share,柄,pattern
発見,discovery,いつか,when,こそ,insist,それぞれ,each,嫌う,hate,盤,board
留学,study abroad,適当,appropriate,弁当,benevolence,我々,we,チケット,ticket,別,different
印象,impression,ランチ,lunch,課題,issue,作戦,strategy,どの,which,ベスト,vest
燭,candle,正解,righteousness,送料,shipping,スペース,space,旨,purpose,記事,article
打つ,strike,炎,flame,選択,select,史,history,空く,empty,群,group
代,substitute,俺,me,流通,circulation,駅,station,マーク,mark,マップ,map
商標,trademark,健,healthy,しばらく,for a while,茶,tea,頃,time,ノート,note
提示,offer,会,meeting,例える,exemplify,借りる,borrow,ごとし,like this,朝食,breakfast
お金,money,介入,intervention,狭い,narrow,レッド,red,走行,running,走る,run
にわたって,by,どころ,where,取締役,director,等々,etc.,際,time,発信,send
燃える,burning,畑,field,手続,procedure,院,house,ヶ月,months,北,north
相当,considerable,至る,reach,マンガ,manga,大切,important,では,in,実情,actuality
結構,good,おもう,i think,やれる,i can do it.,持続,sustain,安,cheap,マイクロソフト,microsoft
薬,medicine,レビュー,review,ぼく,me,つなぐ,connect,警察,police,大丈夫,it's okay.
自殺,suicide,いれる,in,同,same,歌,song,金融,finance,招待,invite
掛かる,hang,他,others,話し合い,discussions,単語,word,おめでとう,congratulations,生じる,live
とともに,with,贈る,give,頼る,rely on,ポ,po,匿名,anonymous,場面,place
階段,stairs,まことに,seriously,アルバイト,part-time job,角,angle,確立,established,余計,extra
巨大,huge,顧客,customer,海岸,coast,違う,difference,各地,each,つかむ,grab
工学,engineering,是非,by all means,呼吸,breathing,解放,release,何だか,what is it?,提出,submit
去る,leave,犯人,criminal,扱う,treat,公共,public,産業,industry,伺う,ask
掲示板,bulletin board,暮らす,living,国,national,課税,taxation,順,order,日本語,japanese
異常,abnormality,説明,explain,グルメ,gourmet,彼女,she,運動,movement,余り,too much
追求,pursue,改正,revision,か,cards,金利,interest rate,声明,statement,履歴,history
表示,display,タバコ,a cigarette,アピール,appeal,主要,main,術,art,統合,integration
ダン,dan,総,general,殆ど,few,外れる,get out,みたい,see,図書,library
受講,attend,職場,workplace,曲,song,ぶり,first,記者,journalist,視線,gaze
歓迎,welcome,正面,righteousness,最近,most recent,景気,business,なる,i see.,西洋,western
眺める,look at,うつ,uchi,小,small,述べる,state,フィリピン,philippines,いざ,how many
先,ahead,平均,average,種,type,一番,the most,とき,when,ワールドカップ,world cup
伸びる,extend,鼻,nose,なんとか,somehow,首相,prime minister,スーツ,suit,放送,broadcast
スライド,slide,自国,own country,精神,spiritual,ほんとに,really,中村,nakamura,やら,"oh, no."
好み,like,由来,origin,思い出す,remember,連携,cooperation,ロス,ross,程度,degree
花,flower,なんか,what is it?,ラジオ,radio,本気,authentic,卵,egg,気がつく,notice
胸,chest,分野,field,ある,there,丁寧,polite,反映,reflection,家具,furniture
あんまり,not much.,了承,acknowledgement,パス,pass,寄せる,let me come by,運用,operation,ネタ,neta.
一度,once,入学,enter,懸念,concern,実は,actually,噂,rumor,議員,member of parliament
ライフ,life,汗,sweat,出資,investment,特徴,characteristics,たぶん,maybe,従事,following
書ける,write,協会,association,住まい,housing,よー,yo.,意外と,unexpectedly,加える,add
がち,type,提供,offer,重要,important,開始,start,体調,physical condition,他者,others
ミーティング,meeting,分類,classification,支持,support,留学生,international student,取得,acquisition,感心,admiration
集団,group,収入,income,輸出,export,行方,action,無事,nothing,出身,birth
面,troublesome,遺産,legacy,被告,defendants,科目,course,努力,effort,教える,teach
月,month,美容,beauty,しいる,city,尊敬,respect,需要,demand,キー,key
誤る,misunderstand,立ち上がる,stand up,田中,tanaka,サイズ,size,どんどん,more and more.,実態,actual condition
ながら,all the time,民,democratic,読める,read,小説,novel,娘,daughter,怒る,anger
金持ち,riches,バンド,band,かわいい,cute,申し訳,apology,試験,test,移す,transfer
見方,seeing,凄い,great,孤独,loneliness,パート,part,判明,finding,順位,order
注文,order,名,name,夫婦,husband and wife,叫ぶ,shout,床,floor,泉,spring
兆,omen,生成,generate,立派,standing,格好,rating,募集,recruitment,選択肢,choices
生かす,live,だい,dai,持ち込む,bring in,全然,all,巡る,go around,東大,tokyo univ.
しれる,know,級,grade,大変,big,スペイン,spain,一般,general,たっぷり,plenty
形成,formation,重視,important,がん,cancer,長野,nagano,雰囲気,atmosphere,辺,neighborhood
モード,mode,大陸,continent,さっき,quickly,徐々に,gradually,勝,win,麺,noodle
人数,number of people,マガジン,magazine,反省,reflection,署名,sign,各,each,勝ち,win
驚く,surprise,学校,school,決まる,decide,経費,cost,あの,the,規模,scale
諸,gentlemen,年代,year,進展,progress,座る,sit,出発,departure,項,item
逆,reverse,お茶,tea,情報,information,鳥,birds,創造,creation,講座,lecture
夏休み,summer vacation,削る,reduce,アパート,apartment,及ぶ,apply to,ところ,where,抜ける,get out
これから,from now on,プール,pool,実に,actually,公演,performance,警告,warning,闘争,struggle
若手,young,橋,bridge,忘れる,forget,電力,electric power,何とか,somehow,詐欺,fraud
日記,diary,嘘,lie,せい,sei,有,yes,ペース,pace,看板,signboard
ボランティア,volunteers,報道,report,ロック,rock,過剰,excess,セミナー,seminar,勿論,of course
仕組み,mechanism,だけど,but,早期,early,生涯,life,かた,type,やがて,eventually
入力,enter,争い,conflict,応える,respond,古代,ancient,想定,assumption,ブランド,brand
考え方,thinking,認める,recognized,なんとも,somehow,繰り返す,repeat,そこで,there.,ビール,beer
豚,pig,実務,practical,高,high,ゲスト,guest,欲望,desire,けど,but
ポイント,point,渡辺,watanabe,しゃべる,talk,雑感,miscellaneous,実,actual,裁判,judge
入る,enter,ページ,page,スーパー,super,ニューヨーク,new york,三つ,three,千,thousand
叩く,beat,問う,question,成長,growth,通う,go through,天国,heaven,一見,at a glance
車両,vehicle,いろんな,various,チェック,check,にくい,in,中国人,chinese,人口,population
可愛い,cute,アン,anne,損害,damage,き,year,われわれ,we,雪,snow
施行,enforcement,場,place,移る,move,コメント,comment,当,hit,抱く,hold
断る,refuse,自動的,automatic,少女,girl,方法,method,絡む,involve,材料,material
バン,bang,農民,farmers,支払う,pay,監視,monitoring,学問,study,ジャーナリスト,journalist.
まわり,around,カップ,cup,名誉,honor,トルコ,turkey,慣れる,getting used to,生物,life
パリ,paris,新鮮,fresh,戦後,post war,クラス,class,地方,region,両,both
追う,chase,有名,famous,屋,roof,とっても,by the way,知る,to know,文学,literature
発,send,要するに,in need of,背景,background,賞,award,おかげ,thanks,別に,separate
辰,dragon,付け,follow,本,this,ひとり,one person,優秀,excellent,問題,problem
層,layers,週刊,weekly,地域,region,達,reach,こっち,this way,平和,peace
件,matter,改良,improve,崩れる,collapse,栄養,nutrition,強調,emphasis,ところで,by the way
銃,gun,チャンス,chance,髪,hair,スター,star,削減,reduce,犯す,rape
協力,cooperation,まあ,well,何故,why,統計,statistics,条例,conventions,当てる,hit
強,strong,的,target,分かれる,divide,相場,market,リアル,real,神様,god
作曲,composition,支配,support,投稿,submit,アジア,asia,どうして,why,破る,destroy
しく,however,描写,depict,共産,communist,済む,finished,において,in,本書,this book
魚,fish,来年,next year,今日,today,国会,parliament,自衛隊,self-defense forces,におきまして,in
荷物,luggage,量,quantity,犠牲,sacrifice,失敗,failure,聖,holy,愛する,love
並ぶ,line up,食べる,eat,たび,every time,ホームページ,home page,有利,advantageous,音声,voice
ドライバー,driver,会談,conversation,依存,dependent,タグ,tags,政策,policy,ダイエット,diet
例外,exception,バイク,bike,揃う,assemble,無,no,すると,then,先月,last month
ドライブ,drive,幼稚園,kindergarten,徹底,thoroughness,定着,fixed,演説,speech,修,repair
高速,high speed,広がる,spread out,通訳,interpreter,文献,literature,池田,ikeda,コード,code
汚染,pollution,あく,give up,決断,decision,保守,maintenance,提携,partnership,日間,day
深刻,serious,地上,above ground,関西,kansai,法的,legal,総会,general meeting,借金,borrow
録,record,以内,within,やや,"oh, no.",初期,initial,捉える,capture,界,area
そちら,there.,登録,registration,いかなる,how,消費,consumption,恋愛,love,診断,diagnosis
訳,translation,レンズ,lens,まくる,turn,事柄,incident,セックス,sex,すぎ,too much
自ら,self,直接,direct,業務,business,理事,director,夜,night,税制,tax system
有効,effective,結ぶ,conclude,積極,positive,消える,disappear,猫,cat,勤める,work
売却,sale,会える,meet,もん,mon,マスコミ,media,スキル,skill,婦人,woman
膨大,huge,ブック,book,当然,naturally,感情,feeling,一時,one time,正当,legitimate
循環,circulation,不,no,崩壊,collapse,何と,what,本当,really,一気に,all at once
けれど,but,帰国,return home,イメージ,image,こと,things,よく,well,しょ,book
者,person,キャラクター,character,毎週,every week,苦労,hardship,すべて,all,法則,law
トラック,truck,謝罪,apology,画面,picture,そのうち,there.,付近,near,本日,today
この,this,臨時,occasional,お客様,customer,上げる,go up,カット,cut,ファ,fa
交換,exchange,対抗,opposition,電子,electron,虫,worm,気持ち,feeling,オレンジ,orange
涙,tears,浴びる,bathe,上海,shanghai,マネージャー,manager,若者,young,再建,rebuild
さて,now,タル,tal,方針,policy,幸い,happiness,配布,distribution,モン,mon
完成,complete,喜ぶ,rejoice,市,city,勝てる,win,佐藤,sato,ただ,i'm sorry.
修正,correction,光景,light view,素人,amateur,注ぐ,pour,刺激,stimulus,クリア,clear
拘束,detain,向こう,the other side,申込,application,半,half,入り,entrance,わかる,understand
こんにちは,hello,策定,formulation,振る,shake,つた,make,報,report,明確,clear
狙う,target,給与,salary,スポーツ,sports,きる,cut,きょう,today,高橋,takahashi
言及,mention,雑誌,magazine,維持,maintain,山田,yamada,みんな,everyone,電話,telephone
応じる,respond,中身,middle,劇場,theater,作品,work,次,next,ダンス,dance
マイク,mike,ポンド,pound,無料,free,育成,nurture,列車,train,正常,normal
皮,skin,魔法,magic,熱い,hot,スケジュール,schedule,発生,occurrence,ロボット,robot
期限,term,瞬間,moment,ほしい,wanted,上位,upper,聴く,listen,やすい,easy
判決,judgment,もともと,originally,行政,administration,愛情,affection,才,talent,受ける,receive
渡す,pass,パソコン,computer,印刷,printing,握る,hold,意義,significance,驚き,surprise
コーナー,corner,休暇,vacation,お昼,lunch,おすすめ,recommend,決勝,final,熱,heat
かえる,return,厳しい,severe,枚,sheet,ジャンル,genre,かける,depends on,傷,wound
表情,expression,これ,this,コンピュータ,computer,機会,opportunity,設備,facilities,電源,power supply
事項,matters,プラス,plus,筋,muscle,現象,current,やり方,how to do it,そんな,"oh, no."
プライバシー,privacy,施設,facilities,表記,notation,ガス,gas,朝日,asahi,組,pair
困難,difficulty,限る,limited,繊維,fiber,まして,and more.,皮膚,skin,以来,since
値,value,特殊,special,鈴木,suzuki,生きる,live,オーディオ,audio,出かける,go out
阪神,hanshin,移動,move,車,vehicle,まとめる,summarize,映画館,cinema,とる,take
堂,hall,マスター,master,役に立つ,helpful,研究所,research institute,勇気,courage,恵まれる,blessed
東京,tokyo,存在,existence,覆る,cover,カ月,months,社長,president,みる,see
植物,plants,馬,horse,キャリア,career,防ぐ,prevent,できる,i can do it,税,tax
活用,use,甘い,sweet,意味,meaning,あなた,you,略,abbreviation,サークル,circle
学ぶ,learn,模様,pattern,赤字,red,素直,straightforward,背中,back,音楽,music
継続,continuation,落ち着く,settle down,スタッフ,staff,この辺,around here,予定,schedule,村上,murakami
へん,edit,単独,single,見学,observe,恐怖,fear,乗せる,to ride,出版,publication
というのも,is also called,ひく,pull,苦しい,suffer,視聴,viewing,くん,kuhn,飲む,drink
雲,clouds,座,sit,マレーシア,malaysia,ライン,line,といった,and,和,harmony
頑張る,work hard,公務員,public officials,最大,largest,谷,gu,理想,ideal,得,gain
イタリア,italy,相,mutual,挑戦,challenge,加速,accelerate,気付く,notice,それほど,so much so
得点,score,クール,cool,ほぼ,almost,ゼロ,zero,コーチ,coach,各種,various
匹,china,自転車,bicycle,わ,japan,帝国,empire,川,river,報じる,report
間違う,wrong,全身,whole,バージョン,version,キリスト教,christianity,旅,travel,ふと,futo
英,english,特,special,数学,math,歌詞,lyrics,診療,medical treatment,今や,now
論,discussion,書き込む,write,後ろ,behind,審議,deliberation,天皇,emperor,性,character
買う,buy,位置,position,妻,wife,とおり,as you wish.,ワーク,work,賛成,for
試合,game,ありがとう,thank you,アルバム,album,指す,point to,ミ,mi,ステージ,stage
違反,violation,イスラエル,israel,記入,fill in,カフェ,cafe,出来る,can,従業,employee
値段,price,不満,dissatisfaction,欧州,europe,全体,all,歌う,sing,くださる,give
訪問,visit,所得,income,こちら,here,議長,chairperson,インストール,installation,大阪,osaka
厚生,welfare,パーティー,party,イエス,yes,評価,rating,事実,facts,した,under
左右,left and right,古典,classic,そう,yes,理論,theory,インフラ,infrastructure,講演,lecture
本来,original,全部,all,いわゆる,so to speak,法,law,ずつ,one at a time,笑顔,smile
せる,let,日本人,japanese,遊ぶ,play,とれる,can be taken,無い,no,指標,indicators
かも,frog,池,pond,伺い,ask,調べる,examine,官僚,bureaucracy,亡くなる,death
衝撃,impact,薄い,thin,いわば,so to speak,飾る,decorate,パネル,panel,ご飯,rice
いくつ,some,移植,transplant,まだまだ,more to come,民営,civil,なぜ,why,または,or
反論,rebuttal,臨床,clinical,世論,public opinion,象徴,symbols,特性,characteristics,語,word
レイ,ray,可,cute,障害,obstacle,プレー,play,美術館,art museum,不安,insecurity
間違い,mistake,教材,teaching materials,念,mind,デモ,demo,関心,concern,詩,poem
キャラ,character,集まる,gather,教育,education,今週,this week,武装,armed,トン,tong
さん,three,フランス語,french language,オン,on,天気,weather,七,seven,塗る,paint
全員,all,大体,big,こども,children,同士,same,パワー,power,好評,favor
愛,love,キング,king,パーセント,percent,保険,insurance,あと,after,早速,early
ほう,method,寿司,sushi,ヒット,hit,あれこれ,this and that,もっと,more,エル,el
天然,natural,妊娠,pregnancy,インフレ,inflation,火,fire,書籍,books,自体,voluntary
愛す,love,なお,still,杯,cup,男女,male/female,録音,recording,ラーメン,ramen
謎,mysteries,展開,expansion,きっかけ,start,メモリ,memory,書評,book reviews,投資,investment
同時,simultaneous,販売,sales,受賞,award,決算,settlement,容易,easy,終わる,end
要請,request,低,low,当該,relevant,感染,infection,抗議,protest,ストレス,stress
振興,promote,カナダ,canada,押す,push,議会,parliament,与党,ruling party,皿,dish
はい,yes,願う,wish,ま,really,なか,with,すぐ,soon,証,witness
行,action,玉,jade,敵,enemy,便,convenience,広場,spaces,部品,parts
主演,starring,コンサート,concert,方式,method,館,building,朝日新聞,asahi newspaper,避ける,avoid
システム,system,鬚,beard,きわめて,critically,自然,nature,営業,sales,基金,fund
爆発,explosion,ここ,here,仏,buddha,格差,disparity,向ける,turn towards,指数,index
上昇,rise,国境,border,低下,lower,素晴らしい,wonderful,あらかじめ,in advance,どんな,how
代わる,instead of,マーケティング,marketing,深夜,deep night,告げる,tell,負け,lose,仮に,temporarily
に対し,against,カテゴリー,category,吹く,blow,本屋,bookstore,参照,see also,始める,begin
うち,our,くせ,karma,午前,morning,投票,vote,率,rate,持つ,hold
事業,business,夕方,evening,契約,contract,湖,lake,航空,aviation,資格,qualifications
作り出す,create,店舗,store,時間,time,太陽,sun,事情,circumstances,ちょっとした,just a little
昼間,daytime,幹部,executive,破綻,rupture,単位,unit,ソフトウェア,software,通販,mail order
転載,reprinting,うい,unease,女優,actress,ようやく,finally,潜在,potential,神社,shrine
必死,must,起業,starting up,ネットワーク,network,求める,seeking,解説,explanation,ドラマ,drama
もったいない,it's a waste,党,party,悩み,distress,下,down,ドイツ,germany,メリット,benefits
経過,elapsed,チョコレート,chocolate.,墓,tomb,豊か,abundance,メートル,meter,もの,thing
踏まえる,catch,動かす,move,朝鮮,korea,救う,save,インタビュー,interview,パー,par
いただける,receive,得る,gain,支払い,payment,全,all,いくら,how much,細かい,fine
国家,nation,再開,reopen,保存,preservation,なり,be,樹,tree,かわる,change
育児,nurture,専門,specialty,何らかの,somehow.,で,in,感覚,sensation,切る,cut
何処,where,どちら,which,ホワイト,white,市民,citizen,分間,division,買い,buying
アウト,out,エピソード,episode,させる,let them,物価,price of goods,あたし,i,かぶる,cover
工事,construction,行動,action,数える,counting,好む,like,全国,national,九州,kyushu
描く,draw,災害,disaster,あり,there,券,ticket,丸,round,なかなか,not quite
分科,division,翻訳,translation,所有,ownership,入場,admission,獲得,acquisition,ガラス,glass
デ,data,出る,go out,講義,lecture,リーグ,league,難い,difficult,年末,end of year
監督,supervision,着,put on,祈る,pray,とこ,in,コンピューター,computer,偉い,great
預金,deposit,本社,headquarters,マーケット,market,さあ,come on,ボックス,box,従来,conventional
付き,association,向く,facing,失業,unemployment,来,coming,構築,construction,対処,dealing with
物理,physics,思想,thought,売上,sales,ごめん,sorry,コスト,cost,ハイ,high
世の中,world,報酬,reward,外交,diplomacy,磨く,polish,迷惑,bother,勢力,power
有する,yes,つもり,i feel,さえる,look up,前向き,previous,公表,public announcement,あまり,not much
メイン,main,桜,cherry blossom,気軽,light-hearted,不当,injustice,世紀,century,数字,numbers
お世話,thanks,適切,appropriate,金銭,money,台湾,taiwan,相変わらず,as always,教員,teachers
輝く,shine,ハウス,house.,帳,book,復興,recovery,革新,innovation,バイト,part-time job
週末,weekend,豆,bean,ニーズ,needs,随分,very,明らか,clear,女の子,girl
水,water,応用,apply,話題,topic,マイル,mile,奴,she,役員,executive
数,numbers,起きる,get up,男,male,会う,meet,為替,exchange,ソース,source
手術,surgery,原,original,流れる,flow,激しい,intense,にかけて,in,美味しい,delicious
無くなる,there will be none,瓦,tiles,なに,what,最高,best,感,feeling,コンテンツ,content
残念,too bad,増,increase,推進,promote,医者,doctor,キャンペーン,campaign,全般,general
もちろん,of course,屋根,roof,宿泊,lodging,福岡,fukuoka,じっくり,carefully,ショップ,store
縁,edge,沖縄,okinawa,友人,friend,大学,university,考察,consideration,リエ,leader
昼食,lunch,沿う,along,今年,this year,幹事,executive,土地,land,申す,say
イヤ,no,ペ,page,例えば,for example,カ国,country,活躍,active,反応,reaction
排除,get rid of,顔,face,いたる,get to,流行,flow,ライセンス,license,たくさん,many
感謝,gratitude,確認,confirmation,除く,exclude,共有,shared,推測,guess,主催,sponsor
充分,enough,疑う,doubt,ふさわしい,suitable,百,hundred,アドレス,address,縮小,reduction
進歩,progress,氷,ice,動く,move,水準,water level,連合,union,説,theory
リード,lead,ヤツ,he,暗号,cipher,いちばん,the most,知識,knowledge,自主,voluntary
決議,resolution,治る,cure,交付,delivery,風,wind,誇る,proud of,異議,objection
今後,next,リング,ring,関わる,involve,材,materials,コンサルタント,consultant,補助,supplement
世帯,household,トイレ,toilet,エネルギー,energy,によりまして,by,懐かしい,nostalgic,ちゃ,tea
保有,retention,交流,exchange,だれ,who,多く,many,お腹,tummy,神話,myth
発展,launch,じゃあ,then,応募,apply,典型,typical,板,itami,扱い,treat
