A.Words,A.Meaning,B.Words,B.Meaning,C.Words,C.Meaning,D.Words,D.Meaning,E.Words,E.Meaning,F.Words,F.Meaning,G.Words,G.Meaning,H.Words,H.Meaning,I.Words,I.Meaning,RN.Words,RN.Meaning
アパート,apartment,ベルト,belt,,,下痢,diarrhea,探る,"examine (feel around, search, probe, explore)",,,,,,,アイロンをかける,iron (verb),答え,answer
食前酒,aperitif,元気になる,better (to get),,,辞典,dictionary,発掘,"excavation, discovery (new talent)",,,,,,,アイロン台,ironing board,返事,answer
許し,apologies,快復する,"better (to get), recover from illness",,,ディーゼル,diesel,優れた,"excellent (great, outstanding)",,,,,,,島,island,アリ,ant
リンゴ,apple,重炭酸ソーダ,"bicarb, baking soda",,,ダイエット,diet,交換する,"exchange (interchange, switching)",,,,,,,かゆい,itch,抗生物質,antibiotics
リンゴジュース,apple juice,自転車,bicycle,,,困難,"difficulty (distress, trouble, hardship)",為替両替所,exchange office (currency exchange),,,,,,,,,不凍液,antifreeze
アップルパイ,apple pie,空気入れ,bicycle pump (air pump),,,,,為替レート,exchange rate,,,,,,,,,古代の,antique
アップルソース,apple sauce,自転車屋,bicycle repairman,,,,,交流する,"exchange (cultural), interaction (social), alternating current",,,,,,,,,古美術,antiques
アプリケーション,application,ビキニ,bikini,,,,,引き換え,exchange (conversion),,,,,,,,,骨董品,antiques
約束,appointment,勘定,bill,,,,,交わす,"exchange (messages, arguments, etc), intersect (cross)",,,,,,,,,アパート,apartment
アンズ,apricot,玉突きをする,billiards,,,,,取り替える,"exchange (barter, swap), replace (substitute)",,,,,,,,,食前酒,aperitif
四月,april,誕生日,birthday,,,,,換算する,"exchange (conversion (e.g. yen to dollars), change)",,,,,,,,,許し,apologies
建築,architecture,ビスケット,biscuit,,,,,応酬する,exchange (reciprocating),,,,,,,,,リンゴ,apple
環境,"area (environment, circumstance)",かむ,bite,,,,,切り替え,"exchange (conversion, replacement, switching)",,,,,,,,,リンゴジュース,apple juice
辺,"area (location, vicinity, side, edge, circumstance)",苦い,bitter,,,,,遊覧,excursion (sightseeing),,,,,,,,,アップルパイ,apple pie
市外局番,area code,黒い,black,,,,,展覧会,exhibition,,,,,,,,,アップルソース,apple sauce
腕,arm,味のない,bland (taste),,,,,出口,exit,,,,,,,,,アプリケーション,application
約束する,"arrange (set it up, reserve, appointment, setting)",毛布,blanket,,,,,費用,expenses (cost),,,,,,,,,約束,appointment
着く,arrive,,,,,,,経費,expenses (cost),,,,,,,,,アンズ,apricot
矢印,arrow,,,,,,,高い,expensive,,,,,,,,,四月,april
芸術,art,,,,,,,説明する,explain,,,,,,,,,建築,architecture
動脈,artery,,,,,,,急行電車,express train,,,,,,,,,環境,"area (environment, circumstance)"
物,"article (matter, thing)",,,,,,,内線番号,extension number,,,,,,,,,辺,"area (location, vicinity, side, edge, circumstance)"
人口呼吸,artificial respiration,,,,,,,外,external (exterior),,,,,,,,,市外局番,area code
灰皿,ashtray,,,,,,,目,eye,,,,,,,,,腕,arm
尋ねる,ask,,,,,,,目薬,eye drops,,,,,,,,,約束する,"arrange (set it up, reserve, appointment, setting)"
問う,ask,,,,,,,アイシャドー,eye shadow,,,,,,,,,着く,arrive
頼む,ask (for),,,,,,,眼科医,eye specialist (ophthalmologist),,,,,,,,,矢印,arrow
アスパラガス,asparagus,,,,,,,目医者,eye specialist (ophthalmologist),,,,,,,,,芸術,art
アスピリン,aspirin,,,,,,,アイライナー,eyeliner,,,,,,,,,動脈,artery
強姦,assault (sexual),,,,,,,,,,,,,,,,,物,"article (matter, thing)"
家に,at home,,,,,,,,,,,,,,,,,人口呼吸,artificial respiration
夜,at night,,,,,,,,,,,,,,,,,灰皿,ashtray
後に,at the back,,,,,,,,,,,,,,,,,尋ねる,ask
前に,at the front,,,,,,,,,,,,,,,,,問う,ask
遅くても,at the latest,,,,,,,,,,,,,,,,,頼む,ask (for)
キャッシュカード,atm card,,,,,,,,,,,,,,,,,アスパラガス,asparagus
八月,august,,,,,,,,,,,,,,,,,アスピリン,aspirin
自動的,automatic,,,,,,,,,,,,,,,,,強姦,assault (sexual)
秋,autumn,,,,,,,,,,,,,,,,,家に,at home
雪崩,avalanche,,,,,,,,,,,,,,,,,夜,at night
起きた,awake,,,,,,,,,,,,,,,,,後に,at the back
日よけ,"awning (sunshade, blind, canopy)",,,,,,,,,,,,,,,,,前に,at the front
,,,,,,,,,,,,,,,,,,遅くても,at the latest
,,,,,,,,,,,,,,,,,,キャッシュカード,atm card
,,,,,,,,,,,,,,,,,,八月,august
,,,,,,,,,,,,,,,,,,自動的,automatic
,,,,,,,,,,,,,,,,,,秋,autumn
,,,,,,,,,,,,,,,,,,雪崩,avalanche
,,,,,,,,,,,,,,,,,,起きた,awake
,,,,,,,,,,,,,,,,,,日よけ,"awning (sunshade, blind, canopy)"
,,,,,,,,,,,,,,,,,,赤ちゃん,baby
,,,,,,,,,,,,,,,,,,ベビーシッター,baby sitter
,,,,,,,,,,,,,,,,,,背中,back (body)
,,,,,,,,,,,,,,,,,,リュックサック,backpack
,,,,,,,,,,,,,,,,,,ベーコン,bacon
,,,,,,,,,,,,,,,,,,悪い,bad
,,,,,,,,,,,,,,,,,,ひどい,bad (terrible)
,,,,,,,,,,,,,,,,,,大変,"bad (terrible, tough)"
,,,,,,,,,,,,,,,,,,カバン,bag
,,,,,,,,,,,,,,,,,,手荷物受取所,baggage claim
,,,,,,,,,,,,,,,,,,手荷物引換券,baggage claim check
,,,,,,,,,,,,,,,,,,パン屋,baker
,,,,,,,,,,,,,,,,,,バルコニー,balcony
,,,,,,,,,,,,,,,,,,ボール,ball
,,,,,,,,,,,,,,,,,,球,ball
,,,,,,,,,,,,,,,,,,バレー,ballet
,,,,,,,,,,,,,,,,,,ボールペン,ballpoint pen
,,,,,,,,,,,,,,,,,,バナナ,banana
,,,,,,,,,,,,,,,,,,包帯,bandage
,,,,,,,,,,,,,,,,,,バンソウコウ,bandaids
,,,,,,,,,,,,,,,,,,銀行,bank
,,,,,,,,,,,,,,,,,,前髪,bangs
,,,,,,,,,,,,,,,,,,岸,bank (river)
,,,,,,,,,,,,,,,,,,バー,bar (cafe)
,,,,,,,,,,,,,,,,,,バーベキュー,barbecue
,,,,,,,,,,,,,,,,,,バスケットボール,basketball
,,,,,,,,,,,,,,,,,,風呂,bath
,,,,,,,,,,,,,,,,,,バスタオル,bath towel
,,,,,,,,,,,,,,,,,,海水帽,bathing suit
,,,,,,,,,,,,,,,,,,風呂場,bathroom
,,,,,,,,,,,,,,,,,,バスルーム,bathroom
,,,,,,,,,,,,,,,,,,バッテリー,battery
,,,,,,,,,,,,,,,,,,電池,battery
,,,,,,,,,,,,,,,,,,ビーチ,beach
,,,,,,,,,,,,,,,,,,浜,beach
,,,,,,,,,,,,,,,,,,豆,beans
,,,,,,,,,,,,,,,,,,華美な,"beautiful (gorgeous, magnificent, extravagant)"
,,,,,,,,,,,,,,,,,,すばらしい,"beautiful (splendid, magnificent, wonderful)"
,,,,,,,,,,,,,,,,,,美しい,"beautiful (pretty, lovely)"
,,,,,,,,,,,,,,,,,,きれいな,"beautiful (pretty, lovely, clean, neat)"
,,,,,,,,,,,,,,,,,,美容院,beauty parlor
,,,,,,,,,,,,,,,,,,ベッド,bed
,,,,,,,,,,,,,,,,,,寝台,"bed (bunk, couch, sleeping accommodation)"
,,,,,,,,,,,,,,,,,,ミツバチ,bee (honeybee)
,,,,,,,,,,,,,,,,,,牛肉,beef
,,,,,,,,,,,,,,,,,,ビール,beer
,,,,,,,,,,,,,,,,,,始まる,begin
,,,,,,,,,,,,,,,,,,初心者,beginner
,,,,,,,,,,,,,,,,,,後,behind
,,,,,,,,,,,,,,,,,,ベルト,belt
,,,,,,,,,,,,,,,,,,元気になる,better (to get)
,,,,,,,,,,,,,,,,,,快復する,"better (to get), recover from illness"
,,,,,,,,,,,,,,,,,,重炭酸ソーダ,"bicarb, baking soda"
,,,,,,,,,,,,,,,,,,自転車,bicycle
,,,,,,,,,,,,,,,,,,空気入れ,bicycle pump (air pump)
,,,,,,,,,,,,,,,,,,自転車屋,bicycle repairman
,,,,,,,,,,,,,,,,,,ビキニ,bikini
,,,,,,,,,,,,,,,,,,勘定,bill
,,,,,,,,,,,,,,,,,,玉突きをする,billiards
,,,,,,,,,,,,,,,,,,誕生日,birthday
,,,,,,,,,,,,,,,,,,ビスケット,biscuit
,,,,,,,,,,,,,,,,,,かむ,bite
,,,,,,,,,,,,,,,,,,苦い,bitter
,,,,,,,,,,,,,,,,,,黒い,black
,,,,,,,,,,,,,,,,,,味のない,bland (taste)
,,,,,,,,,,,,,,,,,,毛布,blanket
,,,,,,,,,,,,,,,,,,キャベツ,cabbage
,,,,,,,,,,,,,,,,,,船室,cabin
,,,,,,,,,,,,,,,,,,ケーキ,cake
,,,,,,,,,,,,,,,,,,ケーキ屋,cake shop
,,,,,,,,,,,,,,,,,,お菓子屋,cake shop
,,,,,,,,,,,,,,,,,,呼び出し,call
,,,,,,,,,,,,,,,,,,電話をする,call (phone)
,,,,,,,,,,,,,,,,,,と言う,called (name)
,,,,,,,,,,,,,,,,,,と言います,called (name)
,,,,,,,,,,,,,,,,,,カメラ,camera
,,,,,,,,,,,,,,,,,,手ぶれ補正機能,"camera shake correction (feature), image stabilization"
,,,,,,,,,,,,,,,,,,キャンプする,camp (camping)
,,,,,,,,,,,,,,,,,,キャンプ場売店,camping shop
,,,,,,,,,,,,,,,,,,キャンプ場,camp site
,,,,,,,,,,,,,,,,,,キャンピングカー,camper
,,,,,,,,,,,,,,,,,,キャンプファイヤー,campfire
,,,,,,,,,,,,,,,,,,キャンプ案内,camping guide
,,,,,,,,,,,,,,,,,,キャンプ場使用許可書,camping permit
,,,,,,,,,,,,,,,,,,取り消す,"cancel (withdraw, retract)"
,,,,,,,,,,,,,,,,,,ローソク,candle
,,,,,,,,,,,,,,,,,,お菓子,"candy (confections, sweets)"
,,,,,,,,,,,,,,,,,,おやつ,candy (snacks)
,,,,,,,,,,,,,,,,,,カヌー,canoe
,,,,,,,,,,,,,,,,,,車,car
,,,,,,,,,,,,,,,,,,自動車,car (automobile)
,,,,,,,,,,,,,,,,,,自動車用の甲板,car deck
,,,,,,,,,,,,,,,,,,車の証明書,car documents
,,,,,,,,,,,,,,,,,,ベビーシート,car seat (child’s)
,,,,,,,,,,,,,,,,,,車の故障,car trouble
,,,,,,,,,,,,,,,,,,キャラバン,caravan
,,,,,,,,,,,,,,,,,,乳製品,dairy products
,,,,,,,,,,,,,,,,,,損害,"damage (injury, loss)"
,,,,,,,,,,,,,,,,,,踊る,dance
,,,,,,,,,,,,,,,,,,ふけ,dandruff
,,,,,,,,,,,,,,,,,,危険,danger
,,,,,,,,,,,,,,,,,,危険な,dangerous
,,,,,,,,,,,,,,,,,,暗い,dark
,,,,,,,,,,,,,,,,,,デート,date
,,,,,,,,,,,,,,,,,,娘さん,daughter (other’s)
,,,,,,,,,,,,,,,,,,娘,daughter (own)
,,,,,,,,,,,,,,,,,,日,day
,,,,,,,,,,,,,,,,,,まる一日,day (the whole)
,,,,,,,,,,,,,,,,,,一昨日,day before yesterday
,,,,,,,,,,,,,,,,,,日帰り温泉,day-trip hot spring
,,,,,,,,,,,,,,,,,,亡くなった,dead
,,,,,,,,,,,,,,,,,,デッドゾーン,dead zone
,,,,,,,,,,,,,,,,,,カフェインなし,decaffeinated
,,,,,,,,,,,,,,,,,,カフェインフリー,decaffeinated
,,,,,,,,,,,,,,,,,,十二月,december
,,,,,,,,,,,,,,,,,,申告する,declare (customs)
,,,,,,,,,,,,,,,,,,深い,deep
,,,,,,,,,,,,,,,,,,スキンダイビング,deep sea diving
,,,,,,,,,,,,,,,,,,冷凍庫,deep freeze
,,,,,,,,,,,,,,,,,,度,degrees
,,,,,,,,,,,,,,,,,,停滞,"delay (stagnation, congestion, standstill)"
,,,,,,,,,,,,,,,,,,遅延,delay (latency)
,,,,,,,,,,,,,,,,,,おいしい,delicious
,,,,,,,,,,,,,,,,,,歯医者,dentist
,,,,,,,,,,,,,,,,,,入れ歯,dentures
,,,,,,,,,,,,,,,,,,デオドラント,deodorant
,,,,,,,,,,,,,,,,,,部,department
,,,,,,,,,,,,,,,,,,デパート,department store
,,,,,,,,,,,,,,,,,,出発,departure
,,,,,,,,,,,,,,,,,,出発時間,departure time
,,,,,,,,,,,,,,,,,,手付け金,deposit (earnest payment)
,,,,,,,,,,,,,,,,,,頭金,deposit (downpayment)
,,,,,,,,,,,,,,,,,,保管,deposit (for safekeeping)
,,,,,,,,,,,,,,,,,,預金,deposit (bank account)
,,,,,,,,,,,,,,,,,,預金保険,deposit insurance
,,,,,,,,,,,,,,,,,,預金利率,deposit interest rate
,,,,,,,,,,,,,,,,,,デザート,dessert
,,,,,,,,,,,,,,,,,,行き先,destination
,,,,,,,,,,,,,,,,,,終点,"destination (terminal, last stop)"
,,,,,,,,,,,,,,,,,,現像する,develop (photo)
,,,,,,,,,,,,,,,,,,開発者,developer
,,,,,,,,,,,,,,,,,,糖尿病患者,diabetic
,,,,,,,,,,,,,,,,,,ダイヤル,dial
,,,,,,,,,,,,,,,,,,ダイヤモンド,diamond
,,,,,,,,,,,,,,,,,,おしめ,diaper
,,,,,,,,,,,,,,,,,,下痢,diarrhea
,,,,,,,,,,,,,,,,,,辞典,dictionary
,,,,,,,,,,,,,,,,,,ディーゼル,diesel
,,,,,,,,,,,,,,,,,,ダイエット,diet
,,,,,,,,,,,,,,,,,,困難,"difficulty (distress, trouble, hardship)"
,,,,,,,,,,,,,,,,,,耳,ear
,,,,,,,,,,,,,,,,,,耳鼻咽喉科,"ear, nose and throat specialist"
,,,,,,,,,,,,,,,,,,耳痛,earache
,,,,,,,,,,,,,,,,,,イヤホン,earbud
,,,,,,,,,,,,,,,,,,耳薬,eardrops
,,,,,,,,,,,,,,,,,,早い,early
,,,,,,,,,,,,,,,,,,イヤリング,earrings
,,,,,,,,,,,,,,,,,,土地,earth (plot of land)
,,,,,,,,,,,,,,,,,,陶器,"earthenware (porcelain, pottery, ceramics)"
,,,,,,,,,,,,,,,,,,瀬戸物,"earthenware (porcelain, pottery)"
,,,,,,,,,,,,,,,,,,土器,earthenware (unglazed)
,,,,,,,,,,,,,,,,,,東,east
,,,,,,,,,,,,,,,,,,簡単な,easy (simple)
,,,,,,,,,,,,,,,,,,容易な,"easy (simple, plain)"
,,,,,,,,,,,,,,,,,,易しい,"easy (simple, plain)"
,,,,,,,,,,,,,,,,,,便利な,easy (to use)
,,,,,,,,,,,,,,,,,,食べる,eat
,,,,,,,,,,,,,,,,,,電子書籍,e-book
,,,,,,,,,,,,,,,,,,湿疹,eczema (rash)
,,,,,,,,,,,,,,,,,,ウナギ,eel
,,,,,,,,,,,,,,,,,,卵,egg
,,,,,,,,,,,,,,,,,,ナス,eggplant
,,,,,,,,,,,,,,,,,,電気,electricity
,,,,,,,,,,,,,,,,,,電動自転車,electric bicycle
,,,,,,,,,,,,,,,,,,電気自動車,electric car
,,,,,,,,,,,,,,,,,,電気屋,electronics shop
,,,,,,,,,,,,,,,,,,エレベーター,elevator
,,,,,,,,,,,,,,,,,,大使館,embassy
,,,,,,,,,,,,,,,,,,緊急ブレーキ,emergency brake
,,,,,,,,,,,,,,,,,,非常口,emergency exit
,,,,,,,,,,,,,,,,,,非常電話,emergency phone
,,,,,,,,,,,,,,,,,,つめやすり,emery board (nail file)
,,,,,,,,,,,,,,,,,,天皇,emperor
,,,,,,,,,,,,,,,,,,からの,empty
,,,,,,,,,,,,,,,,,,話し中,engaged (on the phone)
,,,,,,,,,,,,,,,,,,婚約した,engaged (to be married)
,,,,,,,,,,,,,,,,,,イギリス,england
,,,,,,,,,,,,,,,,,,英語,english (language)
,,,,,,,,,,,,,,,,,,楽しむ,enjoy
,,,,,,,,,,,,,,,,,,封筒,envelope
,,,,,,,,,,,,,,,,,,電子書籍リーダー,e-reader
,,,,,,,,,,,,,,,,,,コンパニオン,escort
,,,,,,,,,,,,,,,,,,夕方,evening
,,,,,,,,,,,,,,,,,,ディナースーツ,evening wear (men)
,,,,,,,,,,,,,,,,,,イブニングドレス,evening wear (women)
,,,,,,,,,,,,,,,,,,事件,"event (affair, incident, case, plot)"
,,,,,,,,,,,,,,,,,,できごと,"event (happening, affair, incident) "
,,,,,,,,,,,,,,,,,,全部,everything
,,,,,,,,,,,,,,,,,,どこにも,everywhere
,,,,,,,,,,,,,,,,,,探る,"examine (feel around, search, probe, explore)"
,,,,,,,,,,,,,,,,,,発掘,"excavation, discovery (new talent)"
,,,,,,,,,,,,,,,,,,優れた,"excellent (great, outstanding)"
,,,,,,,,,,,,,,,,,,交換する,"exchange (interchange, switching)"
,,,,,,,,,,,,,,,,,,為替両替所,exchange office (currency exchange)
,,,,,,,,,,,,,,,,,,為替レート,exchange rate
,,,,,,,,,,,,,,,,,,交流する,"exchange (cultural), interaction (social), alternating current"
,,,,,,,,,,,,,,,,,,引き換え,exchange (conversion)
,,,,,,,,,,,,,,,,,,交わす,"exchange (messages, arguments, etc), intersect (cross)"
,,,,,,,,,,,,,,,,,,取り替える,"exchange (barter, swap), replace (substitute)"
,,,,,,,,,,,,,,,,,,換算する,"exchange (conversion (e.g. yen to dollars), change)"
,,,,,,,,,,,,,,,,,,応酬する,exchange (reciprocating)
,,,,,,,,,,,,,,,,,,切り替え,"exchange (conversion, replacement, switching)"
,,,,,,,,,,,,,,,,,,遊覧,excursion (sightseeing)
,,,,,,,,,,,,,,,,,,展覧会,exhibition
,,,,,,,,,,,,,,,,,,出口,exit
,,,,,,,,,,,,,,,,,,費用,expenses (cost)
,,,,,,,,,,,,,,,,,,経費,expenses (cost)
,,,,,,,,,,,,,,,,,,高い,expensive
,,,,,,,,,,,,,,,,,,説明する,explain
,,,,,,,,,,,,,,,,,,急行電車,express train
,,,,,,,,,,,,,,,,,,内線番号,extension number
,,,,,,,,,,,,,,,,,,外,external (exterior)
,,,,,,,,,,,,,,,,,,目,eye
,,,,,,,,,,,,,,,,,,目薬,eye drops
,,,,,,,,,,,,,,,,,,アイシャドー,eye shadow
,,,,,,,,,,,,,,,,,,眼科医,eye specialist (ophthalmologist)
,,,,,,,,,,,,,,,,,,目医者,eye specialist (ophthalmologist)
,,,,,,,,,,,,,,,,,,アイライナー,eyeliner
,,,,,,,,,,,,,,,,,,顔,face
,,,,,,,,,,,,,,,,,,顔認識カメラ,face-recognition camera
,,,,,,,,,,,,,,,,,,工場,factory
,,,,,,,,,,,,,,,,,,転ぶ,"fall over (fall down), turn out (play out)"
,,,,,,,,,,,,,,,,,,家族,family
,,,,,,,,,,,,,,,,,,有名な,famous
,,,,,,,,,,,,,,,,,,画廊,"gallery (art, picture)"
,,,,,,,,,,,,,,,,,,ゲーム,game
,,,,,,,,,,,,,,,,,,修理屋,"garage (car repair), repair workshop"
,,,,,,,,,,,,,,,,,,ごみ袋,garbage bag
,,,,,,,,,,,,,,,,,,庭,garden
,,,,,,,,,,,,,,,,,,ガソリン,gas
,,,,,,,,,,,,,,,,,,ガソリンスタンド,gas station
,,,,,,,,,,,,,,,,,,ギア,gear
,,,,,,,,,,,,,,,,,,オタク,geek
,,,,,,,,,,,,,,,,,,ハッカー,hacker
,,,,,,,,,,,,,,,,,,髪,hair
,,,,,,,,,,,,,,,,,,ヘアブラシ,hairbrush
,,,,,,,,,,,,,,,,,,床屋,hairdresser
,,,,,,,,,,,,,,,,,,美容院,hairdresser
