Words,Meaning
メカジキ,swordfish
鰯,sardine
鮭 ,salmon
鯛,sea bream
鮪,tuna
スズキ,sea bass
バターを溶かす,melt the butter
卵を泡立てる,wisk the eggs
よく混ぜる,mix well
軽く混ぜる,mix lightly
ざっくり混ぜる,mix roughly
ゆっくり混ぜる,mix slowly
手で混ぜる,mix by hands
野菜を洗う,wash the veggies
タマネギをむ,peen an onion
材料を刻む,chop the ingredients
大きめに切る,cut in large pieces
揉む,"to rub, crumple, massage"
練る,"to knead, to thicken into a paste"
様子,"situation, state, sign, indication"
事態,"situation, (present) state of affairs"
状態,"situation, condition, appearance"
状況,state of affairs (around)
調子,"tune, tone, manner, state of health"
具合,"condition, state, health (state)"
用語,"terminology, wording"
全国,"nationwide, countrywide"
新た,"new, fresh, novel"
発生,"outbreak, occurrence"
運動する,exercise
体操する,physical exercises
首,neck
背中,back of the body
腰,lower back
尻,buttocks
胸,chest
腕,arm
ひじ,elbow
ひざ,knee
つま先,toes
かかと,heel
曲げる,bend
回す,"to turn, rotate"
伸ばす,to stretch
体がだるい,feel sluggish
寒気がする,have a chill
疲労,"fatigue, weariness"
目が霞む,my eye’s gets blurry
貧血になる,have an anemia
虫に刺される,get a bite
行動的,active
積極的,aggressive
意欲的,ambitious
勇敢,brave
慎重,careful
独創的,creative
勤勉,diligent
のんき,easygoing
感情的,emotional
熱心,enthusiastic
外向的,extroverted
フレンドリー,friendly
勤勉,hard-working
誠実,honest
優柔不断,indecisive
利口,intelligent
内向的,introverted
頼もしい,reliable
申し分がない,"no shortcomings, perfect"
快い,"pleasant, agreeable"
清々しい,refreshing
爽快な,"refreshing, invigorating"
待ち遠しい,anxiously awaited
自然,nature
山,mountain
川,river
海,sea
波,wave
海岸,coast
空,sky
雲,cloud
太陽,sun
月,moon
高速道路,highway
信号,traffic light
出口ランプ,exit ramp
時間,time
時,hour
分,minute
秒,second
半,half
午前,morning
午前中,in the morning
正午,noon
午後,afternoon
今日,today
明日,tomorrow
明後日,the day after tomorrow
昨日,yesterday
一昨日,the day before yesterday
今週,this week
初め,"beginning, at first"
今年の初め,beginning of this year
後,later
際,"when, whenever"
同時,"simultaneous, same time"
たった今,just now
早め,early
現在,"present, now"
過去,past
未来,the future (usually distant)
将来,"future (usually near), prospects"
父,father
祖父,grandfather
叔母,aunt
子,child
子供,children
嫁,"wife, bride"
一族,"family, relatives"
舌,tongue
歯,teeth
顎,chin
唇,lips
指,fingers
足指,toes
まつ毛,eyelash
まぶた,eyelid
歯茎,gums
鼻腔,nostrils
腎臓,kidneys
ブラウス,blouse
靴下,socks
セーター,sweater
電気にスイッチ,light switch
コンセント,electric socket
家,"home, house"
アパート,apartment
屋根,roof
屋根裏,"attic, loof"
地下,"basement, cellar"
車庫,garage
玄関,entrance
台所,kitchen
電子レンジ,microwave oven
レンジフード,cooker hood
戸棚,cabinet
冷蔵庫,refrigerator
オーブン,oven
やかん,kettle
トースター,toaster
ストーブ,stove
勉強部屋,study room
電気スタンド,table lamp
引き出し,drawer
本棚,book shelf
溜まる,"piles up, gathers"
乾かす,"to dry, to desiccate"
物置,storage room
通勤,commute to work
部屋が片付く,room is tidied up
食器を洗う,wash the dishes
出かける,to go out
シャワー,shower
起床する,to get up
浴びる,to take shower
昼寝する,to take a nap
洗い物,washing the dishes
くず,"junk, trash"
石けん,soap
掃除機,vacuum cleaner
着替える,to change clothes
余暇,leisure time
魚,fish
卵,egg
ハム,ham
ソーセージ,sausage
チーズ,cheese
とうふ,tofu
ご飯,cooked rice
ライス,rice
みそ汁,miso soup
うどん,"udon, wheat noodles"
そば,"soba, buckwheat noodles"
ラーメン,ramen
コーヒー,coffee
紅茶,black tea
オレンジジュース,orange juice
ビール,beer
ワイン,wine
レモンサワー,lemon sour
日本酒,rice wine
ウーロン茶,oolong tea
ウイスキー,whiskey
米,uncooked rice
小麦,wheat
豆,beans
作物,"crop, produce, farm products"
大蒜,garlic
調味料,condiments
醤油,soy sauce
酢,vinegar
胡椒,pepper
黒胡椒,black pepper
赤唐辛子,red pepper
砂糖,sugar
小麦,wheat
料理酒,cooking sake
ジンジャー,ginger
ウサギ肉,rabbit meat
タン,tongue
内蔵,offal
保存処理,cured
薫製,smoked
有機性,organic
低脂肪肉,lean meat
調理済み肉,cooked meat
帆立貝,scallop
蟹,crab
伊勢エビ,crayfish
ロブスター,lobster
車エビ,jumbo shrimp
ムール貝,mussel
マテ貝,razorshell clam
浅蜊,clam
烏賊,squid
お湯を沸かす,boil water
お湯が沸く,boiling water
お湯を冷ます,cool the water
お湯が冷める,the water gets cold
ご飯を炊く,cook rice
油を熱っする,heat the oil
油で揚げる,deep-fry in oil
白だし,seasoning (white soup stock)
叩き,finely chopped
水を切る,drain the water
水を入れて,add water
鱗を取った,descaled
骨を取った,deboned
上げる,to raise
下げる,to lower
よく眠る,sleep well
ゆっくり休む,rest well
昼寝する,"to take a nap, siesta"
食事する,to have a meal
おやつ,snack
バランス,balance
栄養,nutrition
転ぶ,"fall down, fall over"
めまいがする,feel dizzy
頭痛がする,have a headache
胃がいたい,have a stomachache
腰が痛い,have a back pain
息が苦しい,feel suffocated
苦しむ,be in pain
鼻がつまる,be stuffed up
鼻をかむ,blow one’s nose
吐き気がする,feel sick
吐く,vomit
気持ち胃が悪い,feel sick
目がかゆい,have an itchy eye
目をこする,rub one’s eye
目をかく,rub one’s eye
きりきりする,have a sharp pain
意識が遠ざかる,slowly loose consciousness
せきが出る,coughing
意識不明になる,become unconscious
足首を捻挫する,twist one’s ankle
小指が腫れる,my little finger swells
足がむかむ,legs bloat
恥ずかしい,shy
たわいない,silly
賢い,smart
強い,strong
センスがいい,artistic
落ち着いた,calm
カリスマ性,charisma
活気のある,energetic
心大きい,generous
血あり涙あり,sympathetic
思いやりのある,thoughtful
物分かりのいい,understanding
気分屋,moody
ロマンチック,romantic
尻が重い,lazy
愛想がいい,"cheerful, amiable"
センスがいい,have a good sense
誠実な,"sincere, honest"
空しい,"empty, void, vain"
切ない,painful
物足りない,"unsatisfied, unsatisfactory"
わずらわしい,"troublesome, annoying"
うっとうしい,"gloomy, depressing"
星,star
宇宙,universe
湖,lake
池,pond
島,island
森,forest
林,woods
石,stone
砂,sand
丘,hill
料金所,toll booth
中央分離帯,median
追い越し車線,outside lane
来週,next week
再来週,the week after next
先週,last week
今月,this month
来月,next month
再来月,the month after next
先月,last month
今年,this year
来年,next year
再来年,the year after next
去年,last year
昨年,last year
一昨年,the year before last
朝,morning
昼,"day, midday"
永遠,"forever, ever, eternity"
現代,"present age, modern times"
今日,"today, this age"
時代,"era, period"
年代,"age, era, period, decade"
世紀,century
経つ,to elapse
ぶり,after (period of time) again
日にち,date
日付,date
日時,date and time
母,mother
祖母,grandmother
従兄弟,cousin (male)​
兄弟,siblings
甥,nephew
家内,(my) wife
両親,parents
額,forehead
頬骨,cheekbones
瞳,pupil
喉,throat
後頭部,back of the head
口ひげ,mustache
あごひげ,beard
ひげ,mustache、beard
髪の毛,hairstyle
髪型,haircut
腸,intestines
スカート,skirt
メガネ,glasses
コート,coat
机,desk
浴室,bathroom
お手洗い,"toilet, lavatory"
蛇口,water tap
洗面台,"sink, washroom"
シャワー,shower
お風呂,bathtub
浴槽,bathtub
便器,toilet
エレベーター,elevator
ドア,door
鉢植え,plotted plant
入浴する,to bathe
掃除する,to clean
ガスレンジ,gas range
流し,sink
ヒーター,heater
窓ガラス,window glass
雨戸,shutter
網戸,screen
家電,house appliance
家具,furnitures
湿っている,not dry
干す,"to dry, to air, to put out to dry"
壁紙,wallpaper
運送会社,transport company
掃く,to sweep
下宿する,boarding
料理,cooking
ごみ,trash
寝坊する,to oversleep
夕刊,evening paper
通う,to attend
片付く,to tidy up
香水,perfume
ポット,pot
田舎暮らし,country living
炊事する,cooking
鍵,lock
牛丼,beef bowl rice
親子丼,chicken and egg bowl rice
かつ丼,pork cutlet bowl rice
ざるそば,wheat noodles
月見そば,noodles with egg on top
きつねうどん,noodles with deep fried tofu
天ぷら,deep fried fish and vegetables
寿司,sushi
刺身,slices of raw fish
とんかつ,pork cutlets
焼肉,roasted meat
焼き鳥,grilled chicken
焼き魚,grilled fish
餃子,gyoza
たこ焼き,octopus dumplings
カレーライス,curry rice
おにぎり,rice balls
パン,bread
サラダ,salad
スープ,soup
食料,"food, provisions"
食料品,"foodstuff, groceries"
食品,food products
健康食品,health products
インスタント食品,instant products
塩,salt
ソース,sauce
ケチャップ,ketchup
辛子,mustard
マヨネーズ,mayonnaise
サラダ油,salad oil
バター,butter
溶かしバター,melted butter
無塩バター,unsalted butter
有塩バター,salted butter
マーガリン,margarine
白身肉,white meat
赤身肉,red meat
ハム,ham
薄切り,slice
薄切り,rasher
サーロイン,sirloin
あばら肉,rib
挽肉,ground meat
牡蠣,oyster
モンゴウイカ,cuttlefish
蛸,octopus
ザル貝,cockle
刺身,sashimi
寿司,sushi
切り身,fillet
厚切り,loin
鱗,scale
煮る,"to simmer, to stew"
ゆでる,boil
炒める,stir fry
蒸す,steam
煎る,to roast
漬ける,"to dip, soak"
混ぜる,mix
移す,to transfer
焦げる,to be burn
焦がす,"to burn, to scorch"
ひっくり返す,turn over
皮を剥いた,skinned
腸を取った,cleaned
下痢する,have a diarrhea
すぎすぎする,have a throbbing pain
吐き気がする,feel nausea
鼻水が出る,have a runny nose
腫れる,swell
ひりひりする,stinging pain
震える,to tremble
骨を折る,break a bone
めまいがする,fell dizzy
新型,new strain
重症,serious illness
医療,medical care
けがする,be injured
血が出る,blood comes out
骨を折る,broken bone
やけどする,get burned
マスクをする,wear a mask
目薬,eyedrops
氷で冷やす,cool by ice
元気がある,"healthy, lively"
元気がない,"unhealthy, unlively"
せきが出る,coughing
くしゃみが出る,sneeze
熱がある,fever
寒気がする,"chill, shiver"
歯を矯正する,have braces
湿疹ができる,have eczema
皮膚をかく,scratch one’s skin
体が弱る,become weak
痛みが強まる,pain increases
嫌味を和らげる,eases the pain
まともな,"proper, upright"
大柄な,big-built
小柄な,"small-built, petit"
活発な,active
有望な,promising
純粋な,"innocent, pure"
無邪気な,"simpleminded, innocent"
創造的な,creative
温和な,"mild, gentle"
気さくな,"friendly, sociable"
おおらかな,"broad-minded, composed"
素朴な,"simple, artless"
デリケートな,delicate
気まぐれな,"fickle, whim"
近寄りがたい,hard to approach
無口な,"quite, untalkative"
陰気な,gloomy
イケ面,good looking
痛ましい,"pitiful, sad, heartbreaking"
きまりが悪い,"embarrassed, shameful"
あさましい,"mean, despicable"
おっかない,"frightening, scary"
怖い,scary
地球,earth
南極,south pole
北極,north pole
熱帯,tropics
熱帯雨林,topical rain forest
火山,volcano
土,soil
砂漠,desert
岸,"shore, bank"
谷,valley
路面標識,road markings
ガード下通路,underpass
中央車線,middle lane
晩,evening
夜,night
夕方,evening
今朝,this morning
今晩,this evening
今夜,tonight
春,spring
夏,summer
秋,fall
冬,winter
季節,season
毎,every
毎朝,every morning
毎週,every week
毎月,every month
次回,next time
機会,opportunity
チャンス,chance
きっかけ,"chance, start, cue, motive"
祝日,"national holiday, public holiday"
祭日,"national holiday, festival day"
休日,"holiday, day off, vacation"
西暦,Christian era
元旦,New Year's Day
平日,weekday
日中,in the daytime
兄,older brother
お祖父さん,grandfather
従姉妹,cousin (female)
親,parents
姪,niece
配偶者,spouse
肉親,immediate family
三つ編み,braid hair
白髪,white hair
禿頭,bald head
前髪,bangs
肩,shoulder
手,hand
腕,arm
肘,elbow
膝,knee
足,foot
肝臓,liver
ズボン,trousers
ネクタイ,necktie
上着,jacket
座布団,floor cushion
炊飯器,rice cooker
包丁,knife
庭,"garden, yard"
家庭,"home, household"
冷房,"cooling, air-conditioning"
暖房,indoor heating
洗濯機,washing machine
掃除機,vacuum cleaner
布団,"futon, japanese bedding"
ドライヤー,dryer
乾燥機,drying machine
蛇口を捻る,turn on a tap
水が凍る,water freezes
冷凍して,"freeze, refrigerate"
保存する,"preserve, store"
温める,"to warm, to heat"
ビールを冷やす,chill the beer
氷になる,turn into ice
冷える,"cold, chilled"
凍結する,freezing
暖房をつける,turn the heater on
濡れている,wet
汚す,to make dirty
光熱費,utilities fee
家主,"house owner, landlord"
働く,to work
帰宅する,going home
電気,lights
分別する,sorting
留守番電話,answering machine
電気を消す,to turn off the lights
休息する,to rest
留守,being away
就寝する,to go to bed
目覚まし時計,alarm clock
帰る,to go home
留守番する,staying at home
ひげを剃る,to shave one’s face
カレー,curry
牛丼,rice bowl topped with beef
寿司,sushi
おにぎり,rice ball
さしみ,"sashimi, raw fish"
天ぷら,tempura
すきやき,sukiyaki
スパゲティ,spaghetti
ピザ,pizza
サンドイッチ,sandwich
ハンバーグ,hamburger
ハンバーガー,hamburger
ステーキ,steak
ポテト,potato
お菓子,"snacks, sweets"
甘いもの,sweet foods
アイスクリーム,ice cream
ケーキ,cake
チーズケーキ,cheesecake
チョコレート,chocolate
缶詰,canned foods
缶切り,can opener
クリム,cream
脂,fat
こしょう,pepper
のり,seaweed
味噌,miso
材料,ingredients
粉,flour
薄力粉,rice flour
強力粉,bread flour
中力粉,all purpose flour
コンスターチ,constarch
片栗粉,potato starch
醤油,soy sauce
ごま油,sesame oil
脂身,fat
チョップ,chop
かたまり肉,joint
ヒレ肉,fillet
心臓,heart
ランプステーキ,rump steak
腎臓,kidney
皮,skin
エンドウ豆,peas
インゲン豆,green beans
ライ豆,runner beans
空豆,fava bean
もやし,bean sprouts
トウモロコシ,corn
筍,bamboo
オクラ,okra
セロリ,celery
裏返す,turn over
味をつける,"add flavour, to season"
塩を加える,add salt
故障を振る,sprinkle pepper
味見をする,taste
味を見る,taste
味が濃い,strong flavour
味が薄い,weak flavour
辛い,spicy
漬ける,"to soak (in), to steep, to dip"
ぶち込む,"to throw, to toss, to cast"
塩ふり,salted
薫製,smoked
眠い,sleepy
気分がいい,feel good
気分が悪い,feel bad
調子がいい,in good form
調子が悪い,in bad shape
具合がいい,feel good
具合が悪い,feel bad
顔色がいい,good complexion
顔色が悪い,bad complexion
病気が治る,be cured of a disease
病気を治す,cure a disease
風邪が治る,get over a cold
風邪を治す,cure a cold
けがが治る,recover from an injury
けがを治す,cure an injury
いい,"ok, good"
悪い,bad
治る,"be cured, be healed"
治す,"to cure, to heal"
うがいする,gurgle
手を傷,cut/wound on hand
やけどをする,get burned
大したこと,a big deal
ましになる,still bad but better
お見舞に行く,visit a sick
便秘になる,get constipated
安静にする,rest
痛みが弱まる,pain decreases
入院する,be hospitalized
退院する,released from hospital
付き添う,"to attend on, accompany"
親切,kind
無邪気,naive
腕白,naughty
丁寧,polite
静か,quiet
自己チュー,selfish
まじめ,serious
社交的,social
おろか,stupid
不安になる,anxious
怒りっぽい,bad-tempered
つまらない,boring
かっこいい,cool
面白い,funny
面白い,humorous
優しい,nice
忍耐強い,patient
情けない,shameful
見苦しい,"disgraceful, deplorable"
心苦しい,"being sorry, feeling sorry"
焦る,"flustered, panic"
呆れる,"amazed, shocked, astonished"
気に障る,hurt someone’s feelings
滝,waterfall
金属,metal
銀,silver
光,light
日光,sunlight
虹,rainbow
重力,gravity
引力,gravity
日光浴,sunbathing
日差し,sunlight
出入路,on-ramp
路肩,hard shoulder
走行車線,inside lane
毎年,every year
毎日,every day
毎晩,every night
昨日,yesterday
一昨日,the day before yesterday
昨年,last year
しあさって,three days from today
先々週,the week before last
先日,the other day
当日,"that day, day of (something)"
翌日,the following day
近いうちに,"soon, in the near future"
後日,"later, in the future"
今後,"hereafter, in the future"
当時,"at that time, in those days"
一時,temporarily
一瞬,"moment, instant"
瞬間,instant
後日,in the future
早速,"immediately, at once"
事前に,inadvance
事前に必要,prerequisite
近頃,nowadays
近々,soon
ついに,finally
常に,"always, constantly"
姉,sister
お祖母さん,grandmother
娘,daughter
父親,father
夫,husband
夫婦,married couple
義理の兄弟,brother in law
筋肉,muscles
胸,chest
腹,abdomen
腿,thigh
臓器,organs
消化器系,digestive system
呼吸器系,respiratory system
神経系,nervous sytem
骨格,skeletal system
皮膚,skin
脚,leg
ジーズ,jeans
帽子,hat
下着,underwear
家賃,monthly payment
敷金,security deposit
礼金,fee paid for rental rights
管理費,caretaker fee
大家,landlord
賃貸,"rent, lease"
住宅,residence
自宅,one's residence
近所,neighborhood
食卓,dining table
間取り,"layout (house, etc)"
外観,exterior
設計,design
図案,"design, sketch"
改装する,"renovation, remodeling"
据え付ける,"to install, equip, set up"
構える,"to set up, build, assume"
扉,"door, gate, opening"
ペットボトル,pet bottle
レジ袋,plastic bag
家電製品,electronic appliances
省エネ,energy-saving
溜める,"to pile up, to gather"
汚れる,to get dirty
移転先,new address
扇風機,electric fan
化粧,"makeup, cosmetics"
髪をとかす,to comb one’s har
洗濯物,laundry
犬の世話をする,to take care of a dog
留守番,house-sitting
電気をつける,to turn on the lights
休む,to rest
毎日の生活,everyday life
掃除,cleaning
眠る,to sleep
寝坊する,"oversleep, sleep late"
暮らす,to live
お湯,hot water
クッキー,cookie
ドーナツ,donut
ガム,gum
あめ,candy
おつまみ,"tidbits, snacks"
飲み物,drinks
ホット,hot
アイス,iced
コーヒー,coffee
アイスコーヒー,iced coffee
紅茶,black tea
アイスティー,iced tea
牛乳,milk
ミルク,milk
コーラ,cola
ジュース,juice
水,water
お湯,hot water
ビール,beer
酒,alcohol
酢,vinegar
酸っぱい,sour
甘酸っぱい,sweet and sour
調味料,seasoning
スパイス,spices
イースト,yeast
卵,egg
卵白,egg white
卵黄,egg yolk
生卵,raw egg
ゆで卵,boiled egg
月桂樹の葉,laurel leaves
だし,dashi
ケチャップ,ketchup
マヨネーズ,mayonnaise
コーン油,corn oil
胸肉,breast
もも肉,thigh
手羽肉,wing
七面鳥,turkey
鶏 ,chicken
鴨,duck
鵞鳥,goose
鶉,quail
カリフラワー,cauliflower
赤唐辛子,chili pepper
ピーマン,sweet pepper
ナタウリ,squash
カブ,turnip
タロ芋,taro root
プチトマト,cherry tomato
薩摩芋,sweet potato
なす,eggplant
むく,to peel
塩からい,salty
すっぱい,sour
出来上がる,be completed
出来上がり,finished
ラップを被せる,cover with plastic wrap
ラップをかける,cover with plastic wrap
ラップで包む,wrap in plastic wrap
適当,appropriate
分量,"amount, quantity"
鶏肉,chicken
冷凍,frozen
新鮮,fresh
薬を飲む,take medicine
薬をつける,apply medicine
医者に行く,go to a doctor
入院する,be hospitalized
横になる,to lie down
口を開ける,open one’s mouth
熱を計る,measure the temperature
息を吸う,to inhale
息を吐く,to exhale
息を止める,hold one’s breath
過去最多,most on record
感染,"infection, contagion"
予防,"prevention, precaution"
現場,scene
名前,name
生年月日,date of birth
年齢,"age, years"
〜歳,years old
住所,address
電話番号,phone number
診察券,patients registration ticket
お検証,verification
診てもらう,"checkup, see a doctor"
医者,doctor
お医者さん,doctor
喘息,asthma
目眩がする,"feel dizzy, feel faint"
妊娠する,get pregnant
出産する,give birth
花粉症,hay fever
熱中症,heatstroke
気立がいい,good-natured
いさぎよい,"manly, gallant, pure"
情け深い,sympathetic
用心深い,cautious
りりしい,"gallant, brave"
若々しい,look young
勇ましい,"brave, valiant"
逞しい,"strong, sturdy"
思いやりがある,thoughtful
思いやる,be kind to
気品がある,dignified
色気がある,sexy
しとやか,"gentle, modest"
チャーミング,charming
忠実な,"diligent, hardworking"
生真面目な,"earnest, sincere"
勤勉な,"diligent, hardworking"
望ましい,desirable
拗ねる,"sulking, pouting"
気兼ねする,"constraint, hesitant"
むかつく,"feel irritated, feel nauseous"
素直な,"honest, frank"
うざい,"annoying, gloomy"
火口,"burner, crater"
噴火する,to erupt
溶岩,lava
野,"plain, field"
野原,field
平野,open field
宇宙,universe
地球,earth
太陽,sun
波,wave
一方通行,one-way
高架道路,overpass
横断歩道,pedestrian crossing
以前,"before, previously"
以後,"after, from now on"
以来,since then
以降,"from (time) onward, after"
時期,"time, period"
延期する,"postponement, to postpone"
上旬,first 10 days of the month
中旬,second 10 days of the month
下旬,last 10 days of the month
月末,end of the month
年末年始,year-end and new-year
今週末,this weekend
元旦,new years day
普段,usually
普段着,everyday clothes
~た途端,as soon as~
まもなく,in a few moment
日程,schedule
年中,whole year
日付,date
日時,date and time
時期,period
同時,at the same time
夜中,midnight
今回,this time
一生,"whole life, a lifetime"
妹,younger sister
祖父母,grandparents​
女の子,girl
母親,mother
妻,wife
親族,relative
義理の姉妹,sister in law
血,blood
血管,vessels
骨,bone
動脈,artery
静脈,vein
健康,health
病気,illness
胃,stomach
脳,brain
肺,lungs
足首,ankle
靴,shoes
腕時計,wrist watch
スニーカー,sneaker
節約する,"economising, saving"
不用品,"clutters, disused article"
ゴミ,garbage
生ごみ,kitchen garbage
資源ごみ,recyclable garbage
粗大ごみ,large-size garbage
燃えるごみ,burnable garbage
可燃ごみ,burnable garbage
燃えないゴミ,non-burnable garbage
水が漏れる,water leaks
ほうき,broom
ちりとり,dustpan
ぞうきん,rag
バケツ,bucket
ほこり,dust
床を拭く,wipe the floor
ほうきで掃く,sweep with a broom
家具を磨く,polish the furniture
部屋を片付ける,tidy up the room
ジュースを零す,spill the juice
掃除機をかける,to vacuum
洗濯物,laundry
濡らす,"to wet, to moisten"
服を吊るす,hang the clothes
水道,"water supply, water service"
洗剤,detergent
目を覚ます,to awaken
日課,routine
生活,life
のんびりする,to relax
片付ける,to clean up
歯磨き,brushing teeth
鍵をかける,to lock
一人暮らし,living alone
休養する,to rest
剃る,to shave
起きる,to get up
パジャマ,pajama
充電する,recharge a battery
ワイン,wine
アルコール,alcohol
ドリンク,drink
味見する,to taste
味わう,"to savour, relish"
かじる,bite
食う,to eat
食欲,apetite
昼食,lunch
朝食,breakfast
夕食,dinner
食卓,dining table
ステーキ,steak
うどん,udon noodles
汁,soup
おかず,dishes
さじ,spoon
カロリ,calorie
生,raw
カップ１杯,a cup of
半カップ,a half cup of
粉をふるう,sift the flour
バターを塗る,spread the butter
きゅうり,cucumber
一味唐辛子,cayenne pepper powder
計量カップ,measuring cup
計量スプーン,measuring spoon
小匙,tea spoon
中匙,meddle size the spoon
大匙,table spoon
かつお節,bonito flakes
煮干し,dried sardines
秤,weighing scale
米酢,rice vinegar
菜種油,canola oil
サラダ油,vegetable oil
下拵えした鶏,dressed chicken
雉,pheasant
猟鳥,game
剥き海老,peeled shrimp
ヒメジ,red mullet
虹鱒,rainbow trout
メカジキ,swordfish
オヒョウの切り,halibut fillets
生姜,ginger
大蒜,garlic
丁字,clove
マッシュルーム,mushrooms
ニラネギ,leek
西洋ワサビ,horseradish
パースニップ,parsnip
南瓜,pumpkin
胡瓜,cucumber
ごうちそうする,to treat
乾杯する,to toast
外食する,to eat out
自炊する,to cook for oneself
腐る,to go bad
ホイル,foil
まず,first
次に,next
すこずつ,little by little
それから,after that
そして,and then
おろした,filleted
筒切り,steak
患者,patient
患者さん,patient
看護師,nurse
入院する,hospitalization
退院する,discharge
薬を飲む,drinking the medicine
〜日分,days
食前,before meals
食べる前に,before eating
食後,after a meal
食べた後に,after eating
内科,internal medicine
外科,surgery (department)
内服薬,medicine taken internally
痛い,"painful, sore, hurts"
動かす,"to move, mobilize (something)"
動く,(something) moves
切る,to cut
凝る,to have stiffness
吸う,"to inhale, to smoke"
出す,"to take, prescribe, submit"
詰まる,to clog
計る,to measure
休む,"to rest, to be absent"
付ける,"to attach, apply"
痛みが和らぐ,the pain eases
下痢をする,have diarrhea
とげが刺さる,get a sliver
けがする,be injured
熱がある,have a fever
息が苦しい,feel suffocated
物好きな,curious
孤独な,lonesome
臆病な,timid
なれなれしい,overly friendly
いやらしい,"indecent, dirty"
卑しい,greedy
しぶとい,"unyielding, tenacious"
荒っぽい,"rough, coarse"
金遣いが荒い,extravagant
おせっかいな,nosy
そそっかしい,careless
でしゃばりな,intrusive
きざな,showy
ルーズな,sloppy
群れいな,rude
美形,beautiful (form)
面食い,physical attraction
好ましい,"desirable, appropriate"
癇に障る,to irritate
心細い,"helpless, unpromising"
ばかばかしい,ridiculous
ふさわしい,"appropriate, worthy"
心強い,"reassuring, feel secure"
陸,land
大陸,continent
北極,north pole
南極,south pole
森林,forest
砂漠,desert
湾,"bay, gulf"
山脈,mountain range
堀川,canal
半島,peninsula
分岐帯,divider
交通,traffic
交通渋滞,traffic jam
