Words,Meaning,Sentences,Translation
考える,"to think (about, of), to think over, to ponder, to consider, to bear in mind",その問題は解決したものと考えた。,I considered the problem as settled.
山,mountain,私は若い頃よく山に行っていたものだ。,I would go to the mountains when young.
違う,"to differ (from), to vary, to not be in the usual condition, not match the correct answer",制服は学校によって違う。,Uniforms differ from school to school.
そして,"and, and then, thus, and now, and finally",そして何時間もいっしょに話したからです。,And we had spent hours talking together.
また,again,ミニスカートがまた流行している。,Mini-skirts are back in fashion again.
夜,"evening, night",夜になって、家へ帰った。,"When night came on, we returned home."
夏,summer,日本では夏は非常に暑い。,"In Japan, it is very hot in summer."
娘,"daughter, young girl",その娘はわっと泣き出した。,The girl burst into tears.
声,voice,彼女の声は震えていた。,There was a tremble in her voice.
舌,tongue,熱いスープで彼女の舌がやけどした。,Hot soup burned her tongue.
間違い,"mistake, error, blunder, mishap, improper conduct",彼の結論は完全な間違いであることが明らかになった。,His solution turned out to be a complete mistake.
そんな,"such, like that, that sort of",そんな些細な事は問題外だ。,Such a trivial thing is out of the question.
など,"et cetera, etc., and the like, and so forth",私はよい野菜や米、果物などを栽培したいのです。,"I want to grow good vegetables, rice, fruit and so on."
今,"now, the present time, just now",東京は今何時でしょうか。,What's the local time in Tokyo now?
妹,younger sister,私の妹は昨日神戸に行った。,My sister went to Kobe yesterday.
生まれる,to be born,彼は大阪で生まれた。,He was born in Osaka.
目,"eye, eyeball, eyesight, sight, vision, look, gaze",彼女の目の色は青です。,The color of her eyes is blue.
暮れる,"to get dark, to grow dark",冬の日は速く暮れる。,The night falls fast in winter.
出す,"to take out, to get out, to put out, to reveal, to show, to submit, to turn in, to send",外に出してやってくれませんか。,Could you let him out?
あなた,you,あなたはその規則を守らなければならない。,You must keep to the rules.
聞く,"to hear, to listen, to ask, to enquire",試合の結果について聞きましたか。,Have you heard about the result of the game?
円,"yen, Japanese monetary unit, circle",私は昨日２０万円の利益を得た。,"I profited 200,000 yen yesterday."
手,"hand, arm, forepaw, means, way, type, sort, ability to cope",彼は彼女の手をつかまえた。,He caught her hand.
そう,"so, really, seeming, appearing that, seeming that, looking like",喜んでそういたしましょう。,I'll do it with pleasure.
ちょうど,"exactly, precisely, just, right, as if, as though, quite",次の新幹線は９時ちょうどに出ます。,The next Shinkansen train leaves at just nine o'clock.
すれば,"if so, in that case, in that situation",さらに研究すればその理論が正しいことがわかるだろう。,Further study will prove that the theory is right.
出会う,"to meet (by chance), to come across, to run across, to encounter",たまたま私は彼女と東京で出会った。,It happened that I met her in Tokyo.
家,"house, residence, dwelling, family",私の家の庭には昔菜園があった。,There used to be a vegetable garden in our yard.
認める,"to recognize, to recognise, to observe, to notice, to assess, to approve, to admit, to watch steadily, to appreciate, to acknowledge",誰もがその少年を本物の天才と認めている。,Everyone recognizes the boy as a real genius.
いい,"good, excellent, fine, nice, pleasant, agreeable",いい考えが心に浮かんだ。,A good idea entered my mind.
これ,this,これ以上まけられませんか。,Is this the last price?
なに,what,病院の後ろにあるあの建物はなんですか。,What's that building at the back of the hospital?
雨降り,"rainfall, rainy weather, rainy, wet",今日は雨降りなので、買い物はやめよう。,"It being rainy today, let's cancel our shopping."
運転免許,"driver's license, driver's licence",君は運転免許を取るには、まだ若すぎる。,You're still too young to get a driver's license.
目下,"at present, now",その家は目下建築中である。,The house is now under construction.
日本経済,Japanese economy,今年の日本経済の成長率は０.７％を超えるだろう。,The growth rate of the Japanese economy will top 0.7% this year.
チェックアウト,check-out,チェックアウトしたいのですが。,I'd like to check out.
皿,"plate, dish, platter, disc, serving, helping, course",彼女は皿を洗い、それから乾かした。,She washed the dishes and she dried them.
中心,"center, centre, middle, heart, core, focus, pivot, emphasis, balance, -centered, -focused",その町は成長して経済の中心となった。,The town developed into the center of the economy.
ごめん,"your pardon, sorry, no thanks",ごめん。道が混んじゃって。,Sorry. Traffic was heavy.
米,(husked grains of) rice,私はよい野菜や米、果物などを栽培したいのです。,"I want to grow good vegetables, rice, fruit and so on."
嬉しい,"happy, glad, pleased, delighted, overjoyed, joyful, delightful",君に会うのはいつだってうれしいことです。,To see you is always a great pleasure.
無言,"silence (not speaking), muteness",彼女の悲しみは無言でこぼす涙になって表れた。,Her sorrow found expression in silent tears.
異常,"strangeness, abnormality, disorder",彼女の異常なふるまいから何を推測しますか。,What do you infer from her strange behavior?
責任,"duty, responsibility (incl. supervision of staff)",誰にその事故の責任があるのか。,Who is to blame for the accident?
苦労,"trouble, hardship, difficulty, labour, labor, toil, pains, anxiety, worry, concern, cares",だれでも苦労の無い生活を望んでいる。,Every one wants to live free from care.
一歩,"(a) step, level, stage, small degree, small amount",一歩でも動いてごらん、崖から落ちてしまうよ。,"A single step, and you will fall over the cliff."
品,"article, item, thing, goods, stock",この品の税金分はむこうでお支払い下さい。,Please pay the tax on the items over there.
殴る,"to strike, to hit, to beat, to punch",彼は荒々しいサッカーの試合の間、鉄の棒で殴られた。,He was beaten with an iron rod during a violent soccer match.
勤める,"to work (for), to be employed (at), to serve (in), to serve (as), to act (as)",彼女は商事会社に勤めている。,She is employed in a trading company.
女中,"maid, female servant, hostess (in a ryokan), waitress (in a traditional restaurant)",その劇で彼女は女中と女店員との二役を努めた。,In the play she doubled the parts of a maid and shop girl.
悟る,"to perceive, to sense, to discern, to understand, to comprehend, to realize",そのときになって初めて私は自分の誤りを悟った。,It was not until then that I realized my mistake.
役者,"actor, actress",この役者のことはいままで聞いたことがない。,I've never heard of this actor.
データ,"data, datum",天気の予報は過去のデータに基づいて行われる。,"The weather is forecast, using the past data as a basis."
素人,"amateur, layman, ordinary person, novice",彼はしろうとの庭師だが、彼の育てる花は美しい。,"He is an amateur gardener, but his flowers are beautiful."
蝶,butterfly,少女たちはさながら蝶のように軽やかに踊っていた。,The girls were dancing lightly like so many butterflies.
革命,revolution,革命は新たな時代をもたらした。,The revolution brought in a new era.
洞窟,"cavern, cave, cave system, grotto",私たちはそのまま洞窟の口にボートで突っ込んで行きました。,We plunged into the cave opening on our boat and continued on.
ニコニコ,"with a friendly grin, smilingly",写真に写っている人は皆にこにこしている。,Everybody in the picture is smiling.
緑色,"green, emerald green, green color of new foliage, verdure",緑色である事がその種のりんごの特徴なのです。,A green color is a characteristic of that type of apple.
チェック,"check, plaid, checkered, checking, monitoring, looking over",少女は自転車の後部をチェックしている。,The girl is checking out the rear of the bicycle.
湿る,"to become damp, to become moist, to become wet, to lack energy, to be in a slump",太陽と湿った気候が熱帯雨林を作った。,The sun and a damp climate made the tropical rainforest.
仲良く,"on good terms with, on cordial terms with, getting along well with, to get along with",私たちは隣近所とは仲良くしている。,We get on well with our neighbors.
ゴール,"goal, basket (basketball), finishing line, winning post",彼はボールをゴールに蹴り入れた。,He kicked the ball into the goal.
救急車,ambulance,病人は救急車で病院へ急いで運ばれた。,The sick person was rushed to the hospital in an ambulance.
パトカー,patrol car,私たちはパトカーが全速力で走っているのを見た。,We saw a patrol car running at full speed.
勘弁,"pardon, forgiveness, forbearance",ちょっと勘弁して下さい。,"Give me a break, will you?"
血液,blood,適度な運動は血液の循環を活発にする。,Moderate exercise stimulates the circulation of blood.
赤ちゃん,"baby, infant",私は赤ちゃんが目を覚まさないようにつま先で歩いた。,I walked on tiptoes so as not to wake the baby.
そそぐ,"to pour (into), to sprinkle on (from above), to water (e.g. plants), to pour onto, to spray, to flow into (e.g. of a river), to run into, to drain into",彼女は洗面器に水を注いだ。,She poured water into the basin.
そそぐ,"to pour (into), to sprinkle on (from above), to water (e.g. plants), to pour onto, to spray, to flow into (e.g. of a river), to run into, to drain into",小川が湖に注いでいる。,A stream flows into the lake.
越し,"across, over, beyond, through, crossing, throughout (a period of time), for",彼は眼鏡越しに私をにらみつけた。,He looked sharply at me over his spectacles.
打撃,"blow, shock, strike, damage, batting",円高はその会社にとって致命的な打撃だった。,The strong yen was a fatal blow to the company.
承諾,"consent, approval, acceptance, agreement, compliance",私はその計画を承諾することができません。,I cannot approve the project.
脅迫,"threat, menace, coercion, terrorism",彼女は彼の発言を脅迫と解釈した。,She interpreted his remarks as a threat.
転じる,"to turn, to shift, to alter, to distract",災いを転じて福としなさい。,Turn your misfortune to account.
溝,"ditch, drain, gutter, trench, groove, tread, gap (between people, countries, etc.), gulf",彼はその浅い溝を飛び越えた。,He leaped over the shallow ditch.
ランチ,lunch,日時を決めて一緒にランチを食べよう！,Let's set a time and day and have lunch together!
便り,"news, tidings, information, correspondence, letter",便りがないのは良い知らせ。,No news is good news.
花壇,flower bed,花壇のチューリップが咲いている。,The tulips are in bloom in the flower bed.
地形,"terrain, geographical features, topography",地形測量。,A topographical survey.
仕事場,"place where one works, construction site, working area",彼は仕事場でテーブルを作っているところだ。,He's making a table in his workshop.
出産,"childbirth, (giving) birth, delivery, parturition, confinement, production (of goods)",彼女は健康な赤ん坊を出産した。,She gave birth to a healthy baby.
おめでとう,congratulations!,誕生日おめでとうございます。,Happy birthday!
痛手,"serious wound, hard blow",彼の死は我が社にとって大きな痛手であった。,His death was a great loss to our firm.
長女,"eldest daughter, first-born daughter",彼は二番目のレストランの経営を、長女にまかせた。,He put his eldest daughter in charge of his second restaurant.
身震い,"shivering (with cold), trembling (with fear), shuddering",彼女は恐ろしくて身震いした。,She trembled with fear.
交差点,"crossing, intersection",あの交差点で何が起こったのか。,What happened at that crossing?
コーラ,cola (carbonated soft drink),ポテトのＬを１つ、コーラのＭを２つ。,One large fries and two medium cokes.
ぎこちない,"awkward, clumsy, stiff, crude, unrefined, constrained",彼は動作がぎこちない。,He is awkward in his movements.
ぎこちない,"awkward, clumsy, stiff, crude, unrefined, constrained",彼は作法がぎこちない。,He is awkward in his manners.
キット,kit,配線を間違えないように注意してキットを組み立てた。,I built the kit taking care not to make mistakes in the wiring.
差し支える,"to interfere, to hinder, to become impeded",大丈夫よ！私は飲んでも運転に差し支えない。,I'm fine! I can drink and not be affected by driving.
現れ,"embodiment, manifestation, materialization, materialisation, expression, indication",それは彼女の性格の表れだ。,It is an index of her character.
見直し,"review, reconsideration, revision",見直をしようじゃないか。,"Let's review it, shall we?"
社会党,Socialist Party,社会党が大統領候補として立つ準備を彼にさせた。,The Socialist Party groomed him as a presidential candidate.
決算,"settlement of accounts, closing accounts, financial results",その会社は毎年３月に決算をする。,The company closes its books at the end of March.
冷戦,cold war,冷戦の緊張が高まった。,Cold-war tension has mounted.
現行,"present, current, in operation",現行の法律は人種の多様性を考慮していない。,Existing legislation does not take diversity of races into account.
鑑賞,"appreciation (of art, music, poetry, etc.)",彼は文学を正しく鑑賞できるようになった。,He learned to appreciate literature.
必然的,"inevitable, necessary",それは必然的に延期しなければならない。,"It must, of necessity, be postponed."
気合,"(fighting) spirit, motivation, effort",チームは試合に向けて気合いが入っている。,The team is up for the game.
プリント,"print, copy, handout, flyer",先生は生徒たちにプリントを配布した。,The teacher distributed the handouts to the students.
肝臓,liver,私は肝臓の病歴がある。,I have a history of liver trouble.
配給,"distribution (e.g. films, rice), rationing (e.g. food, gasoline), food ration",彼らはパンと牛乳の追加配給を交渉で決めた。,They bargained additional rations of bread and milk.
一等,"first-class, first-rank, the most, the best",彼はそのコンテストで一等になった。,He got the first prize in the contest.
強固,"firm, strong, solid, stable",彼は強固な性格の人物だ。,He is a man of firm character.
動物園,"zoo, zoological gardens",私はその有名な動物園をたずねるつもりだ。,I am going to visit the famous zoo.
着用,"wearing (e.g. uniform, seat belt), having on",従業員は制服を着用しなければならない。,Employees are required to wear uniforms.
とする,"to try to ..., to be about to do",彼は深く感動して、感謝の言葉を述べようとした。,"Deeply moved, he tried to express his thanks."
進む,"to advance, to go forward, to precede, to go ahead",船は目的地に向かって進んだ。,The ship proceeded to her destination.
外,"outside, exterior",外からの圧力がますます激しくなってきている。,External pressure grows ever more intense.
だから,"so, therefore",彼女は行くように頼まれた、だから出かけた。,"She was asked to go, and she left accordingly."
だろう,"seems, I think, I guess, I wonder, I hope",私たちが宇宙旅行を楽しめる日がくるだろう。,The day will come when space travel becomes possible.
戻る,"to turn back (e.g. half-way), to return, to go back",待ってろよ、すぐ戻るから。,Wait for me. I'll be back in no time.
診る,to examine (medically,急患で診ていただきたいのですが。,I need medical help.
君,"you, buddy, pal",君の自慢話はもう聞き飽きた。,I'm tired of hearing your boastful tales.
ふたり,"two persons, two people, pair, couple",二人が幸せでありますように。,May you both be happy!
のに,"although, despite, even though, and yet, whereas, while, if only, I wish, in order to",この本を読むのに２時間かかります。,It takes two hours to read this book.
弟,"younger brother, little brother",弟は記憶力がいいです。,My brother has a good memory.
弾く,to play (a stringed or keyboard instrument),彼らはギターを弾くことができる。,They can play the guitar.
方,"direction, way, method",彼女のテントの張り方を実演しながら教えた。,She gave an illustration of how to pitch a tent.
方,"person, person in charge of",担当の方はどなたですか。,Who is the person in charge?
だろうか,"don't you think?, indicates question",一体その報告は本当だろうか。,Can the report be true?
鳴く,"to sing (bird), to make sound (animal), to call, to cry, to chirp",その動物はキーキー鳴いた。,The animal made a squeaking sound.
ほど,"degree, extent, bounds, limit, upper limit",彼はその質問に答えられるほど賢かった。,He is so clever that he could answer the question.
だと,if it's the case,嵐の日に山に登るのは危険だと思う。,I think it's dangerous to climb a mountain on a stormy day.
所,"place, spot, scene, site",彼らはその建物の見える所へやってきた。,They came in sight of the building.
ところ,"point, aspect, side, facet",この電子辞書は携帯しやすいところが味噌です。,The good thing about this electronic dictionary is that it's easy to carry.
話,"talk, speech, chat, conversation, (made-up) story, tale, yarn",さえぎらないで私の話を最後まで聞いてください。,"Don't interrupt me but hear me out, please."
もう,"now, soon, shortly, before long, presently",９時ですからもう失礼します。,It is nine. I'm afraid I must be leaving now.
もう,"already, yet, by now, (not) anymore",私はもうそれをやってしまった。,I have done it already.
より,"than, from, out of, since, at, on, except, but, other than",彼は私よりピアノがうまい。,He can play the piano better than I.
持つ,"to hold, to take, to possess, to have, to own, to maintain, to keep, to carry",あなたの鞄をお持ちしましょうか。,Shall I carry your bag?
回,counter for occurrences,私は３回京都を訪れたことがあります。,I have visited Kyoto three times.
伝わる,"to be handed down, to be introduced, to be transmitted, to be circulated, to go along, to walk along",私の意図は十分あなたに伝わった。,My intentions reached you clearly enough.
私用,"personal use, private use, private business, personal business",上司は会社の電話で私用の電話をかけたといって私をひどく叱った。,My boss called me down for making private calls on the office phone.
内部,"interior, inside, internal",この図解は地球の深い内部を示している。,The illustration shows the deep interior.
まだ,"still, yet, not yet",この事に加えて、ほかにもまだ理由がある。,"In addition to this, there are other reasons."
なら,"if, in case, if it is the case that",きみは必要なら、この辞書は持ってていいよ。,You can keep this dictionary if necessary.
ならば ,"if, in case, if it is the case that",もしも、音楽が愛の糧であるならば、奏で続けよ。,"If music be the food of love, play on."
自分で,"by myself, in person, by oneself",学生には自分で発見させるようにした方がいい。,You had better leave the students to find out for themselves.
言葉,"words, phrase, term, expression, remark, speech",お言葉を心に銘記いたします。,I will bear your words in mind.
時,"hour, o'clock, (specified) time, when, during",列車は五時ちょうどに発車した。,The train left at five o'clock to the minute.
何か,"something, somehow, for some reason",何か目印がありますか。,Are there any landmarks?
俺,"I, me",俺にはお前の心の音が聞こえる。,I can hear the sound in your mind.
何時,what time,到着時刻は何時ですか。,What is the arrival time?
空,"sky, the air, the heavens, weather",空は花火で光り輝いていた。,The sky was ablaze with fireworks.
年,"year, years, age",その年の鉄鋼生産は記録に残る最高水準だった。,Steel production of the year was the highest on record.
大切,"important, necessary, indispensable",私は私たちが冷静にしていることが大切だと思う。,I think it important that we should keep calm.
助け,"assistance, help, aid, support",彼は助けに来たとゆうより邪魔しに来た。,"He didn't come to help, but to hinder us."
下,"below, down, under, bottom, beneath",彼はそれを上着の下から出した。,He took it from beneath his coat.
嫌,"disagreeable, detestable, unpleasant",この卵は嫌な匂いがする。,This egg has a bad smell.
湖,lake,その湖の水はとても冷たい。,The water of the lake is very cold.
しまった,"darn it!, darn!, oops!, oh dear!, oh no!",しまった、ガットが切れた。,"Oh, no. I broke a string in my racket."
席,"seat, location (of a gathering, etc.), place, position, post",この席はどのあたりでしょう？,Where's this seat?
けど,"but, however, although",全然部屋に似合わないけど、貰ったから良し！,"It doesn't go with the room at all, but I got it for free so it's all good!"
けれど,"but, however, although",その音はいらいらさせるけれど人体には無害です。,The sound was annoying but harmless to the human body.
けれども,"but, however, although",私は疲れていたけれども、働き続けた。,"Tired as I was, I went on working."
ここ,here,ここから歩いて２時間もの距離だ。,It is no less than two hours' walk from here.
湧く,"to well (up), to gush forth (of water), to spring out, to surge, to appear, to feel emotions from",いざとなれば勇気が湧いてくる。,Your courage will come out in a crisis.
体,"body, torso, trunk, build, physique",ボクサーは試合を前にして体を鍛えていた。,The fighter toughened up for the bout.
感じる,"o feel, to sense, to experience",今朝は外気が冷たく感じる、もう冬が近づいている。,The air feels cold this morning; winter is approaching.
ましょうか,"shall I?, shall we?",後で電話をかけましょうか。,Shall I call you up later?
口,"mouth, opening, entrance, exit",その言葉はふと彼の口から漏れた。,That word dropped from his mouth.
開く,"to open, to undo, to unseal, to unpack, to hold (meeting, etc.)",彼はできるだけ早く会が開かれることを提案した。,He suggested that a meeting be held as soon as possible.
部屋,"room, chamber, apartment, flat, pad",彼は自分の部屋で音楽を聴いた。,He listened to music in his room.
折れる,"to break, to be broken, to snap, to fracture, to be folded, to give ib, to yield",医者は彼の折れた足をついだ。,The doctor set his broken leg.
橋,bridge,費用は別として、その橋を築くには長い時間がかかるだろう。,"Apart from the cost, it will take long to build the bridge."
そう,"in that way, thus, such",冗談のつもりでそう言ったんだ。,I said so by way of a joke.
うち,"house, home (one's own)",うちは明日来客があります。,We will have some guests tomorrow.
先,"previous, prior, former, first, earlier, some time ago, preceding, ahead, the other side, tip, end",荷物は先に送っておきなさい。,Send your baggage in advance.
解く,"to untie, to unfasten, to unwrap, to undo, to unbind, to unpack, to unsew, to solve, to dispel, to dissolve, to release, to relieve, to comb out",その問題を解くのに私は５分かかった。,The solution of the problem took me five minutes.
行く,"to go, to move, to proceed, to take place",私は外国へ行くつもりだったが。,I intended to have gone abroad.
ただ,"ordinary, common, usual, free of charge, only, merely, but, however",入場料はただだった。,Admission was free.
人気,"popularity, public favor, condition (e.g. market), tone, character, nature",その歌手は若者たちの間で人気があります。,The singer is popular among young people.
火,"ire, flame, blaze",寒かったので、我々は火を燃やした。,"It being cold, we made a fire."
件,"matter, case, item, affair, subject",その件については常に私に知らせるようにしてください。,Please keep me informed of the matter.
よく,"nicely, properly, well, skillfully, skilfully, frequently, often",本当によく似合う。,It really suits you.
椅子,"chair, stool, post, office, position",私達は壊れた椅子を直した。,We mended some broken chairs.
それに,"besides, in addition, also, moreover",それに私も加えておいて。,Count me in.
死ぬ,"to die, to pass away, to lose spirit, to lose vigor, to cease, to stop",彼は自分の一生に満足して死んだ。,He died content with his life.
上,"above, up, over, elder, top, summit, surface, before, prevoius",きれいな鳥が木の上を飛んでいる。,Some pretty birds are flying above the trees.
笑う,"to laugh, to smile",先生は生徒たちを笑わせた。,The teacher amused the pupils.
大,"the large part of, big, large, great",彼女は大科学者になるという夢を実現した。,She realized her ambition to become a great scientist.
ひとつ,one,私たちは君に一つ忠告したい。,Let us give you a piece of advice.
誤り,"error, mistake, slip, bug",この報告書には誤りがない。,This report is free from errors.
