W1,T1,W2,T2,W3,T3
何か華道家って名乗ってるけど,You call yourself some kind of flower arranger.,新しい流派なの ,It's a new school. ,すごい勢いでお弟子さん集めてる,He's recruiting his disciples at an incredible rate.
私には関係ない,It has nothing to do with me.,うちも相当削られてるって,"I hear we've been cut down a lot, too.",出戻ったからって期待しないで,Don't get your hopes up just because I'm back.
別に何ともなってない,I'm not in any trouble.,もちろん回復すれば,"Once you recover, of course.",それは本当の恋じゃないと気付く,I realize it's not real love.
私が慰めますよ,Let me comfort you.,私たち付き合うことになったの,We're going out.,どんな夢も現実になるよ,Any dream can come true.
適当に座ってください,Please sit down at your leisure.,そんなことするはずがないよ,You're not gonna do that.,本気で言ってる？,Are you serious?
気になるなって思ったし,I thought you'd be interested.,出てくるような料理で,With the kind of food that comes out,元気が湧いてきそうだ,It's gonna cheer me up.
会いたいしさ,I want to see you.,料理食べた人,People who ate the food.,明日に響くから,It's gonna be a problem tomorrow.
顔を見てないのにさ,I haven't even seen his face.,客が思ってくれるようになんだ,I want my customers to think,顔向けすぎじゃない？,I think you're showing your face too much.
そうじゃなくて,"No, I don't mean that.",お好みの漬かりは具合をお楽しみ,Enjoy your favorite pickling condition.,それだけじゃなくて,That's not all.
音楽やってます,I play music.,そこに取り分けた卵黄を置きます,Place the separated egg yolk on it.,廃業に追い込まれたところもある,Some places are going out of business.
やっぱりその外見っていうのは,I think that appearance is the most important thing.,しっかりとしたうまみのある,with a firm umami flavor.,くだらない,Nonsense.
見た目で何か,Something about the way you look.,こよいのお酒は,Sake of Koyoi is,そしてそれらを破壊します,And destroy them
私自身が判断される,I will be judged on who I am.,今日のおすすめは,Today's recommendation is,やがて娘は感謝して,"Eventually, my daughter will thank me."
内面を愛してくれる人,Someone who loves me on the inside.,みそ漬けになることを祈って,Praying to be pickled in miso,愛してたら憎まない,"If I loved you, I wouldn't hate you."
すぐにでも結婚したい,I want to get married right away.,塩っぱくて食べられなくなる,It's too salty to eat.,別に何ともなってない,I'm not in any trouble.
それこそもう運命の出会いですよ,That's exactly what it's meant to be.,謝りに行ったんだよ,I went to apologize.,外はまだ寒いけど,It's still cold outside.
暖簾が掛けられている,The curtain is hung,今日は来られなかったはずじゃ？,I thought you couldn't make it today.,そうじゃなくて,"No, I don't mean that."
そして優しい人たち,And kind people,冬の名残のおでんと,"With oden, the last remnants of winter",私たち付き合うことになったの,We're going out.
では行ってみましょうか,"Well, let's go.",ちょっと聞いてみます価格と,"I'll ask around, see if I can get a better price.",日本橋にも来ることあるんですけどね,I sometimes come to Nihonbashi.
黒門市場入場します,Entering Kuromon Market,ここで食べれるか,Can we eat here?,特にうちは有名やで,Especially ours. We're famous.
週末来たらもっと人が多いんですけど,I'm sure there would be more people if I came on a weekend.,そこで食べられるんですか？,You can eat there?,先払っておいたらいいですか,Can I pay you in advance?
こんなに沢山入って500円？,500 yen for such a lot of food?,じゃあ食べます,Then I'll eat.,テレビ出てるで,You're on TV.
食べれるなら食べようと思います,"If I can eat it, I'll eat it.",好きなん取り？,You like it?,ハマっちゃうかもしれないですけどね,"You might get hooked, though."
そこ、みな美っていうお店,"There, a restaurant called Minami.",何が違いますか,What's the difference?,ハマっちゃいますね,I'm hooked.
有名らしいです,I hear it's famous.,めっちゃ優しい,You're so sweet.,手間かけて申し訳ないんですが,I'm sorry to take up so much of your time.
もう一本食べてもいいですか,Can I have another one?,包まれている感がしたいので,I want to feel wrapped up in it.,もう一個頼んでもいいですか,Can I ask for another one?
よく言われるんですけどね,I got told that a lot.,座ってやってみますか,Shall we sit down and try?,鬼怒川駅方面が見える感じですね,You can see the direction of Kinugawa Station.
ドヤ顔してるつもりないんですけど,"I don't mean to be smug, but...",肩甲骨は離れて広がっている,Shoulder blades spread apart.,はいもうちょっと探検していきます,"Yes, I'll explore some more."
もしかしたら思っているから,Maybe because I'm thinking it.,右を向く,Turn to the right.,お布団が入っております,It contains some futons
内心成功したぜ,I've succeeded on the inside.,後ろを向いて彼を見る,Look back at him. ,朝ごはんが到着しました,Breakfast has arrived.
送っていただけると嬉しいです,I would appreciate it if you could send it to me.,南を向いた部屋,A room facing south ,しばらくゆったりまったり過ごします,I relaxed and took it easy for a while.
お待ちしております,We'll be waiting for you.,そのホテルは海に向いている,The hotel faces the sea.,釜飯が出来上がりました,Kettle rice (Kama-meshi) is ready!
ボタンから送ることもできます,You can also send it via the button,その窓は庭に向いている,The window opens onto the garden.,盛り付けました,I served it up (dished up).
温泉にやってきました,We came to the hot springs.,女性に向いた仕事,A job suitable for a woman ,ほっこりしちゃう,"It makes me feel warm (warm and fluffy, soft)."
雪が残ってますね,There's still snow.,鏡に向かう,Look in a mirror.,ライトアップされているの,It's all lit up.
あらかじめカットしておく,Cut them in advance.,彼は大群衆に向かって演説を始めた,He faced the large crowd and began to make a speech.,では早速入ってみましょう,So let's get in there.
今度やってみようかな,Maybe I'll try it next time.,駅に向かってるとこだよ,I'm on my way to the station.,早速オープンしていきたいと思います,I would like to open it immediately
飽きたし,I'm tired of it.,彼は私に向かってくる,He comes to me.,おつまみ的なものを買ってきました,I bought some snack food.
焚き火して,Make a bonfire.,今向かってます,I'm heading over there now.,感想は？ いい体をしてました,What did you think? He had a good body.
夜更かししたり,And staying up late.,右を向いてください,Turn to the right.,性格はとても重要だと思ってます,I believe that character is very important.
絶妙に混ざりあって,Exquisitely mixed.,この服は寒い冬の日には向かない,These clothes are not appropriate for a cold winter day.,自分が持っている魅力だけで,Just the charm that you have.
食べ過ぎだろ,You eat too much.,公園の方に足を向けた,I walked toward the park.,島を探検してください,Explore the island.
そんなやり方あったんだ,I didn't know that was how it was done.,彼はその絵に目を向けた,He turned his attention to the picture.,遠い所に設置したみたいですね,Looks like they set it up far away from here.
いつもきな粉零しちゃうんだよ,I always spill soybean flour.,彼に背中を向ける,Turn one's back on him.,今日のおすすめ商品でした,This was today's recommended product.
絡めようとして,I'm just trying to mix it together.,銃を彼に向ける,Aim one's gun at him.,修学旅行はみなさんご存知ですか？,Have you ever heard of school trips?
火を起こしていきたいと思います,I'd like to make a fire.,こっちに顔を向けなさい,Turn your face this way,日光で何したかは全然覚えてないです,I don't remember what I did in Nikko at all.
オシャレ感が増しました,It's more stylish.,出てくるかな？,Do you think it'll come out?,是非教えていただければと思います,I'd love to know what you think.
映えを意識した設置となっております,The installation is designed to look good.,日本食食べたくなりますからね,It makes me want to eat Japanese food.,歴史の勉強してみたいな旅行でした,It was a trip that made me want to study history.
火がついてきました,It's catching fire.,お味噌汁飲みたい,I want to drink miso soup.,行く場所はいろいろなんですけど,There are many places I go.
薪を持ってきてくれました,He brought me some firewood.,お寿司食べたい,I want to eat sushi.,海を調査しなきゃいけないのね,We'll have to survey the ocean.
本気で照れる,It's really embarrassing.,恋しくなるんですよ,I miss it!,やっぱり海って怖いじゃないですか,"After all, the ocean is scary, isn't it?"
順調に炎は燃え上ってきています,The flame is burning steadily.,時代は変わってきてるんですかね,"Times are changing, aren't they?",その深海魚っていうのがすごい好き,I really like that deep-sea fish.
消えたなあ,It's gone.,探せばあるんでしょうけどね,I'm sure it's out there if you look for it.,海って危ないよね,The ocean is dangerous.
火吹き棒で再熱を試みる,Trying to reheat with a fire blowtorch,サーモンを出して頂いて,They served me salmon.,止まらずに進みたいと思います,I'd like to keep going without stopping.
対面授業を受けに行った,I went to take a face-to-face class.,マスクを着用し,Wear a mask.,ヒルが結構いるみたいなので,It seems like there are quite a few leeches.
一番奥の席を確保しました,I got a seat at the far end.,では早速館内を散策してみましょう,Let's take a walk around the building at once,ピッタリですよね？,"It's perfect, isn't it?"
そんなに苦手なら買わなきゃいいのに,"If you're that bad at it, you shouldn't buy it.",ではテラスに出てみます,I'll go out on the terrace.,簡単でヘルシーで美味しい鍋,"Easy, Healthy and Delicious Hot Pot"
一緒に行こう,Let's go together,こちらは水盤テラスです,This is the water table terrace.,改めて言われると恥ずかしい,I'm embarrassed to say it again.
彼は何度も繰り返して言った,He said it over and over,では早速座布団をしいて,"Now, let's put the cushions on.",そっちゃおうかな,Maybe I think I should take it off.
その手紙を３回も繰り返し読んだ,I read the letter three times,足湯を利用したいと思います,I'd like to use the footbath.,素直に思えたので,It seemed honest to me.
単語を繰り返して書く,Write the word repeatedly.,早速足湯に浸かってみます,I'm going to take a soak in the footbath right away.,案内係できる,I can lead the way.
透けちゃった,It's transparent.,疲れが癒されました,My fatigue was relieved.,沈んじゃうよ,It’s going to sink.
透けちゃうのか,It's transparent?,お部屋に到着しました,We've arrived at our room.,からめていきましょう,Let's mix it up.
奥に入っちゃいました,I'm in the back.,では早速開けてみたいと思います,"Now, I'd like to open it right away.",時刻は17時を回りました,The time is around 5:00 p.m.
こういう見方じゃないですか？,Isn't this how you see it?,窓からの眺めはこんな感じです,Here's the view from the window.,体感の変化がありましたら,If there are any physical changes.
届いてますかね？,Did you get my message?,またここ最近ですと,Also recently,台本じゃないんですよ,It's not a script.
宜しくお願い致します,Please treat me well.,この時間の担当は,The person in charge of this hour is,いかがお過ごしでしょうか？,How are you doing?
桜を眺めて,Viewing the cherry blossoms,帰宅している方も増えてくる,More and more people are returning home.,今日は広く穏やかな天気で,Today's weather is broad and mild.
皆さんいかがでしょうか ？,How is everyone doing?,以前から番組を知ってくださってね, You've known about our program for a long time.,英語がペラペラな方がいるんですけど,I know someone who speaks English very well.
全然見えない,I can't see at all,いろんなところに 行って,I've been to a lot of places,していただければなと思います,I hope you'll do that.
私も見えませんよ,I can’t see either,たくさん写真撮って,Take a lot of pictures,ぜひ見てください,Please take a look.
びっくりっすね,It amazes me.,必要な存在になりました,It become necessary.,俺は あっち行くから,I'll go that way.
いやもうめちゃくちゃ嬉しかったっす,I was so happy!,自分が なんか ここまで,I feel like I've come this far.,終わりましたけど,"It's over, though."
もう本当にうれしかったっす,I was really happy.,人を好きになるってのも,And falling in love with someone.,どうでしたか？,How did it go?
ちょっと遅かったっすね,A bit late though.,思わなかったです,I didn't think so.,あっという間すぎてでも,It all happened so fast.
イジワルすぎるっすよ,You're being too mean.,来月にまた来て,Come back next month.,彼女に出会えてよかったなって,I'm glad I met her.
もう最後まで,Until the end.,満開のときに,When in full bloom.,すごくやっぱり思いました,I really thought so.
思い出しちゃうっすね,It reminds me of you/that.,もう１回 来るか,Let's go again.,終わってほしくないなっていう,I don't want it to end.
会いたいなっていう気持ちがあって,I just wanted to see her.,一緒にいて 元気になれるというか,I feel energized when I'm with you.,まあ でも もう会えないんで,But we won't see each other again.
ちょっとずつちょっとずつ実感して,"Actually realize the feeling little by little, little by little.",こんなになんか純粋に人を好きって,To love someone so genuinely.,思い出として,I want to cherish it.
自分の気持ちを整理してる感じですね,It's like you're trying to sort out your feelings.,思えたのも,And I thought.,大切にしていきたいっすね,I want to take good care of it.
北海道で作ったやつですよね？,"It's the one made in Hokkaido, right?",初めてなんじゃないかなっていうぐらい,I think it's the first time I've ever done that.,彼女がいるってのが当たり前っていうか,It's like it's normal to have her.
こちらお届けものです,This is the delivery.,めっちゃ懐かしい写真ばっかり,All the pictures are so nostalgic!,おいしいもの食べて遊びまくりたい,I want to eat good food and play around.
声だけってめちゃめちゃ不思議っすね,It's super weird with just a voice.,出てくるかな？,Do you think it'll come out?,日本食食べたくなりますからね,It makes me want to eat Japanese food.
お寿司食べたい,I want to eat sushi.,恋しくなるんですよ,I miss it!,お味噌汁飲みたい,I want to drink miso soup.
時代は変わってきてるんですかね,"Times are changing, aren't they?",探せばあるんでしょうけどね,I'm sure it's out there if you look for it.,サーモンを出して頂いて,They served me salmon.
マスクを着用し,Wear a mask.,ではテラスに出てみます,I'll go out on the terrace.,足湯を利用したいと思います,I'd like to use the footbath.
エレベーターを使って７階まで上がる,Take the elevator up to the seventh floor.,こちらは水盤テラスです,This is the water table terrace.,早速足湯に浸かってみます,I'm going to take a soak in the footbath right away.
お部屋に到着しました,We've arrived at our room.,では早速座布団をしいて,"Now, let's put the cushions on.",疲れが癒されました,My fatigue was relieved.
では早速開けてみたいと思います,"Now, I'd like to open it right away.",窓からの眺めはこんな感じです,Here's the view from the window.,鬼怒川駅方面が見える感じですね,You can see the direction of Kinugawa Station.
はいもうちょっと探検していきます,"Yes, I'll explore some more.",朝ごはんが到着しました,Breakfast has arrived.,釜飯が出来上がりました,Kama-meshi is ready!
お布団が入っております,It contains some futons,しばらくゆったりまったり過ごします,I relaxed and took it easy for a while.,盛り付けました,I served it up.
ほっこりしちゃう,It makes me feel warm.,ライトアップされているの,It's all lit up.,では早速入ってみましょう,So let's get in there.
早速オープンしていきたいと思います,I would like to open it immediately,おつまみ的なものを買ってきました,I bought some snack food.,感想は？ いい体をしてました,What did you think? He had a good body.
今日のおすすめ商品でした,This was today's recommended product.,島を探検してください,Explore the island.,性格はとても重要だと思ってます,I believe that character is very important.
修学旅行はみなさんご存知ですか？,Have you ever heard of school trips?,遠い所に設置したみたいですね,Looks like they set it up far away from here.,自分が持っている魅力だけで,Just the charm that you have.
日光で何したかは全然覚えてないです,I don't remember what I did in Nikko at all.,歴史の勉強してみたいな旅行でした,It was a trip that made me want to study history.,海を調査しなきゃいけないのね,We'll have to survey the ocean.
是非教えていただければと思います,I'd love to know what you think.,行く場所はいろいろなんですけど,There are many places I go.,やっぱり海って怖いじゃないですか,"After all, the ocean is scary, isn't it?"
止まらずに進みたいと思います,I'd like to keep going without stopping.,ヒルが結構いるみたいなので,It seems like there are quite a few leeches.,ピッタリですよね？,"It's perfect, isn't it?"
そっちゃおうかな,Maybe I think I should take it off.,案内係できる,I can lead the way.,からめていきましょう,Let's mix it up.
素直に思えたので,It seemed honest to me.,沈んじゃうよ,It’s going to sink.,かわいそうに,"poor thing, what a pity"
現実なのか 何なのか,Is this real? What is it?,掛け替えのない関係かもと思って,I thought it might be irreplaceable.,簡単でヘルシーで美味しい鍋,"Easy, Healthy and Delicious Hot Pot"
普通の恋愛ではないですもんね,This is not ordinary dating.,海って危ないよね,The ocean is dangerous.,改めて言われると恥ずかしい,I'm embarrassed to say it again.
よく言われるんですけどね,I got told that a lot.,絶妙に混ざりあって,Exquisitely mixed.,対面授業を受けに行った,I went to take a face-to-face class.
ドヤ顔してるつもりないんですけど,"I don't mean to be smug, but...",食べ過ぎだろ,You eat too much.,一番奥の席を確保しました,I got a seat at the far end.
もしかしたら思っているから,Maybe because I'm thinking it.,そんなやり方あったんだ,I didn't know that was how it was done.,そんなに苦手なら買わなきゃいいのに,"If you're that bad at it, you shouldn't buy it."
内心成功したぜ,I've succeeded on the inside.,いつもきな粉零しちゃうんだよ,I always spill soybean flour.,一緒に行こう,Let's go together
送っていただけると嬉しいです,I would appreciate it if you could send it to me.,絡めようとして,I'm just trying to mix it together.,彼は何度も繰り返して言った,He said it over and over
お待ちしております,We'll be waiting for you.,火を起こしていきたいと思います,I'd like to make a fire.,その手紙を３回も繰り返し読んだ,I read the letter three times
ボタンから送ることもできます,You can also send it via the button,オシャレ感が増しました,It's more stylish.,単語を繰り返して書く,Write the word repeatedly.
温泉にやってきました,We came to the hot springs.,映えを意識した設置となっております,The installation is designed to look good.,透けちゃった,It's transparent.
雪が残ってますね,There's still snow.,火がついてきました,It's catching fire.,透けちゃうのか,It's transparent?
あらかじめカットしておく,Cut them in advance.,薪を持ってきてくれました,He brought me some firewood.,奥に入っちゃいました,I'm in the back.
今度やってみようかな,Maybe I'll try it next time.,本気で照れる,It's really embarrassing.,こういう見方じゃないですか？,Isn't this how you see it?
飽きたし,I'm tired of it.,順調に炎は燃え上ってきています,The flame is burning steadily.,座ってやってみますか,Shall we sit down and try?
焚き火して,Make a bonfire.,消えたなあ,It's gone.,肩甲骨は離れて広がっている,Shoulder blades spread apart.
夜更かししたり,And staying up late.,火吹き棒で再熱を試みる,Trying to reheat with a fire blowtorch,右を向く,Turn to the right.
女性に向いた仕事,A job suitable for a woman ,そのホテルは海に向いている,The hotel faces the sea.,後ろを向いて彼を見る,Look back at him. 
では早速館内を散策してみましょう,Let's take a walk around the building at once,その窓は庭に向いている,The window opens onto the garden.,南を向いた部屋,A room facing south 
昨夜から今朝にかけて,from last night till this morning,新しい事業計画につき,about the new business plan,食べようか食べまいか,to eat or not
日本の歴史について,about Japanese history,値上がりす るそうだ,the price is going up,それに加え,in addition to this
例のとおりに,as usual,今日より,from today,元気がないようだ,doesn’t look well
おみやげに買ってきてくれる,they buy it as a souvenir,寝ているうちに,while asleep,忘れないうちに,before forgetting something
年のせいか,perhaps because of one's age,休ませていただきます,we will take a break,飲もうではないか,why don’t we drink
けい気き が悪いせいで,because of a bad temper,とても忙しい,very busy,苦汁を飲まされた,had a bitter experience
はっきりしていて読みやすい,clear and easy to read,思いどおりに,as one likes,話し合おうではないか,let's talk about it
分からないようでは,if you can't understand it,信じたおかげで,thanks for believing.,やがて雨になるかもしれない,it might rain eventually
その件に関しましては,as for that matter,損をせずに済んだ,didn't lose any money,使わずに済みました,didn’t have to use it
閉めるよりほかない,no choice but to close it,よくまとまっている,well organized,そうせざるを得ない,no choice but to do that
わずかに遅れている,slightly delayed,このごろ物忘れがひどい,been forgetful these days,間違いだらけ,full of errors
申し込み手続きに関して,in relation to application procedures,進みつつある,be in progress,旅行のたびに,every time I travel
面接に際して,on the occasion of interview,残高不足につき,due to insufficient balance,なかなか予定どおりに,as planned
延期せざるを得ないだろう,no choice but to postpone,みんなが迷惑している,everyone is annoyed,つい要い らないものまで買ってしまう,I end up buying things I don't need
作って驚かせよう,make it and surprise them!,去年より,from last year,わずかに減った,slightly reduced
購入するに際して,when you purchase,言うとおりに,as someone says,原因かもしれない,might be the cause
守っていこうではないか,let us protect it,次々と建てられている,being built one after another,昼間に比べて,compared to daytime
あの人のせいで,because of that man,この記き事じについて,about this sign,定休日につき,due to the regular holiday
わずに右に曲がっている,slightly bends to the right,掲載しようかすまいか,to publish or not,楽しみに待っています,looking forward to it!
黒板に書いたとおりに,as written on the blackboard,飛び回っている,flying around,面接を受けるに先立って,prior to the interview
信頼するよりほかはない,have no choice but to trust.,引き落としできません,cannot be debited,道は石ころだらけ,the road is full of stones
気のせいか,is it just my imagination?,暗くならないうちに,before it gets dark,合併計画が進められている,merger plans are underway
来週の水曜日より,from next Wednesday,進路について,about career paths,手伝ってくれたおかげ,thanks for the help
やがて到着するでしょう,they will arrive eventually,使えないようでは,if you can't seem to use it,大学生を中心とする,focused on college students
暮らしやすい,easy to live in,結婚しようかするまいか,to get married or not,若く見られることが多い,fften looks younger
文法の間違いが少ないことに加え,In addition to fewer grammatical errors,テレビを見ているうちに,while watching tv,気候が温暖なせいか,perhaps it's because of the mild climate
寒さが厳しいそうだ,I hear it's cold,駅前を中心に,centered in front of the station,活躍を聞くたびに,every time I hear about your success
なかなか思ったとおりに,not quite as expected,引っ越しに際して,upon moving,諦めざるを得ない,no choice but to give up
面接にあたり,on the occasion of an interview,面接の際に,during the interview,ずいぶん大きくなっていた,It had grown a lot
暗くなる前に,before it gets dark,解決できないようでは,if you can't seem to solve it,電車が出てしまった,the train has left
九州北部から中部にかけて,from northern to central Kyushu,申し込むに際して,when applying,激しい雨が降り続いた,heavy rains continued
テストに加えて,In addition to the test,環境問題に関する,relating to environmental issues,切符を買っているうちに,while buying a ticket
これからご説明いたします,let me explain now,肩から腰にかけて,from the shoulders to the waist,歩いていくよりほか仕方がない,no choice but to walk
値上がりに加え,In addition to price increases,待たずに済みました,didn't have to wait,医療技術の進歩のおかげで,thanks to advances in medical technology
