W1,R1,T1,W2,R2,T2,W3,R3,T3,W4,R4,T4
千,せん,thousand,化学,かがく,chemistry,曖昧,あいまい,ambiguous,協会,きょうかい,association
前,まえ,before,加える,くわえる,add,茹でる,ゆでる,boil,協議,きょうぎ,discussions
足,あし,legs,加わる,くわわる,join,贅沢,ぜいたく,luxury,協調,きょうちょう,cooperation
大学,だいがく,university,家具,かぐ,furniture,ためらう,ためらう,hesitate,協定,きょうてい,agreement
大人,おとな,adult,火曜,かよう,tuesday,騙す,だます,pull the wool over eyes,強める,つよめる,ramp up
男,おとこ,man,会合,かいごう,meeting,剃る,そる,shave,強硬,きょうこう,hard
男の子,おとこのこ,boy,会費,かいひ,membership fee,いや,いや,no,強行,きょうこう,forced
長い,ながい,long,回す,まわす,turn,頬,ほお,cheek,強制,きょうせい,forced
天気,てんき,weather,回転,かいてん,rotate,ある,ある,be,強烈,きょうれつ,strong
電気,でんき,electricity,絵画,かいが,painting,籠,かご,basket,教え,おしえ,lesson
電車,でんしゃ,electric train,外交,がいこう,diplomacy,せっかく,せっかく,with much effort,教科,きょうか,subject
電話,でんわ,phone,確かめる,たしかめる,confirm,たびたび,たびたび,frequently,教訓,きょうくん,lesson
東,ひがし,east,確実,かくじつ,certainty,匂い,におい,odor,教材,きょうざい,teaching materials
道,みち,road,学期,がっき,semester,吠える,ほえる,bark,脅迫,きょうはく,intimidation
読む,よむ,read,額,がく,amount,まれ,まれ,rare,郷土,きょうど,hometown
南,みなみ,south,活気,かっき,lively,かかる,かかる,take,驚き,おどろき,surprise
二,に,two,活動,かつどう,activities,せい,せい,because of,驚異,きょうい,marvel
二つ,ふたつ,two,活用,かつよう,exercise,つまり,つまり,in short,業者,ぎょうしゃ,trader
日本語,にほんご,japanese,感じ,かんじ,feeling,ふもと,ふもと,at the foot,業績,ぎょうせき,performance
入る,はいる,come in,感じる,かんじる,feel,あちこち,あちこち,here and there,業務,ぎょうむ,business
入れる,いれる,put in,感情,かんじょう,emotions,あれこれ,あれこれ,this and that,極めて,きわめて,extremely
買う,かう,buy,感心,かんしん,impressed,おじさん,おじさん,uncle or mister,極端,きょくたん,extreme
白,しろ,white,感動,かんどう,impressed,あら,あら,fault,勤務,きんむ,work
白い,しろい,white,観客,かんきゃく,audience,うろうろ,うろうろ,urouro,勤労,きんろう,labor
半,はん,half,観光,かんこう,sightseeing,うんざり,うんざり,fed up,均衡,きんこう,equilibrium
半分,はんぶん,half,丸,まる,round,おや,おや,oh,緊急,きんきゅう,emergency
百,ひゃく,hundred,岸,きし,shore,すっきり,すっきり,clean,近郊,きんこう,suburbs
父,ちち,father,岩,いわ,rock,せめて,せめて,at least,区,く,ward
分,ふん,minutes,期間,きかん,period,下り,くだり,downhill,区間,くかん,section
母,はは,mother,期待,きたい,expectations,下車,げしゃ,get off,区切り,くぎり,separation
北,きた,north,気温,きおん,temperature,何しろ,なにしろ,after all,空間,くうかん,space
本,ほん,book,記事,きじ,article,学年,がくねん,school year,群,ぐん,group
毎週,まいしゅう,weekly,記者,きしゃ,reporter,月日,つきひ,time,軍事,ぐんじ,military
毎日,まいにち,every day,記入,きにゅう,enter,見学,けんがく,field trip,軍備,ぐんび,army
名前,なまえ,name,記録,きろく,record,見出し,みだし,heading,傾ける,かたむける,tilt
木,き,wood,逆,ぎゃく,reverse,見本,みほん,sample,傾斜,けいしゃ,inclined
来る,くる,come,逆らう,さからう,against,高める,たかめる,increase,刑,けい,penalty
来月,らいげつ,next month,休息,きゅうそく,rest,出入り,でいり,going in and out,契機,けいき,opportunity
来週,らいしゅう,next week,急速,きゅうそく,rapid,出来上がる,できあがる,it's done,形成,けいせい,formation
来年,らいねん,next year,求める,もとめる,demand,小学生,しょうがくせい,elementary school student,形態,けいたい,form
話す,はなす,talk,旧,きゅう,old,上り,のぼり,uphill,掲げる,かかげる,raise
何,なに,what,強調,きょうちょう,emphasis,上る,のぼる,climb,掲載,けいさい,published
何,なん,what,教科書,きょうかしょ,textbook,上下,じょうげ,up and down,携帯,けいたい,cell phone
魚,さかな,fish,禁止,きんし,ban,水分,すいぶん,moisture,系,けい,system
九,きゅう,nine,金額,きんがく,amount of money,生ずる,しょうずる,occurs,経る,へる,go through
行く,いく,go,金庫,きんこ,safe,生年月日,せいねんがっぴ,birthday,経緯,けいい,background
今日,きょう,today,金曜,きんよう,friday,前,ぜん,before,経過,けいか,progress
今年,ことし,this year,区別,くべつ,distinction,前後,ぜんご,before and after,経費,けいひ,expenses
三,さん,three,苦しい,くるしい,baffling,大気,たいき,atmosphere,経歴,けいれき,career
四,よん,four,苦しむ,くるしむ,suffer,大小,だいしょう,big and small,経路,けいろ,route
十,じゅう,ten,苦手,にがて,weak point,大木,たいぼく,large tree,茎,くき,stem
人,ひと,man,計算,けいさん,calculation,中間,ちゅうかん,intermediate,警戒,けいかい,be vigilant
店,みせ,shop,欠ける,かける,missing,中年,ちゅうねん,middle aged,軽減,けいげん,mitigation
八,はち,eight,欠点,けってん,disadvantage,長女,ちょうじょ,eldest daughter,劇団,げきだん,theatrical company
毎年,まいとし,every year,決心,けっしん,decision,長男,ちょうなん,eldest son,激励,げきれい,encouragement
万,まん,ten thousand,決定,けってい,decision,東西,とうざい,east and west,欠く,かく,lack
六,ろく,six,月曜,げつよう,monday,南北,なんぼく,north-south,決意,けつい,determination
言う,いう,to tell,県,けん,prefecture,日の出,ひので,sunrise,決議,けつぎ,resolution
大きい,おおきい,big,言語,げんご,language,日時,にちじ,date and time,決算,けっさん,settlement
聞く,きく,listen,語る,かたる,talk,入社,にゅうしゃ,joined the company,決勝,けっしょう,final
国,くに,country,公平,こうへい,fair,分,ぶん,minutes,決断,けつだん,decision
立つ,たつ,stand,向く,むく,facing,毎,まい,every,結核,けっかく,tuberculosis
出かける,でかける,go out,向け,むけ,intended for,来日,らいにち,come to japan,結晶,けっしょう,crystal
話,はなし,story,向ける,むける,turn,下ろす,おろす,take down,結成,けっせい,formed
分かる,わかる,understand,幸い,さいわい,fortunately,何となく,なんとなく,somehow,結束,けっそく,unity
母さん,かあさん,mother,幸福,こうふく,happiness,がる,がる,go,血管,けっかん,blood vessels
父さん,とうさん,dad,高速,こうそく,high speed,うんと,うんと,yeah,健全,けんぜん,healthy
時,じ,time,号,ごう,issue,それなのに,それなのに,even so,圏,けん,category
日,にち,day,合わせる,あわせる,match,小,しょう,small,検事,けんじ,prosecutor
年,ねん,year,合計,ごうけい,total,しばしば,しばしば,often,権威,けんい,authority
いる,,are,合図,あいず,sign,以後,いご,after that,権限,けんげん,authority
人,にん,man,国王,こくおう,king,意地悪,いじわる,mean,権力,けんりょく,power
お茶,おちゃ,tea,黒板,こくばん,blackboard,引き分け,ひきわけ,draw,見地,けんち,viewpoint
悪い,わるい,bad,今回,こんかい,this time,映る,うつる,reflected,基,もと,basic
暗い,くらい,dark,根,ね,root,英文,えいぶん,english,元年,がんねん,first year
意味,いみ,meaning,混ぜる,まぜる,mix,屋外,おくがい,outdoor,原型,げんけい,prototype
医者,いしゃ,doctor,才能,さいのう,talent,下町,したまち,shitamachi,原作,げんさく,original
引く,ひく,pull,作物,さくもつ,produce,下品,げひん,vulgarity,原子,げんし,atom
映画,えいが,movie,参加,さんか,participation,家屋,かおく,house,原則,げんそく,principle
英語,えいご,english,残り,のこり,remaining,海洋,かいよう,ocean,原点,げんてん,origin
遠い,とおい,far,思想,しそう,thought,開会,かいかい,opening,原爆,げんばく,atomic bomb
音楽,おんがく,music,指す,さす,point to,学会,がっかい,society,原油,げんゆ,crude oil
夏,なつ,summer,指導,しどう,guidance,学力,がくりょく,academic ability,厳密,げんみつ,strictly
夏休み,なつやすみ,summer vacation,試し,ためし,trial,帰す,かえす,return,減少,げんしょう,decrease
家族,かぞく,family,試す,ためす,try,休業,きゅうぎょう,closed,源,みなもと,source
火曜日,かようび,tuesday,事実,じじつ,fact,強引,ごういん,forcible,現行,げんこう,current
会う,あう,meet,事情,じじょう,circumstances,強気,つよき,strong,現地,げんち,local
回,かい,times,時期,じき,season,近代,きんだい,modern,言論,げんろん,speech
海,うみ,sea,自身,じしん,own,金魚,きんぎょ,goldfish,限定,げんてい,exclusive
開ける,あける,open,自然,しぜん,nature,空中,くうちゅう,air,個性,こせい,individuality
楽しい,たのしい,fun,式,しき,formula,言い出す,いいだす,break the ice,個別,こべつ,individual
寒い,さむい,cold,実,み,fruit,工事,こうじ,construction,古代,こだい,ancient
漢字,かんじ,kanji,実は,じつは,actually,広める,ひろめる,spread,固める,かためる,harden
帰る,かえる,go home,実験,じっけん,experiment,行事,ぎょうじ,event,固定,こてい,fixed
起きる,おきる,get up,実行,じっこう,execution,行方,ゆくえ,whereabouts,固有,こゆう,unique
牛肉,ぎゅうにく,beef,取り出す,とりだす,take out,国立,こくりつ,national,孤児,こじ,orphan
去年,きょねん,last year,取り消す,とりけす,cancel,作者,さくしゃ,author,孤独,こどく,loneliness
強い,つよい,strong,取り上げる,とりあげる,take up,仕上がる,しあがる,finished,孤立,こりつ,isolation
教える,おしえる,teach,取れる,とれる,can be taken,使い,つかい,use,戸籍,こせき,family register
教室,きょうしつ,classroom,守る,まもる,protect,死体,したい,cadaver,故,こ,late
近い,ちかい,near,手術,しゅじゅつ,surgery,私立,しりつ,private,故人,こじん,deceased
近く,ちかく,shortly,手伝い,てつだい,help,写る,うつる,be reflected,後退,こうたい,recession
金曜日,きんようび,friday,首相,しゅしょう,prime minister,手前,てまえ,foreground,護衛,ごえい,escort
銀行,ぎんこう,bank,首都,しゅと,capital,集まる,あつまる,get together,交互,こうご,alternate
兄さん,にいさん,brother,受け取る,うけとる,receive,重たい,おもたい,heavy,交渉,こうしょう,negotiation
兄弟,きょうだい,brother,州,しゅう,state,重なる,かさなる,overlap,交付,こうふ,delivery
軽い,かるい,light,終える,おえる,finish,重ねる,かさねる,stack,公,おおやけ,public
月,つき,moon,集会,しゅうかい,rally,重力,じゅうりょく,gravity,公演,こうえん,performance
月曜日,げつようび,monday,集中,しゅうちゅう,concentration,出場,しゅつじょう,participation,公然,こうぜん,openly
建物,たてもの,building,宿,やど,inn,上品,じょうひん,elegant,公団,こうだん,public corporation
犬,いぬ,dog,出身,しゅっしん,person's origin,心理,しんり,psychology,公認,こうにん,official
元気,げんき,energy,書物,しょもつ,book,真っ先,まっさき,first,公募,こうぼ,public advertisement
ご飯,ごはん,cooked rice,書類,しょるい,document,真空,しんくう,vacuum,公用,こうよう,official
好き,すき,like,助かる,たすかる,be saved,人事,じんじ,human resources,公立,こうりつ,public
広い,ひろい,wide,助ける,たすける,help,水着,みずぎ,swimsuit,効率,こうりつ,efficiency
考える,かんがえる,think,助手,じょしゅ,assistant,生意気,なまいき,saucy,口頭,こうとう,oral
黒,くろ,black,女王,じょおう,queen,青少年,せいしょうねん,youth,向上,こうじょう,improvement
黒い,くろい,black,勝負,しょうぶ,game,送料,そうりょう,postage,いい加減,いいかげん,sloppy
有る,ある,there is,商売,しょうばい,business,大学院,だいがくいん,grad student,好ましい,このましい,preferable
作文,さくぶん,composition,商品,しょうひん,merchandise,大工,だいく,carpenter,好意,こうい,good feeling
仕事,しごと,work,小麦,こむぎ,wheat,題名,だいめい,title,好調,こうちょう,strong
使う,つかう,use,消費,しょうひ,consumption,知人,ちじん,acquaintance,好評,こうひょう,popular
始まる,はじまる,begin,場面,ばめん,scene,地質,ちしつ,geology,工学,こうがく,engineering
姉,あね,sister,常に,つねに,always,地味,じみ,sober,工作,こうさく,work
姉さん,ねえさん,unnie,植物,しょくぶつ,plant,地名,ちめい,place name,巧み,たくみ,skillful
止まる,とまる,stop,食物,しょくもつ,food,着せる,きせる,dress up,巧妙,こうみょう,clever
死ぬ,しぬ,die,新た,あらた,new,中古,ちゅうこ,second hand,抗議,こうぎ,protest
私,わたし,me,身,み,body,中世,ちゅうせい,middle ages,拘束,こうそく,restraint
持つ,もつ,have,身長,しんちょう,height,注,ちゅう,note,控える,ひかえる,refrain
時計,とけい,clock,身分,みぶん,status,転がる,ころがる,roll over,控除,こうじょ,deduction
自転車,じてんしゃ,bicycle,進める,すすめる,advance,電力,でんりょく,electric power,構える,かまえる,hold
自動車,じどうしゃ,car,進学,しんがく,go on to higher education,東洋,とうよう,oriental,構想,こうそう,concept
自分,じぶん,myself,進歩,しんぽ,progress,同時,どうじ,simultaneous,洪水,こうずい,flood
質問,しつもん,question,人物,じんぶつ,person,特色,とくしょく,spot color,耕作,こうさく,cultivation
写真,しゃしん,photo,人類,じんるい,human race,特長,とくちょう,features,考古学,こうこがく,archeology
借りる,かりる,borrow,数える,かぞえる,count,日帰り,ひがえり,day trip,航海,こうかい,voyage
弱い,よわい,weak,数字,すうじ,numbers,年度,ねんど,year,行為,こうい,action
手紙,てがみ,letter,正確,せいかく,correct,売店,ばいてん,store,行進,こうしん,march
秋,あき,autumn,正式,せいしき,official,売買,ばいばい,buying and selling,行政,ぎょうせい,government
習う,ならう,learn,正直,しょうじき,honest,発電,はつでん,power generation,講習,こうしゅう,short course
住む,すむ,live,生き物,いきもの,creatures,発売,はつばい,release,購入,こうにゅう,purchase
重い,おもい,heavy,生物,せいぶつ,organism,飯,めし,food,鉱業,こうぎょう,mining
春,はる,spring,生命,せいめい,life,着ける,つける,wear,鉱山,こうざん,mine
始め,はじめ,start,実に,じつに,really,文体,ぶんたい,style,高まる,たかまる,increase
暑い,あつい,hot,石炭,せきたん,coal,歩,ほ,ayumu,高原,こうげん,plateau
少ない,すくない,few,石油,せきゆ,oil,方言,ほうげん,dialect,合意,ごうい,agreement
乗る,のる,get on,選手,せんしゅ,player,毎度,まいど,every time,合間,あいま,in between
色,いろ,colour,前進,ぜんしん,advance,名作,めいさく,masterpiece,合唱,がっしょう,chorus
食べ物,たべもの,food,全,ぜん,all,目安,めやす,rough indication,合成,ごうせい,synthetic
食堂,しょくどう,dining,全く,まったく,not at all,目下,めした,inferior,合致,がっち,match
新しい,あたらしい,new,全員,ぜんいん,everyone,問い,とい,question,国交,こっこう,diplomatic relations
図書館,としょかん,library,全身,ぜんしん,whole body,夕日,ゆうひ,sunset,国産,こくさん,domestic
水曜日,すいようび,wednesday,全体,ぜんたい,whole,料,りょう,fee,国防,こくぼう,national defense
青,あお,blue,全力,ぜんりょく,all one's power,力強い,ちからづよい,powerful,国有,こくゆう,state-owned
青い,あおい,blue,組み立てる,くみたてる,assemble,近々,ちかぢか,soon,国連,こくれん,united nations
赤い,あかい,red,組む,くむ,assemble,真っ白,まっしろ,pure white,黒字,くろじ,surplus
切る,きる,cut,組合,くみあい,union,弟子,でし,disciple,込める,こめる,can be put in
切手,きって,stamp,相手,あいて,partner,品,ひん,goods,昆虫,こんちゅう,insect
洗う,あらう,wash,相当,そうとう,equivalent,方々,かたがた,persons,根拠,こんきょ,basis
走る,はしる,run,息,いき,breath,映す,うつす,reflect,根本,こんぽん,root
早い,はやい,early,速度,そくど,speed,売れ行き,うれゆき,sales,根底,こんてい,underlying
多い,おおい,many,太陽,たいよう,sun,会館,かいかん,hall,差額,さがく,difference
多分,たぶん,perhaps,身体,しんたい,body,代える,かえる,replace,詐欺,さぎ,scam
太い,ふとい,thick,体温,たいおん,body temperature,貸し出し,かしだし,lending,再会,さいかい,reunion
待つ,まつ,wait,対,たい,versus,代わる,かわる,replace,再建,さいけん,reconstruction
貸す,かす,lend,代表,だいひょう,representative,着々,ちゃくちゃく,steadily,再現,さいげん,reproduction
台所,だいどころ,kitchen,単なる,たんなる,mere,真っ黒,まっくろ,black,再生,さいせい,reproduction
大きな,おおきな,big,単に,たんに,simply,元々,もともと,originally,再発,さいはつ,recurrence
大好き,だいすき,like very much,単語,たんご,word,空き,あき,openings,最善,さいぜん,best
