Sentences,Translation
ホテルまでに車に乗せてくれませんか。,Will you give me a ride to my hotel?
バスは乗客を乗せるために止まった。,The bus stopped to take up passengers.
明日の朝立ち寄ってあなたを車に乗せていきましょう。,I'll come by and pick you up tomorrow morning.
彼は金沢行きの列車に乗った。,He got on a train bound for Kanazawa.
その一件はめでたく落着するだろう。,The affair will come to a happy conclusion.
その用件は明日まで待てますか。,Can the matter wait till tomorrow?
そちらの条件を受け入れましょう。,We will accept your conditions.
この案件をどう処理するか、君に下駄を預けるよ。,I'm just going to leave it up to him to figure out how to clean up this mess.
交通事故の件数が増加している。,There has been an increase in the number of traffic accidents.
その事件によって彼の勇敢さが試された。,That incident put his courage to the test.
利用条件を予告なしに変更することがあります。,Terms of use may be changed without notice.
彼らは労働条件を改善したがっている。,They want to better their working conditions.
無条件でその計画に同意した。,We agreed to the plan without qualification.
適合率とは取り出した記事のうち、どの程度の記事が検索条件に合っているかを示す指標です。,The precision ratio is an index that indicates how many articles meet the search criteria out of all of the articles retrieved.
私は高校の全課程を修了した。,I completed the whole high school curriculum.
私は修学旅行を大変楽しみにしている。,I am looking forward very much to the school excursion.
彼女は３年前に修士の学位をとりました。,She got a master's degree three years ago.
研修会は午後４時開始の予定。,The training session is scheduled to begin at 4 p.m.
体育の授業は全員が必修です。,The physical fitness courses are required for everyone.
失礼ですが御提案を修正させていただきます。,I beg to modify your proposal.
私は彼に時計を修理させた。,I had my watch mended by him.
その城は修復され市民に公開されている。,The castle has been restored and is open to the public.
私は彼女がスカートを修繕しているのに気づいた。,I found her mending a skirt.
その本はいちばん下の棚に置いてください。,Put the book on the bottom shelf.
専門家はその絵に高い評価を下した。,Experts put a high valuation on the painting.
７時から８時の間に電話してください。,Please call me up between seven and eight.
彼が階下に降りて来るのが聞こえた。,We heard him come downstairs.
お茶の質は下がりつつある。,The quality of tea is going down.
その店では傷物の値段を４０パーセント下げた。,They marked the damaged goods down by 40%.
いつ来てくださっても準備はできています。,I'm ready whenever you may come.
私は毎朝銀座で地下鉄に乗る。,I get on the subway every morning at Ginza.
彼はスーツにあう靴下を選んだ。,He selected a pair of socks to match his suit.
地下はショッピング街です。,There is a shopping district underground.
廊下は大変混雑していたので歩けなかった。,The corridor was so crowded that we couldn't walk.
今朝は零下３度以下だった。,The thermometer stood at three degrees below zero this morning.
この国では出生率が急速に低下している。,The birthrate is rapidly declining in this country.
学生でも下宿させてもらえますか。,Do you take in students?
彼は叔母さんの家に下宿していた。,He boarded with his aunt.
下痢をしています。,I have diarrhea.
その事故は下手な運転のせいだった。,The accident was due to bad driving.
この時計は非常に価値がある。,This watch is of great value.
この表の数値は千単位で示されている。,The figures in this table are shown in thousands.
周波数の平均値は振幅の増大にしたがって減じる。,The mean value of the frequency decreases with increasing amplitude.
その店は値段が高いので有名だ。,The store is notorious for charging high prices.
この本は読む値打ちがあるとおもう。,I think this book is worth reading.
彼女は値切るのがうまいんだ。,She's good at bargaining the price down.
価格を値引きする店もあります。,Some stores discount the price.
冬は新鮮な野菜は高値である。,Fresh vegetables are very dear in winter.
彼の提案は考慮に値する。,His proposal is worthy to be considered.
その論文は注意深く研究するのに値する。,The article deserves careful study.
社会の価値観はその伝統の中に反映されている。,A society's values are reflected in its traditions.
たまには偏差値の高い人とレベルの高い会話してみたい。,I like to have a deep conversation with a more academic person from time to time.
バス代が２０％値上げになった。,The bus fares have been raised by 20 percent.
４月から公共料金が値上げになる。,Public utility charges will go up next April.
学校は授業料の値上げを発表した。,They announced an increase in tuition fees.
来月から家賃を値上げします。,We will increase the rent next month.
東京証券取引所は後場の終わり値になって持ち直しました。,The Tokyo Stock Exchange rallied at the end of the day.
嵌められた気がしてならない。,I can't help but feel like I'm being set up.
そうするといやが上にも美しく見える。,That makes you even more attractive.
そうするとよけい傷をとがめるよ。,It will aggravate the wound.
そうすると金がその２倍かかるだろう。,It would cost twice as much as that.
彼は会う人ごとに話しかけた。,He spoke to whomever he met.
２時間毎に局部を湿布しなさい。,Apply a compress to the affected part every two hours.
電車は３０分ごとに走っている。,The train runs every thirty minutes.
食前ごとにこの薬を飲みなさい。,Take this medicine before each meal.
そのうわさは果たして本当だろうか。,Can the rumor be true?
これははたして彼の書いた物だろうか。,Can this be his writing?
夏は来たがやがて去る。,"As the summer has come, so it will go."
物価はやがて上がるだろう。,Prices will rise in course of time.
秘密はやがて明らかになるだろう。,The secret will emerge in due course of time.
やがて彼が部屋に入ってきた。,Before long he came into the room.
彼の顔は怖そうに見える反面声は優しくおだやかだった。,"In contrast to his frightening looks, his voice was kind and calm."
彼はいわゆる天才ではない。むしろ彼は努力家なのだ。,"He is not what is called a genius. Rather, he is a hard worker."
彼の研究はいわゆる事実に基づいている。,His study is based on what is called fact.
これはいわゆる斬新なアイデアです。,"This is what we call a ""brand new idea""."
彼が貧しいからといって不幸だということにはならない。,"Just because he is poor, it does not follow that he is unhappy."
体積が大きいからといって常に重量も重いとは限らない。,Great bulk does not always mean great weight.
おいしいからといってなんでも食べ過ぎてはいけない。,You must not eat too much of anything because it tastes good.
彼女が美しいからといって彼女を好きなわけではない。,It is not because she is beautiful that I like her.
生徒はみんな校則を知っていることになっている。,Every pupil is supposed to know the school regulations.
今晩小さなパーティーをひらくことになっている。,We are giving a small party this evening.
今は焦らずに時を待つべきだ。,We should not be rash now; we should wait for a good chance.
英語を習得する努力を続けるべきだ。,You should persist in your efforts to learn English.
君は彼に本当のことを言うべきだった。,You should have told him the truth.
書籍が学問に従うべく、学問が書籍に従うべからず。,"Books must follow sciences, and not sciences books."
