Time,Subtitle,T1,T2
9:09,24… 24です,-How old are you? -I'm… I'm 24.,I'm 24.
9:12,（真愛）19歳です （拓斗）あっ 19…,-I'm 19. -You're 19?,"（I'm 19. -Oh, 19?"
9:15,（拓斗）若い,You're young.,（You're young
9:17,（拓斗） “どうやって出会うのかな？”って 考えたんですけど,I was wondering how we're going to meet.,"（I was thinking, ""How will we meet?"" I've been thinking about it."
9:21,まあ やっぱ 全然 予想はつかなくて…,how we're going to meet. It was difficult to imagine.,But I couldn't predict it at all.
9:25,こんな形で会うとは 思わなかったっすね,I didn't think we would meet this way.,I didn't think we'd meet like this
9:28,振り返った瞬間に 誰もいなくて １人だったじゃないですか,The moment I looked back I saw there was no one but me and him.,"The moment I turned around, there was no one there. I was alone."
9:33,２人しかいない状況で…,There were only two of us there.,With only the two of us...
9:36,“はっ？”みたいな “この人か！”みたいな 思って,"It was like, ""What?"" ""Oh, that's him."" My heart started beating so fast","I was like, ""What?"" I was like, ""Oh, it's him!"" I thought."
9:39,その瞬間 もう バクバクですよね ドキドキして…,My heart started beating so fast at that moment. I got so nervous.,"At that moment, my heart was racing. I was so nervous."
9:45,ちょっと話したんですけど 何も覚えてないです,"I talked with him a little, but I don't remember anything.","We talked a little, but I don't remember anything."
9:51,（スタッフ） これ 真愛さんに新たな日記です,This is a new diary for you.,"（This is a new diary for you, Ma'ai."
9:53,はい,Yes.,Here.
9:55,（スタッフ）この日記は 真愛さんだけの 日記なので,"This is only for you, Maai.","（This diary is only for you, Maa."
9:57,彼は この日記の 存在を知りません,He doesn't know the contents. THROUGHOUT THEIR RELATIONSHIP,He doesn't know this diary exists.
10:05,はい,Okay.,Okay.
10:08,（ナレーション） どんなに 気持ちが動いても,"Even if you begin to have feelings for him,
10:10	未来日記が 終わるまで 彼に“好き”と伝えてはいけない	do not tell him that you like him until the end of The Future Diary.",（No matter how I feel...
10:17,分かりました,I understand.,I understand.
10:19,隠すってことですよね？,"So I have to hide my feelings, right?","You mean you're going to hide it, right?"
10:26,えっ 顔に出ちゃったら…,What if it shows on my face?,What? If it shows on my face...
10:29,ダメですよね？,"I can't, right?","That's not good, right?"
10:32,分かりました,I understand. START OF A SECRET,I understand.
10:39,（サーヤ）“秘密の始まり”だって うわ～ 何これ？,Start of a Secret. What's that?,（It's the beginning of a secret. What's this?
10:43,（DAIGO(ダイゴ)）始まりましたね,"Well, it started.",（It's starting.
10:45,（鷲見玲奈(すみれいな)）始まった,It sure did.,（It's started.
10:46,（DAIGO）ついに,Finally.,（Finally.
10:47,（鷲見）や～ なに！ もう すでに キュンキュン,Already feeling butterflies.,（What? It's already making my heart pound.
10:49,（DAIGO）そうなんですよ,"Exciting, isn't it?",（That's right.
10:50,（サーヤ）映画じゃん,It's like a movie.,（It's a movie.
10:52,ねえ （鷲見）ドラマチックな スタートだったな～,-I thought so too. -Such a dramatic beginning.,It's a movie. -It had a dramatic start.
10:55,びっくりしましたけど,-I thought so too. -Such a dramatic beginning. It was a surprise.,I was so surprised.
10:57,まあ 改めていうとですね,Let's recap what's happened.,I'll say this again.
10:59,この番組は,"In this program, we will see",This show is...
11:00,日記に書かれた ドラマのような状況に,"In this program, we will see people get thrown into scenes",This show is about a man and a woman who are thrown into a dramatic situation written in a diary.
11:02,放り込まれた男女は,written in a diary.,Will the man and woman who were thrown into the dramatic situation
11:03,本当に恋に落ちるのかを 見ていく,We're going to find out,We're going to see if they really fall in love.
11:06,恋愛リアリティ番組です,if they will actually fall in love.,It's a romance reality show.
11:08,（サーヤ･鷲見）ハア～,-Wow. -Wow.,（What?
11:10,（ＤＡＩＧＯ） ちょっと これ,"From the start,",（This is...
11:11,初っ端から きてない？　相当,it was so great. Almost like a movie trailer.,Isn't this a bit much from the start?　Quite a bit.
11:13,（佐藤大樹(さとうたいき)） 映画の予告みたいな 始まりから,Almost like a movie trailer. And then,（It starts off like a preview for a movie.
11:15,そして 運命の出会いまで,the fateful encounter.,And then we meet our destiny.
11:17,ちょっと ドキドキしましたね,It gave me a thrill.,I was a little nervous.
11:19,（ＤＡＩＧＯ） 確かに するよね すごいな～,"-I know, right? -Amazing.",（That's true. It's amazing.
11:22,しかも 未来日記の 間でしか会えないし,They meet only through this show.,"And you only get to see him during the events of ""Mirai Nikki."
11:24,（サーヤ） 会えないんですよね 連絡も もちろん 取れないっていう,"-They can't, right? -They can't communicate.","（They can't see each other, and of course they can't get in touch."
11:26,すごい人の心を揺さぶる 企画じゃないですか,What an emotionally stressful project it is.,It's an inspiring project.
11:31,（DAIGO） 未来日記で会うときにだけ使える スマホを渡しているという,They're given smartphones to use only for this.,（He's giving her a phone that she can use only when they meet in the Future Diary.
11:34,（佐藤）あっ 専用のスマホを？ （DAIGO）スマホ,-Only for this show? -Yes.,（A special phone? （A smartphone.
11:37,（サーヤ） この令和で連絡先交換できないって もう おかしいですもんね,"In this day and age, it's abnormal not to exchange numbers.",（It's strange that they can't exchange contact information.
11:41,逆に それが 燃え上がる可能性あるよね,"But maybe because of that, they'll fall in love.","On the contrary, that could be a turn-on."
11:44,会えないとき ずっと相手のこと 考えちゃいますもんね,Thinking about him is all you can do.,"When you can't see someone, you're always thinking about them."
11:47,“何してるんだろう？”とか,"Like, ""What's he doing now?""","""I wonder what he's doing."" Or..."
11:48,（DAIGO） そう　連絡取れないんだもん,"Yes, because you can't contact him.",（That's right. You can't get in touch.
11:50,一番 これが,"Overall,",This is the most.
11:52,ちょっと 酷かも しれないですけれども,the hardest part might be,"It may be a little harsh, but"
11:55,最後には 必ず別れがやってくる,having to separate at the end.,"In the end, there's always a goodbye."
11:57,（サーヤ）それですよね これですよ,-I agree. -Yes.,"（That's right, this is it."
11:59,なんか すごい素敵な映像で だまされてますけど,"We're deceived by the beautiful scenes,","It's a beautiful image, but it's deceiving."
12:02,めちゃくちゃ 残酷なんじゃ ないですか？　これって,but isn't this pretty cruel?,"But it's really cruel, isn't it?　Isn't this..."
12:05,（鷲見）“最後に別れる”っていう 結末が決まってて,"If the end of the relationship is predetermined,",（The ending is predetermined. They're going to break up at the end.
12:08,“好きになろう”ってなります？,will you have feelings?,Would you want to like him?
12:10,どうなんだろうね？,I don't know.,I wonder.
12:12,（鷲見）どうせ 私 別れるなら,"If we had to break up at the end,",（If I'm going to break up with him anyway.
12:14,なんか 最初から 好きになるのつらいし,"it would be too sad to have feelings for him,","If I'm going to break up with someone, it's hard to fall in love with them from the start."
12:16,“好きにならないでおこう”って なっちゃう気がする,so I probably wouldn't.,I don't think I'd want to fall for him.
12:18,（DAIGO）なっちゃう？ （鷲見）私は （DAIGO）傷つくもんね だってね （鷲見）傷つく,It's too hard. You don't want your heart broken.,（You would? （I'd be hurt. -I'd be hurt.
12:22,（DAIGO）そう,Yes.,（Yes.
12:22,ということでね 今回の主人公 改めてね ご紹介しましょう,Now I want to introduce -the couple chosen for this project. -Yes.,"So, let's introduce our main characters again."
12:27,選ばれた２人⸺,-the couple chosen for this project. -Yes.,The two chosen ones.
12:29,仲宗根真愛さんと 若松拓斗君ですね,-Maai Nakasone… -Maai. -and Takuto Wakamatsu. -Takuto.,Maa Nakasone and Takuto Wakamatsu
12:34,（サーヤ） 沖縄と北海道って また両極端ですよね,"From Okinawa and Hokkaido, -opposite sides of the country. -Exactly.","（Okinawa and Hokkaido are two extremes, aren't they?"
12:38,普通に過ごしてたら 会わなそうな ２人というか…,It's very unlikely they would meet in real life.,They're two people you wouldn't see if you lived a normal life.
12:41,（鷲見） この19歳のときの ５個上で,"For a 19-year-old, a guy who's",（She's five years older than me at 19.
12:43,しかも 相手 社会人って,five years older with a job,And he's working.
12:45,結構 年上で 大人っていう感じに 思う気がします,"would seem like a very grown-up, adult person.",I feel like he's older and more mature.
12:49,（佐藤）いや でも 絶対に ひげは そって正解だと思います,I think it was a good idea to remove the beard.,（But I think it's definitely the right decision to shave his beard.
12:52,（サーヤ）ええ～,What?,（What?
12:52,えっ？ （DAIGO）拓斗君でしょ？ （佐藤）拓斗さん,"-Takuto's beard, right? -Yes.","What? （Takuto, right? （Takuto..."
12:54,（鷲見） ええ～ 私 ひげあり好きです,"No way! -I like beards. -Us guys,",（I like him with a beard
12:57,（DAIGO）男性陣は ひげそって正解なんですよ,"-I like beards. -Us guys, we know it was a good idea.",（The guys were right about the beard.
13:01,ひげそらないほうが よかった派でしょ？,You girls wanted him to keep it?,You're in the camp that prefers him without it
13:03,（サーヤ） ひげあってほしかった派です （佐藤）え～,-I wanted him to keep the beard. -Really?,（I'm in the camp that wanted him to have a beard.
13:05,ワイルド支持派です （DAIGO）ワイルド支持派？ （サーヤ）はい,-I like the wild look. -Me too. I like the wild look.,I'm in the wild camp. -Wild camp? （Yes.
13:08,ひげ 胸毛 全部オーケーです （３人の笑い声）,Chest hair's cool too.,"Beard, chest hair, everything's okay."
13:11,（DAIGO）胸毛までね （サーヤ）はい,-All okay? -Yes.,（Even chest hair. -Yes.
13:13,（鷲見） でも 真愛ちゃんの反応見ると,We saw Maai's first reactions. Her heart was pounding.,（But seeing Maa's reaction...
13:15,最初 すごいドキドキしてる感じ あったじゃないですか,We saw Maai's first reactions. Her heart was pounding. She was nervous.,You seemed really nervous at first.
13:18,ドキドキすると やっぱ そういう サプライズ… “つり橋効果”って いうじゃないですか,"You meet someone like that, you're bound to fall.","When you're nervous, surprises like that... have what's called the ""suspension bridge effect."""
13:22,好きになっちゃう気がする,It's the Suspension Bridge effect. Girls are susceptible to it.,I feel like I'll fall for him.
13:23,女の子 そういうの弱いから,Girls are susceptible to it.,Girls are weak against that kind of thing.
13:25,（DAIGO）じゃあ 生まれるね （鷲見）生まれますよ,Then it's love.,（So it'll happen. -It will.
13:26,（サーヤ）なに 断定？,It's decided?,（What are you saying?
13:28,（２人）生まれてほしい,-You hope so. -I hope so.,（I want you to be born.
13:43,（ナレーション） ２人は横浜のカフェで 初めて お互いの事を話した,You talk for the first time at a cafe in Yokohama. JULY 1,"（At a cafe in Yokohama, the two of them talked about each other for the first time."
13:50,（真愛）えっ すごい （拓斗）すげえ,-This place is incredible. -Yes.,"（Wow, wow. -Wow."
13:55,ハア… まだ緊張します？,Still nervous?,Are you still nervous?
13:58,めっちゃ… えっ してないんですか？,Totally. You're not?,You're not?
14:00,（拓斗）いや さ… 最初よりは,Not like at first.,"（No, it's better than the first time"
14:03,（真愛）いや,Really?,（No...
14:07,緊張しすぎて…,I'm just too nervous.,I'm too nervous.
14:09,（拓斗）そうですよね （真愛）はい,I understand though.,（That's right. -Yes.
14:11,（拓斗）普通だったら緊張するよね,Any normal person would be.,"（Normally, I'd be nervous"
14:19,あれっ お名前 もう一度 いいですか？,What's your name again?,Can I ask your name again?
14:20,ま… 真愛です 真愛ちゃん？,-It's Ma-a-i. -Maai?,I'm Ma'ai. Ma'ai?
14:23,（拓斗）拓斗です （真愛）拓斗さん,I'm Takuto.,（I'm Takuto Takuto
14:25,（真愛）お願いします,Okay.,（Please do
14:26,19歳ですもんね？,You're 19?,"You're 19, right?"
14:29,若いな,That's young.,You're young.
14:30,まあ でも 24なんで 僕も まだ若いかな,"Well, I'm 24. I consider myself still pretty young.","Well, I'm 24, so I guess I'm still young"
14:34,（拓斗）分かんないですけど （真愛）いや 若いですよ 若いですよね？,-I don't know. -You are young.,"（I don't know, but... -You're young, aren't you?"
14:36,（真愛）たぶん （２人）ハハハハッ…,I think.,（Probably.
14:39,（真愛）最初 名前 言い合ったじゃないですか,I know we introduced ourselves when we first met.,（We told each other our names at first.
14:42,全く覚えてなくて （拓斗） だよね？　俺も覚えてなかった,-But I don't remember it at all. -Me neither.,I don't remember any of it. -That's right.　I couldn't remember either.
14:45,（真愛）緊張しすぎて 覚えてないみたいな あの瞬間は ちょっと無理だった,-I was too nervous. -That moment was too intense.,（I was so nervous that I couldn't remember It was a little hard to remember at that moment
14:54,あっ 飲み物 何にする？,Our drinks? What would you like?,"Oh, what would you like to drink?"
14:58,アイスティーで,I'd like an iced tea.,Iced tea.
15:00,アイスティー１つと,-One iced tea -Yes.,One iced tea and...
15:04,アイスコーヒーで,"and iced coffee, please.",And an iced coffee.
15:05,（店員）はい かしこまりました,Sure.,"（Yes, ma'am."
15:06,お願いします,Thank you.,I'll take care of it
15:09,ドキドキ （拓斗）すごいっすね,-This is so exciting. -This is amazing.,I'm so excited! -That's amazing!
15:16,（拓斗）えっ どうする？　敬語,About honorifics. What should we do?,（What should we do?　Respectful
15:20,でも 徐々にじゃないと無理か,Do you need more time?,But it'll have to be gradual
15:22,（真愛）いや いけます （拓斗）いける？,"-No, it's fine. -Okay?","（No, it's okay. -It's okay?"
15:24,じゃあ 敬語なくそう,Let's talk without it.,Then let's lose the honorifics
15:25,あっ そういうことか… そういうこと そういうこと？,"Oh, I thought I needed to use honorifics. -I just thought it would be better to… -Okay.","Oh, that's how it is... that's how it is?"
15:28,（拓斗）逆 逆 逆,-I just thought it would be better to… -Okay.,"（On the contrary, on the contrary"
15:30,あっ “タメで”ってことですか？,As if we're the same age?,"Oh, you mean ""just call me""?"
15:33,いいかなって…,Yes.,I was thinking...
15:35,（拓斗）分かる？ （真愛）うん,I would like that.,（Do you understand? （Yeah
15:36,（拓斗）急には 無理かもしんないけどさ,It might be hard at first.,"（It may be impossible to do so suddenly, but..."
15:38,（真愛）いや 大丈夫　大丈夫 （拓斗）大丈夫？,-So gradually. -I can do it.,"（No, it's okay. It's okay. -Are you okay?"
15:43,（真愛）何されてるんですか？,What do you do?,（What are you doing?
15:44,（拓斗）一応 お仕事ですよね？ （真愛）はい,"-You mean, for work? -Yes.","（You're working, right? （Yes"
15:47,お仕事は 料理人,I work as a cook.,My job is as a chef
15:49,（真愛）へえ～,Wow.,"（Oh, really?"
15:50,どこ出身です？ （拓斗）北海道です,-Where are you from? -Hokkaido.,Where are you from? （I'm from Hokkaido
15:52,えっ ええ！,Wow!,"Oh, really?"
15:54,（拓斗）えっ 北海道？,Hokkaido?,（What? Hokkaido?
15:56,（拓斗）沖縄？ （真愛）うん （拓斗）おおっ すっげえ端と端,"-No, Okinawa. -Okinawa?","（Okinawa? （Yeah. -Wow, that's so far out."
15:58,北海道？,-Opposite ends of Japan. -Hokkaido?,Hokkaido?
16:00,あっ 北海道… めっちゃ こんなじゃないですか？,Hokkaido! Our hometowns are so far apart.,"Oh, Hokkaido... it's really like this, isn't it?"
16:04,端と端 （真愛）え～ ヤバい,-One at each end of the country. -That's crazy.,"It's so far and wide. -Oh, no!"
16:07,すごいね,That's wild.,It's amazing
16:08,へえ～,Wow.,Wow
16:10,（拓斗）沖縄いいね 沖縄 行きたくて…,I always wanted to go to Okinawa.,（Okinawa's nice. I've been wanting to go to Okinawa...
16:12,えっ…,You did?,What?
16:13,（拓斗） なんか “家族旅行 行く”って なったんだよ,"Once, we went on a family trip.",（We've decided to go on a family trip
16:17,俺の家族 ５人家族なんだけど,My family has five family members.,My family's a family of five
16:20,（真愛）おんなじ （拓斗）おんなじ？,Me too. You too?,（The same. -The same?
16:22,（拓斗）５人家族？ （真愛）うん,Five family members?,（A family of five? （Yeah
16:23,（拓斗）兄弟３人？ （真愛）３人 （拓斗）だよね？,-Three siblings? -Yes.,"（You have three brothers? （Three. -Three, right?"
16:26,（拓斗） …で “家族旅行 行きます”って なって,So we were going to go on a family trip.,（And then they said they were going on a family trip
16:29,“どこ行く？”ってなって “沖縄”ってなって 結果的に,We decided to go to Okinawa.,"""Where do you want to go?"" And then, ""Where are we going?"" And then, ""Okinawa,"" and then..."
16:32,…で “じゃあ 行こうか”って なったんだけど,When we were about to go…,"So we said, ""Let's go then."""
16:36,俺んち 犬がたくさんいて 犬をたくさん飼ってて,-we own a lot of dogs. -Cool.,We have a lot of dogs. We have a lot of dogs.
16:41,だから “犬をどうする？”って なったときに,So who would care for the dogs?,"So when it came down to, ""What should we do with the dogs?"" So when it came down to, ""What do we do with the dogs?"
16:44,最終的に“俺が家に残る”,I ended up staying home.,"I finally said, ""I'll stay home."""
16:46,“そのほかの家族が 全員 沖縄に旅行 行く”って,-What? -The rest of my family went to Okinawa.,"""And the rest of the family will go on a trip to Okinawa."""
16:49,つらっ…,"-Oh, no. -So I'm the only one",It was hard...
16:50,（拓斗）だから 俺だけ 唯一 沖縄に行けてない,"-Oh, no. -So I'm the only one who couldn't go.",（That's why I'm the only one who hasn't been to Okinawa
16:54,逆に 雪 見たことないです,I'm the opposite. I've never seen snow.,"On the other hand, I've never seen snow"
16:56,（拓斗）あっ そうなの？ （真愛）うん マジで見たことない,"-Oh, really? -I'm serious.","（Oh, really? （Yeah, I've seriously never seen it"
16:58,（拓斗）沖縄 降らないよね 絶対に （真愛）降らないから…,"Okinawa, -it never snows there? -No.","（It never snows in Okinawa, right? -No, it never does"
17:01,機械が出した雪みたいなのは 見たことがあるけど,You know machines that make snow? -Yes. -That's the only snow I've ever seen.,I've seen snow made by a machine
17:06,本当の雪は見たことない,I've never seen real snow.,But I've never seen real snow
17:09,（拓斗）へえ～ じゃあ 北海道 雪しかないから,"In Hokkaido, all there is is snow.","（Oh, really? Then there's only snow in Hokkaido"
17:13,冬なんて もうすごいよ,"In winter, it snows everywhere.",Winter is going to be amazing
17:15,（真愛）ヤバそう,I thought so.,（Looks awful
17:16,めちゃくちゃ寒い,It's crazy cold.,It's so cold
17:18,北海道から 昨日 来たんですか？,Did you come from Hokkaido yesterday?,Did you come from Hokkaido yesterday?
17:20,（拓斗）ううん,"No, I didn't come from Hokkaido",（No.
17:21,北海道から上京してきて,"No, I didn't come from Hokkaido because I live in Tokyo now.","No, I just moved to Tokyo from Hokkaido"
17:25,（真愛）あっ なるほど （拓斗）そう １年半前かな へえ～,"-Oh, I see. -Since about a year and a half ago.","（I see. -Yeah, about a year and a half ago."
17:29,…で 今は レストランで料理やってて…,Now I work at a restaurant. -Wow. -As a cook.,And now I'm cooking at a restaurant.
17:34,上京したいって気持ちは めっちゃある,I want to move to Tokyo too.,I've always wanted to move to Tokyo.
17:36,（拓斗）ある？,You want to?,（You do?
17:37,うん　行きたいなって 思ってるけど…,"Yes. Someday, I want to.","Yeah, I'd like to, but..."
17:41,そっか,I see.,I see.
17:44,今は もちろん 好きな人とかは いないわけじゃん？,"right now, you don't have a boyfriend, right?","Of course, you don't have anyone you like right now, right?"
17:51,初っ端から聞くけどさ 好きなタイプとかはさ どうなの？,It might be a bit early but I'm going to ask you anyway. What's your type?,"I'm going to ask you right off the bat, but what's your type?"
17:57,（真愛）タイプ？ （拓斗）うん （拓斗）異性に対して,-Type? -Type of guys you like.,（My type? （Yeah. -The opposite sex.
17:59,えっ…,What?,What?
18:02,タイプ？,Type…,My type?
18:03,（拓斗）タイプ… どうだろう？ 求めるものとか,What do you look for in boyfriends?,（I don't know... What are you looking for?
18:07,やっぱ 話しやすい人がよくて,I guess someone who's easy to talk to. Yes.,I'm looking for someone who's easy to talk to
