W1,W2,W3,W4,W5,W6,W7,W8
来週,通学する,三角,五倍,三時,岩山,入れ物,小川
前進,手話,月賦,午後,話し手,前途,来す,税金
雨天,万策,盟友,父兄,読み物,真っ白,大男,男っぽい
数千,音読,本土,円熟,楽天的,火星,雨漏り,先行
雨具,屋外,谷川,十八番,食費,毎期,充電,百川
案外,語る,休講する,腕白,七面鳥,左記,食器,母国語
南東,明白,美男,読みにくい,停車,東京発,日本語,北陸
川瀬,父子,雨量,水筒,右端,堀川,養父母,六花
左足,車掌,先ほど,樹木,火器,木々,真の友,午前零時
車輪,先端,左上,北西,円陣,父方,出土,左肩
校庭,登校,電流,火元,電線,右下,先天的,外れる
北西,粘土,西南,川端,千倍,食いちぎる,読み方,お父さま
六大,雨季,第九,右翼,義母,母港,南極点,川流れ
百選,風聞,潔白,用語,東向き,乗車,先天的,自転車
先頭,北東,四時,西口,六種,聴聞,左前,天気予報
八十,滝川,六情,千葉県,八方,俗語,半々,土建屋
友好,円形,円周,万難,西日,天文学,毎号,千秋楽
北海,南海,火の気,転校,万雷,西遊,右傾,面白い
白状,八つ当たり,正午,四球,醜聞,万来,草木,雨垂れ
単語,悪友,祖父母,一天地六,白鳥,北面,北口,校門
聞き手,西風,新聞記事,七味,川下,四輪車,開校,南半球
読本,毎秒,外科,見聞,校歌,南寄り,西部,食う
端午,左折,東南,天辺,次男,半値,四半期,四捨五入
火遊び,千円札,毎分,食用,優先,午年,万年,西洋人
長男,食物,海水浴,全土,真北,食中毒,百態,円相場
食料,九天,八丁,男児,語気,野外,川下り,八幡
半球,火の手,母校,外部,百度,校則,火葬,発電
風土,天災,汽車,電灯,休業,電卓,除外,半袖
毎時,八百長,七宝,九折,南米,秒読み,保母,水蒸気
万物,敗北,語学,東岸,噴水,百足,千円札,火事
祖父母,水源,東経,真っ先,雨降り,休息,暮れ六つ,新聞紙
休憩する,休養する,右目,毎食,毎々,勤め先,九生,九州弁
円卓,山男,半数,子午線,四つ角,十七日,下水,東側
電球,七草,百万,休止する,父祖,水準,自動車,万々
九分,四本,食卓,左目,外観,六百,青白い,右舷
座右,亭午,大木,戦友,午前様,土器,午後一,毎冬
水平,半径,万国,半減,半額,類友,北斗七星,遊び友達
四方,叔母,千尋,歯車,土木,雨宿り,東証,読み書き
父母,右腕,北側,南下,左官,十八,休校,休会
七色,庭木,天井,百景,枯れ木,男優,千生り,七不思議
木工,六時,読み取る,雨曇,九時,楕円形,八方美人,木の葉
南方,電波,義父,母乳,友愛,九角形,新聞,外国語
