Connectives,Adverbials,Na.Adjectives,I.Adjectives,Adverbs,Onomatope,Interrogatives
,,素直,弱い,わずかに,,
,,丁寧,黒い,ずいぶん,,
,,幼稚,遠い,少し,,
,,主要,薄い,あまり,,
,,盛ん,狭い,ぜんぜん,,
,,余計,素晴らしい,なかなか,,
,,直,珍しい,まあまあ,,
,,重大,寂しい,あらかじめ,,
,,急速,冷たい,初めに,,
,,曖昧,寒い,今,,
,,正式,恐ろしい,まだ,,
,,奇妙,忙しい,まもなく,,
,,知的,細い,まれに,,
,,微か,恥ずかしい,また,,
,,真っ直ぐ,悲しい,もう,,
,,深刻,宜しい,昔,,
,,貴重,濃い,最後,,
,,微妙,苦しい,最近,,
,,有力,熱い,最初,,
,,可哀想,細かい,先に,,
,,純粋,太い,先ほど,,
,,新規,偉い,さっき,,
,,穏やか,速い,すぐに,,
,,公的,鋭い,少し,,
,,熱心,青い,たびたび,,
,,素敵,仕方無い,しばしば,,
,,強力,厚い,しょっちゅう,,
,,法的,親しい,すでに,,
,,密か,暑い,次に,,
,,透明,幼い,よく,,
,,独特,相応しい,やがて,,
,,高等,久しい,ずっと,,
,,不可欠,有り難い,そう,,
,,身近,固い,どう,,
,,豊富,物凄い,もう,,
,,有利,懐かしい,こう,,
,,優秀,丸い,良く,,
,,稀,貧しい,未だ,,
,,活発,硬い,少し,,
,,夢中,著しい,余り,,
,,頻繁,きつい,直ぐ,,
,,不要,怪しい,唯,,
,,大幅,煩い,矢張り,,
,,滅多,不味い,何故,,
,,偉大,温かい,先ず,,
,,強烈,汚い,例えば,,
,,増し,素早い,詰まり,,
,,真っ赤,望ましい,全く,,
,,鮮やか,危ない,一寸,,
,,新鮮,悔しい,若し,,
,,不当,柔らかい,特に,,
,,急激,等しい,勿論,,
,,私的,大人しい,既に,,
,,肝心,暖かい,一番,,
,,特有,堅い,初めて,,
,,グローバル,めでたい,可成,,
,,単独,軟らかい,色々,,
,,無数,浅い,最も,,
,,適正,凄まじい,迚も,,
,,巧み,黄色い,もっと,,
,,バラバラ,情けない,必ず,,
,,気の毒,,沢山,,
,,早め,,当然,,
,,広大,,猶,,
,,順調,,幾ら,,
,,最適,,はっきり,,
,,不法,,ずっと,,
,,厳密,,直接,,
,,大胆,,暫く,,
,,異様,,まあ,,
,,柔軟,,中々,,
,,性的,,決して,,
,,健全,,軈て,,
,,俄か,,如何に,,
,,強引,,寧ろ,,
,,華やか,,丸で,,
,,別々,,一杯,,
,,顕著,,恐らく,,
,,的確,,結構,,
,,スムーズ,,嘗て,,
,,丈夫,,再び,,
,,密接,,略,,
,,迅速,,多分,,
,,シンプル,,僅か,,
,,忠実,,正に,,
,,大袈裟,,兎に角,,
,,緩やか,,確り,,
,,無縁,,極めて,,
,,率直,,急度,,
,,賑やか,,ゆっくり,,
,,漠然,,元々,,
,,明白,,突然,,
,,爽やか,,ちゃんと,,
,,温暖,,宜しく,,
,,愚か,,丁度,,
,,人的,,漸く,,
,,真っ白,,きちんと,,
,,対等,,遂に,,
,,前向き,,仮令,,
,,露わ,,漸と,,
,,有害,,是非,,
,,惨め,,全然,,
,,間近,,随分,,
,,過激,,飽くまで,,
,,器用,,すっかり,,
,,速やか,,どんどん,,
,,気楽,,改めて,,
,,ビッグ,,じっと,,
,,無難,,極く,,
,,柔らか,,単に,,
,,安易,,行成,,
,,陽気,,やや,,
,,著名,,言わば,,
,,気軽,,つい,,
,,猛烈,,益々,,
,,自在,,取り敢えず,,
,,然様,,次々,,
,,呆然,,最早,,
,,簡易,,兎も角,,
,,真っ暗,,屡,,
,,上品,,一層,,
,,鮮明,,ふと,,
,,同等,,一旦,,
,,明瞭,,大抵,,
,,密,,成る程,,
,,厳格,,どうぞ,,
,,真っ黒,,同じく,,
,,端的,,愈,,
,,粗末,,偶に,,
,,執拗,,段々,,
,,ぼろぼろ,,却って,,
,,滑らか,,まさか,,
,,平ら,,折角,,
,,未熟,,態々,,
,,切,,無論,,
,,内的,,大いに,,
,,モダン,,余程,,
,,良好,,幸い,,
,,一様,,偶々,,
,,平然,,忽ち,,
,,細やか,,取り分け,,
,,安価,,そっと,,
,,尋常,,敢えて,,
,,頑固,,直ちに,,
,,厳重,,そろそろ,,
,,過度,,未だ未だ,,
,,円滑,,主に,,
,,壮大,,早速,,
,,淡々,,凡そ,,
,,格別,,予め,,
,,外的,,果たして,,
,,広範,,成る可く,,
,,ユニーク,,たっぷり,,
,,猥褻,,況して,,
,,劇的,,一見,,
,,公然,,何しろ,,
,,適度,,ほっと,,
,,ドライ,,斯く,,
,,ハッピー,,ぼんやり,,
,,単一,,とんでも,,
,,巧妙,,今更,,
,,手軽,,只管,,
,,スロー,,些か,,
,,深々,,そっくり,,
,,露骨,,どうせ,,
,,抜群,,せめて,,
,,定か,,到頭,,
,,控えめ,,態と,,
,,明快,,大分,,
,,多彩,,さっぱり,,
,,希薄,,ぴったり,,
,,旺盛,,専ら,,
,,巨額,,一向,,
,,存分,,精々,,
,,着実,,大して,,
,,細か,,頻り,,
,,多大,,ひょっと,,
,,良質,,固より,,
,,唐突,,依然,,
,,クール,,仲良く,,
,,質的,,恰も,,
,,大まか,,時折,,
,,強硬,,到底,,
,,無残,,あっさり,,
,,裕福,,すっきり,,
,,大嫌い,,さっと,,
,,愕然,,然程,,
,,謙虚,,現に,,
,,濃厚,,度々,,
,,強固,,正しく,,
,,暢気,,のんびり,,
,,悪質,,じっくり,,
,,ロマンチック,,ぎりぎり,,
,,不可解,,矢鱈,,
,,パブリック,,はっと,,
,,大きめ,,さっさと,,
,,あからさま,,生き生き,,
,,まめ,,次いで,,
,,窮屈,,無理矢理,,
,,確固,,ゆったり,,
,,朧,,案外,,
,,多め,,即,,
,,緊密,,悉く,,
,,無闇,,ともあれ,,
,,早急,,散々,,
,,冷ややか,,早々,,
,,怪訝,,ぱっと,,
,,大雑把,,こっそり,,
,,物的,,所詮,,
,,頑丈,,にこり,,
,,切実,,ちらっと,,
,,勇敢,,辛うじて,,
,,格段,,ぐっと,,
,,気掛かり,,がっかり,,
,,盛大,,今一,,
,,別個,,尚更,,
,,長閑,,どきどき,,
,,量的,,にこにこ,,
,,裏腹,,いっそ,,
,,整然,,しょっちゅう,,
,,下品,,些とも,,
,,可憐,,甚だ,,
,,黙々,,当面,,
,,小まめ,,元来,,
,,茫然,,そこそこ,,
,,手頃,,きっぱり,,
,,混沌,,割と,,
,,唖然,,逸早く,,
,,虚ろ,,きっちり,,
,,繁華,,熟,,
,,丹念,,ぐるぐる,,
,,高め,,予て,,
,,天晴,,直様,,
,,簡素,,うんざり,,
,,劣等,,ひっそり,,
,,悠々,,大層,,
,,大々,,ちらり,,
,,美妙,,ぴんと,,
,,寛大,,ふっと,,
,,しなやか,,すっと,,
,,にこやか,,きらきら,,
,,利口,,一歩,,
,,有数,,殊更,,
,,安らか,,何せ,,
,,クリーン,,突如,,
,,心的,,ずばり,,
,,零細,,ごろごろ,,
,,周到,,見る見る,,
,,自由,,にやり,,
,,積極的,,うやむやに,,
,,共通,,殊に,,
,,緊急,,宛ら,,
,,複雑,,当分,,
,,,,自ずと,,
,,,,程,,
,,,,普通,,
,,,,特別,,
,,,,正直,,
,,,,一番,,
,,,,事実,,
,,,,偶然,,
,,,,現在,,
,,,,自然,,
,,,,屡々,,
,,,,余り,,
,,,,大勢,,
,,,,迚も,,
,,,,いつも,,
,,,,一寸,,
,,,,どうして,,
,,,,近く,,
,,,,丁度,,
,,,,初めて,,
,,,,色々,,
,,,,段々,,
,,,,真っ直ぐ,,
,,,,以上,,
,,,,決して,,
,,,,十分,,
,,,,一生懸命,,
,,,,必ず,,
,,,,最近,,
,,,,最初,,
,,,,昔,,
,,,,今度,,
,,,,途中,,
,,,,一度,,
,,,,場合,,
,,,,大抵,,
,,,,特に,,
,,,,例えば,,
,,,,大体,,
,,,,ほとんど,,
,,,,きっと,,
,,,,しばらく,,
,,,,確り,,
,,,,到頭,,
,,,,これから,,
,,,,それ程,,
,,,,偶に,,
,,,,なるほど,,
,,,,ちっとも,,
,,,,成るべく,,
,,,,当時,,
,,,,通り,,
,,,,なにか,,
,,,,なにも,,
,,,,最も,,
,,,,突然,,
,,,,只,,
,,,,結局,,
,,,,大いに,,
,,,,全然,,
,,,,更に,,
,,,,既に,,
,,,,常に,,
,,,,いっそう,,
,,,,是非,,
,,,,無事,,
,,,,恐らく,,
,,,,全体,,
,,,,終日,,
