Words,Meaning,Sentence
てほしい ,I need you to,私はあなたに英語を教えて欲しい。
ていく,"to go on, to start, to continue ",物語はゆっくりと展開していく。
ているところ,in the process of doing,私は対策を考えているところだ。
ていた,was doing something,私の手は震えていた。
ていただけませんか,could you please,成田空港駅までいくらかかるか教えてもらえませんか。
てくれる,to do something for me or somebody’s sake,父が私に授業料を送ってくれる。
てくる,"to come to, to become, to continue",台風が近づいてきくる。
てみる,to try to,彼女をデートに誘ってみる。
ても,"even if, even though",弟は4時間しか眠らなくても、元気だ。
てもらう,to get somebody to do something,頭が痛かったので、私は医者に診断してもらった。
ておく,to prepare something for future,私が晩ご飯を作っておく。
てしまう,"to do something by accident, to finish completely",私はいつも本を読んでいるうちに眠ってしまう。
てすみません,I’m sorry for,ご迷惑をかけてすみません。
てよかった,I’m glad that,あなたが怪我がなくてよかった。
と,"if, when, and",熱すると水は蒸気に変わる。
と〜と、どちらが,which one,太陽と地球とではどちらが大きいですか。
ということ,changes a sentence or phrase into a Noun,私たちの課題は人手不足であるということだ。
といってもいい,"you could say, you might say",彼は一流の作家であると言ってもいい。
といわれている,it is said that,魚は健康にいいと言われています。
とか〜とか,"among other things, such as",私は包丁とかなべとか台所用品を持参する。
とき,"when, at the time",私は勉強する時に眼鏡をかける。
ときいた,I heard that,私はその会議が成功したと聞いた。
ところ,"about to, on the verge of",私はコートを脱いだところだ。
とみえる,it seems that,夜遅く雨が降ったと見える。
とおもう,"I think, you think",改善が必要だと思う。
つづける,to continue,彼女は日本語を学ぶ努力し続ける。
やすい,"easy to, likely to",ここでは天気は変わりやすい。
より,than,今朝は昨日の朝より寒い。
よていだ ,"plan to, intend to",今年も私は北海道を旅する予定だ。
ようだ,"it seems that, it appears that, it looks like",顧客はとても満足しているようだ。
ように,"as, like, just like",私はあなたが娘であるように感じる。
ような,"as, like, just like",彼女はまるで私の姉のような話し方をする。
ようになる,to reach the point that,毎日練習したので泳げるようになった。
ようにする ,"to try to, to make sure that",私は健康のために野菜を食べるようにしている。
ようとおもう,I think I will,私は一生懸命その仕事をやろうと思う。
ぜんぜん,not at all,彼女は政治については全然興味がない。
おう,volitional verb form,図書館に行こうと思ってる。
聞こえる,to be able to hear,隣の部屋で電話がなっているのが私には聞こえる。
聞く,to listen,電車で音楽を私は聞く。
見える,"is visible,to be able to see",私は部屋の窓から海が見える。
見られる,to be able to watch,その動物園では珍しい動物が見られる。
遅れる,to be late,私は仕事に遅れる。
遅刻する,to be late,彼は会社に遅刻した。
もらう,to receive,私は友達からハガキをもらった。
もらう,to have someone do something,私は兄に本棚をつくってもらった。
あげる,to give,兄が車をあなたに買ってあげるよ。
くれる,to give,知らない人が私にリンゴをくれた。
召し上がる,"to eat, to drink",どうぞご自由に果物を召し上がってください。 
拝見する,"to see, to look",午後、売り上げに関する分析データを拝見します。
伺う,"to ask, to inquire, to call",退職すると伺いました。
頂く,"to receive, to accept, to take",昨日、お客様にお土産をいただきました。
存じる,"to think, to feel",ご一緒したいと存じます。
せられる,to be made to do something (causative-passive),私たちは空港で長い間待たされた。
られる,verb potential form,彼らはとても辛い料理が食べられる。
あいだ,"while, during, all the time in that period",夏休みの間、ずっと実家にいるつもりです。
あいだに,"while, during, in that period",休みの間に、日本語を復習するつもりです。
から〜まで,from~until,昼休みは１２時から1時までです。
まま,"as it is, unchanged condition",コンタクトレンズをつけたまま寝てしまった。
ために,in order to,漢字を覚えるために、ノートに繰り返し書いています。
あまり,"too much, due to a condition or state being in excess, a result occurs",激痛のあまり、私は思わず叫び声をあげた。
あまりに ,"so much... that, too much, excessively",最近あまりに暑すぎる。
ば〜ほど,the more... the more...,この本は読めば読むほど面白くなる。
ばいい,"should, can, it’d be good if",もっと時間があればいい。
ばかり,"only, nothing but",子供たちはテレビを見てばかりいる。
ばかりだ,just continue to,私の体重は増えるばかりだ。
ばかりでなく,"not only... but also, as well as",このレストランは味が悪いばかりでなく、店員の態度もひどい。
ばかりか,"not only... but also, as well as",今日は気温が高いばかりか湿度も高い。
ばかりに,"because, on account of",寝過ごしたばかりに私は学校に遅刻した。
ばよかった,should have,あなたは外出する前に、火を消しておけばよかった。
べきだ,"must do, should do",この映画は絶対に観るべきだ。
おりに,whenever there is an occasion,このことは今度お目にかかった折に詳しくお話しいたします。
さいに,"when, on the occasion of",非常の際はエレベーターを使わずに、階段をご利用ください。
にさいして,"when, on the occasion",来日に際していろいろな方のお世話になった。
とき,when,母は本を読むとき、めがねをかけます。
ながら,while,わたしはいつも料理の本を見ながら料理を作ります。
あいだ,"throughout the time, during, while",わたしは夏の間、ずっと北海道にいました。
あいだに,"during, when",夏休みの間に引っ越ししたいです。
ところだ,about to,時刻は間もなく3時になるところです。
において,"in, at",式典は会館において行われる予定。
にあたって,on the occasion of,新学期にあたって、皆さんに言っておきたいことがあります。
うちに,"before you know it, while, before",今は上手に話せなくても練習を重ねるうちに上手になります。
さいちゅうに,in the middle of,会議の最中にいねむりを始めてしまった。
つつ,while,電車に揺られつつ、2時間ほどいい気持ちで眠った。
にあって,"in, at",今、日本は経済成長期にあって、人々の表情も生き生きとしている。
まえに,before,食事の前に手を洗いましょう。
あとで,after,食事の後で、少し散歩しませんか。
て,then,電気を消して、部屋を出ます。
てから,after,この仕事をぜんぶやってからビールを飲みます。
てから,since,わたしが日本に来てから、もう4年たちました。
たばかりだ,"just finished, just did",去年日本に来たばかりなので、まだ敬語がじょうずに使えません。
たら,after ,夏休みになったら、国へ帰ります。
うちに,while,独身のうちに、いろいろなことをやってみたいです。
にさきだって,"as a precursor to, before, prior to",出発に先立って、大きい荷物は全部送っておきました。
にさきだって,"as a precursor to, before, prior to",首相が日本を訪問するに先立って両国の政府関係者が打ち合わせを行った。
たとたん,"at the same time, as soon as",ずっと本を読んでいて急に立ち上がったとたん、めまいがしました。
とともに,"together with, no sooner than",ベルが鳴るとともに、子どもたちはいっせいに運動場へ飛び出した。
かとおもうと ,"as i was thinking, no sooner than",うちの子どもは学校から帰ってきたかと思うと、いつもすぐ遊びに行ってしまう。
か~ないかのうちに,just barely when,彼はいつも終了のベルが鳴ったか鳴らないかのうちに、教室を飛び出していく。
しだい,"as soon as, the moment that",スケジュールが決まり次第、すぐ知らせてください。
てからでないと,not until after,野菜を生で食べるなら、よく洗ってからでないと、農薬が心配だ。
てはじめて,it is or was not until that,入院してはじめて健康のありがたさがわかりました。
うえで,"after having, on top of",詳しいことはお目にかかった上で、説明いたします。
うえで,"for, in order to",有意義な留学生活を送る上での注意点は下記のとおりです。
ていらい,ever since,大学を卒業して以来、田中さんには1度も会っていません。
がはやいか,"no sooner than, as soon as",小田先生はチャイムが鳴るが早いか、教室に入ってきます。
てからは,ever since,先月、禁煙してからは、1度もたばこを吸っていません。
やいなや,"no sooner than, the moment that",そのニュースが伝わるや否や、たちまちテレビ局に抗議の電話がかかってきた。
なり,as soon as,子どもは母親の顔を見るなり、ワッと泣き出しました。
そばから,just as soon as,小さい子どもは、お母さんがせんたくするそばから、服を汚してしまいます。
てからというもの,from the time,たばこを止めてからというもの、食欲が出て体の調子がとてもいい。
からいうと,judging from,教師のわたしの立場からいっても、試験はあまり多くない方がいいのです。
からすると,from the standpoint of,米を作る農家からすると、涼しい夏はあまりありがたくないことだ。
