Words,Meaning,Sentences,Translation
恥ずかしい,"embarrassing, embarrassed, ashamed, humiliated, shy",彼女は恥ずかしさで顔を赤らめた。,She blushed with shame.
バス,bus,市内までいくバス乗り場は、どこですか。,Where's the bus for the city?
印象,impression,私の印象ではそれは非常によい。,My general impression is that it is very good.
ありがたい,"grateful, thankful, welcome, appreciated, evoking gratitude",どんなインプットでもいただければありがたいです。,Any input would be appreciated!
たいてい,"mostly, ordinarily, usually, generally",私はたいてい朝食に果物を食べる。,I mostly have fruit for breakfast.
年齢,"age, years",彼は年齢相応に振る舞う。,He acts his age.
教室,"classroom, department, laboratory",ほとんど全ての生徒が教室の中にいた。,Almost all of the pupils were in the classroom.
グラス,glass (drinking vessel),シャンパンがグラスの中で泡立った。,The champagne bubbled in the glass.
予定,"plans, arrangement, schedule, program, programme, expectation, estimate",来週の月曜日に成田を出発する予定です。,We are leaving Narita next Monday.
悪魔,"devil, demon, fiend",彼女は悪魔に取り付かれている。,She is possessed by a devil.
いかに,"how, in what way, however much, however, whatever, how much",これは彼女がいかに誠実であるかを良く示している。,This serves to show how honest she is.
寄せる,"to come near, to let someone approach, to bring near, to bring together, to collect, to gather",いすをもっと火の近くに寄せなさい。,Draw your chair closer to the fire.
穏やか,"calm, gentle, quiet",寒い冬の後、春は穏やかな天候をもたらす。,Spring brings mild weather after the cold winter.
民,"people, citizens, subjects, folk",その部族の民はその川沿いに住み着いた。,Members of that tribe settled along the river.
五月,"fifth month of the lunar calendar, May",３月の風と４月の雨が５月の花をもたらす。,March winds and April showers bring forth May flowers.
舞台,"stage (theatre, theater), scene or setting (e.g. of novel, play, etc.)",物語の筋はある島を舞台に展開する。,The action of the story takes place on an island.
多少,"more or less, somewhat, a little, a few, some, amount, quantity",彼には多少経済学の知識がある。,He has a knowledge of economics.
貴族,"noble, aristocrat, peer",彼は純粋の貴族だ。,He's a genuine aristocrat.
となると,"where ... is concerned, when it comes to ..., if it comes to ..., as far as ... is concerned",政治の事となると私には全然わからない。,"When it comes to politics, I know nothing."
悲しむ,"to be sad, to mourn for, to regret",何をそんなに悲しんでいるの。,What makes you so sad?
安い,"cheap, inexpensive, calm, peaceful, quiet",もっと安い廉価版はないのですか。,Haven't you got a cheaper edition?
派,"clique, group, coterie, (political) faction, wing, party, school",私はネコ派です。,I am a cat person.
派,"clique, group, coterie, (political) faction, wing, party, school",彼はいわゆる行動派だ。,He is what is called a man of action.
可能,"possible, potential, practicable, feasible",事態はまだ改善可能だ。,The situation is still capable of improvement.
帽子,"hat, cap",この帽子は１０００円なら安い。,This hat is cheap at 1000 yen.
目の前,"before one's eyes, in front of one, under one's nose, immediate, imminent, around the corner",私の目の前にある景色はとても美しかった。,The scene before me was very beautiful.
嫌う,"to hate, to dislike, to loathe",彼のやり方はとても嫌われていた。,His way of doing things was much disliked.
記録,"record, minutes, document, record (e.g. in sports), results, score",先ごろあなたの人事記録に誤りを発見しました。,We recently discovered an error in your personnel record.
記録する,"to record, to document, to set a record (e.g. in sports), to show a result, to reach a value",実験はすべてフィルムに記録された。,The whole experiment was recorded on film.
だめ,"no good, not serving its purpose, useless, broken",彼の言うことなんて信用したらだめだよ。,You can not believe a word he says.
気に入る,"to like, to be pleased with, to be delighted with, to take a liking to, to suit one's fancy",この部屋はとても気に入っている。,I am quite comfortable in this room.
気に入る,"to like, to be pleased with, to be delighted with, to take a liking to, to suit one's fancy",君の考えが気に入って、採用した。,I liked your idea and adopted it.
慣れる,"to get used to, to grow accustomed to, to become familiar with, to become skilled in, to become experienced at",君はすぐに当地での生活に慣れるでしょう。,You will soon get accustomed to living here.
慣れる,"to get used to, to grow accustomed to, to become familiar with, to become skilled in, to become experienced at",私は都会の騒音に慣れていない。,I'm not accustomed to the city noises.
間もなく,"soon, before long, in a short time",まもなく富士山が見えてきた。,By and by Mt. Fuji came into sight.
崩れる,"to collapse, to crumble, to break down, to get out of shape, to lose one's shape, to become disorganized",壁が地震で崩れた。,The wall gave way in the earthquake.
捲る,"to turn up, to roll up (e.g. sleeves), to do over and over again, to do relentlessly",学生は一晩中さわぎまくった。,Students bustled about all the night.
