W1,W2,W3,W4,W5
学校,さあ,大学,きる,けっこん
甘い,連絡,村,カップ,降る
豚肉,友達,木,消える,ふたつ
スリッパ,焼く,勉強,四,飲み物
遠い,あね,家,歯,輸出
大学,静か,疲れる,かす,昼
先,醤油,引く,楽しい,かく
食べ物,図書館,開く,あげる,お腹
だいすき,以下,帰る,つまらない,絵
水曜日,取る,七日,家族,建物
幾ら,切手,口,一つ,見せる
毎日,白い,買う,見る,封筒
いれる,問題,可愛い,機械,悪い
入口,しょくどう,仕事,午前,ほそい
駅,傘,男,こうちゃ,文化
買う,どこ,同じ,青い,毎日
おおきな,スポーツ,ボタン,お母さん,誕生日
すわる,洗濯,最近,店,じょうぶ
出かける,ナイフ,早く,音楽,ペン
ハンカチ,まいばん,新しい,ポケット,歩く
トイレ,キロ,いけ,掃除,ひこうき
厚い,うた,咲く,あさって,階段
休み,せんせい,天気,声,お菓子
方,ポケット,予定,りょうり,入る
全部,十日,煩い,電車,返す
ペット,うしろ,弾く,ホテル,春
研究,おとうさん,大丈夫,窓,朝ごはん
きる,四,最初,半分,はなし
やさい,卵,のぼる,本棚,毎晩
座る,車,にもつ,原因,大体
にわ,戦争,うたう,読む,もう一度
国,猫,机,後,あかい
万,すくない,パーティ,万年筆,金曜日
上手,両親,仕事,スポーツ,方
かてい,たべもの,出る,くもる,今晩
駅,開ける,ラジカセ,角,言う
違う,くつ,よる,ここ,下手
時代,始め,みんな,痛い,ちょうど
習う,少ない,はい,運動,大勢
いう,若い,教える,分かる,言葉
出口,海,寝る,塩,およぐ
キロメートル,白,遅く,晴れ,勤める
浴びる,作文,習う,忘れる,学生
ページ,電気,建物,鍵,消す
吸う,玄関,木曜日,ひだり,すこし
いつ,昨日,映画館,ペット,古い
けさ,嫌,みなさん,毎朝,レストラン
名前,せんたく,はち,北,痛い
兄弟,男の子,切手,じてんしゃ,くるま
学生,寒い,すぐに,箱,辺
ちゃわん,呼ぶ,家庭,ホテル,わたる
など,帽子,ゼロ,南,橋
歌,始める,しつもん,説明,建物
毎週,夜,いる,病院,上る
さき,外国人,ドア,横,テーブル
びょういん,借りる,でる,軽い,生活
話す,料理,ゆっくり,大好き,一緒に
牛乳,大使館,丸い,質問,本棚
風,二人,かぜ,薬,写真
六,おかし,六日,どうして,事務所
その,出る,からい,ちいさな,つまらない
とおか,短い,会議室,消す,先月
いいえ,冷蔵庫,五,くすり,生徒
道,生活,五つ,二十日,欲しい
見る,七,曲がる,たのしい,色々
つめたい,美術館,電話,じゅぎょう,弱い
手,お手洗い,医者,大人,誕生日
はじまる,はやい,せっけん,返す,鳴く
選ぶ,まいとし,黄色,レストラン,おにいさん
生徒,果物,朝,し,かばん
言う,教える,聞く,二十歳,働く
車,閉める,脱ぐ,来月,南
卵,はやい,吹く,水,二つ
並ぶ,鉛筆,忘れる,本,せいと
水曜日,ほん,丸い,電車,らいねん
酒,石鹸,町,かた,おさら
自分,弱い,あし,子供,花瓶
ズボン,何時,宿題,村,特別
始まる,鉛筆,石鹸,長い,少し
いもうと,まいつき,帰る,冬,食べる
幾つ,銀行,外国,もんだい,みせる
外,てんき,まっすぐ,はがき,自分
関係,吸う,うえ,寝る,窓
どちらも,置く,わすれる,ゆうはん,なつ
そば,食べ物,店,去年,先月
午後,撮る,一日,赤,午後
留学生,部屋,なか,ちゃいろ,利用
お姉さん,今朝,売る,奥さん,暇
庭,ぜんぶ,止まる,だけど,夏
ドア,かえる,締める,としょかん,七
こうばん,先週,まいにち,傘,多分
白い,三日,だいがく,鞄,駅
だれ,交差点,曲がる,大切,じどうしゃ
新しい,地図,けいかん,キロ,ラジオカセット
静か,有る,九,国際,池
門,泳ぐ,黄色い,ギター,風呂
計画,歩く,貼る,辛い,じょうず
昨日,煙草,どうぞ,学生,五日
川,くろ,必要,遅い,せ
お風呂,心配,飛行機,産業,この間
あらう,たつ,海,すぐ,万
二人,安い,小さな,みがく,漢字
冷たい,バスケットボ－ル,会社,お弁当,曇り
会社,新聞,言葉,ところ,五
弟,テープ,つくえ,否,来る
ノート,昼ご飯,名前,洗濯,答える
め,行動,旅行,かぞく,乗る
やおや,魚,ぬるい,試合,ずっと
再来年,中,まん,むいか,とる
みじかい,写真,今日,上手,休む
木,去年,曇り,かようび,大切
大勢,興味,じかん,晴れる,手
近く,冷たい,空,うすい,どちら
食べる,おしえる,二十歳,甘い,自由
待つ,お腹,食堂,なまえ,今朝
外,傘,ばんごう,七つ,高い
木曜日,市民,辺,作る,東口
黒い,ふたり,でんしゃ,目,自転車
留学生,すいようび,毎晩,まがる,どなた
どれぐらい,利用,コーヒー,私たち,ちょっと
でぐち,駅,茶色,売る,声
げんき,飲む,吹く,いす,ちょっと
鳥,千,自動車,暇,三つ
眠い,グラム,スリッパ,小さい,入る
きのう,わかい,はんぶん,雪,風
静か,話す,週間,みどり,遠い
漢字,ひがし,はしる,財布,ふゆ
辞書,手紙,パン,テープ,たばこ
高校,にく,ネクタイ,肉,映画
プール,勤める,昼ご飯,遊ぶ,エレベーター
渡す,足,はたらく,むら,台所
ひとつ,やさしい,要る,休む,では
ゆうべ,いち,忘れる,たんじょうび,あつい
暑い,びょうき,忙しい,後ろ,日曜日
喫茶店,安い,字引,さす,音楽
咲く,出す,夕方,りょうしん,いつも
ふるい,銀行,あまり,消える,病気
四日,磨く,昼ご飯,弾く,風邪
葉書,教室,こんしゅう,昼ごはん,ゆき
面白い,時間,持つ,近い,教える
読む,けっこう,始まる,人,難しい
今日,言う,働く,熱い,男の子
前,住む,文,行く,雨
夏休み,勉強,山,それから,少年
渡る,医者,校長,九,いま
六日,ひく,今,狭い,夕方
相談,水,さとう,みず,は
新聞,ポスト,帽子,有名,長い
病気,手紙,社会,貸す,交通
靴下,覚える,貸す,時計,誰か
半,まいあさ,学校,週末,国
たのむ,あに,見せる,赤い,知る
のむ,会う,二,ひとり,猫
動物,死ぬ,作る,八日,大きい
ひとつき,授業,最近,渡る,同じ
手紙,なくす,ご飯,来る,いる
右,年,一,女,背
話す,地下鉄,近く,交番,高い
物,家庭,座る,原因,友達
貼る,おぼえる,テーブル,今年,バス
練習,歌,昨日,ちがう,空
犬,おかしい,今年,はたち,薄い
時間,先月,一月,ぎゅうにく,所
一人,おばさん,黒,果物,電気
友達,薄い,先に,じぶん,野菜
毎晩,冬,それから,かぜ,英語
夜,下手,思う,来週,ちょうど
使う,かぎ,警官,私,夕べ
仕事,結婚,がくせい,つくる,すう
フォーク,よっか,背広,川,売る
暑い,朝ご飯,月曜日,デパート,くらい
答える,四つ,わたし,やすむ,はつか
軽い,暖かい,中学校,間違える,妹
開ける,去年,練習,野菜,撮る
次,美味しい,強い,角,何
好き,賑やか,お茶,きょう,渡る
有名,動物,おとうと,日曜日,頭
比べる,安く,バス,ななつ,百
長い,おととい,両親,たぶん,おす
住む,どう,夕飯,問題,入口
名前,いりぐち,姉,問題,合う
おおきい,いく,他,やはり,好き
まずい,明日,毎朝,雑誌,宿題
シャワー,映画,うまれる,広い,ところが
休み,忘れる,月曜日,降る,知る
安い,シャツ,しち,一昨日,猫
橋,スカート,メートル,短い,茶色
毎月,切る,お皿,口,紅茶
そちら,月曜日,デパート,磨く,また
山,おんがく,服,教育,しかし
立つ,肉,ついたち,書く,お父さん
困る,美味しい,場合,一週間,今月
あと,ご飯,おてあらい,目,着く
辞書,自分,兄,しごと,女
はし,八,カメラ,着る,向こう
いじめる,つかう,池,聞く,疲れる
学校,いつか,土曜日,映画館,上
おとこ,あか,新聞,秋,並べる
紙,百,午後,四日,ぬぐ
かいだん,午前,バター,ゆっくり,雪
青い,政治,閉まる,明後日,靴下
お金,分かる,コート,火曜日,エレベータ
きっぷ,テスト,日本人,と,汚い
ひるごはん,母,多い,他,じしょ
誰,置く,初めて,話,風邪
遊ぶ,ときどき,来週,ワイシャツ,料理
女の子,か月,質問,嫌,重い
切符,あめ,ビル,まだ,ギタ－
雨,他に,戸,覚える,あける
放送,ざっし,毎朝,しお,すぐ
起きる,飛行機,土曜日,中,暖かい
英語,まっすぐ,今朝,ちかく,あるく
三,締める,頭,今晩,食堂
おんな,明後日,天気,ふく,好き
休む,じゃあ,側,たいしかん,時間
短い,ゆうびんきょく,あした,写真,家族
フォーク,明日,四月,しかし,みせ
見る,お祖母さん,夏,遊ぶ,もういちど
とり,ようか,はな,どちら,つく
結構,次,所,財布,秋
絵,廊下,魚,散歩,だいどころ
課長,散歩,少し,よい,違う
止まる,れんしゅう,掃除,階段,閉める
喫茶店,外,困る,だす,重い
おんなのこ,えいがかん,今週,お菓子,古い
ご,ここ,運動,初めて,降りる
新聞,シャワー,せんげつ,ギター,どの
はじめに,洗う,なる,作文,楽しい
一,鼻,日曜日,ぼうし,とまる
うわぎ,あたま,茶色,冷蔵庫,とても
千,箸,なる,冊,反対
靴,便利,多分,再来年,わたす
れいぞうこ,授業,お母さん,赤/赤い,見せる
西口,引く,洗う,結構,あれ
白い,クラス,質問,お姉さん,技術
どうして,浴びる,上着,じびき,薬
時半,きょねん,押す,何,人
細い,体,面白い,料理,しぬ
とおい,ともだち,広い,毎週,旅行
甘い,交差点,頼む,頼む,乗る
青年,え,低い,どうぶつ,段々
タクシー,いくら,賑やか,橋,きって
ベッド,でんき,ベッド,色,晩ご飯
せんしゅう,一昨日,外国人,ペン,牛乳
まいしゅう,結構,きえる,かりる,皆さん
北,歯,兄弟,となり,終わる
一番,もう一度,ごはん,将来,やる
にちようび,持つ,吸う,午後,旅行
音楽,お腹,上げる,とる,一緒
げつようび,そうじ,いつも,服,くだもの
早い,借りる,よわい,やすい,差す
毎月,いろいろ,おねえさん,妹,予定
ぶんしょう,ベッド,よこ,めがね,一日
閉まる,がっこう,左,待つ,くつした
歌う,日本語,寒い,はん,東
たくさん,二日,八百屋,ズボン,汚い
みっつ,もくようび,乗る,お茶,本当
にぎやか,ことば,まえ,鳴く,ひる
ぎゅうにゅう,厚い,やっつ,押す,十分
一つ,スプーン,映画,科学,皆さん
犬,テープレコーダー,黒,あまい,明るい
意見,傘,砂糖,横,えいご
グラム,一人で,泳ぐ,する,食べる
ろうか,作る,入れる,食べ物,銀行
時間,スカート,よっつ,中,会社
おかあさん,荷物,ストーブ,どう,台所
半分,野菜,借りる,いっしょ,走る
まるい,肉,南,返す,でも
六,教える,元気,皆,ください
上,あなた,みっか,切符,歌
椅子,準備,ところ,強い,家
工業,戸,ストーブ,おなじ,不味い
はじめは,体,同じ,緑,背
切る,九つ,専門,ぶたにく,なに
黄色い,病気,おなか,ならう,かんじ
かいもの,道,アパート,隣,火
それから,すずしい,暗い,うち,出る
こんばん,学生,暑い,電話,この
日,こちら,フィルム,無くす,すむ
外国,ひく,お兄さん,いくら,電車
行く,飛ぶ,次,よぶ,そして
行く,以外,死ぬ,歩く,雑誌
七日,こうさてん,いみ,それに,ボタン
ばんごはん,パン,ひま,休み,ひと
かみ,つかれる,いい,ばん,一日
パーティー,ふつか,便利,まつ,上着
大きな,九日,とても,そうすると,エレベーター
楽しい,もっと,地下鉄,おまわりさん,時々
耳,下,火曜日,意味,世界
こまる,九日,今後,きゅう,返す
コップ,多い,社長,一緒,六つ
日,鍵,買い物,毎週,よく
入れる,スーパー,いや,生まれる,アパート
二日,一番,英語,借りる,くち
危ない,そこ,黒い,登る,小さい
外国,部長,工場,弟,お菓子
子供,ドア,みなみ,テスト,奥さん
まち,いくつ,会議,出口,牛肉
呼ぶ,取る,テレビ,飛ぶ,早い
青い,試験,くろい,軽い,あそこ
着る,午前,一人,自転車,おちゃ
図書館,縦,これ,こんげつ,テレビ
いつつ,もう,正しい,紙,渡す
番号,服,まだ,楽しい,夏
新しい,後ろ,荷物,ふろ,女の子
お風呂,なつやすみ,若い,あげる,今日
警官,あなた,クラス,押す,立つ
おりる,あき,度,お兄さん,公園
曇る,コップ,来る,こんな,時計
サラダ,起きる,国,スプーン,パン屋
に,結婚,飲む,宿題,はいる
ふうとう,週間,茶碗,文章,練習
危険,開く,涼しい,おおい,花
みる,誰,それでは,買物,おく
はいざら,昨日,ある,音楽,八日
きた,お皿,電話番号,だから,忙しい
来年,あそこ,つよい,警察,降る
生徒,重い,脱ぐ,靴,痛い
おさけ,いちにち,八,どうも,交番
