Subtitle1,Translation1
（モリ）同時にいきますよね （トシエ）ホントですね,"We went at the same time. Yeah, we did."
（オダッチ）はじめまして （マキ）マキです,-Nice to meet you. -I'm Maki.
（オダッチ）マキさん （マキ）はーい,-Maki? -Yes.
（オダッチ） 何されてる方なんですか,"MAKI, 34 YOGA INSTRUCTOR"
私 ヨガの インストラクターをしてます,-What do you do? -I'm a yoga instructor.
（オダッチ） オススメのポーズ教えてください,What pose do you recommend?
（マキ）見えないで 説明するの難しいですね （オダッチ）ちょっと どんな？ どんな？　どんな？ 言って 何のポーズ？　じゃあ,-But you can't see. It's embarrassing. -Just say what pose it is.
（マキ）戦士のポーズ （オダッチ）戦士のポーズ？,-Warrior. -Warrior?
戦士のポーズ,Warrior pose?
オダッチ 31歳 お笑い芸人です,I'm Odacchi. 31 years old. I'm a comedian.
１００％顔ですね,"ODACCHI, 31 COMEDIAN FROM NAGASAKI It's about the face, 100%."
まっ その探し方で 現状 見つかってないので,"I haven't actually found anyone that way,"
じゃあ変えてみようかな っていうのもあり,so I want to change.
逆に僕が知らない⸺,"And on the flip side, if I meet someone who sees good or attractive qualities in me"
えっと 僕のよさとか 魅力みたいなのを⸺,"if I meet someone who sees good or attractive qualities in me that I don't know about,"
いいって 思ってくれた人と⸺,"that I don't know about,"
会えたら ここでしか起きない⸺ 奇跡が あるんじゃないすかね,it would be a miracle that could only happen here.
高知で お笑い芸人やってて,-I do comedy in Kochi. -Kochi?
（ミドリ）高知？ （オダッチ）高知,"-I do comedy in Kochi. -Kochi? Kochi. Not Coach, the brand."
ブランドのＣＯＡＣＨ じゃないほうの⸺ 高知ですね,"Kochi. Not Coach, the brand."
ごめん 全然 迷わなかった （オダッチ） 迷わなかった？,-I wasn't confused. -No?
僕もハーフなんすよ,-I'm also biracial. -What's your background?
（ミナミ）どことですか？ （オダッチ）えと…,"-I'm also biracial. -What's your background? Half gorilla, half chimpanzee."
チンパンジーと ゴリラのハーフです,"Half gorilla, half chimpanzee."
ハハハハハハッ,"MINAMI, 26 ARCHITECTURE FIRM"
（オダッチ）オダッチです （カオル）あっ 出た オダッチ,-I'm Odacchi. -Odacchi's appeared!
出たんだ？ え？　どこに出たんすか？ ちょっと待って こっち出てないんですけど,"Appeared? Hang on, I don't see anything coming out."
こっちで もう オダッチ すごい人気だから （オダッチ）マジすか？ （カオル）私 いつ オダッチに⸺ 会えるのかなって思ってた,"You're quite popular back here, so I wondered when I'd get to meet you."
（ミナミ）芸人さん たぶん すごい人気な気がする,Seems the comedian's really popular.
結婚だと どうなんだろうって感じ （マキ）息抜き 息抜き,-I wonder what marriage would be like. -Just for a change.
すごい 面白くて PODSの中は盛り上がるけど⸺,"He's funny and fun in the pods,"
結婚相手は探してるのかな？,but is he really looking for someone to marry?
（マキ）私も思った （カオル）…っていう感じ （モトミ）そういうことか,-I wondered about that too. -That was how I felt about him.
（オダッチ）こんにちは （ナナコ）こんにちは,-Hello. -Hi.
かわいらしい声ですね,You have a cute-sounding voice.
ナナコです,I'm Nanako.
（オダッチ） ナナコさんは えーっと… 何してる人ですか？,"What do you do, Nanako?"
（ナナコ）えっと 今は ちょっと 仕事 辞めちゃって…,"Currently, I do nothing."
（ナナコ）何もしてないです,I quit my job.
何もしてないんすか？ じゃあ やりたいことは？,Nothing? What do you want to do then?
やりたいことは 何か ずっとバレエしてたから⸺ （オダッチ）うん （ナナコ）何か それに⸺ 関わること？,"I've been in ballet forever, so I want to do something related to that."
（オダッチ）バレエ？ （ナナコ）したいなって （オダッチ）バレエって あの 踊るほうのバレエ？ あ… ですですです,-Ballet? Like dancing? -Yes. That's right.
若くて さあ 結婚しますよ,I'm not a young woman who's overly idealistic about marriage.
…っていう年齢では ないので 何か⸺,"I'm not a young woman who's overly idealistic about marriage. NANAKO, 35 - EX-BALLET INSTRUCTOR FROM FUKUOKA"
ああいうウェディングの ドレス着て⸺,"NANAKO, 35 - EX-BALLET INSTRUCTOR FROM FUKUOKA"
こういう部屋に 住んで⸺ こういうふうにして とかっていう⸺ 理想は あまりなくて もう ホントに⸺,"Like dreaming of the wedding dress, where I want to live, or how it will be."
淡々と 現実的に 生活ができる人,I'd like someone that I can live with simply and realistically.
…っていう 何かこう 本当に 心のつながり …っていうところで,"That is, to have a real connection,"
安心して 一緒に この人なら 人生⸺ 歩めるなっていう 人が⸺ いたらいいなって 思ってます,to meet someone I can be at ease with so we can spend our lives together.
（オダッチ）逆になんで 辞めたんですか？　30で,Why did you quit at 30?
（ナナコ）何か 自分で 教室 持ちたいとかもなかったし,I didn't want my own studio.
何か ホント 全然 違う 世界が見てみたかったし,And I wanted to see a completely different world.
もっと社会性を 身につけたいと思って,I wanted to be more social.
社会性がなかったんですか？ 社会性がなかったんですか？ （ナナコ） そう 何か⸺,-You weren't social? -I wasn't.
この子たちに 何か あんまり何も知らないのに⸺ 私は何か 教えていいんかなみたいな,It didn't feel right to be teaching kids when I didn't know anything myself.
（オダッチ）うわあ… 分かる （ナナコ）…って思って ヤバッ めちゃくちゃ 強く共感します,"I get it. Wow, that really hits home."
アハッ ここに？　初めてかも そこに共感してくれる人,It does? This might be the first time anybody's identified with that.
（オダッチ）強く共感します 僕 教師になりたくて （オダッチ）強く共感します 僕 教師になりたくて （ナナコ） ホントですか？ （オダッチ）強く共感します 僕 教師になりたくて,I really relate. I wanted to be a teacher.
大学で教員免許取って 僕 物理の教員免許⸺ 持ってるんですけど 高校物理の,I got a teaching credential in college for high school physics.
（ナナコ）すごい…,"Oh, wow."
…で 自分の出身が 長崎県の対馬(つしま)っていう⸺ ちっちゃい島 出身で,I'm from a small island in Nagasaki called Tsushima.
俺の生徒になる子 かわいそうだなと思って,I felt sorry for anyone who might be my student.
俺が知ってることしか⸺ 俺が知ってることしか⸺ （ナナコ） なるほど なるほど 教えてあげられないなって 思って…,-I could only teach them what I know. -I see what you mean.
へえ 面白い,-That's so interesting. -Right?
（オダッチ）面白いよね （ナナコ）ちょっと そこに⸺ 共感されたの すごい初めて,This is the first time anybody's been able to understand.
（オダッチ）ホント？,Really?
えっ ちなみにさ つきあってきた人で⸺ 一番 長かった人って どんくらいつきあったの？,So what's the longest you've ever dated somebody?
元旦那なんだけど ４年つきあって…,My ex-husband. We dated for four years--
おっ 結婚してたの？ （ナナコ）そう 離婚歴が ちょっとバツイチなんだけど,"-You were married? -Yes. Once, and then we got divorced."
４年つきあって結婚して １年で離婚したの,"We went out for four years, got married, then divorced after a year."
（オダッチ）１年で？ （ナナコ）うん,-After a year? -Yeah.
23歳か …で結婚して 24歳の時には 離婚しました,I think I was 23. I got married and then divorced by 24.
ま… 何か ギャンブルだったりとか こう…,He gambled.
ホントに こう 大変な時に あまり⸺,"When it was really bad,"
話し合えない人 だったっていうのは⸺ あるのかなって,he wasn't really able to talk about it.
（オダッチ）それは別に何か⸺ （オダッチ）全然マイナスでも （ナナコ）気にしない？,-That doesn't bother me at all. -No?
うん 気にしない まったく ああ じゃあ 何か すごい うれしい,-Not at all. -I'm so glad to hear that.
（オダッチ）だってさ いつまでも 自分が嫌かもっていうのを⸺ 我慢してやってるのが いつまでも いいと思わないから,Because I don't think sticking it out when you aren't happy is a good thing.
すごい正直なんやなって思う 俺 ステキやと思うけどね,I think that's very honest of you. I think it's really fantastic.
あっ でも 私 結構 芸人さん よかった,I quite liked the comedian.
（プリア）よかった？ よかった よかった それは,Yeah? That's good.
何か すごい肯定してくれた 何か私がその…,He was really positive. When I told him…
まっ 離婚とかもだし,"-Like, with my divorce. -Oh, yeah? -Yeah, he was totally positive. -It shouldn't matter."
全然 もう すごいプラスに 全然 もう すごいプラスに （プリア） 関係ないもんね 本当は,"-Yeah, he was totally positive. -It shouldn't matter."
感性？　心の豊かさみたいのが あるんだろうな,He's sensitive. He must have a big heart.
（オダッチ）応援したいみたいな 気持ちでしたね,I wanted to be supportive.
恋愛感情というか 恋愛対象として⸺ もう１回 話したいな …っていうふうに⸺ 何か感じなかったです,I didn't feel anything like wanting to talk to her again as a romantic interest.
何か こう⸺ 声の質があまりしっくり こなかったんですかね,Her voice didn't really strike me.
まっ 変わった感じでした,"I mean, it was different."
（マキ）いや 決めるの難しい,It's hard to decide.
何を一番 重要視してます？ 結婚とか⸺ その… リレーションシップで,What's important to you in a marriage or relationship?
（マキ）やっぱ話が合うこと いろんな話ができる人がよくて,I want to get along well and be able to talk about loads of things.
何か まあ ちょっと ふざけたりもできるし⸺ 深い話とかも ちゃんと しっかりできる人,"Someone who can joke around a bit, but can also talk about serious topics."
…って思うと しっかり 話し込んでいかないと⸺ （マキ）分からなくて… （プリア）確かに 分からない,-We need to have a good talk to find out. -That's true.
理想は どういう人なんですか？ （プリア）ミドリ （ミドリ）理想？,"-What's your ideal man like, Midori? -Ideal?"
理想は… 何か こう…,My ideal…
やっぱ引っ張ってくれる 人が好きだけど,"I mean, I like people who lead."
でも やっぱりこう すごい⸺ 好きになってくれる 人がいいかも,I'd like someone who really adores me.
（プリア） 自分が好きよりも？ 相手の方が？,You mean like more than himself?
（ミドリ）ミドリです 年齢は30です,I'm Midori. I'm 30.
私 コンサル バックグラウンドの癖で,FROM AICHI I have a habit from my background in consulting.
結構 男性を チャート化することが… これホント 映して ほしくないんですけど,It's like I make a chart for men. I really don't want you to record this.
職業 年齢 何か こうルックス みたいな感じで⸺,"Occupation, age, and then looks."
マルペケするみたいな,It's like a checklist.
でも そういうのが よくないんだなと思って,I don't think it's a good thing to do.
なんで今回は ちょっと ちゃんと人となりと⸺ その時に⸺,"So I want to value who he is,"
パッっていいなって 思ったっていう⸺ 感覚とかも⸺ 大事にしたいなと 思ってます,as well as my intuitive sense of what I like.
（ミサキ）そう 関西の兵庫県,"Hyogo prefecture, in Kansai."
（ミドリ）あっ 兵庫県　ステキ （ミサキ）そう 神戸(こうべ) 神戸,"-Hyogo prefecture? Lovely. -Yeah, Kobe."
（ミドリ）神戸 あっ 神戸ね ちょっと遠慮がちに言う感じね 神戸出身ですみたいな,Kobe? You kind of hesitated to say.
ええ そうなの？ （ミサキ）ええ ウソ？ （ミドリ）分かんないですけど 僕 おしゃれなとこ出身みたいな,"-Did I? -Like, ""I'm from a fancy place."""
（ミサキ）いやいや いやいや…,"No, no."
（ミドリ）ジンヤくんは どういう 何だろう…,"JINYA, 26 HAIR AND MAKEUP STYLIST What brought you here, Jinya?"
経緯で ここに来たんですか？,"What brought you here, Jinya?"
（ジンヤ）めん… 面接？ 面接かな？,Is this an interview?
（ミドリ）てか 何か 船乗りエピソードさ 何か面白いの教えてよ,Tell me a funny story about boating.
（タクミ）男の人って 立って あの…,"TAKUMI, 23 EX-MARITIME SELF-DEFENSE OFFICER Well, men stand up to pee, right?"
おしっこするじゃ ないですか ちょっと下ネタに なっちゃうんですけど,"Well, men stand up to pee, right?"
台風の日とか すごい揺れてて⸺,"During a typhoon, it's really turbulent."
だから その…,All kinds of stuff happens.
隣の上司にかけそうに なったっていうこととか⸺ いろいろありますよ ホント,Like nearly getting pee on your boss who's standing right next to you.
しょうもないかあ アハハハハハッ,Was that stupid?
しょうもなくないよ あの 全然 そういう小ネタ好きよ 私,"No, it wasn't stupid. I love little anecdotes like that."
ミドリって言います （ワタル）私(わたくし) ワタルと言います,-My name's Midori. -I'm Wataru.
（ミドリ）ワタルさん （ワタル）はーい,-Wataru? -Yes?
何をしてる方なんですか？ ワタルさんは （ワタル）僕は今ＩＴ系の 会社の社員をやってて,"-What do you do? -Right now, I work for an IT company."
あの 経営をやってます,In management.
あ… じゃあ 私と結構 似てるかもしれないです （ワタル） ホントですか？　何系？ IT系？　テクノロジー系？,"-So similar to me. -Oh, really? In IT? Technology?"
ITっていうか テック系の アメリカ出身の⸺ （ワタル）はいはいはい （ミドリ）スタートアップ？,-It's like an American tech start-up. -I see.
（ワタル） じゃあ ミドリさん もう… バリバリ キャリアウーマンですね,So you're a total career woman.
（ミドリ）いや 何か そうやって 言われるのが何かなと思って,I'm not sure how I feel about that.
でも 何か 説明したら そう聞こえちゃいますよね,"But after explaining it, it sounds like I am, doesn't it?"
（ワタル）今の流れだとね （ミドリ）うん…,From this conversation.
めっちゃいい声してますね でも,You've got a great voice.
（ミドリ）言われません？ （ワタル）ホントですか？ うれしいです,-Do people tell you that? -Really? Thank you.
率直に ええ声とは言われますが…,"Frankly, I have been told that my voice is nice."
名前は ワタルと申します,My name is Wataru. I'm 38.
年齢は38歳,FROM OSAKA
今でこそ すごい あの 成功してる企業の⸺ 経営幹部として やっているので,"Now that I'm managing a successful company,"
まっ 肩書きだったりとか まあ そういった収入面 っていうものが⸺,I know that title and income
１つの あの 女性の⸺ 魅力ポイントには なってきてるかな …っていうのは 実際 実感しています,can be appealing qualities to women.
まあ そういうことを まったく取っ払って⸺,I want to break away from those things
性格だったりとか 僕の大事にしてる⸺ 信念だったりとかに⸺ 共感して いただきながら⸺,and meet someone who can relate to my personality and beliefs.
まっ いいステキな 出会いだったりとか⸺ 生活が できるような方が⸺,I think I might meet someone extraordinary
いるんじゃないかなって 思ったりした次第ですね,and we could spend our lives together.
結構 海外に ずっといたんすか？　その前,Did you spend a lot of time overseas?
大学がアメリカなんですよね,I went to college in America.
へえ 何州ですか？,Which state?
（ミドリ）オハイオ州 （ワタル）オハイオ,-Ohio. -Ohio?
僕 基本的には 思春期アメリカだったんで,I basically spent my youth in the States.
（ミドリ）あっ そうなんですね （ワタル）そうなんですよ,-You did? -Yes.
…で イリノイ州だったので 僕は （ミドリ）イリノイね （ワタル）うん,-I was in Illinois. -Illinois?
（ワタル）ふだんは 何してるんですか？　あの…,-What do you normally do? -Normally?
普通に仕事以外だったら,When you're not at work.
（ミドリ）結構 公園の 近くに住んでるんで,"I live pretty close to a park,"
あの 犬 公園に 連れてって 一緒に遊んだり,so I often take my dog on walks there.
筋トレが結構 好きなんで… （ワタル）うん ジムに行ってます,"I like strength training, so I go to the gym."
ヤバい 自分一人で⸺ サンフランシスコに なってない？　それ,"Wow, you're so San Franciscan."
バレた？　ヤバい ヤバい やめよう,-So San Franciscan. -You found me out. That's enough.
やめようってなんでよ いいじゃん別に,-Why? It doesn't matter. -Not good?
ウザくない？　そういう女,Aren't women like that annoying?
え？　なんで？　いいじゃん （ミドリ）大丈夫かな？ （ワタル）どうして？,-How so? -Is that okay for you?
（ミドリ）犬好き？ （ワタル）大好きよ お名前は？,-Do you like dogs? -I love them. What's his name?
ルパン　ルパンくんです,-Lupin. Mr. Lupin. -Lupin?
ルパン？ もう絶対 意識してるでしょ,-Lupin. Mr. Lupin. -Lupin? -You've got to know. -What?
何を？,-You've got to know. -What?
もう アニメ ルパン三世でしょ？,"The anime, Lupin the Third."
当たり前じゃん そんなの,Of course I do.
（ワタル）ええ　じゃあ もう 藤子になりたくてやったな これは,Of course I do. So then you want to be Fujiko.
ジム行ってね お尻 作って ちゃんと…,I go to the gym to build up my butt.
（ワタル）ああ　ほら やっぱり お尻 作ってるところが⸺,"I go to the gym to build up my butt. See, butt-building is so West Coast."
西海岸だから それ,"See, butt-building is so West Coast."
めっちゃディスられてる （ワタル）ディスってなーい,-You're seriously dissing me. -I'm not.
バックグラウンドが 普通に似てて⸺,We have similar backgrounds.
こう 話しやすいし もし あ…,He's easy to talk to. I feel like I've dated someone like him. You know?
まあ ああいう人と⸺ デートしたことあるな …っていう感じ分かる？,I feel like I've dated someone like him. You know?
もう１回 全然 会いたいなと思うし,I'd definitely like to meet again.
想像できる,It's conceivable.
けど…,But…
そんなに 私に 興味ある感じではなかったかな,he didn't really seem that interested in me.
いや 本当に こう 会話だけで⸺ 恋に落ちるんすかね,Can you really fall in love just from talking?
いやあ 全然 想像つかない そう まったく 想像つかないです,-I can't picture it at all. -It's inconceivable.
そんな… そんなおいしいこと ないでしょみたいなね,It's too good to be true.
だって もう 声だけでさ,Because we're trying to sense their feminine appeal
女性的な魅力を 感じるってことを⸺,Because we're trying to sense their feminine appeal just from their voices.
やろうとしてるわけでしょ 俺ら,just from their voices.
かなり難しくない？,"That's pretty tough, isn't it?"
（アツシ）こんにちは （モトミ）こんにちは,-Hi. -Hi.
聞こえますか？　こんにちは,Can you hear me? Hello?
モトミと申します　27歳です,My name is Motomi. I'm 27.
結構 やっぱ 見た目がタイプで⸺,FROM KANAGAWA I favor looks and fall in love at first sight.
一目ぼれとかして⸺,I favor looks and fall in love at first sight.
顔がカッコいいと 許せちゃうんですよね,"If he's handsome, I'll forgive him."
ケンカとかしても チラッと顔見たら⸺ あっ カッコいいみたいな,"If we fight, I'll look at his face and be like, ""Yeah. He's good-looking."""
私 結構 ダメンズ好きだから,I tend to like bad boys.
（モトミ）あっ 聞こえますか？ （アツシ）あれ？,-Can you hear me? -What?
充電なくなったのかな？,Did the battery run out?
まあ こっちの あの⸺ モトミちゃんは聞こえてるか 分かんないけど　あの⸺,"I don't know if you can hear me or not, Motomi."
（モトミ）今 聞こえてますよ （アツシ）電源が⸺ 切れちゃってですね イヤホンの,-But I can hear you. -My earphone died.
なので⸺ 一瞬 俺の一人しゃべりで 行きたいと思います,"-So I'll entertain you with a monologe. -Oh, wow."
えっ すごーい えっ すごい そういうこと？,"-So I'll entertain you with a monologe. -Oh, wow. No way. Can you hear--"
え？　聞こえる え？　すごーい,No way. Can you hear-- Amazing.
アツシです,"I'm Atsushi. ATSUSHI, 42 BUSINESS OWNER FROM FUKUOKA"
九州男児っていうのも あると思うんですけど,"ATSUSHI, 42 BUSINESS OWNER FROM FUKUOKA I'm an old-fashioned guy from Kyushu. I think the kitchen is a woman's domain."
キッチンは 女性の⸺,I'm an old-fashioned guy from Kyushu. I think the kitchen is a woman's domain.
戦場だっていうか あの…,"I'm an old-fashioned guy from Kyushu. I think the kitchen is a woman's domain. You could say it's their sacred space, sanctuary."
聖地だと… 聖域なんで⸺,"You could say it's their sacred space, sanctuary."
