Word,Reading ,Meaning,S1,T1
初めに,はじめに,first to,初めに来た,first to arrive 
今,いま,now ,今行くよ,going now 
まだ,まだ,"(not) yet, still",まだ起きてる,still up
まもなく,まもなく,soon,まもなく始まる,will start soon
まれに,まれにしかおこらない,rarely ,まれにしか怒らない,rarely occurs 
また,また,again,また来てね,come again
もう,もう,already,もう晴れたよ,cleared up already
昔,むかし,in the past,昔建てられた,built in the past
最後,さいご,finally ,最後にきた,came finally 
最近,さいきん,recently ,最近寝てるときに,when sleeping recently 
最初,さいしょ,first ,最初に着いた,arrived first 
先に,さきに,ahead,先に行ってください,please go ahead
先ほど,さきほど,a while ago ,先ほど帰宅した,got home a while ago 
さっき,さっき,just now,さっき出かけた,just left
すぐに,すぐに,immediately,すぐにやりなさい,do immediately
少し,すこし,a bit,少し乗ろう,let’s ride a bit
たびたび,たびたび,often,たびたび訪れた,visited often
しばしば,しばしば,frequently,しばしば変わる,change frequently
しょっちゅう,しょっちゅう,always,しょっちゅう起こる,always occurs
すでに,すでに,already,すでに出かけた,already left
次に,つぎに,next,次に買う,next to buy
よく,よく,oftent,よく徹夜する,often stay up all night
やがて,やがて,shortly,やがて廃れる,be obsolete shortly
ずっと,ずっと,along,ずっと忙しい,busy all along
そう,そう,"in that way, thus, such​",そう思います,think in that way
どう,どう,"how, in what way, how about​",どう言う,what do you say?
もう,もう,"already, yet, by now, anymore​",もう読み終わった,already done reading
こう,こう,"in this way, thus, such​",こう思いました,thought the way
良く,よく,"nicely, well, skilfully, often ",良く似合う,suited nicely
未だ,まだ,"still, as yet, only​, (not) yet, more",まだ帰って来ない,still not come back yet
少し,すこし,"small quantity, little, few, little while",少し持っている,have a few
余り,あまり,"(not) very, (not) much, too much",あまり低く設定しない,not set very low
直ぐ,直ぐ,"immediately, at once, shortly, easily",直ぐ経ちます,quickly passes
唯,ただ,"only, merely, just, simply​",ただ言われたとおり,just as said
矢張り,やはり,"as expected, sure enough, after all",やはり雨になった,it rained as expected
何故,なぜ,"why, how",,
先ず,まず,"first (of all), firstly, to begin with",,
例えば,たとえば,"for example, for instance",,
詰まり,つまり,"that is to say, in other words, in short",,
全く,まったく,"really, truly, entirely, completely, indeed ",,
一寸,ちょっと,"a little, a bit, slightly",,
若し,もし,"if, in case, supposing",,
特に,とくに,"particularly, especially, in particular",,
勿論,もちろん,"of course, certainly, naturally",,
既に,すでに,"already, too late​",,
一番,いちばん,"best, most​",,
初めて,はじめて,for the first time​,,
可成,かなり,"considerably, fairly",,
色々,いろいろ,"various, all sorts of",,
最も,もっとも,"most, extremely​",,
迚も,とても,"very, awfully, exceedingly​",,
もっと,もっと,"some more, even more, further​",,
必ず,かならず,"always, without exception, certainly, without fail",,
沢山,たくさん,"a lot, lots, plenty",,
当然,とうぜん,"naturally, as a matter of course, rightly",,
猶,なお,"still, yet​, more, still more",,
幾ら,いくら,how much​,,
はっきり,はっきり,"clearly, plainly, distinctly​",,
ずっと,ずっと,"throughout, all along",,
直接,ちょくせつ,"direct, firsthand",,
暫く,しばらく,"for a while, for some time​",,
まあ,まあ,"well, just, tolerably, moderately, fairly",,
中々,なかなか,"very, considerably, easily, readily, fairly",,
決して,けっして,"(not) ever, (not) by any means, never",,
軈て,やがて,"eventually, before long, soon; shortly",,
如何に,いかに,"how, in what way​, how, to what extent",,
寧ろ,むしろ,"rather, better, instead, if anything​",,
丸で,まるで,"quite, entirely, completely, at all​",,
一杯,いっぱい,"fully, to capacity, a lot, much ",,
恐らく,おそらく,"perhaps, likely, probably",,
結構,けっこう,"quite, reasonably, fairly",,
嘗て,かつて,"once, before, formerly, ever",,
再び,ふたたび,"again, once more",,
略,りゃく,"almost, roughly, approximately",,
多分,たぶん,"perhaps, probably​",,
僅か,わずか,"only, just, merely​",,
正に,まさに,"exactly, surely, certainly, right then, just then",,
兎に角,とにかく,"anyhow, at any rate, anyway",,
確り,しっかり,"tightly, firmly, strongly, properly, reliably",,
極めて,きわめて,"exceedingly, extremely, decisively​",,
急度,きっと,"surely, undoubtedly, almost certainly",,
ゆっくり,ゆっくり,"slowly, without haste, leisurely, easily",,
元々,もともと,originally,,
突然,とつぜん,"abruptly, suddenly, unexpectedly",,
ちゃんと,ちゃんと,"diligently, seriously, perfectly, properly",,
宜しく,よろしく,"well, properly, suitably​",,
丁度,ちょうど,"exactly, precisely, as if, as though, quite",,
漸く,ようやく,finally,,
きちんと,きちんと,properly,,
遂に,ついに,finally,,
仮令,たとえ,if,,
漸と,やっと,gradually,,
是非,ぜひ,propriety,,
全然,ぜんぜん,totally,,
随分,ずいぶん,extremely,,
飽くまで,あくまで,the bitter end,,
すっかり,すっかり,completely,,
どんどん,どんどん,more and more,,
改めて,あらためて,once again,,
じっと,じっと,"fixedly (e.g. gaze, stare)",,
極く,ごく,very,,
単に,たんに,simply,,
行成,いきなり,suddenly,,
やや,やや,somewhat,,
言わば,いわば,so to speak,,
つい,つい,in spite of,,
益々,ますます,increasingly,,
取り敢えず,とりあえず,for the time being,,
次々,つぎつぎ,one by one,,
最早,もはや,the soonest,,
兎も角,ともかく,in any case,,
屡,しばしば,often,,
一層,いっそう,all the more,,
ふと,ふと,suddenly,,
一旦,いったん,once,,
大抵,たいてい,mostly,,
成る程,なるほど,quite willingly,,
どうぞ,どうぞ,"by all means, go ahead",,
同じく,おなじく,same,,
愈,いよいよ,worst possible time,,
偶に,たまに,occasionally,,
段々,だんだん,gradually,,
却って,かえって,rather,,
まさか,まさか,"by no means, never",,
折角,せっかく,at great pains,,
態々,わざわざ,specially,,
無論,むろん,of course,,
大いに,おおいに,greatly,,
余程,よほど,much,,
幸い,さいわい,fortunately,,
偶々,たまたま,by chance,,
忽ち,たちまち,all at once,,
取り分け,とりわけ,especially,,
そっと,そっと,gently,,
敢えて,あえて,dare (to do something),,
直ちに,ただちに,immediately,,
そろそろ,そろそろ,soon,,
未だ未だ,まだまだ,not yet,,
主に,おもに,Mainly,,
早速,さっそく,immediately,,
凡そ,およそ,about,,
予め,あらかじめ,beforehand,,
果たして,はたして,as a result,,
成る可く,なるべく,as much as possible,,
たっぷり,たっぷり,plenty,,
況して,まして,moreover,,
一見,いっけん,at first glance,,
何しろ,なにしろ,anyway,,
ほっと,ほっと,sigh of relief,,
斯く,かく,as such,,
ぼんやり,ぼんやり,absentmindedly,,
とんでも,とんでも,unexpectedly,,
今更,いまさら,at this late hour,,
只管,ひたすら,nothing more than this,,
些か,いささか,a little,,
そっくり,そっくり,just like,,
どうせ,どうせ,anyhow,,
せめて,せめて,at least,,
到頭,とうとう,at last,,
態と,わざと,"on purpose, deliberately",,
大分,だいぶ,considerably,,
さっぱり,さっぱり,not at all,,
ぴったり,ぴったり,exactly,,
専ら,もっぱら,exclusively,,
一向,いっこう,completely,,
精々,せいぜい,at best,,
大して,たいして,greatly,,
頻り,しきり,frequent,,
ひょっと,ひょっと,perchance,,
固より,もとより,more than ever,,
依然,いぜん,still,,
仲良く,なかよく,on cordial terms with,,
恰も,あたかも,as it were,,
時折,ときおり,sometimes,,
到底,とうてい,no matter how,,
あっさり,あっさり,easily,,
すっきり,すっきり,"neatly, cleanly, clearly",,
さっと,さっと,quickly and easily,,
然程,さほど,not so much,,
現に,げんに,actually,,
度々,たびたび,often,,
正しく,まさしく,correctly,,
のんびり,のんびり,leisurely,,
じっくり,じっくり,Slowly,,
ぎりぎり,ぎりぎり,just in time,,
矢鱈,やたら,arrowhead,,
はっと,はっと,in a flash,,
さっさと,さっさと,quickly,,
生き生き,いきいき,lively,,
次いで,ついで,Next,,
無理矢理,むりやり,forcibly,,
ゆったり,ゆったり,spacious,,
案外,あんがい,unexpectedly,,
即,そく,immediately,,
悉く,ことごとく,altogether,,
ともあれ,ともあれ,in any case,,
散々,さんざん,dispersed,,
早々,そうそう,quickly,,
ぱっと,ぱっと,in a flash,,
こっそり,こっそり,secretly,,
所詮,しょせん,after all,,
にこり,にこり,silently,,
ちらっと,ちらっと,by accident,,
辛うじて,かろうじて,barely,,
ぐっと,ぐっと,with a grunt,,
がっかり,がっかり,disappointed,,
今一,いまいち,once more,,
尚更,なおさら,even more,,
どきどき,どきどき,throb,,
にこにこ,にこにこ,smilingly,,
いっそ,いっそ,more than once,,
しょっちゅう,しょっちゅう,often,,
些とも,ちっとも,not at all,,
甚だ,はなはだ,very much,,
当面,とうめん,for the time being,,
元来,がんらい,originally,,
そこそこ,そこそこ,a certain extent,,
きっぱり,きっぱり,firmly,,
割と,わりと,comparatively,,
逸早く,いちはやく,quickly,,
きっちり,きっちり,punctually,,
熟,つくづく,thoroughly,,
ぐるぐる,ぐるぐる,in a roundabout way,,
予て,かねて,lately,,
直様,すぐさま,immediately,,
うんざり,うんざり,tedious,,
ひっそり,ひっそり,quietly,,
大層,たいそう,very much,,
ちらり,ちらり,fleeting (glimpse),,
ぴんと,ぴんと,instinctively,,
ふっと,ふっと,suddenly,,
すっと,すっと,quickly,,
きらきら,きらきら,twinkling,,
一歩,いっぽ,one step,,
殊更,ことさら,especially,,
何せ,なにせ,anyhow,,
突如,とつじょ,suddenly,,
ずばり,ずばり,abruptly,,
ごろごろ,ごろごろ,thunderous,,
見る見る,みるみる,before one's eyes,,
にやり,にやり,broadly grinning,,
うやむやに,うやむやに,"vaguely, undecidedly",,
殊に,ことに,"especially, particularly",,
宛ら,さながら,just like​,,
当分,とうぶん,for the time being,,
自ずと,おのずと,naturally,,
程,ほど,"extent, degree, measure",,
普通,ふつう,"normally, ordinarily",,
特別,とくべつ,"extraordinary, special",,
正直,しょうじき,"honestly, frankly",,
一番,いちばん,"best, most",,
事実,じじつ,"fact, truth, reality",,
偶然,ぐうぜん,"by chance, unexpectedly",,
現在,げんざい,"the present, present time, now",,
自然,しぜん,"naturally, spontaneously",,
屡々,しばしば,"often, again and again",,
余り,あまり,"too much, excessively, (not) very",,
大勢,おおぜい,in great numbers​,,
迚も,とても,"very, awfully, exceedingly​",,
いつも,いつも,always,,
一寸,ちょっと,"a little, a bit, slightly​, somewhat",,
どうして,どうして,"how, in what way, by what means",,
近く,ちかく,"nearly, shortly",,
丁度,ちょうど,"exactly, precisely",,
初めて,はじめて,for the first time,,
色々,いろいろ,"various, all sorts of",,
段々,だんだん,gradually,,
真っ直ぐ,まっすぐ,straight ahead,,
以上,いじょう," and above, and over",,
決して,けっして,"(not) ever, never",,
十分,じゅうぶん,sufficiently,,
一生懸命,いっしょうけんめい,"very hard, with utmost effort",,
必ず,かならず,"always, without exception",,
最近,さいきん,recently,,
最初,さいしょ,beginning,,
昔,むかし,"olden days, former",,
今度,こんど,"this time, now, next time",,
途中,とちゅう,"on the way, midway",,
一度,いちど,once,,
場合,ばあい,"case, situation",,
大抵,たいてい,"mostly; ordinarily, probably",,
特に,とくに,particularly,,
例えば,たとえば,for example,,
大体,だいたい,generally,,
ほとんど,ほとんど,"almost, mostly",,
きっと,きっと,surely,,
しばらく,しばらく,for a moment,,
確り,しっかり,"tightly, firmly",,
到頭,とうとう,finally,,
これから,これから,"from now on, after this, from here",,
それ程,それほど,to that degree,,
偶に,たまに,occasionally,,
なるほど,なるほど,"that's right, indeed​",,
ちっとも,ちっとも,"(not) at all, (not) a bit",,
成るべく,なるべく,as (much) as possible,,
当時,とうじ,at that time,,
通り,とおり,the same status or way,,
なにか,なにか,something,,
なにも,なにも,(not) anything,,
最も,もっとも,"most, extremely",,
突然,とつぜん,"abrupt, sudden",,
只,ただ,"only, merely, just",,
結局,けっきょく,"after all, in the end",,
大いに,おおいに,"very, much, greatly",,
全然,ぜんぜん,(not) at all,,
更に,さらに,furthermore,,
既に,すでに,"already, too late",,
常に,つねに,"always, constantly",,
いっそう,いっそう,"much more, still more",,
是非,ぜひ,"certainly, without fail",,
無事,ぶじ,safely,,
恐らく,おそらく,"probably, likely",,
全体,ぜんたい,entirety,,
終日,しゅうじつ,"all day, for a whole day",,
