W1,T1,W2,T2,W3,T3
無邪気,innocence,避難する,to take refuge,月曜日,monday
凍結,freezing,引く,draw,携帯電話,cell phone
緩やか,slow,協和,consensus,対外貿易,the foreign trade
日光,the sunlight,焚き火,bonfires,委託メモ,a consignment note
伺う,ask,忘れる,forget,目標に向かって,on target
長い上に,on top of being long,回復,a recovery,語る,talk
和らげる,soften,月食,lunar eclipse,眺めつつ,while looking at
熱,the heat,強火,strong fire,丸い,"round, circular"
表す,represents,脱線する,to derail,列,column
終える,finish,合成,synthesis,暮らし,life
公式,official,中立,neutral,火曜日,tuesday
サイクロン,a cyclone,歌う,sing,題,title
受け売り,retailing,秘書,secretary,卒業したものの,although I graduated
土砂降り,a downpour,予言,prediction,国会,parliament
直ぐ,immediately,少し,little,市街,city
三日月,crescent moon,結ぶ,tie,原理,principle
斑状の霧,patchy fog,着る,wear,悪いにつけ,more badly
日夜,day and night,調子,tone,真ん丸,perfect circle
雨で注ぐ,to pour with rain,登校,school attendance,出席のため,to attend
月日,day of month,眼科医,ophthalmologist,助けようとしている,trying to help
日和,climatic conditions,生食,eating something raw,天気予報と逆に,contrary to weather forecast
本,book,合意,(coming to an) agreement,渇いてたまらない,so thirsty
日数,number of days,理想,ideal,ご飯,rice
低,low,品,goods,債務者,a debtor
帰る,return,本能,instinct,直後,immediately after
連日,everydays,不協和音,dissonance,オーダー,an order
駐日,resident in japan,首,neck,土曜日,saturday
丸一日,a whole day,今更,now,施設,facilities
八日,"8 days, 8th day",速い,fast,立ち並ぶ,to stand in a row
見受ける,to catch sight of,津波,a tsunami,腸,intestines
印鑑,seal,今月末,end of this month,耐久性,durability
終日,all day,外科医,surgeon,救い,salvation
所,place,利益率,profit margin,店主,the shopkeeper
崖,cliff,供給不足,to be ill-fed,有益,beneficial
暇な間に,In my spare time,落ちる,fall,持久,"endurance, persistence"
乱れる,be disorderly,月曜,monday,丸っきり,completely
新しい,new,悲鳴,scream,模様,pattern
身の回り,around you,好意,"kindness, favor",費用,the expenses
受かる,to pass (examination),エピデミック,an epidemic,バイヤー,a buyer
貴い,precious,火勢,fire strength,長距離バス,long-haul bus
次男,second son,飢饉に苦しむ,to suffer from famine,ビジネスプラン,a business plan
先端,a tip,年月,year month,社説,editorial
供給,supply,規制緩和,deregulation,予防,prevention
使い道,errand,炬燵,torch,価格,the price
考えすぎたあまり,too much thinking,安月給,low monthly salary,ファイル,a file
日本料理,japanese food,柔道,judo,予備契約,a preliminary contract
若い,young,物理,physics,過ち,mistake
ハリケーン,a hurricane,来店の方に限り,only for store visitors,問題意識,awareness of the issues
日報,daily report,救済,a relief,両腕,Both arms
スモッグ,the smog,中断,interruption,閉じる,close
気候,the climate,故意,intent,打ち込む,put into
受信人,addressee,妥協案,compromise,入浴,bathing
日経,nikkei,二月,february,日の丸,the sun
強風警報,a gale warning,明白,clarity,巨人,giant
熱い,hot,真相,truth,説明,explanation
待つ,wait,管理職,the management,起きる,get up
出る,go out,小児科,pediatrics,丼飯,bowl of rice
遣っ付ける,to beat,家計,household,参考書,reference
日本経済,japanese economy,対談,dialogue,丸焼け,completely burned
外交,diplomacy,近代科学,modern science,議論のあげく,after much discussion
氷の風,an icy wind,地震,an earthquake,足並み,pace
取り締まり,policing,熱意,"zeal, enthusiasm",営業時間,business hours
年寄り,old,祈り,prayer,着陸,landing
日曜,sunday,望月,full moon,両眼,both eyes
文学,literature,破産,insolvent,結晶,crystal
一時,temporary,手すり,handrail,平年並み,average year
見る,watch.,利息,interest,叫び,shouting
大好き,love,幅,breadth,串刺し,skewer
無茶,reckless,特有,special,天気,weather
長い,long,劇場,theater,謝意,gratitude
涼しい,cool,父の話によると,according to my father,並立,standing abreast
日雇い,day laborer,歯科医師,dentist,並み居る,to sit in a row
食品,food,地球の微動,an earth tremor,時代とともに,with the times
先日,the other day,山火事,forest fire,早期支払い,an early payment
アパートとしては,as for the apartment,嵐,a storm,滞在,stay
保証付き,guaranteed,銃火,gunfire,覚え,memory
無意味,meaningless,月例,monthly,台風による,due to typhoon
日用品,daily goods,主張,assertion,定款,articles of association
霧のパッチ,a patch of fog,載る,be carried,船で,by boat
地球温暖化,global warming,興奮のあまり,so excited,入る,go in
テント,a tent,話す,talk,力説,emphasizing
製造,manufacturing,高い死傷者数,a high casualty count,張る,stretch
みぞれ,sleet,割り,division,永久,eternity
後回し,postponing,火加減,fire condition,巨星,giant star
夕暮れ,dusk,毎月,monthly,顧客,a customer
場合に限り,only in the case of,化学,chemical,見渡す,look around
助詞,particle,娘,daughter,風邪,cold
弱い雨,a soft rain,導火線,fuse,一同,all
土曜日,saturday,上げる,raise,参加国,participating countries
西暦,western calendar,石油,oil,両国,Both countries
訓練,training,火事,fire,通す,pass
無事,safe,飛び火,sparks,不利な点,a disadvantage
雰囲気,the atmosphere,十二月,december,巨匠,master
気がつく,to notice,図書館,library,牛串,skewered beef
頑固,obstinacy,迷ったあげく,after much thought,仕上げ,finish
吹く,to blow,妨害,obstruct,ビジネス接続,business connections
受諾,acceptance,十一月,november,対等,equality
日本式,japanese style,驚いたことに,to my surprise,直販,direct marketing
祝日,holiday,週,week,六日,six days
近代,modern,務める,work,暦,calendar
期日,due date,中間,intermediate,搭乗,boarding
議会,parliament,科学者,scientist,議題,an agenda
びしょぬれになる,to be drenched,意欲,"will, desire",一瞬,one moment
年長,elderly,恋,love,開く,open
整列,alignment,皮膚科,dermatology,うれしいかぎり,extremely happy
放射能,radiation,負傷,injury,連載,serialization
終わる,finish,統一,unification,お父さん,dad
受けやすい,susceptible,反射,reflection,意訳,free translation
絶望のあまり,out of desperation,日進月歩,daily progress,肺,lungs
同じ気持ち,same feeling,物価,price,家並み,row of houses
流す,broadcast,海月,sea month,切る,cut
雨滴,a raindrop,主観,subjective,香り,scent
売る,sell,マージン,the margin,太い,thick
記念日,anniversary,救助する,to rescue,両輪,Both wheels
三日,"3 days, 1st day",放火,arson,一泊,an overnight stay
左折禁止,no left turn,追い出す,expel,甘える,spoil
日向,sunny place,妥協,compromise,駆ける,run
もや,a haze,分担,sharing,両家,both families
日の入り,the sunset,一掃する,to sweep away,投資,investment
昨日,yesterday,高価,expensive,主計,an accountant
大気汚染,air pollution,戦火,war fire,承認,approval
日光,sunlight,雪崩,an avalanche,貿易,a trade
朝日,morning sun,聖火,holy fire,対立,confrontation
白日,white day,班,group,平仮名,hiragana
水曜日,wednesday,ワクチン,a vaccine,有意義,significant
明日,tomorrow,一月,january,筋,line
願書,application,送る上で,in sending it,誠意,sincerity
十日,"10 days, 10th day",法則,law,久々,(in a) long time
同日,same day,歯科,dentistry,レポート,a report
温度,the temperature,今月,this month,敵意,"hostility, animosity"
立つ,stand,起源,origins,期日,due date
分かる,understand,月夜,moonlit night,快い,pleasant
今年,this year,候補,candidate,解ける,solution
多少,more or less,遂げる,achieve,自説,personal opinion
設備,equipment,九月,september,上る,coming up
二日,"2 days, 2nd day",来月,next month,取得,acquisition
日没,sunset,余裕,margin,甘い,sweet
晴れ,sunny,合併,merger,日,"sun, day"
早い,fast,弱まる,weaken,両論,both argument
受け入れ,receiving,セール中,on sale,売買,buying and selling
時間,time,月給,monthly salary,巨悪,great evil
一部分,part of,お医者さん,doctor,小売施設,retail facilities
可視性,the visibility,社会科学,social science,コンセント,an outlet
夕日,sunset,協定,agreement,人並み,ordinary
受け入れる,to accept,自然科学,natural science,道具,tool
受動喫煙,second-hand smoking,火力,fire power,無料試用,a free trial
警告,a warning,得意,"satisfaction, strong point",優しい,gentle
受賞者,prize-winner,中央車線,middle lane,単価,unit price
日差し,sunlight,注意,"attention, notice, caution",両名,both persons
日除け,sunshade,中身,content,丹頂,Japanese crane
募集,recruitment,費やす,spend,参る,coming
基づく,based on,損傷する,to damage,ビジネス,a business
本部,headquarters,良心,conscience,両足,both feet
霜,frost,敏感,sensitive,印刷,print
投げ付ける,to throw at,科学,scientific,巨利,huge profit
トワイライト,twilight,誠実,integrity,販売地域,sales territory
部屋,room,工夫,ingenuity,両社,both companies
書く,write,三月,march,歩きにくい,hard to walk
修了,completion,受験,examine,商品,merchandise
渋い,reluctant,食べた後で,after eating,対策,measures
その日の展望,the outlook for the day,意識,"consciousness, awareness",申し訳,sorry
翻訳,translation,旅行かばん,a travelbag,説教,sermon
数日間,a few days,英雄,heroism,高原,plateau
受け持ち,charge (of something),計,measure,国内貿易,the domestic trade
受動的,passive,火種,sparks,丹精,working earnestly
棄権,abstain,神経科,neurology,両立,both
受け取る,"to receive, to accept",旅行代理店,a travel agent,競争情報,competitive intelligence
弱る,weak,産科,obstetrics,二,two
巨大,giant,内科医,"physician, internist",売り上げ,sales
歩く,walk,業界,the industry,国交,diplomatic relations
水たまり,a puddle,翌月,next month,運,luck
スノーフレーク,a snowflake,美しい,beautiful,頑張る,work hard
性別による,base on gender,信用,trust,販売目標,sales target
会う,meet,意外,unexpected,部門,a department
受託,being entrusted with,食糧不足,a food shortage,お客様,customers
広い,wide,業界,the industry,頼る,rely on
起きる,get up,交わす,exchange,勤労,labor
一帯,one area,説く,explain,一面,one side
問題について,about the problem,街と言ったら,speaking of city,空く,empty
満月,full moon,点火,ignition,包装,a packaging
日の出,the sunrise,月光,moonlight,生理,menstruation
進攻,"attack, advance",製造,production,巨費,great cost
窮屈,cramped,前月,previous month,他意,other intention
入れる,let in,歳月,"time, years",進路,the way forward
毎日,every day,会計,accounting,実施,implementation
競技,"game, match",花火,fireworks,お金の価値,the value for money
別,different,周囲,surroundings,並木,roadside tree
忠告,advice,飢え死に,to die of hunger,今週,this week
日本海,sea of japan,教え,teaching,両端,Both ends
熱帯雨,a tropical rain,雑談,chit chat,町並み,townscape
追い越し車線,"outside lane, passing lane",税金,taxes,買収,an acquisition
主食,staple food,白い,white,水曜日,wednesday
猛暑,a heat wave,料金所,tollgate,富む,wealth
付いてる,"to be lucky, to be included",博士,doctor,関税,customs duties
花と言えば,speaking of flowers,景気,economy,背,back
受益者,beneficiary,券,ticket,持参,Bring
受賞,winning (a prize),弱火,weak fire,軒並み,row of houses
走る,run,人道援助,humanitarian aid,予算,a budget
紙,paper,ハリケーン,a hurricane,書き上げた,done writing
数日,several days,座る,sit,解雇,a dismissal
ドライ,dry,水没する,to submerge,不得意,one's weak point
雨が降る,to rain,優れる,superior,要る,need
受容器,receptor,理科,science,巨大,huge
売れ筋,well-selling line,犠牲者リスト,a casualty list,人柄,personality
暑くて暖かい,hot and warm,旧正月,lunar new year,前提,the premises
待ち遠しい,longing for,協議,consultation,関心,an interest
日中,daytime,耐火,fire resistance,鉄道,railroad
風,the wind,火砕流,pyroclastic flow,支払い,a payment
享受,reception,溶岩,lava,資産,an assets
衣料,clothing,医学的,medecine,価格,a price
お互い,each other,食品の発送,a food shipment,両氏,both persons
受け渡し,"delivery, transfer",鎮火,extinguishing fire,悪意,ill will
顔,face,通じる,communicate,串揚げ,kushiage
軽快,nimble,収益性,the profitability,万年筆,fountain pen
学生,student,勉強,study,意図的,intentional
形式,formality,見つける,find,程,extent
梅雨,the rainy season,吹雪,a snowstorm,寄せる,send
平日,weekday,謎,mystery,玉,jade
金曜日,friday,意見,opinion,債権者,a creditor
表現すればいい,just express it,微妙,subtle,抵抗,resistance
雨の,rainy,値する,value,構成,composition
チケット,a ticket,火傷,burns,両岸,both banks
公正,fair,安全に到達する,to reach safety,大学生,college student
雷,the thunder,歯科医,dentist,消費者,a consumer
追う,chase,下火,lower fire,市場,the market
見合い,seeing each other,火花,sparks,表面,surface
新婚,newlyweds,主要,main,二つ,two
雨が降っている,it’s raining,取り扱い,handling,電車で,by train
慣れ,getting used to,罰,punishment,従業員,an employee
日暮れ,"twilight, sunset",断言できればいい,I wish I could assure you,飛行機で,by plane
関連,related,緊急用毛布,an emergency blanket,両方向,both directions
本日,today,成長,the growth,トレード,trade
虹,a rainbow,月間,month-long period,入学した以上,as long as you are enrolled
沸騰,boiling,脱水,dehydration,学説,theory
成立,establishment,消防ホース,a fire hose,ライフサイクル,life cycle
受付係,receptionist,避難する,to evacuate,降参,descending
下痢,diarrhea,笑顔,smile,得意先,(regular) customer
優勝,winner,月曜日,monday,歯並び,row of teeth
訴える,appeal,洪水,flooding,久しい,long time has passed
燃える,blazing,被災地,a disaster zone,重ねる,overlap
翌日,next day,火山噴火,a volcanic eruption,測定,measure
一日,"1 day, 1st day",旅行保険,a travel insurance,申し出る,offer
彼女,her,乏しい,scarce,伝説,tradition
問屋,wholesaler,足,feet,車で,by car
日付,date,貴重,valuable,丹念,"careful, meticulous"
知る,know,人文科学,humanities,多分,maybe
火曜日,tuesday,気持ち,feelings,報告,reporting
蒸発させる,to evaporate,飢饉,famine,銀行口座,a bank account
受ける,to receive,要求する,demand,丼もの,rice bowl dish
戻るべきだ,should go back,抱く,hold,巨体,huge body
地区,"district, section",自転車,bicycle,利子,interest
雨,the rain,乾いた呪文,a dry spell,後ろ,back
受け流す,to ward off,あふれさせる,to flood,両人,both persons
暴風,the windstorm,粉砕する,to crush,取締役会,a board of directors
確実,certainty,無意味,nonsense,済ます,finish
高める,raise,火の玉,fireball,衰える,fade
削除,remove,製作,production,筆者,author
日本一,japan's best,火災警報,fire alarm,板,board
温度計,a thermometer,死者数,a death toll,昼,noon
誕生日,birthday,理性,reason,売り込み,a sales pitch
割り当て,assignment,四月,april,両替人,money exchanger
動力,motive power,死亡,death,美しいばかりでなく,not only beautiful
悩んだ挙句,after much worry,八百屋,grocery store,倉庫,a warehouse
送り仮名,sending name,意図,"intention, aim, design",回転,rotate
午後,afternoon,振り,swing,利益,a profit
近日,near future,倒産,bankruptcy,最終価格,the final price
哲学,philosophy,送る,send,辞意,intention to resign
竜巻,a tornado,八月,august,意思決定,decision-making
雨水,rainwater,パニック,the panic,説得,persuasion
霧雨に,to drizzle,秋,fall,好意的,favorable
栄える,flourish,手数料,charge,払い戻し,refund
会計,accounting,同僚とともに,with colleagues,買収,takeover
元日,new year's day,遠い,distant,案の定,as expected
貼り付ける,to paste,定年,age limit,ビジネス,the business
日課,daily routine,意向,"intention, idea, inclination",在庫,an inventory
日本画,japanese painting,荒廃させる,to devastate,悲しい,sad
受け付ける,to accept,猛暑,a heat wave,髪の毛,hair
寝かせる,lay down,社会科,social studies,両性,both sexes
呼びかける,to hail,小火,small fires,魚串,skewered fish
待ち受ける,to await,空港,an airport,惜しむ,regret
体格,physique,関税,tariff (import tax),当日,on the day
証明,proof,削る,shave,暑い,hot
傍受,interception,限界,limit,ベンチマーク,benchmarking
チケットコレクター,a ticket collector,消火器,fire extinguisher,丸一日,the whole day
むち打ちする,to lash,大火,large fire,意識不明,"unconscious, senseless"
ツアー,a tour,協会,association,漏れる,leakage
勤勉,diligence,新築,new construction,丸める,"to make round, to curl up"
単位,unit,出火,fire starting,人参,Participant
受信機,receiver,火災,fire,巨万,huge fortune
一日,one day,先月,last month,両軍,"both armies, both teams"
出来事,events,旅行日記,a travel diary,始まる,start
体,body,五月,may,地形,terrain
結核,tuberculosis,農協,agricultural cooperative,真意,real intention
受身,"the defensive, passive",意味,meaning,説得力,persuasiveness
日常生活,daily life,考えた挙句,after much thought,血管,blood vessels
日常,everyday,簿記,bookkeeping,月並み,every month
降雪,the snowfall,火葬,cremation,時計,clock
四日,"4 days, 4th day",期間中,during,曇る,cloud
日取り,appointed day,勉強するために,to study,収益,revenue
便所,latrine,覚える,remember,割合,ratio
駆け落ちしてでも,even if we had to elope,同居,living together,両者,both persons
場面,scene,十月,october,細胞,cells
受験,taking an examination,円,circle,両用,dual use
吹雪,the blizzard,意地悪,malicious,内心,inner mind
同じ,same,病気,sickness,考えれば考えるほど,the more I think about it
雷,a lightning,心配でたまらず,can't stop worrying,手伝う,help
難しい,difficult,外科,surgery,税,a tax
冷たい風,a cold breeze,内科学,internal medicine,観光地として,as a tourist destination
雪の,snowy,国立,national,奪う,take
干ばつ,a drought,国,country,協商,agreement
軽蔑,disdain,妥協点,compromise,終わり,end
天気予報,weather forecast,飛行機,airplane,祈る,prayer
単に,simply,抜く,pull out,耐久,"endurance, persistence"
有望,promising,近く,near,創立,establishment
取れる,i can get it.,移転計画,a relocation scheme,腰,back
強める,strengthen,有力,influential,並び,line
明るい,bright,航空会社,an airline,串団子,skewered dango
親善,goodwill,狭い,narrow,バランス,the balance
ひょう,hailstones,嘘をつく,to lie fellow,汚い,dirty
航空,aviation,構造プレート,a tectonic plate,両立,compatibility
風が強い,windy,最低,minimum,ビジネス,a business
ミスト,the mist,月額,monthly,お姉さん,sister
安い,cheap,死ぬ,die,受かる,receive
シャワー,a shower,今月,this month,両替,money exchange
低下,lowering,しようではないか,let's do (something),一両日,a day or two
激しい雨,a torrential rain,消火,fire extinguishing,外観,appearance
受信,"receiving (message, etc)",物資,material resources,駄目,no
日時,date and time,食料供給,food supplies,天皇,emperor
木曜日,thursday,肩,shoulder,付録,appendix
雪,the snow,構える,premises,腹,belly
憎しみ,hatred,分科会,subcommittee,両極,both extremities
受検,undergoing an inspection,年,year,曲がる,turn
大金,large amount of money,協力者,cooperator,丸出し,exposing fully
質問,question,仕上げる,finish,速度,speed
春,spring,野党,opposition,自殺,suicide
湿度,humidity,冬,winter,車両,railroad cars
砂嵐,a sandstorm,科学知識,scientific knowledge,製品,a product
人類,humanity,月日,"time, years",確率,probability
始める,start,商品,commodity,規模,scale
値引き,price discount,救助活動,a rescue operation,戻る,return
返却,return,脳外科医,brain surgeon,救う,save
前日,previous day,喜び,joy,不意に,suddenly
コールド,cold,擦る,rub,三,three
日々,daily,戦い,fight,両耳,both ears
気圧計,a barometer,閉める,close,意気,"spirit, disposition"
後日談,later date,火曜日,tuesday,返済期間,payment period
憂鬱,gloomy,一,one,染める,dye
裏付ける,to support,意思,intention,晴れる,clear
人形,doll,責任,the responsibility,親子丼,oyakodon
太陽,the sun,比較的,comparative,並びに,as well as
述べる,state,配達,the delivery,悠久,eternity
状況によって,depending on the situation,決意,"decision, determination",部門,a department
模範,example,弱い,weak,説く,to explain
望む,hope,中火,medium fire,両翼,both wings
嵐,stormy,動作,motion,四,four
呼ぶ,call,内科,internal medicine,木曜日,thursday
日にち,day of the week,数ヶ月,several months,両党,both parties
黒い氷,black ice,電車,train,山並み,mountain range
多い,many,試す,try,両親,Parents
拠点,"position, location",固める,solidify,スタッフ,the staff
五日,"5 days, 5th day",読むにつけ,the more one reads,書店,bookstore
タイムゾーン,a time zone,隠す,hide,載せる,put on
握ろうとした,tried to grab it,資産,the assets,見解,view
戦う,fight,月経,menstruation,運送,transport
追求しつつ,while pursuing,噴火する,to erupt,競争相手,a competitor
近い,close,付け加える,add,予算に応おうじて,according to the budget
日本初,japan's first,活火山,active volcano,無い,no
級,grade,損害,damages,食べ物,food
訪日,visiting japan,赤い十字架,the red cross,両様,"two ways, both ways"
保証,assurance,繁栄,prosperity,墓参り,visit to a grave
戸籍,family register,火事場,fire area,結果,the result
感受性,"sensitivity, susceptibility",敗戦,defeat,善意,virtuous mind
実に,practically,講義,lecture,参列,attendance
間違いだらけ,full of mistakes,遊ぶ,play,黄色い,yellow
友達,friend,統計,statistics,楽器,instrument
空,the sky,親,parent,意志,will
来日,coming of the sun,乗る,get on,本社,the head office
日光浴,sunbathing,前後,before and after,操縦,maneuver
突風,a gust of wind,火照る,firelight,継ぐ,take over
日曜日,sunday,上昇,the rise,仮説,hypothesis
日本,japan,伐採により,due to logging,オフィス,the office
付け足す,to add (to),重視,emphasis,意味合い,"implication, nuance"
不景気,recession,比例,proportional,製品の配置,a product placement
改めて,again,自然現象,a natural phenomenon,スケジュール,a schedule
日の丸,day and night,倒産,bankruptcy,学会,society
観光トラップ,a tourist trap,上昇,ascent,小売業者,the retailer
スコール、突風,"a squall, a gust",高度,advanced,業者,contractor
受け止める,"to catch, to react",地滑り,a landslide,朝,morning
日給,day pay,教科書,textbook,正式,official
受け継ぐ,"to inherit, to succeed",衣類,clothing,目下,at present
日本人,japanese,発火,ignition,出血,bleed
残念なことに,unfortunately,男の子,boy,古参,old visit
実感,real feeling,火山灰,volcanic ash,明瞭,clarity
価値観において,In terms of values,火山,volcano,走行車線,"slow lane, inside lane"
