Sentence,Translation
いくら頑張っても、合格できなければ意味がない。,"No matter how hard you work, if you can't pass the exam, it's meaningless."
いくらお金を積まれても、その仕事はお受けできません。,"No matter how much money you pile up, I can't accept that job."
最近、いくら寝ても疲れがとれません。,I can't get rid of fatigue these days no matter how much I sleep.
こんな物、いくら安くても買いません。,I won't buy such a thing no matter how cheap it is.
いくら謝られても、絶対に許しません。,"No matter how much you apologize, I will never forgive you."
やらせてくださいと頭を下げてお願いした以上は、途中でやめるわけにはいかない。,I can't quit in the middle of a project if I've bowed down and asked to be allowed to do it.
約束した以上、きちんと守ってもらわないと困ります。,"I have made a promise, and I need you to keep it."
二度とない機会をいただいた以上は、全力を尽くして頑張りたい。,"As long as I am working in Japan, I want to do my best."
日本で仕事をする以上、ビジネスレベルの日本語力が必要だ。,"As long as I work in Japan, I need to have business-level Japanese."
高いお金を払って入会した以上、必ず成果を出してみせる。,"I have paid a lot of money to join this program, so I will definitely make a difference."
日本で生活する以上、日本の法律や規則に従って生活しなければならない。,"As long as I live in Japan, I have to follow Japanese laws and regulations."
見らせてしまった以上、ただで帰すわけにはいかない。,I can't let them go home for free now that I have let them see me.
水不足で野菜の値段は上がる一方だ。,The price of vegetables is going up due to water shortage.
私の国ではインフレにより商品の値段が上がる一方です。,"In my country, prices of goods are going up due to inflation."
日本の景気は悪くなる一方だ。,The Japanese economy is getting worse and worse.
給料は増えないのに、税金は増える一方で、全然よくならない。,"Salaries don't increase, taxes increase, and the situation doesn't improve at all."
訪日外国人数は年々増える一方で、ホテル不足の問題が浮上している。,"The number of foreign visitors to Japan is increasing every year, and the problem of hotel shortages is emerging."
運動不足や食べ過ぎにより、体重は増える一方だ。,Lack of exercise and overeating will only lead to weight gain.
電子書籍や音楽のダウンロードサービスの普及により、店舗での売り上げは下がる一方だ。,"With the spread of e-book and music download services, sales at stores have been declining."
中級クラスになってから、授業の内容は難しくなる一方だ。,The content of my classes has become more difficult since I entered the intermediate class.
毎日残業続きでストレスは増える一方だ。,I'm working overtime every day and my stress is increasing.
また、新しい服を買ったの！？もー、どんどん増える一方じゃないの！,Did you buy new clothes again? I can't stop buying more and more clothes!
国へ帰ってから日本語を勉強しなくなったので、どんどん忘れる一方だ。,"I've stopped studying Japanese since I went back to my country, so I'm forgetting more and more."
大学を卒業して以来ずっと、田中さんに会っていない。,I haven't seen Mr. Tanaka since I graduated from college.
結婚して以来、一度も合コンしていない。,I haven't had a single blind date since I got married.
東京へ引っ越して以来、実家の両親に連絡していない。,I haven't contacted my parents since I moved to Tokyo.
この映画を見て以来ずっと、彼のファンです。,I have been a fan of his since I saw this movie.
日本に来て以来、私はこの街にずっと住んでいる。,I have lived in this city ever since I came to Japan.
入院を経験して以来、健康には気をつけるようにしています。,I have been taking care of my health since I experienced hospitalization.
マークさんは母を亡くして以来、笑わなくなった。,I have been living in this city since I came to Japan.
日本に来て以来、国の家族と連絡していない。,I haven't been in contact with my family in my country since I came to Japan.
喧嘩して以来、彼とは一言も話していない。,I haven't spoken a word to him since we had a fight.
別れて以来、ずっと彼女がいない状態だ。,I haven't had a girlfriend since we broke up.
ジョンさんは入学以来、一度も学校を休んでいない。,John hasn't missed a single day of school since he entered the university.
当社は設立以来、毎年業績が右肩上がりだ。,Our company's performance has been on the rise every year since its establishment.
妊娠以来、私はお酒を飲んでいない。,I haven't had a drink since I got pregnant.
皆さんの意見を聞いた上で、決めたいと思います。,I would like to decide after hearing everyone's opinions.
十分に検討した上で、どうするか返答いたします。,I would like to hear your opinions before deciding.
しっかりと面接した上で、誰を採用するか決めます。,I will decide who to hire after a thorough interview.
書き方をきちんと読んだ上で、こちらの用紙にご記入ください。,Please read the instructions carefully before filling out this form.
契約内容を確認の上、こちらにサインをお願いします。,Please sign here after confirming the contents of the contract.
部長に相談の上、返信いたします。,I will reply to you after consulting with the director.
電話またはインターネットでお申し込みの上、当時参加をお支払いください。,"Please apply by phone or internet, and pay the fee at that time."
海外旅行中に、財布を盗まれた上に、スマホも無くした。,I had my wallet stolen and lost my phone while traveling abroad.
散々待たされた上に、売り切れで一番人気の料理を食べることができなかった。,I had to wait for a long time and could not eat the most popular dish because it was sold out.
昨日はご馳走になった上に、お土産まで頂いたちゃった。,I was treated to a delicious meal yesterday and even got a souvenir.
彼は遅刻した上に、財布まで忘れて私が彼の分まで払うことになった。,"He was late and forgot his wallet, so I had to pay for him."
このカバンは安い上に、質も良い。,The bag is cheap and of good quality.
市場の魚は安い上に、新鮮です。,The fish in the market is cheap and fresh.
この料理は美味しい上に、とってもヘルシーだ。,This food is delicious and very healthy.
この参考書は高い上に、内容がわかりにくい。,This reference book is expensive and the contents are difficult to understand.
トムさんは優しい上に、ハンサムで、理想の男性です。,"Tom is kind, handsome and an ideal man."
この参考書は高い上に、わかりにくい。,This reference book is expensive and difficult to understand.
私の国のトイレは汚い上に、トイレットペーパーもない。,"The toilets in my country are dirty, and there is no toilet paper."
最近の携帯電話は、多機能な上に、カメラの質も良い。,Recent cell phones are multifunctional and have good quality cameras.
このプロジェクトは技術的に実現が困難な上に、費用も莫大にかかる。,This project is technically difficult to realize and the cost is enormous.
このレストランはお洒落な上に、料理も安く人気があります。,This restaurant is stylish and the food is cheap and popular.
大切なことは忘れないうちにメモするようにしてください。,Try to write down the important things before you forget them.
もう定時だし、上司がいないうちに、帰ろう。,It's time to go home before the boss is gone.
お金があるうちに、将来必要になりそうな物を揃えておきます。,Make sure you have everything you might need in the future while you still have money.
どうぞ、温かいうちに召し上がってください。,Please enjoy it while it's still warm.
若いうちに、好きなことをしておかないと、後々後悔することになるよ。,"If you don't do what you want while you're young, you'll regret it later."
鉄は熱いうちに打て。,Strike while the iron is hot.
桜が綺麗なうちに花見をしてしまいましょう。,I want to travel and eat as much as possible while my parents are still alive.
学生のうちに、たくさん遊んでおかなくちゃ。就職してからだと時間とれなくなるよ。,You have to have a lot of fun while you are still in school. You won't have enough time after you get a job.
独身のうちに、できるだけお金を貯金しておこう。,I should save as much money as possible while I am single.
赤ちゃんが寝ているから、今のうちに洗い物を済ませておこう,"The baby is sleeping, so let's finish the dishes while we can."
兄が出かけているうちに、こっそりケーキを食べちゃおう。,I'll sneak a piece of cake while my brother is out.
会わないうちに、すっかり大きくなりましたね。,You've grown so much in such a short time.
何度も映画を見ているうちに、自然と日本語が上手になりました。,I've been watching the movie so many times that my Japanese has naturally gotten better.
考える得る全ての方法を試してみたが、ダメだった。,"We tried everything we could think of, but it didn't work."
いつ地震が起こり得るかわからないから、しっかり備えておくことが大切だ。,"You never know when an earthquake might occur, so it is important to be prepared."
お酒の飲み過ぎや、タバコの吸いすぎは病気の原因になり得ます。,Drinking too much alcohol and smoking too much can cause illness.
私の彼に限って、浮気するなんてあり得ないよ。,It's impossible for me to have an affair with my boyfriend.
このようなエラーが出るのは、どうやってもあり得ないことなんですが,It's impossible for this kind of error to occur in any way...
このような事態になるとは、誰も予測し得ないことだった。,No one could have foreseen that this would happen.
身分を証明できる物をお持ちでしょうか。,Do you have proof of your identity?
乗車券をお持ちでしょうか。,Do you have a boarding pass?
社長がお待ちです。お急ぎください。,The president is waiting for you. Please hurry up.
どのようなお部屋をお探しでしょうか。,What kind of room are you looking for?
ご予算はいくらぐらいをお考えでしょうか。,What kind of room are you looking for? - What kind of budget do you have in mind?
先生、今何をお読みですか。,"What are you reading now, doctor?"
友達が仕事を紹介してくれたおかげで、無事就職できました。,"Thanks to my friend who introduced me to a job, I was able to find one."
君がミスしてくれたおかげで、今日は残業だよ。,"Thanks to your mistake, I have to work late today."
海外保険に入っていたおかげで、入院費を払わずに済んだ。,"Thanks to my overseas insurance, I did not have to pay for hospitalization."
シートベルトをしていたおかげで、一命を取りとめました。,"Thanks to my seat belt, I survived."
昨日、徹夜したおかげで、今日のテストはほとんど解答できた。,"Thanks to the all-nighter yesterday, I was able to answer most of the questions in today's test."
田中さんが休んだおかげで、私が代わりにプレゼンテーションをすることになった。,"Thanks to Mr. Tanaka's absence, I had to give a presentation in his place."
先生のおかげで、行きたかった大学に合格できました。,I was able to pass the university I wanted to go to thanks to my teachers.
みんなのおかげで、今日まで頑張ってこれました。,"Thanks to everyone, I have been able to do my best until today."
この薬のおかげで、だいぶ楽になりました。,"Thanks to this medicine, I feel much better."
スマホのおかげで、私たちの生活はとても便利になりました。,"Thanks to smart phones, our lives have become very convenient."
アニメのおかげで、話し言葉が上手になった。,"Thanks to the animation, my speech has become better."
洗濯は１週間おきにしています。,I wash my clothes every other week.
１日おきに部屋を掃除しています。,I clean my room every other day.
バスは15分おきに来ます。,The bus comes every 15 minutes.
オリンピックは３年おきに開催される。,The Olympics are held every three years.
私の国では冬の間は１日おきにお風呂に入るのが普通です。,"In my country, it is normal to take a bath every other day during the winter."
大型の台風が近づいているので、今夜の天気は大荒れになるおそれがあります。,"A large typhoon is approaching, so the weather may be very rough tonight."
早く治療をしないと、手遅れになるおそれがある。,"If you don't get medical treatment soon, it may be too late."
OSをアップデートしないと、コンピューターウイルスに感染するおそれがあります。,"If you don't update your OS, you may get a computer virus."
タバコを吸いすぎるとガンになるおそれがあります。,"If you smoke too much, you may get cancer."
今夜から明日にかけて、全国で大雨のおそれがあります。,There is a possibility of heavy rain throughout Japan tonight and tomorrow.
地震の影響による、津波のおそれはありません。,There is no threat of a tsunami due to the earthquake.
このままの状況が続けば、倒産のおそれがあります。,"If the situation continues, we may go bankrupt."
この鳥は絶滅のおそれがあると言われています。,This bird is said to be in danger of extinction.
出張で東京に来る折には、ぜひご連絡ください。,Please let me know when you come to Tokyo on business.
次にお目にかかった折には、詳しく聞かせてください。,Please let me know the details the next time you see me.
みなさん、また来日した折には、ぜひ学校に遊びに来てください。,"When you come to Japan again, please come and visit our school."
実家へ帰った折に、地元の友人に会った。,I met a friend from my hometown when I went back to my parents' house.
お伺いする折に、お借りした本を返します。,I will return the books I borrowed when I visit you.
毎日１０分、シャドーイングの練習をしたかいあって、発音が綺麗になった。,"I practiced shadowing for 10 minutes every day, and my pronunciation got better."
早めに試験の準備を始めたかいあって、試験前日に慌てることもなかった。,"Thanks to my early preparation, I didn't panic the day before the exam."
努力のかいあって、１年でJLPT N1に合格できた。,"Thanks to my efforts, I was able to pass the JLPT N1 in one year."
手術のかいもなく、母は亡くなってしまった。,My mother passed away without the help of the surgery.
ジョンさんは教えたことは、その日のうちに覚えるし、教えがいがある。,"Mr. John learns what I teach him within a day, and it is worth teaching him."
会社の先輩はとても頼りがいがある人物で尊敬している。,I respect my seniors in the company because they are very dependable people.
私の仕事は給料はあまりよくないけど、とてもやりがいがあります。,"My job is not very well paid, but it is very rewarding."
息子たちは毎日美味しいと言いながら、ご飯を食べてくれるので、作りがいがあります。,"My sons eat delicious food every day, which makes my work worthwhile."
この会社で働いている限り、技術者として成長することはできないだろう。,"As long as I work for this company, I will not be able to grow as a technician."
クラスにトムさんがいる限り、私がテストで１番になるのは難しい。,"As long as Mr. Tom is in the class, it will be difficult for me to be number one in the test."
私は体が動く限り、いつまでも働きたいと思っている。,I want to work as long as I can.
君たちは学生である限り、たくさん勉強しなければならない。,"As long as you're a student, you have to study a lot."
東京に住んでいる限り、家賃を抑えるのは難しいだろう。,"As long as you live in Tokyo, it will be difficult to keep the rent down."
冷蔵庫の中に食べかけのケーキがあるけど、これ誰の？,There's a piece of cake in the fridge. Whose is it?
この飲みかけのビールって私の？,Is this beer mine?
息子はやりかけの宿題をおいて、遊びに出かけてしまった。,My son left his unfinished homework and went out to play.
まだレポート書きかけだから、これが終わったら家に帰ります。,"I still have a report to write, so I'll go home after I finish it."
ジョンさんは何か言いかけて、やめてしまった。,"Mr. John started to say something, but then stopped."
山に登っているとき、滑って死にかけた経験がある。,"When I was climbing a mountain, I slipped and almost died."
「壊れかけのRadio」って曲知ってる？,"Do you know a song called ""Broken Radio""?"
このきゅうり、ちょっと色が変だし腐りかけてるんじゃない？,These cucumbers are a little strange in color and may be rotten.
波にのまれて、溺れかけた。,I was almost drowned by a wave.
雨で床が濡れていたので、滑って転びかけた。,"The floor was wet from the rain, so I slipped and almost fell."
彼がそんなことをしたなんて、信じがたい話だ。,It's unbelievable that he would do such a thing.
私の家の周辺にゴミを捨てていくなんて、許しがたいことだ。,It's unforgivable that he would throw garbage around my house.
どちらの料理も美味しく、甲乙つけがたい。,Both dishes are delicious and hard to beat.
ジェームスさんはいつも怖い顔をしているし、無口だし、近寄りがたいよね。,"Mr. James always looks scary, he doesn't talk much, and he's hard to get close to."
彼女へのプロポーズの言葉は今でも忘れがたいものです。,The words I proposed to her are still unforgettable.
部長の考えはいつも理解しがたい。,The director's ideas are always hard to understand.
キムさんは病気がちで、よく学校を休みます。,Mr. Kim is sick and often absent from school.
この文法の間違いは初級者にありがちだ。,This grammar mistake is common among beginners.
メッセージの返信を忘れがちで、彼女によく怒られる。,"I tend to forget to reply to messages, and my girlfriend often gets angry with me."
社会人になると、運動する機会が減り、運動不足になりがちだ。,"When you are a working adult, you have fewer opportunities to exercise and tend to lack exercise."
一人暮らしの男子大学生は、野菜を不足しがちだ。,Male college students who live alone tend to be lacking in vegetables.
多くの学生がこの種の問題を間違いがちだ。,Many students tend to make mistakes in this kind of problem.
そのような態度は思春期に見れれがちなことなので、あまり心配する必要はありません。,"There is no need to worry too much about such attitudes, as they tend to be seen during adolescence."
このあたりの電車はよく遅れがちなのだ。,The trains in this area are often late.
雲で空が暗くなったかと思うと、急に雨が降り出した。,"The sky became dark with clouds, and it suddenly started to rain."
空が光ったかと思うと、ゴロゴロと音がなった。,"The sky seemed to light up, and then there was a rumbling sound."
雨が降ってきたかと思ったら、すぐに止んだ。,"I thought it was raining, but it stopped immediately."
息子は家に帰ってきたかと思うと、すぐにどこかへ出かけていった。,My son came home and immediately went away.
昼ごはんを買いに行こうかと思ったら、先輩がおにぎりをくれた。,"I was about to go out to buy lunch, when my senior gave me a rice ball."
小さな地震が来たかと思ったら、すぐに大きな地震も来た。,"I thought there was a small earthquake, but soon there was a big one."
１０分走るか走らないかのうちに、足が痛くなってきた。,"After 10 minutes of running or not, my feet started to hurt."
映画が終わるか終わらないかのうちに、観客は席を立ち始めた。,"As soon as the movie was over, the audience started to leave their seats."
家に着くか着かないかのうちに、雨はやみました。,The rain stopped before I reached home.
駅に着くか着かないかのうちに、乗客は降りる準備を始めた。,"Whether or not we reached the station, the passengers began to prepare to get off."
演奏が終わるか終わらないかのうちに、観客は拍手をした。,"As soon as the performance was over, the audience clapped their hands."
たかし、まだ帰ってこないけど、何かあったのかなあ。,"Takashi hasn't come home yet, I wonder if something happened to him."
この後、どうしようかなあ。,I wonder what I should do after this.
確かこの辺りに美味しいトンカツ屋があるはずなんだけど..ここじゃなかったかなあ。,I'm sure there's a good pork cutlet restaurant around here... but I think it's not here.
明日のテスト、大丈夫かなあ。勉強したけど、不安になってきた。,"I wonder if I will be able to pass the test tomorrow. I've studied hard, but I'm starting to get worried."
明日は何を着て行こうかなあ。,I wonder what I'll wear tomorrow.
早く返事が来ないかなあ。,I wonder if I'll get a reply soon.
真面目な木村さんがそんなことをいうと、皆に誤解を招きかねない。,"If Mr. Kimura, a serious person, says such a thing, it may mislead everyone."
毎日、そんなジャンクフードばかり食べてると病気になりかねないよ。,"If you eat that much junk food every day, you might get sick."
毎日、そんなにタバコを吸っていると癌になりかねないよ。,"If you smoke that much every day, you might get cancer."
対応が遅れると大問題にはなりかねないよ。まずは早急に今の状況を報告しよう。,"If we don't take action soon, we could be in big trouble. Let's report the situation as soon as possible."
彼は口が軽いので、秘密を漏らしかねない。,"He's too soft-spoken, he might let the secret out."
疲れている時の運転は事故を起こしかねないので、やめた方がいい。,"It's better not to drive when you're tired, because you might cause an accident."
申し訳ございませんが、座席の変更はいたしかねます。,"We are sorry, but we cannot change your seat."
セール商品のため、購入後はいかなる事情であっても、返品いたしかねます。,This is a sale item and cannot be returned under any circumstances after purchase.
海外へ旅行してみようと思っているが、どこに行くか決めかねている。,"I'm thinking of traveling abroad, but I can't decide where to go."
私は部長の意見には賛成いたしかねます。,I do not agree with your opinion.
仕事のストレスに耐えかねて、僕は転職を決意した。,"I couldn't stand the stress of the job, so I decided to change careers."
申し訳ございませんが、その質問には答えかねます。,"I'm sorry, but I can't answer that question."
どうしてこんなに散らかってるの！まるで地震でもあったかのようじゃないの。,Why is the place so messy? It's as if there had been an earthquake.
彼はいつでも自分のほうが偉いかのような態度で接してくるのであまり好きじゃない。,I don't like him much because he always treats me as if I'm better than him.
なんでそんなに怯えてるの？まるでお化けでも見たかのようだよ。,Why are you so frightened? You look as if you've seen a ghost.
何その格好。ちょっと海へ行くだけなのに、まるでセレブかのような格好だよ。,What's with the outfit? We're just going to the beach and you're dressed like a celebrity.
部屋の雰囲気から言うと、最初に見た家の方が好きです。,"In terms of the atmosphere of the room, I prefer the first house I saw."
値段から言えばこっちのパソコンの方がいいけど性能で言えばあっちの方がいいんだよな。,"In terms of price, this computer is better, but in terms of performance, that one is better."
年齢から言えば、彼女はもう結婚してもいい年頃だ。,"From the standpoint of age, she is old enough to get married."
自分の経験から言うと、仕事を辞める前に、次の就職先を探しておいた方がいい。,"From my own experience, it is better to look for a new job before quitting your job."
能力から言って、彼がこの仕事に一番適切だと思います。,"Based on his abilities, I think he's the most qualified for this job."
現状から言って、直ちにその計画を実行するのは無理だ。,"Given the current situation, it's impossible to implement that plan immediately."
この成績から言えば、国立大学は無理だと思う。,I don't think I can get into a national university based on my grades.
世間の認識という点からいえば、私の立場は弱かった。,"In terms of public perception, I was in a weak position."
この作文は、日本語能力から言えば、まだまだだが、内容はいい。,"This essay is not quite good enough in terms of Japanese ability, but the content is good."
アラビア語は文字からして難しい。,The Arabic language is difficult to learn.
やっぱり高級レストランは、食器からして違うね。,The tableware is different from that of a high-class restaurant.
この会社は挨拶からして、きちんとできていない。,This company is not well organized from the greeting.
他の人を馬鹿にしたような口調からして、彼を好きにはなれない。,I don't like him because of his ridiculous tone of voice.
このホテルは従業員の接客態度からして、全然ダメだ。,This hotel is not good at all because of the attitude of its employees.
彼は服装からして、お金をたくさん持っていそうだ。,"He seems to have a lot of money, judging from his clothes."
新しい部署の上司は、表情からして怖そうだ。,The boss of the new department looks scary from the look on his face.
JLPTの結果を聞こうとしたが、彼らの表情からして受かったことがわかる。,"I tried to ask him about his JLPT results, but I could tell from their expressions that he had passed."
彼の話し方からして、少し怒っているのがわかる。,I could tell from the way he was talking that he was a little angry.
このレストランは雰囲気からして、美味しそうだ。,This restaurant looks good from the atmosphere.
宿題がないことは親からすると心配なことです。,The lack of homework is a concern for parents.
ジョンさんの日本語は上手ですが、ネイティブからするとまだまだ不自然です。,"John's Japanese is good, but it is still unnatural for a native speaker."
タワポンさんの実力からすると、次のJLPTは余裕で合格できるでしょう。,"I'm sure you can pass the next JLPT with ease, given your ability."
彼の症状からすると、心臓の病気かもしれません。,"Based on his symptoms, he may have a heart condition."
周りの態度からすると、あの人が有名人ではないでしょうか。,"From the attitude of the people around me, I think that person is a celebrity."
話しぶりからすると、このへんの出身じゃないみたい。,"From the way he talked, he didn't seem to be from around here."
教師の観点からすると、すべての生徒は平等に扱われるべきだ。,"From a teacher's point of view, all students should be treated equally."
彼女の能力からすれば、東大に十分合格できるだろう。,"Based on her ability, she should be able to pass Tokyo University."
契約書の内容をきちんと確認してからでなければ、サインすることはできません。,You can't sign a contract unless you've read it carefully.
現物を見てからでないと、買うかどうか決めることはできません。,You can't decide whether to buy it or not until you see the actual product.
このダイエット薬は、飲み始めて１ヶ月以上経ってからでないと効果は出ません。,This diet pill will not be effective until you have been taking it for more than a month.
実際に故障した商品を見てからでないと、修理費用がいくらになるかわかりません。,You can't know how much the repair cost will be until you actually see the broken product.
今日は楽しい飲み会があるが、この仕事が終わってからでないと行けない。,"I have a fun drinking party today, but I can't go until after this work is done."
日本では２０歳になってからでないと、お酒を飲んではいけない。,"In Japan, you are not allowed to drink alcohol until you are 20 years old."
部長に承認をもらってからでないと、見積書を提示することはできません。,You can't present a quotation until you get approval from the general manager.
きちんと証拠を掴んでからでないと、あの男を逮捕することはできない。,You can't arrest the man until you have the proper evidence.
日本語の先生だからといって、何でも知っているわけではない。,Just because you're a Japanese teacher doesn't mean you know everything.
ゴールド免許を持っているからといって、事故を起こさないとは限らない。,Just because you have a gold driver's license doesn't mean you won't cause an accident.
有名大学を卒業したからといって、仕事ができるとは限らない。,Just because you graduated from a famous university does not mean you can do a good job.
初心者だからといって、優しくするつもりはありません。,Just because you are a beginner doesn't mean you are going to be gentle.
寒いのには慣れているからといって、薄着で富士山に登るのは無茶だよ。,"I'm used to cold weather, but climbing Mt. Fuji in light clothing is a fool's errand."
いくら忙しいからといって、家族との時間を大切にしないのはよくないよ。,"No matter how busy you are, it's not good not to spend time with your family."
暑いからといって、毎日エアコンが効いた部屋にこもっていると病気になるよ。,"If you stay in an air-conditioned room every day because it's hot, you will get sick."
明日は午後から夕方にかけて雨が降るでしょう。,It will rain tomorrow afternoon and evening.
肩から背中にかけてすごくかゆい。,My shoulders and back are very itchy.
成田から東京にかけて渋滞が続いている。,The traffic jam is continuing from Narita to Tokyo.
日本では大学入試は2月から３月にかけて行われる。,"In Japan, university entrance examinations are held in February and March."
６月から７月にかけてよく雨が降る。,It rains a lot in June and July.
今日から明日にかけて大型の台風が上陸する見込みです。,A large typhoon is expected to hit Japan from today to tomorrow.
３月の中旬から５月にかけて桜が見られるでしょう。,The cherry blossoms will be seen from the middle of March to May.
「私にやらせてください」と言ったからには、途中でやめるわけにはいかない。,"I've said, ""Let me do it,"" and I can't stop halfway."
やるからには全力でやるつもりだ。,I'm going to give it my all.
親にお金を出してもらって試験を受けるからには、絶対に合格してみせるつもりだ。,I'm going to do my best. I'm going to pass the exam because my parents paid for it.
海外に住んでいるからには、その国の法律に従わなければならない。,I have to obey the laws of the country I'm living in.
約束したからには、ちゃんと守ってもらわないと困ります。,"I've made a promise, and I need you to keep it."
パーティーに参加すると言ったからには、当日に「やっぱり行けない」なんて言えない。,"I can't say ""I can't go"" on the day of the party because I said I would attend the party."
日本へ留学するからには、たくさん日本語を勉強して、いい会社に就職するつもりです。,I will study a lot of Japanese and get a job at a good company because I am going to study in Japan.
部長は出張で来られないので、私が代わりに呼ばれました。,"The director was unable to come due to a business trip, so I was called in his place."
佐藤先生は今日、熱でお休みなので、私が先生の代わりに教えます。,"Sato-sensei is absent today due to fever, so I will teach in her place."
私は夜早く寝る代わりに、朝早く起きで勉強している。,"Instead of going to bed early at night, I wake up early in the morning to study."
スクールは高いので、代わりに参考書を買って自分で勉強した。,"Schools are expensive, so I bought reference books and studied by myself instead."
私が日本語を教える代わりに、ジョンさんは英語を教えてよ。,"Instead of me teaching you Japanese, John, you should teach me English."
今晩、泊めてあげる代わりに、部屋の掃除と洗濯をしてね。,"In exchange for letting me stay here tonight, you'll clean my room and do my laundry."
宿題を手伝ってくれたら、その代わりに晩ご飯をご馳走するよ。,"If you help me with my homework, I'll treat you to dinner in return."
エドワード・エルリックは弟の命を助ける代わりに片腕、片足を失った。,"Instead of saving his brother's life, Edward Elric lost one arm and one leg."
ちょっと風邪気味で調子が悪い。,I'm a little sick with a cold.
明日の就職面談を控えて、息子はすでに緊張気味だ。,My son is already nervous about his job interview tomorrow.
最近、寝不足気味なのか体が思うように動きません。,"Recently, my body doesn't move as I expected, probably because I'm a little short of sleep."
今週ずっと雨が降っていたが、今は回復気味だ。,"It's been raining all week, but now it's getting better."
最近、太り気味なので、毎日ジョギングをすることにしました。,"Since I've been gaining weight lately, I've decided to go jogging every day."
マークさんはアルバイトで疲れ気味で、授業中ずっと眠そうにしている。,Mark was tired from his part-time job and looked sleepy throughout the class.
彼は事故以来、ずっと寝たきりだ。,He's been bedridden ever since the accident.
ジョンさんとは２年前に会ったきり、もう会っていない。,I met John two years ago and haven't seen him since.
彼にお金を貸したきり、返ってこない。,"I lent him some money, but he hasn't returned it."
きむさんは国へ帰ったきり、戻ってこない。１週間だけ帰るって言っていたんだけどなあ。,Mr. Kim went back to his country and hasn't come back since.
高校生の時に、ディズニーランドに行ったけど、それっきり１度も行ってない。,"I went to Disneyland when I was in high school, but I haven't been there since."
息子は部屋にこもりっきりで、全然出でこないのよ。,My son stays in his room and doesn't come out at all.
彼女とは別れたきり、一度も会っていない。,I haven't seen my girlfriend since we broke up.
ねぇ、今度2人きりで飲みに行かない？,"Hey, do you want to go out for a drink with me sometime?"
