Kanji,NR,KR,Meaning,W1,R1,M1,W2,R2,M2,W3,R3,M3
現,GEN,arawa,"present, appear",現状,げんじょう,present condition,現れる,あらわれる,"to appear, come in sight",現地,げんち,actual place
最,SAI,motto,"most, utmost",最近,さいきん,"recently, lately",最も,もっとも,"most, extremely",最善,さいぜん,"the very best, utmost"
化,"KA, KE",ba,"change, take form",化ける,ばける,"to transform, disguise",化粧,けしょう,"make-up, cosmetics",化学物質,かがくぶっしつ,chemical substances
民,MIN,tami,"people, subjects",市民,しみん,citizen,難民,なんみん,refugee,移民,いみん,"immigration, emigration"
相,"SOU, SHOU",ai,"inter, mutual, minister",相手,あいて,"companion, partner, other party",相互,そうご,mutual,相談,そうだん,"consultation, discussion"
法,HOU,nori,"method, law, rule",法律,ほうりつ,law,方法,ほうほう,"method, process",法則,ほうそく,"law, rule"
全,ZEN,"matta, sube","whole, entire, all",全部,ぜんぶ,"all, entire",全て,すべて,"everything, all",全く,まったく,"really, truly, completely"
情,JOU,nasa,emotion,情報,じょうほう,"information, news",感情,かんじょう,"emotion, feelings",情け,なさけ,"pity, sympathy, compassion"
向,MOU,mu,"facing, beyond",向く,むく,"to turn toward, to face",向かう,むかう,"to face, to go towards",向ける,むける,"to turn towards, to point​"
平,"HEI, BYOU","tai, hira","flat, even, peace",平等,びょうどう,equality,平均,へいきん,"average, mean",平ら,たいら,"flat. level, even, calm"
成,SEI,na,become,成る,なる,to become,成功,せいこう,success,賛成,さんせい,"approval, agreement"
経,"KEI, KYOU","he, ta","pass, elapse",経験,けいけん,experience,経る,へる,"to pass, to elapse",経つ,たつ,"to pass, to elapse"
信,SHIN,.,"trust, faith",信じる,しんじる,to believe,信頼,しんらい,"reliance, trust, faith",信号,しんごう,"signal,  traffic signal"
面,MEN,"omote, omo, tsura","surface, mask",面白い,おもしろい,interesting,面接,めんせつ,interview,表面,ひょうめん,"surface, face"
連,REN,"tsu, tsura",take along,連れる,つれる,"to take some with, bring along",連想,れんそう,association (ideas),関連,かんれん,"relation, connection"
原,GEN,hara,"original, meadow",原理,げんり,principle,原因,げんいん,"cause, origin, source",原っぱ,はらっぱ,"open field, empty lot"
顔,GAN,kao,"face, expression",笑顔,えがお,"smiling face, smile​",顔つき,かおつき,"looks, features, face",顔面,がんめん,face (of person)
機,KI,hata,machine,機械,きかい,"machine, mechanism",機会,きかい,"chance, opportunity",機能,きのう,"function, facility, feature"
次,"JI, SHI","tsugi, tsu",next,次ぐ,つぐ,"to rank next to, come after",目次,もくじ,"table of contents, contents",次第,しだい,depending on​
数,SU,"kazu, kazo","number, count",数える,かぞえる,"to count, enumerate",回数券,かいすうけん,"coupon tickets, discount ticket",周波数,しゅうはすう,frequency
美,BI,utsuku,beautiful,美術館,びじゅつかん,art museum,美しい,うつくしい,beautiful,美人,びじん, beautiful woman
回,KAI,mama,"times, revolve, turn",回る,まわる,"to turn, revolve​, go around",回復,かいふく,"restoration, rehabilitation",回り道,まわりみち,"detour, diversion"
表,HYOU,"arawa, omote","surface, express",表す,あらわす,"to represent, signify, reveal, show",表情,ひょうじょう,facial expression,表現,ひょうげん,expression
声,SEI,koe,voice,声明,せいめい,"declaration, statement",小声,こごえ,"low voice, whisper​",音声,おんせい,"voice, speech"
報,HOU,muku,"report, news",天気予報,てんきよほう,weather forecast,報じる,ほうじる,"to inform, report​",報いる,むくいる,"to reward, recompense"
要,YOU,i,"need, main point",要る,いる,to need,必要,ひつよう,necessary,重要,じゅうよう,important
変,HEN,ka,"unusual, change",変わる,かわる,"to change, be transformed",変化,へんか,"change, variation",変える,かえる,"to chnage, alter"
神,"SHIN, JIN",kami,god,神社,じんじゃ,Shinto shrine,神,かみ,god,神経,しんけい,"nerves, sensitivity"
駐,CHUU,.,"stop-over, reside in",駐車する,ちゅうしゃする,parking,駐車場,ちゅうしゃじょう,a parking lot,駐在する,ちゅうざいする,"residence, stay"
無,HEI,na,"nothing, nil, not",無休,むきゅう,"without a holiday, nonstop",無理,むり,"unreasonable, unnatural, impossible",無料,むりょう,free of charge
満,MAN,mi,full,満ちる,みちる,"to fill, become full",不満,ふまん,dissatisfied,満足,まんぞく,satisfaction
禁,KIN,.,prohibition,禁じる,きんじる,to prohibit,禁止,きんし,prohibition,解禁,かいきん,lifting a ban
関,KAN,"seki, kaka",connection,関心,かんしん,"interest, concern",玄関,げんかん,entrance,関係,かんけい,relation
係,KEI,"kaka, bakari","in charge, connection",係,かかり,"duty, person in charge",係員,かかりいん,person in charge,係長,かかりちょう,subsection head
断,DAN,"kotowa, ta","decline, refuse",無断,むだん,without permission,断水,だんすい,suspension of water supply,断る,ことわる,to refuse
