Words,Reading,Meaning
彦一に見せると,hikoichi ni miseru to,upon showing it to Hikoichi
彦一め,hikoichi me,"you dirty “rat,” Hikoichi [め after a name is an insult]"
起きてきた彦一さん,okitekita hikoichi “san,"Hikoichi,” who had awaken"
彦一,hikoichi,Hikoichi means “Hikoichi believes because (of Tengu’s interest) he is at the brink of success
開いていた,hiraiteita,opened
開かぬ,hirakanu,won’t open
開き,hiraki,(umbrella) opens
開きません,hirakimasen,didn’t open
いつ開くか,itsu hiraku ka,when it would open
開く,hiraku–opens,
一人だけ,hitori dake,only one person; the only one
一人,hitori,one person
一つ,hitotsu,one
ひや～,hiya~–yikes!,
本物の若,honmono no waka,the real young lord
本物の若様,honmono no waka sama,the real young lord
ほんとうに,hontou ni,really
本当は,hontou wa,but really; truthfully…
ほしくなりました,hoshiku narimashita,began to want (the umbrella)
ほしくてたまりません,hoshikute tamarimasen,couldn’t stop wanting [たまりません means can’t stop (wanting)]
褒美,houbi,praise
評判の,hyouban no,famous; well thought of…
評判,hyouban,fame; popularity
いえいえ,ie ie,no way
家に,ie ni,to the house/home
家に帰って,ie ni kaette,returning home…
家の掃除,ie no souji,house cleaning
いいもの,ii mono,a good thing
いい気分,ii kibun,good feeling
いい気分になった彦一さん,ii kibun ni natta hikoichi “san,"Hikoichi,” who was in a good mood"
言い返せなかった,ii kaese nakatta,couldn’t return speech; could say nothing in response
いい,ii,good; better
行かなくてはならない,ikanakute wa naranai,had no choice but to go
行かせ,ikase,sent
いきました,ikimashita,went
生きた傘,ikita kasa,living umbrella
生きている傘,ikiteiru kasa,living umbrella
一か月ほどして,ikkagetsu hodo shite,about a month passed [ほど indicates approximation]
いっこうに,ikkou ni,completely; absolutely; totally
いくらでも,ikura demo,however much
今,ima,now; just now
いました,imashita,there lived; was [useいました with living things andありました with inanimate objects
一本の竹筒,ippon no takezutsu,one bamboo pipe/tube
いろいろあります,iroiro arimasu,there are various…
いるぞ,iru zo,is there [いる with living beings;ぞ emphatic ender]
一緒に,issho ni,together
一生懸命,isshoukenmei,with all one’s effort
いたずら,itazara,prank; mischief
いたずらに成功した彦一さん,itazura ni seikou shita hikoichi “san,"Hikoichi,” who had success with his prank"
いつですか,itsu desu ka,when was it?
いつ降るかと,itsu furu ka to,when it would fall (rain) [theと indicates a question and connects the thought]
いつのまにか,itsunomanika,before one knows; while unaware
いったい,ittai,just what…; what in the world [used to show surprise]
言って,itte,saying
行って,itte,went (to the castle)
いうとおりじゃ,iu toori ja,just as he says
いやだわ,iyada wa,yuck [theわ is a feminine ender for emphasis]
いや,iya,dislike
じゃ,ja,variation ofだ copula sentence ender
自分で,jibun de,by itself
自分の,jibun no,his own…
自分の手のひらを見た子,jibun no te no hira o mita ko,the child who looked at the palm of his hand
地面に,jimen ni,to the ground
実は,jitsu wa,in truth; actually…
かわかるか？,ka wakaru ka?,Can you figure it out or not?
帰ろう,kaerou,let’s return
帰ることができます,kaeru koto ga dekimasu,can (enjoy viewing flowers while) returning
帰ることにしました,kaeru koto ni shimashita,decided to go back
帰る用意,kaeru youi,preparations for returning
変えて,kaete,changed
帰っていった,kaette itta,returned
帰って,kaette–returned,
家宝,kahou,heirloom
かけました,kakemashita,(voice) called out
隠れ蓑,kakure mino,concealing straw raincoat
隠れ蓑とは,kakure mino towa,as for the concealing straw raincoat
かまどで,kamado de,with the furnace
かまどに,kamado ni,in the furnace
かもしれない,kamoshirenai,might; possibly
看板にしました,kanban ni shimashita,made (the umbrella) the sign
看板,kanban,a sign (on a board)
考えていました,kangaete imashita,thought
考えてもいい,kangaete mo ii,I’ll think about it
簡単に,kantan ni,easily
顔つき,kao tsuki,looks; facial expressions
顔色,kao iro,face color
顔,kao,face
か,ka,question marker
から,kara,because of (what was said)
から,kara,from
軽いもの,karui mono,something light
傘が売れて,kasa ga urete,the umbrellas were selling
傘が開く様子,kasa ga hiraku yousu,the appearance of the umbrella opening
傘や,kasa ya,umbrella maker [theや makes many products their professions]
傘を売ること,kasa wo uru koto,the selling of the umbrella [theこと makes it into a noun phrase]
傘を見ました,kasa wo mimashita,watched the umbrella
傘,kasa,umbrella
賢いのなら,kashikoi no nara,if you are smart
賢い,kashikoi,wise; smart
かしこまって,kashikomatte,stand respectfully
かしこそうなつら,kashikosou na tsura,a wise-looking face
かしこそう,kashikosou,wise-looking
貸してくれませんか,kashite kuremasen ka,won’t you let me borrow it?
か,ka,so you are… [used to show mild surprise]
買うお金,kau okane,money to buy with
川に,kawa ni,in a river
川の中に,kawa no naka ni,in the middle of the river
飾りました,kazarimashita,adorned; decorated; placed
家来たち,kerai tachi,vassals; retainers
家来,kerai,servant; retainer
消した,keshita,erased; disappeared
貴重なもの,kichou na mono,a precious thing [useな when connecting貴重 (precious) toもの (thing)]
着物,kimono,kimono; clothes
着ると,kiruto,upon wearing
汚い蓑,kitanai mino,a dirty straw raincoat
着ています,kiteimasu,wearing
子供,kodomo,children
声をかけました,koe wo kakemashita,greet; to call out to someone
声,koe,voice
心の中で,kokoro no naka de,in (their) heart
困ったのは,komatta no wa,the one in trouble was
今回ばかり,konkai bakari,but this time
こんなこと,konna koto,such a thing
こんな汚い蓑,konna kitanai mino,this dirty straw raincoat
この傘,kono kasa,this umbrella
この傘に,kono kasa ni,to this umbrella
この傘は,kono kasa wa,as for this umbrella この言葉 kono kotoba
この,kono,this
これは,kore wa,as for this
腰を抜かして,koshi wo nukashite,unable to stand due to fear or surprise
こっそりと,kossori to,in secret; stealthily
ことになりました,koto ni narimashita,it happened; was decided
断りました,kotowarimashita,turned down; refused
こういいました,kou iimashita,said this
こう答えました,kou kotaemashita,answered thusly
こう言いました,kou iimashita,said thusly
こう,kou,like this; such as this
口だけ,kuchi dake,just the mouth
口元,kuchi moto,around the mouth
口元の灰,kuchi moto no hai,the ashes around his mouth
空中に,kuuchuu ni,in mid-air
待ちに待った,machi ni matta,waited for a long time
待ちに待った殿様,machi ni matta tonosama,the lord who waited
町の人たち,machi no hitotachi,the townspeople [たち is plural]
まだまだ,mada mada,still yet
まだ効き目,mada kikime,still may have effect; may still work
まで,made,until; to (the mountains over there)
毎日,mainichi,every day
また酒屋さんに出かけて,mata sakaya san ni dekakete,left again for the bar
待っている,matte iru,waiting
見当たりません,mi atarimasen,couldn’t be found
見えません,miemasen,cannot see
見えなかった,mienakatta,could no longer see
見えなくなりました,mienaku narimashita,disappeared
見えなくなる,mienaku naru,became invisible
見える,mieru,be able to see
見ました,mimashita,looked
耳に,mimi ni,into the ear
皆の,mina no,everyone’s
皆のもの,mina no mono,everyone’s things
皆,mina,everyone
皆様,minasama,everyone (plural)
みんなに,minna ni,from everyone (Hikoichi received laughter)
みんなの前に,minna no mae ni,in front of everyone
見られない,mirarenai,not able to see
みるみる,miru miru,very fast; in a twinkle of the eye
店の主人,mise no shujin,the owner of the store
店中,mise juu,throughout the store
見たとき,mita toki,when (he) saw
みて,mite,seeing
見分けがつきません,miwake ga tsukimasen,couldn’t tell them apart
水で,mizu de,with water
もない,mo nai,also doesn’t exist; even that isn’t there
も,mo,also
持ち上げて,mochi agete,lifted up and carried
問題の傘,mondai no kasa,troublesome umbrella
ものですから,mono desu kara,because of that
もしもし,moshi moshi,hello
持っていきました,motte ikimashita,carried away
持っていく,motte iku,carrying
持っていくなら,motte iku nara,if we (must) carry…
持っていけばよい,motte ikeba yoi,carrying (what you like) is fine
持っていました,motte imashita,owned; held (a raincoat)
持ってきて,motte kite,brought it over
持って,motte,carried
もう,mou,already; not any more (with the negativeない)
儲からない,moukaranai,not profitable
毛せん,mousen,a rug; a mat; a carpet
燃やしてしまいました,moyashite shimaimashita,burned it all up
燃やして,moyashite,burn
むかし、むかし,"“mukashi,” mukashi",a long time ago
なので,na node,therefore; because of that
など,nado,etc; and so forth
長い間,nagai aida,for a long time
流されてしまって,nagasarete shimatte,washed away
なかなか,nakanaka,by no means (with the negative)
なくなってしまいました,nakunatte shimaimashita,lost it all
なんですか,nan desu ka,what is it
なにも,nani mo,nothing (used with a negative verb)
なにも見えるはずがありません,nani mo mieru hazu ga arimasen,shouldn’t be able to see anything
なにか,nanika,something
何時間待っても,nanjikan mattemo,however long (he) waited
なんと,nanto,how! [shows emotion]
なら,nara,if (you exchange)
な,na,sentence ender indicating emotion or emphasis
なぜ,naze,why
ね,ne,sentence ender indicating emphasis and agreement
寝てしまいました,nete shimaimashita,fell asleep [theしまいました shows later regret]
にしました,ni shimashita,decided upon
につられて,ni tsurarete,being enticed (by his words)
になってしまった,ni natte shimatta,became
になっても,ni natte mo,even becoming
になりました,ni narimashita,happened; became
には,ni wa,was for on
に出かける,ni dekakeru,went out for (hanami)
に成功,ni seikou,success with (the prank)
に行って,ni itte,went to (a bar)
に感心して,ni kanshin shite,become interested in; grab one’s attention
逃げ出しました,nige dashimashita,escaped
逃げているうちに,nigeteiru uchi ni,while escaping
握り飯,nigiri meshi,rice ball; onigiri
二階の軒先に,nikai no nokisaki ni,on the edge of the eaves of the second floor
二階,nikai,second floor of a building
にっこりと,nikkori to,smiling
にっこり,nikkori,smiling; grin
荷物,nimotsu,luggage; baggage
にやりと笑って,niyarito waratte,grin; a broad smile
のかどうか,no ka dou ka,whether it is so or not
のくせに,no kuse ni,although; despite
のでした,no deshita,was [theの indicates the preceding is an explanation]
のです,no desu,[explanatory ender plus copula]
のところにも,no tokoro ni mo,even at (the lord’s) place
のは,no wa,as for (when the last feeding)
のほう,no hou,that direction
の中に,no naka ni,inside (the chest)
の間で,no aida de,among (the townspeople)
城の中,shiro no naka,inside the castle
ので,node,therefore
の,no,indicates a conclusion of thought or question
軒先,noki saki,edge of the eaves
残った灰,nokkota hai,the remaining ashes
残ったぞ,nokotta zo,is left
残った,nokotta,what was left; remainder
残っていませんでした,nokotte imasen deshita,wasn’t any left
残っている,nokotteiru,still exists
飲み始めました,nomi hajimemashita,began to drink
飲むときに,nomu toki ni,while drinking
のに,noni,although; even though
の,no,possessive marker
のぞいてみたくなった,nozoite mitaku natta,began to want to peek
のぞいてみました,nozoite mimashita,took a peek
のぞいて,nozoite,to look (through the pipe)
覗き込みました,nozoki komimashita,peeked; looked at… [to see if it were so]
塗ってみました,nutte mimashita,spread; smeared
お荷物,o nimotsu,luggage; baggage (polite)
をしておるの,o shite oru no,has [oru is more formal (humble form) than iru]
お化け,obake,ghost
お弁当,obentou,lunch box; bento
お茶,ocha,(green) tea
落ちてしまった,ochite shimatta,had fallen
落ちて,ochite,falling
大声で,ogoe de,with a big voice
お花見,ohanami,hanami; flower viewing
追い回され,oi mawasare,was chased (by the owner)
おいしい,oishii,delicious
お帰りにならば,okaeri ni naraba,if we return (this way)
おかげで,okage de,because of that; due to that
お金を払え,okane wo harae,pay the bill!; pay with money
お金,okane,money
起きてきた,okitekita,awaken; woke up
怒ってしまい,okotte shimai,became angry
