K1,T1,K2,T2,K3,T3,K4,T4,K5,T5,K6,T6
日食,solar eclipse,点火,ignition,串団子,skewered dango,基本設計,baseline design,銀紙,aluminum foil,闘牛,bullfighting
日本語,japanese,火口,mouth of fire,両足,both feet,節回し,melody,布石,groundwork,噛み付く,to bite (at)
駐日,resident in japan,火の玉,fireball,墓参り,visit to a grave,接点,point of contact,役職,"post, official position",水牛,water buffalo
丸一日,a whole day,数ヶ月,several months,両輪,Both wheels,移設,relocation,賃金,"wages, pay",付け根,root
日の丸,day and night,火山灰,volcanic ash,牛丼,gyudon,応接,reception,生け花,ikebana,結び付ける,to combine
毎日,every day,火加減,fire condition,仮説,hypothesis,冷房設備,cooling facilities,銅合金,copper alloy,付与,grant
大晦日,new year's eve,強火,strong fire,巨匠,master,建設会社,construction company,青銅器,bronze ware,猟犬,hound
日時,date and time,十一月,november,両腕,Both arms,特設,special installation,銀貨,silver coin,老犬,old dog
日和,climatic conditions,七月,july,居並ぶ,to be arrayed,接地,grounding,中央銀行,central bank,傷付ける,to injure
日光浴,sunbathing,山火事,forest fire,降参,descending,礼節,decorum,鉄橋,railway bridge,くっ付く,to adhere to
昨日,yesterday,焚き火,bonfires,一両,one vehicle,季節感,sense of the seasons,若葉,new leaves,鳥皮,chicken skin
日付,date,五月,may,逆説,paradox,継ぎ接ぎ,patching,脇役,supporting role,野鳥,wild bird
先日,the other day,協約,agreement,両用,dual use,隣接,adjacency,銅貨,copper coin,片付け,tidying up
朝日,morning sun,月食,lunar eclipse,持参人,bearer,設け,preparation,役立つ,to be useful,条件付き,conditionally
月日,day of month,月並み,monthly,丼飯,bowl of rice,近接,proximity,銅像,bronze statue,蜂鳥,hummingbird
日にち,day of the week,正月,new year,山並み,mountain range,設備,equipment,銅器,copperware,狂犬,mad dog
日照り,dry weather,火元,fire origin,両替人,money exchanger,使節,envoy,石垣,stone wall,魚釣り,fishing
三日,"3 days, 1st day",安月給,low monthly salary,軒並み,row of houses,増設,establishing more,石綿,asbestos,魚雷,torpedo
日本画,japanese painting,月謝,monthly fee,巨大,huge,関節炎,arthritis,使役,employment,結び付く,to be related
近日,near future,月夜,moonlit night,両人,both persons,一節,"a verse, passage",銀行口座,bank account,体付き,"body build, figure"
日給,day pay,協奏曲,concerto,足並み,pace,研究所,research institute,話し言葉,spoken language,受け付ける,"to accept, to receive"
後日談,later date,火種,sparks,串刺し,skewer,常設,standing (committee),落ち葉,fallen leaves,貸付,loan
日報,daily report,活火山,active volcano,参院,attendance,設置,installation,現役,active duty,片付ける,to tidy up
日本経済,japanese economy,歳月,"time, years",並立,standing abreast,間接的,indirect,役所,government office,小鳥,small bird
四日,"4 days, 4th day",協定,agreement,両手,Both hands,開設,opening,銀色,"silver (color, colour)",鳥居,torii
全日本,all japan,協会,association,町並み,townscape,結節,"knot, node",木の葉,"foliage, leaves",目付き,look (in someone's eyes)
日暮れ,"twilight, sunset",前月,previous month,うな丼,eel rice bowl,建設者,architect,花嫁,bride,焼き魚,grilled fish
昔日,old days,不協和音,dissonance,両極端,both extremes,節,"occasion, time",鉄砲,gun,裏付け,support
日差し,sunlight,中火,medium fire,説得力,persuasiveness,既設,established,世話役,mediator,傷付く,to be wounded
命日,death anniversary,再来月,next month,参る,participate,接待,entertainment,案内役,"guide, host",雛鳥,chick
日に日に,day by day,年月日,year month day,持参,Bring,接続,"connection, attachment",石油,"oil, petroleum",受付,reception (desk)
日向,sunny place,火山,volcano,巨星,giant star,接待費,entertainment expenses,葉巻,cigar,鶏肉,chicken meat
夕日,sunset,火砕流,pyroclastic flow,巨人,giant,実施設計,detailed design,花粉症,hay fever,野牛,buffalo
火曜日,tuesday,毎月,monthly,並びに,as well as,予防接種,vaccination,石段,stone steps,焼き鳥,yakitori
日本中,all of japan,消火器,fire extinguisher,巨費,great cost,直接,"direct, immediate",売り言葉,inflammatory words,淡水魚,freshwater fish
月曜日,monday,同月,same month,並み居る,to sit in a row,設備投資,capital investment;,役者,actor,番犬,watchdog
日数,number of days,十月,october,両天秤,two alternatives,削り節,flaked bonito,役割,"part, assigning",思い付き,"idea, plan"
真夏日,midsummer day,飛び火,sparks,両論,both argument,道路建設,road construction,石像,stone statue,牛丼,gyudon
予定日,scheduled date,火器,firearms,両耳,both ears,不節制,excesses,銅山,copper mine,駝鳥,ostrich
九日,"9 days, 9th day",今月末,end of this month,参考書,reference,直接関係,direct relation,輸銀,import-export bank,牛,cow
日本史,japanese history,翌月,next month,人並み,ordinary,公設,public (institution),銀杯,silver cup,くっ付ける,to attach
日程,schedule,火山活動,volcanic activity,巨視的,macroscopic,設える,to provide,鋼鉄,steel,犬,dog
一日,"1 day, 1st day",噴火,eruption,参加,Participation,研究室,laboratory,千葉県,chiba prefecture,飼い犬,pet dog
何日も,many days,四月,april,両日,both days,設営,setting up,配役,casting,付け,bill
明日,tomorrow,月経周期,menstrual cycle,巨悪,great evil,解説者,commentator,試金石,touchstone,渡り鳥,migratory bird
初日,first day,妥協点,compromise,両党,both parties,研ぐ,to sharpen,花びら,(flower) petal,雄鶏,rooster
土曜日,saturday,鎮火,extinguishing fire,並び,line,接戦,close contest,定石,standard practice,思い付く,to think of
七日,"7 days, 7th day",月光,moonlight,古参,old visit,併設,joint establishment,鉄道,railway,付け加える,to add another
日焼け,sunburn,十二月,december,両院,both house,接着,adhesion,化石,fossil,金魚,goldfish
日取り,appointed day,火薬,tinder,両氏,both persons,防音設備,soundproofing,鉄,iron (Fe),魚河岸,riverside fish market
日本,japan,月賦,monthly payment,両性,both sexes,節度,"moderation, standard",区役所,ward office,近付ける,to bring close
元日,new year's day,花火大会,fireworks display,参列,attendance,初期設定,default settings,花粉,pollen,大魚,large fish
二日酔い,hangover,火力,fire power,両方,Both,間接税,indirect tax,岩石,rock,顔付き,(outward) looks
定休日,regular holiday,火付け役,fire starter,両脇,both sides,節電,brownout,鉄棒,iron rod,付ける,to attach
当日,on the day,一月,january,社説,editorial,接触,"touch, contact",花壇,flower bed,近付き,acquaintance
数日,several days,火事場,fire area,両名,both persons,音節,syllable,小石,pebble,親鳥,parent bird
明後日,day after tomorrow,年月,year month,参入,entering,建設地,construction site,石鹸,soap,付近,neighborhood
祝日,holiday,八月,august,参謀,participation,研究開発,research and development,花見,cherry blossom viewing,付き合い,association
十日,"10 days, 10th day",妥協案,compromise,両極,both extremities,研修,training,化石燃料,fossil fuel,川魚,river fish
日経,nikkei,先月,last month,巨万,huge fortune,接客,serving customers,役場,town hall,作付け,planting
水曜日,wednesday,月見,moon viewing,説明書,manual,研究生,research student,私鉄,private railway,打付ける,to strike
給料日,payday,満月,full moon,参拝,visit to a shrine,鰹節,katsuobushi,銀世界,snowscape,稚魚,fingerling
日本料理,japanese food,月曜日,monday,串揚げ,kushiage,厚生施設,welfare facilities,花束,bouquet,野犬,stray dog
日陰,shade,旧正月,lunar new year,両親,Parents,接近,getting closer,開花,開花,言い付ける,to tell (to do)
半日,half day,協力者,cooperator,焼き串,skewer,設立,establishment,兵役,military service,添付,"attaching, appending"
日本人,japanese,月給,monthly salary,説明,explanation,研究方法,research methods,胆石,gallstones,飼い鳥,pet bird
日本酒,japanese sake,農協,agricultural cooperative,両端,Both ends,節制,moderation,主役,leading part,牛肉,beef
日課,daily routine,火傷,burns,両翼,both wings,面接,interview,磁石,magnet,付加,"addition, annexation"
ある日,one day,協議,consultation,親子丼,oyakodon,節水,saving water,花火,fireworks,生まれ付き,by nature
日替わり,changing every day,花火,fireworks,両家,both families,研究者,researcher,言葉,word,引き付ける,to attract
日曜日,sunday,今月,this month,巨木,big tree,多元接続,multiple-access,花盛り,flowers in full bloom,付き人,assistant
日本海,sea of japan,出火,fire starting,両岸,both banks,季節,season,商業銀行,commercial bank,付け込む,to take advantage of
日ごろ,"normally, habitually",小火,small fires,演説,speech,季節的,seasonal,花輪,garland,生魚,raw fish
数日間,a few days,弱火,weak fire,学説,theory,娯楽施設,amusement facilities,鉄分,iron (content),盲導犬,guide dog
二日,"2 days, 2nd day",銃火,gunfire,平年並み,average year,施設,institution,火花,spark,基付く,to be based (on)
金曜日,friday,妥協,compromise,天丼,tempura donburi,節減,retrenchment,銀座,ginza,魚群,school of fish
今日,today,火勢,fire strength,巨額,huge sum,設定,"establishment, setting up",重役会,board of directors,子牛,calf
休日,holiday,火葬,cremation,魚串,skewered fish,建設中,under construction,石器時代,stone age,追い付く,to catch up (with)
一日,one day,火災保険,fire insurance,家並み,row of houses,埋設,laying underground,石造,stone-built,和牛,wagyu beef
即日,same day,聖火,holy fire,自説,personal opinion,接見,"audience, reception",市役所,municipal office,付く,to be attached
八日,"8 days, 8th day",来月,next month,小説家,novelist,架設,construction,枯葉,dead leaf,犬小屋,doghouse
記念日,anniversary,協力,cooperation,竹串,bamboo skewer,接線,tangent line,宝石,"gem, jewel",鳥類,birds
日中,daytime,月刊雑誌,monthly magazine,両軍,"both armies, both teams",研究,"study, research",銅線,copper wire,給付,provision
日増しに,day by day,月間,month-long period,両面,both sides,創設,founding,銀河,milky way,白鳥,swan
末日,last day,協同組合,cooperative,金串,metal skewer,切断,cutting,製鉄,iron manufacture,気付く,to notice
生年月日,date of birth,火曜日,tuesday,説く,to explain,接ぎ木,grafting,純銀,pure silver,名付ける,"to name, to call"
日曜,sunday,月例,monthly,参観者,visitor,間接,indirection,鉄鉱,iron ore,付き,"furnished with, including"
平日,weekday,炬燵,torch,協商,agreement,敷設,"laying (railroad, etc)",花屋,"florist, flower shop",冷凍魚,refrigerated fish
西日,west day,半月,half month,両様,"two ways, both ways",お節介,meddling,草花,flowering plant,交付,"delivery, issuance"
日本初,japan's first,大火,large fire,小説,novel,私設,private,大理石,marble,魚市場,fish market
日雇い,day laborer,電光石火,lightning,車両,railroad cars,節目,turning point,落石,falling rocks,納付,payment
五日,"5 days, 5th day",九月,september,丼もの,rice bowl dish,概説,general statement,葉書,postcard,付き合う,to associate with
来日,coming of the sun,二月,february,参加者,Participant,新設,establishing,合言葉,password,子犬,puppy
連日,everydays,月末,end of month,両社,both companies,その節,at that time,代役,substitute (actor),備え付ける,"to provide, to furnish"
一昨日,day before yesterday,一月,january,伝説,tradition,節約,economising,石炭,coal,愛犬,pet dog
母の日,mother's day,月日,"time, years",両替,money exchange,直接行動,直接行動,鉄片,iron scraps,七面鳥,turkey
木曜日,thursday,生協,co-op,歯並び,row of teeth,溶接,welding,錻力,tin plate,蝸牛,snail
誕生日,birthday,日進月歩,daily progress,両方向,both directions,接ぐ,to join,焼け石,hot stone,買い付け,buying
付け足す,to add (to),科学,science,意思決定,decision-making,及ぼす,to exert (influence),乾季,dry season,亡くなる,to die
引っ付く,to stick to,教科書,textbook,無意識,unconsciousness,普及,"spread, diffusion",乾咳,dry cough,死亡,"death, dying"
気がつく,to notice,自然科学,natural science,悪意,ill will,及ぶ,"to reach, to go on (for, until)",乾物,dry provisions,逃亡,"escape, flight"
付いて行く,to accompany,社会科学,social science,真意,real intention,追及,"investigation, questioning",乾き,"drying, dryness",滅亡,downfall
付いて来る,to follow,人文科学,humanities,敵意,"hostility, animosity",及び,"and, as well as",乾燥機,drying machine,死亡率,death rate
付いてる,"to be lucky, to be included",科目,(school) subject,善意,virtuous mind,言及,reference,完了,"completion, conclusion",亡命,seeking asylum
裏付ける,to support,学科,study subject,誠意,sincerity,及第,passing (an examination),終了,"end, close",亡霊,departed spirit
貼り付ける,to paste,理科,science,意気,"spirit, disposition",可及的,"as possible, accessible",了解,comprehension,未亡人,widow
外付,external drive,外科,surgery,得意先,(regular) customer,及ばない,"unnecessary, unattainable",了承,acknowledgement,亡骸,corpse
保証付き,guaranteed,内科,internal medicine​,意図的,intentional,及第点,passing mark,魅了,fascination,亡くす,to lose through death
遣っ付ける,to beat,教科,"subject, curriculum",不用意,unprepared,波及,"spread, influence",了見,"idea, thought",死亡数,number of deaths
投げ付ける,to throw at,科学者,scientist,有意義,significant,貧乏,"poverty-stricken, destitute",了解済み,"accepted, understood",享受,"reception, acceptance"
付き添う,to attend on,精神科,psychiatry,殺意,intent to kill,乏しい,"scarce, limited",了承済み,acknowledged,享有,"possession, enjoyment"
受ける,to receive,外科医,surgeon,辞意,intention to resign,欠乏,"want, shortage",試合終了,end of a match,享楽,enjoyment
受付,reception (desk),歯科医,dentist,意識的,"conscious, deliberate",貧乏人,the poor,満了,expiration,享年,one's age at death
受け取る,"to receive, to accept",科する,"to inflict, to impose",創意,original idea,窮乏,poverty,未了,unfinished,停電,power outage
受験,taking an examination,分科会,subcommittee,不本意,reluctant,乙,second party,戦争,war,調停,arbitration
受取り,"receiving, receipt",社会科,social studies​,意味合い,"implication, nuance",甲乙,first and second,競争,competition,停留所,stopping place
引き受ける,to undertake,婦人科,gynecology,謝意,gratitude,乙姫,younger princess,論争,"dispute, argument",停止,stoppage
受け持つ,to take charge of,産科,obstetrics,問題意識,awareness of the issues,早乙女,young girl,争う,to compete,停車,stopping of vehicle
受け入れる,to accept,歯科,dentistry,不注意,carelessness,乱す,"to disarrange, to disturb",争い,"dispute, strife",停滞,stagnation
受け継ぐ,"to inherit, to succeed",科学,scientific,不得意,one's weak point,反乱,"mutiny, rebellion",紛争,"dispute, conflict",停戦,ceasefire
享受,reception,科学技術,science and technology,不意に,suddenly,乱用,"abuse, misuse",抗争,"dispute, resistance",停学,suspension from school
受け入れ,receiving,眼科医,ophthalmologist,要注意,need for caution,乱れる,to be disordered,競争力,competitiveness,停泊,anchorage
受身,"the defensive, passive",内科医,"physician, internist",意味不明,ambiguous,混乱,"disorder, chaos",闘争,"fight, battle",心停止,cardiac arrest
受け止める,"to catch, to react",小児科,pediatrics,他意,other intention,乱暴,"violence, assault",争議,"dispute, quarrel",急停車,sudden stop
受かる,to pass (examination),近代科学,modern science,好意的,favorable,内乱,civil war,争点,point at issue,各駅停車,local train
受け付ける,to accept,脳外科医,brain surgeon,意識不明,"unconscious, senseless​",乱闘,fighting,核戦争,nuclear warfare,停止信号,stoplight
受賞,winning (a prize)​,科学知識,scientific knowledge,意のままに,at will​,散乱,"dispersion, scattering",お互い,each other,バス停,bus stop
受信,"receiving (message, etc)",歯科医師,dentist,注意力,attentiveness,乱れ,disorder,相互,"mutual, reciprocal",停船,stopping a ship
受諾,acceptance,内科学,internal medicine,注意書き,"notes, instructions",乱雑,"disorder, mess",交互,alternate,緊急停止,emergency stop
待ち受ける,to await,医科,medical science,意訳,free translation,乱入,intrusion,相互作用,interaction,注意,"attention, caution"
受理,acceptance,皮膚科,dermatology,丸い,"round, circular",乱気流,(air) turbulence,互いに,mutually,注射,injection
受講,taking a lecture,神経科,neurology,丸で,"quite, entirely",錯乱,"confusion, distraction",互角,equal (in ability),注文,order (for an item)
受託,being entrusted with,意味,meaning,丸ごと,in its entirety,乱視,astigmatism,互い違い,alternate,注目,notice
引き受け,undertaking,注意,"attention, notice, caution",丸々,"chubby, entirely",取り乱す,to be upset,互助,mutual aid,注ぐ,to pour (into)​
授賞式,award ceremony,意志,will,丸っきり,completely,牛乳,(cow's) milk,相互銀行,mutual savings bank,注す,"to pour, to add, to apply"
見受ける,to catch sight of,意識,"consciousness, awareness",丸める,"to make round, to curl up",乳房,breast,互換,interchange,注ぐ,to pour (into a vessel)
受動的,passive,意見,opinion,弾丸,bullet,乳製品,dairy products,相互交流,mutual exchange,注釈,"notes, comment"
受け持ち,charge (of something),用意,preparation,丸め込む,"to coax, to cajole",乳首,nipple,井戸,water well,注ぎ込む,to pour into 
受け流す,to ward off,得意,"satisfaction, strong point",真ん丸,perfect circle,母乳,mother's milk,天井,ceiling,発注,placing an order
傍受,interception,意思,intention,丸顔,round face,乳幼児,infants,油井,oil well,注入,"pouring, injection"
受動喫煙,second-hand smoking,意外,unexpected,丸出し,exposing fully,哺乳,"suckling, nursing",井筒,well curb,傾注,devoting
受付係,receptionist,敬意,respect,丸一日,the whole day,乳がん,breast cancer,筒井,round well,不注意,carelessness
受け続ける,to continue to receive,意義,"meaning, significance",丸焼け,completely burned,哺乳瓶,baby bottle,亜鉛,zinc,取扱注意,handling warning
受益者,beneficiary,意地悪,malicious,丹念,"careful, meticulous",乳歯,baby tooth,亜空間,subspace,要注意,need for caution
受け売り,retailing,生意気,"saucy, cheeky, impudent",丹精,working earnestly,人工乳,formula (milk),亜熱帯,subtropics,降り注ぐ,to downpour
受容器,receptor,同意,"agreement, consent",丹頂,Japanese crane​,低脂肪乳,low-fat milk,亜種,subspecies,注視,gazing steadily at
受領書,receipt,意図,"intention, aim, design",久しぶり,a long time,牛乳屋,"dairy, milkman",亜科,subfamily,脚注,footnote
受賞者,prize-winner,合意,(coming to an) agreement,永久,eternity,豆乳,soy milk,亜硫酸,sulfurous acid,注射器,syringe
受信機,receiver,決意,"decision, determination",久しい,long time has passed,乳酸,lactic acid,亜硝酸,nitrous acid,注ぎ込む,to invest in
受信人,addressee,好意,"kindness, favor",久々,(in a) long time,授乳,breastfeeding,亜硝酸塩,nitrite,注文書,written order
受精卵,fertilized egg,熱意,"zeal, enthusiasm",耐久性,durability,乳児,infant,些とも,(not) at all,注意力,attentiveness
受けやすい,susceptible,意向,"intention, idea, inclination",永久歯,permanent tooth,搾乳,milking (a cow)​,些か,"a little, a bit",注文品,ordered goods
感受性,"sensitivity, susceptibility",意地,"stubbornness, disposition",持久,"endurance, persistence",乾燥,"dryness, dehydration",些細,"trivial, slight",注意報,advisory
受容,reception,意欲,"will, desire",耐久,"endurance, persistence",乾杯,cheers,些事,something small,受注,accepting an order
受領,"receipt, receiving",不意,"sudden, abrupt",恒久,permanence,乾く,to get dry​,些々,trivial,予約注文,pre-order
受け渡し,"delivery, transfer",無意味,nonsense,悠久,eternity,乾電池,dry cell,些少,little,特注,special order 
受検,undergoing an inspection,故意,intent,恒久的,permanent,乾かす,"to dry up, to desiccate",瑣末,trivial,分注,dispensing
