Phrases,Reading,Translation
ほっこりしちゃう,,"It makes me feel warm (warm and fluffy, soft)."
夜のプールは昼間とは違った雰囲気でとても素敵でした,,The pool at night was very nice and different from the daytime.
ライトアップされているの,,It's all lit up.
では早速入ってみましょう,,So let's get in there.
早速オープンしていきたいと思います,,I would like to open it immediately
ここで撮影してなかったのですみませんご了承下さいません,,"I'm sorry I didn't take pictures here, please understand."
このね端っこのところまで行ってみました,,I went to the end of the line.
そしてお部屋に戻る前に大浴場を視察しに行きたいと思います,,"And before I go back to my room, I'd like to go and inspect the large bathroom."
おつまみ的なものを買ってきました,,I bought some snack food.
こういうの見ちゃうよね、買っちゃうんですよね,,You see these things. You buy these things.
