Time,Sentences,Translation
3:17,こんな感じになりました,Now it's like this.
3:19,お団子にするにはちょっと、やわらかいけど。,It's a little too soft to be made into dumplings.
3:23,「お団子を作る？」 今はまだしない、ちょっと、まっててね,"""Do you want to make dumplings?"" I'm not making dumplings just yet."
3:27,水が沸騰したら、だしの素を入れます,"When the water comes to a boil, add the dashi stock."
3:32,これは鰹節の粉ですが、どんなスープでも使えます。,"This is dried bonito powder, but you can use it in any soup."
3:35,この鶏肉を鍋に落とします。,Drop this chicken into the pot.
3:38,鍋で肉団子を作ります。,Make meatballs in the pot.
3:39,スーちゃん、ママを撮れる？,"Sue, can you take a picture of your mom?"
3:43,こうやって、お鍋が映るようにもってて？,Can you hold it like this so that it shows the pot?
3:47,そうそう、上手。映ってる？,"Yes, yes, very good. Is it showing?"
3:51,ママを撮ってる(笑)？,Are you filming Mom?
3:52,"これ、写ってる？ ""はい。""","Can you get a picture of this? ""Yes."""
3:55,これを、2つのスプーンを使って、こうやって落としていくの。,You use two spoons and you drop it like this.
4:02,できるだけ丸くして、形を整えて、沸騰したスープに落とします。,"Make it as round as possible, shape it, and drop it into the boiling soup."
4:11,撮れた？どう？,You got it? How's that?
4:19,これを、お団子の形にして、落としていくの。,"Now, shape it into a dumpling and drop it in."
4:25,ママにもう一本、手があったらな。,I wish my mom had another hand.
4:27,ここ撮って。,Take a picture here.
4:29,こっち、こっち？,"This way, this way?"
4:33,"""撮ってる""","""I'm filming."""
4:35,このような。,Like this.
4:38,鶏団子だけ、きっちりとつくってしまったら,Once you've made the chicken dumplings properly.
4:41,あとは、お野菜を切って中にいれるだけ。,All you have to do is cut up the vegetables and put them inside.
4:44,簡単でしょ？,"Easy, right?"
4:46,冬は野菜もお魚も美味しい,Vegetables and fish are delicious in winter.
4:50,お鍋に具材を入れるだけで、もうごちそうでしょ。,Just put the ingredients in the pot and you have a feast.
4:56,いまはちっちゃいお鍋もいっぱいあるし、一人でも楽しめます。,"Nowadays, there are many small nabe pots, so you can enjoy it alone."
5:07,灰汁を取り除きながら鶏団子を調理します。,Cook the chicken dumplings while removing the lye.
5:10,鶏団子が表面に浮かぶと、それらは準備ができています。,"When the chicken dumplings float to the surface, they are ready."
5:14,この肉団子に大体、火が通ってきたら,When these meatballs are mostly cooked.
5:18,一回、火は止めちゃいます,I turn off the heat once.
5:21,そこに、味噌、お味噌3分の2ぐらいを溶きいれます,"Then, dissolve in miso, about two-thirds miso."
5:28,スープの中に入れておいたら、次第に柔らかくなってくるので,Leave it in the soup and it will gradually become soft.
5:32,柔らかくなってから、溶かすので大丈夫です,You can dissolve the miso after it becomes soft.
5:39,お好みでお砂糖,Sugar to taste
5:41,砂糖大さじ1を追加します。,Add 1 tablespoon of sugar.
5:43,少し甘さを加えます。,It adds a little sweetness.
5:45,そして、ゴマ。,And sesame seeds.
5:47,ゴマ大さじ3杯。,Three tablespoons of sesame seeds.
5:55,その後、材料を切り続けます。,Then continue cutting the ingredients.
5:58,斜めにカットします。,Cut them diagonally.
6:01,すべての野菜を切ります。,Cut all the vegetables.
6:05,お好みの材料を使用してください。,Use the ingredients of your choice.
6:07,ほとんどの冬野菜は鍋によく合います。,Most winter vegetables go well with hot pot.
6:10,にんじん。,Carrots.
6:13,とにかく好きなようにカットできます。,You can cut them as you like anyway.
6:16,しかし、このようににんじんや大根を皮むき器でスライスすると、鍋によく合います。,"However, if you slice carrots or daikon with a peeler like this, they go well with hot pot."
6:25,水菜の代わりに、ほうれん草、チンゲン菜、キャベツを使うことができます。,"Instead of potherb mustard, you can use spinach, bok choy, or cabbage."
6:31,どんな種類の葉でもかまいません。,Any kind of leaves can be used.
6:36,飾り切り、しましょうか？,Shall we garnish it?
6:39,軸をとって,Remove the stem.
6:41,軸とる？,Remove the stem?
6:46,難しいかな？　できるかな？,How hard can it be?　Can you do it?
6:54,とれた？すご～い！,Did you get it? That's great!
7:03,うわー、できた！,"Wow, it's done!"
7:18,切れ込みを入れます,I'll make a slit.
7:20,ママのおてて、撮ってくれる？,Can you take a picture of my hands?
7:21,この切れ込みにそって,Along this cut.
7:25,ここでカットしました。,Here's the cut.
7:29,この切れ込みに沿って,Along this slit.
7:34,わお！ママのおてて、撮って,Whoa! Can you take a picture of my hand?
7:49,おお！ママのおてて、撮って。,"Whoa! Mommy's hands, take it."
7:59,わかった？,You see?
8:01,お花になるでしょ？,"It's a flower, right?"
8:04,"""こういうとこ""","""Like this."""
8:07,"""食べる？""だめ！","""Do you want some?"" No!"
8:09,ここに豆乳をコップ一杯分ぐらい入れます。,Put about a cup of soy milk in here.
8:14,無糖の豆乳を使用してください。,Use unsweetened soy milk.
8:19,これらの野菜を鍋に入れていきます。 「鍋にいれていきます。」,"Add these vegetables to the pot. ""Put them in the pot."""
8:33,ホームパーティーを開いたり、誰かにだすときは,If you're having a home party or serving to someone
8:37,食材の向きをそろえて持っていくと、おいしそうに見えます。,"If you're having a home party or serving to someone, it looks better if you have the ingredients facing the same way."
8:43,「これらは野菜です。,These are vegetables.
8:46,にんじん、きのこ、キャベツ、にんじん、そしてこれ、ねぎ。」,"""These are vegetables: carrots, mushrooms, cabbage, carrots, and this is green onion."""
8:52,「キャベツ、サラダ！」サラダみたいですか？,"""Cabbage, salad!"" Does it look like a salad?"
8:56,「これは玉ねぎですか？」玉ねぎはありますか？,Are these onions? Do you have onions?
9:00,これは玉ねぎですか？,Is that an onion?
9:12,「いっぱい入ってる！」これは、第二弾ね。,There's so many onions! That's the second one.
9:15,お鍋だから、全部入れる必要はありません。,"It's a hot pot, so you don't have to put everything in."
9:19,食べながらね,As you eat.
9:22,食べながら…「順番に」,"As you eat... ""In order."""
9:25,ええ、野菜をたくさん加えることができます。,"Yeah, you can add a lot of vegetables."
9:28,意外と、あっという間に食べれそう,"Surprisingly, it'll be eaten in no time."
9:30,それは食べていいよ？おいしいでしょ？,"You can eat that, okay? Isn't it delicious?"
10:06,何してるの？,What are you doing?
10:09,何を持っていますか？,What do you have there?
10:12,あけてみようか。,Let's open it.
10:47,そこに卵が入ってる？,Is there an egg in there?
10:51,そうそう、、お団子の中に卵入れたもんね(笑)　それ、覚えていたんや。,"Oh yeah, you put eggs in the dumplings."
11:13,いただきます！,Bon appétit!
11:24,おいしい！めっちゃ、おいしいね,Delicious! It's so good!
1:35,食べさせて。,Let me try it.
11:41,おつゆも完璧,The dipping sauce is perfect.
11:42,あったまる,It's so warm.
11:43,こんなにお野菜をいろんな種類、用意しなくても,You don't need to prepare so many different kinds of vegetables.
11:47,白菜や豚肉だけとか、おいしいおつゆがあれば、,"You don't have to prepare so many different kinds of vegetables, just Chinese cabbage, pork, and some delicious dipping sauce."
11:52,なんの食材でも、楽しめると思います,I think you can enjoy it with any kind of ingredients.
11:55,今日は鶏団子を作ったけど,I made chicken dumplings today.
11:56,お肉がなくても豆乳と味噌でしっかりとコクがあるので,"I made chicken dumplings today, but even without meat, the soy milk and miso gives it a rich flavor."
12:00,ベジタリアンのお鍋でもおいしいと思います,I think it would also be delicious in a vegetarian hot pot.
12:14,スープばっかり飲むと喉が渇くよ？,"You'll get thirsty if you drink all the soup, right?"
12:37,お団子もおいしい！,The dumplings are delicious too!
12:39,生姜がすごく効いてる！,The ginger works really well!
12:42,鍋物をしたときは、締めが一つの楽しみでもあるんですが、,"When you have a hot pot meal, the ending is one of the most enjoyable parts."
12:46,具材を全部食べた後に、スープが残るやん？,"After eating all the ingredients, there is still some soup left, right?"
12:50,それにご飯を入れてリゾットのようにするのもいいし、うどんやラーメンを入れたり,"When you eat all the ingredients, there is still soup left over, right?"
12:58,パスタを入れても合うと思います。,"You can also add udon or ramen, or even pasta."
13:00,たとえば、生パスタとか、クリーミーなスープだから。すごく、おいしいと思う。,"For example, you can use fresh pasta because of the creamy soup. I think it's really delicious."
13:05,ママとスーちゃんでは、具が全部食べきれへんね。,I don't think Mom and Su-chan could eat all the ingredients.
13:11,豆乳味噌鍋はいかがでしたか？この冬にぜひお試しください。,How was the soy milk miso nabe? Please give it a try this winter.
13:15,見てくれてありがとう！私のチャンネルに登録してください！,Thanks for watching! Please subscribe to my channel!
13:18,ご要望がございましたら、コメント欄でお知らせください。,"If you have any requests, please let me know in the comments section."
6s,今日は、タンタンメンの作り方をご紹介します。,"Today, I would like to show you how to make Tantanmen."
10s,タンタンメンは中華料理ですが、日本では、しょうゆ味のだしをつかってつくることが多いです。,"Tantanmen is a Chinese dish, but in Japan, it is often made with soy sauce-flavored broth."
18s,とても簡単で、とてもおいしいです。,It is very easy to make and very tasty.
43s,あなた、いそがしいねぇ。 見たもの、見たもの、食べたくなるね,"You are very busy, aren't you? I want to eat what I see, what I see."
50s,麺をゆでるお湯を沸かしておきます,Boil the water for boiling the noodles.
53s,まず、具材から切っていきます,I'll cut the ingredients first.
1:01,ギュッで そう、猫のおてて、ギュッでね,Cut them into thin slices.
1:03,薄切りにしてから・・・ 上手ね！　ありがと。,Then cut into thin slices... You're good!　Thank you.
1:12,キュウリを千切りにしていきます。,Cut the cucumber into strips.
1:15,ヘタとって、緑のとこ,"Take off the stems, the green part."
1:19,とれたら、ママに頂戴,"When you get it, give it to me."
1:33,とれたら、ちょうだい そう、とれたら、ママに頂戴,"When you get it, give it to me. Yes, when you get it, give it to me."
1:40,トマトを4つ切りにしていきます,Cut the tomatoes into 4 pieces.
1:43,ありがと！ あと、にんにくとしょうが,Thank you! And garlic and ginger.
1:48,やった～！ 好き？　すき。　ほんとう^^,Yes! Do you like it?　I do.　I really do.
1:56,生姜をみじん切りにします,I'll mince the ginger.
1:59,さつまいもみたいね,Looks like sweet potatoes.
2:21,これ、何のにおいか知ってる？,Do you know what it smells like?
2:26,たべたら、辛いと思う,"If you eat it, it'll be spicy."
2:30,ニンニクのにおいよ 結構、においするでしょ？ あっ、つけないで,"It smells like garlic. It smells pretty good, right? Don't put it on."
2:38,タンタンメン、すきだから～♪,I love tantanmen.
2:48,タンタンメンのおつゆをつくります。 練りごまを使うんですが、もしなければ、ピーナツバターとかでも大丈夫です,"Let's make tantanmen soup. I use sesame paste, but if you don't have it, you can use peanut butter."
2:55,ピーナツバターで代用してもすごくおいしいです。 代用する場合も同じ量を入れてください。,"You can substitute peanut butter for the sesame paste, but it tastes really good. If you substitute peanut butter, use the same amount."
3:00,ピーナツバター、パパとたべたよ^^,I had peanut butter with my dad^^.
3:05,よく覚えてたね(笑) 今朝、パンに塗って食べてたね,"You remembered it well, lol. You had it on your bread this morning."
3:10,パパ、これ、半分こしてくれた！ 半分こしてくれたの？,"Dad, you gave me half of this. You shared half with me?"
3:20,ご飯に、神様いるの。 そうなのよ、ご飯に神様いるのよ。,"God is in the rice. That's right, there is a God in rice."
3:24,全部の食材にほんとはいるのよ,There really is a God in all the ingredients.
3:27,全部の食材に作っている人がいるからね,There is a person who makes all the food.
3:29,農家さんが、おいしくなぁれ、おいしくなぁれ、って作ってくれてるから,"The farmer is making the food, making it taste good, making it taste good."
3:34,大切なのよ、OK？,"It's very important, okay?"
3:43,くるくるなる～ これも、職人さんが作ってくれてるから、大切なのよ,This is also important because it's made by craftsmen.
3:49,練りごまは、結構、海外でもあるってコメントでもらって,I got a comment from someone who said that sesame paste is also available overseas.
3:54,中華材料の練りごまもあるし、タヒーニというのがスーパーに売ってるって言ったはった,"He said that there are sesame paste made from Chinese ingredients, and that tahini is sold in supermarkets."
4:00,スーパー、探してみてください,Please look for it in the supermarket.
4:13,牛乳？ あははは、、 牛乳のパック見たいやんなぁ,"Cow's milk? It looks like a carton of milk, doesn't it?"
4:17,これは麺つゆで、おしょうゆとかお砂糖とかがはいっていて、水で希釈すれば味がきまる調味料なんですが,"This is noodle soup, it contains soy sauce and sugar, and you can dilute it with water to get the right flavor."
4:28,なければ、この下の分量で、 あれば、麵つゆで,"If you don't have it, use the amount below. If you do, use rice noodle soup."
4:39,クルクル、お願いします,"Twirl, please."
4:46,いい感じになってきた？ おみず、この中に入れます,How's it coming along? I'll put the water in here.
4:53,クルクルしてください,"Twirl, please."
4:58,混ぜる、クルクル 上手、上手,"Mix, mix, mix. Good, good."
5:00,おいしいかも。 おいしいかも？,It's good. Is it good?
5:03,いけそう？　うん。 よかった～。　おいしいかも。,Is it good?　Yes. It's good.　Maybe it's good.
5:25,ちょっと、味見してみようか？,"Let's have a taste, shall we?"
5:36,じゃ、これを冷やしておきます,"Okay, I'll chill this."
5:45,豚ミンチ、もしなければ、何のお肉でも大丈夫です,"If you don't have minced pork, you can use any meat."
5:52,ごま油をいれて,Add some sesame oil.
5:56,来た！みて？ あんよ、ぺったんできたの？,Here it comes! See? Did you flatten your forehead?
6:00,ゴマ油で、しょうがとニンニクを炒めます,Saute the ginger and garlic in sesame oil.
6:10,スーちゃんが。 あっ、これは火がついてるとこにするから、ママがやるね,"Suu-chan. Oh, I'll do this while the fire is burning, so I'll do it myself."
6:26,今日は、スーちゃんと一緒に食べるので、お肉自体には辛みをつけません。,"Today, since I'm eating with Su-chan, I won't add any spice to the meat itself."
6:28,辛いのがお好きな人や、大人だけの場合には、豆板醤などをいれるとおいしくなります,"If you like spicy food, or if it's just for adults, you can add soybean paste to it."
6:35,おいしくなりまぁ～す,It's going to be delicious!
6:45,煮詰めて、冷ましておきます,Boil it down and let it cool.
6:46,中華麺の代わりに、カッペリーニを使います,Use cappellini instead of Chinese noodles.
6:50,カッペリーニに、重曹をくわえて中華麺のようにします,Add baking soda to the cappellini to make it look like Chinese noodles.
6:55,普段家でつくるときは、中華麺も使うし、うどんも使うし、ひやむぎやそうめんなど、いろんな麺でも使います,"Usually, when I make this at home, I use Chinese noodles, udon noodles, hiyamugi noodles, somen noodles, and many other types of noodles."
7:04,パスタのままよりも、中華麺などの柔らかい麵の方が私はおいしいと思います,I think soft rice noodles like Chinese noodles taste better than pasta noodles.
7:13,お湯の中にお塩と・・・ あっ、お塩する～,"Salt in the hot water and... Oh, salt!"
7:18,ありがとう！じゃ、これだけやらしてね,"Thank you! Now, let me just do this."
7:22,重曹もいれます,I'll add baking soda.
7:35,重曹を入れてゆでることで、化学反応を起こし、中華麺のような食感の麵になります,Boiling with baking soda causes a chemical reaction that gives the rice noodles the texture of Chinese noodles.
7:47,重曹の効果で泡泡になってきた,The baking soda makes it foamy and bubbly.
7:49,すごいねぇ～ あわあわになってきた！　なってきたね～,It's getting frothy!　They're getting fresher!
7:54,おいしそうだね。あわあわになってきたね,It looks delicious! It's getting frothy!
8:01,これを洗って、水でしめます,Wash it and rinse it with water.
8:05,水で重曹を洗い流します,Rinse off the baking soda with water.
8:17,じょっり、じょっり、じょっり、じょっり う～ん、中華麺になった！,"Sizzling, sizzling, sizzling, sizzling, sizzling, sizzling, sizzling, sizzling, sizzling, sizzling, sizzling, sizzling."
8:21,おもしろいよね、この化学反応,"Interesting chemical reaction, isn't it?"
8:24,じゃ、もりつけるぞ,Let's serve it up!
8:31,これ、買ったよね ねぇ、ママと一緒に買いに行ったよね,Didn't we buy these together? Didn't we go shopping together?
8:50,ママ、こうやったら見えるよ,"Mom, you can see it like this."
8:53,見えた？ ママ、こうやって見えるよ、あごのせて,"You see it? Mom, I can see it like this. Put it on your chin."
9:13,きゅうり、ぱらぱら～ ありがとう！,"Cucumber, crunchy. Thank you!"
9:20,肉みそ～ キュウリ♪トマト,Meat paste. Cucumber. Tomato.
9:22,これでほぼ、完成ですが これで見えた^^,"It's almost done, but I can see it now."
9:27,もし、ラー油が手に入れば、この上にパラパラとかけてください,"If you can get your hands on some chili oil, drizzle it on top of this."
9:34,私のおススメは、食べるラー油,My recommendation is to eat rāyu.
9:54,ママだけね。 こっちはスーちゃん。そうね,"Just you, Mom. This is Suu-chan. That's right."
10:09,糸とうがらしとかもあれば・・・ とうがらし,If you have some string pepper or something... Capsicum annuum.
10:12,これ、いらない これ、ママのね,I don't want this. This is for Mom.
10:17,うわ、おいしそう、辛そう,"Looks good, looks spicy!"
10:19,タンタンメンのできあがりです！ たんたんめんのできあがりです～ いえたね～～^^,Tantanmen is ready! Tantanmen is ready!
10:57,おててを合わせ、ご一緒に いただきまぁ～す,Put your hands together and let's eat together!
11:12,成功？ せいこう。成功した？,Success? Success. Did it work?
11:19,ママもたべて たべるよ～,"Eat it too, Mom! Eat it!"
11:26,うん、おいしすぎる～,It's too good!
11:29,辛い？ 赤いの辛いんだ。 赤いの、辛いか・・・,Is it spicy? The red one is spicy. The red one is spicy...
11:40,スーちゃん、肘。シャキ！,"Suu, your elbow. Shaki!"
11:41,おててもって。そう！ むずかしい！ むずかしいでしょ、でもできるようになるよ,"With your hands. Yes! It's hard! I know it's hard, but you'll learn."
12:07,今日は冷やしで作ったんですが、温かいのももちろんおいしいです。 冷やしの場合は、氷などで冷やしてもおいしいです,"Today I made it cold, but of course it's also delicious warm. If you want to make it cold, you can chill it with ice."
12:18,すごい、濃厚やし、すごい本格的,"Wow, it's so rich and authentic!"
12:24,タンタンメンが大好きで、タンタンメンを食べに行くお気に入りのレストランがいくつかあるの,"I love tantanmen, and I have several favorite restaurants where I go to eat tantanmen."
12:30,でも、コロナ禍でなかなか、まだ外食に出れへんから,"But with the Corona disaster, I haven't been able to go out to eat yet."
12:34,こないだ、お昼に練りごまと麺つゆだけで作ってみよって思って,"The other day, I thought I'd try making it for lunch with just sesame paste and noodle soup."
12:39,なんか、満足できた,It was really satisfying.
12:42,なんか、くせになる味、 たまに食べたくなる味,The taste is so addictive that I want to eat it every now and then.
12:47,練りごまがなければ、ピーナツバターで代用できるし,"If you don't have sesame paste, you can substitute peanut butter."
12:49,ラー油がなければ、チリのようなものを上からかけるのもいいと思うし,"If you don't have chili oil, you can use some kind of chili on top."
12:55,もし中華麺がなければ、カッペリーニと重曹で代用がききます,"If you don't have Chinese noodles, you can substitute cappellini and baking soda."
13:05,意外と、すごくおいしくできたから、最近、お昼にタンタンメンばかり食べてる,"Surprisingly, it turned out to be very tasty, so I've been eating a lot of tantanmen for lunch lately."
13:12,タンタンメンはいかがでしたか？ とても辛いソースでとてもおいしくできます。,How was the tantanmen? It's a very spicy sauce and very tasty.
