Sentences,Translation,Remarks
この法 律は19世紀に作られたのだ。,This law was made in the 19th century.,47- のだ/no da [cp] assertive expression; it is that; the fact is that
このゴミは彼に片付けさせるつもりです。,I will make him clean up this mess.,48- せる/seru [aux] indicates causative or being granted a permission
どうぞ、これをお持ちください。,Please take this with you.,49- これ/kore [pron] this
もう夏 休みは終わりです,The summer break is already over.,"50- もう/moo [adv] soon, already, again"
新消費税率は10%である。,The new consumption tax rate is 10%.,"51- である/de aru [cp] copula-formal be, is"
景気のいい時は、よく物が売れる。,Goods sell well when the economy is good.,"52- 時/toki [n] time, hour, occasion"
この映画はつまらないな。,This movie is so boring!,53- な/na [p. disc] sentence ending; indicates emphasized emotion
文句を言わずにいられない。,I cannot stand by without complaining.,54- ず/zu [aux] not doing
値段が高かったので、買うのをやめた。,I did not buy it because it was expensive.,"55- ので/node [p. conj] because, since, because of"
金曜日はレストランが混むんで、土曜日に行こう。,"Since the restaurant will be crowded on Friday, let’s go on Saturday.","56- んで/n de [p. conj] because, since, because of"
世界には多くの人がいます。,There are a lot of people in the world.,"57- 人/hito [n] person, people, human being"
急いだほうがいいよ。,We’d better hurry up!,"58- よ/yo [p. disc] sentence ending; indicates certainty, emphasis, request"
その算数の問 題はこうすると解けるよ。,The math problem can be solved like this.,"59- こう/koo [adv] so, like this, in this way"
このプロジェクトが終われば、休みが取れます。,"When this project is over, I can go on a vacation.","60- ば/ba [p. conj] if...then, when"
赤や黄色の花が咲いている。,Red and yellow flowers are in bloom.,"61- や/ya [p] such things as, ... and/or ..."
もうすぐ春が来る。,Spring is coming soon.,62- 来る/kuru [v] come
シフトは5時までです。,My shift is till 5 o’clock.,"63- まで(迄)/made [p] to, till, until"
よく見ると、小さな穴があるね。,"If you look closely, there is a small hole.","64- 見る/miru [v] see, look, watch, check"
歌ったり、踊ったりするのが好きです。,I like doing things like singing and dancing.,65- たり/tari [p] -ing and –ing (representative)
今はまだお腹が空いていない。,I am not hungry now.,66- 今/ima [n] now
この前の試験で良い成績をとりました。,I got a good score on the recent exam.,"67- 良い/yoi, ii [i-adj] good, nice, fine"
いいレストランを知し っています。,I know a nice restaurant.,"68- いい/ii [i-adj] good, nice, fine"
住むのに一番便利な所はどこですか。,Where is the most convenient place to live?,"69- 所/tokoro [n] place, point, site, part, aspect"
自分の問 題は自分で解決しなさい。,Solve your own problems yourself.,"70- 自分/jibun [pron] myself, yourself, oneself, I, me"
んー、よくわかりません。,"Hmm, I am not so sure.","71- んー/nn [interj] uh, huh, hmm, yeah"
あー、危ない!,"Ah, watch out!","72- あー/aa [interj] er, uh, um, Ah! Oh!"
やはり、私も同じ気持ちです。,"There you have it, still, I am of that train of thought too.","73- やはり/yahari [adv] too, also, still, even so, as expected"
やっぱり、あなたが思った通りになりましたね。,"Ultimately, it turned out just as you expected.","74- やっぱり/yappari [adv] too, also, still, even so, as expected"
私も一 緒に行きたいです。,I want to go with you.,"75- たい/tai [aux] want to ..., would like to ..."
そのゲームをやると楽しいでしょうね。,It would be fun to play that game.,"76- やる/yaru [v] transitive do, undertake, make, give"
早く家の中に入りなさい。,Come inside the house quickly!,"77- 中/naka [n] inside, in, into"
ドアの向こうにいるのは誰。,Who is behind the door?,"78- いる/iru [v] be, exist, stay"
テニスが出来るようになるためには練習が必要だ。,Practice is necessary to be able to play tennis.,"79- 出来る/dekiru [v] be able to, be ready"
そのお店には食 器や家具などがあります。,"That store has tableware, furniture, and so on.","80- など/nado [p] et cetera, or something, and so on"
私は親として責任があります。,I am responsible as a parent.,"81- として/toshite [cp] as, for"
この後、日本語のレッスンに行きます。,"After this, I will go to a Japanese lesson.","82- 後/ato [n] behind, after, later"
また会いましょう。,See you again.,"83- また/mata [adv] again, and, also, still"
ちょっと話しましょう。,Let’s have a little talk.,"84- ちょっと/chotto [adv] just a little, a bit"
買い物に行ってくる。,I’m going shopping.,85- てくる/te kuru [cp] do and come back
自分の荷物だけ持ってください。,Please hold only your own luggage.,"86- だけ/dake [p] only, alone, merely, just"
おこずかいは五千円くらいほしい。,I want about five thousand yen for pocket money.,"87- くらい/kurai [p] about, around, approximately, at least, to the extent"
自分の弁当ぐらいは自分で作らないといけない。,You should at least prepare your own lunch.,"88- ぐらい/gurai [p] about, around, approximately, at least, to the extent"
私は店員ではない。,I am not a staff member.,"89- ではない/de wa nai [cp] is/am/are not, it is not the case that ..."
えーと、今度の母の日のプレゼントは何にしようかな。,"Well, what present should I get for Mother's Day?","90- えーと/eto [interj] let me see, well, errr"
こっちの方にきてください。,Please come this way.,"91- 方/hoo [n] direction, way, side, method"
歩いていくならスニーカーを履きましょう。,"If we’re going to walk there, let’s wear sneakers.",92- ていく/te iku [cp] indicates direction toward a location
明日はどのバッグを持ってくの。,Which bag are you going to take there tomorrow?,93- てく/te ku [cp] indicates direction toward a location
けんかになった訳は何なの。,What was the reason for the fight?,"94- 訳/wake [n] reason, cause"
先生へ手紙を書こう。,Write a letter to the teacher.,"95- へ/e [p. case] destination; to, towards"
このお店はどうですか。,How about this store?,"96- どう/doo [adv] how, in what way"
わたしは宿 題もやったし、庭の掃除もした。,I did my homework and cleaned the garden.,97- し/shi [p. conj] indicates more than one reason
その話は本当ですか。,Is the story true?,"98- 本当/hontoo [n] truth, real, right"
私 はいつも右手でペンを持つ。,I always hold my pen in my right hand.,"99- 持つ/motsu [v] have, hold, carry, possess"
午 前 中にホテルを出る。,I will leave the hotel in the morning.,"100- 出る/deru [v] go out, come out, leave, exit, attend"
私は健康の為に野菜を食べます。,I eat vegetables for my health.,"101- 為/tame [n] for, benefit, sake"
サーカスのアクロバットはすごい!,The circus acrobatics are amazing!,"102- すごい/sugoi [i-adj] fantastic, wonderful, amazing"
自分の未来について考える。,I think about my future.,"103- 考える/kangaeru [v] think about, take into consideration"
そこの看 板には何と書いてありますか。,What is written on the signboard there?,"104- そこ/soko [n] there, then"
映画を観に行こう。,Let’s go see a movie.,105- う/u [aux] solicitation
あなたの気持ちは分かる。,I understand your feelings.,"106- 分かる/wakaru [v] understand, see, become clear"
私は子供に柔道を教えております。,I am teaching judo to children.,"107- ておる/te oru* [cp] continuation polite; be ...ing, have been ...ing"
日本の歴史について知りたいです。,I want to learn about Japanese history.,"108- について/ni tsuite [cp] about, concerning, with regard to"
この町は子供が多い。それで児童館が作られました,"This town has many children. Because of that, they opened a children’s center.","109- それで/sore de [conj] and then, so, because of that, upon"
東の入り口からビルに入る。,Enter the building from the east entrance.,"110- 入る/hairu [v] enter, come in, go into"
学校で宇宙基地の模型を作る。,We make a model of a space base at school.,"111- 作る/tsukuru [v] make, create, produce, build"
新しいレシピでカレーを作ってみる。,I am going to try making curry with a new recipe.,112- てみる/te miru [cp] try to do something
車 でラジオを聴く,I listen to the radio in the car.,"113- 聴く/kiku [v] hear, listen to"
駅で行き先を聞く。,I will ask for directions at the station.,"114- 聞く/kiku [v] hear, ask"
私は留 学をしました。そして外交官になりました。,"I studied abroad, and then became a diplomat.","115- そして/soshite [conj] and, so, and then"
このストーリータイムはぬり絵え をくれる,You will be given a coloring sheet at this story time.,"116- くれる/kureru [v] to let one have, to be given"
咳がでる場合はマスクをしてください。,"In case you have a cough, please wear a mask.","117- 場合/baai [n] case, situation"
彼からおもしろい話を聞いた。,I heard an interesting story from him.,"118- 話/hanashi [n] talk, story"
車を運 転しながら携帯を見てはいけない。,You mustn’t use a cell phone while driving.,"119- ながら/nagara [p. conj] with, over, while, during"
私 はそんなケースを聞いたことがない。,I have never heard of such a case.,"120- そんな/sonna [adj] such, that"
今日は新しいカードを使う。,I am using a new card today.,"121- 使う/tsukau [v] use, handle"
日本は島 国です。,Japan is an island nation.,"122- 日本/nihon, nippon [n] Japan"
これは関東風のうどんです。,This is Kanto style udon.,"123- 風/fuu [na-adj] style, way, manner"
おー、一 番だ!,"Wow, I came first!","124- おー/oo [interj] Oh!, Wow!"
家の前に車をとめる。,Park your car in front of the house.,"125- 前/mae [n] front, ago, before"
このタワーマンションは独身の人が多い,This apartment tower has many single people.,"126- 多い/ooi [i-adj] many, much"
このレポートはとてもよく書かれている。,This report is well written.,"127- よく/yoku [adv] nicely, well, frequently"
そのケーキを一つください。,Please give me one piece of cake.,"128- 一つ、ひとつ/hito-tsu [num] one (piece, thing)"
子供部屋のある家を探しています。,We are looking for a house with a children's room.,129- 子供/kodomo [n] child(ren)
非 常の時は119番してください。,Please call 119 in the event of an emergency.,"130- 非常/hijoo [na-adj] emergency, extremely, extraordinary"
やる気になれば何でもできる。,You can do anything if you set your mind to it.,"131- 気/ki [n] spirit, mind, heart, intention, feeling"
いくら注 意しても、彼は同じ間違いをする。,He makes the same mistakes no matter how careful he tries to be.,"132- ても/te mo [p. conj] even if, even though, no matter how ..."
テストで満点を取る。,Get a perfect score on the test.,"133- 取る/toru [v] take, get"
箱のうちがわに説明があります。,There is an explanation on the inside the box.,134- うち/uchi [n] inside
インターネットで地震についてのニュースを知った。,I became aware of news about an earthquake from the Internet.,"135- 知る/shiru [v] know, be aware of"
私は猫より犬が好きだ。,I like dogs more than cats.,"136- より/yori [p. case] than, from"
夕食を食べて、それから風呂に入りました。,"I had dinner, and then took a bath.",137- それから/sore kara [conj] and then
うー、困ったな!,"Aww, I’m in trouble.","138- うー/uu [interj] Woo!, Aww! Ugh!"
あまり感じのいい店員ではなかった。,The store clerk did not leave a very good impression.,"139- 感じ/kanji [n] feeling, impression, atmosphere"
ビーチで子供みたいに遊ぶ。,Play like a kid when you’re at the beach.,"140- みたい/mitai [na-adj] like, sort of, similar to"
私たちのチームはよく 戦いました。でも、ゲームに勝つことはできませんでした。,"Our team fought so hard, but we could not win the game.","141- でも/demo [conj] but, though"
ここにあった本がどこにあるか知りませんか。,Do you know what happened to the book that was here?,142- ここ/koko [pron] here
私はこのくまのキャラクターがとっても好きです。,I like this bear character very much.,"143- とっても/tottemo [adv] very, awfully, extremely"
今日はとても大きな犬を連れている人に会った。,I met a man with an extremely big dog today.,"144- とても/totemo [adv] very, awfully, extremely"
この本屋はいろいろなジャンルの本を売っている。,This bookstore sells various genres of books.,145- いろいろ/iroiro [na-adj] various
一から順に数える。,Count in order from one.,146- 一/ichi [num] one
一番高い携帯電話はどれですか。,Which is the most expensive cell phone?,"147- 一番/ichiban [n] [adv] number one, first, most"
ねこを二匹飼っています。,I have two cats.,148- 二/ni [num] two
この前と同じ場所で会いましょう。,See you at the same place as the last time.,149- 同じ/onaji [adn] same
まず、あなたの親 切さに感 謝したいと思います。,"First, I would like to thank you for your kindness.","150- まず/mazu [adv] first of all, to start with, first"
パスポートの更新に必 要な書類を用意する。,Prepare the necessary documents for renewing your passport.,"151- 必要/hitsuyoo [na-adj] [n] necessary, necessity"
今日は仕事があります。,I have work to do today.,"152- 仕事/shigoto [n] work, job, occupation, task"
反応はあまり良くありませんでした。,The response was not very favorable.,"153- 余り、あまり/amari [adv] [n] not very, remainder"
台 風によって、イベントは中 止になりました。,The event was canceled due to the typhoon.,"154- によって/ni yotte [cp] by, according to, due to, because of, depending on"
住 所を間違ったかもしれない。,You may have gotten the address wrong.,"155- かもしれない/ka mo shire nai [cp] may, perhaps, possibly"
僕のサッカーのシューズはどこ。,Where are my soccer shoes?,"156- 僕/boku [pron] I, me (male/boy term)"
みんなの意見を聞いてプランを決めよう。,Listen to everyone's opinions and decide on a plan.,"157- 皆, みんな/minna [n] all, everyone, everybody, everything"
彼は私の中学校の同級生だ。,He is my junior high school classmate.,"158- 彼/kare [pron] he him, boyfriend"
午前7時に朝食を食べる。,I eat breakfast at 7:00 AM.,159- 食べる/taberu [v] eat
私の親ほど心配性のある人はいない。,No one worries as much as my parents do.,160- ほど/hodo [p] indicates approx. amount or maximum limit
けんかは終わりました。しかし、仲良しになったとはいえない。,"The fight is over. However, you couldn’t say that they have become friends.","161-しかし/shikashi [conj] however, but"
私は毎日日記を書く。,I write a diary every day.,"162- 書く/kaku [v] write, compose"
食料品をかごに入れる。,Put your groceries in the basket.,"163- 入れる/ireru [v] put in, insert"
次は東京駅です。,The next stop is Tokyo Station.,164- 次/tsugi [n] next
料理がとても結構なお味だった。,The food was quite delicious.,"165- 結構/kekkoo [na-adj] nice, fine, quite"
算数の問題が難しい。,The math question is difficult.,"166- 問題/mondai [n] problem, question"
例えば生まれかわるなら何になりたいですか。,"For example, what would you like to be reborn as?","167- 例えば/tatoeba [adv] for example, such as"
赤ちゃんの目はかわいい。,Babies’ eyes are adorable.,"168- 目/me [n] eye, eyeball"
眼が悪くなったのでめがねがいる。,"My eyes are getting worse, so I will need glasses.","169- 眼/me [n] eye, eyeball"
四月頃にはさくらが咲くだろう。,The cherry blossoms will bloom around April.,"170- 頃/goro [n] time, around, about"
これは上からの指示だ。,These instructions are from the top.,"171- 上/ue [n] above, up, over, top"
お隣の方はよくお菓子をくださる。,The neighbors often give me treats.,"172- くださる/kudasaru [v] to give, to bestow, to kindly do for one"
これの他にほしいものはない。,There is nothing that I want other than this.,"173- 他/hoka [n] other, the rest, outside, beyond"
お父さんはいつ帰ってくるの,When will my dad come home?,"174- いつ/itsu [adv] when, how soon"
家の電話に連 絡をください。,Please contact me at my home phone number.,"175- 家/ie [n] house, family, household, home"
今日はパーティに行く日だ。,Today is the day to go to the party.,"176- 日/hi [n] day, days"
お子様セットにはおもちゃが付く。,The kid’s meal comes with a toy.,"177- 付く/tsuku [v] to be attached, to stick, to accompany"
火曜日はリサイクルのゴミを出す日だ。,Tuesday is the day to put out recycling garbage.,"178- 出す/dasu [v] to take out, to put out"
子供は一人しかいません。,There is only one child.,"179- 一人/hitori [n] one person, along, solitary"
猿と人 間の違いはなんだろう。,What is the difference between monkeys and humans?,"180- 人間/ningen [n] human being, person, man, character"
この迷子の親はどこだろう。,Where are this lost child's parents?,"181- どこ/doko [pron] where, what place"
時間を忘れて暗くなるまで遊んでしまった。,I forgot about the time and played until it was dark.,"182- 時間/jikan [n] time, hours"
これはただのおもちゃの汽車です。,This is an ordinary toy train.,"183- ただ/tada [adj] ordinary, common"
今日はデートがある。だから、早く帰りたいんだ。,"I have a date today. So, I want to go home early.","184- だから/dakara [conj] so, therefore"
僕らの意見はいつも違う。,Our opinions are always different.,"185- 違う/chigau [v] to differ, to vary"
サッカーのゴールキーパーがシュートを受ける。,"In soccer, the goalkeeper tries to catch the shot.","186- 受ける/ukeru [v] receive, get, catch"
大事なことを伝えるには、言葉は選んだ方がいい。,You should choose your words carefully when you talk about matters of importance.,"187- 言葉/kotoba [n] language, dialect, words, phrase, remark"
彼女の誕 生日プレゼントにこのネックレスなんかどうですか。,How about something like this necklace for her birthday present?,"188- なんか/nanka [p] things like, or something like that"
少し寒くなってきたようだ。,It seems to be getting a little cold.,"189- 少し/sukoshi [adv] small, a little"
そのままにしておいてください。,Please leave it as it is.,190- まま/mama [p] as it is
コンビニでお弁 当を買う。,I buy lunch at a convenience store.,"191- 買う/kau [v] buy, purchase"
まだ夏休みの宿題がいっぱい残っている。,I still have a lot of summer homework.,"192- まだ/mada [adv] as yet, still"
手遊びのグーチョキパー知っている?,"Do you know about the hand game, Rock Paper Scissors?","193- 手/te [n] hand, arm"
赤ちゃんは何ヶ月から話すようになるのだろう。,I wonder at how many months the baby will start speaking.,"194- 話す/hanasu [v] talk, speak"
私は古い映画が好きです。,I like old movies.,"195- 好き/suki [v] like, love"
落とし物が持ち主に返る。,Lost items may return to their owners.,"196- 返る/kaeru [v] return, come back"
お父さんにこのおもちゃを買ってもらう 。,I will have my father buy this toy.,197- てもらう/temorau [cp] to have someone do something
上着をハンガーに掛けてください。,"Hang your jacket on a hanger, please.",198- 掛ける/kakeru [v] to hang
もう少しでこのプロジェクトが終わる。,This project will be finished soon.,"199- 終わる/owaru [v] to finish, to end"
上 司の言っている言葉の意味がわからない。,I don't understand what my boss means.,"200- 意味/imi [n] meaning, sense"
この公 園はオリンピックを記念してつくられたのである。,This park was built to commemorate the Olympics.,201- のである/no de aru [cp] assertation
この絵はいろんな色が使われているね。,This picture uses various colors.,202- いろんな/ironna [adn] various
虫刺されにかゆみ止めを付ける。,Apply anti-itch cream on insect bites.,"203- 付ける/tsukeru [v] put, attach, apply"
まる、三 角、四角の他にどんな形があるだろう。,"What other shapes are there besides circles, triangles and squares?","204- 形/katachi [n] form, shape, figure"
今度の台 風はかなり大きいらしい。,The next typhoon seems to be quite big.,"205- かなり/kanari [adv] considerably, quite"
一、二、三の合図で鬼ごっこしよう。,"Let’s play tag on the count of one, two, and three.",206- 三/san [num] three
最初は誰でもわからない事が多い。,There are many things that no one understands at first.,207- 最初/saisho [n] first
この壁と壁の間に棚を作ります。,We will build a shelf between these walls.,"208- 間/aida [n] distance, period, between"
今朝の風は肌に寒く感じる。,This morning's wind feels cold on my skin.,209- 感じる/kanjiru [v] feel
財布に百円しか入っていない。,I only have one-hundred yen in my wallet.,"210- しか/shika [p] only, just, no more than"
この家を改 築するにはかなりの費用がかかる。,It will cost a lot to renovate this house.,"211- かかる/kakaru [v] hang, take, cost"
人 間の子供ぐらいの大きな犬がいた。,There was a big dog about the size of a human child.,"212- 大きな/ookina [adj] big, great"
このアパートに住むことにしよう。,We will live in this apartment.,213- 住む/sumu [v] live
最 近は高 齢 者による車の事故が増えている。,"Recently, car accidents caused by elderly people are increasing.","214- 最近/saikin [adj] recently, lately"
最 近は特にSTEMコースに人気がある。,STEM courses have been particularly popular latel,"215- 特に/tokuni [adv] especially, particularly"
ここに荷物を置いたのは誰ですか。,Who left their luggage here?,"216- 誰/dare [pron] whom whose, whom"
こんなおいしいケーキは食べたことがない。,I have never eaten such a delicious cake.,"217- こんな/konna [adn] such, like that"
友達は一 生の宝だ。,Friends are a lifetime treasure.,218- 友達/tomodachi [n] friend
あそこに見える大きい家が祖父の家です,The large house over there is my grandfather's.,"219- 大きい/ookii [i-adj] big, great, large"
この書 類をすぐに届けてもらえますか。,Can you deliver this document soon?,220- すぐ/sugu [adv] soon
友 達と一緒にディナーに行った。,I went out for dinner with a friend.,"221- 一緒/issho [n] together, with"
新しい街での生 活はどうですか。,How’s life in the new city?,222- 生活/seekatsu [n] life
違う国から来た人と友 達になった。,I became friends with people who came from different countries.,223- 国/kuni [n] country
質 問がある人は、手をあげてください。,"If you have any questions, please raise your hand.","224- あげる/ageru [v] raise, lift"
あんたは最 近どうしてるの。,How have you been lately?,225- あんた/anta [pron] you (informal)
あなたの今日の予定は何ですか。,What is your plan for today?,226- あなた/anata [pron] you
現 在の気温は二十六度です。,The current temperature is 26 degrees.,"227- 現在/genzai [n] current, now"
日本ではバターの値段が高いね,Butter is expensive in Japan.,"228- 高い/takai [i-adj] high, tall, expensive"
なんて親 切な人だろう。,How kind he is!,229- なんて/nante [adv] how ...! what...!
悪いのは僕だ。,It was my bad.,230- 悪い/warui [i-adj] bad
彼 女の気持ちを傷つけたくない。,I don’t want to hurt her feelings.,231- 気持ち/kimochi [n] feeling
ジェットコースターは一 番 後ろに乗るのが好きだ。,I like riding at the back of rollercoasters.,"232- 乗る /noru [v] ride, get on, take"
音 楽において、彼の才 能は特 別だ。,He is exceptionally talented in music.,"233- において/ni oi te [cp] at, in, on"
ビルの高 層 階から見える眺めは最 高だ。,The view I can see from the high floors of the building is amazing.,"234- 見える/mieru [v] can see, be seen"
水は温度によって質が変わる。,Water’s state changes with its temperature.,"235- 変わる/kawaru [v] change, transform"
お寺では靴は脱ぐべしと注意書きがある,"At the temple, there is a notice saying that we should remove our shoes.","236- べし/beshi [aux] must, should"
ランチ、あるいはお茶をしましょう,Let’s get together for lunch or tea.,"237- あるいは/aruiwa [conj] or, perhaps"
大 変な問 題がおきた。,A serious problem occurred.,"238- 大変/taihen [na-adj] serious, terrible, difficult"
性別による差別は禁止されている,Discrimination based on gender is prohibited.,"239- による/ni yoru [cp] due to, based on"
会 社の電話番号が新しくなった。,The company got a new phone number.,"240- 会社/kaisha [n] company, firm"
ほとんどの人は電 車で仕事に行く。,Most people take a train to go to work.,"241- ほとんど/hotondo [adv] most, almost, nearly"
実際、魚料理は好きではない。,"In fact, I don't like fish dishes.","242- 実際/jissai [n] actually, in fact"
空手の先 生から礼儀を教わった。,I learned manners from my karate teacher.,243- 先生/sensee [n] teacher
今週末は彼 女とデートする。,I have a date with my girlfriend this weekend.,"244- 彼女/kanojo [pron] she, girlfriend"
このゴンドラは二人乗りだ。,This gondola is for two people.,"245- 二人/futari [n] two people, a couple"
心から感謝する。,I thank you from the bottom of my heart.,"246- 心/kokoro [n] mind, heart"
この道の先で事故があったらしい。,It seems there has been an accident down the road.,"247- らしい/rashii [aux] seem, look"
金のなる木が欲しい。,I wish I had a money tree.,248- 金/kane [n] money
このタオルで顔を拭いてください。,Please wipe your face with this towel.,249- 顔/kao [n] face
昔の先 生から贈り物をいただく。,I sometimes receive gifts from my old teacher.,250- いただく/itadaku [v] to receive (humble)
ずっと秘密にしていることがある。,I have a secret that I have been keeping for a long time.,"251- ずっと/zutto [adv] all the time, for a long time"
さらに最新の治療法が研 究されている。,New treatments are being researched further.,"252- さらに/sarani [adv] moreover, further, additionally"
この町には小 学 校が二つある。,There are two elementary schools in this town.,"253- 町/machi [n] town, city"
この街は若 者に人気のスポットが多い。,This town has a lot of spots appealing to young people.,"254- 街/machi [n] town, city"
お年寄り及び子供連れの家族は、先に入場してください。,Elderly people as well as families with small children are invited to enter first.,"255- 及び/oyobi [conj] as well as, and"
今年のハロウィーンは沢山の人で道が賑わった。,The streets were crowded with many people for Halloween this year.,"256- 沢山/takusan [adv] many, much, a lot"
この香水はいい香りがする。,This perfume has a good fragrance.,"257- いい/ii [adj] good, fine"
予想値は大体合っていた。,The estimate was about accurate.,"258- 大体/daitai [adv] approximately, about, almost"
もちろん 喜 んで参加します。,"Of course, I will be happy to participate.","259- もちろん/mochiron [adv] of course, needless to say"
まず教 科書を読む。,I read my textbook first.,260- 読む/yomu [v] read
パーティでおもしろい人たちに会った。,I met interesting people at the party.,261- 人たち/hito-tachi [n] people
今日から新学期が始まる。,The new semester starts today.,262- 今日/kyoo [n] today
昔、人々は川で洗 濯をしていた。,"Long ago, people used to wash clothes in the river.","263- 昔/mukashi [n] ancient times, in the past, long ago"
「うん」ではなくて、「はい」と返事をしなさい。,"When you reply, say ""yes' instead of ""yeah"".",264-うん/un [interj] yeah
時間通りにすべての仕事を終わらせた。,I finished all the work on time.,"265- すべて/subete [n] everything, all"
今年から新しい学 校で教えることになった。,I am going to teach at a new school from this year.,"266- 教える/oshieru [v] teach, tell"
公園の砂場で小さい子が遊んでいる。,Small children are playing in the sandpit in the playground.,"267- 子/ko [n] child, children"
この仕事は先にしておくように。,You should get this job done first.,268- ておく/te oku [cp] having it done in advance
フォーラムで環境問題に対して意見を述べる。,I will be presenting my opinion regarding environmental issues at the forum.,"269- に対して/ni taishite [cp] towards, regarding"
息子がゲームばかりしている。,My son does nothing but play video games.,"270- ばかり/bakari [p] only, nothing but"
四 歳の子供は、いつも「なぜ」と言う。,"Four-year-olds are always asking ""why"".","271- なぜ/naze [adv] why, how come"
運動の前には沢 山 水を飲んだ方がいい。,You should drink a lot of water before exercising.,272- 水/mizu [n] water
当時はこのあたりは野原だった。,"Back then, this area was all green fields.","273- 当時/tooji [n] then, at that time"
間違えて違う場所に行ってしまった。,I made a mistake and went to a wrong place.,"274- 場所/basho[n] place, spot"
手荷物を席の上の棚に置く。,Put your carry-on bags on the shelf above you.,"275- 置く/oku [v] put, place, leave behind"
