Expression,Expn,Trans,Convo1,T1,Convo2,T2,Convo3,T3,Convo4,T4,Convo5,T5,Convo6,T6,Convo7,T7,Convo8,T8,Convo9,T9
可能表現,kanouhyougen,"Potential, perceptual, sensual",これは生で食べられますか。,Can I eat this raw?,チケットはどこで買えますか。,Where can I buy tickets?,動物園まで歩いて行けますか。,Can I walk to the zoo?,英語が話せますか。,Do you speak English?,英語で書くことができますか。,Can you write in English?,英語がわかりますか。,Do you understand English?,このホテルから富士山が見えますか。,Can you see Mt. Fuji from this hotel?,すみません、よく聞こえないんですが。,"I'm sorry, I can't hear you very well.",ジブ—リ美術館がどこにあるか、知っています。いえ、知りません,"I know where the Givry Museum is. No, I don't."
疑問詞,gimonshi,Interrogatives,どこに旅行に行きましょう(か)。,Where shall we travel?,福岡は、どんな街ですか。,What is Fukuoka like?,お祭りは何日から何日までですか。,What are the days of the festival?,何が面白いですか。,What do you find interesting?,困ったなあ。どうしましょう。,Oh no. What should I do?,どれが一番安いですか。,Which is the cheapest?,いつにするか決めてください。,Please decide when you will go.,何・だれ・どこ・いつ　でもいいです。,"I don't care what, who, where, or when.",,
~ておきます・~てあります・~ています,~te okimasu / ~te arimasu / ~te imasu,Resultative,パーティーの準備をしておいてください。,Please be prepared for a party.,店はもう予約してあります。,I have already made a reservation at a restaurant.,じゃ、彼女にも聞いておきますね。,I will ask my girlfriend about it.,ビールは買ってありますか。,Do you buy beer?,飲み物を冷やしておきましょう。,Let's keep the drinks cold.,ここに何か置いてあるけど、これ何?,What do you have here?,もうみんな集まっています。,Everyone is already here.,料理はもうできているから、いつでも始められます。,"The food is already prepared, so you can start whenever you want.",,
~ようと思う・~たいと思う,~you to omou / ~tai to omou,Express volition and intention,よし、次はがんばろう。,"Okay, let's do our best next time.",学ぼうという気持ちが大切です。,It is important to be willing to learn.,来月、京都へ行こうと思っています。,I am planning to go to Kyoto next month.,夏に3週間ほど帰国しようと思っています。,I am planning to return home for 3 weeks in the summer.,将来は田舎のほうに住もうと思っています。,I am thinking of living in the countryside in the future.,大学に進学しようかどうか迷っています。,I am not sure whether I want to go to college or not.,来月、京都へ行きたいと思っています。,I would like to go to Kyoto next month.,将来、通訳になりたいと思って、頑張って勉強しています。,I am studying hard because I want to become an interpreter in the future.,買おうとしたら、財布がないことに気づいたんです,I was about to buy one when I realized I didn't have my wallet.
条件表現,joukenhyougen,Conditional expressions,あの角を曲がると、ピザ屋があります。,There is a pizza place around the corner.,3人なら入れるでしょう。,Three people will be able to get in.,混んでいたら、別の店にしますか。,"If it is crowded, would you prefer to go to another restaurant?",少し待てば、空きますよ。,"If you wait a little, you will be free.",もうちょっと早く行けば、あの店に入れたのに!,"If I had gotten there a little earlier, I could have gotten into that restaurant!",春になると、桜が咲きますか。,Do cherry blossoms bloom in the spring?,京都に行くなら、旅館は「ふじ屋」がいいですよ。,"If you go to Kyoto, Fujiya is a good ryokan.",この薬を飲めば、だいぶ楽になりますよ。,"If you take this medicine, you will feel much better.",薬を飲んですぐ寝たら、治りました。,I took the medicine and went to bed right away and I am cured.
~て・~ので・~から - 理由,~te / ~node / ~kara,Reasons,ネットにつながらなくて、困っています。,I am having trouble connecting to the Internet.,昨日は疲れて、すぐ寝てしまいました。,I was tired yesterday and went to bed right away.,混んで(い)て、中に入れませんでした。,It was so crowded that I couldn't get in.,おなかが空いて、死にそうです。,I am dying of hunger.,忙しいから行けないと思います。,I don't think I can go there because I'm busy.,もったいないから捨てないでください。,"Please don't throw it away, it's a waste.",時間がないので、今回はあきらめます。,"I don't have much time, so I will give up this time.",用事があるので、今日はもう帰ります。,"I have to run some errands, so I'm going home today.",,
あげる・もらう・くれる,ageru / morau / kureru,Give and Receive,田中さんにオーストラリアのお土産をあげました。,I gave Mr. Tanaka a souvenir from Australia.,彼はなかなか連絡をくれません。,He doesn't contact me very often.,田中さんはよく、私にお菓子をくれます。,Mr. Tanaka often gives me sweets.,今日中に返事をもらいたいんですが。,I would like to hear back from you by the end of the day.,ニフーさんは、山田さんの書類を英語に翻訳してあけたそつです。,Nifu translated Mr. Yamada's documents into English and opened them.,兄が迎えに来てくれました。,My brother came to pick me up.,電話番号を教えてくれませんか。,Can you give me your phone number?,友達に引つ越しを手伝ってもらいました。,My friend helped me move.,,
~のに,~noni,"Although, Though, Even though, Despite（Converse Cause, Contrast, Unexpected, Regret)",忙しいのに、大丈夫ですか。,"Are you all right, even though you are busy?",そこは安いのにおいしいんです。,"It's cheap there, but it's delicious.",今日は平日なのに込んでいますね。,It is crowded today even though it is a weekday.,彼女、知っているのに、教えてくれないんです。,"She knows, but she won't tell me.",この前会ったのに、名前が思い出せないんです。,"I met him the other day, but I can't remember his name.",さっき言ったのに!聞いてなかったの?,I told you earlier! Didn't you hear me?,あーあ、頑張ったのに。残念。,"Oh, I tried my best. Too bad.",ひどい! これ、新品なのに!,Oh my God! This is brand new!,,
~らしい・~みたい・~っぽい,~rashii / ~mitai / ~ppoi,"Apparently, Seems, Looks like , Likeness (-ly, -ish)",もうすぐ台風が来るらしいですね。,I heard that a typhoon is coming soon.,えっ、今の人、社長(さん)だったの? 全然社長らしくない人だね。,"What, was that the president of the company? He doesn't seem like a president at all.",風邪を引いたみたいです。のどが痛いです,I think I caught a cold. My throat hurts.,彼女、怒っているみたいでしたよ。,She seemed angry.,日本人みたいだってよく言われます。,People often say I look like a Japanese.,学生っぽく見えるけど、彼は会社の社長なんです。,"He looks like a student, but he is the president of a company.",彼、冗談っぽく言ってましたけど、本当は辛かったはずです。,"He said it jokingly, but it must have been really hard.",この黒っぽい服を着ているのがビルさんです。,The guy in the dark clothes is Bill.,,
~そう・~って,~sou / ~tte,Hearsay,今の時期、京都は暑いそうですね。,I hear it is hot in Kyoto this time of year.,ミスさんは、明日休むって言ってました。,Miss said she would take tomorrow off.,スミスさん、明日休むんだって。,"Mr. Smith, I heard you are taking tomorrow off.",彼、明日来ないんだって。,He won't be here tomorrow.,ビルさんは、シドニーの出身だそうですよ。,Bill-san says he is from Sydney.,ビルさんは、シドニーの出身なんですって。,Bill says he is from Sydney.,ミラーさんは、学生じゃないそうです。,Mr. Miller is not a student.,ミラーさんは、学生じゃないんだって。,Mr. Miller is not a student.,,
~そう,~sou,"Seems, Looks like, Appears (Conjecture of feeling)",うまくいきそうですか。,Do you think it will go well?,蹇くて遼えそうでした。,"I was so lame, I thought I was going to be lame.",今日は混んでそうですね。,It looks crowded today.,忘れそうだから、書いておきます。,"I'm going to forget, so I'm going to write it down.",どう? できそう?,How is he? Is it good?,あのケーキ、おいしそう。,That cake looks delicious.,相変わらず、彼は忙しそうです。,He seems to be busy as usual.,彼、あんまりうれしそうじゃなかったね。嬉しくなさそうだったね。,He didn't look very happy. He didn't look happy.,,
~ようになる・~くなる・~になる,~you ni naru / ~ku naru/ ~ni naru,Describing changes,最近、急に寒くなりましたね。,It has suddenly become cold recently.,荷物が軽くなった!,My luggage is so light!,髪がだいぶ長くなりました。,My hair is much longer now.,ちよっとわからなくなりました。,I'm a little confused.,お昼ご飯を食べたあとは、どうしても眠くなります。,I get sleepy after lunch.,面白い人ですね。友達になりたいです。,He's an interesting guy. I'd like to be friends with him.,大きな病気になったことはありません。,He has never been seriously ill.,だんだん日本語が話せるようになってきました。,I am gradually learning to speak Japanese.,,
受け身・使役,ukemi / shieki,"Passive, Causative",この建物は、約千年前に建てられたそうです,This building was built about a thousand years ago.,さっき電車の中で足を踏まれました。,I was stepped on in the train.,ここを通らないように言われました。,I was told not to go through here.,彼女に嫌われていないか、心配です,I'm worried that she doesn't like me.,ぜひ、私にやらせてください。,Please let me try.,びっくりさせないでください。,Please don't surprise me.,日にちが決まったら、すぐに知らせてください。,Please let me know as soon as you have a date.,彼女をがっかりさせてしまいました。,I let her down.,,
敬語,keigo,Honorific expressions,何時にお戻りですか。,What time do you return?,ご:i 意はどうなさいますか。,What are you going to do?,ご案内します。どうぞ、こちらへ。,"Let me show you around. Please, this way.",メール拝見しました。,I read your email.,かばんをお持ちします。,Let me get your bag.,これから、どちらへいらっしゃいますか。,Where are you going now?,先生のお宅に伺います。,I will come to the doctor's house.,いらっしゃい。どうぞお上がりください。,Come in. Please come in.,どうぞお召し上がりください。はい。では、いただきます。,"Please enjoy your meal. Yes, I will. Then, I'll take it."
電車に乗る,densha ni noru, Catching a train,すみません、渋谷にはどう行けばいいですか。,"Excuse me, how do I get to Shibuya?",銀座線の渋谷行きに乗ってください。,Please take the Ginza line bound for Shibuya.,この電車は秋葉原に止まりますか。,Does this train stop at Akihabara?,この電車は東京に行きますか。,Does this train go to Tokyo?,どこで乗り換えますか。,Where do you want to change?,新宿で中央線に乗り換えてください。,Please change to the Chuo Line at Shinjuku.,東京行き(の電車)は何番線ですか。,What line is the train to Tokyo?,この電車は急行ですか、各駅(停車)ですか。,Is this train an express or a local train?,,
バス・タクシーを使う,basu / takushii o tsukau,Catching a bus or a taxi,バス停はどこですか。,Where is the bus stop?,ふじ大学行きのバスは何番乗り場ですか。,What bus stop is the one for Fuji University?,市役所に行くには、どこで降りればいいですか。,Where do I get off to go to City Hall?,お金はいつ払いますか。乗るときですか、降りるときですか。,When do you pay? When you get on or when you get off?,整理券を取って、降りる時に払ってください。,Take a numbered ticket and pay when you get off.,この道をまっすぐ行ってください。,Please go straight down this street.,次の角を右に曲がってください。,Turn right at the next corner.,この辺で止めてください。,Please stop here.,,
