W1,R1,T1,W2,R2,T2,W3,R3,T3,W4,R4,T4,W5,R5,T5
置く,おく,to put,招く,まねく,to invite,守る,まもる,to protect,混じる,まじる,to be mixed,有する,ゆうする,to own
書く,かく,to write,凌ぐ,しのぐ,to outdo,曇る,くもる,to become cloudy,交じる,まじる,to be mixed,要する,ようする,to require
描く,かく,to draw,裁く,さばく,to judge,頼る,たよる,to rely on,化する,かする,to change into,演ずる,えんずる,to play
掻く,かく,to scratch,響く,ひびく,to resound,触る,さわる,to touch,着せる,きせる,to put clothes on (someone),応ずる,おうずる,to respond
欠く,かく,to lack,省く,はぶく,to omit,障る,さわる,to hinder,乗せる,のせる,to take on board,感ずる,かんずる,to feel
嗅ぐ,かぐ,to sniff,背く,そむく,to run counter to,座る,すわる,to sit,載せる,のせる,to place on (something),禁ずる,きんずる,to forbid
聞く,きく,to hear,泳ぐ,およぐ,to swim,回る,まわる,to go around,見せる,みせる,to show,信ずる,しんずる,to believe
漕ぐ,こぐ,to row,乾く,かわく,to get dry,弱る,よわる,to weaken,痩せる,やせる,to become thin,報ずる,ほうずる,to inform
咲く,さく,to bloom,渇く,かわく,to be thirsty,すれ違う,すれちがう,to pass by one another,寄せる,よせる,to collect,命ずる,めいずる,to command
裂く,さく,to tear,騒ぐ,さわぐ,to make noise,あざ笑う,あざわらう,to sneer at,混ぜる,まぜる,to mix,論ずる,ろんずる,to discuss
敷く,しく,to spread out,開く,ひらく,to open an event,潤う,うるおう,to be moist,交ぜる,まぜる,to be mixed,被せる,かぶせる,to put on
炊く,たく,to boil,歩く,あるく,to walk,戦う,たたかう,to fight,当たる,あたる,to be hit,任せる,まかせる,to leave to others
焚く,たく,to burn,返す,かえす,to return something,扱う,あつかう,to handle,落ちる,おちる,to fall or drop,隔たる,へだたる,to be distant
就く,つく,to take (seat,帰す,かえす,to send back,疑う,うたがう,to doubt,落ちる,おちる,to fail (e.g. exam),慌てる,あわてる,to panic
点く,つく,to catch fire,倒す,たおす,to throw down,従う,したがう,o abide (by the rules),朽ちる,くちる,to rot,煽てる,おだてる,to incite
突く,つく,to thrust,通す,とおす,to let pass,争う,あらそう,to dispute,満ちる,みちる,to be full,育てる,そだてる,to raise
注ぐ,つぐ,to pour (into),直す,なおす,to fix,賄う,まかなう,to give board to,当てる,あてる,to hit,隔てる,へだてる,to separate
次ぐ,つぐ,to rank next to,治す,なおす,to cure,補う,おぎなう,to compensate for,宛てる,あてる,to address,重なる,かさなる,to overlap
接ぐ,つぐ,to join,犯す,おかす,to commit,行う,おこなう,to do,捨てる,すてる,to throw away,異なる,ことなる,to differ
継ぐ,つぐ,to succeed,侵す,おかす,to invade,失う,うしなう,to lose,立てる,たてる,to stand something up,連なる,つらなる,to join
解く,とく,to unfasten,任す,まかす,to entrust,養う,やしなう,to rear,建てる,たてる,to build,重ねる,かさねる,to overlap
溶く,とく,to dissolve (paint),汚す,けがす,to disgrace,伴う,ともなう,to accompany,果てる,はてる,to end,訪ねる,たずねる,to visit
説く,とく,to explain,探す,さがす,to look for,占う,うらなう,to forecast,持てる,もてる,to be able to possess s (hold,尋ねる,たずねる,to ask
退く,どく,to retreat,捜す,さがす,to search,整う,ととのう,to be prepared,撫でる,なでる,to brush gently,連ねる,つらねる,to join
研ぐ,とぐ,to sharpen,流す,ながす,to drain,敬う,うやまう,to show respect,茹でる,ゆでる,to boil,萎びる,しなびる,to diminish
泣く,なく,to weep,逃す,のがす,to let loose,漂う,ただよう,to drift about,兼ねる,かねる,to hold (position),滅びる,ほろびる,to perish
抜く,ぬく,to extract,隠す,かくす,to hide,繕う,つくろう,to mend,跳ねる,はねる,to jump,比べる,くらべる,to compare
脱ぐ,ぬぐ,to take off clothes,訳す,やくす,to translate,躓く,つまずく,to stumble,浴びる,あびる,to bathe,調べる,しらべる,to examine
履く,はく,to wear,略す,りゃくす,to abbreviate,退く,しりぞく,to retreat,帯びる,おびる,to wear (sword,並べる,ならべる,to line up
吐く,はく,to breathe out,起す,おこす,to wake,頂く,いただく,to receive,錆びる,さびる,to rust,集まる,あつまる,to gather
掃く,はく,to sweep,残す,のこす,to leave (behind,貫く,つらぬく,to go through,伸びる,のびる,to stretch,埋まる,うずまる,to fill up
剥ぐ,はぐ,to tear off,汚す,よごす,to disgrace,導く,みちびく,to be guided,延びる,のびる,to be prolonged,収まる,おさまる,to fit
弾く,ひく,to play an instrument with strings,崩す,くずす,to destroy,傾く,かたぶく,to incline toward,詫びる,わびる,to apologize,納まる,おさまる,to fit
轢く,ひく,to run somebody over (with vehicle),外す,はずす,to unfasten,欺く,あざむく,to deceive,食べる,たべる,to eat,治まる,おさまる,to settle
吹く,ふく,to blow,浸す,ひたす,to soak,赴く,おもむく,to go,述べる,のべる,to state,固まる,かたまる,to harden
拭く,ふく,to wipe,渡す,わたす,to hand over,傾く,かたむく,to incline toward,決まる,きまる,to be decided,定まる,さだまる,to be fixed
巻く,まく,to wind,乱す,みだす,to throw out of order,輝く,かがやく,to shine,閉まる,しまる,to close,静まる,しずまる,to subside
蒔く,まく,to sow (seeds),写す,うつす,to copy or photograph,囁く,ささやく,to whisper,染まる,そまる,to dye,高まる,たかまる,to rise
撒く,まく,to scatter,移す,うつす,to remove,呟く,つぶやく,to mutter,溜まる,たまる,to collect,縮まる,ちぢまる,to shrink
剥く,むく,to peel,映す,うつす,to project,働く,はたらく,to work,詰まる,つまる,to be blocked,捕まる,つかまる,to be caught
焼く,やく,to bake,落す,おとす,to drop,驚く,おどろく,to be surprised,止まる,とまる,to come to a halt,勤まる,つとまる,to be diligent
沸く,わく,to boil,脅す,おどす,to threaten,催す,もよおす,to hold (a meeting),泊まる,とまる,to lodge at,強まる,つよまる,to strengthen
湧く,わく,to boil,戻す,もどす,to restore,促す,うながす,to urge,留まる,とまる,to be fixed,留まる,とどまる,to stay
押す,おす,to push,貶す,けなす,to speak ill of,施す,ほどこす,to donate,填まる,はまる,to get into,止まる,とどまる,to stop
貸す,かす,to lend,話す,はなす,to speak,表す,あらわす,to express,染みる,しみる,to pierce,挟まる,はさまる,to get caught
消す,けす,to erase,離す,はなす,to part,現す,あらわす,to show,埋める,うめる,to bury,始まる,はじまる,to begin
越す,こす,to go over (audience),放す,はなす,to separate,著す,あらわす,to write,決める,きめる,to decide,広まる,ひろまる,to widen
超す,こす,to cross,潰す,つぶす,to smash,耕す,たがやす,to till,込める,こめる,to include,深まる,ふかまる,to deepen
差す,さす,to stretch out hands,零す,こぼす,to spill,楽む,たのしむ,to enjoy oneself,覚める,さめる,to wake,纏まる,まとまる,to coalesce
指す,さす,to point,騙す,だます,to trick,慎む,つつしむ,to be careful,冷める,さめる,to become cool,弱まる,よわまる,to weaken
刺す,さす,to pierce,示す,しめす,to denote,営む,いとなむ,to carry on (e.g. in ceremony),閉める,しめる,to close something,集める,あつめる,to gather
挿す,さす,to insert,試す,ためす,to attempt,羨む,うらやむ,to envy,締める,しめる,to tie,苛める,いじめる,to torment
注す,さす,to pour (drink),記す,しるす,to note,喜ぶ,よろこぶ,to be delighted,占める,しめる,to comprise,痛める,いためる,to hurt
射す,さす,to shine,吊す,つるす,to hang,尊ぶ,たっとぶ,to value,責める,せめる,to condemn,炒める,いためる,to fry
足す,たす,to add numbers,許す,ゆるす,to permit,遮る,さえぎる,to interrupt,攻める,せめる,to attack,薄める,うすめる,to dilute
出す,だす,to put out,下す,おろす,to lower,罵る,ののしる,to speak ill of,染める,そめる,to dye,収める,おさめる,to contain
為す,なす,to accomplish,卸す,おろす,to sell wholesale,囀る,さえずる,to sing,溜める,ためる,to amass,納める,おさめる,to contain
干す,ほす,to air,殺す,ころす,to kill,怠る,おこたる,to neglect,詰める,つめる,to pack,治める,おさめる,to fix
増す,ます,to increase,壊す,こわす,to break,操る,あやつる,to manipulate,留める,とめる,to fasten,固める,かためる,to consolidate
蒸す,むす,to steam,回す,まわす,to turn,捗る,はかどる,to make progress,止める,とめる,to stop something,定める,さだめる,to fix
召す,めす,to call,育つ,そだつ,to raise (child),喋る,しゃべる,to talk,泊める,とめる,to give shelter to,沈める,しずめる,to sink
止す,よす,to cease,保つ,たもつ,to keep,謝る,あやまる,to apologize,嘗める,なめる,to lick,進める,すすめる,to advance
打つ,うつ,to hit,浮ぶ,うかぶ,to float,誤る,あやまる,to make a mistake,填める,はめる,to get in,勧める,すすめる,to advise
撃つ,うつ,to attack,叫ぶ,さけぶ,to shout,葬る,ほうむる,to bury,褒める,ほめる,to praise,高める,たかめる,to increase
討つ,うつ,to attack,運ぶ,はこぶ,to transport,偏る,かたよる,to be one-sided,揉める,もめる,to disagree,縮める,ちぢめる,to reduce
勝つ,かつ,to win,結ぶ,むすぶ,to tie,労る,いたわる,to pity,止める,やめる,to stop,勤める,つとめる,to work
立つ,たつ,to stand,遊ぶ,あそぶ,to play,断る,ことわる,to refuse,辞める,やめる,to retire,務める,つとめる,to work
経つ,たつ,to pass,学ぶ,まなぶ,to study (in depth),賜る,たまわる,to grant,ほめる,ほめる,to praise,努める,つとめる,to strive
建つ,たつ,to erect,及ぶ,およぶ,to reach,覆す,くつがえす,to overturn,積もる,つもる,to pile up,強める,つよめる,to strengthen
発つ,たつ,to depart (on a plane,選ぶ,えらぶ,to choose,志す,こころざす,to plan,降りる,おりる,to get off,咎める,とがめる,to reproach
絶つ,たつ,to sever,並ぶ,ならぶ,to line up,蘇る,よみがえる,to be resurrected,下りる,おりる,to get off,留める,とどめる,to stop
打つ,ぶつ,to hit,転ぶ,ころぶ,to fall down,滞る,とどこおる,to stagnate,借りる,かりる,to borrow,止める,とどめる,to stop
死ぬ,しぬ,to die,掴む,つかむ,to seize,謙る,へりくだる,to deprecate oneself and praise the listener,懲りる,こりる,to to learn by experience,始める,はじめる,to begin
飛ぶ,とぶ,to fly,歪む,いがむ,to warp,奉る,たてまつる,to offer,足りる,たりる,to enough,眺める,ながめる,to look at
跳ぶ,とぶ,to jump,拝む,おがむ,to worship,司る,つかさどる,to rule,入れる,いれる,to put in,広める,ひろめる,to broaden
呼ぶ,よぶ,to call out,含む,ふくむ,to hold in the mouth,遡る,さかのぼる,to go back,売れる,うれる,to be sold,深める,ふかめる,to deepen
編む,あむ,to knit,恵む,めぐむ,to bless,向かう,むかう,to face,折れる,おれる,to break or be folded,含める,ふくめる,to include
産む,うむ,to give birth,励む,はげむ,to be zealous,揺らぐ,ゆらぐ,to swing,枯れる,かれる,to wither,纏める,まとめる,to put together
噛む,かむ,to bite,囲む,かこむ,to surround,基づく,もとづく,to be grounded on,涸れる,かれる,to dry up,丸める,まるめる,to round off
組む,くむ,to put together,凹む,へこむ,to be dented,明かす,あかす,to pass,切れる,きれる,to cut well,認める,みとめる,to acknowledge
汲む,くむ,to draw (water),嵩む,かさむ,to pile up,生かす,いかす,to revive,暮れる,くれる,to get dark,求める,もとめる,to ask for
酌む,くむ,to serve sake,憎む,にくむ,to hate,急かす,せかす,to hurry,呉れる,くれる,to give,休める,やすめる,to rest
込む,こむ,to include,挟む,はさむ,to interpose,溶かす,とかす,to melt,擦れる,すれる,to rub,緩める,ゆるめる,to relax
混む,こむ,to be crowded,刻む,きざむ,to mince,抜かす,ぬかす,to omit,逸れる,それる,to stray (turn) from subject,弱める,よわめる,to weaken
住む,すむ,to live in,惜しむ,おしむ,to be frugal,負かす,まかす,to defeat,垂れる,たれる,to hang,早める,はやめる,to accelerate
済む,すむ,to finish,軋む,きしむ,to jar,沸かす,わかす,to boil,取れる,とれる,to come off,呆れる,あきれる,to be dismayed
澄む,すむ,to clear (e.g. weather),滲む,にじむ,to run,焦がす,こがす,to burn,慣れる,なれる,to grow accustomed to,暴れる,あばれる,to violent
積む,つむ,to pile up,霞む,かすむ,to grow hazy,逃がす,にがす,to let loose,馴れる,なれる,to become domesticated,溢れる,あふれる,to overflow
富む,とむ,to be rich,進む,すすむ,to make progress,剥がす,はがす,to tear off,濡れる,ぬれる,to get wet,遅れる,おくれる,to slow down
飲む,のむ,to drink,盗む,ぬすむ,to steal,尽くす,つくす,to exhaust,晴れる,はれる,to be sunny,恐れる,おそれる,to fear
踏む,ふむ,to step on,休む,やすむ,to rest,無くす,なくす,to lose something,腫れる,はれる,to swell (from inflammation),溺れる,おぼれる,to drown
揉む,もむ,to rub,沈む,しずむ,to sink,亡くす,なくす,to lose someone,触れる,ふれる,to touch,隠れる,かくれる,to hide
止む,やむ,to stop,涼む,すずむ,to cool oneself,起こす,おこす,to raise,漏れる,もれる,to leak out,崩れる,くずれる,to fall apart
病む,やむ,to fall ill,弾む,はずむ,to spring,寄こす,よこす,to send,揺れる,ゆれる,to shake,汚れる,けがれる,to get dirty
有る,ある,to be,望む,のぞむ,to desire,過ごす,すごす,to pass,割れる,われる,to break,拗れる,こじれる,to get messy
在る,ある,to live,臨む,のぞむ,to look out on,果たす,はたす,to accomplish,植わる,うわる,to be planted,零れる,こぼれる,to spill
居る,いる,to be,痛む,いたむ,to hurt,満たす,みたす,to satisfy,終わる,おわる,to finish,壊れる,こわれる,to break
要る,いる,to need,畳む,たたむ,to fold (clothes),落とす,おとす,to drop,変わる,かわる,to change,痺れる,しびれる,to be numb
煎る,いる,to parch,妬む,ねたむ,to be jealous,飛ばす,とばす,to skip over,代わる,かわる,to take the place of,優れる,すぐれる,to be kind
炒る,いる,to roast,縮む,ちぢむ,to shrink,伸ばす,のばす,to lengthen,やっ付ける,やっつける,to beat,廃れる,すたれる,to go out of use
入る,いる,to get in,包む,つつむ,to wrap,延ばす,のばす,to lengthen,ぶら下げる,ぶらさげる,to hang,倒れる,たおれる,to fall
売る,うる,to sell,挑む,いどむ,to challenge,覚ます,さます,to awaken,やり遂げる,やりとげる,to accomplish,縮れる,ちぢれる,to shrink
得る,うる,to get,好む,このむ,to like,冷ます,さます,to cool,損なう,そこなう,to harm,疲れる,つかれる,to get tired
得る,える,to get,頼む,たのむ,to ask (a favour),済ます,すます,to finish,逆らう,さからう,to go against,潰れる,つぶれる,to go under
折る,おる,to break or to fold,阻む,はばむ,to keep someone from doing,澄ます,すます,to clear,味わう,あじわう,to taste,流れる,ながれる,to flow away
居る,おる,to be (animate),萎む,しぼむ,to wither,生やす,はやす,to grow,賑わう,にぎわう,to prosper,逃れる,のがれる,to escape
織る,おる,to weave,摘む,つまむ,to pinch,冷やす,ひやす,to cool,動かす,うごかす,to move,外れる,はずれる,to get away
刈る,かる,to cut (hair),悩む,なやむ,to be worried,増やす,ふやす,to increase,脅かす,おどかす,to threaten,離れる,はなれる,to get away
来る,くる,to come,歩む,あゆむ,to walk,殖やす,ふやす,to increase,乾かす,かわかす,to dry (clothes,放れる,はなれる,to let go
蹴る,ける,to kick,恨む,うらむ,to curse,燃やす,もやす,to burn,転がす,ころがす,to roll,膨れる,ふくれる,to swell
去る,さる,to leave,絡む,からむ,to entangle,荒らす,あらす,to lay waste,及ぼす,およぼす,to exert,紛れる,まぎれる,to be confused
為る,する,to do,睨む,にらむ,to glare at,暮らす,くらす,to live,滅ぼす,ほろぼす,to destroy,乱れる,みだれる,to be disordered
為す,なす,to print,弛む,たるむ,to slacken,逸らす,そらす,to turn away,悩ます,なやます,to afflict,凭れる,もたれる,to recline
剃る,する,to shave,緩む,ゆるむ,to become loose,散らす,ちらす,to scatter,励ます,はげます,to encourage,破れる,やぶれる,to be torn
剃る,そる,to shave,入る,はいる,to enter,照らす,てらす,to shine on,費やす,ついやす,to spend,汚れる,よごれる,to get dirty
散る,ちる,to fall,放る,ほうる,to let go,鳴らす,ならす,to ring,遅らす,おくらす,to retard,別れる,わかれる,to break up
釣る,つる,to fish,帰る,かえる,to go back,慣らす,ならす,to accustom,凝らす,こごらす,to freeze,忘れる,わすれる,to forget
吊る,つる,to hang,反る,かえる,to warp,馴らす,ならす,to domesticate,齎らす,もたらす,to bring,教わる,おそわる,to be taught
照る,てる,to shine,返る,かえる,to return,濡らす,ぬらす,to wet,悲しむ,かなしむ,to be sad,係わる,かかわる,to be involved
取る,とる,to take something,凍る,こおる,to freeze,減らす,へらす,to abate,苦しむ,くるしむ,to suffer,加わる,くわわる,to be part of
撮る,とる,to take a photo or record a film,通る,とおる,to go through,漏らす,もらす,to let leak,親しむ,したしむ,to be intimate with,備わる,そなわる,to be furnished with
採る,とる,to adopt (measure,直る,なおる,to be fixed,ずらす,ずらす,to put off,楽しむ,たのしむ,to enjoy oneself,伝わる,つたわる,to be handed down
捕る,とる,to take,治る,なおる,to be cured,降ろす,おろす,to take down,赤らむ,あからむ,to become red,交わる,まじわる,to cross
鳴る,なる,to sound,怒る,いかる,to get angry,合わす,あわす,to join together,危ぶむ,あやぶむ,to fear,出会う,であう,to meet by chance
為る,なる,to change,罹る,かかる,to suffer from,交わす,かわす,to exchange (messages),膨らむ,ふくらむ,to expand,出合う,であう,to meet by chance
成る,なる,to become,盛る,さかる,to prosper,浮かぶ,うかぶ,to float,率いる,ひきいる,to lead,似合う,にあう,to suit
生る,なる,to bear fruit,叱る,しかる,to scold,悔やむ,くやむ,to mourn,用いる,もちいる,to use,背負う,せおう,to be burdened with
似る,にる,to be similar,計る,はかる,to measure,老いる,おいる,to age,与える,あたえる,to give,仕舞う,しまう,to finish
煮る,にる,to boil,量る,はかる,to measure,強いる,しいる,to force,甘える,あまえる,to behave like a spoiled child,見舞う,みまう,to ask after (health)
塗る,ぬる,to paint,測る,はかる,to measure,植える,うえる,to plant,押える,おさえる,to stop,藻掻く,もがく,to struggle
寝る,ねる,to go to bed,諮る,はかる,to consult with,飢える,うえる,to starve,教える,おしえる,to teach,気付く,きづく,to notice
練る,ねる,to knead,図る,はかる,to plot,終える,おえる,to finish,怯える,おびえる,to become frightened,目指す,めざす,to aim at
乗る,のる,to get on,光る,ひかる,to shine,変える,かえる,to change,覚える,おぼえる,to remember,目立つ,めだつ,to be conspicuous
載る,のる,to appear (in print),上る,あがる,to rise,替える,かえる,to exchange,抱える,かかえる,to hold or carry under or in the arms,仕切る,しきる,to partition
貼る,はる,to stick,尖る,とがる,to taper to a point,換える,かえる,to exchange,数える,かぞえる,to count,出切る,できる,to be out of
張る,はる,to stick,限る,かぎる,to restrict,代える,かえる,to exchange,叶える,かなえる,to grant (request,区切る,くぎる,to punctuate
降る,ふる,to fall,契る,ちぎる,to pledge,消える,きえる,to disappear,構える,かまえる,to set up,湿気る,しける,to be damp
振る,ふる,to wave,握る,にぎる,to grasp,越える,こえる,to exceed,鍛える,きたえる,to forge,強請る,ねだる,te tease
減る,へる,to decrease (in size or number),送る,おくる,to send,超える,こえる,to exceed,加える,くわえる,to append,怒鳴る,どなる,to shout
経る,へる,to pass,贈る,おくる,to send,冴える,さえる,to be clear,栄える,さかえる,to prosper,真似る,まねる,to mimic
掘る,ほる,to dig,作る,つくる,to make,据える,すえる,to set (table),凍える,こごえる,to freeze,威張る,いばる,to be proud
彫る,ほる,to carve,造る,つくる,to make,添える,そえる,to add to,支える,ささえる,to support,流行る,はやる,to flourish
観る,みる,to see,潜る,くぐる,to drive,耐える,たえる,to bear,答える,こたえる,to answer,付合う,つきあう,to associate with
見る,みる,to see,探る,さぐる,to search,絶える,たえる,to die out,備える,そなえる,to furnish,揶揄う,からかう,to ridicule
診る,みる,to examine (medical),殴る,なぐる,to strike,堪える,たえる,to bear,具える,そなえる,to be furnished with,間違う,まちがう,to make a mistake
盛る,もる,to serve (food,巡る,めぐる,to go around,煮える,にえる,to boil,聳える,そびえる,to rise,手伝う,てつだう,to assist
漏る,もる,to leak,潜る,もぐる,to drive,生える,はえる,to grow,揃える,そろえる,to put things in order,振舞う,ふるまう,to behave
寄る,よる,to visit,茂る,しげる,to grow thick,映える,はえる,to shine,例える,たとえる,to compare,似通う,にかよう,to resemble closely
因る,よる,to be based on,怒る,おこる,to get angry,冷える,ひえる,to grow cold,違える,ちがえる,to change,支払う,しはらう,to pay
遣る,やる,to do,残る,のこる,to remain,増える,ふえる,to increase,仕える,つかえる,to serve,躊躇う,ためらう,to hesitate
割る,わる,to divide,誇る,ほこる,to boast of,殖える,ふえる,to increase,伝える,つたえる,to report,落着く,おちつく,to calm down
覆う,おおう,to cover,傲る,おごる,to be proud,吠える,ほえる,to bark,唱える,となえる,to recite,傷付く,きずつく,to be hurt
匂う,におう,to be fragrant,凝る,こごる,to congeal,見える,みえる,to be in sight,捕える,とらえる,to seize,片付く,かたづく,to put in order
誓う,ちかう,to swear,濁る,にごる,to become muddy,燃える,もえる,to burn,控える,ひかえる,to draw in,近付く,ちかづく,to approach
使う,つかう,to use,腐る,くさる,to rot,受かる,うかる,to pass (examination),震える,ふるえる,to shiver,長引く,ながびく,to be prolonged
違う,ちがう,to differ,勝る,まさる,to excel,掛かる,かかる,to take (e.g. time,交える,まじえる,to mix,散蒔く,ばらまく,to disseminate
願う,ねがう,to desire,飾る,かざる,to decorate,分かる,わかる,to be understood,迎える,むかえる,to go out to meet,見直す,みなおす,to look again
救う,すくう,to rescue from,走る,はしる,to run,上がる,あがる,to enter,預かる,あずかる,to keep in custody,見逃す,みのがす,to miss
掬う,すくう,to scoop,毟る,むしる,to pluck,下がる,さがる,to hang down,助かる,たすかる,to be saved,指差す,ゆびさす,to point at
襲う,おそう,to attack,弄る,いじる,to touch,曲がる,まがる,to turn,儲かる,もうかる,to be profitable,見渡す,みわたす,to look out over
誘う,さそう,to invite,噛る,かじる,to chew,飽きる,あきる,to get tired of,嫌がる,いやがる,to hate,引出す,ひきだす,to pull out
歌う,うたう,to sing,詰る,なじる,to rebuke,生きる,いきる,to live,転がる,ころがる,to roll,役立つ,やくだつ,to be useful
慕う,したう,to yearn for,捩る,ねじる,to twist,起きる,おきる,to get up,繋がる,つながる,to be tied together,微笑む,ほほえむ,to smile
雇う,やとう,to employ,擦る,かする,to touch lightly,尽きる,つきる,to be used up,広がる,ひろがる,to spread (out),裏切る,うらぎる,to betray
叶う,かなう,to come true (wish),擦る,こする,to rub,過ぎる,すぎる,to exceed,塞がる,ふさがる,to be plugged up,横切る,よこぎる,to cross (e.g. arms)
担う,になう,to carry on shoulder,削る,けずる,to cut down little by little,開ける,あける,to open,跨がる,またがる,to extend over or into,見送る,みおくる,(1) to see off
奪う,うばう,to snatch away,譲る,ゆずる,to turn over,明ける,あける,to dawn,群がる,むらがる,to swarm,着飾る,きかざる,to dress up
構う,かまう,to mind,焦る,あせる,to be in a hurry,活ける,いける,to arrange (flowers),預ける,あずける,to give into custody,嵩張る,かさばる,to be bulky
給う,たまう,to receive,至る,いたる,to come,受ける,うける,to take a lesson or test,砕ける,くだける,to break,片寄る,かたよる,to be one-sided
思う,おもう,to think,語る,かたる,to talk,掛ける,かける,to hang something,授ける,さずける,to grant,近寄る,ちかよる,to approach
通う,かよう,to commute,来る,きたる,to come,欠ける,かける,to be lacking,助ける,たすける,to save,洒落る,しゃれる,to joke
洗う,あらう,to wash,渡る,わたる,to go across,駆ける,かける,to run (race esp. horse),続ける,つづける,to continue,引返す,ひきかえす,to repeat
嫌う,きらう,to hate,下る,くだる,to get down,賭ける,かける,to wager,届ける,とどける,to deliver,裏返す,うらがえす,to turn inside out
拐う,さらう,to carry off,移る,うつる,to move house or transfer,避ける,さける,to avoid (physical contact),蕩ける,とろける,to melt (and become soft or liquid),心得る,こころえる,to be informed
習う,ならう,to learn,写る,うつる,to be photographed,裂ける,さける,to split,怠ける,なまける,to be idle; to slacken,引受る,ひきうける,to undertake
倣う,ならう,to imitate,映る,うつる,to be reflected,漬ける,つける,to soak,儲ける,もうける,to profit,物語る,ものがたる,to tell
狙う,ねらう,to aim at,祭る,まつる,to deify,付ける,つける,to attach,設ける,もうける,to prepare,逆上る,さかのぼる,to go back
払う,はらう,to pay,劣る,おとる,to fall behind,着ける,つける,to attach,掲げる,かかげる,to put up (a notice,上回る,うわまわる,to exceed
貰う,もらう,to receive,悟る,さとる,to attain enlightenment,点ける,つける,to turn on,捧げる,ささげる,to dedicate,見落とす,みおとす,to overlook
笑う,わらう,to laugh,太る,ふとる,to become fat,浸ける,つける,to dip,繋げる,つなげる,to connect,蹴飛ばす,けとばす,to kick away
狂う,くるう,to go mad,踊る,おどる,to dance,解ける,とける,to come untied,広げる,ひろげる,to spread out,見下ろす,みおろす,to overlook
揃う,そろう,to become complete,辿る,たどる,to follow (road),溶ける,とける,to melt,案じる,あんじる,to plan,途絶える,とだえる,to stop
拾う,ひろう,o pick up,戻る,もどる,to turn back,退ける,どける,to remove,演じる,えんじる,to perform,見付かる,みつかる,to be found
祝う,いわう,to congratulate,唸る,うなる,to groan,抜ける,ぬける,to come out,応じる,おうじる,to respond to,仕上がる,しあがる,to be finished
扇ぐ,あおぐ,to fan,抓る,つねる,to pinch,化ける,ばける,o appear in disguise,感じる,かんじる,to feel,打付ける,ぶつける,to knock
仰ぐ,あおぐ,to look up (to),捻る,ひねる,to turn (a switch) on or off,更ける,ふける,to get late,禁じる,きんじる,to forbid,仕掛ける,しかける,to set up
描く,えがく,to draw,祈る,いのる,to pray,老ける,ふける,to age,信じる,しんじる,to believe,付き合う,つきあう,to associate with
磨く,みがく,to brush teeth,募る,つのる,to invite,負ける,まける,to lose,通じる,つうじる,to pass,釣り合う,つりあう,to balance
嘆く,なげく,to sigh,実る,みのる,to bear fruit,向ける,むける,to turn towards,転じる,てんじる,to turn,間に合う,まにあう,to be in time for
動く,うごく,to move,配る,くばる,to distribute,焼ける,やける,to burn,報じる,ほうじる,to report,引っ掻く,ひっかく,to scratch
塞ぐ,ふさぐ,to stop up,縛る,しばる,to tie,分ける,わける,to divide,命じる,めいじる,to order,追い付く,おいつく,to overtake
