W1,T1,W2,T2,W3,T3
何か華道家って名乗ってるけど,You call yourself some kind of flower arranger.,新しい流派なの ,It's a new school. ,すごい勢いでお弟子さん集めてる,He's recruiting his disciples at an incredible rate.
私には関係ない,It has nothing to do with me.,うちも相当削られてるって,"I hear we've been cut down a lot, too.",出戻ったからって期待しないで,Don't get your hopes up just because I'm back.
別に何ともなってない,I'm not in any trouble.,もちろん回復すれば,"Once you recover, of course.",それは本当の恋じゃないと気付く,I realize it's not real love.
私が慰めますよ,Let me comfort you.,私たち付き合うことになったの,We're going out.,どんな夢も現実になるよ,Any dream can come true.
適当に座ってください,Please sit down at your leisure.,そんなことするはずがないよ,You're not gonna do that.,本気で言ってる？,Are you serious?
気になるなって思ったし,I thought you'd be interested.,出てくるような料理で,With the kind of food that comes out,元気が湧いてきそうだ,It's gonna cheer me up.
会いたいしさ,I want to see you.,料理食べた人,People who ate the food.,明日に響くから,It's gonna be a problem tomorrow.
顔を見てないのにさ,I haven't even seen his face.,客が思ってくれるようになんだ,I want my customers to think,顔向けすぎじゃない？,I think you're showing your face too much.
そうじゃなくて,"No, I don't mean that.",お好みの漬かりは具合をお楽しみ,Enjoy your favorite pickling condition.,それだけじゃなくて,That's not all.
音楽やってます,I play music.,そこに取り分けた卵黄を置きます,Place the separated egg yolk on it.,廃業に追い込まれたところもある,Some places are going out of business.
やっぱりその外見っていうのは,I think that appearance is the most important thing.,しっかりとしたうまみのある,with a firm umami flavor.,くだらない,Nonsense.
見た目で何か,Something about the way you look.,こよいのお酒は,Sake of Koyoi is,そしてそれらを破壊します,And destroy them
私自身が判断される,I will be judged on who I am.,今日のおすすめは,Today's recommendation is,やがて娘は感謝して,"Eventually, my daughter will thank me."
内面を愛してくれる人,Someone who loves me on the inside.,みそ漬けになることを祈って,Praying to be pickled in miso,愛してたら憎まない,"If I loved you, I wouldn't hate you."
すぐにでも結婚したい,I want to get married right away.,塩っぱくて食べられなくなる,It's too salty to eat.,別に何ともなってない,I'm not in any trouble.
それこそもう運命の出会いですよ,That's exactly what it's meant to be.,謝りに行ったんだよ,I went to apologize.,外はまだ寒いけど,It's still cold outside.
暖簾が掛けられている,The curtain is hung,今日は来られなかったはずじゃ？,I thought you couldn't make it today.,そうじゃなくて,"No, I don't mean that."
そして優しい人たち,And kind people,冬の名残のおでんと,"With oden, the last remnants of winter",私たち付き合うことになったの,We're going out.
では行ってみましょうか,"Well, let's go.",ちょっと聞いてみます価格と,"I'll ask around, see if I can get a better price.",日本橋にも来ることあるんですけどね,I sometimes come to Nihonbashi.
黒門市場入場します,Entering Kuromon Market,ここで食べれるか,Can we eat here?,特にうちは有名やで,Especially ours. We're famous.
週末来たらもっと人が多いんですけど,I'm sure there would be more people if I came on a weekend.,そこで食べられるんですか？,You can eat there?,先払っておいたらいいですか,Can I pay you in advance?
こんなに沢山入って500円？,500 yen for such a lot of food?,じゃあ食べます,Then I'll eat.,テレビ出てるで,You're on TV.
食べれるなら食べようと思います,"If I can eat it, I'll eat it.",好きなん取り？,You like it?,ハマっちゃうかもしれないですけどね,"You might get hooked, though."
そこ、みな美っていうお店,"There, a restaurant called Minami.",何が違いますか,What's the difference?,ハマっちゃいますね,I'm hooked.
有名らしいです,I hear it's famous.,めっちゃ優しい,You're so sweet.,手間かけて申し訳ないんですが,I'm sorry to take up so much of your time.
もう一本食べてもいいですか,Can I have another one?,包まれている感がしたいので,I want to feel wrapped up in it.,もう一個頼んでもいいですか,Can I ask for another one?
よく言われるんですけどね,I got told that a lot.,座ってやってみますか,Shall we sit down and try?,鬼怒川駅方面が見える感じですね,You can see the direction of Kinugawa Station.
ドヤ顔してるつもりないんですけど,"I don't mean to be smug, but...",肩甲骨は離れて広がっている,Shoulder blades spread apart.,はいもうちょっと探検していきます,"Yes, I'll explore some more."
もしかしたら思っているから,Maybe because I'm thinking it.,右を向く,Turn to the right.,お布団が入っております,It contains some futons
内心成功したぜ,I've succeeded on the inside.,後ろを向いて彼を見る,Look back at him. ,朝ごはんが到着しました,Breakfast has arrived.
送っていただけると嬉しいです,I would appreciate it if you could send it to me.,南を向いた部屋,A room facing south ,しばらくゆったりまったり過ごします,I relaxed and took it easy for a while.
お待ちしております,We'll be waiting for you.,そのホテルは海に向いている,The hotel faces the sea.,釜飯が出来上がりました,Kettle rice (Kama-meshi) is ready!
ボタンから送ることもできます,You can also send it via the button,その窓は庭に向いている,The window opens onto the garden.,盛り付けました,I served it up (dished up).
温泉にやってきました,We came to the hot springs.,女性に向いた仕事,A job suitable for a woman ,ほっこりしちゃう,"It makes me feel warm (warm and fluffy, soft)."
雪が残ってますね,There's still snow.,鏡に向かう,Look in a mirror.,ライトアップされているの,It's all lit up.
あらかじめカットしておく,Cut them in advance.,彼は大群衆に向かって演説を始めた,He faced the large crowd and began to make a speech.,では早速入ってみましょう,So let's get in there.
今度やってみようかな,Maybe I'll try it next time.,駅に向かってるとこだよ,I'm on my way to the station.,早速オープンしていきたいと思います,I would like to open it immediately
飽きたし,I'm tired of it.,彼は私に向かってくる,He comes to me.,おつまみ的なものを買ってきました,I bought some snack food.
焚き火して,Make a bonfire.,今向かってます,I'm heading over there now.,感想は？ いい体をしてました,What did you think? He had a good body.
夜更かししたり,And staying up late.,右を向いてください,Turn to the right.,性格はとても重要だと思ってます,I believe that character is very important.
絶妙に混ざりあって,Exquisitely mixed.,この服は寒い冬の日には向かない,These clothes are not appropriate for a cold winter day.,自分が持っている魅力だけで,Just the charm that you have.
食べ過ぎだろ,You eat too much.,公園の方に足を向けた,I walked toward the park.,島を探検してください,Explore the island.
そんなやり方あったんだ,I didn't know that was how it was done.,彼はその絵に目を向けた,He turned his attention to the picture.,遠い所に設置したみたいですね,Looks like they set it up far away from here.
いつもきな粉零しちゃうんだよ,I always spill soybean flour.,彼に背中を向ける,Turn one's back on him.,今日のおすすめ商品でした,This was today's recommended product.
絡めようとして,I'm just trying to mix it together.,銃を彼に向ける,Aim one's gun at him.,修学旅行はみなさんご存知ですか？,Have you ever heard of school trips?
火を起こしていきたいと思います,I'd like to make a fire.,こっちに顔を向けなさい,Turn your face this way,日光で何したかは全然覚えてないです,I don't remember what I did in Nikko at all.
オシャレ感が増しました,It's more stylish.,出てくるかな？,Do you think it'll come out?,是非教えていただければと思います,I'd love to know what you think.
映えを意識した設置となっております,The installation is designed to look good.,日本食食べたくなりますからね,It makes me want to eat Japanese food.,歴史の勉強してみたいな旅行でした,It was a trip that made me want to study history.
火がついてきました,It's catching fire.,お味噌汁飲みたい,I want to drink miso soup.,行く場所はいろいろなんですけど,There are many places I go.
薪を持ってきてくれました,He brought me some firewood.,お寿司食べたい,I want to eat sushi.,海を調査しなきゃいけないのね,We'll have to survey the ocean.
本気で照れる,It's really embarrassing.,恋しくなるんですよ,I miss it!,やっぱり海って怖いじゃないですか,"After all, the ocean is scary, isn't it?"
順調に炎は燃え上ってきています,The flame is burning steadily.,時代は変わってきてるんですかね,"Times are changing, aren't they?",その深海魚っていうのがすごい好き,I really like that deep-sea fish.
消えたなあ,It's gone.,探せばあるんでしょうけどね,I'm sure it's out there if you look for it.,海って危ないよね,The ocean is dangerous.
火吹き棒で再熱を試みる,Trying to reheat with a fire blowtorch,サーモンを出して頂いて,They served me salmon.,止まらずに進みたいと思います,I'd like to keep going without stopping.
対面授業を受けに行った,I went to take a face-to-face class.,マスクを着用し,Wear a mask.,ヒルが結構いるみたいなので,It seems like there are quite a few leeches.
一番奥の席を確保しました,I got a seat at the far end.,では早速館内を散策してみましょう,Let's take a walk around the building at once,ピッタリですよね？,"It's perfect, isn't it?"
そんなに苦手なら買わなきゃいいのに,"If you're that bad at it, you shouldn't buy it.",ではテラスに出てみます,I'll go out on the terrace.,簡単でヘルシーで美味しい鍋,"Easy, Healthy and Delicious Hot Pot"
一緒に行こう,Let's go together,こちらは水盤テラスです,This is the water table terrace.,改めて言われると恥ずかしい,I'm embarrassed to say it again.
彼は何度も繰り返して言った,He said it over and over,では早速座布団をしいて,"Now, let's put the cushions on.",そっちゃおうかな,Maybe I think I should take it off.
その手紙を３回も繰り返し読んだ,I read the letter three times,足湯を利用したいと思います,I'd like to use the footbath.,素直に思えたので,It seemed honest to me.
単語を繰り返して書く,Write the word repeatedly.,早速足湯に浸かってみます,I'm going to take a soak in the footbath right away.,案内係できる,I can lead the way.
透けちゃった,It's transparent.,疲れが癒されました,My fatigue was relieved.,沈んじゃうよ,It’s going to sink.
透けちゃうのか,It's transparent?,お部屋に到着しました,We've arrived at our room.,からめていきましょう,Let's mix it up.
奥に入っちゃいました,I'm in the back.,では早速開けてみたいと思います,"Now, I'd like to open it right away.",時刻は17時を回りました,The time is around 5:00 p.m.
こういう見方じゃないですか？,Isn't this how you see it?,窓からの眺めはこんな感じです,Here's the view from the window.,体感の変化がありましたら,If there are any physical changes.
届いてますかね？,Did you get my message?,またここ最近ですと,Also recently,台本じゃないんですよ,It's not a script.
宜しくお願い致します,please treat me well,この時間の担当は,The person in charge of this hour is,いかがお過ごしでしょうか？,How are you doing?
桜を眺めて,Viewing the cherry blossoms,帰宅している方も増えてくる,More and more people are returning home.,今日は広く穏やかな天気で,Today's weather is broad and mild.
皆さんいかがでしょうか ？,How is everyone doing?,以前から番組を知ってくださってね, You've known about our program for a long time.,英語がペラペラな方がいるんですけど,I know someone who speaks English very well.
