Kanji,Meaning,W1,R1,M1,W2,R2,M2,W3,R3,M3,W4,R4,M4
貢,"tribute, support",貢献,こうけん,contribution,年貢,ねんぐ,annual tribute,貢ぐ,みつぐ,"to support, finance",貢租,こうそ,annual tax
取,"take, fetch",取材,しゅざい,data collection,取得,しゅとく,acquisition,取材,しゅざい,news coverage,取捨,しゅしゃ,"selection, choice"
趣,"purport, interest",趣味,しゅみ,hobby,趣向,しゅこう,"device, plan, idea, design",趣旨,しゅし,"meaning, point, gist",趣向,しゅこう,"plan, idea, design"
補,"supplement, supply",補足,ほそく,supplementation,補給,ほきゅう,"supply, replenish",補償,ほしょう,"compensation, reparation​",補助,ほじょ,assistance
捕,"catch, capture ",捕獲,ほかく,capture,捕鯨,ほげい,whaling,捕虜,ほりょ,prisoner of war,逮捕,たいほ,"arrest, capture"
舗,"shop, store, pave ",舗装,ほそう,pavement,店舗,てんぽ,"shop, store​",老舗,しにせ,long-established shop,舗道,ほどう,paved road
郷,"home town, village",故郷,こきょう,hometown,郷愁,きょうしゅう,"nostalgia, homesickness",郷里,きょうり,"hometown, birthplace​",帰郷,ききょう,homecoming
響,"echo, sound",影響,えいきょう,"influence, effect",反響,はんきょう,response,音響,おんきょう,"sound, acoustics",交響楽,こうきょうがく,symphony
帯,"sash, belt, zone",世帯,せたい,household,熱帯,ねったい,tropics,包帯,ほうたい,"bandage, dressing​",地帯,ちたい,"area, zone"
滞,"stagnate, be delayed",渋滞,じゅうたい,"traffic jam, congestion",滞在,たいざい,stay,停滞,ていたい,"stagnation, tie-up",延滞,えんたい,"arrears, overdue"
朱,"cinnabar, red",朱色,しゅいろ,cinnabar red,朱印,しゅいん,red seal​,朱肉,しゅにく,thick red ink,朱書,しゅしょ,writing in red
珠,"pearl, gem",算盤,そろばん,abacus,真珠,しんじゅ,pearl,数珠,じゅず,"rosary, prayer beads",珠算,しゅざん,calculation on an abacus
殊,"particularly, especially",特殊,とくしゅ,"special, particular, peculiar",殊勲,しゅくん,distinguished services,殊勝,しゅしょう,admirable,殊功,しゅこう,distinguished service
未,"still, not yet",未知,みち,unknown,未定,みてい,"undecided, indefinite",未来,みらい,future,未婚,みこん,unmarried
味,"flavor, taste ",中味,なかみ,contents,味覚,みかく,taste,調味料,ちょうみりょう,"seasoning, flavouring",気味,きみ,"sensation, feeling"
魅,charm,魅力,みりょく,charm,魅了,みりょう,fascinating,魅力的,みりょくてき,"charming, fascinating",魅惑,みわく,"attraction, fascination"
末,"end, close, tip, powder",粗末,そまつ,"crude, rough, plain, shabby",期末,きまつ,end of term,始末,しまつ,"management, dealing with",粉末,ふんまつ,fine powder
札,"tag, label, plate",改札,かいさつ,"examination of tickets, ticket barrier",名札,なふだ,"name plate, name tag, label",入札,にゅうさつ,"bid, tender, bidding",荷札,にふだ,"label, tag"
机,"desk, table",机上,きじょう,"on the desk, theoretical, academic",長机,ながづくえ,long desk,机下,きか,under the desk,机辺,きへん,near a desk
杉,japanese cedar,小杉,こすぎ,small cedar​,赤杉,あかすぎ,redwood,杉材,すぎざい,cedar wood,杉板,すぎいた,cedar board
板,"plank, board, plate, stage",黒板,こくばん,blackboard,看板,かんばん,"signboard, sign, billboard",掲示板,けいじばん,bulletin board,合板,ごうはん,"veneer board, plywood, joint publication"
松,pine tree,赤松,あかまつ,japanese red pine,松葉,まつば,pine needle,若松,わかまつ,young pine,浜松,はままつ,hamamatsu city
枝,"bough, branch, twig",枝葉,しよう,"branches and leaves, foliage",枝る,えだる,to work without sleep or res,枝線,えだせん,branch line,楊枝,ようじ,toothpick
枚,counter for flat thin,一枚,いちまい,one thin flat object,枚数,まいすう,the number of flat things,枚挙,まいきょ,enumeration,大枚,たいまい,large sum of money
析,"chop, divide, tear, analyze",分析,ぶんせき,analysis,解析,かいせき,"analysis, analytical study",透析,とうせき,dialysis,析出,せきしゅつ,"separation, deposition"
杯,"counter for cupfuls, wine glass",乾杯,かんぱい,"cheers, bottoms-up",一杯,いっぱい,"a cup of, glassful",腹一杯,はらいっぱい,"full stomach, bellyful",満杯,まんぱい,まんぱい
枕,pillow,枕投げ,まくらなげ,pillow fight,枕元,まくらもと,"bedside, near one's pillow",箸枕,はしまくら,chopstick rest​,低反発枕,ていはんぱつまくら,memory foam pillow
枠,"frame, framework",枠組み,わくぐみ,"frame, framework, outline",抜粋,ばっすい,"extract, excerpt, selection",枠外,わくがい,beyond the limits,枠内,わくない,within the limits
柱,"pillar, post, cylinder, support",電柱,でんちゅう,utility pole,円柱,えんちゅう,"column, shaft, cylinder​",支柱,しちゅう,"prop, stay, support, brace",鉄柱,てっちゅう,iron pole
根,"root, radical",屋根,やね,roof,垣根,かきね,"hedge, fence",根源,こんげん,"root, source, origin, cause",根拠,こんきょ,"basis, grounds, foundation, reason"
柄,"design, pattern, build",人柄,ひとがら,"personality, character",小柄,こがら,"small build, small stature",間柄,あいだがら,"relationship, relation, terms",銘柄,めいがら,"brand, make, description"
柳,willow,青柳,あおやぎ,green willow,川柳,せんりゅう,"senryū, comic haiku",花柳界,かりゅうかい,red-light district,糸柳,いとやなぎ,weeping willow
梅,plum,梅雨,つゆ,rainy season,塩梅,あんばい,"seasoning, flavour, taste",梅干し,うめぼし,"umeboshi, pickled dried ume",梅花,ばいか,plum blossoms
桜,cherry,桜,さくら,"cherry tree, cherry blossom",枝垂桜 ,しだれさくら,weeping cherry,桜餅,さくらもち,rice cake with wrapped in a preserved cherry leaf​,桜花,おうか,cherry blossom​
格,"status, rank, capacity, character",価格,かかく,"price, value, cost",資格,しかく,"qualifications, requirements, capabilities",人格,じんかく,"personality, character, individuality",性格,せいかく,"character, personality"
株,"stocks, shares",株式,かぶしき,"share, stock",株価,かぶか,stock prices,株主,かぶぬし,"shareholder, stockholder",株券,かぶけん,stock certificate
核,"nucleus, core, kernel",結核,けっかく,tuberculosis,核兵器,かくへいき,nuclear weapon,原子核,げんしかく,nucleus,核酸,かくさん,nucleic acid
栓,"plug, bolt, cork",栓抜き,せんぬき,"bottle opener, corkscrew",血栓,けっせん,blood clot,水栓,すいせん,"faucet, water tap​",消火栓,しょうかせん,fire hydrant
桃,peach,桃,もも,peach,桃色,ももいろ,pink colour,胡桃,くるみ,walnut,桜桃,おうとう,cherry
植,plant,植物,しょくぶつ,"plant, vegetation",植える,うえる,"to plant, grow, raise, implant",植木,うえき,"garden shrubs, trees",移植,いしょく,"transplant, grafting"
検,"examination, investigate",探検,たんけん,"exploration, expedition",検査,けんさ,"inspection, examination, test",検討,けんとう,"consideration, examination",検閲,けんえつ,censorship
極,"poles, settlement, conclusion",南極,なんきょく,south pole,積極的,せっきょくてき,"positive, assertive, active",消極的,しょうきょくてき,"negative, passive, half-hearted",極端,きょくたん,"extreme, extremity"
棒,"rod, stick, cane, pole",鉄棒,てつぼう,"iron rod, iron bar",泥棒,どろぼう,"thief, burglar, robber",年俸,ねんぽう,annual salary,綿棒,めんぼう,cotton swab
