W1,T1,W2,T2,W3,T3,W4,T4
認識する,recognize,合流する,join,悪化する,worsening,嘲笑する,ridicule
失敗する,fail,付く,be attached,膨張する,expand,言及する,mention
突出する,protruding,締結する,conclude,散らす,scatter,生える,grow
言える,can say,貯蔵する,storage,帰依する,take refuge,白状する,confess
受ける,receive,返る,return,吸い込む,inhale,尽きる,run out
支払う,pay,助かる,be saved,一時停止する,pause,食事する,dine
与える,give,結ぶ,tie,拒絶する,reject,運航する,operate
立てる,stand up,揃える,arrange,提案する,suggestion,制作する,produce
受信する,receive,推測する,guess,意図する,intend,安定する,stabilize
見せる,show,争う,contend,観る,watch,奉る,serve
認める,admit,傾斜する,tilt,預ける,deposit,通り過ぎる,pass by
生きる,live,抜く,extract,寄せる,send to,乗じる,get on board
実装する,implement,治療する,cure,通報する,report,出版する,publish
乗る,get on,叩く,strike,移植する,implants,圧迫する,pressurize
返す,return,張る,stretch,統一する,unify,通ずる,be understood
連続する,continuous,施す,apply,対する,versus,休める,rest
決定する,decide,識別する,identify,信ずる,believe in,往復する,go back and forth
通る,pass,待機する,waiting,抹消する,delete,巻き戻す,rewind
書き込む,write,後悔する,regret,招集する,convene,遠慮する,refrain from
備える,prepare,従う,follow,到来する,coming,納得する,agree
切断する,disconnect,活用する,make the most of it,補充する,replenish,生育する,grow
導入する,introduce,低下する,decrease,飼う,keep,貯める,store
収納する,store,増える,increase,混ぜる,mix,召集する,call to order
歩く,walk,吹く,blow,清める,purify,絶滅する,extinction
教える,teach,付着する,adhere,誕生する,birth,分かち合う,share
知らせる,inform,浮かぶ,float,立ち上げる,start up,蒸す,steam
聞こえる,hear,分岐する,branching,散歩する,take a walk,募る,recruit
監視する,monitor,着用する,wear,修飾する,modification,貢献する,contribute
離れる,leave,監査する,audit,帰還する,returning home,配線する,wiring
作用する,work,押し付ける,press,帰国する,returning home,見付ける,find
走る,run,立ち上がる,stand up,留学する,study abroad,狂う,go mad
逃げる,run away,送り出す,send out,計上する,booking,散る,be scattered
去る,leave,排除する,eliminate,降ろす,unload,仲介する,mediate
抑える,suppress,握る,hold,切り捨てる,truncate,繋げる,connect
答える,answer,罰する,punish,空飛ぶ,fly in the sky,繁栄する,prosper
構築する,to construct,捕捉する,capture,支える,support,告発する,prosecute
収集する,collect,劣る,be inferior to,脱ぐ,take off,優勝する,win a championship
現れる,appear,分配する,distribute,射る,shoot,従属する,subordinate
求める,demand,議論する,discuss,延ばす,extend,往来する,come and go
戦う,fight,欠く,lack,相続する,inherit,ムカつく,pisses me off
合わせる,match,雇う,hire,創る,create,緩和する,mitigate
呼び出す,call,旅行する,travel,儲ける,make a profit,似る,resemble
語る,talk,注ぐ,pour,保障する,guarantee,膨らむ,swell
増加する,increase,出現する,appearance,舞う,dance,派生する,derive
占める,occupy,進行する,progress,追従する,follow,追い込む,drive into a corner
搬送する,to carry,還元する,reduce,頑張る,do one's best,束ねる,bundle
近づく,get closer,飾る,decorate,放置する,leave it alone,凍結する,freeze
提出する,hand over,投げる,throw,飛び込む,dive in,敗れる,be defeated
結婚する,get married,遷移する,transition,溶ける,melt away,避難する,evacuate
当たる,hit,投与する,dose,審査する,review,策定する,formulate
着く,arrive,引き上げる,pull up,仮定する,assume,嫁ぐ,marry (a woman)
残す,leave,祝う,celebrate,協議する,discuss,浮遊する,float
区別する,distinguish,誇る,proud of,選出する,elect,済ます,settle
分析する,analyse,味わう,taste,指令する,directive,落ち込む,be depressed
合成する,synthesize,認証する,authenticate,投票する,vote,発言する,speak up
生ずる,occurs,授ける,bestow,同情する,sympathize,誉める,praise
動かす,move,納める,deliver,添える,accompany,産出する,produce
描く,draw,弾く,play a string intstrument,努力する,make an effort,余る,be in excess
実現する,realize,裏切る,betray,嘆く,lament,応用する,apply
立つ,stand,折り返す,fold back,掲載する,publish,知れる,know
成形する,mold,仕切る,partition,稼働する,running,担当する,be in charge of
参加する,participate,飛ばす,fly,貼付する,affix,裂く,cleave
解決する,resolve,説得する,persuade,買い取る,buy,終結する,terminate
発する,emit,掛かる,take,補償する,compensate,追い詰める,hunt down
愛する,love,控除する,deduct,突き出す,stick out,再構成する,reconfigure
関係する,involved,捜す,look for,通用する,pass (a test),航行する,sailing
排出する,discharge,達する,reach,突く,poke,推し進める,push forward
隠す,hide,立ち向かう,confront,促す,prompt,叶う,come true
伝わる,communicated,信仰する,faith,拡散する,spread,直結する,direct connection
許す,forgive,分散する,disperse,減らす,reduce,飛行する,take flight
無視する,ignore,集まる,gather,脱落する,drop out,享受する,enjoy
称する,name,生活する,living,休止する,dormant,模索する,seek
通信する,connect,整理する,organize,見失う,lose sight of,阻害する,inhibit
追跡する,chase,放つ,release,充当する,appropriate,増殖する,proliferate
生まれる,to be born,輸送する,transport,降下する,descend,納入する,deliver
設ける,prepare,残留する,residual,集積する,accumulate,行使する,exercise
終わる,end,抑圧する,suppress,退く,retreat.,暖める,warm up
仕える,serve,接近する,approach,不足する,lack,辞任する,resign
満足する,satisfied,鳴らす,sound,繰り出す,move out,推す,endorse
切る,cut,表記する,notation,下さる,descend,点火する,ignite
感謝する,appreciate,尊重する,respect,挑む,challenge,託す,entrust
伝送する,transmit,離す,let go,矯正する,correct,弁明する,explain
機能する,function,休む,rest,拾う,pick up,縮める,shrink
置換する,replace,任命する,appoint,生ける,live,独占する,exclusive
提示する,present,影響する,affects,濃縮する,concentrate,生き抜く,survive
記述する,describe,再利用する,reclaim,照会する,inquire,実験する,experiment
過ぎる,pass,分かれる,divide,打ち込む,hammer in,救済する,bail out
表現する,express,塗る,paint,植える,plant,給付する,benefit
登場する,appear,推進する,promote,否認する,deny,割り振る,allocate
予測する,predict,外出する,going out,ダブルクリックする,double click,誤る,make a mistake
読み出す,read out,切り離す,detach,無くなる,disappear,捕獲する,capture
報告する,report,改良する,improve,果てる,cease,掲示する,post
確認する,check,持てる,be able to keep,漏らす,leak,棲む,inhabit
貫通する,penetrate,判る,understand,出入りする,in and out,成就する,fulfill
進める,advance,売れる,sell,見積もる,estimate,着せる,accuse (of some crime)
移行する,transition,落ち着く,settle down,却下する,dismiss,教わる,be taught
開始する,start,稼ぐ,earn income,尋問する,interrogate,食らう,eat
取り扱う,handle,光る,shine,捜索する,search,着目する,focus on
拡大する,enlarge,活動する,active,頂く,receive,冷える,cool down
復元する,restore,相反する,contradictory,申し出る,offer,思い浮かべる,recall
過ごす,spend,集計する,aggregate,離脱する,withdrawal,欠ける,lack
祈る,pray,捧げる,dedicate,売却する,sell,飛び回る,fly around
保有する,hold,監督する,supervise,疲れる,exhausting,発着する,arrive at and depart from
案内する,guide,しまう,put away,殺害する,kill,配慮する,consider
除外する,exclude,採取する,collect,充てる,allocate,覆す,overturn
並ぶ,line up,質問する,ask a question,放す,release,敷く,lay out
忘れる,forget,如く,like,悩む,be worried,知り合う,get to know each other
渡る,cross over,吹き出す,spurt out,祀る,enshrine,論ずる,discuss
思い出す,recall,し合う,do together,点在する,dot,失脚する,disqualify
符号化する,encode,関する,concern,申し上げる,offer,長引く,protracted
払う,pay,操る,manipulate,脱退する,withdrawal,共存する,coexist
規定する,define,照らす,illuminate,代理する,represent,乗り入れる,enter into (a market)
定義する,define,振る,shake,宿る,dwell,逆転する,reversal
撃つ,shoot,訪問する,visit,丸める,round off (a list),禁煙する,quit smoking
消去する,erase,回す,turn,後続する,follow,生き返る,come back to life
蓄積する,accumulate,逃がす,letting go,製作する,produce,立候補する,run for office
下げる,lower,一体化する,unite,展示する,display,誘拐する,kidnapping
取り戻す,take back,在る,be (i.e. have),承諾する,accept,位置づける,positioning
ちゃう,do completely,いらっしゃる,be (somewhere),運行する,operate,立ち止まる,stand still
解析する,analyze,闘う,fight,騙す,cheat,献上する,dedicate
重複する,duplicate,干渉する,interfere,競う,compete with,収穫する,harvest
交換する,exchange,迫る,press,鳴る,ring,出頭する,turn yourself in
足りる,be enough,脅かす,threaten,始末する,disposal,賄う,pay for the services of
行ける,go,建つ,erect,結晶化する,crystallize,出産する,give birth
運ぶ,carry,遮断する,blocking,昇進する,promotion,引き付ける,attract
希望する,"hoe, wish",向き合う,face each other,合計する,total,入れ替わる,be replaced
所有する,own,目立つ,stand out,下ろす,unload,直る,be fixed
交差する,crossing,非難する,condemn,没収する,confiscate,失くす,lose something
検査する,inspect,配備する,deploy,持って来る,bring,貸す,lend
起きる,get up,逆らう,defy,惹かれる,be attracted to,合併する,merge
検討する,consider,相対する,relative,積む,load,深まる,deepen
寝る,sleep,閲覧する,browse,放送する,broadcast,踏み出す,step out
類似する,similar,発展する,develop,呼称する,call,燃え盛る,burns up
反応する,react,報いる,reward,帰す,send (someone) home,信託する,trust
配信する,deliver,帰宅する,coming home,仕掛ける,set (traps),赦す,pardon
拒否する,refuse,付き合う,keep company with,撤退する,withdrawal,架橋する,bridge the gap
及ぶ,reach,調節する,adjustment,負かす,defeat,移住する,migrate
出かける,go out,振動する,vibrate,統治する,rule,起す,cause
解放する,release,酸化する,oxidize,専属する,exclusive,懲らしめる,chastise
勝つ,win,仕上げる,finish,占有する,occupy,惜しむ,spare
継続する,continue,劣化する,deteriorate,対話する,dialogue,綴じる,bind
加わる,join,起こす,cause,飛び出す,pop out,手がける,make
分類する,classify,誘う,induce,高ぶる,be haughty,自称する,call oneself
誓う,pledge,負担する,burden,からかう,tease,持ち運ぶ,carry
取り除く,remove,要請する,request,読み上げる,read out loud,排水する,drain
低減する,reduce,受け付ける,accept,連携する,collaborate,統制する,control
くれる,give us,話し合う,discuss,追い払う,drive away,飢える,starve
暮らす,live,活躍する,play an active role,詰める,close in on,妥協する,compromise
連絡する,contact,就任する,take office,早める,hasten,考察する,consider
売る,sell,対面する,face to face,指名する,nominate,正規化する,normalize
名乗る,give one's name (as),燃やす,burn,立証する,prove it,出資する,invest in
取り込む,capture,慣れる,get used to,辿る,trace,現わす,reveal
願う,"desire, wish",発表する,announce,湾曲する,curvature,改造する,modify
恐れる,fear,居住する,residency,確信する,be sure,懇願する,plead for
集める,collect,押さえる,seize,復旧する,restore,刈る,reap
上書きする,overwrite,差し出す,present,増減する,increase or decrease,列する,line up
圧縮する,compression,注目する,attention,相次ぐ,follow in succession,脱水する,dehydrate
回復する,recover,抵抗する,resist,掌握する,take control of,指向する,directing
訪れる,visit,辞める,quit,デートする,dating,詠む,compose
捨てる,discard,勝る,prevail,捜査する,investigate,塗装する,painting
加工する,processing,強制する,force,閉じ込める,lock up,枯れる,wither
破壊する,destroy,治す,cure,示唆する,suggest,液化する,liquefy
支配する,control,昇る,ascend,出家する,ordain,同調する,synchronize
終える,finish,矛盾する,contradictory,祝福する,blessing,告ぐ,announce
勉強する,study,なさる,do,仕事する,work,備え付ける,provide for
分ける,divide up,免れる,be excused,減る,decrease,主宰する,preside over
同期する,synchronize,言い換える,rephrase,滅亡する,be destroyed,出掛ける,go out
走行する,driving,混入する,mix,相殺する,offset,凹む,be depressed
算出する,calculate,選定する,select,認定する,certify,打ち出す,hammer out
共通する,common,喋る,speak,調理する,cooking,退却する,retreat
約束する,promise,援助する,assist,載る,be listed,抜き取る,extract
描画する,drawing,申請する,apply for,嫌がる,dislike,出演する,perform
証明する,proof,別れる,break up,構える,be ready,媒介する,mediate
打つ,type,増強する,augment,明かす,reveal,再編成する,reorganize
電話する,call,勧める,recommend,管轄する,jurisdiction,制約する,constrain
比べる,compare,治める,cure,近付く,approach,興す,make it happen
噴射する,spray,密着する,adhere closely to,解散する,dissolve,普及する,spread
所属する,belong to,見分ける,identify,作り上げる,build up,没落する,fall
下る,descend,遡る,go back to,栽培する,cultivate,浪費する,waste
楽しむ,enjoy,優れる,superior,溶かす,dissolve,散乱する,scatter
設計する,design,経験する,experience,滑る,slide,起訴する,prosecute
測定する,measure,振る舞う,behave,進化する,evolution,混同する,confuse
保証する,guarantee,配合する,compounding,加入する,join,込める,put into
購入する,buy,差し込む,insert,練る,knead.,救助する,rescue
捕まえる,catch,逃げ出す,escape from,阻む,block,越える,cross over
着る,put on,切り出す,cut out,採用する,adopt,押える,suppress
公開する,go public,云う,say,自慢する,boasting,染める,dye
歌う,singing,爆発する,explode,抗議する,protest,待ち受ける,waiting for
好む,like,歓迎する,welcome,発音する,pronounce,演出する,directing
広げる,spread,踏む,tread on,我慢する,patience,混雑する,crowd
奪う,take away,切れる,cut,退職する,retire,代用する,substitute
開ける,open,溶接する,welding,世襲する,take over the world,封鎖する,blockade
有る,have,派遣する,dispatch,振舞う,behave,失望する,disappointment
継承する,inherit,見守る,watch over,教育する,educate,近付ける,bring closer
現存する,existing,後述する,see below,課する,impose,解消する,dissolve
見つかる,be found,負う,"bear, carry",整形する,reshape,転ぶ,fall down
表す,represent,攪拌する,stir,滞留する,stay,結束する,unite
泳ぐ,swim,翻訳する,translate,足す,add to,再建する,rebuild
放出する,release,捕まる,be caught,慰める,comfort,尽力する,make an effort
承認する,approve,産生する,produce,委ねる,leave to,洗濯する,washing
続行する,continue,追い出す,expel,代替する,substitute,昇格する,promote
追う,chase,出荷する,shipping,解く,release,伝導する,conduct
混合する,mixing,配列する,array,申す,say,駆り立てる,impel
装着する,attachment,潰す,crush,付す,attach,生存する,survive
広がる,spread,死去する,death,汚れる,be polluted,見物する,watching
流す,flow,確保する,secure,鋳造する,casting,結う,close (a deal)
付加する,adding,引く,pull.,揃う,be all present,開封する,open the package
保管する,storage,請求する,claim,夢見る,dream,弁護する,defend
迎える,receive,復号化する,decrypt,勝利する,win,補う,supplement
消す,erase,運営する,operate,埋設する,bury,起立する,stand up
取り外す,remove,輸入する,import,流動する,flow,凌ぐ,survive
開口する,open,降る,descend,施工する,construction,飛び去る,fly away
主張する,claim,再現する,reproduce,達成する,achieve,群がる,flock together
再起動する,restart,外れる,be removed,離反する,detach,賛同する,agree
繋がる,connect,蓄える,store,許容する,allow,二分する,bifurcate
行動する,act,たどり着く,arrive at,進出する,advancement,団結する,unite
露出する,expose,攻める,attack,突入する,entering,真似する,imitate
落ちる,fall,習得する,learn to,旋回する,turn,貯える,store
落とす,drop,捕える,capture,敬う,respect,担う,bear the burden of
撮影する,shooting,吸収する,absorb,死亡する,death,論議する,discuss
収容する,contain,尊敬する,respect,在留する,stay,反省する,reflect
分解する,decompose,赴く,go to,補足する,supplement,引きずる,drag it out
加算する,add,訂正する,correction,大事にする,cherish,再興する,rebuild
加える,add,取引する,deal,明示する,make explicit,交流する,interact
尋ねる,ask,包む,wrap up,折れる,break,拷問する,torture
搭載する,load,相談する,consult,装備する,equip,共感する,sympathize
増幅する,amplify,存続する,continue to exist,緊張する,tension.,呼び起こす,evoke
遊ぶ,play,始動する,start,取り返す,get back,酔う,be intoxicated
添加する,add,反転する,reversal,預かる,keep in custody,取り仕切る,take charge
販売する,sell,悲しむ,grieve,包装する,packaging,処刑する,execution
挙げる,list,撮る,take,引き寄せる,draw them in.,変速する,shifting gears
