Time,Subtitle,T1,T2
1:52,こういった スプーンなどで⸺ ちょっと つぶして…,Mash it as much as you can with a spoon.,Use a spoon like this to crush it a little.
1:55,これでね タレが できちゃうんです,This will make it create a sauce. TAKE OUT THE SEEDS AND MIX UMEBOSHI WELL INTO A SAUCE,"With this, you can make a sauce."
1:59,こんなのも用意します,I will also prepare this.,I'll also prepare these.
2:00,プチトマト あと きゅうりね,Petit tomatoes and cucumbers.,Cherry tomatoes and cucumbers.
2:03,きゅうりは 乱切りにします,Chop the cucumber into chunks.,"Cucumber, cut into chunks."
2:07,そして…,And then…,Then...
2:09,（ナレーター） そして 鶏もも肉を⸺ 食べやすい大きさに カット,"And then, cut the chicken thighs into bite-size pieces.",（Then cut the chicken thighs into bite-sized pieces.
2:14,（もこみち） こう ランダムに⸺,Let's skewer this randomly.,"（Like this, randomly."
2:16,刺していきましょう,"Let's skewer this randomly. SKEWER THE CHICKEN, CUCUMBER, AND TOMATO",Let's stick them in.
2:18,さあ 見てください,"Now, look at this.",Look at this.
2:21,（ナレーター）最後に 梅肉ソースを添えれば出来上がり！,"Finally, add the plum sauce and it's done.",（Garnish with plum sauce and you're all set!
2:25,（もこみち）さあ 今日は これで決まり！,Today's meal is ready.,（That's it for today!
2:27,冷やしやきとり風です！,Yakitori-style cold side dish.,Chilled Yakitori style!
2:31,（笑い声）,Invite me to the girls gathering!,(CHUCKLES)
2:33,（ナレーター） 焼かずに煮ることで⸺ しっとり 柔らかく仕上げた⸺,A yakitori-style cold side dish that is moist and soft,"（By simmering it instead of baking it, it's moist and tender."
2:37,やきとり風の 冷製おつまみ,by boiling without grilling.,A yakitori-style cold snack.
2:40,もこみち君 出来栄えは いかが？,"Mokomichi, how's the result?","How's it coming along, Mokomichi?"
2:45,アア…,"Oh, my!",Oh...
2:47,この梅肉のタレがいいですね,I really like this plum sauce.,I like the plum sauce.
2:50,すごく おいしい,It's so delicious.,It's delicious.
2:52,これ 会話も 弾むんじゃないですか？,This will make your gatherings livelier.,"It's a great conversation starter, isn't it?"
2:54,zippy(ジッピー)さん 是非 作ってみてください,"Girls, please try making this yourself.","Zippy, please try making this."
2:57,そして 誘ってください,And please invite me too.,And please invite me.
3:11,（もこみち） めぐやんさんからです,"so that's why I'm sending this email,"" from Meguyan.",（This is from Meguyan.
3:12,ありがとうございます,Thank you!,Thank you very much.
3:13,そしたら 七夕にピッタリな⸺ 華やかな そうめんを 作りたいと思います,"Then, I would like to make gorgeous somen that is perfect for Tanabata.","I'd like to make some gorgeous somen noodles, perfect for Tanabata."
3:18,早速 作っていきましょう,Let's start cooking!,Let's get to work.
3:19,（ナレーター） 鍋に 水 しょうゆ,"Add water, soy sauce, mirin, and dried bonito to the pot","（In a pot, add water, soy sauce."
3:22,みりん かつお節を加え ひと煮立ちさせます,"Add water, soy sauce, mirin, and dried bonito to the pot and let it boil.",Add mirin and bonito flakes and bring to a boil.
3:26,（もこみち） めんつゆの作り方は⸺ 水４ しょうゆ１,"The way to make noodle soup is, water, 4 parts, soy sauce, 1 part,","（For the men-tsuyu, 4 parts water, 1 part soy sauce, 1 part mirin, 1 part bonito flakes."
3:29,みりん１ かつお節１ですね,"mirin, 1 part, and bonito flakes, 1 part.","Mirin 1, Bonito flakes 1."
3:31,覚えといてください,Don't forget.,Please keep that in mind.
3:33,（ナレーター）ボウルに さらしをひいて⸺ つゆをこしたら⸺,"After putting bleached cloth on the bowl and moving the soup,",（Line a bowl with parchment paper and strain the sauce.
3:36,ラップをし 冷ましておきましょう,wrap it and let it cool.,Cover with plastic wrap and let it cool.
3:40,そして 溶き卵に塩を加え⸺ 薄焼き卵を作ります,Then add salt to the beaten egg to make a thin omelet.,Add salt to the beaten egg and make a thin egg.
3:45,それを３枚重ねて 短冊切りに,Stack it into three pieces and cut into strips.,Cut it into strips.
3:49,オクラは塩もみしたら サッと茹(ゆ)で⸺,"After rubbing okra with salt, boil it quickly and cut it into small pieces.",Boil okra with salt.
3:52,小口切りにしていきます,boil it quickly and cut it into small pieces.,Cut it into small pieces.
3:57,にんじんは 型を使って 星形に くりぬきます,Cut the carrots into a star shape using a mold.,Use a mold to hollow out the carrot into a star shape.
4:06,（笑い声）,"In MOCO'S Kitchen, you can see these cool things too.",(CHUCKLES)
4:07,鍋の中に 入れていきましょう,Let's put them in the pot.,Let's put them in the pot.
4:10,少し茹でます,Boil a little.,Boil a little.
4:11,さあ そしたら エビ,"Now it's your turn, shrimp.","Then, the shrimp."
4:13,（ナレーター）エビは 竹串で背わたを取り⸺,Devein the shrimp with a bamboo skewer,（Use a bamboo skewer to remove the guts from the shrimp.
4:16,鍋でサッと茹でたら…,and boil it in a pot.,After a quick boil in the pot...
4:18,（もこみち） このお腹(なか)の部分に⸺ ちょっと こう 切り込みを入れます,"On its abdomen, make a small cut.",（Make a small incision in the belly.
4:22,（ナレーター） こうすることで⸺ 美しく 仕上がるのだとか,"When you do this, it will be prettier when it's finished.",（This is how to make it beautiful.
4:29,（もこみち）そうめん 糸を用意して 結んじゃいます,Somen. I'm preparing the line and tying it.,（We'll prepare a string and tie it.
4:34,これをですね 茹でましょう,Let's boil this.,Let's boil it.
4:36,今日 なんで 結んだかというと⸺ バラつかせたく なかったからです,I tied them because I didn't want them to scatter.,The reason why I tied them today is because I didn't want them to fall apart.
4:40,束の状態で 飾りつけたいので,I want to decorate it as a bundle.,I want to decorate them in a bunch.
4:43,（ナレーター）そして いよいよ盛りつけ,"And finally, it's time to serve.",（And now for the serving.
4:47,刻んだ ねぎ オクラ 卵 みょうが,"Dishing up with chopped green onions, okra, eggs, and ginger.","Chopped green onions, okra, eggs, myoga."
4:50,そして 反対側には⸺,"And on the other side,",And on the other side...
4:52,にんじん エビ 氷を盛りつけます,"dishing up with carrots, shrimp, and ice.","Carrots, shrimp, and ice."
4:55,今日は これで決まり！,Today's meal is ready.,That's it for today!
4:57,七夕そうめんの 完成です！,Tanabata somen is complete!,Tanabata Somen is complete!
5:01,（ナレーター） ご覧ください,Now please look!,（Please take a look.
5:02,まるで 絵画のように 美しい七夕そうめん,It's a Tanabata somen that is pretty as a picture!,It's as beautiful as a painting.
5:06,もこみち君 出来栄えは いかが？,"Mokomichi, how's the result?","How's it coming along, Mokomichi?"
5:09,あの… できましたが⸺,"Well… it's complete,","Well... it's done, but..."
5:11,どっから 食べたらいいのか⸺ 分かりません,but I don't know where to start eating it from.,I don't know where to start.
5:19,いただきます,I'm digging in.,I'll eat it.
5:23,ウ～ン…,Let's see… It's refreshing and good.,Hmm...
5:25,でも こういう盛りつけだったら 子供から大人まで楽しめますよね,"But with this kind of presentation, everyone from children to adults can enjoy it.",I don't know where to start.
5:30,めぐやんさんも 是非 試してみてください,"Meguyan, please try making it too.","Please try it, Meguyan!"
5:47,（もこみち） モコモコさんからです,It's from Ms. Fluffy.,（This is from Moco Moco.
5:49,モコモコっと…,Fluffy.,Fluffy...
5:52,今日は じゃ… 冷やごはんが 大変身する⸺,"Then today, let's try an idea that will transform cold rice",Today... let's try an idea that will transform cold rice.
5:56,アイデア料理で いきましょうか！,into something completely different.,Let's start with an idea!
5:58,今日はフライパン,Let's prepare our frying pan.,Today we'll use a frying pan.
6:00,ここに ごま油,Adding sesame oil.,"Here, sesame oil."
6:03,今日は こんな⸺ おいしそうな 豚バラを使います,"And today, I'm going to use this delicious-looking pork belly.","Today, we'll use this delicious looking pork belly."
6:06,これをね 焼きますよ,I'm going to grill them now.,Let's cook it.
6:09,（ナレーター） 豚バラ肉は⸺ 片面に 焼き色がついたら⸺,"When the pork belly is browned on one side,",（When the pork belly is browned on one side...
6:12,塩･こしょう にんにくの スライスを加え⸺,"add salt, pepper, and garlic slices","Add salt, pepper and slices of garlic."
6:15,こんがり焼いていきます,and grill it well.,Add a slice of garlic and let it brown.
6:18,（もこみち） これを焼いてる間に⸺ 長ねぎですね,"While grilling them, let's prepare the leeks.","（While this is cooking, we'll add the spring onions."
6:22,この…　中にある この芯を 取り除きます,Remove this center part inside of it.,We'll remove this core from the inside.
6:27,（ナレーター）長ねぎは 芯を取ったら 重ねて千切りに,"After removing the leek's center, -stack them up and julienne them. -Julienne them.","（After removing the core, layer the onions and cut them into strips."
6:33,これを白髪ねぎにしたいんですが こういう さらしを用意します,"I'd like to make these fine leek strips, so I'll prepare this kind of bleaching.",We'll use this as a sarashi.
6:37,このねぎを さらしに載せて…,Putting the leeks in the bleached cloth to make something,Put this leek on the sarashi and...
6:41,てるてる坊主っぽいものを 作るというか…,Putting the leeks in the bleached cloth to make something like a teru teru bozu.,"I'll put this leek on the sarashi, and make something like a teru teru bozu."
6:43,こんな感じでやって…,like a teru teru bozu.,Like this...
6:50,（笑い声）,"Anyway, you see what I'm doing!",(CHUCKLES)
6:52,…で こうして 絞ってあげると⸺,"So, if you squeeze it this way,",...and if you squeeze it like this...
6:55,きれいに ふやけるんですよ,it will swell up nicely.,It'll soften up nicely.
6:57,オオッ…,Yes.,Ooh...
6:58,そしたら あとは きゅうり,Then the cucumber.,"Then, all that's left is the cucumber."
7:00,千切りします,Cut into julienne strips.,I'll shred it.
7:08,これを冷水で洗うと…,Wash this with cold water. WASHING COLD RICE IN COLD WATER WILL MAKE IT STICKY,Wash it in cold water...
7:12,（ナレーター） そして 盛りつけ,Time to dish up.,（And serve it up.
7:14,今回は 冷麺用の器を使い⸺,"This time, he uses a bowl for cold noodles,","This time, I used a bowl for cold noodles."
7:17,冷やごはんの上に⸺,"and on top of the cold rice,",Top with cold rice.
7:19,ひと口大に切った豚バラ,"he puts bite-sized pork belly,",Cut pork belly into bite-sized pieces.
7:21,きゅうり 白髪ねぎ キムチを載せ…,"cucumber, white leeks, and kimchi.","Cucumber, scallion, kimchi..."
7:25,白ごま 糸とうがらし 韓国のりをトッピング,"Topped with white sesame, thread pepper, and Korean nori.","Top with white sesame seeds, stringed chili pepper, and Korean nori."
7:30,（もこみち）さあ ここで出てくるのが⸺,"Now, what we'll use here is ice","（Now, here's what you get."
7:32,氷と 冷やした ほうじ茶です,"Now, what we'll use here is ice and cold roasted green tea.",Ice and chilled hojicha.
7:36,この氷を３つぐらい入れて…,Put three ice cubes like this,Put in about three of these ice cubes...
7:39,ほうじ茶をかけて…,and add roasted green tea.,Pour some hojicha over it...
7:41,今日は これで決まり！,And today's meal is finished.,That's it for today!
7:44,冷麺風 冷やし茶漬けの完成です！,The cold noodle-style chilled chazuke is completed.,Cold noodle soup with chilled tea!
7:48,（ナレーター）豚バラと キムチ 韓国のりで⸺,Cold chazuke made in a cold noodle style,"（Pork belly, kimchi, Korean nori..."
7:51,冷麺風に仕上げた 冷やし茶漬け,"with pork belly, kimchi, and Korean nori.","How's it coming along, Mokomichi?"
7:54,もこみち君 出来栄えは いかが？,"Mokomichi, how's the result?","How's it coming along, Mokomichi?"
8:05,（笑い声）,AS YUMMY AS K-POP,(CHUCKLES)
8:06,（指を鳴らす音） 来た！,Right?,(snaps fingers) Here it comes!
8:10,今回 ほうじ茶を使ってんですけど ほうじ茶が意外と合うんですよ,"This time, I used roasted green tea, and it goes surprisingly well with this meal.","I used hojicha this time, but it goes surprisingly well with hojicha."
8:14,あとは ミネラルウオーターや 煎茶を代わりに使ってもいいです,You can also use mineral water or green tea instead.,You can also use mineral water or sencha instead.
8:19,マシソヨな１品なので 是非 作ってみてください,"It's a masisseoyo dish, so you should try making it.","This is a must-try dish, so please try making it."
8:36,（もこみち） もっちさんからです,"a rich salad recipe,"" from Mocchi.",（This is from Mocchi.
8:43,そしたら 金メダリスト級の⸺,"Then, I think I'll make",I'll make you a gold medalist-quality Caesar salad.
8:46,シーザーサラダを 作ろうかなと思います,a gold medalist-class Caesar salad.,I'm thinking of making a Caesar salad.
8:48,まず クルトンを 作りたいんですが,"First, I would like to make croutons.",I'd like to make croutons first.
8:50,こういうバゲットを 用意して…,"First, I would like to make croutons. Prepare a baguette like this.",We'll need baguettes like this...
8:53,（ナレーター） バゲットは⸺ ３センチほどの厚さで 斜めに切っていきます,Cut the baguette diagonally with a thickness of about 3cm.,"（Cut the baguette diagonally across the grain, about 3 cm thick."
8:58,（もこみち） そしたら にんにく 香りを つけるわけなんですよ こうやって すって,Then garlic. I add an aroma by rubbing it like this.,"（Then, add the garlic flavor by rubbing it like this."
9:02,（ナレーター）それを オーブントースターへ およそ５分焼きます,Put it in an oven toaster and bake for about 5 minutes.,（Then put it in the toaster oven for about 5 minutes.
9:07,（もこみち） さあ そしたら むね肉,"Now, then the breast meat.",（Then the meat...
9:08,こいつを 開いてあげましょう,Let's cut it open.,Let's open it up.
9:10,（ナレーター） 塩･こしょうを振ったら,"After sprinkling salt and pepper,",（Sprinkle with salt and pepper.
9:12,オリーブオイルと にんにくで⸺ 香りを出した フライパンへ,put it in a frying pan with olive oil and garlic.,Put it in a pan with olive oil and garlic.
9:20,皮目を強火で 揚げるように焼いたら,"Grill the skin side over high heat,",Fry the skin on high heat.
9:23,反対側は 弱火で じっくり焼き上げます,then slowly grill the other side over low heat.,The other side should be cooked slowly over low heat.
9:27,そしたら⸺,"Then,",Then...
9:28,チコリをちぎって 入れていきましょう,let's tear the chicory into pieces and put it in.,Let's tear the chicory and add it.
9:31,（ナレーター） 更に 食感がいい⸺ ロメインレタスと 薄く切った紫玉ねぎを,"In addition, put romaine lettuce and thinly sliced purple onions",（Add some romaine lettuce and thinly sliced purple onions.
9:36,サラダスピナーへ,into a salad spinner.,Into the salad spinner.
9:45,オリーブオイルに フルーティーな⸺ 香りを出すための アップルビネガー,"Use apple vinegar to give olive oil a fruity scent,","Olive oil, apple vinegar for a fruity aroma."
9:50,そして 粒マスタード,then add grain mustard.,And mustard.
9:52,毎朝 食べるんですけど ヨーグルト,I eat this every morning. It's yogurt.,I eat yogurt every morning.
9:57,（ナレーター）更に パルミジャーノチーズ,"Then, add Parmigiano cheese,",（And Parmigiano cheese.
9:59,すりおろした にんにく 塩･こしょうを加え⸺ 混ぜ合わせます,"grated garlic, salt, and pepper, and then mix.","Add grated garlic, salt and pepper, and mix."
10:04,そのお味は？,How does it taste?,How does it taste?
10:06,ウン…,Simply delicious!,Oh...
10:13,（ナレーター）でも これだけじゃないんです,But it's not finished yet.,（But that's not all.
10:16,（もこみち）レモン 皮をすりましょう,Zest the lemon.,（Let's grate the lemon peel.
10:19,（ナレーター）更に レモンをよ～く搾って…,Then squeeze the lemon well.,（Squeeze the lemon well...
10:27,（笑い声）,to a new record!,(LAUGHS)
10:29,ここで 焼き上がった バゲットを取り出して…,"Now, take out the baked baguettes.",Now take the baguette out of the oven...
10:32,（もこみち）もう 手で ちぎっちゃいましょう,Let's tear it into pieces like this.,(MOKOMICHI) Let's tear it up with our hands.
10:35,（ナレーター）ちぎったバゲットは ボウルに入れ⸺,"Put the torn baguettes in a bowl,",（Put the torn baguette in a bowl.
10:37,サラダと合わせ 盛りつけます,"combine with the salad, and serve.",Combine it with the salad and serve.
10:40,そこへ 焼き上がった鶏肉を 載せれば出来上がり！,"And when you add the grilled chicken meat to that, the cooking is complete.",Then add the cooked chicken and it's ready!
10:46,鶏のタンパク質と バゲットの炭水化物で,"Caesar salad, which is a staple food with protein from chicken",With the protein from the chicken and the carbohydrates from the baguette.
10:49,主食にもなる シーザーサラダ,and carbohydrates from baguettes.,A Caesar salad that can also be a staple meal.
10:52,もこみち君 出来栄えは いかが？,"Mokomichi, how's the result?","How's it coming along, Mokomichi?"
11:02,（もこみち）意外と あの… チキンを使われてる所が あんまりないと思うんですよ,"Surprisingly, I don't think people use chicken meat that much.","（Surprisingly, I don't think there are many places that use chicken."
11:06,このアイデアが…,This is…,This idea...
11:10,（笑い声）,my own special idea.,（This idea...)
11:11,ヘルシーかつ ガッツリ食べられる,It's healthy and you can eat plenty of it.,It's healthy and filling.
11:14,作ってみてください！,Try this recipe!,Please try to make it!
11:33,（もこみち）丈太郎(じょうたろう)君 からでございます,It's from Jotaro.,"（This one's for you, Jotaro."
11:37,（笑い声）,You want to be popular among girls when you're 12?,(CHUCKLES)
11:40,（笑い声）,That's nasty!,(laughs)
11:41,今日は 夏にピッタリ！ 簡単 麺料理を 作っていきましょう,"Today, let's cook a noodle recipe that's a perfect fit for summer.","Today, we're going to make a simple noodle dish that's perfect for summer. Let's make a simple noodle dish perfect for summer."
11:45,まずは だし汁に みりんと⸺,"First, add mirin and soy sauce to the broth","First, add mirin and soy sauce to the broth."
11:49,しょうゆを足して つゆを作ります,and make a soup.,Add mirin and soy sauce to the broth to make a sauce.
11:57,（ナレーター）オクラは 塩もみしてから茹で⸺ 冷水に さらして色止め,"Okra is salted, boiled, and put in cold water to fix the color.","（Boil okra with salt, then soak in cold water to prevent coloration."
12:01,（もこみち） 色が鮮やかになりました,It becomes so vivid.,（It's now brightly colored.
12:03,小口切りに,Cut into small pieces.,Cut into small pieces.
12:06,（ナレーター） そして⸺ みょうがと きゅうりは 千切りに,Then shred the Japanese ginger and cucumber.,（And cut the myoga and cucumber into strips.
12:10,切った食材は バットに移しておきます,Transfer the sliced ingredients to a tray.,Transfer the sliced ingredients to the bat.
12:14,今日は ちょっと納豆を 使いたいんですけど,I want to use natto today.,I'd like to use natto today.
12:16,でも 女の子にモテたい 納豆は ちょっとって いう感じは⸺,"I know that natto won't make you popular among girls, but…",But I want to be popular with the girls. I'm not so sure about natto.
12:19,ありますけど…,"I know that natto won't make you popular among girls, but… isn't it wonderful to have a relationship where you can both eat natto?","I know, but..."
12:25,（ナレーター） 納豆は⸺ みじん切りにした ねぎと⸺ しょうゆを加え よく混ぜ合わせます,"For the natto, add chopped green onions and soy sauce and mix well.","（For the natto, add chopped green onion and soy sauce, mix well."
12:31,（もこみち）そしたら 山芋を使います,Then I'll use Japanese yam.,（Then we'll use the yams.
12:32,刃の反対の部分で⸺ 外側の部分を 削り取ります,"With the opposite part of the blade, scrape off the outer part.","Using the other side of the blade, scrape off the outer part of the yam."
12:37,（ナレーター） 山芋も細かく刻み⸺ こちらもバットへ,Finely chop the yam and transfer these to the tray as well.,（Chop the yams into small pieces and put them on the bat.
12:43,いよいよ そばを茹でます,"-Finally, boil the soba. -Now we're really going.",Now it's time to boil the soba.
12:50,（もこみち） そばの場合は２回 中華麺も２回,Twice for soba. Same with Chinese noodles.,"（For soba, boil twice. For Chinese noodles, boil twice."
12:53,そして うどんは３回です,But it's three times for udon.,And three times for udon.
12:55,覚えといてください,Don't forget.,Please remember that.
12:56,（ナレーター）そして 茹で上がったら 冷水でしめ⸺,"Then after boiling, soak it in cold water,","（After boiling, put it in cold water."
12:59,手でクルッと巻いてから お皿へ盛りつけます,"wrap it by hand, and serve it on a plate.",Then roll it up with your hands and put it on a plate.
13:03,（もこみち）こんな感じになります,This is the final look of it.,（It will look like this.
13:05,（ナレーター）そこへ オクラ みょうが 山芋 きゅうり,"Add okra, Japanese ginger, yam, cucumber, and finally natto,","（Then okra, myoga, yams, cucumbers."
13:09,そして 最後に 納豆を添えれば出来上がり！,"Add okra, Japanese ginger, yam, cucumber, and finally natto, and you're done.","Finally, garnish with natto (fermented soybeans) and you're all set!"
13:15,食欲がなくても ツルッといける,Cold soba noodles that are nutritious and easy to eat,"Even if you don't have an appetite, you can still enjoy it!"
13:18,栄養たっぷりの 冷たいネバそば,even if you don't have an appetite.,It's a nutritious cold soba noodle.
13:21,もこみち君 出来栄えは いかが？,"Mokomichi, how's the result?","How's it coming along, Mokomichi?"
13:24,では いただきます,I'm digging in.,Let's eat!
13:26,このつゆをですね たっぷりかけて 混ぜて食べるんです,Adding this soup and mixing it before eating.,We pour a lot of this soup and mix it together.
13:40,ネバネバしてたりとか コリコリしてたりシャキシャキとか いろんな食感が楽しめるんで,"You can enjoy various textures such as sticky, crunchy and crispy.","You can enjoy a variety of textures, such as sticky, crunchy, and crispy."
13:46,これは女の子には モテるんじゃないでしょうか,I hope this will make you popular among girls. At the age of 12.,I'm sure this will be popular with girls.
13:48,12歳 丈太郎君 勉強しましょう,"I hope this will make you popular among girls. At the age of 12. Dear Jotaro, don't forget your studies.","Jotaro, 12, let's study."
14:05,（もこみち） ぱこちゃんからです,It's from Pako-chan.,This is from Paco.
14:06,ありがとうございます,Thank you.,Thank you very much.
14:07,まあ でも そしたら そのフレッシュな⸺ トマトを使った…,Then let's make use of those fresh tomatoes,"But then, using those fresh tomatoes..."
14:10,え～ 今日は そうですね,and let's make… let's see…,"That's right, today."
14:13,ちょっと オシャレなパスタ これで いきましょうか,How about making a rather fancy pasta?,Let's have a fancy pasta dish.
14:16,（ナレーター） トマトは⸺ まず 包丁で へたを取ったら⸺,"For the tomatoes, first remove the calyx with a kitchen knife,","First, take a knife and remove the guts from the tomatoes."
14:20,表面に軽く 切れ目を入れ⸺,"make a light cut on the surface,",Make a light slit on the surface.
14:22,それを熱湯の中へ,and put them in boiling water.,Then put it in boiling water.
14:24,（もこみち） 熱湯に入れます,I put them in boiling water.,Put it in boiling water.
14:25,もう ちょっと 入れるだけでいいです,No need to keep them there for long.,Just a little more is enough.
14:28,（ナレーター） サッと茹でたら⸺ トマトを 氷水にさらし⸺,"After boiling, put the tomatoes in ice water","After boiling, put the tomatoes in ice water."
14:31,切れ目から皮をむきます,and peel from the cuts.,Peel the skin from the slits.
14:35,（もこみち）こいつを…,And with this…,Peel this one...
14:36,（ナレーター） 皮をむいたトマトは⸺ クシ形にカット,Cut the peeled tomatoes into a comb shape.,Cut the peeled tomatoes into wedges.
14:40,ボウルへ移します,Then transfer them to a bowl.,Transfer them to a bowl.
14:44,そこへ ブラックオリーブに⸺ マイクロトマト,"There, add black olives and micro tomatoes.",Then add black olives and micro tomatoes.
14:47,彩りが 豊かになってきました,The colors are getting richer.,We have a lot of color here.
14:51,今度はドレッシング作り,"SALT, PEPPER, GARLIC, BASIL, OREGANO, LEMON, OLIVE OIL, WINE VINEGAR Now it's time to make dressing.",Now to make the dressing.
14:53,にんにくと 数種類のハーブに⸺,Rub garlic and several herbs,"Add garlic, some herbs, salt and pepper."
14:55,塩･こしょうをして すり⸺,"with salt and pepper,","Salt, pepper, and a little grind."
14:57,オリーブオイル,"then add olive oil, wine vinegar and such,",Olive oil.
14:58,ワインビネガーなどを 加え よく混ぜます,"then add olive oil, wine vinegar and such, and mix well.",Add some wine vinegar and mix well.
15:01,お味は いかが？,How does it taste?,How does it taste?
15:06,出来上がった ドレッシングは⸺,-And with this… -Pour the finished dressing on tomatoes,The dressing is ready to serve.
15:08,トマトにかけ よく和(あ)えます,-And with this… -Pour the finished dressing on tomatoes and mix well.,Pour it over the tomatoes and mix well.
15:13,（もこみち） …で ラップをし,Wrap it up.,（Wrap it up.
15:14,これを冷蔵庫で少し,Put this in the fridge a little.,Put it in the refrigerator for a while.
15:16,味がなじむように 冷やします,Let it cool so that the flavors blend.,Put it in the refrigerator for a little while so the flavors will blend.
15:19,さあ 入れます,Yes…,"Now, let's put it in."
15:21,（ナレーター） 今日のパスタ 茹で時間は９分,Today's pasta. Boiling time is 9 minutes.,（Today's pasta will take 9 minutes to boil.
15:25,さあ パスタのほうは もういい感じなので…,Pasta is now finished.,The pasta is ready.
15:27,（ナレーター）茹で上がったら いよいよ仕上げ！,"When it's boiled enough, it's time to finish.","（When it's done boiling, it's time to finish!"
15:30,まず 冷蔵庫から⸺ ドレッシングで和えたトマトを 取り出します,"First, take the dressed tomatoes from the refrigerator.","First, take out the tomatoes with dressing from the refrigerator."
15:34,もういい感じですね,It looks good. It seems like the flavors blended. Here…,It's looking good.
15:39,（ナレーター） そこへ⸺ パルミジャーノチーズを 振りかけ⸺,Sprinkle Parmigiano cheese on it,（Then sprinkle with Parmigiano cheese.
15:42,茹で上がったパスタを ボウルへ,and put the boiled pasta in the bowl.,Put the cooked pasta in a bowl.
15:45,トマト ドレッシングと からめていきます,Mix the tomatoes and dressing.,Add the tomato dressing.
15:48,あとは盛りつけ,All that's left is dishing up.,Now it's time to serve.
15:50,まず チコリを お皿に敷き⸺,"First, spread the chicory on a plate",Put the chicory on a plate.
15:52,その上に からめた パスタを載せます,and put the tossed pasta on it.,Then put the pasta on top.
15:57,（もこみち）ここがね 大事なんですよ,This part is important.,（This is the most important part.
