P1,T1,P2,T2,P3,T3
ゆっくり眠れない,can't sleep well,しょっちゅう起こる,always occurs,天井の高い部屋,high-ceilinged room
単なる偶然,a mere coincidence,試験の準備で忙しい,busy preparing for exams,先ほど帰宅した,got home a while ago
沸かしなおす,re-heat,おそらく来るだろう,they'll probably come,まもなく始まる,will start soon
少し疲れた,a little tired,ドラマの撮影,filming a drama,ひどいやつ,terrible person
大いに異なっている,differs a lot,結構役に立つ,quite useful,優しいお医者さん,a gentle doctor
資料を基にして,based on the data,無事に帰国する,return home safely,冷たい視線,cold stare
少し痛み,slight pain,避けるべきだ,should be avoided,見ておくべきだ,you should see it
留学に先立って,prior to studying abroad,日に限って,only on the day,すっかり忘れていた,completely forgotten
もっと歩こう,let’s walk some more,少し知識,a little knowledge,手で倒された,got knocked down by hand
まっすぐな柱,straight columns,綺麗に洗って,wash carefully,そういう諸説,such theories
いろんな原料,various raw materials,最も楽しい,most fum,なかなか上手,pretty good
場合に限り,only in the case of,ゆっくり(と)歩け,walk slowly,単なる風邪,a mere cold
いい景色,nice view,小さな魚,little fish,全て嫌いである,i hate everything
実に詳しい,very detailed,美しく老いた,beautifully aged,青い顔,pale face
まだ決まらない,still undecided,ルール違反,against the rules,値段にかかわらず,regardless of price
余り会わない,don't meet too often,大変な費用,huge cost,ひどい風,severe wind
ずっと忙しい,busy all along,たくさんの家具,lots of furniture,ひどい遅刻,terribly late
たくさん降った,much has fallen,名誉にかかわる,a matter of honor,この間投稿した,posted the other day
おそらく遅れる,probably late,ペラペラになる,become fluent,大いに飲もう,have a big drink
試合に先立ち,prior to the match,すっかり疲れた,tired completely,あらゆる努力,all kinds of effort
はっきり覚えている,remember clearly,もっと勉強しなさい,study harder,正しいでしょ？,am i right?
大切に育てる,raise carefully,柔軟に対応する,work flexibly,歴史について,about history
大変になってきた,getting tough,そんな危険,such danger,完璧に理解する,understands perfectly
影を落としていた,was casting a shadow,きわめて重要,extremely important,注意深い運転,careful driving
あらかじめ準備して,prepare before,よく徹夜する,often stay up all night,まっすぐに前を見る,look straight ahead
一切関係がありません,no relationship whatsoever,きっと雨だよ,it's gonna rain.,たくさん欲しい,i want a lot
まったく知らない,don't know anything,そんなこと,such a thing.,青い空,blue sky
遠く離れた町,distant town,高い得点,high marks,まっすぐに座る,sit up straight
激しい気性,fiery temperament,まあまあ見られた,looked okay,深い霧,thick fog
一番美しい,most beautiful,雨らしい,rainy,たくさん買う,buy a lot
本件に関して,regarding this matter,皮肉っぽい話した,spoked with sarcasm,きっと驚く,surely it’s gonna rain
意味が広い,broad in meaning,沸かしすぎる,overheat,先に行ってください,please go ahead
非常に際して,in case of emergency,一切食べません,never eats meat,恐ろしい光景,a terrifying sight
高い山,high mountain,深い悲しみ,deep sadness,結構面白い,quite interesting
容易なこと,easy thing,も倒れる,to fall any moment,もっと見たい,see more
非常に詳しく,in great detail,そういう休暇,such vacation,非常な寒さに襲われた,very cold weather hit
収入が少ない,small income,寂しい笑い,sad smile,変化に従って,as it changes
リーダーにふさわしい,suitable for a leader,少し待て,hold on a second,かなり長い間,for quite a long time
遠い距離,long distance,深く後悔する,regret deeply,高い品質,high quality
詳しく説明した,explained in details,まだ起きてる,still up,全然あり得ない,not likely at all
礼儀正しい,good manners,もっとも忙しい,extremely busy,大変興奮した,very excited
余り働きすぎる,work too much,守るべきです,we should protect them,将来にかかわる,a matter of the future
深く愛する,love deeply,製品に限って,only for products,来日に際して,on arrival in Japan
優れて大変だ,exceedingly difficult,遠い親戚,distant relation,若い夫婦,young couple
快く受ける,accept willingly,近い衛星,nearest satelitte,信じるべきでない,you shouldn't believe it
ひどい寒さ,bitter cold,ちゃんと聞いて,listen properly,あるべき場所,ideal place
非常に忙しい,very busy,ちょうどはじめた,began exactly,誤植が多い,many misprints
腹を立てる,get angry,長い旅,long trip,美しい自然,beautiful nature
甘い父親,indulgent father,大いに歓迎する,welcome with open arms,非常に喜んでいた,very pleased
主たる輸出品,principal exports,良き先輩,a good senior,優しい顔,kind face
細い腕,slender arm,説明が難しい,difficult to explain,正しくふるまう,behave properly
少し考えさせてください,let me think about it for a while,なかなかやってこない,not easy to come by,長い手紙,lengthy letter
大変な暑さ,severely hot,大いに貢献する,contribute greatly,人権にかかわる,a matter of human rights
珍しい出来事,an uncommon occurrence,お客さまに限り,only for customers,深い愛情,deep affections
すっかり満足している,completely satisfied,ちょうど真ん中に,right in the middle,たくさんの問題,lots of problems
すごく優しい,very kind,やめるべきだ,we should stop,出発に先立って,prior to departure
たくさん倒れた,many fell down,全然役に立たない,not useful at all,悪い習慣,bad habit
いろいろな意見,various opinions,主たる関心事,principal interest,難しい病気,serious disease
軽い味,light taste,余り考えないで,without thinking too much,深く交わっている,deeply intertwined
全て終わった,it's all over,非常に難しい仕事,a task of great difficulty,ある女性,a woman
もっと考える,think more,難しく考える,think difficultly,ずいぶんひどい話,pretty awful story
軽い頭痛,light headache,最寄りの駅,the nearest station,色が落ちてしまっている,the color has faded
激しく追及する,pursue relentlessly,多い鳥,many birds,軽い夏服,light summer clothing
学生でしょ？,"you're a student, right?",ある実験,an experiment,狭い部屋,small room
余りよくない,not so good,容易な方法,easy way,新しい雑誌,new magazine
無事に済む,get off safely,大した功績,great achievement,正しく服用する,take the right dose
暴力に強く反対した,strongly against violence,桜に比べる,compare with cherry blossoms,ゆっくり進む,proceed slowly
裸で寝る,sleep nakedly,男性に比べ,compared with men,寂しい景色,lonely scene
肩幅の広い,broad-shouldered,きれいな星空,beautiful starry sky,良い席,good seats
きれいな言葉,pretty words,たくさん泳ぐ,swim a lot,子供っぽい,childish
とても痛かった,was very painful,小さい粒子,tiny particle,近い距離,near distance
まったくの虚構,a pure fabrication,あらゆる機会,every opportunity,そんな些細な事,such a trivial thing
最後にきた,came finally,無事に持ってきた,return safely,まったく困らない,not bothers really
色んなところ,various places,安全委員会,safety committee,なかなか眠れない,can't sleep well
詳しい話,detailed account,新たな光,new light,たくさんの思い出,lots of memories
美しく見える,looks beautiful,大雨に加えて,in addition to heavy rain,辛い仕事,hard job
全然知らない,have no idea,全然反対,totally against,最近寝てるときに,when sleeping recently
深くなる,become deeper,寒い冬,a cold winter,たくさん作る,make a lot of
まっすぐな道,straight road,寒い地方,a cold region,主たる論点,main issues
このところ飲みすぎる,drink a lot lately,美しい街並み,beautiful cityscape,香りが高い,exquisite fragrance
折りたたみの傘,folding umbrella,また来てね,come again,大いに同感,strong agreement
社長に代わり,on behalf of the president,はっきり答える,answers clearly,深い森,deep forest
頭痛がひどい,severe headache,注意深い観察,careful observation,少しずつ,little by little
試験に先立ち,prior to the examination,近いホテル,nearby hotel,深い学識,profound learning
ほんの数年,just a few years,ほんの一握り男性,just a handful of men,地位にはかかわりなく,regardless of rank
昔建てられた,built in the past,なかなかの才能,a special talent,いろんな予想,various predictions
軽い食事,light meal,経験豊富,well experienced,日曜日に限らず,not only on Sundays
たくさん食べる,eats a lot,たくさん食べちゃった,ate a lot,泣かせたでしょ,i made you cry
強い興味,strong interst,まっすぐに行く,going straight,一番好き,most favorite
甘い誘惑,sweet temptation,にっこり笑う,"grin, smile",手強い相手,formidable opponent
神経が細い,sensitive nerves,珍しい経験,a unique experience,大いに関係,highly relevant
余り人気がない,not very popular,軽い荷物,light luggage,そういう女性,such woman
深く読む,read deeply,同じ列車,same train,まっすぐ行きなさい,go straight ahead
ほとんど全部,almost all,そういう人,such people,きっと来る,surely will come
雨が少ない,little rain,染料は落ちやすい,dye is easily washed off,強風で倒された,got knocked down by strong wind
いちばんおいしい,most delicious,新しい言葉,new word,全然違う,totally different
ほとんど終わった,almost finished,激しく対立する,violently opposed,冷たい性格,cold personality
