W1,W2,W3,W4,W5
描く,伝わる,稼ぐ,呼び出す,妨げる
覚える,参る,押し付ける,目覚める,立ち寄る
打つ,尽くす,剥く,取り扱う,来たる
成す,移る,吊る,上回る,倣う
開ける,告げる,崩れる,写る,破れる
向ける,仰る,湧く,干す,切り出す
殺す,詰まる,外れる,切り替える,恨む
語る,下ろす,こだわる,捕らわれる,唸る
信ずる,広げる,構える,適する,煽る
合わせる,任せる,重なる,越す,抜け出す
用いる,掻く,汚れる,纏まる,押し込む
連れる,戻す,習う,禁ずる,装う
異なる,休む,預かる,委ねる,腰掛ける
離れる,遅れる,引き起こす,採る,浸る
残す,重ねる,控える,染める,引き寄せる
探す,足りる,追い掛ける,引き継ぐ,問い合わせる
至る,見なす,嘗める,深める,振り回す
経つ,間違う,破る,覚める,覚ます
似る,閉じる,殴る,延びる,澄む
守る,保つ,弾く,転がる,着替える
困る,吸う,手伝う,補う,制する
加える,諦める,及ぼす,潜める,見知る
調べる,耐える,拾う,給う,介する
生ずる,訪ねる,騙す,責める,置き換える
驚く,生かす,思い切る,折れる,食らう
失う,下がる,引き出す,称える,閉じ込める
合う,確かめる,差す,折る,掴まえる
無くなる,鳴る,演ずる,知り合う,報ずる
増える,目立つ,逃れる,打ち込む,足す
上がる,掲げる,煮る,持ち上げる,起き上がる
起きる,移す,揃える,励ます,惜しむ
座る,並べる,熟す,潜む,取り掛かる
聞こえる,高める,突き込む,摘む,暮れる
思い出す,奪う,微笑む,固まる,交える
許す,被る,欠ける,思い浮かべる,駆ける
落ちる,疑う,刺す,傾げる,怠る
繰り返す,履く,思い込む,盛り上がる,嗅ぐ
回る,生み出す,届ける,転ずる,取り囲む
起こす,迷う,際する,打ち明ける,衰える
通ずる,襲う,減らす,組み合わせる,仕上げる
決まる,発する,背負う,盛る,滅ぼす
寝る,挟む,下りる,撒く,出向く
比べる,登る,擦る,鍛える,寄越す
限る,属する,潜る,富む,積み上げる
振る,繋ぐ,譲る,伏せる,敗れる
表わす,降る,漏らす,見当たる,滅びる
通す,組む,泳ぐ,退ける,蓄える
致す,取り組む,間違える,馴染む,縫う
基づく,負う,ぶつかる,攻める,嵌める
消える,載る,浮く,見逃す,考え込む
尋ねる,倒れる,謝る,受け継ぐ,緩める
見付ける,撮る,思い付く,冷やす,追い出す
触れる,響く,沈む,振り込む,止す
払う,応える,漏れる,晴れる,見分ける
遊ぶ,留まる,滑る,訳す,踏み出す
頼む,指す,割る,生き残る,問い掛ける
頑張る,接する,入り込む,尖る,送り出す
抱く,狙う,配る,叶う,先立つ
楽しむ,救う,鳴く,退く,立ち去る
流れる,満たす,駆る,臨む,奉る
捨てる,伸びる,継ぐ,浮かび上がる,吹き出す
着る,説く,籠もる,憎む,汚す
迎える,貸す,騒ぐ,強める,解ける
取れる,加わる,刻む,甘える,取り消す
押す,絶える,留める,強いる,引き続く
超える,覆う,盗む,散る,申し出る
並ぶ,務める,詰める,曲げる,見極める
定める,利く,膨らむ,浸かる,見合わせる
学ぶ,分かれる,辿り着く,仕掛ける,知らす
頷く,下る,施す,引き返す,啜る
通る,止む,飲み込む,横たわる,睨み付ける
運ぶ,見掛ける,帯びる,見渡す,費やす
伴う,窺う,作り上げる,物語る,向かい合う
広がる,輝く,照らす,腐る,強まる
付き合う,招く,名乗る,堪える,歪める
泣く,寄せる,名付ける,携わる,呈する
進める,抑える,磨く,供える,挑む
繋がる,沿う,解する,尽きる,転ぶ
挙げる,溢れる,添える,向き合う,教わる
捉える,空く,見守る,養う,しがみ付く
見詰める,光る,努める,嘆く,投げ出す
喜ぶ,称する,助かる,拒む,召す
避ける,促す,恵まれる,納める,捩る
応ずる,込める,見回す,思い掛ける,取り付く
届く,存ずる,引き摺る,断つ,遠ざかる
近付く,囲む,率いる,抱き締める,突き付ける
集まる,塗る,改める,吸い込む,跨がる
いらっしゃる,防ぐ,怒鳴る,炒める,連なる
出掛ける,論ずる,鳴らす,潰れる,凍る
眺める,押さえる,壊す,追い付く,悲しむ
飾る,就く,割る,寄る,換える
萎む,謝る,過ごす,やり遂げる,零れる
赴く,向かう,見る,壊す,報じる
経る,跨がる,任せる,渇く,掃く
弱まる,縮む,妬む,霞む,殴る
迎える,取れる,残る,上る,溶く
憎む,沸く,更ける,語る,説く
横切る,終わる,立つ,費やす,撃つ
贈る,訪ねる,塞がる,通う,澄む
飽きる,移る,浮ぶ,示す,緩む
閉める,盛る,親しむ,変わる,分かる
載る,染みる,命じる,心得る,優れる
従う,省く,凝る,煮える,図る
鍛える,勤まる,散蒔く,求める,囲む
障る,具える,納まる,酔う,直す
近付く,被る,酌む,増える,認める
剃る,担ぐ,飼う,帰す,吐く
論じる,磨く,味わう,要する,溶ける
加わる,連ねる,仰ぐ,縮れる,無くす
書く,曇る,広げる,言い出す,違える
下がる,恨む,諮る,進む,増す
収める,傲る,造る,止まる,関する
浮く,背く,聞く,潜る,見下ろす
命ずる,加える,怠ける,鈍る,荒らす
当てる,論ずる,褒める,載せる,止まる
殖える,照る,漏らす,綴じる,干す
務める,害する,潜る,救う,止む
滑る,枯れる,休む,曲がる,剥げる
炒る,触れる,背負う,映える,明ける
叱る,貼る,続ける,叶う,付合う
惜しむ,燃える,傾く,恵む,帯びる
強いる,腐る,止める,動く,係わる
備わる,掬う,溜まる,揺らぐ,据える
腫れる,罰する,悲しむ,拾う,挑む
残す,遮る,錆びる,片付く,緩める
答える,漏る,植わる,曲げる,閉まる
練る,応ずる,連なる,裏返す,貫く
外す,添う,奪う,導く,注ぐ
散る,擦れる,崩れる,為る,覚える
遡る,咎める,放る,遂げる,譲る
設ける,測る,解く,絡む,返す
浮かぶ,摘む,潰す,配る,交える
得る,引受る,見付かる,嵩む,吸う
述べる,蕩ける,熱する,捜す,焼く
返る,経つ,司る,応じる,廃れる
受かる,治す,望む,区切る,抜く
離す,訳す,拭く,擦る,飲む
飛ばす,滅びる,沈む,交わる,途絶える
選ぶ,唱える,落とす,似通う,溜める
達する,馴らす,浸す,劣る,老いる
急かす,売る,禁じる,歌う,戦う
来る,含める,断る,空く,得る
悟る,並ぶ,痛む,鳴る,気付く
上る,与える,脱ぐ,強める,探す
老ける,励む,巻く,育てる,占う
有する,消える,儲かる,賜る,堪える
慕う,苦しむ,溶かす,揉む,勧める
誤る,羨む,突く,欠ける,減らす
発つ,植える,起きる,折れる,届ける
怒る,負う,通す,在る,蹴飛ばす
出切る,隠れる,近寄る,見落とす,朽ちる
揺れる,茂る,比べる,締める,叫ぶ
炙る,漕ぐ,触る,跳ぶ,築く
始める,洒落る,感ずる,縛る,余る
試す,弾く,逸れる,物語る,焚く
放す,留まる,罹る,真似る,止める
頼る,留める,積もる,定まる,漂う
剥がす,召す,逃がす,反する,掛かる
跳ねる,膨れる,延ばす,慣れる,困る
報ずる,構える,写る,信ずる,面する
入る,届く,防ぐ,嫌う,暮れる
伸ばす,剃る,退く,増やす,傷付く
話す,吊る,切れる,収まる,捗る
足りる,潤う,脅かす,争う,去る
囁く,責める,数える,操る,対する
呆れる,起こる,恐れる,仕える,垂れる
濯ぐ,黙る,欺く,浸ける,沸かす
始まる,挟む,忘れる,冷える,強請る
抱える,ずらす,払う,赤らむ,慎む
狙う,蒔く,開く,果たす,育つ
包む,起す,好む,分ける,転がる
習う,遣る,填まる,染まる,例える
編む,儲ける,煮る,追い付く,尖る
貶す,取り巻く,貰う,化する,耐える
慌てる,刈る,演じる,抜ける,涼む
倒す,付ける,受ける,回る,巡る
轢く,映す,飢える,射す,痛める
備える,驚く,粘る,瞑る,晴れる
悩ます,描く,汚す,産む,稼ぐ
志す,彫る,目指す,調べる,焦る
逃れる,釣る,放れる,縫う,撒く
直る,茹でる,開く,化ける,逃す
疲れる,済む,凭れる,励ます,楽む
謙る,似る,唸る,請う,嗅ぐ
潰れる,結ぶ,負かす,静まる,守る
居る,弱める,蒸す,裏切る,量る
転じる,痩せる,叩く,終える,仕掛ける
上がる,著す,繋がる,開ける,奉る
案じる,怒鳴る,拗れる,濁る,探る
丸める,降る,繋ぐ,卸す,授ける
研ぐ,刻む,懲りる,照らす,紛れる
変える,止す,映る,足す,冷やす
教わる,拐う,冴える,生きる,蘇る
寄せる,交わす,着せる,涸れる,砕ける
捩る,乾かす,弄る,煙る,流れる
齎らす,頼む,叶える,填める,有る
因る,鳴らす,掛ける,催す,溢れる
悩む,刺さる,落着く,尽くす,下す
苛める,脱する,出す,隔たる,演ずる
打付ける,押える,交ざる,代わる,転がす
描く,労る,募る,賄う,打つ
昇る,弾く,遭う,裁く,富む
保つ,異なる,炊く,通じる,適する
降りる,詰まる,刺す,縮まる,為す
固める,除く,点ける,預かる,満ちる
凍える,願う,吊す,生かす,広がる
制する,嵩張る,揚げる,怠る,纏まる
膨らむ,遅らす,織る,絶える,捕る
噛む,着ける,伴う,混ざる,降ろす
取り次ぐ,伝わる,片寄る,延びる,弱る
見せる,怒る,殖やす,履く,犯す
汚れる,固まる,付き合う,微笑む,喋る
倣う,撮る,上げる,祝う,要る
剥ぐ,剥く,詰める,阻む,支える
着飾る,広める,踊る,思う,騒ぐ
あざ笑う,渡る,超す,薄める,交じる
輝く,痺れる,使う,汚す,点く
閉じる,すれ違う,凝らす,砕く,歪む
続く,借りる,役立つ,取る,感じる
倒れる,病む,眠る,塗る,引出す
信じる,継ぐ,傾く,差し引く,落ちる
添える,問う,基づく,見渡す,損なう
占める,乱れる,深まる,引返す,吹く
治める,呟く,澄ます,現す,重なる
凌ぐ,退く,果てる,凍る,勝る
出合う,伝える,下る,覆す,詫びる
座る,散らす,ほめる,萎びる,押す
捕まる,滲む,及ぶ,偏る,仕上がる
休める,養う,注ぐ,走る,甘える
起こす,滅ぼす,祭る,濡らす,見える
誇る,匂う,任す,飛ぶ,破る
纏める,沈める,計る,光る,治る
吠える,行く,盗む,察する,手伝う
注す,率いる,観る,睨む,捕える
襲う,被せる,縮める,辿る,当たる
解ける,詰る,交ぜる,生える,促す
咲く,浴びる,迫る,泊める,運ぶ
決まる,煽てる,間に合う,呉れる,指す
高める,怯える,許す,漏れる,助ける
込む,行う,絶つ,満たす,逆らう
負ける,集まる,高まる,生やす,跨ぐ
実る,崩す,掘る,伸びる,仕切る
捧げる,洗う,漬ける,差す,明かす
冷める,殺す,乾く,臨む,向ける
繋げる,働く,揃える,畳む,反る
泊まる,歩く,接ぐ,投げる,転ぶ
離れる,用いる,通る,努める,沿う
愛する,入れる,広まる,目立つ,盛る
冷ます,即する,釣り合う,見舞う,折る
深める,替える,溺れる,頂く,早める
徹する,寝る,含む,攻める,裂く
繕う,学ぶ,尽きる,混む,覆う
引っ掻く,扇ぐ,凹む,入る,隔てる
尊ぶ,喜ぶ,弾む,宛てる,毟る
暴れる,恥じる,裂ける,済ます,売り出す
煎る,決める,下げる,為す,焼ける
定める,進める,登る,擦る,割れる
敬う,馴れる,賑わう,活ける,壊れる
為る,呼ぶ,及ぼす,突く,担う
越える,見送る,侵す,挟まる,乱す
動かす,蹴る,預ける,抓る,組む
辞める,追う,流行る,掲げる,覗く
打つ,嘆く,張る,支払う,略す
指差す,ぶら下げる,告げる,躓く,重ねる
振舞う,絞る,生る,集める,覚ます
歩む,持てる,焦がす,助かる,討つ
外れる,覚める,消す,混じる,回す
混ぜる,湿気る,越す,染める,燃やす
並べる,積む,急ぐ,下りる,噛る
禁ずる,踏む,置く,隠す,逸らす
遅れる,欠く,葬る,給う,扱う
響く,慣らす,乗る,乗せる,削る
教える,採る,笑う,強まる,失う
次ぐ,埋まる,握る,疑う,合わす
湿る,契る,診る,遊ぶ,止める
脅す,太る,超える,滞る,駆ける
招く,落す,控える,挙げる,戻す
過ぎる,挿す,悔やむ,聳える,代える
来る,懐く,雇う,嘗める,振る
治まる,逃げる,整う,移す,寄こす
撫でる,抜かす,留まる,立てる,減る
掴む,似合う,騙す,仕舞う,帰る
泳ぐ,恋する,解く,舞う,捻る
楽しむ,群がる,軋む,構う,勝つ
送る,貸す,揉める,建つ,込める
篭る,破れる,渡す,炒める,弛む
上回る,暮らす,汚れる,敷く,住む
建てる,違う,接する,受け継ぐ,限る
間違う,誓う,施す,営む,嫌がる
罵る,汲む,見直す,危ぶむ,写す
死ぬ,成る,補う,戻る,捨てる
零す,耕す,揃う,揶揄う,退ける
濡れる,作る,眺める,見逃す,長引く
表す,兼ねる,掻く,威張る,売れる
栄える,属する,這う,狂う,記す
別れる,至る,賭ける,食べる,湧く
埋める,震える,塞ぐ,逆上る,流す
為さる,居る,出会う,亡くす,留める
躊躇う,避ける,誘う,祈る,勤める
尋ねる,藻掻く,囀る,やっ付ける,焦げる
遭う,弾く,被る,挙げる,害する
追う,稼ぐ,瞑る,焦げる,関する
負う,防ぐ,破る,下げる,恋する
飼う,急ぐ,滑る,告げる,察する
請う,注ぐ,絞る,遂げる,制する
吸う,除く,登る,投げる,接する
沿う,覗く,昇る,逃げる,即する
添う,叩く,上る,剥げる,属する
問う,砕く,余る,曲げる,対する
縫う,跨ぐ,困る,起こる,達する
這う,突く,迫る,刺さる,脱する
舞う,懐く,黙る,為さる,適する
酔う,続く,鈍る,混ざる,徹する
開く,担ぐ,煙る,交ざる,熱する
空く,届く,眠る,閉じる,罰する
行く,解く,湿る,綴じる,反する
浮く,繋ぐ,篭る,恥じる,面する
置く,招く,守る,混じる,有する
書く,凌ぐ,曇る,交じる,要する
描く,裁く,頼る,化する,演ずる
掻く,響く,触る,着せる,応ずる
欠く,省く,障る,乗せる,感ずる
嗅ぐ,背く,座る,載せる,禁ずる
聞く,泳ぐ,回る,見せる,信ずる
漕ぐ,乾く,弱る,痩せる,報ずる
咲く,渇く,すれ違う,寄せる,命ずる
裂く,騒ぐ,あざ笑う,混ぜる,論ずる
敷く,開く,潤う,交ぜる,被せる
炊く,歩く,戦う,当たる,任せる
焚く,返す,扱う,落ちる,隔たる
就く,帰す,疑う,落ちる,慌てる
点く,倒す,従う,朽ちる,煽てる
突く,通す,争う,満ちる,育てる
注ぐ,直す,賄う,当てる,隔てる
次ぐ,治す,補う,宛てる,重なる
接ぐ,犯す,行う,捨てる,異なる
継ぐ,侵す,失う,立てる,連なる
解く,任す,養う,建てる,重ねる
溶く,汚す,伴う,果てる,訪ねる
説く,探す,占う,持てる,尋ねる
退く,捜す,整う,撫でる,連ねる
研ぐ,流す,敬う,茹でる,萎びる
泣く,逃す,漂う,兼ねる,滅びる
抜く,隠す,繕う,跳ねる,比べる
脱ぐ,訳す,躓く,浴びる,調べる
履く,略す,退く,帯びる,並べる
吐く,起す,頂く,錆びる,集まる
掃く,残す,貫く,伸びる,埋まる
剥ぐ,汚す,導く,延びる,収まる
弾く,崩す,傾く,詫びる,納まる
轢く,外す,欺く,食べる,治まる
吹く,浸す,赴く,述べる,固まる
拭く,渡す,傾く,決まる,定まる
巻く,乱す,輝く,閉まる,静まる
蒔く,写す,囁く,染まる,高まる
撒く,移す,呟く,溜まる,縮まる
剥く,映す,働く,詰まる,捕まる
焼く,落す,驚く,止まる,勤まる
沸く,脅す,催す,泊まる,強まる
湧く,戻す,促す,留まる,留まる
押す,貶す,施す,填まる,止まる
貸す,話す,表す,染みる,挟まる
消す,離す,現す,埋める,始まる
越す,放す,著す,決める,広まる
超す,潰す,耕す,込める,深まる
差す,零す,楽む,覚める,纏まる
指す,騙す,慎む,冷める,弱まる
刺す,示す,営む,閉める,集める
挿す,試す,羨む,締める,苛める
注す,記す,喜ぶ,占める,痛める
射す,吊す,尊ぶ,責める,炒める
足す,許す,遮る,攻める,薄める
出す,下す,罵る,染める,収める
為す,卸す,囀る,溜める,納める
干す,殺す,怠る,詰める,治める
増す,壊す,操る,留める,固める
蒸す,回す,捗る,止める,定める
召す,育つ,喋る,泊める,沈める
止す,保つ,謝る,嘗める,進める
打つ,浮ぶ,誤る,填める,勧める
撃つ,叫ぶ,葬る,褒める,高める
討つ,運ぶ,偏る,揉める,縮める
勝つ,結ぶ,労る,止める,勤める
立つ,遊ぶ,断る,辞める,務める
経つ,学ぶ,賜る,ほめる,努める
建つ,及ぶ,覆す,積もる,強める
発つ,選ぶ,志す,降りる,咎める
絶つ,並ぶ,蘇る,下りる,留める
打つ,転ぶ,滞る,借りる,止める
死ぬ,掴む,謙る,懲りる,始める
飛ぶ,歪む,奉る,足りる,眺める
跳ぶ,拝む,司る,入れる,広める
呼ぶ,含む,遡る,売れる,深める
編む,恵む,向かう,折れる,含める
産む,励む,揺らぐ,枯れる,纏める
噛む,囲む,基づく,涸れる,丸める
組む,凹む,明かす,切れる,認める
汲む,嵩む,生かす,暮れる,求める
酌む,憎む,急かす,呉れる,休める
込む,挟む,溶かす,擦れる,緩める
混む,刻む,抜かす,逸れる,弱める
住む,惜しむ,負かす,垂れる,早める
済む,軋む,沸かす,取れる,呆れる
澄む,滲む,焦がす,慣れる,暴れる
積む,霞む,逃がす,馴れる,溢れる
富む,進む,剥がす,濡れる,遅れる
飲む,盗む,尽くす,晴れる,恐れる
踏む,休む,無くす,腫れる,溺れる
揉む,沈む,亡くす,触れる,隠れる
止む,涼む,起こす,漏れる,崩れる
病む,弾む,寄こす,揺れる,汚れる
有る,望む,過ごす,割れる,拗れる
在る,臨む,果たす,植わる,零れる
居る,痛む,満たす,終わる,壊れる
要る,畳む,落とす,変わる,痺れる
煎る,妬む,飛ばす,代わる,優れる
炒る,縮む,伸ばす,やっ付ける,廃れる
入る,包む,延ばす,ぶら下げる,倒れる
売る,挑む,覚ます,やり遂げる,縮れる
得る,好む,冷ます,損なう,疲れる
得る,頼む,済ます,逆らう,潰れる
折る,阻む,澄ます,味わう,流れる
居る,萎む,生やす,賑わう,逃れる
織る,摘む,冷やす,動かす,外れる
刈る,悩む,増やす,脅かす,離れる
来る,歩む,殖やす,乾かす,放れる
蹴る,恨む,燃やす,転がす,膨れる
去る,絡む,荒らす,及ぼす,紛れる
為る,睨む,暮らす,滅ぼす,乱れる
為す,弛む,逸らす,悩ます,凭れる
剃る,緩む,散らす,励ます,破れる
剃る,入る,照らす,費やす,汚れる
散る,放る,鳴らす,遅らす,別れる
釣る,帰る,慣らす,凝らす,忘れる
吊る,反る,馴らす,齎らす,教わる
照る,返る,濡らす,悲しむ,係わる
取る,凍る,減らす,苦しむ,加わる
撮る,通る,漏らす,親しむ,備わる
採る,直る,ずらす,楽しむ,伝わる
捕る,治る,降ろす,赤らむ,交わる
鳴る,怒る,合わす,危ぶむ,出会う
為る,罹る,交わす,膨らむ,出合う
成る,盛る,浮かぶ,率いる,似合う
生る,叱る,悔やむ,用いる,背負う
似る,計る,老いる,与える,仕舞う
煮る,量る,強いる,甘える,見舞う
塗る,測る,植える,押える,藻掻く
寝る,諮る,飢える,教える,気付く
練る,図る,終える,怯える,目指す
乗る,光る,変える,覚える,目立つ
載る,上る,替える,抱える,仕切る
貼る,尖る,換える,数える,出切る
張る,限る,代える,叶える,区切る
降る,契る,消える,構える,湿気る
振る,握る,越える,鍛える,強請る
減る,送る,超える,加える,怒鳴る
経る,贈る,冴える,栄える,真似る
掘る,作る,据える,凍える,威張る
彫る,造る,添える,支える,流行る
観る,潜る,耐える,答える,付合う
見る,探る,絶える,備える,揶揄う
診る,殴る,堪える,具える,間違う
盛る,巡る,煮える,聳える,手伝う
漏る,潜る,生える,揃える,振舞う
寄る,茂る,映える,例える,似通う
因る,怒る,冷える,違える,支払う
遣る,残る,増える,仕える,躊躇う
割る,誇る,殖える,伝える,落着く
覆う,傲る,吠える,唱える,傷付く
匂う,凝る,見える,捕える,片付く
誓う,濁る,燃える,控える,近付く
使う,腐る,受かる,震える,長引く
違う,勝る,掛かる,交える,散蒔く
願う,飾る,分かる,迎える,見直す
救う,走る,上がる,預かる,見逃す
掬う,毟る,下がる,助かる,指差す
襲う,弄る,曲がる,儲かる,見渡す
誘う,噛る,飽きる,嫌がる,引出す
歌う,詰る,生きる,転がる,役立つ
慕う,捩る,起きる,繋がる,微笑む
雇う,擦る,尽きる,広がる,裏切る
叶う,擦る,過ぎる,塞がる,横切る
担う,削る,開ける,跨がる,見送る
奪う,譲る,明ける,群がる,着飾る
構う,焦る,活ける,預ける,嵩張る
給う,至る,受ける,砕ける,片寄る
思う,語る,掛ける,授ける,近寄る
通う,来る,欠ける,助ける,洒落る
洗う,渡る,駆ける,続ける,引返す
嫌う,下る,賭ける,届ける,裏返す
拐う,移る,避ける,蕩ける,心得る
習う,写る,裂ける,怠ける,引受る
倣う,映る,漬ける,儲ける,物語る
狙う,祭る,付ける,設ける,逆上る
払う,劣る,着ける,掲げる,上回る
貰う,悟る,点ける,捧げる,見落とす
笑う,太る,浸ける,繋げる,蹴飛ばす
狂う,踊る,解ける,広げる,見下ろす
揃う,辿る,溶ける,案じる,途絶える
拾う,戻る,退ける,演じる,見付かる
祝う,唸る,抜ける,応じる,仕上がる
扇ぐ,抓る,化ける,感じる,打付ける
仰ぐ,捻る,更ける,禁じる,仕掛ける
描く,祈る,老ける,信じる,付き合う
磨く,募る,負ける,通じる,釣り合う
嘆く,実る,向ける,転じる,間に合う
動く,配る,焼ける,報じる,引っ掻く
塞ぐ,縛る,分ける,命じる,追い付く
築く,粘る,上げる,論じる,受け継ぐ
濯ぐ,炙る,揚げる,愛する,取り次ぐ
差し引く,取り巻く,言い出す,飛び出す,売り出す
する,開ける,改良する,見直す,減速する
居る,有る,持てる,履く,同行する
有る,継承する,判る,体験する,衰退する
使用する,現存する,売れる,引用する,解ける
要る,見つかる,落ち着く,依存する,公示する
表示する,表す,稼ぐ,受け継ぐ,隠蔽する
異なる,泳ぐ,光る,結び付ける,埋葬する
得る,放出する,活動する,感染する,誘惑する
設定する,承認する,相反する,称える,歩む
対応する,続行する,集計する,悪化する,決断する
なる,追う,捧げる,膨張する,占う
思う,混合する,監督する,散らす,取り掛かる
定める,装着する,しまう,帰依する,上回る
制御する,広がる,採取する,吸い込む,拭く
実行する,流す,質問する,一時停止する,斬る
行く,付加する,如く,拒絶する,独立する
指定する,保管する,吹き出す,提案する,試みる
使う,迎える,し合う,意図する,征服する
追加する,消す,関する,観る,助け合う
言う,取り外す,操る,預ける,希釈する
送信する,開口する,照らす,寄せる,据える
出力する,主張する,振る,通報する,策謀する
用いる,再起動する,訪問する,移植する,鎮圧する
削除する,繋がる,回す,統一する,稼動する
存在する,行動する,逃がす,対する,謝罪する
入力する,露出する,一体化する,信ずる,割れる
見る,落ちる,在る,抹消する,狙う
化する,落とす,いらっしゃる,招集する,働かせる
違う,撮影する,闘う,到来する,温める
行う,収容する,干渉する,補充する,通学する
供給する,分解する,迫る,飼う,申し込む
開く,加算する,脅かす,混ぜる,引かれる
接続する,加える,建つ,清める,実践する
適用する,尋ねる,遮断する,誕生する,出くわす
保持する,搭載する,向き合う,立ち上げる,連想する
移動する,増幅する,目立つ,散歩する,防御する
属する,遊ぶ,非難する,修飾する,砕く
関連する,添加する,配備する,帰還する,やっつける
発生する,販売する,逆らう,帰国する,寄与する
判定する,挙げる,相対する,留学する,騒ぐ
出来る,位置する,閲覧する,計上する,腐る
保存する,移る,発展する,降ろす,辿り着く
割り当てる,率いる,報いる,切り捨てる,引き起こす
管理する,紹介する,帰宅する,空飛ぶ,忠告する
